,CTRA
2000-09-28,1741166542
2000-09-29,1772444983
2000-10-02,601541760
2000-10-03,587633280
2000-10-04,570247680
2000-10-05,552862080
2000-10-06,549384960
2000-10-09,556339200
2000-10-10,580679040
2000-10-11,608496000
2000-10-12,643267200
2000-10-13,643267200
2000-10-16,618927360
2000-10-17,622404480
2000-10-18,594587520
2000-10-19,615450240
2000-10-20,622404480
2000-10-23,618927360
2000-10-24,601541760
2000-10-25,580679040
2000-10-26,577201920
2000-10-27,570247680
2000-10-30,570247680
2000-10-31,570247680
2000-11-01,580679040
2000-11-02,577201920
2000-11-03,577201920
2000-11-06,573724800
2000-11-07,570247680
2000-11-08,570247680
2000-11-09,566770560
2000-11-10,580679040
2000-11-13,601541760
2000-11-14,625881600
2000-11-15,653698560
2000-11-16,650221440
2000-11-17,643267200
2000-11-20,653698560
2000-11-21,664129920
2000-11-22,667607040
2000-11-24,667607040
2000-11-27,650221440
2000-11-28,643267200
2000-11-29,625881600
2000-11-30,577201920
2000-12-01,632835840
2000-12-04,653698560
2000-12-05,657175680
2000-12-06,646744320
2000-12-07,674561280
2000-12-08,674561280
2000-12-11,678038400
2000-12-12,709332480
2000-12-13,709332480
2000-12-14,678038400
2000-12-15,744103680
2000-12-18,771920640
2000-12-19,785829119
2000-12-20,771920640
2000-12-21,771920640
2000-12-22,785829119
2000-12-26,858848640
2000-12-27,865802880
2000-12-28,921436800
2000-12-29,904051200
2001-01-02,2552907677
2001-01-03,2574006088
2001-01-04,2341923572
2001-01-05,2457964830
2001-01-08,2531809267
2001-01-09,2468514035
2001-01-10,2489612446
2001-01-11,2521260061
2001-01-12,2447415624
2001-01-16,2542358472
2001-01-17,2426317214
2001-01-18,2278628340
2001-01-19,2384120393
2001-01-22,2384120393
2001-01-23,2363021982
2001-01-24,2373571188
2001-01-25,2447415624
2001-01-26,2479063240
2001-01-29,2415768009
2001-01-30,2405218803
2001-01-31,2468514035
2001-02-01,2405218803
2001-02-02,2426317214
2001-02-05,2468514035
2001-02-06,2468514035
2001-02-07,2563456883
2001-02-08,2479063240
2001-02-09,2605653704
2001-02-12,2616202909
2001-02-13,2595104498
2001-02-14,2626752114
2001-02-15,2521260061
2001-02-16,2531809267
2001-02-20,2531809267
2001-02-21,2457964830
2001-02-22,2384120393
2001-02-23,2363021982
2001-02-26,2426317214
2001-02-27,2436866419
2001-02-28,2384120393
2001-03-01,2352472777
2001-03-02,2352472777
2001-03-05,2415768009
2001-03-06,2479063240
2001-03-07,2637301320
2001-03-08,2816637809
2001-03-09,2774440988
2001-03-12,2679498141
2001-03-13,2637301320
2001-03-14,2584555293
2001-03-15,2574006088
2001-03-16,2510710856
2001-03-19,2552907677
2001-03-20,2531809267
2001-03-21,2405218803
2001-03-22,2394669598
2001-03-23,2447415624
2001-03-26,2447415624
2001-03-27,2457964830
2001-03-28,2394669598
2001-03-29,2278628340
2001-03-30,2373571188
2001-04-02,775496520
2001-04-03,754250040
2001-04-04,740085720
2001-04-05,775496520
2001-04-06,771955440
2001-04-09,803825160
2001-04-10,817989480
2001-04-11,810907320
2001-04-12,821530560
2001-04-16,828612720
2001-04-17,871105680
2001-04-18,842777040
2001-04-19,786119760
2001-04-20,793201920
2001-04-23,800284079
2001-04-24,821530560
2001-04-25,832153800
2001-04-26,874646760
2001-04-27,867564600
2001-04-30,853400280
2001-05-01,839235960
2001-05-02,800284079
2001-05-03,803825160
2001-05-04,825071640
2001-05-07,825071640
2001-05-08,817989480
2001-05-09,832153800
2001-05-10,835694880
2001-05-11,832153800
2001-05-14,892352160
2001-05-15,906516480
2001-05-16,934845120
2001-05-17,949009440
2001-05-18,966714840
2001-05-21,1009207800
2001-05-22,998584560
2001-05-23,977338079
2001-05-24,945468360
2001-05-25,945468360
2001-05-29,934845120
2001-05-30,910057560
2001-05-31,910057560
2001-06-01,917139720
2001-06-04,927762960
2001-06-05,927762960
2001-06-06,913598640
2001-06-07,871105680
2001-06-08,892352160
2001-06-11,885270000
2001-06-12,871105680
2001-06-13,842777040
2001-06-14,810907320
2001-06-15,796743000
2001-06-18,789660840
2001-06-19,786119760
2001-06-20,747167880
2001-06-21,722380320
2001-06-22,736544640
2001-06-25,729462480
2001-06-26,747167880
2001-06-27,729462480
2001-06-28,715298160
2001-06-29,718839239
2001-07-02,728101440
2001-07-03,735456000
2001-07-05,750165120
2001-07-06,746487839
2001-07-09,709715040
2001-07-10,709715040
2001-07-11,706037760
2001-07-12,709715040
2001-07-13,742810560
2001-07-16,717069600
2001-07-17,728101440
2001-07-18,706037760
2001-07-19,706037760
2001-07-20,717069600
2001-07-23,735456000
2001-07-24,742810560
2001-07-25,757519680
2001-07-26,764874240
2001-07-27,794292480
2001-07-30,790615200
2001-07-31,768551520
2001-08-01,750165120
2001-08-02,761196960
2001-08-03,757519680
2001-08-06,750165120
2001-08-07,739133279
2001-08-08,709715040
2001-08-09,709715040
2001-08-10,728101440
2001-08-13,728101440
2001-08-14,761196960
2001-08-15,805324320
2001-08-16,794292480
2001-08-17,772228800
2001-08-20,764874240
2001-08-21,761196960
2001-08-22,757519680
2001-08-23,735456000
2001-08-24,728101440
2001-08-27,728101440
2001-08-28,717069600
2001-08-29,687651360
2001-08-30,687651360
2001-08-31,683974080
2001-09-04,698683200
2001-09-05,691328640
2001-09-06,695005920
2001-09-07,691328640
2001-09-10,720746880
2001-09-17,706037760
2001-09-18,665587680
2001-09-19,610428480
2001-09-20,584687520
2001-09-21,584687520
2001-09-24,551592000
2001-09-25,540560160
2001-09-26,511141919
2001-09-27,588364800
2001-09-28,610428480
2001-10-01,595719360
2001-10-02,581010240
2001-10-03,562623840
2001-10-04,592042080
2001-10-05,606751200
2001-10-08,614105760
2001-10-09,617783040
2001-10-10,669264960
2001-10-11,676619520
2001-10-12,687651360
2001-10-15,672942240
2001-10-16,713392320
2001-10-17,702360480
2001-10-18,680296800
2001-10-19,683974080
2001-10-22,709715040
2001-10-23,709715040
2001-10-24,724424160
2001-10-25,746487839
2001-10-26,761196960
2001-10-29,764874240
2001-10-30,735456000
2001-10-31,739133279
2001-11-01,735456000
2001-11-02,717069600
2001-11-05,706037760
2001-11-06,702360480
2001-11-07,709715040
2001-11-08,724424160
2001-11-09,750165120
2001-11-12,735456000
2001-11-13,728101440
2001-11-14,706037760
2001-11-15,647201280
2001-11-16,669264960
2001-11-19,665587680
2001-11-20,698683200
2001-11-21,672942240
2001-11-23,702360480
2001-11-26,695005920
2001-11-27,687651360
2001-11-28,665587680
2001-11-29,680296800
2001-11-30,676619520
2001-12-03,698683200
2001-12-04,709715040
2001-12-05,706037760
2001-12-06,695005920
2001-12-07,691328640
2001-12-10,687651360
2001-12-11,683974080
2001-12-12,661910400
2001-12-13,658233120
2001-12-14,665587680
2001-12-17,665587680
2001-12-18,683974080
2001-12-19,695005920
2001-12-20,698683200
2001-12-21,713392320
2001-12-24,724424160
2001-12-26,735456000
2001-12-27,739133279
2001-12-28,750165120
2001-12-31,758496000
2002-01-02,747118560
2002-01-03,743326080
2002-01-04,747118560
2002-01-07,743326080
2002-01-08,750911040
2002-01-09,743326080
2002-01-10,735741120
2002-01-11,728156160
2002-01-14,712986240
2002-01-15,720571200
2002-01-16,709193760
2002-01-17,709193760
2002-01-18,694023840
2002-01-22,678853920
2002-01-23,678853920
2002-01-24,690231360
2002-01-25,686438880
2002-01-28,648514080
2002-01-29,637136640
2002-01-30,633344160
2002-01-31,633344160
2002-02-01,633344160
2002-02-04,625759200
2002-02-05,625759200
2002-02-06,618174240
2002-02-07,595419360
2002-02-08,595419360
2002-02-11,599211840
2002-02-12,603004320
2002-02-13,603004320
2002-02-14,606796800
2002-02-15,610589280
2002-02-19,610589280
2002-02-20,599211840
2002-02-21,603004320
2002-02-22,625759200
2002-02-25,625759200
2002-02-26,633344160
2002-02-27,633344160
2002-02-28,637136640
2002-03-01,656099040
2002-03-04,663684000
2002-03-05,656099040
2002-03-06,686438880
2002-03-07,701608800
2002-03-08,697816320
2002-03-11,705401280
2002-03-12,724363680
2002-03-13,728156160
2002-03-14,739533600
2002-03-15,739533600
2002-03-18,750911040
2002-03-19,766080960
2002-03-20,769873439
2002-03-21,788835840
2002-03-22,769873439
2002-03-25,758496000
2002-03-26,758496000
2002-03-27,785043359
2002-03-28,781250880
2002-04-01,811197720
2002-04-02,811197720
2002-04-03,788347079
2002-04-04,776921760
2002-04-05,761688000
2002-04-08,769304880
2002-04-09,742645800
2002-04-10,769304880
2002-04-11,765496439
2002-04-12,750262680
2002-04-15,765496439
2002-04-16,776921760
2002-04-17,769304880
2002-04-18,784538640
2002-04-19,792155520
2002-04-22,784538640
2002-04-23,795963960
2002-04-24,776921760
2002-04-25,792155520
2002-04-26,792155520
2002-04-29,792155520
2002-04-30,795963960
2002-05-01,818814600
2002-05-02,811197720
2002-05-03,799772400
2002-05-06,780730199
2002-05-07,754071120
2002-05-08,788347079
2002-05-09,776921760
2002-05-10,776921760
2002-05-13,784538640
2002-05-14,784538640
2002-05-15,765496439
2002-05-16,769304880
2002-05-17,746454240
2002-05-20,746454240
2002-05-21,746454240
2002-05-22,746454240
2002-05-23,765496439
2002-05-24,754071120
2002-05-28,754071120
2002-05-29,742645800
2002-05-30,723603600
2002-05-31,727412040
2002-06-03,712178280
2002-06-04,712178280
2002-06-05,700752960
2002-06-06,670285440
2002-06-07,685519200
2002-06-10,677902320
2002-06-11,666477000
2002-06-12,681710760
2002-06-13,666477000
2002-06-14,677902320
2002-06-17,696944520
2002-06-18,708369840
2002-06-19,700752960
2002-06-20,696944520
2002-06-21,693136080
2002-06-24,696944520
2002-06-25,696944520
2002-06-26,700752960
2002-06-27,700752960
2002-06-28,723603600
2002-07-01,701989440
2002-07-02,686728800
2002-07-03,686728800
2002-07-05,698174280
2002-07-08,682913640
2002-07-09,686728800
2002-07-10,667653000
2002-07-11,648577200
2002-07-12,648577200
2002-07-15,637131720
2002-07-16,637131720
2002-07-17,644762040
2002-07-18,637131720
2002-07-19,629501400
2002-07-22,610425600
2002-07-23,583719480
2002-07-24,625686240
2002-07-25,614240760
2002-07-26,633316560
2002-07-29,671468160
2002-07-30,652392360
2002-07-31,663837840
2002-08-01,640946880
2002-08-02,633316560
2002-08-05,618055920
2002-08-06,652392360
2002-08-07,660022680
2002-08-08,686728800
2002-08-09,694359120
2002-08-12,701989440
2002-08-13,690543960
2002-08-14,713434920
2002-08-15,717250080
2002-08-16,728695560
2002-08-19,721065240
2002-08-20,713434920
2002-08-21,713434920
2002-08-22,732510720
2002-08-23,736325880
2002-08-26,743956200
2002-08-27,751586520
2002-08-28,717250080
2002-08-29,721065240
2002-08-30,705804600
2002-09-03,698174280
2002-09-04,705804600
2002-09-05,682913640
2002-09-06,709619760
2002-09-09,701989440
2002-09-10,709619760
2002-09-11,705804600
2002-09-12,686728800
2002-09-13,701989440
2002-09-16,705804600
2002-09-17,698174280
2002-09-18,701989440
2002-09-19,671468160
2002-09-20,660022680
2002-09-23,660022680
2002-09-24,637131720
2002-09-25,652392360
2002-09-26,671468160
2002-09-27,675283320
2002-09-30,681173760
2002-10-01,704006400
2002-10-02,692590080
2002-10-03,692590080
2002-10-04,681173760
2002-10-07,654535680
2002-10-08,654535680
2002-10-09,643119360
2002-10-10,650730240
2002-10-11,662146560
2002-10-14,700200960
2002-10-15,719228160
2002-10-16,696395520
2002-10-17,711617280
2002-10-18,700200960
2002-10-21,711617280
2002-10-22,684979200
2002-10-23,711617280
2002-10-24,684979200
2002-10-25,677368320
2002-10-28,677368320
2002-10-29,673562880
2002-10-30,696395520
2002-10-31,692590080
2002-11-01,704006400
2002-11-04,704006400
2002-11-05,696395520
2002-11-06,711617280
2002-11-07,715422720
2002-11-08,711617280
2002-11-11,711617280
2002-11-12,715422720
2002-11-13,684979200
2002-11-14,696395520
2002-11-15,696395520
2002-11-18,719228160
2002-11-19,715422720
2002-11-20,730644480
2002-11-21,742060800
2002-11-22,723033600
2002-11-25,738255360
2002-11-26,726839040
2002-11-27,742060800
2002-11-29,734449920
2002-12-02,753477120
2002-12-03,757282560
2002-12-04,757282560
2002-12-05,772504319
2002-12-06,772504319
2002-12-09,768698880
2002-12-10,795336960
2002-12-11,802947840
2002-12-12,825780480
2002-12-13,825780480
2002-12-16,829585920
2002-12-17,821975040
2002-12-18,795336960
2002-12-19,791531520
2002-12-20,787726079
2002-12-23,810558720
2002-12-24,799142400
2002-12-26,802947840
2002-12-27,783920640
2002-12-30,783920640
2002-12-31,790831079
2003-01-02,817574160
2003-01-03,806112840
2003-01-06,802292400
2003-01-07,783190199
2003-01-08,767908439
2003-01-09,771728880
2003-01-10,767908439
2003-01-13,767908439
2003-01-14,767908439
2003-01-15,767908439
2003-01-16,764088000
2003-01-17,764088000
2003-01-21,764088000
2003-01-22,760267560
2003-01-23,760267560
2003-01-24,748806240
2003-01-27,733524480
2003-01-28,733524480
2003-01-29,744985800
2003-01-30,748806240
2003-01-31,748806240
2003-02-03,748806240
2003-02-04,771728880
2003-02-05,752626680
2003-02-06,748806240
2003-02-07,741165360
2003-02-10,756447120
2003-02-11,744985800
2003-02-12,722063160
2003-02-13,737344920
2003-02-14,733524480
2003-02-18,733524480
2003-02-19,737344920
2003-02-20,752626680
2003-02-21,771728880
2003-02-24,787010640
2003-02-25,787010640
2003-02-26,783190199
2003-02-27,767908439
2003-02-28,767908439
2003-03-03,775549319
2003-03-04,783190199
2003-03-05,779369760
2003-03-06,790831079
2003-03-07,775549319
2003-03-10,787010640
2003-03-11,787010640
2003-03-12,771728880
2003-03-13,771728880
2003-03-14,760267560
2003-03-17,756447120
2003-03-18,760267560
2003-03-19,764088000
2003-03-20,771728880
2003-03-21,756447120
2003-03-24,748806240
2003-03-25,760267560
2003-03-26,748806240
2003-03-27,764088000
2003-03-28,779369760
2003-03-31,767520000
2003-04-01,775195200
2003-04-02,775195200
2003-04-03,759844800
2003-04-04,771357599
2003-04-07,763682400
2003-04-08,763682400
2003-04-09,771357599
2003-04-10,775195200
2003-04-11,779032799
2003-04-14,798220800
2003-04-15,790545600
2003-04-16,779032799
2003-04-17,790545600
2003-04-21,798220800
2003-04-22,813571200
2003-04-23,817408800
2003-04-24,809733600
2003-04-25,805896000
2003-04-28,790545600
2003-04-29,786707999
2003-04-30,782870400
2003-05-01,802058400
2003-05-02,798220800
2003-05-05,802058400
2003-05-06,798220800
2003-05-07,798220800
2003-05-08,802058400
2003-05-09,809733600
2003-05-12,805896000
2003-05-13,798220800
2003-05-14,802058400
2003-05-15,802058400
2003-05-16,794383199
2003-05-19,790545600
2003-05-20,786707999
2003-05-21,809733600
2003-05-22,821246400
2003-05-23,828921600
2003-05-27,840434400
2003-05-28,832759200
2003-05-29,844272000
2003-05-30,867297599
2003-06-02,882647999
2003-06-03,886485600
2003-06-04,894160800
2003-06-05,909511200
2003-06-06,921024000
2003-06-09,913348800
2003-06-10,940212000
2003-06-11,963237599
2003-06-12,944049600
2003-06-13,928699200
2003-06-16,917186400
2003-06-17,905673600
2003-06-18,897998400
2003-06-19,905673600
2003-06-20,886485600
2003-06-23,894160800
2003-06-24,890323199
2003-06-25,890323199
2003-06-26,886485600
2003-06-27,894160800
2003-06-30,888140399
2003-07-01,892001880
2003-07-02,892001880
2003-07-03,892001880
2003-07-07,880417439
2003-07-08,872694479
2003-07-09,888140399
2003-07-10,872694479
2003-07-11,872694479
2003-07-14,868833000
2003-07-15,857248560
2003-07-16,841802640
2003-07-17,841802640
2003-07-18,857248560
2003-07-21,841802640
2003-07-22,849525600
2003-07-23,834079680
2003-07-24,830218200
2003-07-25,837941160
2003-07-28,841802640
2003-07-29,818633760
2003-07-30,803187840
2003-07-31,807049320
2003-08-01,795464880
2003-08-04,783880439
2003-08-05,783880439
2003-08-06,803187840
2003-08-07,807049320
2003-08-08,799326359
2003-08-11,826356720
2003-08-12,845664120
2003-08-13,853387080
2003-08-14,849525600
2003-08-15,857248560
2003-08-18,861110040
2003-08-19,864971520
2003-08-20,868833000
2003-08-21,884278920
2003-08-22,868833000
2003-08-25,861110040
2003-08-26,857248560
2003-08-27,864971520
2003-08-28,864971520
2003-08-29,868833000
2003-09-02,872694479
2003-09-03,857248560
2003-09-04,861110040
2003-09-05,861110040
2003-09-08,876555960
2003-09-09,845664120
2003-09-10,841802640
2003-09-11,837941160
2003-09-12,834079680
2003-09-15,826356720
2003-09-16,837941160
2003-09-17,834079680
2003-09-18,830218200
2003-09-19,837941160
2003-09-22,830218200
2003-09-23,841802640
2003-09-24,853387080
2003-09-25,830218200
2003-09-26,834079680
2003-09-29,834079680
2003-09-30,837941160
2003-10-01,857248560
2003-10-02,864971520
2003-10-03,880417439
2003-10-06,884278920
2003-10-07,888140399
2003-10-08,876555960
2003-10-09,872694479
2003-10-10,872694479
2003-10-13,876555960
2003-10-14,876555960
2003-10-15,872694479
2003-10-16,872694479
2003-10-17,864971520
2003-10-20,864971520
2003-10-21,864971520
2003-10-22,861110040
2003-10-23,849525600
2003-10-24,841802640
2003-10-27,837941160
2003-10-28,837941160
2003-10-29,845664120
2003-10-30,814772280
2003-10-31,822495240
2003-11-03,845664120
2003-11-04,841802640
2003-11-05,841802640
2003-11-06,849525600
2003-11-07,853387080
2003-11-10,864971520
2003-11-11,834079680
2003-11-12,853387080
2003-11-13,857248560
2003-11-14,857248560
2003-11-17,857248560
2003-11-18,853387080
2003-11-19,845664120
2003-11-20,834079680
2003-11-21,841802640
2003-11-24,845664120
2003-11-25,849525600
2003-11-26,849525600
2003-11-28,853387080
2003-12-01,868833000
2003-12-02,880417439
2003-12-03,880417439
2003-12-04,915170760
2003-12-05,915170760
2003-12-08,934478160
2003-12-09,926755200
2003-12-10,934478160
2003-12-11,946062600
2003-12-12,946062600
2003-12-15,934478160
2003-12-16,949924080
2003-12-17,953785560
2003-12-18,969231479
2003-12-19,961508520
2003-12-22,953785560
2003-12-23,953785560
2003-12-24,965370000
2003-12-26,965370000
2003-12-29,973092960
2003-12-30,969231479
2003-12-31,952501200
2004-01-02,952501200
2004-01-05,971940000
2004-01-06,971940000
2004-01-07,971940000
2004-01-08,971940000
2004-01-09,1010817600
2004-01-12,1018593120
2004-01-13,1022480880
2004-01-14,1026368640
2004-01-15,1003042080
2004-01-16,1003042080
2004-01-20,1014705360
2004-01-21,1030256400
2004-01-22,1034144160
2004-01-23,1061358480
2004-01-26,1065246240
2004-01-27,1038031920
2004-01-28,1022480880
2004-01-29,1003042080
2004-01-30,987491040
2004-02-02,987491040
2004-02-03,979715520
2004-02-04,968052240
2004-02-05,952501200
2004-02-06,975827759
2004-02-09,991378799
2004-02-10,1022480880
2004-02-11,1030256400
2004-02-12,1038031920
2004-02-13,1038031920
2004-02-17,1045807440
2004-02-18,1026368640
2004-02-19,971940000
2004-02-20,968052240
2004-02-23,964164480
2004-02-24,952501200
2004-02-25,979715520
2004-02-26,979715520
2004-02-27,983603279
2004-03-01,991378799
2004-03-02,1003042080
2004-03-03,999154319
2004-03-04,1003042080
2004-03-05,1022480880
2004-03-08,987491040
2004-03-09,995266560
2004-03-10,975827759
2004-03-11,964164480
2004-03-12,987491040
2004-03-15,983603279
2004-03-16,987491040
2004-03-17,991378799
2004-03-18,1003042080
2004-03-19,991378799
2004-03-22,975827759
2004-03-23,971940000
2004-03-24,933062400
2004-03-25,936950160
2004-03-26,936950160
2004-03-29,968052240
2004-03-30,975827759
2004-03-31,1492943400
2004-04-01,1469524679
2004-04-02,1504652760
2004-04-05,1510507440
2004-04-06,1504652760
2004-04-07,1528071480
2004-04-08,1563199560
2004-04-12,1598327640
2004-04-13,1586618280
2004-04-14,1586618280
2004-04-15,1668583800
2004-04-16,1697857200
2004-04-19,1715421240
2004-04-20,1686147840
2004-04-21,1680293160
2004-04-22,1732985280
2004-04-23,1721275920
2004-04-26,1756404000
2004-04-27,1797386760
2004-04-28,1744694640
2004-04-29,1668583800
2004-04-30,1744694640
2004-05-03,1791532080
2004-05-04,1779822720
2004-05-05,1768113360
2004-05-06,1785677400
2004-05-07,1768113360
2004-05-10,1692002520
2004-05-11,1732985280
2004-05-12,1756404000
2004-05-13,1756404000
2004-05-14,1768113360
2004-05-17,1744694640
2004-05-18,1750549320
2004-05-19,1744694640
2004-05-20,1762258679
2004-05-21,1750549320
2004-05-24,1791532080
2004-05-25,1861788240
2004-05-26,1820805480
2004-05-27,1779822720
2004-05-28,1797386760
2004-06-01,1861788240
2004-06-02,1838369520
2004-06-03,1832514840
2004-06-04,1844224200
2004-06-07,1902771000
2004-06-08,1855933560
2004-06-09,1820805480
2004-06-10,1867642920
2004-06-14,1861788240
2004-06-15,1949608440
2004-06-16,1967172480
2004-06-17,1955463120
2004-06-18,1967172480
2004-06-21,1967172480
2004-06-22,1996445880
2004-06-23,2054992679
2004-06-24,2031573960
2004-06-25,2037428640
2004-06-28,2014009920
2004-06-29,2019864600
2004-06-30,2068099920
2004-07-01,2073958560
2004-07-02,2068099920
2004-07-06,2085675840
2004-07-07,2079817200
2004-07-08,2068099920
2004-07-09,2038806720
2004-07-12,2027089440
2004-07-13,2050524000
2004-07-14,2079817200
2004-07-15,2085675840
2004-07-16,2073958560
2004-07-19,2120827680
2004-07-20,2085675840
2004-07-21,2021230800
2004-07-22,2003654880
2004-07-23,1986078960
2004-07-26,1986078960
2004-07-27,2056382639
2004-07-28,2079817200
2004-07-29,2120827680
2004-07-30,2144262240
2004-08-02,2138403600
2004-08-03,2132544960
2004-08-04,2044665360
2004-08-05,1968503040
2004-08-06,1956785760
2004-08-09,1980220320
2004-08-10,1980220320
2004-08-11,1986078960
2004-08-12,1950927120
2004-08-13,1974361680
2004-08-16,1915775280
2004-08-17,1892340720
2004-08-18,1921633920
2004-08-19,1915775280
2004-08-20,1950927120
2004-08-23,1898199360
2004-08-24,1921633920
2004-08-25,1904058000
2004-08-26,1915775280
2004-08-27,1939209840
2004-08-30,1921633920
2004-08-31,1974361680
2004-09-01,2009513520
2004-09-02,2032948080
2004-09-03,2032948080
2004-09-07,2044665360
2004-09-08,2038806720
2004-09-09,2073958560
2004-09-10,2062241280
2004-09-13,2079817200
2004-09-14,2079817200
2004-09-15,2091534480
2004-09-16,2109110400
2004-09-17,2126686320
2004-09-20,2120827680
2004-09-21,2173555440
2004-09-22,2150120880
2004-09-23,2167696800
2004-09-24,2202848640
2004-09-27,2155979520
2004-09-28,2202848640
2004-09-29,2179414080
2004-09-30,1460754240
2004-10-01,1472471520
2004-10-04,1484188800
2004-10-05,1515434880
2004-10-06,1531057920
2004-10-07,1515434880
2004-10-08,1511529120
2004-10-11,1484188800
2004-10-12,1464660000
2004-10-13,1378733280
2004-10-14,1398262080
2004-10-15,1398262080
2004-10-18,1370921760
2004-10-19,1367016000
2004-10-20,1406073600
2004-10-21,1409979360
2004-10-22,1413885120
2004-10-25,1402167840
2004-10-26,1409979360
2004-10-27,1402167840
2004-10-28,1370921760
2004-10-29,1378733280
2004-11-01,1363110240
2004-11-02,1331864160
2004-11-03,1390450560
2004-11-04,1409979360
2004-11-05,1409979360
2004-11-08,1394356320
2004-11-09,1394356320
2004-11-10,1425602400
2004-11-11,1417790880
2004-11-12,1429508160
2004-11-15,1394356320
2004-11-16,1370921760
2004-11-17,1402167840
2004-11-18,1406073600
2004-11-19,1429508160
2004-11-22,1460754240
2004-11-23,1511529120
2004-11-24,1534963680
