,AMAT
2000-11-01,41543000620
2000-11-02,42142724000
2000-11-03,40068005280
2000-11-06,39970752840
2000-11-07,37993286560
2000-11-08,35205383280
2000-11-09,35156757060
2000-11-10,33179290780
2000-11-13,32628193620
2000-11-14,33584509280
2000-11-15,34654286120
2000-11-16,33730387939
2000-11-17,33325169439
2000-11-20,33325169439
2000-11-21,34297693840
2000-11-22,34249067620
2000-11-24,37831199160
2000-11-27,35756480440
2000-11-28,33276543220
2000-11-29,34800164780
2000-11-30,32774072280
2000-12-01,31250450720
2000-12-04,31201824500
2000-12-05,35756480440
2000-12-06,32871324720
2000-12-07,32417480000
2000-12-08,35805106660
2000-12-11,41283660780
2000-12-12,36874883500
2000-12-13,34589451160
2000-12-14,32725446060
2000-12-15,32012261500
2000-12-18,32222975120
2000-12-19,31607043000
2000-12-20,30650727340
2000-12-21,28673261060
2000-12-22,31299076939
2000-12-26,30796606000
2000-12-27,32060887720
2000-12-28,31963635280
2000-12-29,30942484660
2001-01-02,32012261500
2001-01-03,40213883940
2001-01-04,35967194060
2001-01-05,34589451160
2001-01-08,37085597120
2001-01-09,35254009500
2001-01-10,36275160120
2001-01-11,37588068060
2001-01-12,37588068060
2001-01-16,36015820280
2001-01-17,39046854660
2001-01-18,40570476220
2001-01-19,40473223780
2001-01-22,39662786780
2001-01-23,39111689620
2001-01-24,40213883940
2001-01-25,39516908120
2001-01-26,38803723560
2001-01-29,40713743720
2001-01-30,42547403760
2001-01-31,40827333280
2001-02-01,41022058240
2001-02-02,38750267040
2001-02-05,37176240280
2001-02-06,37224921520
2001-02-07,36316205040
2001-02-08,34385182520
2001-02-09,34579907480
2001-02-12,35699576000
2001-02-13,33476466040
2001-02-14,37987594280
2001-02-15,40113341760
2001-02-16,39139716960
2001-02-20,37273602760
2001-02-21,37825323480
2001-02-22,37987594280
2001-02-23,38896310760
2001-02-26,38798948280
2001-02-27,36510930000
2001-02-28,34287820040
2001-03-01,36770563280
2001-03-02,36721882040
2001-03-05,38587996240
2001-03-06,40421656280
2001-03-07,40421656280
2001-03-08,40827333280
2001-03-09,37938913040
2001-03-12,37581917280
2001-03-13,38847629520
2001-03-14,39091035720
2001-03-15,37419646480
2001-03-16,35910528040
2001-03-19,37825323480
2001-03-20,34742178280
2001-03-21,36413567520
2001-03-22,40113341760
2001-03-23,40778652040
2001-03-26,40015979280
2001-03-27,41281691520
2001-03-28,38685358720
2001-03-29,36965288240
2001-03-30,35293899000
2001-04-02,32454160000
2001-04-03,32551522479
2001-04-04,30685408280
2001-04-05,34287820040
2001-04-06,32454160000
2001-04-09,31496762280
2001-04-10,34693497040
2001-04-11,37338511080
2001-04-12,40145795920
2001-04-16,38880083680
2001-04-17,38620450400
2001-04-18,43017989080
2001-04-19,47658933960
2001-04-20,45695457280
2001-04-23,42790809960
2001-04-24,41947001800
2001-04-25,43147805720
2001-04-26,41249237360
2001-04-27,43731980600
2001-04-30,44494632000
2001-05-01,44853196800
2001-05-02,44559825600
2001-05-03,42864792000
2001-05-04,41984678400
2001-05-07,41349040800
2001-05-08,42864792000
2001-05-09,41593516800
2001-05-10,41560920000
2001-05-11,42147662400
2001-05-14,40485225600
2001-05-15,40664508000
2001-05-16,44087172000
2001-05-17,43924188000
2001-05-18,44820600000
2001-05-21,46874198400
2001-05-22,46124472000
2001-05-23,43141864800
2001-05-24,44347946400
2001-05-25,43777502400
2001-05-29,42245452800
2001-05-30,39898483200
2001-05-31,40697104800
2001-06-01,41821694400
2001-06-04,40794895200
2001-06-05,42783300000
2001-06-06,42913687200
2001-06-07,45651818400
2001-06-08,45048777600
2001-06-11,43696010400
2001-06-12,44413140000
2001-06-13,43826397600
2001-06-14,41560920000
2001-06-15,40680806400
2001-06-18,40208152800
2001-06-19,39376934400
2001-06-20,39409531200
2001-06-21,38806490400
2001-06-22,39979975200
2001-06-25,40631911200
2001-06-26,40925282400
2001-06-27,39507321600
2001-06-28,40403733600
2001-06-29,40012572000
2001-07-02,40713403200
2001-07-03,40941580800
2001-07-05,39670305600
2001-07-06,36915876000
2001-07-09,36524714400
2001-07-10,34862277600
2001-07-11,35905375200
2001-07-12,37844884800
2001-07-13,37779691200
2001-07-16,34194043200
2001-07-17,36329133600
2001-07-18,35497915200
2001-07-19,36915876000
2001-07-20,36720295200
2001-07-23,35514213600
2001-07-24,35008963200
2001-07-25,35677197600
2001-07-26,36818085600
2001-07-27,37698199200
2001-07-30,37895213200
2001-07-31,37293443720
2001-08-01,39277656600
2001-08-02,40660100000
2001-08-03,40334819200
2001-08-06,39635465480
2001-08-07,38057853600
2001-08-08,36382657480
2001-08-09,36463977680
2001-08-10,36171224960
2001-08-13,36463977680
2001-08-14,35504399320
2001-08-15,35569455480
2001-08-16,36350129400
2001-08-17,34626141160
2001-08-20,35162854480
2001-08-21,34154484000
2001-08-22,35699567800
2001-08-23,35894736280
2001-08-24,38139173800
2001-08-27,38431926520
2001-08-28,36772994440
2001-08-29,35585719520
2001-08-30,35049006200
2001-08-31,35049006200
2001-09-04,34105691880
2001-09-05,34219540160
2001-09-06,32690720400
2001-09-07,32755776560
2001-09-10,32544344040
2001-09-17,29811985319
2001-09-18,26933250239
2001-09-19,25306846240
2001-09-20,23989459000
2001-09-21,23778026480
2001-09-24,23859346680
2001-09-25,24851453120
2001-09-26,23696706280
2001-09-27,22672071760
2001-09-28,23127464880
2001-10-01,23111200840
2001-10-02,22363055000
2001-10-03,24672548680
2001-10-04,25209262000
2001-10-05,25664655120
2001-10-08,27535019720
2001-10-09,25339374320
2001-10-10,26347744800
2001-10-11,29161423720
2001-10-12,28592182319
2001-10-15,27356115280
2001-10-16,28022940920
2001-10-17,26136312280
2001-10-18,25697183200
2001-10-19,26461593080
2001-10-22,28283165560
2001-10-23,27535019720
2001-10-24,28738558680
2001-10-25,30446282880
2001-10-26,29974625720
2001-10-29,28228210500
2001-10-30,27213631340
2001-10-31,27917291079
2001-11-01,30273733000
2001-11-02,31075577819
2001-11-05,31468318140
2001-11-06,32662903280
2001-11-07,32188342060
2001-11-08,31419225600
2001-11-09,31566503220
2001-11-12,31877422640
2001-11-13,33382927199
2001-11-14,33317470480
2001-11-15,31991971900
2001-11-16,32122885340
2001-11-19,31779237560
2001-11-20,29995541939
2001-11-21,31091942000
2001-11-23,31713780840
2001-11-26,32777452540
2001-11-27,34348413819
2001-11-28,32761088360
2001-11-29,33922945140
2001-11-30,32515625660
2001-12-03,32139249520
2001-12-04,34724789960
2001-12-05,37572157280
2001-12-06,37212145320
2001-12-07,36377572140
2001-12-10,35657548220
2001-12-11,35952103460
2001-12-12,36704855740
2001-12-13,33612025720
2001-12-14,34626604880
2001-12-17,35346628800
2001-12-18,34986616840
2001-12-19,33841124240
2001-12-20,32368348040
2001-12-21,32711995819
2001-12-24,32826545079
2001-12-26,33153828680
2001-12-27,33562933180
2001-12-28,34217500380
2001-12-31,32810180900
2002-01-02,34086586939
2002-01-03,37228509500
2002-01-04,36999410980
2002-01-07,36606670660
2002-01-08,37457608020
2002-01-09,38193996120
2002-01-10,37637614000
2002-01-11,36819405000
2002-01-14,37081231880
2002-01-15,37326694580
2002-01-16,34004766040
2002-01-17,34037494400
2002-01-18,33006551060
2002-01-22,32319255500
2002-01-23,33742939160
2002-01-24,32744724180
2002-01-25,34479327260
2002-01-28,35249149650
2002-01-29,33950929220
2002-01-30,35462780860
2002-01-31,35873610110
2002-02-01,35298449160
2002-02-04,36136540830
2002-02-05,36514503740
2002-02-06,36695268610
2002-02-07,34361758470
2002-02-08,35397048180
2002-02-11,37533360280
2002-02-12,36744568120
2002-02-13,39406741660
2002-02-14,38880880220
2002-02-15,38782281200
2002-02-19,37631959300
2002-02-20,38272852930
2002-02-21,35561379880
2002-02-22,34904053080
2002-02-25,36925332990
2002-02-26,36629535930
2002-02-27,36383038380
2002-02-28,35725711580
2002-03-01,39423174830
2002-03-04,41132224510
2002-03-05,41888150330
2002-03-06,41526620590
2002-03-07,42200380560
2002-03-08,43975162920
2002-03-11,42561910300
2002-03-12,41625219610
2002-03-13,40672095750
2002-03-14,40507764050
2002-03-15,41674519120
2002-03-18,42578343470
2002-03-19,43202803930
2002-03-20,41904583500
2002-03-21,42742675170
2002-03-22,42331845920
2002-03-25,42134647880
2002-03-26,43005605890
2002-03-27,42709808830
2002-03-28,44599623380
2002-04-01,45618479920
2002-04-02,44385992170
2002-04-03,43695799030
2002-04-04,44451724850
2002-04-05,43054905400
2002-04-08,43564333670
2002-04-09,42200380560
2002-04-10,41904583500
2002-04-11,41444454740
2002-04-12,41575920100
2002-04-15,42266113240
2002-04-16,44501024360
2002-04-17,44862554100
2002-04-18,43892997070
2002-04-19,43515034160
2002-04-22,42824841020
2002-04-23,42561910300
2002-04-24,41082925000
2002-04-25,41460887910
2002-04-26,39061645090
2002-04-29,39433513140
2002-04-30,40059441920
2002-05-01,40191216400
2002-05-02,37671029470
2002-05-03,36518002770
2002-05-06,36435643720
2002-05-07,36765079920
2002-05-08,42101946360
2002-05-09,41607792060
2002-05-10,39038189700
2002-05-13,42134889980
2002-05-14,43880901840
2002-05-15,44062091750
2002-05-16,44688020530
2002-05-17,44984513110
2002-05-20,44111507180
2002-05-21,43337332110
2002-05-22,43090254960
2002-05-23,42118418170
2002-05-24,39202907800
2002-05-28,39730005720
2002-05-29,38049881100
2002-05-30,37209818790
2002-05-31,36534474580
2002-06-03,35299088830
2002-06-04,36237982000
2002-06-05,36814495350
2002-06-06,34459026520
2002-06-07,33964872220
2002-06-10,33701323260
2002-06-11,32268275790
2002-06-12,34096646700
2002-06-13,33569548780
2002-06-14,32663599229
2002-06-17,34656688240
2002-06-18,33701323260
2002-06-19,32432993890
2002-06-20,31609403390
2002-06-21,30901115560
2002-06-24,32729486470
2002-06-25,32614183800
2002-06-26,31279967189
2002-06-27,32877732760
2002-06-28,31329382620
2002-07-01,29698673430
2002-07-02,27952661570
2002-07-03,29632786189
2002-07-05,32828317330
2002-07-08,31296439000
2002-07-09,29188047320
2002-07-10,27458507270
2002-07-11,30028109630
2002-07-12,30439904880
2002-07-15,31955311399
2002-07-16,30308130399
2002-07-17,29632786189
2002-07-18,28249154149
2002-07-19,27672640800
2002-07-22,27722056229
2002-07-23,25663079980
2002-07-24,27260845550
2002-07-25,23439385630
2002-07-26,23587631920
2002-07-29,24818541200
2002-07-30,25804708400
2002-07-31,24440510440
2002-08-01,23043440240
2002-08-02,22517484400
2002-08-05,20972489120
2002-08-06,22287378720
2002-08-07,22287378720
2002-08-08,23585832200
2002-08-09,22780462320
2002-08-12,22320250960
2002-08-13,22123017520
2002-08-14,23700885040
2002-08-15,22780462320
2002-08-16,24161096400
2002-08-19,25426677640
2002-08-20,24703488360
2002-08-21,26363536480
2002-08-22,26577206040
2002-08-23,24785668960
2002-08-26,24588435520
2002-08-27,22895515160
2002-08-28,21777859000
2002-08-29,22090145280
2002-08-30,21958656320
2002-09-03,21350519880
2002-09-04,20873872400
2002-09-05,19838396840
2002-09-06,21268339280
2002-09-09,20857436280
2002-09-10,22139453640
2002-09-11,22501048280
2002-09-12,20939616880
2002-09-13,21416264360
2002-09-16,20824564040
2002-09-17,20052066400
2002-09-18,20084938640
2002-09-19,19690471760
2002-09-20,19624727280
2002-09-23,18408454400
2002-09-24,19279568760
2002-09-25,20199991480
2002-09-26,19296004880
2002-09-27,19427493840
2002-09-30,18983718600
2002-10-01,20068502520
2002-10-02,20545150000
2002-10-03,18901538000
2002-10-04,18622123960
2002-10-07,17866062440
2002-10-08,17011384200
2002-10-09,17110000920
2002-10-10,18260529320
2002-10-11,19821960720
2002-10-14,19723344000
2002-10-15,21449136600
2002-10-16,19690471760
2002-10-17,21334083760
2002-10-18,22090145280
2002-10-21,23076312480
2002-10-22,21514881080
2002-10-23,23684448920
2002-10-24,22303814840
2002-10-25,23848810120
2002-10-28,24957253440
2002-10-29,23686282200
2002-10-30,25287375840
2002-10-31,24808698360
2002-11-01,25947620640
2002-11-04,27152567400
2002-11-05,26096175720
2002-11-06,27812812200
2002-11-07,25931114520
2002-11-08,25947620640
2002-11-11,24049416840
2002-11-12,24874722840
2002-11-13,24263996400
2002-11-14,26013645120
2002-11-15,26129187960
2002-11-18,25303881960
2002-11-19,24874722840
2002-11-20,26178706320
2002-11-21,28060404000
2002-11-22,27812812200
2002-11-25,28109922360
2002-11-26,27334134719
2002-11-27,28869203879
2002-11-29,28142934600
2002-12-02,27713775480
2002-12-03,26360273640
2002-12-04,24940747320
2002-12-05,24577612680
2002-12-06,24577612680
2002-12-09,22613384400
2002-12-10,24379539240
2002-12-11,24049416840
2002-12-12,23702788320
2002-12-13,22382298720
2002-12-16,23867849520
2002-12-17,22877482320
2002-12-18,21887115120
2002-12-19,22332780360
2002-12-20,21969645720
2002-12-23,23009531280
2002-12-24,22893988440
2002-12-26,22794951720
2002-12-27,22316274240
2002-12-30,21936633480
2002-12-31,21507474360
2003-01-02,23075555760
2003-01-03,23983392360
2003-01-06,25435930920
2003-01-07,25254363600
2003-01-08,24148453560
2003-01-09,24825204480
2003-01-10,25914608400
2003-01-13,25419424800
2003-01-14,25353400320
2003-01-15,23851343400
2003-01-16,23669776080
2003-01-17,22332780360
2003-01-21,22316274240
2003-01-22,22745433360
2003-01-23,23207604720
2003-01-24,21903621240
2003-01-27,21990710560
2003-01-28,21924473480
2003-01-29,22520607200
2003-01-30,21444254650
2003-01-31,19821446190
2003-02-03,19904242540
2003-02-04,20169190860
2003-02-05,19904242540
2003-02-06,19871124000
2003-02-07,19556497870
2003-02-10,19953920350
2003-02-11,19771768380
2003-02-12,19556497870
2003-02-13,19556497870
2003-02-14,20533494800
2003-02-18,21096509980
2003-02-19,20550054070
2003-02-20,21162747060
2003-02-21,21195865600
2003-02-24,21228984140
2003-02-25,20947476550
2003-02-26,20401020640
2003-02-27,20831561660
2003-02-28,21493932460
2003-03-03,20930917280
2003-03-04,20285105750
2003-03-05,20268546480
2003-03-06,19953920350
2003-03-07,19804886920
2003-03-10,19208753200
2003-03-11,19225312470
2003-03-12,19457142250
2003-03-13,20964035820
2003-03-14,20483816990
2003-03-17,21725762240
2003-03-18,22421251580
2003-03-19,22421251580
2003-03-20,23033944570
2003-03-21,23563841210
2003-03-24,22454370120
2003-03-25,22537166470
2003-03-26,22702759170
2003-03-27,22355014500
2003-03-28,21907914210
2003-03-31,20831561660
2003-04-01,21129628520
2003-04-02,22504047930
2003-04-03,22752436980
2003-04-04,22388133040
2003-04-07,22984266760
2003-04-08,22205981070
2003-04-09,21676084430
2003-04-10,21924473480
2003-04-11,21576728810
2003-04-14,22321895960
2003-04-15,22205981070
2003-04-16,23232655810
2003-04-17,24507719600
2003-04-21,24822345730
2003-04-22,26180205870
2003-04-23,25782783390
2003-04-24,24921701350
2003-04-25,23497604130
2003-04-28,23994417900
2003-04-29,24707944850
2003-04-30,24259916300
2003-05-01,24475633750
2003-05-02,25139379750
2003-05-05,25023224200
2003-05-06,25653782900
2003-05-07,25139379750
2003-05-08,24210135350
2003-05-09,25023224200
2003-05-12,26085217800
2003-05-13,25819719400
2003-05-14,24840694050
2003-05-15,24707944850
2003-05-16,23745513150
2003-05-19,22816268750
2003-05-20,22832862400
2003-05-21,22666925900
2003-05-22,23031986200
2003-05-23,22965611600
2003-05-27,24376071850
2003-05-28,24508821050
2003-05-29,24591789300
2003-05-30,25819719400
2003-06-02,25371690850
2003-06-03,26267747950
2003-06-04,27645020900
2003-06-05,27993487550
2003-06-06,27031055850
2003-06-09,26251154300
2003-06-10,26267747950
2003-06-11,26151592400
2003-06-12,25919281300
2003-06-13,25272128950
2003-06-16,26018843200
2003-06-17,26168186050
2003-06-18,26715776500
2003-06-19,26516652700
2003-06-20,26184779700
2003-06-23,25869500350
2003-06-24,25438065450
2003-06-25,25570814650
2003-06-26,26433684450
2003-06-27,26583027300
2003-06-30,26284341600
2003-07-01,26848525700
2003-07-02,26997868550
2003-07-03,26566433650
2003-07-07,29254604950
2003-07-08,29536697000
2003-07-09,29287792249
2003-07-10,28939325600
2003-07-11,28856357350
2003-07-14,30100881100
2003-07-15,30980344550
2003-07-16,31892995300
2003-07-17,30382973149
2003-07-18,30167255700
2003-07-21,29652852550
2003-07-22,31129687400
2003-07-23,32025744500
2003-07-24,31361998499
2003-07-25,32025744500
2003-07-28,32709868470
2003-07-29,32129023520
2003-07-30,31896685540
2003-07-31,32294979220
2003-08-01,32460934919
2003-08-04,32809441890
2003-08-05,31315840590
2003-08-06,30784782350
2003-08-07,31166480460
2003-08-08,29672879160
2003-08-11,30436275380
2003-08-12,30618826650
2003-08-13,31647751990
2003-08-14,31813707690
2003-08-15,31448605150
2003-08-18,32759655179
2003-08-19,33323904559
2003-08-20,33257522280
2003-08-21,34402616610
2003-08-22,35348564100
2003-08-25,35182608400
2003-08-26,34767719150
2003-08-27,35929409050
2003-08-28,35796644490
2003-08-29,35896217910
2003-09-02,35331968530
2003-09-03,34784314720
2003-09-04,35215799540
2003-09-05,35414946380
2003-09-08,36875356540
2003-09-09,36626422990
2003-09-10,34352829900
2003-09-11,35033248270
2003-09-12,34800910290
2003-09-15,34153683059
2003-09-16,35481328660
2003-09-17,35049843840
2003-09-18,34502190030
2003-09-19,33987727360
2003-09-22,32643486190
2003-09-23,32676677330
2003-09-24,30668613360
2003-09-25,30983929190
2003-09-26,30569039940
2003-09-29,31398818440
2003-09-30,30087768410
2003-10-01,30801377919
2003-10-02,30784782350
2003-10-03,32294979220
2003-10-06,32046045669
2003-10-07,32991993160
2003-10-08,33406882410
2003-10-09,34103896350
2003-10-10,34435807750
2003-10-13,34850697000
2003-10-14,34684741300
2003-10-15,35846431200
2003-10-16,36294511590
2003-10-17,35049843840
2003-10-20,35846431200
2003-10-21,36294511590
2003-10-22,35398350810
2003-10-23,34269852049
2003-10-24,34269852049
2003-10-27,34851558000
2003-10-28,37929663750
2003-10-29,37980124500
2003-10-30,39090261000
2003-10-31,39241643250
2003-11-03,41310534000
2003-11-04,41882422500
2003-11-05,41966523750
2003-11-06,43076660250
2003-11-07,42471131250
2003-11-10,41058230250
2003-11-11,41882422500
2003-11-12,42790716000
2003-11-13,41613298500
2003-11-14,39493947000
2003-11-17,39931273500
2003-11-18,38737035750
2003-11-19,39409845750
2003-11-20,38434271250
2003-11-21,38619294000
2003-11-24,40015374750
2003-11-25,40402240500
2003-11-26,39931273500
2003-11-28,40772286000
2003-12-01,40721825250
2003-12-02,40469521500
2003-12-03,39931273500
2003-12-04,39056620500
2003-12-05,37576438500
2003-12-08,37761461250
2003-12-09,35928054000
2003-12-10,36415841250
2003-12-11,37441876500
2003-12-12,37711000500
2003-12-15,36382200750
2003-12-16,35860773000
2003-12-17,35322525000
2003-12-18,36735426000
2003-12-19,36769066500
2003-12-22,37004550000
2003-12-23,37559618250
2003-12-24,37425056250
2003-12-26,37290494250
2003-12-29,38215608000
2003-12-30,37828742250
2003-12-31,37744641000
2004-01-02,37172752500
2004-01-05,39561228000
2004-01-06,40234038000
2004-01-07,40099476000
2004-01-08,40839567000
2004-01-09,40805926500
2004-01-12,41428275750
2004-01-13,40116296250
2004-01-14,39342564750
2004-01-15,40385420250
2004-01-16,41058230250
2004-01-20,40957308750
2004-01-21,40351779750
2004-01-22,39611688750
2004-01-23,37879203000
2004-01-26,38602473750
2004-01-27,37055010750
2004-01-28,36012155250
2004-01-29,36180357750
2004-01-30,36483122250
2004-02-02,36500421030
2004-02-03,36652576560
2004-02-04,36145391460
2004-02-05,36111579120
2004-02-06,37836008460
2004-02-09,37278104850
2004-02-10,37244292510
2004-02-11,37700759100
2004-02-12,37278104850
2004-02-13,36804732090
2004-02-17,37092136980
2004-02-18,37717665270
2004-02-19,37413354210
2004-02-20,36770919750
2004-02-23,35857986570
2004-02-24,35908705080
2004-02-25,36770919750
2004-02-26,36703295070
2004-02-27,35925611250
2004-03-01,36787825920
2004-03-02,36635670390
2004-03-03,35824174230
2004-03-04,36449702520
2004-03-05,36213016140
2004-03-08,35029584240
2004-03-09,35519863170
2004-03-10,35519863170
2004-03-11,35232458280
2004-03-12,36010142100
2004-03-15,35046490410
2004-03-16,35739643380
2004-03-17,36043954440
2004-03-18,35722737210
2004-03-19,34387149780
2004-03-22,34150463400
2004-03-23,34420962120
2004-03-24,35114115090
2004-03-25,36737107410
2004-03-26,36229922310
2004-03-29,36331359330
2004-03-30,36162297630
2004-03-31,36060860610
2004-04-01,36720201240
2004-04-02,38123413350
2004-04-05,38309381220
2004-04-06,37751477610
2004-04-07,37464072720
2004-04-08,38072694840
2004-04-12,38613692280
2004-04-13,38038882500
2004-04-14,37869820800
2004-04-15,36297546990
2004-04-16,35164833600
2004-04-19,35790361890
2004-04-20,34184275739
2004-04-21,34201181910
2004-04-22,33355873410
2004-04-23,33778527660
2004-04-26,32865594480
2004-04-27,32578189590
2004-04-28,32020285980
2004-04-29,31158071310
2004-04-30,30887572590
2004-05-03,30741377280
2004-05-04,31640545599
2004-05-05,31521787519
2004-05-06,31606614720
2004-05-07,31674476480
2004-05-10,32387024960
2004-05-11,33269227840
2004-05-12,32828126400
2004-05-13,32081647040
2004-05-14,31453925760
2004-05-17,31301236800
2004-05-18,31979854400
2004-05-19,31623580160
2004-05-20,31029789760
2004-05-21,31182478720
2004-05-24,31759303679
2004-05-25,32607575679
2004-05-26,32997780800
2004-05-27,33252262400
2004-05-28,33879983679
2004-06-01,33387985920
2004-06-02,32319163200
2004-06-03,31521787519
2004-06-04,31827165440
2004-06-07,32946884480
2004-06-08,32420955840
2004-06-09,31691441920
2004-06-10,32098612480
2004-06-14,31674476480
2004-06-15,32115577920
2004-06-16,31691441920
2004-06-17,31131582400
2004-06-18,30775308160
2004-06-21,30588688320
2004-06-22,31470891200
2004-06-23,32183439679
2004-06-24,32013785280
2004-06-25,32692402880
2004-06-28,31979854400
2004-06-29,33303158720
2004-06-30,33286193280
2004-07-01,32234336000
2004-07-02,31386064000
2004-07-06,30554757440
2004-07-07,30826204480
2004-07-08,31182478720
2004-07-09,31657511040
2004-07-12,30843169920
2004-07-13,30419033920
2004-07-14,28535870080
2004-07-15,28468008320
2004-07-16,28247457599
2004-07-19,28451042880
2004-07-20,29282349440
2004-07-21,28196561280
2004-07-22,28722489920
2004-07-23,27755459840
2004-07-26,27484012800
2004-07-27,27450081920
2004-07-28,26907187840
2004-07-29,27925114240
2004-07-30,28790351679
2004-08-02,28799344259
2004-08-03,27769590450
2004-08-04,28698057000
2004-08-05,28360432800
2004-08-06,27567015929
2004-08-09,27870877710
2004-08-10,28529244899
2004-08-11,27448847460
2004-08-12,26351568810
2004-08-13,26402212440
2004-08-16,26402212440
2004-08-17,27128104470
2004-08-18,27280035360
2004-08-19,26807361480
2004-08-20,27043698420
2004-08-23,27381322619
