,BIIB
2002-02-12,8889867851
2002-02-13,8827430948
2002-02-14,8597008097
2002-02-15,8769453697
2002-02-19,8326446302
2002-02-20,9231785702
2002-02-21,9056366902
2002-02-22,9225839748
2002-02-25,9374499748
2002-02-26,9532079645
2002-02-27,9428016902
2002-02-28,9338821200
2002-03-01,9698578102
2002-03-04,10043469302
2002-03-05,9771422245
2002-03-06,10253080348
2002-03-07,10025630697
2002-03-08,10047928805
2002-03-11,9835346194
2002-03-12,9868050354
2002-03-13,10303624302
2002-03-14,10141585348
2002-03-15,10395793800
2002-03-18,10548913451
2002-03-19,10456743805
2002-03-20,10052389645
2002-03-21,10432958800
2002-03-22,10287271554
2002-03-25,9982519297
2002-03-26,10107393102
2002-03-27,10068742245
2002-03-28,9558838445
2002-04-01,9782092497
2002-04-02,9667184030
2002-04-03,9429906740
2002-04-04,9092644830
2002-04-05,8959829389
2002-04-08,8921029030
2002-04-09,8646443990
2002-04-10,9207552849
2002-04-11,8859844320
2002-04-12,8980721580
2002-04-15,9200091448
2002-04-16,9180691120
2002-04-17,9103091000
2002-04-18,9550784000
2002-04-19,9361260630
2002-04-22,9376184028
2002-04-23,9125475948
2002-04-24,8704644528
2002-04-25,8465874630
2002-04-26,8155474448
2002-04-29,7837612120
2002-04-30,8200243599
2002-05-01,8095781750
2002-05-02,7836119511
2002-05-03,7591380820
2002-05-06,7088472500
2002-05-07,7098918670
2002-05-08,7767473400
2002-05-09,7328734559
2002-05-10,6863133988
2002-05-13,6655702301
2002-05-14,6857164599
2002-05-15,7106380070
2002-05-16,6806426059
2002-05-17,7152641830
2002-05-20,6746733360
2002-05-21,6299040360
2002-05-22,6519902240
2002-05-23,7058626150
2002-05-24,6631825490
2002-05-28,6752702750
2002-05-29,6513933448
2002-05-30,6625856698
2002-05-31,6400517440
2002-06-03,5933424261
2002-06-04,5685700801
2002-06-05,5805086198
2002-06-06,5596162500
2002-06-07,5706593738
2002-06-10,5725993320
2002-06-11,4779868780
2002-06-12,4751515040
2002-06-13,4924623000
2002-06-14,5242485179
2002-06-17,5621531471
2002-06-18,5412608370
2002-06-19,5364854599
2002-06-20,5070869380
2002-06-21,4866423059
2002-06-24,5142500110
2002-06-25,5052961809
2002-06-26,5358885209
2002-06-27,5417085150
2002-06-28,5290239099
2002-07-01,4874384300
2002-07-02,4724863600
2002-07-03,5001477599
2002-07-05,5228749519
2002-07-08,5168940970
2002-07-09,4905784159
2002-07-10,4508058150
2002-07-11,5073247530
2002-07-12,5421631160
2002-07-15,5526296010
2002-07-16,5817862109
2002-07-17,6214092909
2002-07-18,6089990330
2002-07-19,5798424230
2002-07-22,5711702349
2002-07-23,5620494390
2002-07-24,5979345089
2002-07-25,6064571909
2002-07-26,5906079500
2002-07-29,6323243239
2002-07-30,6578924000
2002-07-31,6667141390
2002-08-01,6380060770
2002-08-02,6242501750
2002-08-05,6033172050
2002-08-06,6224559379
2002-08-07,6371089959
2002-08-08,6706016550
2002-08-09,6858528120
2002-08-12,6919831730
2002-08-13,6562476540
2002-08-14,6842080660
2002-08-15,6854042640
2002-08-16,6773301150
2002-08-19,6628266229
2002-08-20,6535562760
2002-08-21,6747882879
2002-08-22,6993097170
2002-08-23,6469773670
2002-08-26,6291843979
2002-08-27,6175217150
2002-08-28,6191664609
2002-08-29,6254463729
2002-08-30,6007753780
2002-09-03,5829824089
2002-09-04,6110923120
2002-09-05,5846270800
2002-09-06,6086999760
2002-09-09,6294833800
2002-09-10,6478745229
2002-09-11,6525096290
2002-09-12,6248482739
2002-09-13,6523601379
2002-09-16,6534067849
2002-09-17,6583409480
2002-09-18,6614809339
2002-09-19,6175217150
2002-09-20,5985325480
2002-09-23,5741606699
2002-09-24,5928507949
2002-09-25,6330719140
2002-09-26,6353147589
2002-09-27,6312776769
2002-09-30,6211848720
2002-10-01,6232794259
2002-10-02,6090663660
2002-10-03,5879712150
2002-10-04,5445840699
2002-10-07,5617892900
2002-10-08,5625373300
2002-10-09,5448832320
2002-10-10,5774984300
2002-10-11,5785457070
2002-10-14,5866247160
2002-10-15,6202871910
2002-10-16,6047276320
2002-10-17,6542489030
2002-10-18,6496109320
2002-10-21,6901555579
2002-10-22,6618790939
2002-10-23,6642728699
2002-10-24,6356971689
2002-10-25,6621782560
2002-10-28,6575403599
2002-10-29,6464691160
2002-10-30,6681627259
2002-10-31,6885098220
2002-11-01,6967384270
2002-11-04,6932973740
2002-11-05,6926989150
2002-11-06,6820765490
2002-11-07,6535008480
2002-11-08,6312087940
2002-11-11,6304607390
2002-11-12,6337522109
2002-11-13,6310591980
2002-11-14,6313584349
2002-11-15,6038300109
2002-11-18,5885696740
2002-11-19,5721124939
2002-11-20,5766008089
2002-11-21,6038300109
2002-11-22,5890184920
2002-11-25,5421902939
2002-11-26,4913225240
2002-11-27,4958108390
2002-11-29,4908737059
2002-12-02,5004488099
2002-12-03,4830939339
2002-12-04,4830939339
2002-12-05,4910233020
2002-12-06,4878814859
2002-12-09,4985038520
2002-12-10,5106223579
2002-12-11,5118192160
2002-12-12,5212447240
2002-12-13,5001495730
2002-12-16,5076301230
2002-12-17,5145122140
2002-12-18,5086774000
2002-12-19,5089766220
2002-12-20,5139137550
2002-12-23,5338120480
2002-12-24,5242369589
2002-12-26,5239377220
2002-12-27,5029921670
2002-12-30,4962596570
2002-12-31,5130503100
2003-01-02,5311470820
2003-01-03,5210933215
2003-01-06,5294456789
2003-01-07,5296003829
2003-01-08,5108849035
2003-01-09,5127410259
2003-01-10,5238774355
2003-01-13,5265069074
2003-01-14,5266615495
2003-01-15,5169171350
2003-01-16,5575961495
2003-01-17,5421288495
2003-01-21,5470783855
2003-01-22,5348592649
2003-01-23,5282083259
2003-01-24,5023779039
2003-01-27,4932521815
2003-01-28,4983564214
2003-01-29,4872199500
2003-01-30,4883026610
2003-01-31,4961910149
2003-02-03,5012951929
2003-02-04,4750007675
2003-02-05,4791769540
2003-02-06,4750007675
2003-02-07,4773208934
2003-02-10,4756194750
2003-02-11,4779395700
2003-02-12,4681951710
2003-02-13,4556666425
2003-02-14,4624722700
2003-02-18,4740727450
2003-02-19,4697419164
2003-02-20,4562853500
2003-02-21,4638643270
2003-02-24,4500984300
2003-02-25,4564400230
2003-02-26,4419007610
2003-02-27,4510264680
2003-02-28,4446848750
2003-03-03,4500984300
2003-03-04,4442208405
2003-03-05,4434474910
2003-03-06,4442208405
2003-03-07,4423647800
2003-03-10,4437568524
2003-03-11,4344764570
2003-03-12,4389619585
2003-03-13,4715979770
2003-03-14,4692778820
2003-03-17,5045433105
2003-03-18,5271256149
2003-03-19,5232587899
2003-03-20,5336218500
2003-03-21,5316110855
2003-03-24,5085648394
2003-03-25,5305283745
2003-03-26,5316110855
2003-03-27,5497078574
2003-03-28,5469237434
2003-03-31,5309951775
2003-04-01,5291330789
2003-04-02,5452708784
2003-04-03,5781671149
2003-04-04,5733568605
2003-04-07,5406157640
2003-04-08,5365813490
2003-04-09,5266503584
2003-04-10,4901851890
2003-04-11,4908058574
2003-04-14,4870817534
2003-04-15,4864610850
2003-04-16,4665991970
2003-04-17,4946851324
2003-04-21,4942196350
2003-04-22,5112884605
2003-04-23,5254090215
2003-04-24,5252538039
2003-04-25,4999609775
2003-04-28,5120643000
2003-04-29,5143918960
2003-04-30,5081850250
2003-05-01,5129953415
2003-05-02,5303744780
2003-05-05,5299089960
2003-05-06,5050815894
2003-05-07,5089608644
2003-05-08,5019781539
2003-05-09,5125297974
2003-05-12,5229262855
2003-05-13,5192021504
2003-05-14,5179608135
2003-05-15,5344089084
2003-05-16,5303744780
2003-05-19,5295986385
2003-05-20,5202883474
2003-05-21,5167194144
2003-05-22,5430985000
2003-05-23,5859256649
2003-05-27,6152530460
2003-05-28,6015979670
2003-05-29,5770809334
2003-05-30,5930635775
2003-06-02,5984945470
2003-06-03,5944601165
2003-06-04,5983393915
2003-06-05,6352700584
2003-06-06,6129254500
2003-06-09,5952359715
2003-06-10,6073392784
2003-06-11,6251839745
2003-06-12,6396148775
2003-06-13,6228563784
2003-06-16,6431838105
2003-06-17,6450458470
2003-06-18,6259598140
2003-06-19,6051669000
2003-06-20,6047014025
2003-06-23,5735120004
2003-06-24,5666844920
2003-06-25,5744430420
2003-06-26,5671499894
2003-06-27,5475984745
2003-06-30,5280711924
2003-07-01,5492189360
2003-07-02,5594818039
2003-07-03,5571493650
2003-07-07,5737876510
2003-07-08,5902703924
2003-07-09,5994447744
2003-07-10,5798520575
2003-07-11,5880934360
2003-07-14,5708331424
2003-07-15,5683451744
2003-07-16,5652351989
2003-07-17,5566828244
2003-07-18,5442430000
2003-07-21,5515514215
2003-07-22,5520179000
2003-07-23,5605702744
2003-07-24,5304036935
2003-07-25,5378675820
2003-07-28,5266717104
2003-07-29,5176528575
2003-07-30,5173418460
2003-07-31,5249612169
2003-08-01,5170308500
2003-08-04,5202962924
2003-08-05,5055239669
2003-08-06,4958831064
2003-08-07,5047464924
2003-08-08,5010145715
2003-08-11,5019475284
2003-08-12,5146983489
2003-08-13,5134543960
2003-08-14,5084784755
2003-08-15,5156313679
2003-08-18,5265162435
2003-08-19,5165643715
2003-08-20,5198298140
2003-08-21,5246502830
2003-08-22,5106554320
2003-08-25,5207628330
2003-08-26,5199852964
2003-08-27,5195188179
2003-08-28,5241837424
2003-08-29,5398890715
2003-09-02,5423770395
2003-09-03,5311811679
2003-09-04,5369345784
2003-09-05,5350686179
2003-09-08,5582378510
2003-09-09,5563718284
2003-09-10,5378675820
2003-09-11,5548168640
2003-09-12,5596373330
2003-09-15,5527953744
2003-09-16,5526399075
2003-09-17,5720771575
2003-09-18,5831175000
2003-09-19,5873159460
2003-09-22,5717661460
2003-09-23,5753426000
2003-09-24,5493744650
2003-09-25,5417550320
2003-09-26,5325806500
2003-09-29,5268272395
2003-09-30,11108840043
2003-10-01,11238982320
2003-10-02,11465897973
2003-10-03,11606050886
2003-10-06,11325743726
2003-10-07,11495930883
2003-10-08,11302384796
2003-10-09,11115514023
2003-10-10,11068795162
2003-10-13,11355776636
2003-10-14,11389147203
2003-10-15,11228972017
2003-10-16,11259004927
2003-10-17,10878586732
2003-10-20,10878586732
2003-10-21,11155557570
2003-10-22,10758456427
2003-10-23,10828532883
2003-10-24,10921968269
2003-10-27,10818520912
2003-10-28,11435864730
2003-10-29,11629409482
2003-10-30,11589366269
2003-10-31,11726182526
2003-11-03,11746205133
2003-11-04,11098828072
2003-11-05,11349102322
2003-11-06,11505941519
2003-11-07,11362450616
2003-11-10,11035425930
2003-11-11,11145547267
2003-11-12,11152219912
2003-11-13,11762889750
2003-11-14,11929739250
2003-11-17,11766226740
2003-11-18,11489256570
2003-11-19,11742867810
2003-11-20,11993142060
2003-11-21,12096588750
2003-11-24,12523723470
2003-11-25,12740627820
2003-11-26,12713931900
2003-11-28,12740627820
2003-12-01,13094348760
2003-12-02,12947521200
2003-12-03,12870770430
2003-12-04,12847411500
2003-12-05,12770660730
2003-12-08,12460320660
2003-12-09,12263438250
2003-12-10,12003153030
2003-12-11,12313493100
2003-12-12,12326841060
2003-12-15,12226731360
2003-12-16,12270112230
2003-12-17,12346863000
2003-12-18,12456983670
2003-12-19,12487016580
2003-12-22,12286797180
2003-12-23,12330178050
2003-12-24,12420276780
2003-12-26,12346863000
2003-12-29,12510375510
2003-12-30,12310156110
2003-12-31,12246753300
2004-01-02,12326841060
2004-01-05,12380232900
2004-01-06,12877444410
2004-01-07,13611582210
2004-01-08,13765083750
2004-01-09,14142163620
2004-01-12,13845171510
2004-01-13,13614919200
2004-01-14,13488113580
2004-01-15,13965303150
2004-01-16,14395774860
2004-01-20,14522580480
2004-01-21,14943041220
2004-01-22,14842931519
2004-01-23,14789539680
2004-01-26,15220011390
2004-01-27,14839594530
2004-01-28,14292328170
2004-01-29,14482536600
2004-01-30,14342383019
2004-02-02,14776191720
2004-02-03,14986422089
2004-02-04,14409122820
2004-02-05,14075423820
2004-02-06,14515906500
2004-02-09,14702777940
2004-02-10,14485873589
2004-02-11,14729473860
2004-02-12,14819572589
2004-02-13,14525917470
2004-02-17,14769517740
2004-02-18,17762797770
2004-02-19,19688241000
2004-02-20,18977462130
2004-02-23,18587034300
2004-02-24,18363455970
2004-02-25,18273357240
2004-02-26,18570349350
2004-02-27,18643429431
2004-03-01,18730524870
2004-03-02,19234410360
2004-03-03,19447977720
2004-03-04,19694914980
2004-03-05,19758317790
2004-03-08,19187692500
2004-03-09,18750546810
2004-03-10,18353445000
2004-03-11,18016409010
2004-03-12,18253335300
2004-03-15,17656014090
2004-03-16,17278934220
2004-03-17,18009735030
2004-03-18,17856233490
2004-03-19,17646003120
2004-03-22,17459131680
2004-03-23,17595948270
2004-03-24,18229976370
2004-03-25,18229976370
2004-03-26,17762797770
2004-03-29,18663785070
2004-03-30,18697154970
2004-03-31,18721349900
2004-04-01,19041517000
2004-04-02,19536933460
2004-04-05,19422347340
2004-04-06,19189804920
2004-04-07,18620244500
2004-04-08,18546100540
2004-04-12,19075218800
2004-04-13,18815714940
2004-04-14,19179694380
2004-04-15,19442568420
2004-04-16,20039090280
2004-04-19,20430031160
2004-04-20,19513342200
2004-04-21,19793067140
2004-04-22,20480583860
2004-04-23,20450252240
2004-04-26,20251411620
2004-04-27,20217709820
2004-04-28,19479640400
2004-04-29,19213396180
2004-04-30,19884062000
2004-05-03,20055941180
2004-05-04,19462789500
2004-05-05,19860470740
2004-05-06,19375164820
2004-05-07,19156103120
2004-05-10,18997704660
2004-05-11,19402126260
2004-05-12,19553784360
2004-05-13,19708812640
2004-05-14,19715553000
2004-05-17,19597596700
2004-05-18,19954835780
2004-05-19,19958205960
2004-05-20,20440141700
2004-05-21,20692905200
2004-05-24,21114177700
2004-05-25,21414123720
2004-05-26,21262465620
2004-05-27,21259095440
2004-05-28,20945668700
2004-06-01,21181581300
2004-06-02,21141139140
2004-06-03,20608650700
2004-06-04,20709756100
2004-06-07,21279316520
2004-06-08,20927132710
2004-06-09,20332295940
2004-06-10,20069421900
2004-06-14,19978427040
2004-06-15,20015499020
2004-06-16,20143565860
2004-06-17,19705442460
2004-06-18,19560524720
2004-06-21,19371794640
2004-06-22,19631298500
2004-06-23,20173897480
2004-06-24,20416550440
2004-06-25,21019812660
2004-06-28,21131028600
2004-06-29,21154619860
2004-06-30,21174645250
2004-07-01,20709305220
2004-07-02,20759521770
2004-07-06,20652393130
2004-07-07,21013952290
2004-07-08,20843216020
2004-07-09,20592133270
2004-07-12,20531873410
2004-07-13,20485004630
2004-07-14,20257356270
2004-07-15,19899144880
2004-07-16,19196113180
2004-07-19,18934987120
2004-07-20,19129157780
2004-07-21,18456256010
2004-07-22,18610253430
2004-07-23,18543298030
2004-07-26,18021045910
2004-07-27,18918248270
2004-07-28,19567715650
2004-07-29,19969448050
2004-07-30,20086620000
2004-08-02,19530890180
2004-08-03,19363501680
2004-08-04,19269764120
2004-08-05,19189417640
2004-08-06,18737468690
2004-08-09,18489733710
2004-08-10,19018681370
2004-08-11,19440500390
2004-08-12,19507455790
2004-08-13,19232938650
2004-08-16,19775277390
2004-08-17,19530890180
2004-08-18,20116749930
2004-08-19,19768581850
2004-08-20,20009621290
2004-08-23,19758538540
