,WTW
2022-11-07,23774040000
2022-11-08,24525720000
2022-11-09,24525720000
2022-11-10,24902640000
2022-11-14,25389720000
2022-11-15,25407000000
2022-11-16,25328160000
2022-11-17,24863760000
2022-11-18,25275240000
2022-11-22,25689960000
2022-11-25,25588440000
2022-11-28,26269920000
2022-11-29,26269920000
2022-12-01,26688960000
2022-12-08,26561520000
2022-12-13,26560440000
2022-12-15,26194320000
2022-12-16,26035560000
2022-12-19,25980480000
2022-12-20,25980480000
2022-12-21,25980480000
2022-12-23,25980480000
2022-12-29,26468640000
2023-01-03,26086600000
2023-01-05,26374430000
2023-01-06,26374430000
2023-01-09,27446570000
2023-01-10,27079560000
2023-01-11,27214380000
2023-01-12,27451920000
2023-01-13,27214380000
2023-01-17,27081700000
2023-01-18,27138410000
2023-01-19,26788520000
2023-01-20,26990750000
2023-01-23,27144830000
2023-01-24,27079560000
2023-01-25,26859140000
2023-01-30,26859140000
2023-01-31,26919060000
2023-02-01,26904080000
2023-02-02,27187630000
2023-02-03,27038900000
2023-02-06,26897660000
2023-02-07,26966140000
2023-02-08,27510770000
2023-02-09,26134750000
2023-02-10,25851200000
2023-02-13,26422580000
2023-02-14,26066270000
2023-02-15,25829800000
2023-02-17,25938940000
2023-02-21,25422130000
2023-02-22,25468140000
2023-02-23,25300150000
2023-02-24,25197430000
2023-02-28,25250930000
2023-03-01,24948120000
2023-03-02,25044420000
2023-03-03,25568720000
2023-03-06,25796630000
2023-03-07,25373980000
2023-03-08,25570860000
2023-03-09,25437110000
2023-03-10,24842190000
2023-03-13,24534030000
2023-03-14,24512630000
2023-03-15,23482220000
2023-03-16,24057880000
2023-03-17,24045040000
2023-03-21,24752310000
2023-03-22,24493370000
2023-03-23,24393860000
2023-03-24,24072860000
2023-03-27,24178790000
2023-03-28,24312540000
2023-03-29,24741610000
2023-03-31,24741610000
2023-04-03,24741610000
2023-04-04,25006970000
2023-04-05,25034790000
2023-04-06,25239160000
2023-04-11,24172370000
2023-04-12,25445670000
2023-04-13,25338670000
2023-04-19,25521640000
2023-04-20,25677860000
2023-04-21,25750620000
2023-04-27,24103890000
2023-05-02,24428100000
2023-05-03,24192700000
2023-05-04,23807500000
2023-05-11,24403490000
2023-05-12,24432380000
2023-05-15,24432380000
2023-05-18,23987260000
2023-05-19,23987260000
2023-05-22,23987260000
2023-05-23,23869560000
2023-05-24,23688730000
2023-05-25,23514320000
2023-05-26,23675890000
2023-05-30,23812850000
2023-05-31,23260730000
2023-06-01,23569960000
2023-06-02,23920920000
2023-06-05,23888820000
2023-06-06,23944460000
2023-06-07,23956230000
2023-06-08,23968000000
2023-06-09,24023640000
2023-06-12,23921990000
2023-06-13,24130640000
2023-06-14,24410980000
2023-06-15,24759800000
2023-06-16,25139650000
2023-06-19,25233810000
2023-06-20,24949190000
2023-06-21,24948120000
2023-06-22,24904250000
2023-06-23,25138580000
2023-06-26,24910670000
2023-06-27,24958820000
2023-06-28,24905320000
2023-06-29,24925650000
2023-06-30,25180310000
2023-07-03,24515400000
2023-07-05,24515400000
2023-07-06,24092250000
2023-07-07,24336900000
2023-07-10,24571050000
2023-07-11,24554250000
2023-07-12,24475500000
2023-07-13,24322200000
2023-07-17,24249750000
2023-07-18,24072300000
2023-07-19,23979900000
2023-07-20,24234000000
2023-07-21,24594150000
2023-07-24,24446100000
2023-07-26,24368400000
2023-07-27,22331400000
2023-07-28,21688800000
2023-07-31,22305150000
2023-08-01,22305150000
2023-08-02,22411200000
2023-08-04,22440600000
2023-08-07,22352400000
2023-08-08,21581700000
2023-08-10,21158550000
2023-08-11,21259350000
2023-08-14,21465150000
2023-08-17,21465150000
2023-08-18,21465150000
2023-08-23,21322350000
2023-08-24,21386400000
2023-08-25,21588000000
2023-08-29,21676200000
2023-08-31,21676200000
2023-09-01,21676200000
2023-09-05,21613200000
2023-09-08,21371700000
2023-09-12,21446250000
2023-09-13,21210000000
2023-09-14,21456750000
2023-09-15,21604800000
2023-09-18,21578550000
2023-09-19,21925050000
2023-09-20,22685250000
2023-09-21,22396500000
2023-09-22,22294650000
2023-09-25,22460550000
2023-09-26,22387050000
2023-09-27,22390200000
2023-09-29,22305150000
2023-10-02,21439450000
2023-10-04,21417820000
2023-10-05,21548630000
2023-10-06,21544510000
2023-10-09,21412670000
2023-10-10,21480650000
2023-10-11,21572320000
2023-10-12,21706220000
2023-10-13,21666050000
2023-10-16,22070840000
2023-10-17,22279930000
2023-10-18,21985350000
2023-10-19,21686650000
2023-10-20,21403400000
2023-10-23,21039810000
2023-10-24,21221090000
2023-10-25,21496100000
2023-10-26,23879520000
2023-10-27,23665280000
2023-10-30,24014450000
2023-10-31,24363620000
2023-11-01,24193670000
2023-11-02,24147320000
2023-11-03,24226630000
2023-11-06,24235900000
2023-11-07,24403790000
2023-11-08,24339930000
2023-11-09,24497520000
2023-11-10,24533570000
2023-11-13,25006340000
2023-11-14,24926000000
2023-11-15,24856990000
2023-11-16,25122730000
2023-11-17,24910550000
2023-11-20,24875530000
2023-11-21,24968230000
2023-11-22,25021790000
2023-11-24,25215430000
2023-11-27,25121700000
2023-11-28,25096980000
2023-11-29,24769440000
2023-11-30,25024880000
2023-12-01,25395680000
2023-12-04,25188650000
2023-12-05,25101100000
2023-12-06,24851840000
2023-12-07,24920850000
2023-12-08,24995010000
2023-12-11,25183500000
2023-12-12,25333880000
2023-12-13,25513100000
2023-12-14,24567560000
2023-12-15,24228690000
2023-12-18,24586100000
2023-12-19,24558290000
2023-12-20,24657170000
2023-12-21,24403790000
2023-12-22,24614940000
2023-12-26,24684980000
2023-12-27,24456320000
2023-12-28,24674680000
2023-12-29,24696310000
2024-01-02,24915700000
2024-01-03,24983680000
2024-01-04,24819910000
2024-01-05,24511940000
2024-01-09,24703520000
2024-01-10,25061960000
2024-01-11,25286500000
2024-01-12,25530610000
2024-01-16,25399800000
2024-01-17,25441000000
2024-01-18,25428640000
2024-01-19,25661420000
2024-01-22,25729400000
2024-01-23,25765450000
2024-01-24,25807680000
2024-01-25,25600650000
2024-01-26,25670690000
2024-01-29,25458510000
2024-01-30,25499710000
2024-01-31,25458510000
2024-02-01,25233970000
2024-02-02,25590350000
2024-02-05,25946730000
2024-02-06,27246589999
2024-02-07,27933600000
2024-02-08,27653440000
2024-02-09,27940810000
2024-02-12,28045870000
2024-02-13,27701850000
2024-02-14,28139600000
2024-02-15,28447570000
2024-02-16,28551600000
2024-02-20,28451690000
2024-02-21,28372379999
2024-02-22,28352810000
2024-02-23,28678290000
2024-02-26,28460960000
2024-02-27,28329120000
2024-02-28,28307490000
2024-02-29,28060290000
2024-03-01,27928449999
2024-03-04,27817210000
2024-03-05,28028360000
2024-03-06,28046900000
2024-03-07,28252900000
2024-03-08,28286890000
2024-03-11,28054110000
2024-03-12,28081920000
2024-03-13,28175650000
2024-03-14,28304400000
2024-03-15,28063379999
2024-03-18,28137540000
2024-03-19,28295129999
2024-03-20,28237449999
2024-03-21,28164320000
2024-03-22,28130330000
2024-03-25,28227150000
2024-03-26,28206550000
2024-03-27,28234360000
2024-03-28,28398129999
2024-04-02,27938750000
2024-04-03,27849140000
2024-04-04,27867680000
2024-04-05,27748199999
2024-04-08,27694640000
2024-04-09,27298089999
2024-04-10,27278519999
2024-04-11,26928320000
2024-04-12,26707900000
2024-04-15,26816050000
