,IPGP
2007-12-31,881459049
2008-01-02,864262000
2008-01-03,866907700
2008-01-04,868230550
2008-01-07,849710650
2008-01-08,828104100
2008-01-09,839127850
2008-01-10,846624000
2008-01-11,836041200
2008-01-14,836923100
2008-01-15,818403200
2008-01-16,804292799
2008-01-17,761961600
2008-01-18,752260700
2008-01-22,740355050
2008-01-23,713898050
2008-01-24,780040550
2008-01-25,747851200
2008-01-28,779599600
2008-01-29,765048250
2008-01-30,772544400
2008-01-31,789300499
2008-02-01,797678550
2008-02-04,799883300
2008-02-05,762843500
2008-02-06,750496900
2008-02-07,777835800
2008-02-08,752701650
2008-02-11,743441700
2008-02-12,793710000
2008-02-13,814434650
2008-02-14,803851850
2008-02-15,784891000
2008-02-19,798119500
2008-02-20,787095750
2008-02-21,765048250
2008-02-22,770780600
2008-02-25,793269049
2008-02-26,805174700
2008-02-27,791946200
2008-02-28,758874950
2008-02-29,752701650
2008-03-03,731977000
2008-03-04,742118849
2008-03-05,733740800
2008-03-06,727567500
2008-03-07,736386500
2008-03-10,673771600
2008-03-11,694496250
2008-03-12,688322950
2008-03-13,676417300
2008-03-14,659220250
2008-03-17,626589950
2008-03-18,636731800
2008-03-19,618211900
2008-03-20,630558500
2008-03-24,687882000
2008-03-25,705960950
2008-03-26,694496250
2008-03-27,685677250
2008-03-28,677740150
2008-03-31,695929950
2008-04-01,708349350
2008-04-02,723873600
2008-04-03,731857500
2008-04-04,723873600
2008-04-07,724760700
2008-04-08,719438100
2008-04-09,689276700
2008-04-10,699478350
2008-04-11,686615400
2008-04-14,668873400
2008-04-15,663550800
2008-04-16,676413750
2008-04-17,686615400
2008-04-18,700809000
2008-04-21,718551000
2008-04-22,714115500
2008-04-23,710123550
2008-04-24,725204250
2008-04-25,737180100
2008-04-28,750930150
2008-04-29,755365650
2008-04-30,742059150
2008-05-01,745607550
2008-05-02,738067200
2008-05-05,747381750
2008-05-06,879559649
2008-05-07,886212900
2008-05-08,887100000
2008-05-09,873349950
2008-05-12,866253150
2008-05-13,845849850
2008-05-14,851172450
2008-05-15,856938600
2008-05-16,887100000
2008-05-19,893309700
2008-05-20,883108050
2008-05-21,875567699
2008-05-22,882220950
2008-05-23,855164400
2008-05-27,859599900
2008-05-28,873349950
2008-05-29,878229000
2008-05-30,891091950
2008-06-02,887100000
2008-06-03,875567699
2008-06-04,870688650
2008-06-05,889761300
2008-06-06,854277300
2008-06-09,835204649
2008-06-10,816575550
2008-06-11,827220749
2008-06-12,827220749
2008-06-13,853390199
2008-06-16,851616000
2008-06-17,872462850
2008-06-18,884438700
2008-06-19,869801550
2008-06-20,872019300
2008-06-23,866253150
2008-06-24,865809600
2008-06-25,876011250
2008-06-26,850728900
2008-06-27,835648200
2008-06-30,840524850
2008-07-01,840078000
2008-07-02,829353600
2008-07-03,817288650
2008-07-07,791371350
2008-07-08,816841800
2008-07-09,813267000
2008-07-10,806564250
2008-07-11,803883149
2008-07-14,802989450
2008-07-15,794499300
2008-07-16,822203999
2008-07-17,835162650
2008-07-18,826225649
2008-07-21,828906750
2008-07-22,838290600
2008-07-23,816394950
2008-07-24,815501250
2008-07-25,804330000
2008-07-28,790030800
2008-07-29,786009150
2008-07-30,795393000
2008-07-31,793605600
2008-08-01,800308350
2008-08-04,822650850
2008-08-05,887444100
2008-08-06,914255100
2008-08-07,932575950
2008-08-08,938385000
2008-08-11,938831850
2008-08-12,947322000
2008-08-13,962961750
2008-08-14,971005050
2008-08-15,973686150
2008-08-18,960727500
2008-08-19,937491300
2008-08-20,911127150
2008-08-21,891018900
2008-08-22,902190150
2008-08-25,879400800
2008-08-26,885209850
2008-08-27,892806300
2008-08-28,915595649
2008-08-29,910233450
2008-09-02,932575950
2008-09-03,924979500
2008-09-04,906211800
2008-09-05,901296450
2008-09-08,913361400
2008-09-09,891018900
2008-09-10,889678350
2008-09-11,884763000
2008-09-12,886997250
2008-09-15,855717749
2008-09-16,865995300
2008-09-17,849015000
2008-09-18,909339750
2008-09-19,960727500
2008-09-22,933916499
2008-09-23,903530700
2008-09-24,892806300
2008-09-25,894593700
2008-09-26,882528750
2008-09-29,840078000
2008-09-30,875764880
2008-10-01,877111520
2008-10-02,856911920
2008-10-03,824143680
2008-10-06,762647119
2008-10-07,718656880
2008-10-08,690377440
2008-10-09,661200240
2008-10-10,686337520
2008-10-13,752771760
2008-10-14,743345280
2008-10-15,679604320
2008-10-16,720452400
2008-10-17,698906160
2008-10-20,707883760
2008-10-21,704292720
2008-10-22,681848720
2008-10-23,646387200
2008-10-24,613170080
2008-10-27,584890640
2008-10-28,594766000
2008-10-29,598805920
2008-10-30,614067840
2008-10-31,637409600
2008-11-03,629329760
2008-11-04,630676400
2008-11-05,578157440
2008-11-06,611374560
2008-11-07,632023040
2008-11-10,624840960
2008-11-11,618107760
2008-11-12,570975360
2008-11-13,606436880
2008-11-14,594766000
2008-11-17,585788400
2008-11-18,597010400
2008-11-19,583544000
2008-11-20,553469040
2008-11-21,540002640
2008-11-24,552122400
2008-11-25,567384320
2008-11-26,597010400
2008-11-28,610027920
2008-12-01,550326880
2008-12-02,531922800
2008-12-03,528780640
2008-12-04,518456400
2008-12-05,507683280
2008-12-08,514865360
2008-12-09,496910160
2008-12-10,502745599
2008-12-11,500950080
2008-12-12,518905280
2008-12-15,519803040
2008-12-16,539553760
2008-12-17,562895520
2008-12-18,565139920
2008-12-19,564242160
2008-12-22,547633600
2008-12-23,538207120
2008-12-24,544491440
2008-12-26,553020160
2008-12-29,546286960
2008-12-30,565139920
2008-12-31,594338920
2009-01-02,603808660
2009-01-05,595691740
2009-01-06,579908840
2009-01-07,546990220
2009-01-08,531658259
2009-01-09,515875360
2009-01-12,473036060
2009-01-13,422981720
2009-01-14,403140360
2009-01-15,424334540
2009-01-16,448234360
2009-01-20,422530779
2009-01-21,443274020
2009-01-22,435157100
2009-01-23,440568380
2009-01-26,441470259
2009-01-27,445077779
2009-01-28,458155040
2009-01-29,441470259
2009-01-30,433353340
2009-02-02,413061040
2009-02-03,417119500
2009-02-04,413061040
2009-02-05,422079840
2009-02-06,439666500
2009-02-09,435157100
2009-02-10,430647700
2009-02-11,434706160
2009-02-12,439666500
2009-02-13,438313680
2009-02-17,418923259
2009-02-18,407649759
2009-02-19,409002580
2009-02-20,399081900
2009-02-23,385102759
2009-02-24,402689420
2009-02-25,381495240
2009-02-26,372476440
2009-02-27,380142420
2009-03-02,345870980
2009-03-03,336852180
2009-03-04,353987900
2009-03-05,324676800
2009-03-06,331891840
2009-03-09,307992020
2009-03-10,326029620
2009-03-11,336852180
2009-03-12,357595420
2009-03-13,358046360
2009-03-16,356693540
2009-03-17,360752000
2009-03-18,369770799
2009-03-19,372025500
2009-03-20,356693540
2009-03-23,386906520
2009-03-24,377436779
2009-03-25,381495240
2009-03-26,407198820
2009-03-27,391415920
2009-03-30,372927380
2009-03-31,382529020
2009-04-01,397521250
2009-04-02,422508300
2009-04-03,427960020
2009-04-06,416147960
2009-04-07,401155730
2009-04-08,406607449
2009-04-09,450675520
2009-04-13,439317770
2009-04-14,432503120
2009-04-15,437954840
2009-04-16,454310000
2009-04-17,451129830
2009-04-20,432957430
2009-04-21,438409150
2009-04-22,437954840
2009-04-23,438409150
2009-04-24,456581550
2009-04-27,457944480
2009-04-28,464759130
2009-04-29,503375480
2009-04-30,507464270
2009-05-01,510644440
2009-05-04,509735820
2009-05-05,453401380
2009-05-06,473391020
2009-05-07,466576370
2009-05-08,477934120
2009-05-11,467939300
2009-05-12,462487580
2009-05-13,442043630
2009-05-14,441589320
2009-05-15,440226390
2009-05-18,451129830
2009-05-19,457035860
2009-05-20,466576370
2009-05-21,442497940
2009-05-22,438409150
2009-05-26,462033270
2009-05-27,457944480
2009-05-28,458398790
2009-05-29,468393610
2009-06-01,496560830
2009-06-02,491109110
2009-06-03,489746180
2009-06-04,488837560
2009-06-05,501103930
2009-06-08,499286690
2009-06-09,502921170
2009-06-10,495652210
2009-06-11,507009960
2009-06-12,534722870
2009-06-15,520639260
2009-06-16,513824610
2009-06-17,513824610
2009-06-18,507918580
2009-06-19,513370300
2009-06-22,486566010
2009-06-23,485203080
2009-06-24,477025500
2009-06-25,487020320
2009-06-26,510190130
2009-06-29,503829790
2009-06-30,499935810
2009-07-01,511329060
2009-07-02,484896720
2009-07-06,478060770
2009-07-07,451172700
2009-07-08,446615400
2009-07-09,443425290
2009-07-10,439323720
2009-07-13,458008650
2009-07-14,457552919
2009-07-15,478060770
2009-07-16,477149310
2009-07-17,482162340
2009-07-20,489909750
2009-07-21,490365480
2009-07-22,493099860
2009-07-23,483529530
2009-07-24,470769090
2009-07-27,481706610
2009-07-28,478060770
2009-07-29,474414930
2009-07-30,484896720
2009-07-31,488998290
2009-08-03,503125919
2009-08-04,508594680
2009-08-05,510417599
2009-08-06,485352450
2009-08-07,504037380
2009-08-10,512696250
2009-08-11,513151980
2009-08-12,516797820
2009-08-13,528191070
2009-08-14,513607710
2009-08-17,500847270
2009-08-18,502670190
2009-08-19,531836910
2009-08-20,538217130
2009-08-21,548698920
2009-08-24,560547900
2009-08-25,563738010
2009-08-26,565560930
2009-08-27,563738010
2009-08-28,556446330
2009-08-31,552344760
2009-09-01,520443660
2009-09-02,515886360
2009-09-03,539584320
2009-09-04,553256220
2009-09-08,569206770
2009-09-09,594271920
2009-09-10,609766740
2009-09-11,610678200
2009-09-14,616602690
2009-09-15,633008970
2009-09-16,647136600
2009-09-17,651693900
2009-09-18,684506460
2009-09-21,679949160
2009-09-22,668555910
2009-09-23,672201750
2009-09-24,675391860
2009-09-25,677670510
2009-09-28,697266900
2009-09-29,688152300
2009-09-30,696950400
2009-10-01,672648840
2009-10-02,668063640
2009-10-05,680443680
2009-10-06,707037840
2009-10-07,698325960
2009-10-08,696491880
2009-10-09,720334920
2009-10-12,716666760
2009-10-13,707037840
2009-10-14,705662280
2009-10-15,696491880
2009-10-16,708871920
2009-10-19,700160040
2009-10-20,693282240
2009-10-21,699701520
2009-10-22,712540080
2009-10-23,670356240
2009-10-26,664854000
2009-10-27,652015440
2009-10-28,619460520
2009-10-29,650639880
2009-10-30,626338320
2009-11-02,613041240
2009-11-03,661185840
2009-11-04,661644360
2009-11-05,695574840
2009-11-06,685487400
2009-11-09,713457120
2009-11-10,738675720
2009-11-11,722627520
2009-11-12,712998600
2009-11-13,702911160
2009-11-16,728588280
2009-11-17,718500840
2009-11-18,709330440
2009-11-19,677692560
2009-11-20,669439200
2009-11-23,698784480
2009-11-24,698784480
2009-11-25,690531120
2009-11-27,685028880
2009-11-30,686404440
2009-12-01,707496360
2009-12-02,735924600
2009-12-03,720793440
2009-12-04,753806880
2009-12-07,780859560
2009-12-08,790947000
2009-12-09,777649920
2009-12-10,779484000
2009-12-11,795532200
2009-12-14,784069200
2009-12-15,776732880
2009-12-16,779942520
2009-12-17,751055760
2009-12-18,750597240
2009-12-21,753348360
2009-12-22,750597240
2009-12-23,758392080
2009-12-24,786820320
2009-12-28,774898799
2009-12-29,778566960
2009-12-30,774898799
2009-12-31,771219540
2010-01-04,800722260
2010-01-05,786892860
2010-01-06,779978160
2010-01-07,792885600
2010-01-08,799339320
2010-01-11,784587960
2010-01-12,773063460
2010-01-13,779056199
2010-01-14,765226800
2010-01-15,705299400
2010-01-19,700689600
2010-01-20,671647860
2010-01-21,627854760
2010-01-22,658740420
2010-01-25,666116100
2010-01-26,663811200
2010-01-27,673952760
2010-01-28,664733160
2010-01-29,663811200
2010-02-01,670264920
2010-02-02,668421000
2010-02-03,680867460
2010-02-04,661506300
2010-02-05,667960020
2010-02-08,662428260
2010-02-09,664272180
2010-02-10,674874720
2010-02-11,681789420
2010-02-12,697462740
2010-02-16,709909200
2010-02-17,716823900
2010-02-18,726504480
2010-02-19,738489960
2010-02-22,732958200
2010-02-23,719128800
2010-02-24,754163280
2010-02-25,734341140
2010-02-26,729270360
2010-03-01,732958200
2010-03-02,726504480
2010-03-03,708065280
2010-03-04,714058020
2010-03-05,722355660
2010-03-08,712675080
2010-03-09,714058020
2010-03-10,737568000
2010-03-11,738028980
2010-03-12,731114280
2010-03-15,724660560
2010-03-16,739411920
2010-03-17,748170540
2010-03-18,731114280
2010-03-19,701150580
2010-03-22,713597040
2010-03-23,721894680
2010-03-24,710831160
2010-03-25,699306660
2010-03-26,698384700
2010-03-29,693313920
2010-03-30,687321180
2010-03-31,683478250
2010-04-01,690526800
2010-04-05,715947800
2010-04-06,719645400
2010-04-07,730738200
2010-04-08,769562999
2010-04-09,765865400
2010-04-12,770949600
2010-04-13,778807000
2010-04-14,825027000
2010-04-15,827337999
2010-04-16,813934200
2010-04-19,816707400
2010-04-20,843052799
2010-04-21,841666200
2010-04-22,843977200
2010-04-23,831960000
2010-04-26,830111200
2010-04-27,800992599
2010-04-28,802379200
2010-04-29,819942799
2010-04-30,809312200
2010-05-03,872633600
2010-05-04,872171400
2010-05-05,838430800
2010-05-06,800530400
2010-05-07,783429000
2010-05-10,835195400
2010-05-11,843977200
2010-05-12,873095800
2010-05-13,860616400
2010-05-14,843977200
2010-05-17,826875800
2010-05-18,796832799
2010-05-19,811623200
2010-05-20,742293200
2010-05-21,756621400
2010-05-24,750612799
2010-05-25,747377400
2010-05-26,746915200
2010-05-27,789899800
2010-05-28,777420400
2010-06-01,750150600
2010-06-02,789437599
2010-06-03,802379200
2010-06-04,752923800
2010-06-07,726578400
2010-06-08,709939200
2010-06-09,679434000
2010-06-10,718489900
2010-06-11,736284600
2010-06-14,733973600
2010-06-15,744142000
2010-06-16,751075000
2010-06-17,753848200
2010-06-18,769100800
2010-06-21,756159200
2010-06-22,739057800
2010-06-23,743217599
2010-06-24,731200400
2010-06-25,742755400
2010-06-28,749688400
2010-06-29,716410000
2010-06-30,708697590
2010-07-01,695203020
2010-07-02,675193830
2010-07-06,652857990
2010-07-07,692411040
2010-07-08,716142870
2010-07-09,728241450
2010-07-12,711024240
2010-07-13,737082720
2010-07-14,733360080
2010-07-15,730568100
2010-07-16,691015050
2010-07-19,678451140
2010-07-20,686827080
2010-07-21,670540530
2010-07-22,720330840
2010-07-23,756161250
2010-07-26,778497090
2010-07-27,779427750
2010-07-28,762675870
2010-07-29,758953230
2010-07-30,749646630
2010-08-02,777101100
2010-08-03,929264010
2010-08-04,953461169
2010-08-05,993479550
2010-08-06,998132850
2010-08-09,999063510
2010-08-10,993944880
2010-08-11,944154570
2010-08-12,933917310
2010-08-13,951599850
2010-08-16,982311630
2010-08-17,993944880
2010-08-18,997667520
2010-08-19,986964930
2010-08-20,997202190
2010-08-23,1012325415
2010-08-24,1006043460
2010-08-25,1009300770
2010-08-26,996736860
2010-08-27,1026517980
2010-08-30,1044200520
2010-08-31,1007904780
2010-09-01,1005112800
2010-09-02,978588990
2010-09-03,1039081889
2010-09-07,1015815389
2010-09-08,1027913970
2010-09-09,1039081889
2010-09-10,1049784480
2010-09-13,1100970780
2010-09-14,1067932350
2010-09-15,1073050980
2010-09-16,1063279050
2010-09-17,1105624080
2010-09-20,1133078550
2010-09-21,1142850480
2010-09-22,1107485400
2010-09-23,1086545550
2010-09-24,1157741040
2010-09-27,1144246470
2010-09-28,1160067690
2010-09-29,1169839620
2010-09-30,1130741740
2010-10-01,1125589230
2010-10-04,1095142580
2010-10-05,1106384420
2010-10-06,1074064130
2010-10-07,1048769990
2010-10-08,1045491120
2010-10-11,1031438820
2010-10-12,1035186100
2010-10-13,1007081500
2010-10-14,1011297190
2010-10-15,1015044470
2010-10-18,1007549910
2010-10-19,955556399
2010-10-20,953682760
2010-10-21,948530250
2010-10-22,949467070
2010-10-25,954151170
2010-10-26,1030502000
2010-10-27,1026286310
2010-10-28,1030033589
2010-10-29,1053922500
2010-11-01,1138236300
2010-11-02,1144325630
2010-11-03,1170088180
2010-11-04,1179924790
2010-11-05,1180393200
2010-11-08,1217397590
2010-11-09,1233323530
2010-11-10,1242223320
2010-11-11,1230513070
2010-11-12,1226297380
2010-11-15,1252059930
2010-11-16,1229107840
2010-11-17,1220208050
2010-11-18,1274075200
2010-11-19,1285317040
2010-11-22,1310142770
2010-11-23,1274075200
2010-11-24,1356515360
2010-11-26,1334500090
2010-11-29,1349957620
2010-11-30,1342463060
2010-12-01,1475959910
2010-12-02,1489075390
2010-12-03,1488606980
2010-12-06,1482517650
2010-12-07,1451602590
2010-12-08,1434739830
2010-12-09,1442702800
2010-12-10,1405698410
2010-12-13,1480644010
2010-12-14,1467528530
2010-12-15,1457223510
2010-12-16,1484391290
2010-12-17,1520927270
2010-12-20,1505001330
2010-12-21,1535916390
2010-12-22,1534042750
2010-12-23,1507811790
2010-12-27,1507811790
2010-12-28,1476896730
2010-12-29,1469402170
2010-12-30,1467996940
2010-12-31,1489270380
2011-01-03,1508580970
2011-01-04,1428512670
2011-01-05,1478437610
2011-01-06,1491154340
2011-01-07,1418150890
2011-01-10,1460069000
2011-01-11,1582526400
2011-01-12,1640222675
2011-01-13,1692738060
2011-01-14,1640458170
2011-01-18,1624915500
2011-01-19,1569809670
2011-01-20,1548615120
2011-01-21,1530717500
2011-01-24,1550028089
2011-01-25,1506697010
2011-01-26,1577816500
2011-01-27,1592888180
2011-01-28,1579700460
2011-01-31,1631980350
2011-02-01,1701686870
2011-02-02,1700273900
2011-02-03,1680021330
2011-02-04,1680963310
2011-02-07,1659768760
2011-02-08,1655058860
2011-02-09,1636690250
2011-02-10,2242854380
2011-02-11,2192458450
2011-02-14,2533926200
2011-02-15,2527803330
2011-02-16,2485885220
2011-02-17,2529216300
2011-02-18,2466692377
2011-02-22,2345530200
2011-02-23,2351182080
2011-02-24,2442554140
2011-02-25,2696888740
2011-02-28,2680875080
2011-03-01,2532042240
2011-03-02,2556533720
2011-03-03,2613994500
2011-03-04,2725619130
2011-03-07,2650731720
2011-03-08,2662506470
2011-03-09,2494834030
2011-03-10,2483059280
2011-03-11,2516970560
2011-03-14,2478349380
2011-03-15,2477878390
2011-03-16,2505666800
2011-03-17,2439257210
2011-03-18,2415707710
2011-03-21,2519796500
2011-03-22,2471755520
2011-03-23,2720909230
2011-03-24,2832062870
2011-03-25,2793441690
2011-03-28,2795796640
2011-03-29,2642253900
2011-03-30,2692178840
2011-03-31,2728840800
2011-04-01,2604888600
2011-04-04,2606307900
2011-04-05,2679165300
2011-04-06,2629016700
2011-04-07,2595426600
2011-04-08,2755334400
2011-04-11,2701401000
2011-04-12,2553793800
2011-04-13,2606781000
2011-04-14,2604888600
2011-04-15,2685315600
2011-04-18,2803117500
2011-04-19,2991411300
2011-04-20,3141857100
2011-04-21,3175447200
2011-04-25,3138072300
2011-04-26,3162673499
2011-04-27,3234584700
2011-04-28,3295614600
2011-04-29,3286152599
2011-05-02,3283314000
2011-05-03,3303657300
2011-05-04,3130975800
2011-05-05,3119621400
2011-05-06,3216133800
2011-05-09,3227488200
2011-05-10,3297507000
2011-05-11,3171189300
2011-05-12,3185855400
2011-05-13,3112524900
2011-05-16,3013173900
2011-05-17,3031624800
2011-05-18,3165985200
2011-05-19,3262970700
2011-05-20,3343397700
2011-05-23,3205252500
2011-05-24,3190113300
2011-05-25,3332516400
2011-05-26,3525068100
2011-05-27,3468769199
2011-05-31,3555346500
2011-06-01,3495735900
2011-06-02,3556765800
2011-06-03,3511821300
2011-06-06,3386449800
2011-06-07,3367052700
2011-06-08,3159834900
2011-06-09,3257766600
2011-06-10,3151792200
2011-06-13,3155577000
2011-06-14,3247831500
2011-06-15,3085085099
2011-06-16,2989045800
2011-06-17,2941735800
2011-06-20,2933220000
2011-06-21,3013173900
2011-06-22,3051495000
2011-06-23,3117729000
2011-06-24,3130502700
2011-06-27,3250197000
2011-06-28,3406793100
2011-06-29,3413889600
2011-06-30,3452488929
2011-07-01,3573095750
2011-07-05,3603010040
2011-07-06,3540807309
2011-07-07,3540332480
2011-07-08,3537008669
2011-07-11,3367969190
2011-07-12,3299118840
2011-07-13,3326184150
2011-07-14,3260182780
2011-07-15,3209375970
2011-07-18,3176612700
2011-07-19,3291521559
2011-07-20,3250211350
2011-07-21,3160943309
2011-07-22,3176612700
2011-07-25,3154770520
2011-07-26,3084020850
2011-07-27,2924952800
2011-07-28,2864174560
2011-07-29,2858001770
2011-08-01,2885067080
2011-08-02,2996177300
2011-08-03,3045084790
2011-08-04,2793899720
2011-08-05,2850404490
2011-08-08,2583550030
2011-08-09,2736445290
2011-08-10,2722200390
2011-08-11,2941097020
2011-08-12,2866073880
2011-08-15,2894088850
2011-08-16,2771107880
2011-08-17,2719826240
2011-08-18,2507102400
2011-08-19,2404064290
2011-08-22,2367027550
2011-08-23,2514224850
2011-08-24,2586399010
2011-08-25,2458669740
2011-08-26,2528469750
2011-08-29,2685638480
2011-08-30,2759237130
2011-08-31,2753064340
2011-09-01,2695135080
2011-09-02,2565031660
2011-09-06,2561233020
2011-09-07,2716027600
2011-09-08,2655724190
2011-09-09,2526570430
2011-09-12,2555060230
2011-09-13,2691336440
2011-09-14,2807194960
2011-09-15,2821914690
2011-09-16,2831886120
2011-09-19,2986680700
2011-09-20,2937773210
2011-09-21,2888865720
2011-09-22,2695135080
2011-09-23,2642903780
2011-09-26,2585924180
2011-09-27,2636256160
2011-09-28,2472439810
2011-09-29,2212232970
2011-09-30,2066267040
2011-10-03,1970183720
2011-10-04,2148080560
2011-10-05,2142372640
2011-10-06,2271752160
2011-10-07,2617081320
2011-10-10,2546207980
2011-10-11,2567612680
2011-10-12,2668928260
2011-10-13,2654182800
2011-10-14,2672733540
2011-10-17,2521473660
2011-10-18,2506252540
2011-10-19,2332636640
2011-10-20,2235602000
2011-10-21,2322172120
2011-10-24,2425866000
2011-10-25,2285070640
2011-10-26,2305999680
2011-10-27,2447270700
2011-10-28,2611849060
2011-10-31,2514338760
2011-11-01,2371165100
2011-11-02,2412547520
2011-11-03,2474858980
2011-11-04,2471529360
2011-11-07,2444892400
2011-11-08,2415401480
2011-11-09,2271276500
2011-11-10,2222759180
2011-11-11,2233699360
2011-11-14,2191365620
