,DXC
2000-06-08,7945331884
2000-06-09,7429536310
2000-06-12,7169033400
2000-06-13,7142983176
2000-06-14,7351385470
2000-06-15,7314915425
2000-06-16,7062227884
2000-06-19,6950211452
2000-06-20,5918620974
2000-06-21,6231223829
2000-06-22,6257274052
2000-06-23,6226013582
2000-06-26,6252064477
2000-06-27,6090552720
2000-06-28,6090552720
2000-06-29,6017611959
2000-06-30,6226013582
2000-07-03,6141154212
2000-07-05,5786053597
2000-07-06,5880051308
2000-07-07,5806942313
2000-07-10,5728611223
2000-07-11,5890494994
2000-07-12,6073267649
2000-07-13,6094155693
2000-07-14,6005380917
2000-07-17,5786053597
2000-07-18,5676390441
2000-07-19,5639835775
2000-07-20,5629391921
2000-07-21,5425730550
2000-07-24,5389176389
2000-07-25,5577171307
2000-07-26,5373510104
2000-07-27,5253402758
2000-07-28,5209015034
2000-07-31,5169849405
2000-08-01,5665946082
2000-08-02,5906161615
2000-08-03,5979270442
2000-08-04,6068045385
2000-08-07,6088934270
2000-08-08,6041935078
2000-08-09,6130710526
2000-08-10,6193374995
2000-08-11,6313483181
2000-08-14,6423146169
2000-08-15,6464923098
2000-08-16,6412702315
2000-08-17,6402257957
2000-08-18,6350037174
2000-08-21,6188153404
2000-08-22,6099377956
2000-08-23,6198597258
2000-08-24,6511921617
2000-08-25,6313483181
2000-08-28,6271706084
2000-08-29,6266484494
2000-08-30,6365703796
2000-08-31,6605918656
2000-09-01,6339593489
2000-09-05,6297816560
2000-09-06,6511921617
2000-09-07,6558920136
2000-09-08,6506699522
2000-09-11,6256040135
2000-09-12,6511921617
2000-09-13,6485811310
2000-09-14,6511921617
2000-09-15,6673805387
2000-09-18,6475366951
2000-09-19,6475366951
2000-09-20,6517143880
2000-09-21,6266484494
2000-09-22,6240373514
2000-09-25,6470145361
2000-09-26,6339593489
2000-09-27,6365703796
2000-09-28,6407480220
2000-09-29,6203819353
2000-10-02,6173482437
2000-10-03,5933228829
2000-10-04,5891445162
2000-10-05,5995903574
2000-10-06,6439851405
2000-10-09,5870553580
2000-10-10,5849662167
2000-10-11,5692974548
2000-10-12,5468389416
2000-10-13,5682528505
2000-10-16,5666860030
2000-10-17,5567624723
2000-10-18,5181129035
2000-10-19,5358708067
2000-10-20,5515395685
2000-10-23,5551956247
2000-10-24,5583293199
2000-10-25,5734758384
2000-10-26,5651191554
2000-10-27,5421383316
2000-10-30,5343039591
2000-10-31,5264695866
2000-11-01,5249027054
2000-11-02,5510172579
2000-11-03,5849662167
2000-11-06,5865330643
2000-11-07,6079470236
2000-11-08,5959343516
2000-11-09,5870553580
2000-11-10,5849662167
2000-11-13,5760872230
2000-11-14,6095138712
2000-11-15,6152591024
2000-11-16,6027241198
2000-11-17,6058578823
2000-11-20,6189151586
2000-11-21,6100361818
2000-11-22,6178705543
2000-11-24,6220488706
2000-11-27,6189151586
2000-11-28,5823547480
2000-11-29,5640745511
2000-11-30,5698197654
2000-12-01,5933228829
2000-12-04,5807879004
2000-12-05,6168260172
2000-12-06,6225711643
2000-12-07,6121253399
2000-12-08,6194374019
2000-12-11,6116030294
2000-12-12,6178705543
2000-12-13,5828770585
2000-12-14,5928005892
2000-12-15,5849662167
2000-12-18,5875776686
2000-12-19,5823547480
2000-12-20,5531064666
2000-12-21,5243804284
2000-12-22,5139346040
2000-12-26,5139346040
2000-12-27,5327370779
2000-12-28,5066225421
2000-12-29,5024441922
2001-01-02,4972212715
2001-01-03,5243804284
2001-01-04,5024441922
2001-01-05,4810302664
2001-01-08,4674506628
2001-01-09,4455144601
2001-01-10,4617054821
2001-01-11,4606608946
2001-01-12,4737181540
2001-01-16,4768519165
2001-01-17,4758073458
2001-01-18,4867754472
2001-01-19,5029665027
2001-01-22,4977435485
2001-01-23,5050556609
2001-01-24,5071448022
2001-01-25,5019218984
2001-01-26,5222912535
2001-01-29,5293944383
2001-01-30,5537123246
2001-01-31,5398402627
2001-02-01,5347426885
2001-02-02,5202856764
2001-02-05,4963856285
2001-02-06,4935443243
2001-02-07,5005639280
2001-02-08,5201185142
2001-02-09,5297286619
2001-02-12,5377510709
2001-02-13,5222912535
2001-02-14,5285587447
2001-02-15,5306479365
2001-02-16,5298122766
2001-02-20,5292272760
2001-02-21,5236283160
2001-02-22,5130989105
2001-02-23,5025695386
2001-02-26,5062464691
2001-02-27,4923744071
2001-02-28,4989761725
2001-03-01,4988090439
2001-03-02,4842684506
2001-03-05,4791708765
2001-03-06,4842684506
2001-03-07,4844355624
2001-03-08,4700621147
2001-03-09,4637946234
2001-03-12,4554379908
2001-03-13,4599505980
2001-03-14,4535159444
2001-03-15,4520953344
2001-03-16,2732627877
2001-03-19,2757697842
2001-03-20,2757697842
2001-03-21,2582207918
2001-03-22,2542096042
2001-03-23,2671624251
2001-03-26,2700872431
2001-03-27,2715914343
2001-03-28,2665774581
2001-03-29,2671624251
2001-03-30,2703379360
2001-04-02,2714268502
2001-04-03,2548382553
2001-04-04,2571234090
2001-04-05,2732042033
2001-04-06,2754893740
2001-04-09,2794672304
2001-04-10,2874230282
2001-04-11,2876769285
2001-04-12,2808214163
2001-04-16,2799750650
2001-04-17,2941938558
2001-04-18,3107824678
2001-04-19,3173840456
2001-04-20,3033345387
2001-04-23,2877615789
2001-04-24,2953787919
2001-04-25,2953787919
2001-04-26,2953787919
2001-04-27,3004569340
2001-04-30,3015571685
2001-05-01,3079048631
2001-05-02,3073970455
2001-05-03,3006261838
2001-05-04,3114595693
2001-05-07,3063814102
2001-05-08,3206002521
2001-05-09,3232239225
2001-05-10,3180611471
2001-05-11,3265247284
2001-05-14,3182304310
2001-05-15,3097668326
2001-05-16,3314335865
2001-05-17,3309257860
2001-05-18,3321953215
2001-05-21,3531849910
2001-05-22,3542006262
2001-05-23,3543698760
2001-05-24,3580092327
2001-05-25,3502227188
2001-05-29,3586863172
2001-05-30,3496302848
2001-05-31,3553855112
2001-06-01,3588555840
2001-06-04,3681655167
2001-06-05,3821304072
2001-06-06,3722280235
2001-06-07,3680808663
2001-06-08,3641876604
2001-06-11,3681655167
2001-06-12,3638491096
2001-06-13,3573321312
2001-06-14,3389662002
2001-06-15,3393893844
2001-06-18,3234778228
2001-06-19,3277942639
2001-06-20,3033345387
2001-06-21,2962251262
2001-06-22,2847993067
2001-06-25,2936860552
2001-06-26,2919933356
2001-06-27,2919933356
2001-06-28,2954633913
2001-06-29,2928397209
2001-07-02,3000312199
2001-07-03,2902052538
2001-07-05,2891040454
2001-07-06,2825816532
2001-07-09,2885958190
2001-07-10,2901205323
2001-07-11,2901205323
2001-07-12,3058759599
2001-07-13,3073160029
2001-07-16,3028265333
2001-07-17,2990147330
2001-07-18,2938476282
2001-07-19,2985911940
2001-07-20,2968123675
2001-07-23,2918146885
2001-07-24,2802945662
2001-07-25,2890193410
2001-07-26,2817345580
2001-07-27,2833439928
2001-07-30,2924076193
2001-07-31,3058759599
2001-08-01,2841063665
2001-08-02,3146854903
2001-08-03,3135842820
2001-08-06,3101113163
2001-08-07,3131607770
2001-08-08,3157866645
2001-08-09,3151089953
2001-08-10,3155325514
2001-08-13,3286620914
2001-08-14,3195137775
2001-08-15,3163795954
2001-08-16,3176501955
2001-08-17,3197678907
2001-08-20,3244267521
2001-08-21,3220549436
2001-08-22,3227326300
2001-08-23,3254432390
2001-08-24,3281538309
2001-08-27,3232408563
2001-08-28,3250196829
2001-08-29,3237490828
2001-08-30,3231561520
2001-08-31,3184972906
2001-09-04,3170572647
2001-09-05,3090101080
2001-09-06,3007935595
2001-09-07,2874099404
2001-09-10,2837675318
2001-09-17,2736026969
2001-09-18,2795321925
2001-09-19,3019794893
2001-09-20,2880028882
2001-09-21,2841910538
2001-09-24,2906287587
2001-09-25,2983370808
2001-09-26,2824969317
2001-09-27,2844451840
2001-09-28,2809721843
2001-10-01,2784748675
2001-10-02,2668717594
2001-10-03,2828789698
2001-10-04,2878759500
2001-10-05,2835565567
2001-10-08,2756799639
2001-10-09,2755105800
2001-10-10,2831330628
2001-10-11,2900779926
2001-10-12,2855891984
2001-10-15,2852504134
2001-10-16,2836412146
2001-10-17,2871983971
2001-10-18,2798299732
2001-10-19,2792371294
2001-10-22,2937198671
2001-10-23,2929576052
2001-10-24,2993096742
2001-10-25,3019352108
2001-10-26,3108281073
2001-10-29,3192975270
2001-10-30,3070168660
2001-10-31,3041372534
2001-11-01,2874524731
2001-11-02,3394547808
2001-11-05,3735018773
2001-11-06,3641855038
2001-11-07,3713845267
2001-11-08,3726549405
2001-11-09,3722314635
2001-11-12,3728243244
2001-11-13,3700294209
2001-11-14,3818866220
2001-11-15,3811243601
2001-11-16,3764661818
2001-11-19,3836651877
2001-11-20,3905254426
2001-11-21,3868835852
2001-11-23,3968775116
2001-11-26,4026367367
2001-11-27,4150020897
2001-11-28,4022979517
2001-11-29,4017050908
2001-11-30,4035683655
2001-12-03,4047540703
2001-12-04,4145786127
2001-12-05,4234715093
2001-12-06,4227939905
2001-12-07,4099204345
2001-12-10,4021285507
2001-12-11,4163572125
2001-12-12,4073796069
2001-12-13,4001805670
2001-12-14,3811243601
2001-12-17,3829876689
2001-12-18,4000959091
2001-12-19,4020438417
2001-12-20,3972162966
2001-12-21,4034836565
2001-12-24,3979785244
2001-12-26,4054316402
2001-12-27,4093275736
2001-12-28,4207613148
2001-12-31,4148327228
2002-01-02,4177065978
2002-01-03,4199974986
2002-01-04,4276338118
2002-01-07,4240701921
2002-01-08,4215247544
2002-01-09,4225429363
2002-01-10,4240701921
2002-01-11,4174520609
2002-01-14,4148217604
2002-01-15,4055733287
2002-01-16,3886037381
2002-01-17,3886037381
2002-01-18,3811371333
2002-01-22,3754522871
2002-01-23,3802886256
2002-01-24,3839371080
2002-01-25,3750280759
2002-01-28,3712947308
2002-01-29,3518645482
2002-01-30,3572948233
2002-01-31,3775735137
2002-02-01,3928461400
2002-02-04,3942885331
2002-02-05,3975127702
2002-02-06,3936097850
2002-02-07,3960703600
2002-02-08,3987854890
2002-02-11,4195732362
2002-02-12,4215247544
2002-02-13,4195732362
2002-02-14,4156702340
2002-02-15,4146520520
2002-02-19,4117672488
2002-02-20,4033672906
2002-02-21,3817310358
2002-02-22,3788462325
2002-02-25,3807976995
2002-02-26,3843613191
2002-02-27,3989551633
2002-02-28,4031127537
2002-03-01,4032824279
2002-03-04,4283974226
2002-03-05,4225429363
2002-03-06,4238156552
2002-03-07,4414640109
2002-03-08,4454518759
2002-03-11,4412094740
2002-03-12,4381549624
2002-03-13,4408701085
2002-03-14,4412094740
2002-03-15,4433306493
2002-03-18,4484215589
2002-03-19,4480821763
2002-03-20,4372216261
2002-03-21,4327246872
2002-03-22,4139732527
2002-03-25,4200823101
2002-03-26,4166035873
2002-03-27,4278034860
2002-03-28,4306034607
2002-04-01,4230281856
2002-04-02,4133867509
2002-04-03,4115949793
2002-04-04,4138133509
2002-04-05,4076701735
2002-04-08,3988819215
2002-04-09,3977727444
2002-04-10,3824147322
2002-04-11,3765274805
2002-04-12,3840358638
2002-04-15,3865101953
2002-04-16,4083527163
2002-04-17,4009296702
2002-04-18,4117656365
2002-04-19,4146666024
2002-04-22,3988819215
2002-04-23,3943598757
2002-04-24,3952130757
2002-04-25,3959809900
2002-04-26,3843771438
2002-04-29,3746503890
2002-04-30,3826706922
2002-05-01,3726880118
2002-05-02,3668007601
2002-05-03,3536610851
2002-05-06,3429958276
2002-05-07,3411187360
2002-05-08,3566473710
2002-05-09,3472619478
2002-05-10,3450435419
2002-05-13,3348901871
2002-05-14,3540877023
2002-05-15,3978580816
2002-05-16,3948717957
2002-05-17,4054517504
2002-05-20,4054517504
2002-05-21,4044278761
2002-05-22,4058783848
2002-05-23,4149225624
2002-05-24,4014416246
2002-05-28,3995645331
2002-05-29,3975167844
2002-05-30,4001617902
2002-05-31,4041719161
2002-06-03,4002471274
2002-06-04,4044278761
2002-06-05,4114243393
2002-06-06,4115096765
2002-06-07,4197859398
2002-06-10,4160317224
2002-06-11,4037452989
2002-06-12,4041719161
2002-06-13,3891552011
2002-06-14,3924827842
2002-06-17,4125335165
2002-06-18,4156051396
2002-06-19,4077554591
2002-06-20,4023801618
2002-06-21,3975167844
2002-06-24,3954690357
2002-06-25,3869368296
2002-06-26,3796844407
2002-06-27,3907763327
2002-06-28,4078407963
2002-07-01,3553726705
2002-07-02,3448854377
2002-07-03,3483811934
2002-07-05,3478696345
2002-07-08,3452264942
2002-07-09,3338013690
2002-07-10,3342277025
2002-07-11,3247635876
2002-07-12,3346539844
2002-07-15,3303055962
2002-07-16,3333750528
2002-07-17,3444591558
2002-07-18,3234846559
2002-07-19,3124858299
2002-07-22,3037890706
2002-07-23,3017428006
2002-07-24,3077111426
2002-07-25,3052385563
2002-07-26,3057501152
2002-07-29,3176015566
2002-07-30,3239962149
2002-07-31,3154700095
2002-08-01,3059206177
2002-08-02,3001228296
2002-08-05,2818767299
2002-08-06,2969681304
2002-08-07,2992702142
2002-08-08,3098427240
2002-08-09,3089900743
2002-08-12,3045564434
2002-08-13,2984175645
2002-08-14,3111216556
2002-08-15,3147026368
2002-08-16,3154700095
2002-08-19,3205857362
2002-08-20,3093311307
2002-08-21,3150436933
2002-08-22,3158110660
2002-08-23,3239962149
2002-08-26,3251046269
2002-08-27,3180278729
2002-08-28,3093311307
2002-08-29,3152994727
2002-08-30,3140205411
2002-09-03,2984175645
2002-09-04,3069437699
2002-09-05,2977354688
2002-09-06,3066879904
2002-09-09,3123152760
2002-09-10,3141910779
2002-09-11,3091605939
2002-09-12,2985881185
2002-09-13,2975649663
2002-09-16,3039596246
2002-09-17,2985028072
2002-09-18,2997817388
2002-09-19,2515233751
2002-09-20,2557012265
2002-09-23,2551896504
2002-09-24,2194648066
2002-09-25,2314015078
2002-09-26,2389045781
2002-09-27,2219374101
2002-09-30,2369435507
2002-10-01,2518939769
2002-10-02,2430852969
2002-10-03,2367328974
2002-10-04,2203013550
2002-10-07,2104763013
2002-10-08,2241974911
2002-10-09,2080200379
2002-10-10,2140336519
2002-10-11,2230964040
2002-10-14,2305498906
2002-10-15,2557901130
2002-10-16,2411372288
2002-10-17,2518939769
2002-10-18,2527409578
2002-10-21,2594321599
2002-10-22,2540961341
2002-10-23,2577381810
2002-10-24,2634976888
2002-10-25,2638364914
2002-10-28,2717981734
2002-10-29,2635823852
2002-10-30,2652763640
2002-10-31,2734921352
2002-11-01,2776423775
2002-11-04,2897543019
2002-11-05,2824702080
2002-11-06,2668009502
2002-11-07,2623966016
2002-11-08,2566370939
2002-11-11,2485907155
2002-11-12,2518939769
2002-11-13,2572299856
2002-11-14,2645140795
2002-11-15,2643446867
2002-11-18,2603638372
2002-11-19,2535879387
2002-11-20,2649375785
2002-11-21,2816232100
2002-11-22,2974618777
2002-11-25,2942433297
2002-11-26,2817079064
2002-11-27,2958526122
2002-11-29,2955138096
2002-12-02,2850958812
2002-12-03,2824702080
2002-12-04,2795904456
2002-12-05,2838254013
2002-12-06,2811997281
2002-12-09,2717134600
2002-12-10,2785740548
2002-12-11,2823854946
2002-12-12,2936504380
2002-12-13,2787434817
2002-12-16,2950903106
2002-12-17,2975465570
2002-12-18,2977159668
2002-12-19,2964454869
2002-12-20,2934810281
2002-12-23,2934810281
2002-12-24,2917870833
2002-12-26,2944127054
2002-12-27,2900083910
2002-12-30,2904318900
2002-12-31,2917870833
2003-01-02,2968690030
2003-01-03,2917870833
2003-01-06,3000028375
2003-01-07,3049153473
2003-01-08,2985629477
2003-01-09,3015274065
2003-01-10,3049153473
2003-01-13,3061011478
2003-01-14,2998334277
2003-01-15,2893307858
2003-01-16,2847570445
2003-01-17,2755249167
2003-01-21,2718828698
2003-01-22,2702735873
2003-01-23,2752707935
2003-01-24,2661233450
2003-01-27,2644293831
2003-01-28,2701888909
2003-01-29,2671397357
2003-01-30,2659539522
2003-01-31,2591780537
2003-02-03,2625660115
2003-02-04,2604485336
2003-02-05,2742544368
2003-02-06,2795904456
2003-02-07,2824702080
2003-02-10,2769647894
2003-02-11,2742544368
2003-02-12,2656151666
2003-02-13,2625660115
2003-02-14,2694266064
2003-02-18,2708664790
2003-02-19,2656998630
2003-02-20,2617190135
2003-02-21,2664621476
2003-02-24,2612955316
2003-02-25,2643446867
2003-02-26,2585004655
2003-02-27,2645140795
2003-02-28,2647681687
2003-03-03,2595168563
2003-03-04,2464732547
2003-03-05,2528256542
2003-03-06,2502846944
2003-03-07,2536726351
2003-03-10,2502846944
2003-03-11,2496071062
2003-03-12,2476590382
2003-03-13,2384268763
2003-03-14,2390197680
2003-03-17,2492683036
2003-03-18,2546890258
2003-03-19,2554513104
2003-03-20,2601097480
2003-03-21,2732380461
2003-03-24,2636670815
2003-03-25,2680714301
2003-03-26,2695959991
2003-03-27,2826396008
2003-03-28,2789128574
2003-03-31,2756943095
2003-04-01,3033040162
2003-04-02,2669000485
2003-04-03,2826220726
2003-04-04,2754161363
2003-04-07,2798145703
2003-04-08,2727022149
2003-04-09,2715792253
2003-04-10,2719535489
2003-04-11,2742931467
2003-04-14,2857103176
2003-04-15,2891729050
2003-04-16,2944135860
2003-04-17,2964724223
2003-04-21,2943200051
2003-04-22,3031168355
2003-04-23,3037719583
2003-04-24,2992799245
2003-04-25,2926354924
2003-04-28,3041462443
2003-04-29,3046141864
2003-04-30,3083574977
2003-05-01,3080767550
2003-05-02,3079832118
2003-05-05,3103227719
2003-05-06,3176222891
2003-05-07,3102291910
2003-05-08,2996542670
2003-05-09,3137853593
2003-05-12,3077960123
2003-05-13,3184645549
2003-05-14,3490663373
2003-05-15,3422347246
2003-05-16,3507508312
2003-05-19,3383042139
2003-05-20,3378363282
2003-05-21,3427962100
2003-05-22,3431705901
2003-05-23,3491599371
2003-05-27,3587989956
2003-05-28,3629167058
2003-05-29,3602963465
2003-05-30,3715263556
2003-06-02,3832243070
2003-06-03,3694675194
2003-06-04,3760183518
2003-06-05,3762055512
2003-06-06,3784515305
2003-06-09,3689995960
2003-06-10,3726493641
2003-06-11,3783579684
2003-06-12,3709648703
2003-06-13,3673151022
2003-06-16,3795745389
2003-06-17,3855638671
2003-06-18,3952965819
2003-06-19,3887457118
2003-06-20,3901494629
2003-06-23,3822884791
2003-06-24,3762055512
2003-06-25,3585182529
2003-06-26,3682509677
2003-06-27,3594540807
2003-06-30,3567401782
2003-07-01,3570493230
2003-07-02,3586234640
2003-07-03,3617717274
2003-07-07,3726980467
2003-07-08,3787167378
2003-07-09,3703831225
2003-07-10,3618643392
2003-07-11,3635310549
2003-07-14,3670496912
2003-07-15,3722350618
2003-07-16,3682534220
2003-07-17,3568641551
2003-07-18,3565863754
2003-07-21,3502898486
2003-07-22,3435303556
2003-07-23,3576975316
2003-07-24,3541788766
2003-07-25,3676052507
2003-07-28,3697349698
2003-07-29,3688090187
2003-07-30,3660311469
2003-07-31,3756610863
2003-08-01,3771425968
2003-08-04,3958469720
2003-08-05,3927913205
2003-08-06,3907541760
2003-08-07,3894578893
2003-08-08,3854762494
2003-08-11,3952914126
2003-08-12,4039028077
2003-08-13,3740869826
2003-08-14,3750129336
2003-08-15,3745499301
2003-08-18,3836243287
2003-08-19,3934394918
2003-08-20,3972359079
2003-08-21,4024212599
2003-08-22,3950136329
2003-08-25,3948284277
2003-08-26,3893652401
2003-08-27,3878837296
2003-08-28,3865873683
2003-08-29,3941802564
2003-09-02,4082547832
2003-09-03,4087177867
2003-09-04,4136253589
2003-09-05,3984396760
2003-09-08,4037176398
2003-09-09,4032546363
2003-09-10,3867725735
2003-09-11,3856614173
2003-09-12,3770500222
2003-09-15,3755684931
2003-09-16,3734387740
2003-09-17,3680682541
2003-09-18,3650125840
2003-09-19,3638088346
2003-09-22,3628828463
2003-09-23,3566789314
2003-09-24,3486230957
2003-09-25,3458452239
2003-09-26,3411228568
2003-09-29,3499194756
2003-09-30,3478823684
2003-10-01,3526063308
2003-10-02,3563968290
2003-10-03,3699870759
2003-10-06,3707266785
2003-10-07,3735001929
2003-10-08,3721134357
2003-10-09,3711888999
2003-10-10,3734077263
2003-10-13,3800641684
2003-10-14,3753491715
2003-10-15,3753491715
2003-10-16,3665664068
2003-10-17,3642551138
2003-10-20,3668437508
2003-10-21,3596325835
2003-10-22,3546402798
2003-10-23,3588005515
2003-10-24,3545478132
2003-10-27,3589854289
2003-10-28,3674909054
2003-10-29,3649947164
2003-10-30,3620362873
2003-10-31,3662890256
2003-11-03,3659192150
2003-11-04,3672135428
2003-11-05,3625910125
2003-11-06,3648098018
2003-11-07,3761812407
2003-11-10,3785849632
2003-11-11,3771057394
2003-11-12,4085389340
2003-11-13,4137161523
2003-11-14,4086314007
2003-11-17,3930996900
2003-11-18,3915279996
2003-11-19,3854262827
2003-11-20,3790471846
2003-11-21,3799717204
2003-11-24,3865356959
2003-11-25,3847791281
2003-11-26,3818206990
2003-11-28,3827452348
2003-12-01,3875526425
2003-12-02,3918053808
2003-12-03,3879224531
2003-12-04,3872752985
2003-12-05,3825603016
2003-12-08,3857036267
2003-12-09,3827452348
2003-12-10,3847791281
2003-12-11,3891243330
2003-12-12,3925449834
2003-12-15,3869055065
2003-12-16,3894016770
2003-12-17,3829301122
2003-12-18,3840395255
2003-12-19,3762737074
2003-12-22,3869055065
2003-12-23,4058578862
2003-12-24,4088162780
2003-12-26,4076143982
2003-12-29,4096483100
2003-12-30,4124218245
2003-12-31,4089087447
2004-01-02,4090936220
2004-01-05,4245328847
2004-01-06,4190782666
2004-01-07,4160274081
2004-01-08,4161198748
2004-01-09,4100181579
2004-01-12,4117746699
2004-01-13,4072446434
2004-01-14,4123293951
2004-01-15,4147331175
2004-01-16,4158425308
2004-01-20,4104803793
2004-01-21,4151029095
2004-01-22,4216669036
2004-01-23,4302648282
2004-01-26,4315591188
2004-01-27,4223140583
2004-01-28,4183387012
2004-01-29,4183387012
2004-01-30,4127916723
2004-02-02,4114049151
2004-02-03,4126067391
2004-02-04,4098332247
2004-02-05,4143633069
2004-02-06,4222216289
2004-02-09,4264743299
2004-02-10,4268441219
2004-02-11,4310043936
2004-02-12,3963354631
2004-02-13,3967052737
2004-02-17,3982769083
2004-02-18,3923600688
2004-02-19,3915279996
2004-02-20,3836697148
2004-02-23,3808037896
2004-02-24,3762737074
2004-02-25,3789547552
2004-02-26,3771982060
2004-02-27,3863508185
2004-03-01,3858885413
2004-03-02,3845942135
2004-03-03,3896790210
2004-03-04,3914355702
2004-03-05,3951335832
2004-03-08,3902337462
2004-03-09,3892167623
2004-03-10,3822829576
2004-03-11,3820980802
2004-03-12,3895865543
2004-03-15,3818206990
2004-03-16,3838546481
2004-03-17,3833923708
2004-03-18,3862583519
2004-03-19,3818206990
2004-03-22,3729454677
2004-03-23,3759038595
2004-03-24,3705417639
2004-03-25,3771057394
2004-03-26,3719285211
2004-03-29,3750718275
2004-03-30,3748869501
2004-03-31,3728530011
2004-04-01,3825431103
2004-04-02,3919324058
2004-04-05,3948142387
2004-04-06,3983468516
2004-04-07,3962086843
2004-04-08,3976031298
2004-04-12,4005779795
2004-04-13,4026231488
2004-04-14,4061557617
2004-04-15,4001131393
2004-04-16,3992764944
2004-04-19,4008568611
2004-04-20,3997412972
2004-04-21,3946283363
2004-04-22,3974172275
2004-04-23,3963946428
2004-04-26,3881208926
2004-04-27,3828220294
2004-04-28,3814275464
2004-04-29,3794753750
2004-04-30,3803120199
2004-05-03,3730609105
2004-05-04,3728749707
2004-05-05,3730609105
2004-05-06,3704579217
2004-05-07,3685057129
2004-05-10,3644153555
2004-05-11,3673901490
2004-05-12,3629278932
2004-05-13,3674831282
2004-05-14,3662745850
2004-05-17,3628349514
2004-05-18,3920253476
2004-05-19,3893294357
2004-05-20,3928620299
2004-05-21,3894223963
2004-05-24,3935127724
2004-05-25,3968594642
2004-05-26,3985327914
2004-05-27,3996483553
2004-05-28,4052261376
2004-06-01,4014146618
2004-06-02,3964876033
2004-06-03,3895153381
2004-06-04,3946283363
2004-06-07,3989046523
2004-06-08,4001131393
2004-06-09,4008568611
2004-06-10,4029950097
2004-06-14,3932338908
2004-06-15,3935127724
2004-06-16,3918394452
2004-06-17,3929550092
2004-06-18,4014146618
2004-06-21,4039246338
2004-06-22,4104320589
2004-06-23,4169394653
2004-06-24,4232609693
2004-06-25,4255850203
2004-06-28,4226102268
2004-06-29,4272583849
2004-06-30,4316276426
2004-07-01,3544043891
2004-07-02,3533953498
2004-07-06,3473411300
2004-07-07,3484277852
2004-07-08,3440811642
2004-07-09,3479620892
2004-07-12,3442364275
2004-07-13,3474963620
2004-07-14,3467201863
2004-07-15,3462544591
2004-07-16,3400450385
2004-07-19,3509115441
2004-07-20,3634857110
2004-07-21,3578972028
2004-07-22,3609242893
2004-07-23,3547148687
2004-07-26,3562672043
2004-07-27,3668232771
2004-07-28,3593719537
2004-07-29,3658918539
2004-07-30,3667456455
2004-08-02,3654261579
2004-08-03,3585957468
2004-08-04,3551029331
2004-08-05,3487382492
2004-08-06,3381045916
2004-08-09,3387255040
2004-08-10,3430721562
2004-08-11,3337579550
2004-08-12,3334475066
2004-08-13,3344565303
2004-08-16,3422183177
2004-08-17,3418302534
2004-08-18,3464873383
2004-08-19,3492815768
2004-08-20,3498249357
2004-08-23,3495920565
