,EPAM
2013-08-16,1415788540
2013-08-19,1397323740
2013-08-20,1401478320
2013-08-21,1418558260
2013-08-22,1449486800
2013-08-23,1437484680
2013-08-26,1424559320
2013-08-27,1396400500
2013-08-28,1398708600
2013-08-29,1486416400
2013-08-30,1476260760
2013-09-03,1473029420
2013-09-04,1491955840
2013-09-05,1483646680
2013-09-06,1485031540
2013-09-09,1542272419
2013-09-10,1590742520
2013-09-11,1587511180
2013-09-12,1577817160
2013-09-13,1534424880
2013-09-16,1529347060
2013-09-17,1546888620
2013-09-18,1591665759
2013-09-19,1607360840
2013-09-20,1569046380
2013-09-23,1567199900
2013-09-24,1565815040
2013-09-25,1607822460
2013-09-26,1621671060
2013-09-27,1606899220
2013-09-30,1605354000
2013-10-01,1633738520
2013-10-02,1610007200
2013-10-03,1604423359
2013-10-04,1626293400
2013-10-07,1585345240
2013-10-08,1548584960
2013-10-09,1629085320
2013-10-10,1708189720
2013-10-11,1775195800
2013-10-14,1814748000
2013-10-15,1749137880
2013-10-16,1754721720
2013-10-17,1784502200
2013-10-18,1800788400
2013-10-21,1814748000
2013-10-22,1798927119
2013-10-23,1777522400
2013-10-24,1778918359
2013-10-25,1785898160
2013-10-28,1785898160
2013-10-29,1767750680
2013-10-30,1739366160
2013-10-31,1743554040
2013-11-01,1702605880
2013-11-04,1703536520
2013-11-05,1690972880
2013-11-06,1687715640
2013-11-07,1628620000
2013-11-08,1662123040
2013-11-11,1656539200
2013-11-12,1647232800
2013-11-13,1635134480
2013-11-14,1656073880
2013-11-15,1664914960
2013-11-18,1639322359
2013-11-19,1635599800
2013-11-20,1635599800
2013-11-21,1668172200
2013-11-22,1633273200
2013-11-25,1625828080
2013-11-26,1637926400
2013-11-27,1639787680
2013-11-29,1650490040
2013-12-02,1649559400
2013-12-03,1623966800
2013-12-04,1609541880
2013-12-05,1624432119
2013-12-06,1664449640
2013-12-09,1639787680
2013-12-10,1603492720
2013-12-11,1553703480
2013-12-12,1551376880
2013-12-13,1514616599
2013-12-16,1555564760
2013-12-17,1580692040
2013-12-18,1619313599
2013-12-19,1616987000
2013-12-20,1629550640
2013-12-23,1616987000
2013-12-24,1622105520
2013-12-26,1617917640
2013-12-27,1625362760
2013-12-30,1620709560
2013-12-31,1635087180
2014-01-02,1627599660
2014-01-03,1637895000
2014-01-06,1633215300
2014-01-07,1674864630
2014-01-08,1715578019
2014-01-09,1710898320
2014-01-10,1708090500
2014-01-13,1685159970
2014-01-14,1726809300
2014-01-15,1770798480
2014-01-16,1788113370
2014-01-17,1794196980
2014-01-21,1859712780
2014-01-22,1893406620
2014-01-23,1867668269
2014-01-24,1865796389
2014-01-27,1841929920
2014-01-28,1957986480
2014-01-29,1923356700
2014-01-30,1945819260
2014-01-31,1913997300
2014-02-03,1858308870
2014-02-04,1892470680
2014-02-05,1891534740
2014-02-06,1911657450
2014-02-07,2031457769
2014-02-10,2013674910
2014-02-11,2028649950
2014-02-12,2023502280
2014-02-13,2071235220
2014-02-14,2075446950
2014-02-18,2088082139
2014-02-19,2001507690
2014-02-20,1929440309
2014-02-21,1959858360
2014-02-24,2006655360
2014-02-25,1960794300
2014-02-26,1970621670
2014-02-27,1976705280
2014-02-28,1962198210
2014-03-03,1498439940
2014-03-04,1741316370
2014-03-05,1711366290
2014-03-06,1634151240
2014-03-07,1704346740
2014-03-10,1663633349
2014-03-11,1672056809
2014-03-12,1646786430
2014-03-13,1543365059
2014-03-14,1500311820
2014-03-17,1560211980
2014-03-18,1599989430
2014-03-19,1580334690
2014-03-20,1563487769
2014-03-21,1518094680
2014-03-24,1503119639
2014-03-25,1527454080
2014-03-26,1551320550
2014-03-27,1544768970
2014-03-28,1501247760
2014-03-31,1548537200
2014-04-01,1711863159
2014-04-02,1653969520
2014-04-03,1599841320
2014-04-04,1553714680
2014-04-07,1421924280
2014-04-08,1478876560
2014-04-09,1507588040
2014-04-10,1451577120
2014-04-11,1573953920
2014-04-14,1520767080
2014-04-15,1525003200
2014-04-16,1535828840
2014-04-17,1559362840
2014-04-21,1540064960
2014-04-22,1547595840
2014-04-23,1537240879
2014-04-24,1507117360
2014-04-25,1478876560
2014-04-28,1457695960
2014-04-29,1452047800
2014-04-30,1465226840
2014-05-01,1543830399
2014-05-02,1539123600
2014-05-05,1558892159
2014-05-06,1521237760
2014-05-07,1627611440
2014-05-08,1624787360
2014-05-09,1637966399
2014-05-12,1688329159
2014-05-13,1685034399
2014-05-14,1687387800
2014-05-15,1695389360
2014-05-16,1723159480
2014-05-19,1803645760
2014-05-20,1815412760
2014-05-21,1847889680
2014-05-22,1875659800
2014-05-23,1939201600
2014-05-27,1949556560
2014-05-28,1967442399
2014-05-29,2000390000
2014-05-30,1980150760
2014-06-02,1983916200
2014-06-03,1970266480
2014-06-04,2004626120
2014-06-05,2070521320
2014-06-06,2102998240
2014-06-09,2142064680
2014-06-10,2069579960
2014-06-11,2070050639
2014-06-12,2062049080
2014-06-13,2064873159
2014-06-16,2065814520
2014-06-17,2074286760
2014-06-18,2081817639
2014-06-19,2084641720
2014-06-20,2088407159
2014-06-23,2082759000
2014-06-24,2062519760
2014-06-25,2070521320
2014-06-26,2069579960
2014-06-27,2049811399
2014-06-30,2070031250
2014-07-01,2022243100
2014-07-02,1988649450
2014-07-03,2035491300
2014-07-07,1977766999
2014-07-08,1892600000
2014-07-09,1887868500
2014-07-10,1853328550
2014-07-11,1854748000
2014-07-14,1841026649
2014-07-15,1815003400
2014-07-16,1845758150
2014-07-17,1798916300
2014-07-18,1830144200
2014-07-21,1788033850
2014-07-22,1812637650
2014-07-23,1823993249
2014-07-24,1832036800
2014-07-25,1817842300
2014-07-28,1831563650
2014-07-29,1872254550
2014-07-30,1887395350
2014-07-31,1829197899
2014-08-01,1798916300
2014-08-04,1856640600
2014-08-05,1891180550
2014-08-06,1935183500
2014-08-07,1943700200
2014-08-08,1926666800
2014-08-11,1899224100
2014-08-12,1878405500
2014-08-13,1932344600
2014-08-14,1930451999
2014-08-15,1939915000
2014-08-18,1911526000
2014-08-19,1893073150
2014-08-20,1891180550
2014-08-21,1890234250
2014-08-22,1860425800
2014-08-25,1892126850
2014-08-26,1938022400
2014-08-27,1904428750
2014-08-28,1792292200
2014-08-29,1781409750
2014-09-02,1776205100
2014-09-03,1806013550
2014-09-04,1790399600
2014-09-05,1793238500
2014-09-08,1800335749
2014-09-09,1758225399
2014-09-10,1759171700
2014-09-11,1794184800
2014-09-12,1818315450
2014-09-15,1818315450
2014-09-16,1841972950
2014-09-17,1868942500
2014-09-18,1932817750
2014-09-19,1921462150
2014-09-22,1895912050
2014-09-23,1892126850
2014-09-24,1915311199
2014-09-25,1930925150
2014-09-26,2002370800
2014-09-29,2008994900
2014-09-30,2085279800
2014-10-01,2052898200
2014-10-02,2063374600
2014-10-03,2084803600
2014-10-06,2058612599
2014-10-07,2037659800
2014-10-08,2090518000
2014-10-09,2004802000
2014-10-10,1990039800
2014-10-13,2025754800
2014-10-14,2048612400
2014-10-15,2058136400
2014-10-16,2039088400
2014-10-17,2010040200
2014-10-20,2021945200
2014-10-21,2043850400
2014-10-22,2051469600
2014-10-23,2147662000
2014-10-24,2112423200
2014-10-27,2233854200
2014-10-28,2243378200
2014-10-29,2248616400
2014-10-30,2244806800
2014-10-31,2273378800
2014-11-03,2271950200
2014-11-04,2219568200
2014-11-05,2297665000
2014-11-06,2281950400
2014-11-07,2235759000
2014-11-10,2237187600
2014-11-11,2267664400
2014-11-12,2275759800
2014-11-13,2341475400
2014-11-14,2363856800
2014-11-17,2366237800
2014-11-18,2338618200
2014-11-19,2305760400
2014-11-20,2309570000
2014-11-21,2325760800
2014-11-24,2363380600
2014-11-25,2357666200
2014-11-26,2404333800
2014-11-28,2430048600
2014-12-01,2352904200
2014-12-02,2383381000
2014-12-03,2367666400
2014-12-04,2380523800
2014-12-05,2406238600
2014-12-08,2391000200
2014-12-09,2473859000
2014-12-10,2333856200
2014-12-11,2439572600
2014-12-12,2423858000
2014-12-15,2357666200
2014-12-16,2201948800
2014-12-17,2303379400
2014-12-18,2299569800
2014-12-19,2297188800
2014-12-22,2290998200
2014-12-23,2310046200
2014-12-24,2325760800
2014-12-26,2325760800
2014-12-29,2299093600
2014-12-30,2276236000
2014-12-31,2286556500
2015-01-02,2225262420
2015-01-05,2215685220
2015-01-06,2216642940
2015-01-07,2264528940
2015-01-08,2330611620
2015-01-09,2314809240
2015-01-12,2286556500
2015-01-13,2292302820
2015-01-14,2222868120
2015-01-15,2174503260
2015-01-16,2272190700
2015-01-20,2228135580
2015-01-21,2222389260
2015-01-22,2242022520
2015-01-23,2221431540
2015-01-26,2265007800
2015-01-27,2231966460
2015-01-28,2274585000
2015-01-29,2289429660
2015-01-30,2343061980
2015-02-02,2238191640
2015-02-03,2272669560
2015-02-04,2418721860
2015-02-05,2460861540
2015-02-06,2442664860
2015-02-09,2442186000
2015-02-10,2461340400
2015-02-11,2461819260
2015-02-12,2682094860
2015-02-13,2589674880
2015-02-17,2530775100
2015-02-18,2550408360
2015-02-19,2676827400
2015-02-20,2744825520
2015-02-23,2723755680
2015-02-24,2749135260
2015-02-25,2776909140
2015-02-26,2938284960
2015-02-27,2953608480
2015-03-02,2954566200
2015-03-03,2895666420
2015-03-04,2851132440
2015-03-05,2864540520
2015-03-06,2846822700
2015-03-09,2917215120
2015-03-10,2851611300
2015-03-11,2888962380
2015-03-12,2952650760
2015-03-13,2943552420
2015-03-16,2954087340
2015-03-17,2956002780
2015-03-18,2946425580
2015-03-19,2948819880
2015-03-20,2939242680
2015-03-23,3001973340
2015-03-24,2966537700
2015-03-25,2879385180
2015-03-26,2921524860
2015-03-27,2967495420
2015-03-30,2979945780
2015-03-31,2977713360
2015-04-01,2983057600
2015-04-02,2998604480
2015-04-06,3209944879
2015-04-07,3230350159
2015-04-08,3249297920
2015-04-09,3295452720
2015-04-10,3341121680
2015-04-13,3371729600
2015-04-14,3269217360
2015-04-15,3282820879
2015-04-16,3294481040
2015-04-17,3236180240
2015-04-20,3292051840
2015-04-21,3310999600
2015-04-22,3303226159
2015-04-23,3282335040
2015-04-24,3236180240
2015-04-27,3152615760
2015-04-28,3250755440
2015-04-29,3199742240
2015-04-30,3143870639
2015-05-01,3244925360
2015-05-04,3263873120
2015-05-05,3196827200
2015-05-06,3226463440
2015-05-07,3170106000
2015-05-08,3187110399
2015-05-11,3114234399
2015-05-12,3114720240
2015-05-13,3194883840
2015-05-14,3222576720
2015-05-15,3218204159
2015-05-18,3289136800
2015-05-19,3340635840
2015-05-20,3339664159
2015-05-21,3299339440
2015-05-22,3231807680
2015-05-26,3278448320
2015-05-27,3393106560
2015-05-28,3498533840
2015-05-29,3493675440
2015-06-01,3482986960
2015-06-02,3473270159
2015-06-03,3470840960
2015-06-04,3461610000
2015-06-05,3473756000
2015-06-08,3411568480
2015-06-09,3398450800
2015-06-10,3439261360
2015-06-11,3405252560
2015-06-12,3388248159
2015-06-15,3448492320
2015-06-16,3469869280
2015-06-17,3506793120
2015-06-18,3546632000
2015-06-19,3540801920
2015-06-22,3574324879
2015-06-23,3599102720
2015-06-24,3531570960
2015-06-25,3563150560
2015-06-26,3502420560
2015-06-29,3380474720
2015-06-30,3493332890
2015-07-01,3620354259
2015-07-02,3616921250
2015-07-06,3628201140
2015-07-07,3645366190
2015-07-08,3570330400
2015-07-09,3592890180
2015-07-10,3667925970
2015-07-13,3705198650
2015-07-14,3684110160
2015-07-15,3644385330
2015-07-16,3681167580
2015-07-17,3674301560
2015-07-20,3657136509
2015-07-21,3664002529
2015-07-22,3671358980
2015-07-23,3624768130
2015-07-24,3620354259
2015-07-27,3550222770
2015-07-28,3564445240
2015-07-29,3640461890
2015-07-30,3579648569
2015-07-31,3634576730
2015-08-03,3620844690
2015-08-04,3579648569
2015-08-05,3439876020
2015-08-06,3433500430
2015-08-07,3475186980
2015-08-10,3470282680
2015-08-11,3412411940
2015-08-12,3372687110
2015-08-13,3361897650
2015-08-14,3384947860
2015-08-17,3374648830
2015-08-18,3394756460
2015-08-19,3408978930
2015-08-20,3382986140
2015-08-21,3371706250
2015-08-24,3269696810
2015-08-25,3331981420
2015-08-26,3414864090
2015-08-27,3534529009
2015-08-28,3523739549
2015-08-31,3462926230
2015-09-01,3388380870
2015-09-02,3405545920
2015-09-03,3401622480
2015-09-04,3382005279
2015-09-08,3559050509
2015-09-09,3517363960
2015-09-10,3608093509
2015-09-11,3646347049
2015-09-14,3606131790
2015-09-15,3635067160
2015-09-16,3659098230
2015-09-17,3664002529
2015-09-18,3693918759
2015-09-21,3666454680
2015-09-22,3549732340
2015-09-23,3569349540
2015-09-24,3554636640
2015-09-25,3531586430
2015-09-28,3454588920
2015-09-29,3422710970
2015-09-30,3678307200
2015-10-01,3711378400
2015-10-02,3733590400
2015-10-05,3872292000
2015-10-06,3842182400
2015-10-07,3997172800
2015-10-08,3971999200
2015-10-09,4000628000
2015-10-12,3992730400
2015-10-13,3771104000
2015-10-14,3777027200
2015-10-15,3884632000
2015-10-16,3909805599
2015-10-19,3859458400
2015-10-20,3837246399
2015-10-21,3841195199
2015-10-22,3840701600
2015-10-23,3924120000
2015-10-26,3883151200
2015-10-27,3914248000
2015-10-28,3921158400
2015-10-29,3826880800
2015-10-30,3817995999
2015-11-02,3855509600
2015-11-03,3886112800
2015-11-04,3730135199
2015-11-05,3538618400
2015-11-06,3534669600
2015-11-09,3547503200
2015-11-10,3591927200
2015-11-11,3673371200
2015-11-12,3635364000
2015-11-13,3526772000
2015-11-16,3545528800
2015-11-17,3662512000
2015-11-18,3664980000
2015-11-19,3679788000
2015-11-20,3821451200
2015-11-23,3803188000
2015-11-24,3825893600
2015-11-25,3903388800
2015-11-27,3921652000
2015-11-30,3886112800
2015-12-01,3937940800
2015-12-02,3883644800
2015-12-03,3908324800
2015-12-04,3986807200
2015-12-07,4030737600
2015-12-08,4072200000
2015-12-09,4048507200
2015-12-10,4026295199
2015-12-11,3878215199
2015-12-14,3910299200
2015-12-15,4021359200
2015-12-16,4032712000
2015-12-17,4050975199
2015-12-18,3894997600
2015-12-21,3908324800
2015-12-22,3958178400
2015-12-23,3941889600
2015-12-24,3935966399
2015-12-28,3917703200
2015-12-29,3954229600
2015-12-30,3911286399
2015-12-31,3908514680
2016-01-04,3735012820
2016-01-05,3734018540
2016-01-06,3694744479
2016-01-07,3593327920
2016-01-08,3504339859
2016-01-11,3489922800
2016-01-12,3503345580
2016-01-13,3489922800
2016-01-14,3618184920
2016-01-15,3433248840
2016-01-19,3372597760
2016-01-20,3418831780
2016-01-21,3488928520
2016-01-22,3585373680
2016-01-25,3603767859
2016-01-26,3529196859
2016-01-27,3513288380
2016-01-28,3554551000
2016-01-29,3723578600
2016-02-01,3771304040
2016-02-02,3738492800
2016-02-03,3564990939
2016-02-04,3423306040
2016-02-05,3028576880
2016-02-08,2971405780
2016-02-09,2917714660
2016-02-10,2886394840
2016-02-11,2885897700
2016-02-12,2833698000
2016-02-16,3004714160
2016-02-17,2987811400
2016-02-18,3264718380
2016-02-19,3302501020
2016-02-22,3190147380
2016-02-23,3227930020
2016-02-24,3268198359
2016-02-25,3341277939
2016-02-26,3345255060
2016-02-29,3399443320
2016-03-01,3486442820
2016-03-02,3466557220
2016-03-03,3528202580
2016-03-04,3548585320
2016-03-07,3516768359
2016-03-08,3461088680
2016-03-09,3436231680
2016-03-10,3389003380
2016-03-11,3458105840
2016-03-14,3558528120
2016-03-15,3496882760
2016-03-16,3518756920
2016-03-17,3538642520
2016-03-18,3509808399
2016-03-21,3513288380
2016-03-22,3502848439
2016-03-23,3516768359
2016-03-24,3505831280
2016-03-28,3586865100
2016-03-29,3666904640
2016-03-30,3646024760
2016-03-31,3749255370
2016-04-01,3865744889
2016-04-04,3795449490
2016-04-05,3722141430
2016-04-06,3731681519
2016-04-07,3652348139
2016-04-08,3700550700
2016-04-11,3686993730
2016-04-12,3727162530
2016-04-13,3823065540
2016-04-14,3824571870
2016-04-15,3876289200
2016-04-18,3889344059
2016-04-19,3870263880
2016-04-20,3877795530
2016-04-21,3912441120
2016-04-22,3920474880
2016-04-25,3886331400
2016-04-26,3921479099
2016-04-27,3784403070
2016-04-28,3693019050
2016-04-29,3661888230
2016-05-02,3685487400
2016-05-03,3596613930
2016-05-04,3558453570
2016-05-05,3578035860
2016-05-06,3574521090
2016-05-09,3521799540
2016-05-10,3582052740
2016-05-11,3615192000
2016-05-12,3566487330
2016-05-13,3591090720
2016-05-16,3660381900
2016-05-17,3566989440
2016-05-18,3618204660
2016-05-19,3557449349
2016-05-20,3645820710
2016-05-23,3620715210
2016-05-24,3750259590
2016-05-25,3746744820
2016-05-26,3743230050
2016-05-27,3802981139
2016-05-31,3841643610
2016-06-01,3813525450
2016-06-02,3812521230
2016-06-03,3792938940
2016-06-06,3825073980
2016-06-07,3779381970
2016-06-08,3740719500
2016-06-09,3683478960
2016-06-10,3592094940
2016-06-13,3568997880
2016-06-14,3573516870
2016-06-15,3519791099
2016-06-16,3491672940
2016-06-17,3435436620
2016-06-20,3603643470
2016-06-21,3566487330
2016-06-22,3565483110
2016-06-23,3634774290
2016-06-24,3305892240
2016-06-27,3103039800
2016-06-28,3341542050
2016-06-29,3308904900
2016-06-30,3288234610
2016-07-01,3247329810
2016-07-05,3182393440
2016-07-06,3241705400
2016-07-07,3226366100
2016-07-08,3372089450
2016-07-11,3370555520
2016-07-12,3461568700
2016-07-13,3486622890
2016-07-14,3491224680
2016-07-15,3508097910
2016-07-18,3501962189
2016-07-19,3495826470
2016-07-20,3572522970
2016-07-21,3568943800
2016-07-22,3595020610
2016-07-25,3613427770
2016-07-26,3602690259
2016-07-27,3575079520
2016-07-28,3598088470
2016-07-29,3591441439
2016-08-01,3660979599
2016-08-02,3588884890
2016-08-03,3587862270
2016-08-04,3404813290
2016-08-05,3407369840
2016-08-08,3374134689
2016-08-09,3410949009
2016-08-10,3398166259
2016-08-11,3428333550
2016-08-12,3497360400
2016-08-15,3460034770
2016-08-16,3392541849
2016-08-17,3401234120
2016-08-18,3378225169
2016-08-19,3355727530
2016-08-22,3372089450
2016-08-23,3463613939
2016-08-24,3431401410
2016-08-25,3446740710
2016-08-26,3468215730
2016-08-29,3444184160
2016-08-30,3445718090
2016-08-31,3487645509
2016-09-01,3532640790
2016-09-02,3617006939
2016-09-06,3594509300
2016-09-07,3592975370
2016-09-08,3583771790
2016-09-09,3481509790
2016-09-12,3493269919
2016-09-13,3434469270
2016-09-14,3426288310
2016-09-15,3492758610
2016-09-16,3470260970
2016-09-19,3497360400
2016-09-20,3488668130
2016-09-21,3528039000
2016-09-22,3564853320
2016-09-23,3572011660
2016-09-26,3425265689
2016-09-27,3450831189
2016-09-28,3455944290
2016-09-29,3484577650
2016-09-30,3515195270
2016-10-03,3449770340
2016-10-04,3424919010
2016-10-05,3432526560
2016-10-06,3414775610
2016-10-07,3339207280
2016-10-10,3386881260
2016-10-11,3274796689
2016-10-12,3276318199
2016-10-13,3263638949
2016-10-14,3286968770
2016-10-17,3277839710
2016-10-18,3297619340
2016-10-19,3275811030
2016-10-20,3270739329
2016-10-21,3212921950
2016-10-24,3392967300
2016-10-25,3351379360
2016-10-26,3365580120
