,PG
2000-07-20,76536558128
2000-07-21,76693395337
2000-07-24,76536558128
2000-07-25,78653860453
2000-07-26,77346883709
2000-07-27,77268465105
2000-07-28,76771813942
2000-07-31,73791906966
2000-08-01,76614976733
2000-08-02,75490976733
2000-08-03,75334139524
2000-08-04,74419255803
2000-08-07,74105581384
2000-08-08,73373674408
2000-08-09,73059999989
2000-08-10,73687348826
2000-08-11,75569395338
2000-08-14,77111627896
2000-08-15,80509767430
2000-08-16,81084837197
2000-08-17,80588186035
2000-08-18,81738325569
2000-08-21,81973581383
2000-08-22,83097581383
2000-08-23,83437395336
2000-08-24,81633767430
2000-08-25,81398511616
2000-08-28,81398511616
2000-08-29,80745023244
2000-08-30,80431348825
2000-08-31,80196093011
2000-09-01,79621023244
2000-09-05,81084837197
2000-09-06,82287255802
2000-09-07,81241674407
2000-09-08,82287255802
2000-09-11,81320093011
2000-09-12,81816744174
2000-09-13,81163255802
2000-09-14,80352930221
2000-09-15,80352930221
2000-09-18,80588186035
2000-09-19,79856279058
2000-09-20,80196093011
2000-09-21,81320093011
2000-09-22,82862325569
2000-09-25,82130418592
2000-09-26,80013116267
2000-09-27,80274511616
2000-09-28,86835534871
2000-09-29,86913953476
2000-10-02,95327160000
2000-10-03,96371300000
2000-10-04,98205599999
2000-10-05,102241059999
2000-10-06,103539180000
2000-10-09,102071740000
2000-10-10,101450900000
2000-10-11,102946559999
2000-10-12,103115880000
2000-10-13,101704880000
2000-10-16,100745400000
2000-10-17,102664360000
2000-10-18,104611540000
2000-10-19,102241059999
2000-10-20,102071740000
2000-10-23,97415440000
2000-10-24,103115880000
2000-10-25,104950180000
2000-10-26,104950180000
2000-10-27,107743960000
2000-10-30,107659300000
2000-10-31,100039900000
2000-11-01,96625280000
2000-11-02,95157840000
2000-11-03,95581140000
2000-11-06,95948000000
2000-11-07,95835120000
2000-11-08,97246120000
2000-11-09,97330780000
2000-11-10,100322099999
2000-11-13,101196920000
2000-11-14,101450900000
2000-11-15,102749019999
2000-11-16,103736720000
2000-11-17,106078980000
2000-11-20,104950180000
2000-11-21,103736720000
2000-11-22,105655680000
2000-11-24,103115880000
2000-11-27,102071740000
2000-11-28,103200540000
2000-11-29,105825000000
2000-11-30,104865519999
2000-12-01,103539180000
2000-12-04,105571019999
2000-12-05,102495040000
2000-12-06,100999380000
2000-12-07,103031220000
2000-12-08,99785920000
2000-12-11,96709940000
2000-12-12,100745400000
2000-12-13,101450900000
2000-12-14,102946559999
2000-12-15,99955240000
2000-12-18,101704880000
2000-12-19,102410380000
2000-12-20,101620220000
2000-12-21,104329340000
2000-12-22,103285200000
2000-12-26,104244680000
2000-12-27,107151340000
2000-12-28,108195480000
2000-12-29,109860460000
2001-01-02,101171328000
2001-01-03,96185472000
2001-01-04,93199152000
2001-01-05,96574992000
2001-01-08,98678400000
2001-01-09,96185472000
2001-01-10,95120784000
2001-01-11,93744480000
2001-01-12,90602352000
2001-01-16,92705760000
2001-01-17,90446544000
2001-01-18,91251552000
2001-01-19,90134928000
2001-01-22,89096208000
2001-01-23,89485728000
2001-01-24,90134928000
2001-01-25,90134928000
2001-01-26,89252016000
2001-01-29,86161824000
2001-01-30,91641072000
2001-01-31,92575920000
2001-02-01,95302560000
2001-02-02,95068848000
2001-02-05,95821920000
2001-02-06,95510304000
2001-02-07,96912576000
2001-02-08,96523056000
2001-02-09,96652896000
2001-02-12,96782736000
2001-02-13,96081600000
2001-02-14,94964976000
2001-02-15,95198687999
2001-02-16,96445152000
2001-02-20,97561776000
2001-02-21,98964048000
2001-02-22,98081136000
2001-02-23,96704832000
2001-02-26,91641072000
2001-02-27,91121712000
2001-02-28,90862032000
2001-03-01,88472976000
2001-03-02,89771376000
2001-03-05,90420576000
2001-03-06,88992336000
2001-03-07,88317168000
2001-03-08,91511232000
2001-03-09,89096208000
2001-03-12,87953616000
2001-03-13,87823776000
2001-03-14,85824240000
2001-03-15,83694863999
2001-03-16,83383248000
2001-03-19,84915360000
2001-03-20,84915360000
2001-03-21,81435648000
2001-03-22,80864352000
2001-03-23,77592384000
2001-03-26,77878032000
2001-03-27,80137248000
2001-03-28,79981440000
2001-03-29,78942720000
2001-03-30,80682576000
2001-04-02,78966361442
2001-04-03,78320578309
2001-04-04,78036433731
2001-04-05,78914698791
2001-04-06,79069686743
2001-04-09,77364819273
2001-04-10,75246650598
2001-04-11,75608289153
2001-04-12,75375807225
2001-04-16,75840771080
2001-04-17,73593445779
2001-04-18,73619277105
2001-04-19,75582457827
2001-04-20,74342554213
2001-04-23,74420048189
2001-04-24,72611855418
2001-04-25,73800096382
2001-04-26,74730024092
2001-04-27,76693204815
2001-04-30,76977349394
2001-05-01,82272771080
2001-05-02,82246939755
2001-05-03,82401927707
2001-05-04,82401927707
2001-05-07,82866891562
2001-05-08,82686072285
2001-05-09,84855903610
2001-05-10,84416771080
2001-05-11,83977638550
2001-05-14,84675084333
2001-05-15,84571759032
2001-05-16,87542361441
2001-05-17,86095807224
2001-05-18,86509108429
2001-05-21,83641831321
2001-05-22,82040289152
2001-05-23,82298602405
2001-05-24,82376096381
2001-05-25,81394506020
2001-05-29,82866891562
2001-05-30,82531084333
2001-05-31,82350265056
2001-06-01,81420337345
2001-06-04,81523662646
2001-06-05,82143614454
2001-06-06,82892722887
2001-06-07,83228530116
2001-06-08,82401927707
2001-06-11,82505253008
2001-06-12,83977638550
2001-06-13,83254361441
2001-06-14,83151036140
2001-06-15,80257927707
2001-06-18,79663807225
2001-06-19,79999614454
2001-06-20,80180433731
2001-06-21,79922120478
2001-06-22,81110361442
2001-06-25,80516240960
2001-06-26,81859469875
2001-06-27,81265349393
2001-06-28,81601156622
2001-06-29,81781975899
2001-07-02,82660240960
2001-07-03,82815228911
2001-07-05,82737734935
2001-07-06,83331855417
2001-07-09,84778409634
2001-07-10,85914987947
2001-07-11,88136481923
2001-07-12,88136481923
2001-07-13,87361542164
2001-07-16,88653108429
2001-07-17,89634698791
2001-07-18,88704771080
2001-07-19,87671518068
2001-07-20,87284048188
2001-07-23,86922409634
2001-07-24,87284048188
2001-07-25,89738024092
2001-07-26,91029590357
2001-07-27,90332144574
2001-07-30,91158746983
2001-07-31,91055421682
2001-08-01,91649542164
2001-08-02,91597879513
2001-08-03,90022168670
2001-08-06,90693783128
2001-08-07,90512963851
2001-08-08,89557204815
2001-08-09,90642120477
2001-08-10,92140337345
2001-08-13,92450313248
2001-08-14,92941108429
2001-08-15,92527807224
2001-08-16,95110939754
2001-08-17,95834216863
2001-08-20,97022457826
2001-08-21,95860048188
2001-08-22,96970795176
2001-08-23,98623999995
2001-08-24,98701493971
2001-08-27,98494843368
2001-08-28,96144192766
2001-08-29,94878457826
2001-08-30,95627566260
2001-08-31,95059277104
2001-09-04,96815807224
2001-09-05,97280771079
2001-09-06,96789975899
2001-09-07,95317590357
2001-09-10,95110939754
2001-09-17,95575903610
2001-09-18,95110939754
2001-09-19,95575903610
2001-09-20,93328578308
2001-09-21,85889156622
2001-09-24,89040578309
2001-09-25,91029590357
2001-09-26,91184578309
2001-09-27,92811951802
2001-09-28,93302746983
2001-10-01,100711790000
2001-10-02,101945110000
2001-10-03,101889050000
2001-10-04,99058020000
2001-10-05,101104210000
2001-10-08,100515580000
2001-10-09,100908000000
2001-10-10,102029200000
2001-10-11,100992090000
2001-10-12,100067100000
2001-10-15,98917870000
2001-10-16,98665600000
2001-10-17,97095920000
2001-10-18,97796670000
2001-10-19,99814830000
2001-10-22,100795880000
2001-10-23,99450439999
2001-10-24,99310290000
2001-10-25,100571640000
2001-10-26,102029200000
2001-10-29,99170140000
2001-10-30,103206460000
2001-10-31,102645860000
2001-11-01,105701130000
2001-11-02,105729160000
2001-11-05,107018540000
2001-11-06,108504130000
2001-11-07,108644280000
2001-11-08,106682180000
2001-11-09,107551110000
2001-11-12,107495050000
2001-11-13,108307920000
2001-11-14,108812460000
2001-11-15,108896550000
2001-11-16,109541240000
2001-11-19,109457149999
2001-11-20,109204880000
2001-11-21,108363979999
2001-11-23,109120790000
2001-11-26,108700340000
2001-11-27,107270810000
2001-11-28,105729160000
2001-11-29,107719290000
2001-11-30,107747320000
2001-12-03,106149610000
2001-12-04,106205670000
2001-12-05,106682180000
2001-12-06,105308710000
2001-12-07,104916290000
2001-12-10,106710210000
2001-12-11,106682180000
2001-12-12,111223040000
2001-12-13,112540450000
2001-12-14,111138950000
2001-12-17,110998800000
2001-12-18,113213170000
2001-12-19,113325290000
2001-12-20,112652570000
2001-12-21,112176060000
2001-12-24,111643490000
2001-12-26,111979850000
2001-12-27,111503340000
2001-12-28,110606380000
2001-12-31,110403678000
2002-01-02,111612580000
2002-01-03,110544248000
2002-01-04,109447802000
2002-01-07,108210786000
2002-01-08,108491926000
2002-01-09,107704734000
2002-01-10,107339252000
2002-01-11,107732848000
2002-01-14,109813284000
2002-01-15,111134642000
2002-01-16,110909730000
2002-01-17,111190869999
2002-01-18,111359554000
2002-01-22,110797273999
2002-01-23,109672714000
2002-01-24,108520040000
2002-01-25,110431792000
2002-01-28,110459906000
2002-01-29,108154558000
2002-01-30,109222890000
2002-01-31,113974156000
2002-02-01,115211171999
2002-02-04,115379856000
2002-02-05,115267400000
2002-02-06,115098716000
2002-02-07,114592664000
2002-02-08,114536436000
2002-02-11,114002269999
2002-02-12,116560644000
2002-02-13,116813669999
2002-02-14,117263494000
2002-02-15,118584852000
2002-02-19,117207266000
2002-02-20,118584852000
2002-02-21,115942136000
2002-02-22,119428271999
2002-02-25,121902304000
2002-02-26,120693402000
2002-02-27,119287702000
2002-02-28,118303712000
2002-03-01,122155330000
2002-03-04,121368138000
2002-03-05,118669194000
2002-03-06,118669194000
2002-03-07,117122923999
2002-03-08,117094810000
2002-03-11,117347836000
2002-03-12,118978448000
2002-03-13,118894106000
2002-03-14,118584852000
2002-03-15,121480594000
2002-03-18,122295900000
2002-03-19,125500896000
2002-03-20,125022958000
2002-03-21,126119404000
2002-03-22,125697694000
2002-03-25,125219756000
2002-03-26,124798046000
2002-03-27,125613352000
2002-03-28,125697694000
2002-04-01,116278400016
2002-04-02,117059490925
2002-04-03,115341090925
2002-04-04,116278400016
2002-04-05,116044072743
2002-04-08,116616872743
2002-04-09,116460654561
2002-04-10,119324654562
2002-04-11,117996800016
2002-04-12,118777890925
2002-04-15,117007418198
2002-04-16,117840581834
2002-04-17,116434618198
2002-04-18,114247563652
2002-04-19,114820363652
2002-04-22,114846400016
2002-04-23,114872436379
2002-04-24,115549381834
2002-04-25,115549381834
2002-04-26,116044072743
2002-04-29,116304436379
2002-04-30,116616872743
2002-05-01,118621672743
2002-05-02,120470254562
2002-05-03,118803927289
2002-05-06,119142400016
2002-05-07,118439418198
2002-05-08,118621672743
2002-05-09,118960145471
2002-05-10,119402763653
2002-05-13,120444218198
2002-05-14,120235927289
2002-05-15,119064290925
2002-05-16,120131781834
2002-05-17,120964945471
2002-05-20,119402763653
2002-05-21,117710400016
2002-05-22,118751854562
2002-05-23,118074909107
2002-05-24,116616872743
2002-05-28,113726836379
2002-05-29,112451054561
2002-05-30,114664145470
2002-05-31,115705600016
2002-06-03,115757672743
2002-06-04,116590836379
2002-06-05,117866618198
2002-06-06,116590836379
2002-06-07,116304436379
2002-06-10,116122181834
2002-06-11,115861818198
2002-06-12,121069090926
2002-06-13,119090327289
2002-06-14,119194472743
2002-06-17,122240727289
2002-06-18,122240727289
2002-06-19,122891636380
2002-06-20,122188654562
2002-06-21,122188654562
2002-06-24,121589818198
2002-06-25,115861818198
2002-06-26,118569600016
2002-06-27,120079709107
2002-06-28,116252363652
2002-07-01,117052000000
2002-07-02,116064000000
2002-07-03,114868000000
2002-07-05,116844000000
2002-07-08,117468000000
2002-07-09,114270000000
2002-07-10,114347999999
2002-07-11,111747999999
2002-07-12,108732000000
2002-07-15,106990000000
2002-07-16,105638000000
2002-07-17,104104000000
2002-07-18,104520000000
2002-07-19,96797999999
2002-07-22,101192000000
2002-07-23,102986000000
2002-07-24,106938000000
2002-07-25,110526000000
2002-07-26,109460000000
2002-07-29,113386000000
2002-07-30,113464000000
2002-07-31,115700000000
2002-08-01,114244000000
2002-08-02,116792000000
2002-08-05,113672000000
2002-08-06,114036000000
2002-08-07,115596000000
2002-08-08,118118000000
2002-08-09,118482000000
2002-08-12,118118000000
2002-08-13,117078000000
2002-08-14,120770000000
2002-08-15,118715999999
2002-08-16,118300000000
2002-08-19,118638000000
2002-08-20,117286000000
2002-08-21,118170000000
2002-08-22,117988000000
2002-08-23,117338000000
2002-08-26,117520000000
2002-08-27,117546000000
2002-08-28,116662000000
2002-08-29,114244000000
2002-08-30,115232000000
2002-09-03,112502000000
2002-09-04,115128000000
2002-09-05,116818000000
2002-09-06,116947999999
2002-09-09,118118000000
2002-09-10,118950000000
2002-09-11,119444000000
2002-09-12,118560000000
2002-09-13,119600000000
2002-09-16,120900000000
2002-09-17,119678000000
2002-09-18,119730000000
2002-09-19,118456000000
2002-09-20,118430000000
2002-09-23,117962000000
2002-09-24,114452000000
2002-09-25,115830000000
2002-09-26,117988000000
2002-09-27,114582000000
2002-09-30,115925860000
2002-10-01,118260460000
2002-10-02,117456320000
2002-10-03,116496539999
2002-10-04,114810440000
2002-10-07,115329240000
2002-10-08,115822100000
2002-10-09,114395400000
2002-10-10,115433000000
2002-10-11,117041280000
2002-10-14,118390160000
2002-10-15,117274740000
2002-10-16,117378500000
2002-10-17,117170980000
2002-10-18,119012720000
2002-10-21,119583400000
2002-10-22,117170980000
2002-10-23,118027000000
2002-10-24,115173600000
2002-10-25,115043900000
2002-10-28,111230720000
2002-10-29,115433000000
2002-10-30,115355180000
2002-10-31,114732619999
2002-11-01,114136000000
2002-11-04,112190500000
2002-11-05,115095780000
2002-11-06,113954420000
2002-11-07,114136000000
2002-11-08,113746900000
2002-11-11,111879220000
2002-11-12,110789740000
2002-11-13,111282600000
2002-11-14,112164560000
2002-11-15,113202160000
2002-11-18,111723580000
2002-11-19,112968700000
2002-11-20,114136000000
2002-11-21,112501780000
2002-11-22,112294260000
2002-11-25,111075080000
2002-11-26,109492740000
2002-11-27,110296880000
2002-11-29,109648380000
2002-12-02,107391600000
2002-12-03,109596500000
2002-12-04,111619820000
2002-12-05,110556280000
2002-12-06,111490119999
2002-12-09,112034860000
2002-12-10,113669080000
2002-12-11,113435619999
2002-12-12,113746900000
2002-12-13,113383740000
2002-12-16,114213820000
2002-12-17,113357800000
2002-12-18,113331860000
2002-12-19,111152900000
2002-12-20,113720960000
2002-12-23,113746900000
2002-12-24,113539380000
2002-12-26,113383740000
2002-12-27,112268320000
2002-12-30,111671700000
2002-12-31,119955052000
2003-01-02,122579155999
2003-01-03,121239188000
2003-01-06,122607072000
2003-01-07,120736700000
2003-01-08,118922160000
2003-01-09,119731724000
2003-01-10,120234212000
2003-01-13,120317960000
2003-01-14,120541288000
2003-01-15,119899220000
2003-01-16,121267104000
2003-01-17,121490432000
2003-01-21,120038800000
2003-01-22,118838412000
2003-01-23,119229236000
2003-01-24,117554276000
2003-01-27,115935148000
2003-01-28,118643000000
2003-01-29,118754664000
2003-01-30,117945100000
2003-01-31,119452564000
2003-02-03,119647976000
2003-02-04,119927136000
2003-02-05,119061740000
2003-02-06,118447588000
2003-02-07,117219284000
2003-02-10,118475504000
2003-02-11,116130560000
2003-02-12,116298055999
2003-02-13,115432660000
2003-02-14,116828460000
2003-02-18,118112596000
2003-02-19,117247200000
2003-02-20,116493467999
2003-02-21,117582192000
2003-02-24,115711820000
2003-02-25,115963064000
2003-02-26,115237248000
2003-02-27,115293079999
2003-02-28,114260188000
2003-03-03,112808555999
2003-03-04,111524420000
2003-03-05,113059800000
2003-03-06,111859412000
2003-03-07,113003967999
2003-03-10,111356924000
2003-03-11,112641060000
2003-03-12,114399767999
2003-03-13,116521384000
2003-03-14,116409720000
2003-03-17,119340900000
2003-03-18,120904196000
2003-03-19,122718736000
2003-03-20,122830400000
2003-03-21,124086620000
2003-03-24,122216248000
2003-03-25,122858316000
2003-03-26,123304972000
2003-03-27,123919124000
2003-03-28,123723712000
2003-03-31,115711037611
2003-04-01,116308691747
2003-04-02,117088240619
2003-04-03,116204751897
2003-04-04,117114225581
2003-04-07,116178766935
2003-04-08,116802406032
2003-04-09,115996872198
2003-04-10,115347248137
2003-04-11,115892932348
2003-04-14,116880360920
2003-04-15,116776421070
2003-04-16,115763007536
2003-04-17,115970887235
2003-04-21,116178766935
2003-04-22,118413473702
2003-04-23,117659909792
2003-04-24,116776421070
2003-04-25,115814977461
2003-04-28,117841804529
2003-04-29,118049684228
2003-04-30,116750436108
2003-05-01,116776421070
2003-05-02,117114225581
2003-05-05,117114225581
2003-05-06,116542556408
2003-05-07,116750436108
2003-05-08,115788992498
2003-05-09,116282706784
2003-05-12,115477172950
2003-05-13,114099969942
2003-05-14,115113383476
2003-05-15,116802406032
2003-05-16,117348090243
2003-05-19,116984300769
2003-05-20,116100812047
2003-05-21,116178766935
2003-05-22,116386646634
2003-05-23,116672481220
2003-05-27,118387488739
2003-05-28,119244992499
2003-05-29,118413473702
2003-05-30,119296962424
2003-06-02,118647338364
2003-06-03,119608781973
2003-06-04,120024541371
2003-06-05,118725293251
2003-06-06,117971729341
2003-06-09,117685894754
2003-06-10,117711879717
2003-06-11,117581954905
2003-06-12,117997714303
2003-06-13,118465443627
2003-06-16,120050526334
2003-06-17,119400902273
2003-06-18,118933172950
2003-06-19,117478015055
2003-06-20,118543398514
2003-06-23,118881203025
2003-06-24,120024541371
2003-06-25,117841804529
2003-06-26,117296120318
2003-06-27,115866947386
2003-06-30,115635247000
2003-07-01,116646633999
2003-07-02,116854098000
2003-07-03,116646633999
2003-07-07,117709887000
2003-07-08,116828165000
2003-07-09,114753525000
2003-07-10,114571994000
2003-07-11,114831324000
2003-07-14,114546061000
2003-07-15,115090654000
2003-07-16,114857257000
2003-07-17,114286731000
2003-07-18,116439170000
2003-07-21,115609314000
2003-07-22,116050175000
2003-07-23,115272185000
2003-07-24,114416396000
2003-07-25,116127974000
2003-07-28,114520127999
2003-07-29,112938215000
2003-07-30,113794004000
2003-07-31,113949602000
2003-08-01,112419555000
2003-08-04,113897736000
2003-08-05,113508741000
2003-08-06,115142520000
2003-08-07,114364530000
2003-08-08,115505582000
2003-08-11,115557448000
2003-08-12,115946443000
2003-08-13,115557448000
2003-08-14,115375917000
2003-08-15,115557448000
2003-08-18,114623860000
2003-08-19,113845870000
2003-08-20,113301277000
2003-08-21,112419555000
2003-08-22,112445488000
2003-08-25,113041947000
2003-08-26,113690272000
2003-08-27,113145679000
2003-08-28,113327210000
2003-08-29,113171612000
2003-09-02,114208932000
2003-09-03,115142520000
2003-09-04,118539743000
2003-09-05,117969217000
2003-09-08,118799073000
2003-09-09,118176681000
2003-09-10,117943283999
2003-09-11,118721274000
2003-09-12,119188068000
2003-09-15,118954671000
2003-09-16,120069790000
2003-09-17,119940125000
2003-09-18,120925579000
2003-09-19,120173522000
2003-09-22,119551130000
2003-09-23,119706727999
2003-09-24,119784527000
2003-09-25,119499264000
2003-09-26,118928738000
2003-09-29,120458785000
2003-09-30,120252950999
2003-10-01,121755789000
2003-10-02,122403564000
2003-10-03,122947695000
2003-10-06,121781700000
2003-10-07,123206805000
2003-10-08,123051339000
2003-10-09,123077250000
2003-10-10,123854580000
2003-10-13,123725025000
2003-10-14,124372800000
2003-10-15,123906402000
2003-10-16,124735554000
2003-10-17,124631910000
2003-10-20,124346889000
2003-10-21,124010046000
2003-10-22,123414093000
2003-10-23,123258627000
2003-10-24,124450533000
2003-10-27,125409240000
2003-10-28,126316125000
2003-10-29,126005193000
2003-10-30,126860256000
2003-10-31,127326654000
2003-11-03,126316125000
2003-11-04,126134748000
2003-11-05,126082925999
2003-11-06,126393858000
2003-11-07,125435150999
2003-11-10,124372800000
2003-11-11,124269156000
2003-11-12,125668350000
2003-11-13,124839198000
2003-11-14,124010046000
2003-11-17,124424622000
2003-11-18,123932313000
2003-11-19,124476444000
2003-11-20,123621381000
2003-11-21,124061868000
2003-11-24,125176041000
2003-11-25,125512884000
2003-11-26,124217334000
2003-11-28,124683732000
2003-12-01,125720172000
2003-12-02,125564706000
2003-12-03,125435150999
2003-12-04,125383329000
2003-12-05,125020575000
2003-12-08,125486973000
2003-12-09,125124219000
2003-12-10,125512884000
2003-12-11,124372800000
2003-12-12,125435150999
2003-12-15,126730700999
2003-12-16,127793052000
2003-12-17,127456209000
2003-12-18,128674025999
2003-12-19,126342036000
2003-12-22,127145277000
2003-12-23,127585764000
2003-12-24,127404387000
2003-12-26,127274832000
2003-12-29,128518560000
2003-12-30,129140424000
2003-12-31,128765296000
2004-01-02,127630800000
2004-01-05,128249616000
2004-01-06,127605016000
2004-01-07,126470520000
2004-01-08,127811288000
2004-01-09,128455888000
2004-01-12,129255192000
2004-01-13,128533240000
2004-01-14,128971568000
2004-01-15,128275400000
2004-01-16,127630800000
2004-01-20,127218256000
2004-01-21,127811288000
2004-01-22,127940208000
2004-01-23,126805712000
2004-01-26,128713728000
2004-01-27,127862856000
2004-01-28,127140904000
2004-01-29,130209200000
2004-01-30,130312336000
2004-02-02,131085856000
2004-02-03,131524184000
2004-02-04,133045440000
2004-02-05,132400840000
2004-02-06,131962512000
2004-02-09,132220352000
2004-02-10,131962512000
2004-02-11,133045440000
2004-02-12,132014080000
2004-02-13,131575752000
2004-02-17,132942304000
2004-02-18,132736031999
2004-02-19,132039864000
2004-02-20,132143000000
2004-02-23,133535336000
2004-02-24,131214776000
2004-02-25,132400840000
2004-02-26,132890736000
2004-02-27,132143000000
2004-03-01,133896312000
2004-03-02,131653104000
2004-03-03,132091431999
2004-03-04,131627320000
2004-03-05,131188992000
2004-03-08,132117216000
2004-03-09,132143000000
2004-03-10,136062168000
2004-03-11,134025231999
2004-03-12,134231504000
2004-03-15,132168784000
2004-03-16,132864952000
2004-03-17,134360424000
2004-03-18,134618264000
2004-03-19,134128368000
2004-03-22,134051016000
2004-03-23,133251712000
2004-03-24,132813384000
2004-03-25,134772968000
2004-03-26,134025231999
2004-03-29,135211296000
2004-03-30,136629416000
2004-03-31,133234308000
2004-04-01,134631693000
2004-04-02,134809542000
2004-04-05,135114426000
2004-04-06,135927450000
2004-04-07,135241460999
2004-04-08,135165240000
2004-04-12,136079892000
2004-04-13,134555472000
2004-04-14,134428436999
2004-04-15,134809542000
2004-04-16,134631693000
2004-04-19,134682507000
2004-04-20,132904017000
2004-04-21,131532039000
2004-04-22,132929424000
2004-04-23,133386750000
2004-04-26,133691634000
2004-04-27,134199774000
2004-04-28,132345063000
2004-04-29,134631693000
2004-04-30,134352216000
2004-05-03,135647973000
2004-05-04,135038205000
2004-05-05,135698786999
2004-05-06,136918323000
2004-05-07,135571752000
2004-05-10,134250588000
2004-05-11,134758728000
2004-05-12,134834949000
2004-05-13,133793261999
2004-05-14,135190647000
2004-05-17,135012798000
2004-05-18,134733321000
2004-05-19,133996518000
2004-05-20,135546345000
2004-05-21,135825822000
2004-05-24,134885763000
2004-05-25,136892916000
2004-05-26,136689660000
2004-05-27,137934603000
2004-05-28,136969136999
2004-06-01,137960010000
2004-06-02,138239487000
2004-06-03,137146985999
2004-06-04,137045358000
2004-06-07,139103325000
2004-06-08,140094198000
2004-06-09,140703966000
2004-06-10,140399082000
2004-06-14,140424489000
2004-06-15,141059664000
2004-06-16,141237513000
2004-06-17,140221233000
2004-06-18,139992570000
2004-06-21,141008850000
2004-06-22,141974316000
2004-06-23,142177572000
2004-06-24,140475303000
2004-06-25,139103325000
2004-06-28,138722220000
2004-06-29,139357395000
2004-06-30,138315708000
2004-07-01,137832975000
2004-07-02,138036231000
2004-07-06,137578905000
2004-07-07,138264894000
2004-07-08,138595185000
2004-07-09,139027104000
2004-07-12,139433616000
2004-07-13,139484430000
2004-07-14,139941756000
2004-07-15,139763907000
2004-07-16,139992570000
2004-07-19,138925476000
2004-07-20,138468150000
2004-07-21,135266868000
2004-07-22,135622566000
2004-07-23,133361343000
2004-07-26,134961984000
2004-07-27,136918323000
2004-07-28,135775008000
2004-07-29,134453844000
2004-07-30,132497505000
2004-08-02,135520938000
2004-08-03,136333961999
2004-08-04,137350242000
2004-08-05,135038205000
2004-08-06,134631693000
2004-08-09,134885763000
2004-08-10,137705940000
2004-08-11,138900069000
2004-08-12,137934603000
2004-08-13,138366522000
2004-08-16,139662279000
2004-08-17,139331988000
2004-08-18,140246640000
2004-08-19,138417336000
2004-08-20,139357395000
2004-08-23,139103325000
2004-08-24,139611465000
