,APTV
2013-05-29,11746696425
2013-05-30,11682688190
2013-05-31,11571266448
2013-06-03,11592602526
2013-06-04,11559413071
2013-06-05,11407689848
2013-06-06,11708765619
2013-06-07,11948203831
2013-06-10,12009841390
2013-06-11,11829670063
2013-06-12,11853376816
2013-06-13,12104668405
2013-06-14,12142599211
2013-06-17,12140228535
2013-06-18,12310917162
2013-06-19,12348847967
2013-06-20,11912643701
2013-06-21,11779885880
2013-06-24,11419543225
2013-06-25,11618679955
2013-06-26,11995617338
2013-06-27,12090444353
2013-06-28,12016953417
2013-07-01,12229177312
2013-07-02,12222116586
2013-07-03,12149155751
2013-07-05,12337441776
2013-07-08,12622224388
2013-07-09,12657528018
2013-07-10,12657528018
2013-07-11,12890531974
2013-07-12,12928189179
2013-07-15,12944664206
2013-07-16,12709306675
2013-07-17,12812863989
2013-07-18,12965846384
2013-07-19,12932896329
2013-07-22,12968199959
2013-07-23,12857581920
2013-07-24,13059989396
2013-07-25,13069403697
2013-07-26,13114121628
2013-07-29,12991735712
2013-07-30,13019978616
2013-07-31,12643406566
2013-08-01,13045867944
2013-08-02,13144718107
2013-08-05,13158839559
2013-08-06,13092939451
2013-08-07,12923482028
2013-08-08,13074110848
2013-08-09,13076464423
2013-08-12,13104707327
2013-08-13,13368307762
2013-08-14,13114121628
2013-08-15,12795416602
2013-08-16,12974835728
2013-08-19,12915816279
2013-08-20,12920537835
2013-08-21,12849714496
2013-08-22,12918177057
2013-08-23,13116482406
2013-08-26,13135368630
2013-08-27,12731675597
2013-08-28,13057462957
2013-08-29,13104678516
2013-08-30,12989000396
2013-09-03,13215635081
2013-09-04,13380889539
2013-09-05,13567390999
2013-09-06,13338395536
2013-09-09,13347838647
2013-09-10,13550865553
2013-09-11,13609885002
2013-09-12,13352560203
2013-09-13,13432826654
2013-09-16,13461155990
2013-09-17,13475320658
2013-09-18,13541422441
2013-09-19,13718480789
2013-09-20,13692512231
2013-09-23,13529618551
2013-09-24,13687790675
2013-09-25,13614606558
2013-09-26,13779861016
2013-09-27,13796386462
2013-09-30,13645106154
2013-10-01,13740869481
2013-10-02,13596056646
2013-10-03,13439565356
2013-10-04,13549342828
2013-10-07,13493286247
2013-10-08,13051840669
2013-10-09,13058847742
2013-10-10,13481607792
2013-10-11,13385844466
2013-10-14,13402194302
2013-10-15,13290081140
2013-10-16,13794590371
2013-10-17,14023488078
2013-10-18,14014145314
2013-10-21,13895025079
2013-10-22,13876339552
2013-10-23,13523650228
2013-10-24,13603063718
2013-10-25,13554014210
2013-10-28,13318109430
2013-10-29,13217674722
2013-10-30,13213003340
2013-10-31,13360151866
2013-11-01,13432558284
2013-11-04,13547007137
2013-11-05,12848635562
2013-11-06,13047169287
2013-11-07,12617402164
2013-11-08,12944398889
2013-11-11,12799586054
2013-11-12,12886006616
2013-11-13,13089211723
2013-11-14,13342233894
2013-11-15,13606970054
2013-11-18,13510915341
2013-11-19,13164181255
2013-11-20,13330519904
2013-11-21,13555428500
2013-11-22,13560114096
2013-11-25,13508572543
2013-11-26,13517943734
2013-11-27,13595256064
2013-11-29,13717081554
2013-12-02,13539028915
2013-12-03,13405489436
2013-12-04,13464059383
2013-12-05,13466402181
2013-12-06,13691310777
2013-12-09,13644454820
2013-12-10,13850621033
2013-12-11,13506229745
2013-12-12,13557771298
2013-12-13,13728795543
2013-12-16,13970103724
2013-12-17,14012274086
2013-12-18,14087243618
2013-12-19,13815479064
2013-12-20,13670225596
2013-12-23,13925590565
2013-12-24,14054444448
2013-12-26,14068501235
2013-12-27,14016959682
2013-12-30,14019302480
2013-12-31,14062454479
2014-01-02,13896408533
2014-01-03,13861328404
2014-01-06,13863667079
2014-01-07,14111566660
2014-01-08,14209791021
2014-01-09,14177049567
2014-01-10,14375836967
2014-01-13,14078825206
2014-01-14,14495109406
2014-01-15,14595672443
2014-01-16,14551237613
2014-01-17,14663494026
2014-01-21,14733654285
2014-01-22,14792121167
2014-01-23,14569947015
2014-01-24,14013342298
2014-01-27,13936166013
2014-01-28,14041406401
2014-01-29,13992294220
2014-01-30,14261241878
2014-01-31,14240193800
2014-02-03,13828586950
2014-02-04,14034390375
2014-02-05,14258903202
2014-02-06,14394546369
2014-02-07,14595672443
2014-02-10,14635429923
2014-02-11,14726638259
2014-02-12,14988569891
2014-02-13,15065746175
2014-02-14,15054007242
2014-02-18,15255916884
2014-02-19,15295829255
2014-02-20,15427305301
2014-02-21,15474261032
2014-02-24,15615128224
2014-02-25,15598693718
2014-02-26,15687909606
2014-02-27,15638606089
2014-02-28,15629214943
2014-03-03,15558781347
2014-03-04,15687909606
2014-03-05,15450783166
2014-03-06,15720778618
2014-03-07,15643301662
2014-03-10,15697300752
2014-03-11,15910949327
2014-03-12,15770082135
2014-03-13,15439044234
2014-03-14,15253569098
2014-03-17,15617476010
2014-03-18,15849906877
2014-03-19,15765386562
2014-03-20,15849906877
2014-03-21,15645649449
2014-03-24,15554085774
2014-03-25,15361567278
2014-03-26,15349828345
2014-03-27,15417914155
2014-03-28,15669127314
2014-03-31,15766950448
2014-04-01,16147996701
2014-04-02,16289727319
2014-04-03,16201436114
2014-04-04,15755333184
2014-04-07,15316200612
2014-04-08,15360346214
2014-04-09,15866858917
2014-04-10,15481165758
2014-04-11,15079208430
2014-04-14,15246497029
2014-04-15,15255790840
2014-04-16,15311553706
2014-04-17,15613602565
2014-04-21,15762303542
2014-04-22,15992325366
2014-04-23,15973737744
2014-04-24,15878476180
2014-04-25,15446313966
2014-04-28,15292966084
2014-04-29,15388227647
2014-04-30,15529958266
2014-05-01,15590368038
2014-05-02,15771597353
2014-05-05,15783214617
2014-05-06,15629866735
2014-05-07,15687953054
2014-05-08,15485812663
2014-05-09,15529958266
2014-05-12,15715834487
2014-05-13,15732158992
2014-05-14,15617887455
2014-05-15,15382348164
2014-05-16,15396340597
2014-05-19,15559585650
2014-05-20,15596898805
2014-05-21,15748483498
2014-05-22,15827773952
2014-05-23,16324505328
2014-05-27,16417788216
2014-05-28,16191577214
2014-05-29,16140271625
2014-05-30,16105290543
2014-06-02,16053984954
2014-06-03,16252211091
2014-06-04,16329169473
2014-06-05,16443441010
2014-06-06,16497078671
2014-06-09,16380475061
2014-06-10,16312844968
2014-06-11,16147267842
2014-06-12,15706506198
2014-06-13,15855758818
2014-06-16,15790460797
2014-06-17,15767140075
2014-06-18,15846430530
2014-06-19,15713502415
2014-06-20,15713502415
2014-06-23,15587570516
2014-06-24,15753147642
2014-06-25,15858090890
2014-06-26,15895404046
2014-06-27,15974694500
2014-06-30,15814047949
2014-07-01,16002693851
2014-07-02,16074011204
2014-07-03,16154530797
2014-07-07,16011896090
2014-07-08,15963584335
2014-07-09,16046404487
2014-07-10,15981988813
2014-07-11,16002693851
2014-07-14,16046404487
2014-07-15,16000393291
2014-07-16,15889966422
2014-07-17,15673713802
2014-07-18,15784140672
2014-07-21,15717424438
2014-07-22,15862359704
2014-07-23,15816348509
2014-07-24,15786441232
2014-07-25,15825550748
2014-07-28,15864660264
2014-07-29,15632303726
2014-07-30,15547183014
2014-07-31,15367739351
2014-08-01,15386143829
2014-08-04,15602396449
2014-08-05,15745031155
2014-08-06,15646107085
2014-08-07,15485067900
2014-08-08,15751932835
2014-08-11,15705921639
2014-08-12,15657432319
2014-08-13,15745174898
2014-08-14,15934514148
2014-08-15,15851389599
2014-08-18,16008402635
2014-08-19,16114617336
2014-08-20,16299338555
2014-08-21,16313192646
2014-08-22,16308574616
2014-08-25,16333973784
2014-08-26,16165415671
2014-08-27,16047655894
2014-08-28,16008402635
2014-08-29,16066128016
2014-09-02,16234686128
2014-09-03,16165415671
2014-09-04,16220832037
2014-09-05,16273939387
2014-09-08,16488677804
2014-09-09,16449424545
2014-09-10,16361681966
2014-09-11,16271630372
2014-09-12,16202359915
2014-09-15,15950677254
2014-09-16,15525818451
2014-09-17,15371114430
2014-09-18,15214101394
2014-09-19,15110195708
2014-09-22,15010908053
2014-09-23,14849276986
2014-09-24,14907002367
2014-09-25,14835422895
2014-09-26,14807714712
2014-09-29,14500615686
2014-09-30,13832852308
2014-10-01,13796770528
2014-10-02,14098955433
2014-10-03,14263578553
2014-10-06,14313191000
2014-10-07,14141802547
2014-10-08,14229751885
2014-10-09,13927566979
2014-10-10,13609596295
2014-10-13,13147298493
2014-10-14,13862168754
2014-10-15,13886974977
2014-10-16,14058363431
2014-10-17,14227496774
2014-10-20,14322211445
2014-10-21,14646947463
2014-10-22,14527426568
2014-10-23,14816080806
2014-10-24,15059632819
2014-10-27,15082183931
2014-10-28,15528695955
2014-10-29,15271613275
2014-10-30,15276123497
2014-10-31,15555757290
2014-11-03,15580563514
2014-11-04,15433981284
2014-11-05,15772247969
2014-11-06,15882748419
2014-11-07,15749696856
2014-11-10,15813066811
2014-11-11,15896805679
2014-11-12,15944333145
2014-11-13,16003176674
2014-11-14,15996387036
2014-11-17,16034861651
2014-11-18,16236287577
2014-11-19,16091441967
2014-11-20,16100494818
2014-11-21,16265709341
2014-11-24,16478451331
2014-11-25,16267972554
2014-11-26,16245340428
2014-11-28,16510136308
2014-12-01,16498820245
2014-12-02,16568979837
2014-12-03,16779458614
2014-12-04,16609717665
2014-12-05,16609717665
2014-12-08,16462608842
2014-12-09,16485240969
2014-12-10,16046177714
2014-12-11,16105021243
2014-12-12,15790434684
2014-12-15,15865120702
2014-12-16,15724801517
2014-12-17,16068809841
2014-12-18,16415081377
2014-12-19,16636876217
2014-12-22,16682140470
2014-12-23,16718351872
2014-12-24,16623296941
2014-12-26,16661771556
2014-12-29,16700246171
2014-12-30,16593875176
2014-12-31,16417481123
2015-01-02,16388131940
2015-01-05,15672463415
2015-01-06,15573127721
2015-01-07,15697297339
2015-01-08,16083351969
2015-01-09,15839527992
2015-01-12,15552809056
2015-01-13,15272863008
2015-01-14,15157723908
2015-01-15,15157723908
2015-01-16,15033554290
2015-01-20,15232225679
2015-01-21,15494110691
2015-01-22,15634083715
2015-01-23,15728904150
2015-01-26,15706327856
2015-01-27,15758253333
2015-01-28,15390259738
2015-01-29,15616022679
2015-01-30,15516686985
2015-02-02,15986273904
2015-02-03,16421996382
2015-02-04,16424254011
2015-02-05,17130892019
2015-02-06,17419868584
2015-02-09,17431156731
2015-02-10,17742709591
2015-02-11,17589190790
2015-02-12,17623055232
2015-02-13,17823984250
2015-02-17,17778688229
2015-02-18,17765099422
2015-02-19,17984785124
2015-02-20,17953077909
2015-02-23,17937224302
2015-02-24,17855691464
2015-02-25,18084436370
2015-02-26,17905517087
2015-02-27,17855691464
2015-03-02,18150115601
2015-03-03,18122937988
2015-03-04,18295062868
2015-03-05,18147850800
2015-03-06,17912311491
2015-03-09,17887398679
2015-03-10,17583915339
2015-03-11,17411790459
2015-03-12,17651859370
2015-03-13,17393672051
2015-03-16,17728862606
2015-03-17,17713008998
2015-03-18,17930429899
2015-03-19,17932694700
2015-03-20,18109349182
2015-03-23,18082171569
2015-03-24,17941753904
2015-03-25,17543148920
2015-03-26,17414055260
2015-03-27,17549943323
2015-03-30,17939489103
2015-03-31,17749507035
2015-04-01,17551399921
2015-04-02,18070039894
2015-04-06,18653231622
2015-04-07,18448446740
2015-04-08,18521902187
2015-04-09,18748946295
2015-04-10,18855790581
2015-04-13,18691072307
2015-04-14,18724461146
2015-04-15,18642102009
2015-04-16,18702201920
2015-04-17,18535257723
2015-04-20,18548613259
2015-04-21,18481835580
2015-04-22,18448446740
2015-04-23,18517450342
2015-04-24,18588679866
2015-04-27,18412831978
2015-04-28,18403928288
2015-04-29,18236984091
2015-04-30,18475157812
2015-05-01,18773431444
2015-05-04,19151838291
2015-05-05,18726687069
2015-05-06,18809046206
2015-05-07,18664361235
2015-05-08,18993797784
2015-05-11,18940375641
2015-05-12,19114509222
2015-05-13,19056464695
2015-05-14,19322130030
2015-05-15,19478403756
2015-05-18,19467241347
2015-05-19,19465008866
2015-05-20,19389104484
2015-05-21,19487333684
2015-05-22,19427056675
2015-05-26,19239528203
2015-05-27,19460543902
2015-05-28,19556540620
2015-05-29,19418126748
2015-06-01,19384639521
2015-06-02,19534215802
2015-06-03,19723976755
2015-06-04,19431521639
2015-06-05,19494031129
2015-06-08,19386872002
2015-06-09,19326594994
2015-06-10,19712814346
2015-06-11,19592260329
2015-06-12,19549843174
2015-06-15,19491798647
2015-06-16,19572167992
2015-06-17,19833368364
2015-06-18,19880250482
2015-06-19,19904807781
2015-06-22,19831135882
2015-06-23,19766393909
2015-06-24,19627980037
2015-06-25,19811043546
2015-06-26,19782021282
2015-06-29,18871168705
2015-06-30,18801093897
2015-07-01,19002163299
2015-07-02,18999953745
2015-07-06,18739226388
2015-07-07,18569090740
2015-07-08,17285339941
2015-07-09,17221262878
2015-07-10,17499666666
2015-07-13,17674221422
2015-07-14,17725041161
2015-07-15,17835518855
2015-07-16,16969373737
2015-07-17,17221262878
2015-07-20,17249987079
2015-07-21,17318483249
2015-07-22,17124042508
2015-07-23,17194748232
2015-07-24,17093108754
2015-07-27,16653407533
2015-07-28,17090899200
2015-07-29,17322902356
2015-07-30,17124042508
2015-07-31,17252196633
2015-08-03,17048917676
2015-08-04,17194748232
2015-08-05,17121832954
2015-08-06,17095318308
2015-08-07,17497457112
2015-08-10,17987978072
2015-08-11,17223333859
2015-08-12,16917476173
2015-08-13,17072621376
2015-08-14,16893096213
2015-08-17,17225550219
2015-08-18,17254362899
2015-08-19,17065972296
2015-08-20,16536262247
2015-08-21,15973306797
2015-08-24,15629770991
2015-08-25,15565496550
2015-08-26,16283597202
2015-08-27,16629349368
2015-08-28,16700272890
2015-08-31,16737951010
2015-09-01,15964441357
2015-09-02,16130668360
2015-09-03,16237053642
2015-09-04,15960008637
2015-09-08,16744600090
2015-09-09,16771196411
2015-09-10,16675892929
2015-09-11,16932990694
2015-09-14,16917476173
2015-09-15,17108083137
2015-09-16,17651091346
2015-09-17,17555787864
2015-09-18,17210035698
2015-09-21,17116948577
2015-09-22,16498584126
2015-09-23,16423227885
2015-09-24,16152831960
2015-09-25,16237053642
2015-09-28,15596525590
2015-09-29,16166130120
2015-09-30,16569613275
2015-10-01,16874682431
2015-10-02,16992351962
2015-10-05,17133991213
2015-10-06,17009784485
2015-10-07,17375867472
2015-10-08,17628639058
2015-10-09,17844366532
2015-10-12,17820396813
2015-10-13,17397658126
2015-10-14,17467388219
2015-10-15,17611206535
2015-10-16,17672220366
2015-10-19,17774636440
2015-10-20,17927171017
2015-10-21,17848724663
2015-10-22,18423997928
2015-10-23,18535130263
2015-10-26,18528593067
2015-10-27,18365163162
2015-10-28,18774827457
2015-10-29,17441239434
2015-10-30,18127645034
2015-11-02,18395670078
2015-11-03,18177763538
2015-11-04,18047019614
2015-11-05,18147256623
2015-11-06,18151614753
2015-11-09,17990363914
2015-11-10,18147733152
2015-11-11,18340073333
2015-11-12,18071234217
2015-11-13,17551041457
2015-11-16,17741195953
2015-11-17,17634097444
2015-11-18,17937907501
2015-11-19,18346630384
2015-11-20,18842780622
2015-11-23,18871194513
2015-11-24,19002335545
2015-11-25,19172818886
2015-11-27,19144404996
2015-11-30,19207789828
2015-12-01,19371716118
2015-12-02,18936765029
2015-12-03,18768467371
2015-12-04,19201232777
2015-12-07,18912722506
2015-12-08,18687597068
2015-12-09,18447171842
2015-12-10,18451543210
2015-12-11,17922607714
2015-12-14,17955392972
2015-12-15,18287616920
2015-12-16,18744424848
2015-12-17,18241717559
2015-12-18,18252645978
2015-12-21,18370672907
2015-12-22,18514928042
2015-12-23,19041677854
2015-12-24,18980478706
2015-12-28,19054791957
2015-12-29,19153147732
2015-12-30,18914908190
2015-12-31,18630881331
2016-01-04,18252743765
2016-01-05,17746387140
2016-01-06,17274801785
2016-01-07,16307725826
2016-01-08,15990437984
2016-01-11,16481582178
2016-01-12,16288166987
2016-01-13,15245028874
2016-01-14,15086384953
2016-01-15,14662610095
2016-01-19,14634358437
2016-01-20,14282299324
2016-01-21,14147560651
2016-01-22,14134521425
2016-01-25,13969357891
2016-01-26,14423557610
2016-01-27,14393132749
2016-01-28,13938933029
2016-01-29,14112789381
2016-02-01,14430077224
2016-02-02,13901988554
2016-02-03,13593393529
2016-02-04,13523850988
2016-02-05,12915353756
2016-02-08,12389438291
2016-02-09,12526350168
2016-02-10,12813213149
2016-02-11,12741497404
2016-02-12,13371726680
2016-02-16,13782223842
2016-02-17,14413254052
2016-02-18,14273510338
2016-02-19,14227656932
2016-02-22,14432905512
2016-02-23,14063894766
2016-02-24,13906683087
2016-02-25,14559548253
2016-02-26,14568282236
2016-02-29,14559548253
2016-03-01,15037733777
2016-03-02,15053018245
2016-03-03,15456964920
2016-03-04,15618543590
2016-03-07,15413295009
2016-03-08,15053018245
2016-03-09,15090137669
2016-03-10,14928559000
2016-03-11,15345606647
2016-03-14,15297569746
2016-03-15,15498451335
2016-03-16,15751736818
2016-03-17,15961352389
2016-03-18,15860911595
2016-03-21,15799773720
2016-03-22,15996288318
2016-03-23,15839076639
2016-03-24,15801957215
2016-03-28,15777938764
2016-03-29,16140399024
2016-03-30,16356565082
2016-03-31,16161480941
2016-04-01,15874960418
2016-04-04,15258833578
2016-04-05,15297610792
2016-04-06,15437639619
2016-04-07,15338542295
2016-04-08,15422559591
2016-04-11,15644451425
2016-04-12,15586285605
2016-04-13,16463081491
2016-04-14,16628961794
2016-04-15,16419995699
2016-04-18,16482470098
2016-04-19,16538481629
2016-04-20,16508321574
2016-04-21,16372601326
2016-04-22,16314435506
2016-04-25,16381218485
2016-04-26,16775453490
2016-04-27,16592338870
2016-04-28,16155018072
2016-04-29,15862034680
2016-05-02,15879268997
2016-05-03,15762937356
2016-05-04,15099416144
2016-05-05,14931381552
2016-05-06,15179124861
2016-05-09,15146810516
2016-05-10,15423701654
2016-05-11,15203054029
2016-05-12,15071098096
2016-05-13,14811512654
2016-05-16,14835307986
2016-05-17,14506499760
2016-05-18,14560580061
2016-05-19,14246914319
2016-05-20,14441603400
2016-05-23,14320463527
2016-05-24,14722820962
2016-05-25,14709841690
2016-05-26,14534621517
2016-05-27,14662251025
2016-05-31,14701188842
2016-06-01,14506499760
2016-06-02,14783390898
2016-06-03,14508662972
2016-06-06,14608170725
2016-06-07,14783390898
2016-06-08,14934815739
2016-06-09,14911020407
2016-06-10,14564906485
2016-06-13,14259893591
2016-06-14,14093326266
2016-06-15,14244751107
2016-06-16,14329116375
2016-06-17,14376707040
2016-06-20,15075424520
2016-06-21,14962937495
2016-06-22,14932652527
2016-06-23,15296072145
2016-06-24,13427056966
2016-06-27,12775930150
2016-06-28,13135023344
2016-06-29,13574155383
2016-06-30,13505486162
2016-07-01,13725543605
2016-07-05,12985546519
2016-07-06,13143038610
2016-07-07,13524902996
