,ILMN
2002-01-11,347491550
2002-01-14,329218550
2002-01-15,330436750
2002-01-16,323736650
2002-01-17,324345750
2002-01-18,311250100
2002-01-22,304245450
2002-01-23,304550000
2002-01-24,291149800
2002-01-25,281404200
2002-01-28,279576900
2002-01-29,260390250
2002-01-30,258867500
2002-01-31,257344749
2002-02-01,252776500
2002-02-04,242421800
2002-02-05,244249100
2002-02-06,237549000
2002-02-07,216230500
2002-02-08,226889750
2002-02-11,205571250
2002-02-12,197957500
2002-02-13,221407850
2002-02-14,213185000
2002-02-15,220189650
2002-02-19,216535050
2002-02-20,223844250
2002-02-21,208921300
2002-02-22,213185000
2002-02-25,207398550
2002-02-26,210748600
2002-02-27,212271350
2002-02-28,208921300
2002-03-01,213185000
2002-03-04,214098650
2002-03-05,228717050
2002-03-06,228412500
2002-03-07,215012300
2002-03-08,234198950
2002-03-11,272876800
2002-03-12,266481250
2002-03-13,267699449
2002-03-14,285363350
2002-03-15,284754250
2002-03-18,277140500
2002-03-19,274095000
2002-03-20,265567600
2002-03-21,270440400
2002-03-22,274095000
2002-03-25,274095000
2002-03-26,273181350
2002-03-27,272572250
2002-03-28,288104300
2002-04-01,230482500
2002-04-02,238165250
2002-04-03,232633670
2002-04-04,232019050
2002-04-05,235092150
2002-04-08,240316420
2002-04-09,236628700
2002-04-10,234170220
2002-04-11,236936010
2002-04-12,248921100
2002-04-15,251072270
2002-04-16,255989230
2002-04-17,259062330
2002-04-18,275657070
2002-04-19,271354730
2002-04-22,270432800
2002-04-23,275042450
2002-04-24,274427830
2002-04-25,271969350
2002-04-26,265515840
2002-04-29,259676949
2002-04-30,258140400
2002-05-01,257833090
2002-05-02,271969350
2002-05-03,276579000
2002-05-06,252916130
2002-05-07,205283080
2002-05-08,220955890
2002-05-09,199751500
2002-05-10,208970800
2002-05-13,215117000
2002-05-14,213887760
2002-05-15,212351210
2002-05-16,200058810
2002-05-17,200673430
2002-05-20,201288050
2002-05-21,199751500
2002-05-22,187766410
2002-05-23,199751500
2002-05-24,195141850
2002-05-28,194527230
2002-05-29,201288050
2002-05-30,201595360
2002-05-31,196678400
2002-06-03,186844480
2002-06-04,201595360
2002-06-05,201288050
2002-06-06,172093600
2002-06-07,173322840
2002-06-10,178547110
2002-06-11,173630150
2002-06-12,153655000
2002-06-13,133372540
2002-06-14,153962310
2002-06-17,173630150
2002-06-18,186229860
2002-06-19,189917580
2002-06-20,181620210
2002-06-21,185307930
2002-06-24,181312900
2002-06-25,190532200
2002-06-26,190532200
2002-06-27,201288050
2002-06-28,206512320
2002-07-01,193261620
2002-07-02,187047420
2002-07-03,183940320
2002-07-05,186426000
2002-07-08,175551150
2002-07-09,144790860
2002-07-10,139819500
2002-07-11,138265950
2002-07-12,141683760
2002-07-15,130187490
2002-07-16,137955240
2002-07-17,139819500
2002-07-18,138265950
2002-07-19,127391099
2002-07-22,128323230
2002-07-23,127391099
2002-07-24,139508790
2002-07-25,135469560
2002-07-26,141373050
2002-07-29,155355000
2002-07-30,139819500
2002-07-31,138265950
2002-08-01,131119619
2002-08-02,127080390
2002-08-05,127391099
2002-08-06,129255360
2002-08-07,125216130
2002-08-08,127080390
2002-08-09,127391099
2002-08-12,125837550
2002-08-13,119312640
2002-08-14,135780270
2002-08-15,124284000
2002-08-16,121487610
2002-08-19,123973290
2002-08-20,102845010
2002-08-21,124284000
2002-08-22,121176900
2002-08-23,116516250
2002-08-26,125216130
2002-08-27,122419740
2002-08-28,121176900
2002-08-29,123041160
2002-08-30,122109030
2002-09-03,118691220
2002-09-04,124284000
2002-09-05,118069800
2002-09-06,118069800
2002-09-09,118691220
2002-09-10,124284000
2002-09-11,110302050
2002-09-12,102534300
2002-09-13,104087850
2002-09-16,99427200
2002-09-17,96941520
2002-09-18,95698680
2002-09-19,93523710
2002-09-20,96320100
2002-09-23,91038030
2002-09-24,93213000
2002-09-25,94766550
2002-09-26,108127080
2002-09-27,105330690
2002-09-30,107672000
2002-10-01,117062000
2002-10-02,109550000
2002-10-03,117062000
2002-10-04,119253000
2002-10-07,114871000
2002-10-08,114245000
2002-10-09,108924000
2002-10-10,120505000
2002-10-11,117375000
2002-10-14,112993000
2002-10-15,120192000
2002-10-16,112680000
2002-10-17,122070000
2002-10-18,124574000
2002-10-21,125513000
2002-10-22,122070000
2002-10-23,123635000
2002-10-24,124887000
2002-10-25,124574000
2002-10-28,126452000
2002-10-29,125513000
2002-10-30,125513000
2002-10-31,127704000
2002-11-01,128329999
2002-11-04,135529000
2002-11-05,140850000
2002-11-06,140850000
2002-11-07,138659000
2002-11-08,125200000
2002-11-11,135842000
2002-11-12,148675000
2002-11-13,162760000
2002-11-14,182166000
2002-11-15,178410000
2002-11-18,159317000
2002-11-19,153996000
2002-11-20,158065000
2002-11-21,152744000
2002-11-22,150240000
2002-11-25,151492000
2002-11-26,153370000
2002-11-27,156500000
2002-11-29,156500000
2002-12-02,145232000
2002-12-03,145858000
2002-12-04,148988000
2002-12-05,144293000
2002-12-06,143667000
2002-12-09,129895000
2002-12-10,128329999
2002-12-11,125200000
2002-12-12,109550000
2002-12-13,108611000
2002-12-16,107985000
2002-12-17,94839000
2002-12-18,91083000
2002-12-19,98282000
2002-12-20,97969000
2002-12-23,92335000
2002-12-24,97030000
2002-12-26,97030000
2002-12-27,97656000
2002-12-30,102648000
2002-12-31,106438080
2003-01-02,103595520
2003-01-03,102648000
2003-01-06,104858880
2003-01-07,107385600
2003-01-08,108964800
2003-01-09,124756800
2003-01-10,116229120
2003-01-13,117492480
2003-01-14,115281600
2003-01-15,107385600
2003-01-16,107385600
2003-01-17,97910400
2003-01-21,96331200
2003-01-22,94752000
2003-01-23,95067840
2003-01-24,95067840
2003-01-27,94752000
2003-01-28,94752000
2003-01-29,94752000
2003-01-30,93172800
2003-01-31,94752000
2003-02-03,94752000
2003-02-04,92541120
2003-02-05,92856960
2003-02-06,93172800
2003-02-07,91593600
2003-02-10,87487680
2003-02-11,90014400
2003-02-12,85276800
2003-02-13,82118400
2003-02-14,82118400
2003-02-18,87803520
2003-02-19,85908480
2003-02-20,84013440
2003-02-21,87487680
2003-02-24,82118400
2003-02-25,86540160
2003-02-26,86856000
2003-02-27,86856000
2003-02-28,76117440
2003-03-03,74538240
2003-03-04,72959040
2003-03-05,71064000
2003-03-06,67905600
2003-03-07,67905600
2003-03-10,63168000
2003-03-11,58746240
2003-03-12,57482880
2003-03-13,56851200
2003-03-14,66642239
2003-03-17,87803520
2003-03-18,92225280
2003-03-19,93488640
2003-03-20,89698560
2003-03-21,90646080
2003-03-24,75485760
2003-03-25,80855040
2003-03-26,77064960
2003-03-27,78644160
2003-03-28,75801600
2003-03-31,71886080
2003-04-01,75066880
2003-04-02,84291200
2003-04-03,79520000
2003-04-04,76339200
2003-04-07,82700800
2003-04-08,83018880
2003-04-09,84927360
2003-04-10,80474240
2003-04-11,80474240
2003-04-14,83336960
2003-04-15,74748800
2003-04-16,68387200
2003-04-17,68069120
2003-04-21,62343680
2003-04-22,63297920
2003-04-23,63297920
2003-04-24,57572480
2003-04-25,60117120
2003-04-28,59162880
2003-04-29,59799040
2003-04-30,63297920
2003-05-01,65206399
2003-05-02,68387200
2003-05-05,72204160
2003-05-06,75384960
2003-05-07,65842559
2003-05-08,66160640
2003-05-09,66796800
2003-05-12,65206399
2003-05-13,65206399
2003-05-14,69977600
2003-05-15,71568000
2003-05-16,68387200
2003-05-19,66478719
2003-05-20,67432960
2003-05-21,67751040
2003-05-22,65842559
2003-05-23,62025600
2003-05-27,65206399
2003-05-28,81746560
2003-05-29,101785600
2003-05-30,109737600
2003-06-02,128504320
2003-06-03,133275520
2003-06-04,133275520
2003-06-05,131685119
2003-06-06,130094720
2003-06-09,120234240
2003-06-10,114508800
2003-06-11,115463040
2003-06-12,98604800
2003-06-13,91607040
2003-06-16,87472000
2003-06-17,85881600
2003-06-18,93197440
2003-06-19,99240960
2003-06-20,86517760
2003-06-23,81746560
2003-06-24,81110400
2003-06-25,87790080
2003-06-26,90970880
2003-06-27,91288960
2003-06-30,90074550
2003-07-01,99370500
2003-07-02,95844450
2003-07-03,91677300
2003-07-07,91677300
2003-07-08,95203350
2003-07-09,109948650
2003-07-10,119565150
2003-07-11,117000750
2003-07-14,112192500
2003-07-15,111871950
2003-07-16,105140400
2003-07-17,113795250
2003-07-18,112833600
2003-07-21,115398000
2003-07-22,117321300
2003-07-23,104178750
2003-07-24,105460950
2003-07-25,112192500
2003-07-28,113795250
2003-07-29,114436350
2003-07-30,95203350
2003-07-31,98088300
2003-08-01,95844450
2003-08-04,95844450
2003-08-05,93280050
2003-08-06,90715650
2003-08-07,92318400
2003-08-08,92959500
2003-08-11,93280050
2003-08-12,92959500
2003-08-13,95523900
2003-08-14,95844450
2003-08-15,94241700
2003-08-18,97126650
2003-08-19,99370500
2003-08-20,101934900
2003-08-21,104178750
2003-08-22,105781500
2003-08-25,110589750
2003-08-26,110269200
2003-08-27,104499300
2003-08-28,115077450
2003-08-29,115398000
2003-09-02,121488450
2003-09-03,122129550
2003-09-04,124373400
2003-09-05,121809000
2003-09-08,122450100
2003-09-09,124693950
2003-09-10,133989899
2003-09-11,130463850
2003-09-12,131425499
2003-09-15,131104950
2003-09-16,133348800
2003-09-17,162486795
2003-09-18,155146200
2003-09-19,168609300
2003-09-22,170212050
2003-09-23,169891500
2003-09-24,164410095
2003-09-25,168609300
2003-09-26,165083250
2003-09-29,173505000
2003-09-30,172537500
2003-10-01,168345000
2003-10-02,168990000
2003-10-03,169312500
2003-10-06,174150000
2003-10-07,170925000
2003-10-08,168990000
2003-10-09,167700000
2003-10-10,177052500
2003-10-13,169312500
2003-10-14,173505000
2003-10-15,177052500
2003-10-16,206400000
2003-10-17,215107500
2003-10-20,206400000
2003-10-21,198337500
2003-10-22,197370000
2003-10-23,191565000
2003-10-24,185437500
2003-10-27,188662500
2003-10-28,188662500
2003-10-29,191565000
2003-10-30,191565000
2003-10-31,195112500
2003-11-03,194790000
2003-11-04,195112500
2003-11-05,194467500
2003-11-06,197047500
2003-11-07,200917500
2003-11-10,206722500
2003-11-11,206722500
2003-11-12,205432500
2003-11-13,203142750
2003-11-14,199305000
2003-11-17,202852500
2003-11-18,202207500
2003-11-19,199950000
2003-11-20,196725000
2003-11-21,201562500
2003-11-24,204787500
2003-11-25,223170000
2003-11-26,217655250
2003-11-28,221235000
2003-12-01,231877500
2003-12-02,248325000
2003-12-03,257677500
2003-12-04,253485000
2003-12-05,274125000
2003-12-08,251872500
2003-12-09,241875000
2003-12-10,233812500
2003-12-11,239940000
2003-12-12,249292500
2003-12-15,236070000
2003-12-16,228652500
2003-12-17,224782500
2003-12-18,238650000
2003-12-19,233167500
2003-12-22,231555000
2003-12-23,231877500
2003-12-24,225750000
2003-12-26,226072500
2003-12-29,235329270
2003-12-30,238584170
2003-12-31,229470450
2004-01-02,230121430
2004-01-05,233701820
2004-01-06,260392000
2004-01-07,257137100
2004-01-08,262344940
2004-01-09,262670430
2004-01-12,283176300
2004-01-13,275690030
2004-01-14,272435130
2004-01-15,271751601
2004-01-16,282199830
2004-01-20,296195900
2004-01-21,315725300
2004-01-22,288709630
2004-01-23,299743741
2004-01-26,309215500
2004-01-27,294893940
2004-01-28,297497860
2004-01-29,280897870
2004-01-30,284803750
2004-02-02,273086110
2004-02-03,257462590
2004-02-04,237607700
2004-02-05,235980250
2004-02-06,246395930
2004-02-09,252905730
2004-02-10,241513580
2004-02-11,244768480
2004-02-12,223937120
2004-02-13,240211620
2004-02-17,248023380
2004-02-18,241806521
2004-02-19,239235150
2004-02-20,236956720
2004-02-23,220356730
2004-02-24,213195950
2004-02-25,217101830
2004-02-26,225564570
2004-02-27,221007710
2004-03-01,224262610
2004-03-02,229470450
2004-03-03,230088881
2004-03-04,239235150
2004-03-05,233376330
2004-03-08,247372400
2004-03-09,248674360
2004-03-10,245744950
2004-03-11,236305740
2004-03-12,238909660
2004-03-15,238909660
2004-03-16,233701820
2004-03-17,239235150
2004-03-18,247697890
2004-03-19,237607700
2004-03-22,227947156
2004-03-23,235329270
2004-03-24,229795940
2004-03-25,226541040
2004-03-26,224913590
2004-03-29,248915200
2004-03-30,257305600
2004-03-31,262200000
2004-04-01,260801600
2004-04-02,254858400
2004-04-05,260452000
2004-04-06,248915200
2004-04-07,251712000
2004-04-08,251362400
2004-04-12,249964000
2004-04-13,241573600
2004-04-14,241573600
2004-04-15,238776800
2004-04-16,234931200
2004-04-19,240175200
2004-04-20,228988000
2004-04-21,256256800
2004-04-22,272688000
2004-04-23,281078399
2004-04-26,294712800
2004-04-27,291916000
2004-04-28,279330400
2004-04-29,266395200
2004-04-30,262549600
2004-05-03,259053600
2004-05-04,265696000
2004-05-05,278980800
2004-05-06,267094400
2004-05-07,267094400
2004-05-10,263598400
2004-05-11,234581600
2004-05-12,234232000
2004-05-13,232833600
2004-05-14,225841600
2004-05-17,220947200
2004-05-18,225492000
2004-05-19,227589600
2004-05-20,226540800
2004-05-21,227939199
2004-05-24,231784800
2004-05-25,226855440
2004-05-26,227240000
2004-05-27,226890400
2004-05-28,221646400
2004-06-01,237728000
2004-06-02,244020800
2004-06-03,241224000
2004-06-04,244020800
2004-06-07,246468000
2004-06-08,246468000
2004-06-09,227939199
2004-06-10,227589600
2004-06-14,224443200
2004-06-15,223744000
2004-06-16,230036800
2004-06-17,233882400
2004-06-18,235980000
2004-06-21,228988000
2004-06-22,239476000
2004-06-23,243671200
2004-06-24,239476000
2004-06-25,225492000
2004-06-28,232830660
2004-06-29,241105740
2004-06-30,238096620
2004-07-01,234335220
2004-07-02,232454520
2004-07-06,215528220
2004-07-07,215152080
2004-07-08,212519100
2004-07-09,215904360
2004-07-12,214775940
2004-07-13,217785060
2004-07-14,214399800
2004-07-15,206124720
2004-07-16,189574560
2004-07-19,189950700
2004-07-20,195216660
2004-07-21,191079120
2004-07-22,203867880
2004-07-23,192959820
2004-07-26,192207540
2004-07-27,203115600
2004-07-28,174905100
2004-07-29,189574560
2004-07-30,193712100
2004-08-02,183932460
2004-08-03,172272120
2004-08-04,172272120
2004-08-05,162116340
2004-08-06,160987920
2004-08-09,162116340
2004-08-10,187693860
2004-08-11,184684740
2004-08-12,172272120
2004-08-13,174905100
2004-08-16,183180180
2004-08-17,183932460
2004-08-18,195216660
2004-08-19,186941580
2004-08-20,203491740
2004-08-23,201987180
2004-08-24,205372440
2004-08-25,208381560
2004-08-26,204996300
2004-08-27,206877000
2004-08-30,212519100
2004-08-31,216280500
2004-09-01,227940840
2004-09-02,239601180
2004-09-03,239977320
2004-09-07,248628540
2004-09-08,246371700
2004-09-09,244491000
2004-09-10,243362580
2004-09-13,253518360
2004-09-14,245619420
2004-09-15,244114860
2004-09-16,258408180
2004-09-17,256715550
2004-09-20,256527480
2004-09-21,263298000
2004-09-22,249004680
2004-09-23,245619420
2004-09-24,240729600
2004-09-27,224179440
2004-09-28,223051020
2004-09-29,221546460
2004-09-30,222298740
2004-10-01,232830660
2004-10-04,253622719
2004-10-05,255169200
2004-10-06,251689620
2004-10-07,251303000
2004-10-08,251303000
2004-10-11,257102300
2004-10-12,255555820
2004-10-13,252462860
2004-10-14,256329060
2004-10-15,266381180
2004-10-18,268700900
2004-10-19,272953720
2004-10-20,258262160
2004-10-21,255169200
2004-10-22,252462860
2004-10-25,252462860
2004-10-26,256715680
2004-10-27,254009340
2004-10-28,245117080
2004-10-29,249369900
2004-11-01,245503700
2004-11-02,245890320
2004-11-03,249369900
2004-11-04,249369900
2004-11-05,249369900
2004-11-08,249369900
2004-11-09,250916380
2004-11-10,251303000
2004-11-11,268314280
2004-11-12,269087520
2004-11-15,284165700
2004-11-16,288418520
2004-11-17,285325560
2004-11-18,286098800
2004-11-19,284552320
2004-11-22,298470640
2004-11-23,304656560
2004-11-24,309296000
2004-11-26,301563600
2004-11-29,299630500
2004-11-30,293831200
2004-12-01,307362900
2004-12-02,298084020
2004-12-03,294604440
2004-12-06,296150920
2004-12-07,294991060
2004-12-08,301563600
2004-12-09,294604440
2004-12-10,302723460
2004-12-13,306976280
2004-12-14,306976280
2004-12-15,313162200
2004-12-16,309296000
2004-12-17,294411130
2004-12-20,303496700
2004-12-21,329786860
2004-12-22,338292500
2004-12-23,361489700
2004-12-27,362649560
2004-12-28,358396740
2004-12-29,356850260
2004-12-30,363422800
2004-12-31,366515760
2005-01-03,355476690
2005-01-04,344356060
2005-01-05,325949500
2005-01-06,329400730
2005-01-07,326332970
2005-01-10,334385840
2005-01-11,329017260
2005-01-12,333235430
2005-01-13,333235430
2005-01-14,340137889
2005-01-18,348574230
2005-01-19,351258520
2005-01-20,348190760
2005-01-21,352025460
2005-01-24,365063440
2005-01-25,374650190
2005-01-26,375417129
2005-01-27,375417129
2005-01-28,371582430
2005-01-31,371582430
2005-02-01,378868360
2005-02-02,401109620
2005-02-03,403410440
2005-02-04,408395550
2005-02-07,410696370
2005-02-08,427185580
2005-02-09,412230250
2005-02-10,380018770
2005-02-11,401876560
2005-02-14,382319590
2005-02-15,380402240
2005-02-16,375800600
2005-02-17,371965900
2005-02-18,368898139
2005-02-22,369281610
2005-02-23,336303190
2005-02-24,336303190
2005-02-25,329784200
2005-02-28,317513160
2005-03-01,315979280
2005-03-02,315979280
2005-03-03,317513160
2005-03-04,300640480
2005-03-07,301023950
2005-03-08,299106600
2005-03-09,291437200
2005-03-10,286452090
2005-03-11,259609189
2005-03-14,289136380
2005-03-15,306776000
2005-03-16,292971080
2005-03-17,290286790
2005-03-18,288752910
2005-03-21,284343005
2005-03-22,273797580
2005-03-23,266895120
2005-03-24,279933100
2005-03-28,270154615
2005-03-29,267662060
2005-03-30,304858650
2005-03-31,309843760
2005-04-01,309460290
2005-04-04,321897870
2005-04-05,322299740
2005-04-06,337570800
2005-04-07,355654950
2005-04-08,342393240
2005-04-11,358468040
2005-04-12,350028770
2005-04-13,326318439
2005-04-14,331140880
2005-04-15,334355840
2005-04-18,331542750
2005-04-19,347617550
2005-04-20,359271780
2005-04-21,369720400
2005-04-22,367309180
2005-04-25,365701700
2005-04-26,356860560
2005-04-27,356458689
2005-04-28,371729750
2005-04-29,394636340
2005-05-02,396645689
2005-05-03,394234470
2005-05-04,390617640
2005-05-05,395841950
2005-05-06,401870000
2005-05-09,419552280
2005-05-10,419954150
2005-05-11,421561630
2005-05-12,420757890
2005-05-13,395841950
2005-05-16,401870000
2005-05-17,408299920
2005-05-18,415935450
2005-05-19,412318620
2005-05-20,409505530
2005-05-23,413926100
2005-05-24,413524229
2005-05-25,405888700
2005-05-26,421561630
2005-05-27,419954150
2005-05-31,421963500
2005-06-01,432010250
2005-06-02,429599030
2005-06-03,419552280
2005-06-06,420356020
2005-06-07,422767240
2005-06-08,425982200
2005-06-09,487066439
2005-06-10,468178550
2005-06-13,458131800
2005-06-14,475814080
2005-06-15,490281400
2005-06-16,488272050
2005-06-17,502739370
2005-06-20,508365550
2005-06-21,514393600
2005-06-22,502337500
2005-06-23,471393510
2005-06-24,494701970
2005-06-27,468580420
2005-06-28,500328150
2005-06-29,493496360
2005-06-30,485057090
2005-07-01,494300100
2005-07-05,502374800
2005-07-06,493374600
2005-07-07,486829000
2005-07-08,486829000
2005-07-11,486829000
2005-07-12,509738600
2005-07-13,562512500
2005-07-14,567012600
2005-07-15,580922000
2005-07-18,576831000
2005-07-19,587467600
2005-07-20,589104000
2005-07-21,586240300
2005-07-22,564148900
2005-07-25,562103400
2005-07-26,532239100
2005-07-27,456964700
2005-07-28,454101000
2005-07-29,458192000
2005-08-01,458192000
2005-08-02,450010000
2005-08-03,459419300
2005-08-04,462692100
2005-08-05,465146699
2005-08-08,454510100
2005-08-09,475783300
2005-08-10,482738000
2005-08-11,485601699
