,CSCO
2001-07-03,139588060000
2001-07-05,127876919999
2001-07-06,122130460000
2001-07-09,125476500000
2001-07-10,117838800000
2001-07-11,121475800000
2001-07-12,129913640000
2001-07-13,136314759999
2001-07-16,128822540000
2001-07-17,129404460000
2001-07-18,124749099999
2001-07-19,129186240000
2001-07-20,130859259999
2001-07-23,132895980000
2001-07-24,133696120000
2001-07-25,136023800000
2001-07-26,140970120000
2001-07-27,138642440000
2001-07-30,138029230000
2001-07-31,140440540000
2001-08-01,148332100000
2001-08-02,147966750000
2001-08-03,146505350000
2001-08-06,142778780000
2001-08-07,140732820000
2001-08-08,131379860000
2001-08-09,133645030000
2001-08-10,133937309999
2001-08-13,133060470000
2001-08-14,128968549999
2001-08-15,124219000000
2001-08-16,127726360000
2001-08-17,121369270000
2001-08-20,123488299999
2001-08-21,116985070000
2001-08-22,120419360000
2001-08-23,122465320000
2001-08-24,133352750000
2001-08-27,131599070000
2001-08-28,124876630000
2001-08-29,124803559999
2001-08-30,116985070000
2001-08-31,119323309999
2001-09-04,115231390000
2001-09-05,108728160000
2001-09-06,105220800000
2001-09-07,104928520000
2001-09-10,105732290000
2001-09-17,102298000000
2001-09-18,99155990000
2001-09-19,98571430000
2001-09-20,94114160000
2001-09-21,88341630000
2001-09-24,91775920000
2001-09-25,92068200000
2001-09-26,89364610000
2001-09-27,82130680000
2001-09-28,88999260000
2001-10-01,86953300000
2001-10-02,83884360000
2001-10-03,101932650000
2001-10-04,105366940000
2001-10-05,109166580000
2001-10-08,109970350000
2001-10-09,106609130000
2001-10-10,110701050000
2001-10-11,120273220000
2001-10-12,123853650000
2001-10-15,118446470000
2001-10-16,123999789999
2001-10-17,113989200000
2001-10-18,122173039999
2001-10-19,122173039999
2001-10-22,122976809999
2001-10-23,119907870000
2001-10-24,125899610000
2001-10-25,129626179999
2001-10-26,126338030000
2001-10-29,120046620000
2001-10-30,121143270000
2001-10-31,123702120000
2001-11-01,129112260000
2001-11-02,126187860000
2001-11-05,130866899999
2001-11-06,135034169999
2001-11-07,138397230000
2001-11-08,139566990000
2001-11-09,140371200000
2001-11-12,140809860000
2001-11-13,143149380000
2001-11-14,145415790000
2001-11-15,147243540000
2001-11-16,146366220000
2001-11-19,151410810000
2001-11-20,144684690000
2001-11-21,140005650000
2001-11-23,143222490000
2001-11-26,145708230000
2001-11-27,144026700000
2001-11-28,138031680000
2001-11-29,145415790000
2001-11-30,149436840000
2001-12-03,145196460000
2001-12-04,150021720000
2001-12-05,157478940000
2001-12-06,159306690000
2001-12-07,154700760000
2001-12-10,151630140000
2001-12-11,151922580000
2001-12-12,149875500000
2001-12-13,138982110000
2001-12-14,141760290000
2001-12-17,140809860000
2001-12-18,143441820000
2001-12-19,141467850000
2001-12-20,133718190000
2001-12-21,132987090000
2001-12-24,132402210000
2001-12-26,133352639999
2001-12-27,135180389999
2001-12-28,135545940000
2001-12-31,132402210000
2002-01-02,140590530000
2002-01-03,151776360000
2002-01-04,152288130000
2002-01-07,150094830000
2002-01-08,153165450000
2002-01-09,152434350000
2002-01-10,153531000000
2002-01-11,147755310000
2002-01-14,143514930000
2002-01-15,143880480000
2002-01-16,138470340000
2002-01-17,142418280000
2002-01-18,137812350000
2002-01-22,132036659999
2002-01-23,138397230000
2002-01-24,139274550000
2002-01-25,139859430000
2002-01-28,143928200000
2002-01-29,138887060000
2002-01-30,141298040000
2002-01-31,144658800000
2002-02-01,140348260000
2002-02-04,133772859999
2002-02-05,135161000000
2002-02-06,135964660000
2002-02-07,124640359999
2002-02-08,122448560000
2002-02-11,129243140000
2002-02-12,126101560000
2002-02-13,128001120000
2002-02-14,127562760000
2002-02-15,124859540000
2002-02-19,122813859999
2002-02-20,121937140000
2002-02-21,110393660000
2002-02-22,111343440000
2002-02-25,113973600000
2002-02-26,113243000000
2002-02-27,104037440000
2002-02-28,104256620000
2002-03-01,109590000000
2002-03-04,120402880000
2002-03-05,120622060000
2002-03-06,122521620000
2002-03-07,124202000000
2002-03-08,130046800000
2002-03-11,127270520000
2002-03-12,122521620000
2002-03-13,119526160000
2002-03-14,122302439999
2002-03-15,120841240000
2002-03-18,120695120000
2002-03-19,122302439999
2002-03-20,117042120000
2002-03-21,120475939999
2002-03-22,121060420000
2002-03-25,118211080000
2002-03-26,121644899999
2002-03-27,119380040000
2002-03-28,123690580000
2002-04-01,128001120000
2002-04-02,119964520000
2002-04-03,121279600000
2002-04-04,123252220000
2002-04-05,117991899999
2002-04-08,118211080000
2002-04-09,108274920000
2002-04-10,113608300000
2002-04-11,108640220000
2002-04-12,111781800000
2002-04-15,109663060000
2002-04-16,113827480000
2002-04-17,116676820000
2002-04-18,112804640000
2002-04-19,111489560000
2002-04-22,108640220000
2002-04-23,102357060000
2002-04-24,105425580000
2002-04-25,106594540000
2002-04-26,101626460000
2002-04-29,102781620000
2002-04-30,106564100000
2002-05-01,99653800000
2002-05-02,99217360000
2002-05-03,95580360000
2002-05-06,93761860000
2002-05-07,95143920000
2002-05-08,118347980000
2002-05-09,114565500000
2002-05-10,112165080000
2002-05-13,114201800000
2002-05-14,119657300000
2002-05-15,120457439999
2002-05-16,123730740000
2002-05-17,125476500000
2002-05-20,120602919999
2002-05-21,117547840000
2002-05-22,120457439999
2002-05-23,122930599999
2002-05-24,120530180000
2002-05-28,119148120000
2002-05-29,113838100000
2002-05-30,116456740000
2002-05-31,114783720000
2002-06-03,111510420000
2002-06-04,116965919999
2002-06-05,115802080000
2002-06-06,112456040000
2002-06-07,114420020000
2002-06-10,112528780000
2002-06-11,109037260000
2002-06-12,111219460000
2002-06-13,108309860000
2002-06-14,104018200000
2002-06-17,109619180000
2002-06-18,107000540000
2002-06-19,105400260000
2002-06-20,102417920000
2002-06-21,99944760000
2002-06-24,102272440000
2002-06-25,97835300000
2002-06-26,97689820000
2002-06-27,100526680000
2002-06-28,101472300000
2002-07-01,95216660000
2002-07-02,91361440000
2002-07-03,94852960000
2002-07-05,102199700000
2002-07-08,99435580000
2002-07-09,95580360000
2002-07-10,98271740000
2002-07-11,102199700000
2002-07-12,104600120000
2002-07-15,105036560000
2002-07-16,103799980000
2002-07-17,107655200000
2002-07-18,104309160000
2002-07-19,99290100000
2002-07-22,94416520000
2002-07-23,90925000000
2002-07-24,95216660000
2002-07-25,84451140000
2002-07-26,85978680000
2002-07-29,96484190000
2002-07-30,96701660000
2002-07-31,95614310000
2002-08-01,87712900000
2002-08-02,86190610000
2002-08-05,82348640000
2002-08-06,87495430000
2002-08-07,94164510000
2002-08-08,95686800000
2002-08-09,95106880000
2002-08-12,97209090000
2002-08-13,96919130000
2002-08-14,104023150000
2002-08-15,104095640000
2002-08-16,104748050000
2002-08-19,106705280000
2002-08-20,106777770000
2002-08-21,109532390000
2002-08-22,109459900000
2002-08-23,104748050000
2002-08-26,105038010000
2002-08-27,101630980000
2002-08-28,99456280000
2002-08-29,102935800000
2002-08-30,100181180000
2002-09-03,94744430000
2002-09-04,96194230000
2002-09-05,92569730000
2002-09-06,94454470000
2002-09-09,93947040000
2002-09-10,97354070000
2002-09-11,98368930000
2002-09-12,94526960000
2002-09-13,94599450000
2002-09-16,93729570000
2002-09-17,90902460000
2002-09-18,89090210000
2002-09-19,86988000000
2002-09-20,87567920000
2002-09-23,86698040000
2002-09-24,82856070000
2002-09-25,86698040000
2002-09-26,82348640000
2002-09-27,81406270000
2002-09-30,75969520000
2002-10-01,79304060000
2002-10-02,72852450000
2002-10-03,71185180000
2002-10-04,68575540000
2002-10-07,65820920000
2002-10-08,62341400000
2002-10-09,66908270000
2002-10-10,70677750000
2002-10-11,74809680000
2002-10-14,72417510000
2002-10-15,79666510000
2002-10-16,71112690000
2002-10-17,73722330000
2002-10-18,76331970000
2002-10-21,79376550000
2002-10-22,81333780000
2002-10-23,81623740000
2002-10-24,85175750000
2002-10-25,85393220000
2002-10-28,78338300000
2002-10-29,76182200000
2002-10-30,78410170000
2002-10-31,80350660000
2002-11-01,83441070000
2002-11-04,88471970000
2002-11-05,91203030000
2002-11-06,93143520000
2002-11-07,88759450000
2002-11-08,90268720000
2002-11-11,87393920000
2002-11-12,92496690000
2002-11-13,96449540000
2002-11-14,100618000000
2002-11-15,101192960000
2002-11-18,99971170000
2002-11-19,98174420000
2002-11-20,103349060000
2002-11-21,109529880000
2002-11-22,107014430000
2002-11-25,107014430000
2002-11-26,103852150000
2002-11-27,106583210000
2002-11-29,107230040000
2002-12-02,108236220000
2002-12-03,104355240000
2002-12-04,103708410000
2002-12-05,101408570000
2002-12-06,101911660000
2002-12-09,97024500000
2002-12-10,100114910000
2002-12-11,99539950000
2002-12-12,101408570000
2002-12-13,96305800000
2002-12-16,98461900000
2002-12-17,98174420000
2002-12-18,95012140000
2002-12-19,93431000000
2002-12-20,95371490000
2002-12-23,96593280000
2002-12-24,95946450000
2002-12-26,94149700000
2002-12-27,93502870000
2002-12-30,93215390000
2002-12-31,94149700000
2003-01-02,98030680000
2003-01-03,99971170000
2003-01-06,102055400000
2003-01-07,104930200000
2003-01-08,103780280000
2003-01-09,107445650000
2003-01-10,109386140000
2003-01-13,109817360000
2003-01-14,111973460000
2003-01-15,109098660000
2003-01-16,107086300000
2003-01-17,101552310000
2003-01-21,101911660000
2003-01-22,100330520000
2003-01-23,104858330000
2003-01-24,99611820000
2003-01-27,96820020000
2003-01-28,100421640000
2003-01-29,99432960000
2003-01-30,97949940000
2003-01-31,94418940000
2003-02-03,95195760000
2003-02-04,93218400000
2003-02-05,93218400000
2003-02-06,93500880000
2003-02-07,90746700000
2003-02-10,92865300000
2003-02-11,95125140000
2003-02-12,93218400000
2003-02-13,93995220000
2003-02-14,96608160000
2003-02-18,101057220000
2003-02-19,101834040000
2003-02-20,100704120000
2003-02-21,103599540000
2003-02-24,101834040000
2003-02-25,99432960000
2003-02-26,95407620000
2003-02-27,97102500000
2003-02-28,98726760000
2003-03-03,96890640000
2003-03-04,96255060000
2003-03-05,97031880000
2003-03-06,95195760000
2003-03-07,93500880000
2003-03-10,91876620000
2003-03-11,91947240000
2003-03-12,89616780000
2003-03-13,94772040000
2003-03-14,94630800000
2003-03-17,99786060000
2003-03-18,100280400000
2003-03-19,100421640000
2003-03-20,99150480000
2003-03-21,98161800000
2003-03-24,95407620000
2003-03-25,96890640000
2003-03-26,96466920000
2003-03-27,95337000000
2003-03-28,93359640000
2003-03-31,91664760000
2003-04-01,91664760000
2003-04-02,96325680000
2003-04-03,96325680000
2003-04-04,96820020000
2003-04-07,95831340000
2003-04-08,94842660000
2003-04-09,92088480000
2003-04-10,92088480000
2003-04-11,93289020000
2003-04-14,95125140000
2003-04-15,94207080000
2003-04-16,95760720000
2003-04-17,98514900000
2003-04-21,98444280000
2003-04-22,101127840000
2003-04-23,101198460000
2003-04-24,101339700000
2003-04-25,101269080000
2003-04-28,104874980000
2003-04-29,105995140000
2003-04-30,105015000000
2003-05-01,105855120000
2003-05-02,106905270000
2003-05-05,107745390000
2003-05-06,111315900000
2003-05-07,108375480000
2003-05-08,106555220000
2003-05-09,111665950000
2003-05-12,116706670000
2003-05-13,115306469999
2003-05-14,114956420000
2003-05-15,117266750000
2003-05-16,116426630000
2003-05-19,111595940000
2003-05-20,111945990000
2003-05-21,109915700000
2003-05-22,111455920000
2003-05-23,109845690000
2003-05-27,113066149999
2003-05-28,113976280000
2003-05-29,116356620000
2003-05-30,114886410000
2003-06-02,117616800000
2003-06-03,119087010000
2003-06-04,121607370000
2003-06-05,121607370000
2003-06-06,121537360000
2003-06-09,120627230000
2003-06-10,121817399999
2003-06-11,123217600000
2003-06-12,124477780000
2003-06-13,121887410000
2003-06-16,125877980000
2003-06-17,125877980000
2003-06-18,131128730000
2003-06-19,129938559999
2003-06-20,125527930000
2003-06-23,120697239999
2003-06-24,117266750000
2003-06-25,118106870000
2003-06-26,119927130000
2003-06-27,118246890000
2003-06-30,117546790000
2003-07-01,120697239999
2003-07-02,125037860000
2003-07-03,122657520000
2003-07-07,127558219999
2003-07-08,131128730000
2003-07-09,131618800000
2003-07-10,128188309999
2003-07-11,130008570000
2003-07-14,130288610000
2003-07-15,129588510000
2003-07-16,127628230000
2003-07-17,124337760000
2003-07-18,125247890000
2003-07-21,125527930000
2003-07-22,130708670000
2003-07-23,132178880000
2003-07-24,130078579999
2003-07-25,133579079999
2003-07-28,132262559999
2003-07-29,132817120000
2003-07-30,133648960000
2003-07-31,135104679999
2003-08-01,132747799999
2003-08-04,133510320000
2003-08-05,130737520000
2003-08-06,122349799999
2003-08-07,121517960000
2003-08-08,121864559999
2003-08-11,122765720000
2003-08-12,123597559999
2003-08-13,121933880000
2003-08-14,123389600000
2003-08-15,123320280000
2003-08-18,126647640000
2003-08-19,128588600000
2003-08-20,128727240000
2003-08-21,130806840000
2003-08-22,130252280000
2003-08-25,131569360000
2003-08-26,132401200000
2003-08-27,131777320000
2003-08-28,133025080000
2003-08-29,132678480000
2003-09-02,135797880000
2003-09-03,140303680000
2003-09-04,142729880000
2003-09-05,141551440000
2003-09-08,144601520000
2003-09-09,144046960000
2003-09-10,141828720000
2003-09-11,143561720000
2003-09-12,143215120000
2003-09-15,141343480000
2003-09-16,147582280000
2003-09-17,146542480000
2003-09-18,148483440000
2003-09-19,145710640000
2003-09-22,144046960000
2003-09-23,146611800000
2003-09-24,140858240000
2003-09-25,139055920000
2003-09-26,138362720000
2003-09-29,140026400000
2003-09-30,135797880000
2003-10-01,140026400000
2003-10-02,138570680000
2003-10-03,143908320000
2003-10-06,144185600000
2003-10-07,145572000000
2003-10-08,144116280000
2003-10-09,145225400000
2003-10-10,144116280000
2003-10-13,145572000000
2003-10-14,146542480000
2003-10-15,145710640000
2003-10-16,145849280000
2003-10-17,143076480000
2003-10-20,146126560000
2003-10-21,146334520000
2003-10-22,143007160000
2003-10-23,139749120000
2003-10-24,137253600000
2003-10-27,136998820000
2003-10-28,143666600000
2003-10-29,143116680000
2003-10-30,143391640000
2003-10-31,143872820000
2003-11-03,149234540000
2003-11-04,148340920000
2003-11-05,149853200000
2003-11-06,157414600000
2003-11-07,153565160000
2003-11-10,152534060000
2003-11-11,153633900000
2003-11-12,157895780000
2003-11-13,156039800000
2003-11-14,153015240000
2003-11-17,151571700000
2003-11-18,149372020000
2003-11-19,151571700000
2003-11-20,150815560000
2003-11-21,152396580000
2003-11-24,156727200000
2003-11-25,155489880000
2003-11-26,156795940000
2003-11-28,156039800000
2003-12-01,159339320000
2003-12-02,158858140000
2003-12-03,160164200000
2003-12-04,164838520000
2003-12-05,163257500000
2003-12-08,166969460000
2003-12-09,159683020000
2003-12-10,163463720000
2003-12-11,164494820000
2003-12-12,165594660000
2003-12-15,164838520000
2003-12-16,163394980000
2003-12-17,161470260000
2003-12-18,166144580000
2003-12-19,163532460000
2003-12-22,164838520000
2003-12-23,164563560000
2003-12-24,164082380000
2003-12-26,163257500000
2003-12-29,167725600000
2003-12-30,165800880000
2003-12-31,166557020000
2004-01-02,166694500000
2004-01-05,170268980000
2004-01-06,172262440000
2004-01-07,175699440000
2004-01-08,181061160000
2004-01-09,182023520000
2004-01-12,185804220000
2004-01-13,184841860000
2004-01-14,188347600000
2004-01-15,186697840000
2004-01-16,200239620000
2004-01-20,198383640000
2004-01-21,196596400000
2004-01-22,193984280000
2004-01-23,187866420000
2004-01-26,192211200000
2004-01-27,187440000000
2004-01-28,182532480000
2004-01-29,176943360000
2004-01-30,175239360000
2004-02-02,178579200000
2004-02-03,180010560000
2004-02-04,164129280000
2004-02-05,162357120000
2004-02-06,168627840000
2004-02-09,168150720000
2004-02-10,168900480000
2004-02-11,165219840000
2004-02-12,163924800000
2004-02-13,163992960000
2004-02-17,165288000000
2004-02-18,164197440000
2004-02-19,161402880000
2004-02-20,158063040000
2004-02-23,155064000000
2004-02-24,157108800000
2004-02-25,160721280000
2004-02-26,159153600000
2004-02-27,157858560000
2004-03-01,160380480000
2004-03-02,156972480000
2004-03-03,154723200000
2004-03-04,158063040000
2004-03-05,156018240000
2004-03-08,152405760000
2004-03-09,150769920000
2004-03-10,151383360000
2004-03-11,152269440000
2004-03-12,157654080000
2004-03-15,155268480000
2004-03-16,157585920000
2004-03-17,160176000000
2004-03-18,157926720000
2004-03-19,153360000000
2004-03-22,152337600000
2004-03-23,152405760000
2004-03-24,154518720000
2004-03-25,160721280000
2004-03-26,159494400000
2004-03-29,162561600000
2004-03-30,163106880000
2004-03-31,160653120000
2004-04-01,161811840000
2004-04-02,166514880000
2004-04-05,169104960000
2004-04-06,168014400000
2004-04-07,165219840000
2004-04-08,164606400000
2004-04-12,164470080000
2004-04-13,160993920000
2004-04-14,158540160000
2004-04-15,155541120000
2004-04-16,153223680000
2004-04-19,155813760000
2004-04-20,150701760000
2004-04-21,152473920000
2004-04-22,157790400000
2004-04-23,158949120000
2004-04-26,157722240000
2004-04-27,156359040000
2004-04-28,152473920000
2004-04-29,149338560000
2004-04-30,142522560000
2004-05-03,142433280000
2004-05-04,144119280000
2004-05-05,143377440000
2004-05-06,144996000000
2004-05-07,146277360000
2004-05-10,145805280000
2004-05-11,150054000000
2004-05-12,148098240000
2004-05-13,146749440000
2004-05-14,143242560000
2004-05-17,141151920000
2004-05-18,141624000000
2004-05-19,144051840000
2004-05-20,145130880000
2004-05-21,145940160000
2004-05-24,146007600000
2004-05-25,149986560000
2004-05-26,150728400000
2004-05-27,152009760000
2004-05-28,150863280000
2004-06-01,149986560000
2004-06-02,151133040000
2004-06-03,150728400000
2004-06-04,153628320000
2004-06-07,161114160000
2004-06-08,160102560000
2004-06-09,158888640000
2004-06-10,160642080000
2004-06-14,157270080000
2004-06-15,159428160000
2004-06-16,161046720000
2004-06-17,157539840000
2004-06-18,157944480000
2004-06-21,154235280000
2004-06-22,156595680000
2004-06-23,161653680000
2004-06-24,159697920000
2004-06-25,158011920000
2004-06-28,157135200000
2004-06-29,159900240000
2004-06-30,159832800000
2004-07-01,155853840000
2004-07-02,154774800000
2004-07-06,150863280000
2004-07-07,151200480000
2004-07-08,149514480000
2004-07-09,150795840000
2004-07-12,150323760000
2004-07-13,149312160000
2004-07-14,149042400000
2004-07-15,149244720000
2004-07-16,145198320000
2004-07-19,144051840000
2004-07-20,147558720000
2004-07-21,142770480000
2004-07-22,144254160000
2004-07-23,141151920000
2004-07-26,138521760000
2004-07-27,139668240000
2004-07-28,138252000000
2004-07-29,140275200000
2004-07-30,141084480000
2004-08-02,140927400000
2004-08-03,137609900000
2004-08-04,140131200000
2004-08-05,136747350000
2004-08-06,132235550000
2004-08-09,133031750000
2004-08-10,135752100000
2004-08-11,121354150000
2004-08-12,118036650000
2004-08-13,118501100000
2004-08-16,120956050000
2004-08-17,123941800000
2004-08-18,125998649999
2004-08-19,126728500000
2004-08-20,125268800000
2004-08-23,127259300000
