,LIFE
2016-05-17,74568381
2016-05-18,73384756
2016-05-19,71254231
2016-05-20,74568381
2016-05-23,76225456
2016-05-24,78829431
2016-05-25,78119256
2016-05-26,75988731
2016-05-27,76462181
2016-05-31,78355981
2016-06-01,82380306
2016-06-02,84274107
2016-06-03,82143581
2016-06-06,82617031
2016-06-07,77645806
2016-06-08,76225456
2016-06-09,74094931
2016-06-10,72674581
2016-06-13,73384756
2016-06-14,71254231
2016-06-15,71254231
2016-06-16,69123705
2016-06-17,66283005
2016-06-20,64862655
2016-06-21,65809555
2016-06-22,66283005
2016-06-23,69597155
2016-06-24,67703355
2016-06-27,60601605
2016-06-28,59891430
2016-06-29,63915755
2016-06-30,65876225
2016-07-01,69667662
2016-07-05,66587120
2016-07-06,66587120
2016-07-07,64928366
2016-07-08,67534979
2016-07-11,64691401
2016-07-12,64928366
2016-07-13,63506577
2016-07-14,63269612
2016-07-15,63980506
2016-07-18,64454436
2016-07-19,62084788
2016-07-20,72511241
2016-07-21,70141592
2016-07-22,68719803
2016-07-25,68245873
2016-07-26,68245873
2016-07-27,73459100
2016-07-28,70378557
2016-07-29,80805010
2016-08-01,75117854
2016-08-02,73222135
2016-08-03,77961432
2016-08-04,75828748
2016-08-05,78435362
2016-08-08,78198397
2016-08-09,75354819
2016-08-10,70378557
2016-08-11,76302678
2016-08-12,81041975
2016-08-15,86729131
2016-08-16,83411623
2016-08-17,80094115
2016-08-18,79857151
2016-08-19,79146256
2016-08-22,77013573
2016-08-23,77013573
2016-08-24,71326416
2016-08-25,69667662
2016-08-26,70615522
2016-08-29,68719803
2016-08-30,70378557
2016-08-31,69193733
2016-09-01,69904627
2016-09-02,68719803
2016-09-06,74643924
2016-09-07,72274276
2016-09-08,73696065
2016-09-09,72985170
2016-09-12,74169994
2016-09-13,72511241
2016-09-14,76776608
2016-09-15,77250537
2016-09-16,76065713
2016-09-19,77487502
2016-09-20,76302678
2016-09-21,77961432
2016-09-22,78909291
2016-09-23,78198397
2016-09-26,77487502
2016-09-27,78198397
2016-09-28,76539643
2016-09-29,75354819
2016-09-30,75419684
2016-10-03,75656853
2016-10-04,76368360
2016-10-05,77079866
2016-10-06,70439139
2016-10-07,68778957
2016-10-10,72099321
2016-10-11,68541788
2016-10-12,67830282
2016-10-13,68304620
2016-10-14,65932931
2016-10-17,64035581
2016-10-18,65221425
2016-10-19,65221425
2016-10-20,69964801
2016-10-21,68778957
2016-10-24,72336490
2016-10-25,67593113
2016-10-26,69964801
2016-10-27,68778957
2016-10-28,66407269
2016-10-31,65221425
2016-11-01,62849737
2016-11-02,61663893
2016-11-03,60478049
2016-11-04,64035581
2016-11-07,66407269
2016-11-08,64035581
2016-11-09,69964801
2016-11-10,74708178
2016-11-11,74708178
2016-11-14,83009087
2016-11-15,80637398
2016-11-16,80637398
2016-11-17,85380775
2016-11-18,88938307
2016-11-21,84194931
2016-11-22,78265710
2016-11-23,78265710
2016-11-25,74708178
2016-11-28,72336490
2016-11-29,74708178
2016-11-30,73522334
2016-12-01,73522334
2016-12-02,72336490
2016-12-05,77079866
2016-12-06,80637398
2016-12-07,80637398
2016-12-08,84194931
2016-12-09,85380775
2016-12-12,86566619
2016-12-13,66407269
2016-12-14,59292205
2016-12-15,55734672
2016-12-16,56920516
2016-12-19,50991296
2016-12-20,50991296
2016-12-21,54548828
2016-12-22,56920516
2016-12-23,58106360
2016-12-27,60478049
2016-12-28,54548828
2016-12-29,53362984
2016-12-30,50991296
2017-01-03,55786720
2017-01-04,58160623
2017-01-05,56973672
2017-01-06,58160623
2017-01-09,59347575
2017-01-10,59347575
2017-01-11,55786720
2017-01-12,59347575
2017-01-13,59347575
2017-01-17,58160623
2017-01-18,77151847
2017-01-19,71217090
2017-01-20,71217090
2017-01-23,70030138
2017-01-24,72404041
2017-01-25,72404041
2017-01-26,72404041
2017-01-27,71217090
2017-01-30,78338799
2017-01-31,78338799
2017-02-01,77151847
2017-02-02,77151847
2017-02-03,77151847
2017-02-06,80712702
2017-02-07,78338799
2017-02-08,78338799
2017-02-09,79525750
2017-02-10,80712702
2017-02-13,79525750
2017-02-14,79525750
2017-02-15,80712702
2017-02-16,81899653
2017-02-17,84273556
2017-02-21,86647459
2017-02-22,88427886
2017-02-23,81306177
2017-02-24,80119226
2017-02-27,81899653
2017-02-28,94956120
2017-03-01,89021362
2017-03-02,84273556
2017-03-03,81899653
2017-03-06,80712702
2017-03-07,79525750
2017-03-08,79525750
2017-03-09,86647459
2017-03-10,85460508
2017-03-13,85460508
2017-03-14,81899653
2017-03-15,84273556
2017-03-16,90208314
2017-03-17,90208314
2017-03-20,87834411
2017-03-21,86647459
2017-03-22,81899653
2017-03-23,83086605
2017-03-24,84273556
2017-03-27,84273556
2017-03-28,84273556
2017-03-29,83086605
2017-03-30,84273556
2017-03-31,83335329
2017-04-03,83335329
2017-04-04,80954319
2017-04-05,78573310
2017-04-06,79763814
2017-04-07,77382805
2017-04-10,77382805
2017-04-11,75001796
2017-04-12,75001796
2017-04-13,75001796
2017-04-17,71430282
2017-04-18,71430282
2017-04-19,72025534
2017-04-20,72620786
2017-04-21,72620786
2017-04-24,75001796
2017-04-25,77382805
2017-04-26,80954319
2017-04-27,83335329
2017-04-28,78573310
2017-05-01,72620786
2017-05-02,72620786
2017-05-03,73811291
2017-05-04,73811291
2017-05-05,75001796
2017-05-08,78573310
2017-05-09,75001796
2017-05-10,73811291
2017-05-11,73811291
2017-05-12,77382805
2017-05-15,79763814
2017-05-16,80954319
2017-05-17,78573310
2017-05-18,79168562
2017-05-19,80954319
2017-05-22,84525833
2017-05-23,84525833
2017-05-24,83335329
2017-05-25,80954319
2017-05-26,78573310
2017-05-30,76192300
2017-05-31,78573310
2017-06-01,79763814
2017-06-02,83335329
2017-06-05,80954319
2017-06-06,80954319
2017-06-07,83335329
2017-06-08,82144824
2017-06-09,80954319
2017-06-12,80954319
2017-06-13,82144824
2017-06-14,80954319
2017-06-15,79763814
2017-06-16,84525833
2017-06-19,85716338
2017-06-20,85716338
2017-06-21,87502095
2017-06-22,88097347
2017-06-23,86906843
2017-06-26,86906843
2017-06-27,86906843
2017-06-28,88097347
2017-06-29,86906843
2017-06-30,87781159
2017-07-03,81326662
2017-07-05,85199360
2017-07-06,86490259
2017-07-07,90362958
2017-07-10,89072058
2017-07-11,85199360
2017-07-12,85199360
2017-07-13,84553910
2017-07-14,85199360
2017-07-17,86490259
2017-07-18,86490259
2017-07-19,87781159
2017-07-20,87781159
2017-07-21,83908461
2017-07-24,91653857
2017-07-25,87781159
2017-07-26,87781159
2017-07-27,86490259
2017-07-28,90362958
2017-07-31,89072058
2017-08-01,89072058
2017-08-02,87781159
2017-08-03,86490259
2017-08-04,85844810
2017-08-07,81326662
2017-08-08,83908461
2017-08-09,82617561
2017-08-10,78744863
2017-08-11,78744863
2017-08-14,83908461
2017-08-15,74872165
2017-08-16,70999467
2017-08-17,69708567
2017-08-18,67126768
2017-08-21,67126768
2017-08-22,64544970
2017-08-23,63254070
2017-08-24,68417668
2017-08-25,67126768
2017-08-28,70999467
2017-08-29,72290366
2017-08-30,77453964
2017-08-31,78744863
2017-09-01,78744863
2017-09-05,70999467
2017-09-06,72290366
2017-09-07,78744863
2017-09-08,81326662
2017-09-11,77453964
2017-09-12,78744863
2017-09-13,83908461
2017-09-14,85199360
2017-09-15,95526555
2017-09-18,100044703
2017-09-19,99399253
2017-09-20,100690153
2017-09-21,100044703
2017-09-22,104562851
2017-09-25,104562851
2017-09-26,108435549
2017-09-27,118762744
2017-09-28,122635443
2017-09-29,130380839
2017-10-02,148841140
2017-10-03,141399083
2017-10-04,168190488
2017-10-05,169678899
2017-10-06,160004225
2017-10-09,163725254
2017-10-10,168190488
2017-10-11,187539836
2017-10-12,184563013
2017-10-13,175632545
2017-10-16,166702076
2017-10-17,160748431
2017-10-18,159260019
2017-10-19,153306374
2017-10-20,151817962
2017-10-23,147352728
2017-10-24,145864317
2017-10-25,142887494
2017-10-26,142887494
2017-10-27,154794785
2017-10-30,145864317
2017-10-31,142887494
2017-11-01,119072912
2017-11-02,119072912
2017-11-03,132468614
2017-11-06,133957026
2017-11-07,128003380
2017-11-08,126514969
2017-11-09,122049734
2017-11-10,117584500
2017-11-13,108654032
2017-11-14,110142443
2017-11-15,114607677
2017-11-16,114607677
2017-11-17,114607677
2017-11-20,111630855
2017-11-21,114607677
2017-11-22,117584500
2017-11-24,119072912
2017-11-27,129491791
2017-11-28,126514969
2017-11-29,122049734
2017-11-30,116096089
2017-12-01,119072912
2017-12-04,116096089
2017-12-05,113119266
2017-12-06,111630855
2017-12-07,116096089
2017-12-08,119072912
2017-12-11,116096089
2017-12-12,107165620
2017-12-13,105677209
2017-12-14,105677209
2017-12-15,107165620
2017-12-18,111630855
2017-12-19,105677209
2017-12-20,113119266
2017-12-21,114607677
2017-12-22,114607677
2017-12-26,113119266
2017-12-27,110142443
2017-12-28,111630855
2017-12-29,104188798
2018-01-02,113222634
2018-01-03,113222634
2018-01-04,111732862
2018-01-05,114712405
2018-01-08,116202177
2018-01-09,114712405
2018-01-10,117691948
2018-01-11,117691948
2018-01-12,116202177
2018-01-16,119181720
2018-01-17,123651034
2018-01-18,122161263
2018-01-19,117691948
2018-01-22,121416377
2018-01-23,119181720
2018-01-24,114712405
2018-01-25,114712405
2018-01-26,111732862
2018-01-29,113222634
2018-01-30,108753319
2018-01-31,105773776
2018-02-01,99814690
2018-02-02,99814690
2018-02-05,96835147
2018-02-06,98324919
2018-02-07,102794233
2018-02-08,104284005
2018-02-09,99814690
2018-02-12,101304462
2018-02-13,104284005
2018-02-14,96835147
2018-02-15,92365833
2018-02-16,93855604
2018-02-20,92365833
2018-02-21,93855604
2018-02-22,89386290
2018-02-23,87896518
2018-02-26,87896518
2018-02-27,84916975
2018-02-28,87896518
2018-03-01,87896518
2018-03-02,89386290
2018-03-05,89386290
2018-03-06,89386290
2018-03-07,89386290
2018-03-08,89386290
2018-03-09,89386290
2018-03-12,89386290
2018-03-13,87896518
2018-03-14,89386290
2018-03-15,87896518
2018-03-16,89386290
2018-03-19,89386290
2018-03-20,86406747
2018-03-21,89386290
2018-03-22,87896518
2018-03-23,87896518
2018-03-26,87896518
2018-03-27,85661861
2018-03-28,80447661
2018-03-29,78957889
2018-04-02,82150876
2018-04-03,79163571
2018-04-04,80657224
2018-04-05,80657224
2018-04-06,82150876
2018-04-09,79163571
2018-04-10,80657224
2018-04-11,79163571
2018-04-12,80657224
2018-04-13,82150876
2018-04-16,79163571
2018-04-17,76176267
2018-04-18,76176267
2018-04-19,73188962
2018-04-20,71695310
2018-04-23,70201658
2018-04-24,71695310
2018-04-25,70201658
2018-04-26,70201658
2018-04-27,68708005
2018-04-30,67214353
2018-05-01,70201658
2018-05-02,70201658
2018-05-03,69454831
2018-05-04,73188962
2018-05-07,71695310
2018-05-08,70201658
2018-05-09,70201658
2018-05-10,67214353
2018-05-11,68708005
2018-05-14,46303221
2018-05-15,40328612
2018-05-16,25392089
2018-05-17,29126219
2018-05-18,28379393
2018-05-21,26224266
2018-05-22,27184471
2018-05-23,27333837
2018-05-24,26885741
2018-05-25,27483202
2018-05-29,25904198
2018-05-30,25989550
2018-05-31,26971092
2018-06-01,26288280
2018-06-04,25392089
2018-06-05,25392089
2018-06-06,25242723
2018-06-07,26885741
2018-06-08,30769237
2018-06-11,29552977
2018-06-12,28912840
2018-06-13,28678124
2018-06-14,28742137
2018-06-15,30171776
2018-06-18,30939940
2018-06-19,31366698
2018-06-20,38237498
2018-06-21,34951463
2018-06-22,34354002
2018-06-25,32860350
2018-06-26,30171776
2018-06-27,29104881
2018-06-28,27184471
2018-06-29,27184471
2018-07-02,26302078
2018-07-03,26003191
2018-07-05,27518977
2018-07-06,28074053
2018-07-09,27583024
2018-07-10,27113344
2018-07-11,26899853
2018-07-12,28992064
2018-07-13,28095402
2018-07-16,27262787
2018-07-17,26729060
2018-07-18,26686362
2018-07-19,26302078
2018-07-20,26302078
2018-07-23,26878504
2018-07-24,26302078
2018-07-25,25725653
2018-07-26,25533511
2018-07-27,24807642
2018-07-30,24359311
2018-07-31,23185111
2018-08-01,23313206
2018-08-02,23078366
2018-08-03,22715431
2018-08-06,22416544
2018-08-07,21370439
2018-08-08,20900759
2018-08-09,20922108
2018-08-10,20537824
2018-08-13,19342275
2018-08-14,19726559
2018-08-15,18851246
2018-08-16,18232122
2018-08-17,19449020
2018-08-20,19811955
2018-08-21,20751315
2018-08-22,19128784
2018-08-23,18531010
2018-08-24,19064737
2018-08-27,19128784
2018-08-28,20153540
2018-08-29,21519882
2018-08-30,22544639
2018-08-31,21583929
2018-09-04,23548046
2018-09-05,24508755
2018-09-06,22416544
2018-09-07,23014319
2018-09-10,22416544
2018-09-11,21968213
2018-09-12,21647977
2018-09-13,21519882
2018-09-14,21968213
2018-09-17,22416544
2018-09-18,22565988
2018-09-19,24594151
2018-09-20,24636849
2018-09-21,23313206
2018-09-24,23462649
2018-09-25,24828991
2018-09-26,24273915
2018-09-27,24658198
2018-09-28,24295264
2018-10-01,23503454
2018-10-02,22442008
2018-10-03,24023346
2018-10-04,22745278
2018-10-05,24261630
2018-10-08,23655089
2018-10-09,21532196
2018-10-10,20622385
2018-10-11,18564479
2018-10-12,22138737
2018-10-15,21532196
2018-10-16,21293913
2018-10-17,21748818
2018-10-18,20254128
2018-10-19,21228926
2018-10-22,20470750
2018-10-23,19734236
2018-10-24,19495953
2018-10-25,18802763
2018-10-26,18499493
2018-10-29,19539277
2018-10-30,18954398
2018-10-31,18434506
2018-11-01,19387642
2018-11-02,20037507
2018-11-05,19106033
2018-11-06,18499493
2018-11-07,19387642
2018-11-08,20600723
2018-11-09,19127696
2018-11-12,18499493
2018-11-13,16744857
2018-11-14,15770059
2018-11-15,15770059
2018-11-16,16766519
2018-11-19,16896492
2018-11-20,16224965
2018-11-21,16073330
2018-11-23,15770059
2018-11-26,16679870
2018-11-27,17568019
2018-11-28,18347857
2018-11-29,18954398
2018-11-30,18672790
2018-12-03,18889412
2018-12-04,17892952
2018-12-06,17351398
2018-12-07,17416384
2018-12-10,17459709
2018-12-11,16549897
2018-12-12,16246627
2018-12-13,15250167
2018-12-14,13733815
2018-12-17,12824004
2018-12-18,13040626
2018-12-19,11654247
2018-12-20,13040626
2018-12-21,12130815
2018-12-24,12455747
2018-12-26,12802342
2018-12-27,14860248
2018-12-28,15466789
2018-12-31,16768018
2019-01-02,17927766
2019-01-03,18193541
2019-01-04,17855281
2019-01-07,18700931
2019-01-08,18531801
2019-01-09,18628447
2019-01-10,18193541
2019-01-11,18169380
2019-01-14,17831120
2019-01-15,19280805
2019-01-16,19546580
2019-01-17,19039191
2019-01-18,19377450
2019-01-22,18362671
2019-01-23,18072734
2019-01-24,18024411
2019-01-25,18942545
2019-01-28,17927766
2019-01-29,17323730
2019-01-30,16912987
2019-01-31,16937148
2019-02-01,17251246
2019-02-04,17492860
2019-02-05,17251246
2019-02-06,17492860
2019-02-07,17758636
2019-02-08,17057955
2019-02-11,16598888
2019-02-12,16912987
2019-02-13,16574727
2019-02-14,17251246
2019-02-15,16912987
2019-02-19,16912987
2019-02-20,16574727
2019-02-21,17082116
2019-02-22,17251246
2019-02-25,16236467
2019-02-26,16212306
2019-02-27,15729077
2019-02-28,16236467
2019-03-01,15898207
2019-03-04,15052558
2019-03-05,15149204
2019-03-06,14545168
2019-03-07,14738460
2019-03-08,15221688
2019-03-11,15559948
2019-03-12,15584109
2019-03-13,15414979
2019-03-14,15559948
2019-03-15,15825723
2019-03-18,15559948
2019-03-19,17251246
2019-03-20,16671372
2019-03-21,19015029
2019-03-22,18870061
2019-03-25,17082116
2019-03-26,17782797
2019-03-27,17420376
2019-03-28,18169380
2019-03-29,18604285
2019-04-01,25569969
2019-04-02,25472622
2019-04-03,23655466
2019-04-04,24077306
2019-04-05,22746889
2019-04-08,24531595
2019-04-09,24077306
2019-04-10,24564044
2019-04-11,24531595
2019-04-12,23525670
2019-04-15,24985884
2019-04-16,24791188
2019-04-17,24531595
2019-04-18,24888536
2019-04-22,26348750
2019-04-23,25797114
2019-04-24,26348750
2019-04-25,29074483
2019-04-26,30891638
2019-04-29,30437349
2019-04-30,28198354
2019-05-01,28490397
2019-05-02,27711616
2019-05-03,28165905
2019-05-06,27127531
2019-05-07,26543445
2019-05-08,26478547
2019-05-09,25213028
2019-05-10,24336900
2019-05-13,24109755
2019-05-14,22617092
2019-05-15,21481370
2019-05-16,20897284
2019-05-17,21091980
2019-05-20,20345648
2019-05-21,20929734
2019-05-22,20929734
2019-05-23,19664215
2019-05-24,19988707
2019-05-28,19956258
2019-05-29,19080129
2019-05-30,19404621
2019-05-31,19631766
2019-06-03,17976856
2019-06-04,18398696
2019-06-05,17587466
2019-06-06,17717263
2019-06-07,17717263
2019-06-10,17749712
2019-06-11,17490118
2019-06-12,17262974
2019-06-13,17717263
2019-06-14,17262974
2019-06-17,15770311
2019-06-18,16127252
2019-06-19,16808685
2019-06-20,17490118
2019-06-21,17814610
2019-06-24,17717263
2019-06-25,17035830
2019-06-26,16549091
2019-06-27,16127252
2019-06-28,16613990
2019-07-01,21000519
2019-07-02,20846669
2019-07-03,20192807
2019-07-05,19423557
2019-07-08,18308145
2019-07-09,17961982
2019-07-10,18731232
2019-07-11,19808182
2019-07-12,18885082
2019-07-15,20077419
2019-07-16,20115882
2019-07-17,20692819
2019-07-18,16038858
2019-07-19,15000371
2019-07-22,13346484
2019-07-23,14000346
2019-07-24,14192658
2019-07-25,12961859
2019-07-26,13346484
2019-07-29,12538771
2019-07-30,13038784
2019-07-31,13500333
2019-08-01,12923396
2019-08-02,12346459
2019-08-05,12000296
2019-08-06,12000296
2019-08-07,12231071
2019-08-08,12038759
2019-08-09,11961834
2019-08-12,11307972
2019-08-13,11423359
2019-08-14,10769497
2019-08-15,10769497
2019-08-16,11231047
2019-08-19,11961834
2019-08-20,10961809
2019-08-21,11846446
2019-08-22,12500309
2019-08-23,11577209
2019-08-26,11769521
2019-08-27,11923371
2019-08-28,11846446
2019-08-29,12077221
2019-08-30,11307972
2019-09-03,11231047
2019-09-04,10961809
2019-09-05,11807984
2019-09-06,11692596
2019-09-09,11807984
2019-09-10,13038784
2019-09-11,12884934
2019-09-12,14115733
2019-09-13,14269583
2019-09-16,15961933
2019-09-17,15115758
2019-09-18,14846521
2019-09-19,14308046
2019-09-20,15115758
2019-09-23,15038833
2019-09-24,15038833
2019-09-25,14346508
2019-09-26,14384971
2019-09-27,14461896
2019-09-30,13618507
2019-10-01,14124337
2019-10-02,12762486
2019-10-03,12957036
2019-10-04,12762486
2019-10-07,13307226
2019-10-08,12451206
2019-10-09,12684666
2019-10-10,12567936
2019-10-11,12139926
2019-10-14,11789736
2019-10-15,12139926
2019-10-16,14746897
2019-10-17,13385046
2019-10-18,13268316
2019-10-21,13540686
2019-10-22,13696327
2019-10-23,13851967
2019-10-24,13929787
2019-10-25,14863627
2019-10-28,14941447
2019-10-29,13968697
2019-10-30,13851967
2019-10-31,14046517
2019-11-01,14746897
2019-11-04,14863627
2019-11-05,14396707
2019-11-06,13229406
2019-11-07,14435617
2019-11-08,14707987
2019-11-11,14396707
2019-11-12,14591257
2019-11-13,15058177
2019-11-14,14124337
2019-11-15,14474527
2019-11-18,14318887
2019-11-19,14474527
2019-11-20,14357797
2019-11-21,16147658
2019-11-22,16381118
2019-11-25,16536758
2019-11-26,16653488
2019-11-27,18365529
2019-11-29,18793539
2019-12-02,18637899
2019-12-03,17548419
2019-12-04,17626239
2019-12-05,17276048
2019-12-06,17198228
2019-12-09,17314958
2019-12-10,16653488
2019-12-11,17120408
2019-12-12,15369457
2019-12-13,16147658
2019-12-16,16147658
2019-12-17,15564008
2019-12-18,15408367
2019-12-19,16147658
2019-12-20,16303298
2019-12-23,16264388
2019-12-24,16381118
2019-12-26,16925858
2019-12-27,16614578
2019-12-30,16225478
2019-12-31,28697068
2020-01-02,29522883
2020-01-03,29316429
2020-01-06,42047743
2020-01-07,40396113
2020-01-08,39707934
2020-01-09,39157390
2020-01-10,40602566
2020-01-13,39226208
2020-01-14,41428381
2020-01-15,47002632
2020-01-16,48585444
2020-01-17,42391832
2020-01-21,41566017
2020-01-22,41497199
2020-01-23,40740202
2020-01-24,40602566
2020-01-27,39295026
2020-01-28,37161671
2020-01-29,37712214
2020-01-30,36129402
2020-01-31,34890680
2020-02-03,36955217
2020-02-04,37436943
2020-02-05,31036877
2020-02-06,27458346
2020-02-07,28077707
2020-02-10,27320710
2020-02-11,27251892
2020-02-12,27458346
2020-02-13,28834704
2020-02-14,27664799
2020-02-18,29041158
2020-02-19,28972340
2020-02-20,30073426
2020-02-21,29385247
2020-02-24,28628250
2020-02-25,26838984
2020-02-26,26288441
2020-02-27,24980901
2020-02-28,25531444
2020-03-02,26907802
2020-03-03,25600262
2020-03-04,29247611
2020-03-05,28008889
2020-03-06,26357259
2020-03-09,23122817
2020-03-10,23604543
2020-03-11,20851826
2020-03-12,18787289
2020-03-13,18443199
2020-03-16,14933486
2020-03-17,16378662
2020-03-18,15277576
2020-03-19,17066841
2020-03-20,17755020
2020-03-23,18236746
2020-03-24,19131378
2020-03-25,21333552
2020-03-26,21195916
2020-03-27,22297002
2020-03-30,19750740
2020-03-31,26200809
2020-04-01,23861451
2020-04-02,23955025
2020-04-03,27136552
2020-04-06,25358640
2020-04-07,25077917
2020-04-08,26949404
2020-04-09,26387958
2020-04-13,25545789
2020-04-14,26481532
2020-04-15,27230127
2020-04-16,26949404
2020-04-17,27791573
2020-04-20,28914464
2020-04-21,30411654
2020-04-22,34435349
2020-04-23,35932538
2020-04-24,33873903
2020-04-27,35183944
2020-04-28,35090370
2020-04-29,34528924
2020-04-30,33593180
2020-05-01,32189566
2020-05-04,33312457
2020-05-05,33686755
2020-05-06,34154626
2020-05-07,35371092
2020-05-08,36493984
2020-05-11,38271896
2020-05-12,36213261
2020-05-13,34716072
2020-05-14,33686755
2020-05-15,35932538
2020-05-18,34996795
2020-05-19,33686755
2020-05-20,34341775
2020-05-21,34622498
2020-05-22,38552619
