,ORLY
2000-08-29,791959187
2000-08-30,798371812
2000-08-31,782340250
2000-09-01,772721312
2000-09-05,756689750
2000-09-06,747070812
2000-09-07,766308687
2000-09-08,734245562
2000-09-11,740658187
2000-09-12,750277125
2000-09-13,747070812
2000-09-14,750277125
2000-09-15,711801375
2000-09-18,708595062
2000-09-19,724626625
2000-09-20,715007687
2000-09-21,740658187
2000-09-22,724626625
2000-09-25,698976125
2000-09-26,718214000
2000-09-27,721420312
2000-09-28,753483437
2000-09-29,750277125
2000-10-02,732692250
2000-10-03,751973625
2000-10-04,758400750
2000-10-05,726265125
2000-10-06,726265125
2000-10-09,739119375
2000-10-10,729478687
2000-10-11,723051562
2000-10-12,742332937
2000-10-13,796963500
2000-10-16,748760062
2000-10-17,748760062
2000-10-18,745546500
2000-10-19,745546500
2000-10-20,732692250
2000-10-23,739119375
2000-10-24,739119375
2000-10-25,780895687
2000-10-26,806604187
2000-10-27,816244875
2000-10-30,906224625
2000-10-31,925506000
2000-11-01,915865312
2000-11-02,919078875
2000-11-03,941573812
2000-11-06,906224625
2000-11-07,909438187
2000-11-08,957641625
2000-11-09,915865312
2000-11-10,858021187
2000-11-13,893370375
2000-11-14,919078875
2000-11-15,899797500
2000-11-16,912651750
2000-11-17,957641625
2000-11-20,960855187
2000-11-21,967282312
2000-11-22,967282312
2000-11-24,976923000
2000-11-27,964068750
2000-11-28,970495875
2000-11-29,874089000
2000-11-30,854807625
2000-12-01,925506000
2000-12-04,879712785
2000-12-05,906224625
2000-12-06,899797500
2000-12-07,903011062
2000-12-08,944787375
2000-12-11,1037980687
2000-12-12,1134387562
2000-12-13,1134387562
2000-12-14,1131174000
2000-12-15,1131174000
2000-12-18,1127960437
2000-12-19,1144028250
2000-12-20,1134387562
2000-12-21,1166523187
2000-12-22,1182591000
2000-12-26,1246862250
2000-12-27,1259716500
2000-12-28,1282211437
2000-12-29,1375404750
2001-01-02,1257530625
2001-01-03,1334917125
2001-01-04,1328468250
2001-01-05,1331692687
2001-01-08,1292999437
2001-01-09,1286550562
2001-01-10,1302672750
2001-01-11,1296223875
2001-01-12,1283326125
2001-01-16,1322019375
2001-01-17,1312346062
2001-01-18,1315570500
2001-01-19,1199490750
2001-01-22,1234959562
2001-01-23,1176919687
2001-01-24,1093084312
2001-01-25,1099533187
2001-01-26,1105982062
2001-01-29,1135002000
2001-01-30,1135002000
2001-01-31,1160797500
2001-02-01,1173695250
2001-02-02,1102757625
2001-02-05,1083411000
2001-02-06,1118879812
2001-02-07,1135002000
2001-02-08,1086635437
2001-02-09,1028595562
2001-02-12,1031820000
2001-02-13,993126750
2001-02-14,1038268875
2001-02-15,1035044437
2001-02-16,1006024500
2001-02-20,1028595562
2001-02-21,983453437
2001-02-22,980229000
2001-02-23,1002800062
2001-02-26,1002800062
2001-02-27,989902312
2001-02-28,977004562
2001-03-01,944760187
2001-03-02,951209062
2001-03-05,954433500
2001-03-06,935086875
2001-03-07,954433500
2001-03-08,967331250
2001-03-09,954433500
2001-03-12,951209062
2001-03-13,977004562
2001-03-14,980229000
2001-03-15,967331250
2001-03-16,967331250
2001-03-19,983453437
2001-03-20,957657937
2001-03-21,977004562
2001-03-22,918964687
2001-03-23,960882375
2001-03-26,941535750
2001-03-27,964106812
2001-03-28,944760187
2001-03-29,944760187
2001-03-30,1028595562
2001-04-02,1020265312
2001-04-03,1017026375
2001-04-04,1033221062
2001-04-05,1088283000
2001-04-06,1065610437
2001-04-09,1054598050
2001-04-10,1067553800
2001-04-11,1083618930
2001-04-12,1092947070
2001-04-16,1078436630
2001-04-17,1088283000
2001-04-18,1091392380
2001-04-19,1134923700
2001-04-20,1107975740
2001-04-23,1070144949
2001-04-24,1129223170
2001-04-25,1184155550
2001-04-26,1225095720
2001-04-27,1249970760
2001-04-30,1225613950
2001-05-01,1240642620
2001-05-02,1220431650
2001-05-03,1197629530
2001-05-04,1212658200
2001-05-07,1171199800
2001-05-08,1183637320
2001-05-09,1146324760
2001-05-10,1158244050
2001-05-11,1160316970
2001-05-14,1142697150
2001-05-15,1166017500
2001-05-16,1163426350
2001-05-17,1188819620
2001-05-18,1231832710
2001-05-21,1335996940
2001-05-22,1295575000
2001-05-23,1252043680
2001-05-24,1272254650
2001-05-25,1259817130
2001-05-29,1256707750
2001-05-30,1292983850
2001-05-31,1306457830
2001-06-01,1295575000
2001-06-04,1346879770
2001-06-05,1368127200
2001-06-06,1352580300
2001-06-07,1352580300
2001-06-08,1347398000
2001-06-11,1338069860
2001-06-12,1349989150
2001-06-13,1382119410
2001-06-14,1373827730
2001-06-15,1398702770
2001-06-18,1454153380
2001-06-19,1462963290
2001-06-20,1494057090
2001-06-21,1460890370
2001-06-22,1339624550
2001-06-25,1361390210
2001-06-26,1386265250
2001-06-27,1435497100
2001-06-28,1446898160
2001-06-29,1487320100
2001-07-02,1491941880
2001-07-03,1519716000
2001-07-05,1506090960
2001-07-06,1461547560
2001-07-09,1474648560
2001-07-10,1475172600
2001-07-11,1509235200
2001-07-12,1702081919
2001-07-13,1682168295
2001-07-16,1658586600
2001-07-17,1692649199
2001-07-18,1703653935
2001-07-19,1726711800
2001-07-20,1748197440
2001-07-23,1779639840
2001-07-24,1763394704
2001-07-25,1788024375
2001-07-26,1857721800
2001-07-27,1818942840
2001-07-30,1818418800
2001-07-31,1828899704
2001-08-01,1797457199
2001-08-02,1797457199
2001-08-03,1759726424
2001-08-06,1724615639
2001-08-07,1729332000
2001-08-08,1687408800
2001-08-09,1718851199
2001-08-10,1716231000
2001-08-13,1716754935
2001-08-14,1703130000
2001-08-15,1724615639
2001-08-16,1683740624
2001-08-17,1649153880
2001-08-20,1629764400
2001-08-21,1593605640
2001-08-22,1559019000
2001-08-23,1590985440
2001-08-24,1623475920
2001-08-27,1629764400
2001-08-28,1627668240
2001-08-29,1603562400
2001-08-30,1630812480
2001-08-31,1635004800
2001-09-04,1664351040
2001-09-05,1648629840
2001-09-06,1636576920
2001-09-07,1486701480
2001-09-10,1341542400
2001-09-17,1257696000
2001-09-18,1239354600
2001-09-19,1388181960
2001-09-20,1261364280
2001-09-21,1309575960
2001-09-24,1445826360
2001-09-25,1472552400
2001-09-26,1430629200
2001-09-27,1473076440
2001-09-28,1501374600
2001-10-01,1458100020
2001-10-02,1527082000
2001-10-03,1629765100
2001-10-04,1598170300
2001-10-05,1540246500
2001-10-08,1516023820
2001-10-09,1512337760
2001-10-10,1590271600
2001-10-11,1632398000
2001-10-12,1556043900
2001-10-15,1582899480
2001-10-16,1563942600
2001-10-17,1571314720
2001-10-18,1552357840
2001-10-19,1613967700
2001-10-22,1666099120
2001-10-23,1670311760
2001-10-24,1591324760
2001-10-25,1543405980
2001-10-26,1558676800
2001-10-29,1518656720
2001-10-30,1466525300
2001-10-31,1488115080
2001-11-01,1495487200
2001-11-02,1518130140
2001-11-05,1550778100
2001-11-06,1531821220
2001-11-07,1531821220
2001-11-08,1527082000
2001-11-09,1532347800
2001-11-12,1566575500
2001-11-13,1635030900
2001-11-14,1733501254
2001-11-15,1740873585
2001-11-16,1739820320
2001-11-19,1745612805
2001-11-20,1720863440
2001-11-21,1711385000
2001-11-23,1721916600
2001-11-26,1698746974
2001-11-27,1705592620
2001-11-28,1658727000
2001-11-29,1682423100
2001-11-30,1760883414
2001-12-03,1708225414
2001-12-04,1720336754
2001-12-05,1907272865
2001-12-06,1906746180
2001-12-07,1897794320
2001-12-10,1859354085
2001-12-11,1806169399
2001-12-12,1819860585
2001-12-13,1837764305
2001-12-14,1866726100
2001-12-17,1980993854
2001-12-18,2011008914
2001-12-19,2001004000
2001-12-20,1968356145
2001-12-21,1958877600
2001-12-24,1947292839
2001-12-26,1950452320
2001-12-27,1983626754
2001-12-28,1937287820
2001-12-31,1928679585
2002-01-02,1860459120
2002-01-03,1775844825
2002-01-04,1686999600
2002-01-07,1585462320
2002-01-08,1559549160
2002-01-09,1577000880
2002-01-10,1586520000
2002-01-11,1565366400
2002-01-14,1569597120
2002-01-15,1612433160
2002-01-16,1601327520
2002-01-17,1624596480
2002-01-18,1591279560
2002-01-22,1623538800
2002-01-23,1630942560
2002-01-24,1620365760
2002-01-25,1636759800
2002-01-28,1684355400
2002-01-29,1655269200
2002-01-30,1691230320
2002-01-31,1749931560
2002-02-01,1763681294
2002-02-04,1729306800
2002-02-05,1755219854
2002-02-06,1697576294
2002-02-07,1705509000
2002-02-08,1746229680
2002-02-11,1812863414
2002-02-12,1837190265
2002-02-13,1876324319
2002-02-14,1849882319
2002-02-15,1846709174
2002-02-19,1783248585
2002-02-20,1799113680
2002-02-21,1764210240
2002-02-22,1734595199
2002-02-25,1750989240
2002-02-26,1792767705
2002-02-27,1741470120
2002-02-28,1747816199
2002-03-01,1734595199
2002-03-04,1715556854
2002-03-05,1655798040
2002-03-06,1693345680
2002-03-07,1729306800
2002-03-08,1731951000
2002-03-11,1689114960
2002-03-12,1692288000
2002-03-13,1683826560
2002-03-14,1678009320
2002-03-15,1696518825
2002-03-18,1684355400
2002-03-19,1687528440
2002-03-20,1702335854
2002-03-21,1675893960
2002-03-22,1690701480
2002-03-25,1679067000
2002-03-26,1693345680
2002-03-27,1697576294
2002-03-28,1669547880
2002-04-01,1588556520
2002-04-02,1536559680
2002-04-03,1498888500
2002-04-04,1513214160
2002-04-05,1545048960
2002-04-08,1556191140
2002-04-09,1531784460
2002-04-10,1545579540
2002-04-11,1538682000
2002-04-12,1544518380
2002-04-15,1517989380
2002-04-16,1538682000
2002-04-17,1477665300
2002-04-18,1467053700
2002-04-19,1498888500
2002-04-22,1539743160
2002-04-23,1538682000
2002-04-24,1629411180
2002-04-25,1747199940
2002-04-26,1716426193
2002-04-29,1724385000
2002-04-30,1718548620
2002-05-01,1759403279
2002-05-02,1773198253
2002-05-03,1734465913
2002-05-06,1725976633
2002-05-07,1690427880
2002-05-08,1712181660
2002-05-09,1672388160
2002-05-10,1640022780
2002-05-13,1631533500
2002-05-14,1703692380
2002-05-15,1736588339
2002-05-16,1707406440
2002-05-17,1736057866
2002-05-20,1696264260
2002-05-21,1605535080
2002-05-22,1679816280
2002-05-23,1723323839
2002-05-24,1703161693
2002-05-28,1693611360
2002-05-29,1659654240
2002-05-30,1697325420
2002-05-31,1706345279
2002-06-03,1691489040
2002-06-04,1660715400
2002-06-05,1690427880
2002-06-06,1681408020
2002-06-07,1728629746
2002-06-10,1738179973
2002-06-11,1714304086
2002-06-12,1685652660
2002-06-13,1636839300
2002-06-14,1676632800
2002-06-17,1626227700
2002-06-18,1597045800
2002-06-19,1571577960
2002-06-20,1551946500
2002-06-21,1544518380
2002-06-24,1522764600
2002-06-25,1505255460
2002-06-26,1536559680
2002-06-27,1542926640
2002-06-28,1462278480
2002-07-01,1468493070
2002-07-02,1449877620
2002-07-03,1463174370
2002-07-05,1506255840
2002-07-08,1506787710
2002-07-09,1427539080
2002-07-10,1446686400
2002-07-11,1465301850
2002-07-12,1456260060
2002-07-15,1441367700
2002-07-16,1429666560
2002-07-17,1483917300
2002-07-18,1466897460
2002-07-19,1417433550
2002-07-22,1369033380
2002-07-23,1337653050
2002-07-24,1486576650
2002-07-25,1446686400
2002-07-26,1532849340
2002-07-29,1569016500
2002-07-30,1538699910
2002-07-31,1498809660
2002-08-01,1443495180
2002-08-02,1382862000
2002-08-05,1382862000
2002-08-06,1437112740
2002-08-07,1436580870
2002-08-08,1445090790
2002-08-09,1471684290
2002-08-12,1444558920
2002-08-13,1450941360
2002-08-14,1510510800
2002-08-15,1576994550
2002-08-16,1578058290
2002-08-19,1595078130
2002-08-20,1570080240
2002-08-21,1605715530
2002-08-22,1619544150
2002-08-23,1596141870
2002-08-26,1634436510
2002-08-27,1601992440
2002-08-28,1615289190
2002-08-29,1601992440
2002-08-30,1583908860
2002-09-03,1542423000
2002-09-04,1582313250
2002-09-05,1564761540
2002-09-06,1617416670
2002-09-09,1639755210
2002-09-10,1680709200
2002-09-11,1699856520
2002-09-12,1645605780
2002-09-13,1646669520
2002-09-16,1658370660
2002-09-17,1632840900
2002-09-18,1629649680
2002-09-19,1616884800
2002-09-20,1592418780
2002-09-23,1543486740
2002-09-24,1534976820
2002-09-25,1619544150
2002-09-26,1607843010
2002-09-27,1561570320
2002-09-30,1526132880
2002-10-01,1531998520
2002-10-02,1497337920
2002-10-03,1465876760
2002-10-04,1445080400
2002-10-07,1348030720
2002-10-08,1449346320
2002-10-09,1377892160
2002-10-10,1410953040
2002-10-11,1470142680
2002-10-14,1501603840
2002-10-15,1516001320
2002-10-16,1482407200
2002-10-17,1589588440
2002-10-18,1594387600
2002-10-21,1643445680
2002-10-22,1661575840
2002-10-23,1476008320
2002-10-24,1427483480
2002-10-25,1436548560
2002-10-28,1444013920
2002-10-29,1429616440
2002-10-30,1429083200
2002-10-31,1454145480
2002-11-01,1459477880
2002-11-04,1360828480
2002-11-05,1410419800
2002-11-06,1404554160
2002-11-07,1373093000
2002-11-08,1376825680
2002-11-11,1362961440
2002-11-12,1370426800
2002-11-13,1382158080
2002-11-14,1391756400
2002-11-15,1365094400
2002-11-18,1346431000
2002-11-19,1330967040
2002-11-20,1413086000
2002-11-21,1506403000
2002-11-22,1489339320
2002-11-25,1479741000
2002-11-26,1407753600
2002-11-27,1491472280
2002-11-29,1480274240
2002-12-02,1475475080
2002-12-03,1470142680
2002-12-04,1474941840
2002-12-05,1481340720
2002-12-06,1466410000
2002-12-09,1436548560
2002-12-10,1445080400
2002-12-11,1425350520
2002-12-12,1402421200
2002-12-13,1361894960
2002-12-16,1410419800
2002-12-17,1377892160
2002-12-18,1350696920
2002-12-19,1320302240
2002-12-20,1344298040
2002-12-23,1318702520
2002-12-24,1325101400
2002-12-26,1328300840
2002-12-27,1312303640
2002-12-30,1335232960
2002-12-31,1350536580
2003-01-02,1363887080
2003-01-03,1326505680
2003-01-06,1360148940
2003-01-07,1341992260
2003-01-08,1325971660
2003-01-09,1343594320
2003-01-10,1337720100
2003-01-13,1333447940
2003-01-14,1347332460
2003-01-15,1350536580
2003-01-16,1361216980
2003-01-17,1358012860
2003-01-21,1323301560
2003-01-22,1316359300
2003-01-23,1329709800
2003-01-24,1313155180
2003-01-27,1276307800
2003-01-28,1293396440
2003-01-29,1305144880
2003-01-30,1301940760
2003-01-31,1304610860
2003-02-03,1310485080
2003-02-04,1283250060
2003-02-05,1271501620
2003-02-06,1255481020
2003-02-07,1252810920
2003-02-10,1228780020
2003-02-11,1235188260
2003-02-12,1245868660
2003-02-13,1257617100
2003-02-14,1249072780
2003-02-18,1280045940
2003-02-19,1238926400
2003-02-20,1239460420
2003-02-21,1266161420
2003-02-24,1267763480
2003-02-25,1241596500
2003-02-26,1239994440
2003-02-27,1314757240
2003-02-28,1363353060
2003-03-03,1352672660
2003-03-04,1286454180
2003-03-05,1292328400
2003-03-06,1320631460
2003-03-07,1320097440
2003-03-10,1305678900
2003-03-11,1335050000
2003-03-12,1335050000
2003-03-13,1385247880
2003-03-14,1421561240
2003-03-17,1464282840
2003-03-18,1468555000
2003-03-19,1465884900
2003-03-20,1434377720
2003-03-21,1443456060
2003-03-24,1426901440
2003-03-25,1425833400
2003-03-26,1460544700
2003-03-27,1415687020
2003-03-28,1411414860
2003-03-31,1451872380
2003-04-01,1442218260
2003-04-02,1491561540
2003-04-03,1496388600
2003-04-04,1506042720
2003-04-07,1495852260
2003-04-08,1514624160
2003-04-09,1497997620
2003-04-10,1496388600
2003-04-11,1481371080
2003-04-14,1505506380
2003-04-15,1512478800
2003-04-16,1481907420
2003-04-17,1515696840
2003-04-21,1506579060
2003-04-22,1566112800
2003-04-23,1587566400
2003-04-24,1597220520
2003-04-25,1566649140
2003-04-28,1576839600
2003-04-29,1597756860
2003-04-30,1588639080
2003-05-01,1598293200
2003-05-02,1638518700
2003-05-05,1674453480
2003-05-06,1662654000
2003-05-07,1641200400
2003-05-08,1629937260
2003-05-09,1638518700
2003-05-12,1663190340
2003-05-13,1648709160
2003-05-14,1635300660
2003-05-15,1635300660
2003-05-16,1633691640
2003-05-19,1552704300
2003-05-20,1572012540
2003-05-21,1568258160
2003-05-22,1598829540
2003-05-23,1585421040
2003-05-27,1633155300
2003-05-28,1637982360
2003-05-29,1638518700
2003-05-30,1636373340
2003-06-02,1663190340
2003-06-03,1652999880
2003-06-04,1663726680
2003-06-05,1717360680
2003-06-06,1719506147
2003-06-09,1729160267
2003-06-10,1756513500
2003-06-11,1783866732
2003-06-12,1855200060
2003-06-13,1847691300
2003-06-16,1884162527
2003-06-17,1875044640
2003-06-18,1828919292
2003-06-19,1793520852
2003-06-20,1816047240
2003-06-23,1772603699
2003-06-24,1770458232
2003-06-25,1759195199
2003-06-26,1803711527
2003-06-27,1806393120
2003-06-30,1810392408
2003-07-01,1813637591
2003-07-02,1834732691
2003-07-03,1835814491
2003-07-07,1859073191
2003-07-08,1974825791
2003-07-09,2001330000
2003-07-10,1950485508
2003-07-11,1951026300
2003-07-14,1941831108
2003-07-15,2021884308
2003-07-16,1992675600
2003-07-17,1915867691
2003-07-18,1947240000
2003-07-21,1870432308
2003-07-22,1893690791
2003-07-23,1893690791
2003-07-24,1899099900
2003-07-25,1947780791
2003-07-28,1934799300
2003-07-29,1958598900
2003-07-30,2040815699
2003-07-31,2064074399
2003-08-01,2022966108
2003-08-04,1992675600
2003-08-05,1922899499
2003-08-06,1899640691
2003-08-07,1879627500
2003-08-08,1881250091
2003-08-11,1887200100
2003-08-12,1920195000
2003-08-13,1933717500
2003-08-14,1941290100
2003-08-15,1939126391
2003-08-18,1984561991
2003-08-19,2012688900
2003-08-20,2027834208
2003-08-21,2043520091
2003-08-22,2057042591
2003-08-25,2038111200
2003-08-26,1998625500
2003-08-27,2015393291
2003-08-28,2011606991
2003-08-29,2074351391
2003-09-02,2091660191
2003-09-03,2107887408
2003-09-04,2090578608
2003-09-05,2085169499
2003-09-08,2086251300
2003-09-09,2039193000
2003-09-10,2012148000
2003-09-11,2026752300
2003-09-12,2020261500
2003-09-15,2051633700
2003-09-16,2052715500
2003-09-17,2064615300
2003-09-18,2058665400
2003-09-19,2079760500
2003-09-22,2093283000
2003-09-23,2133850500
2003-09-24,2134391400
2003-09-25,2060829000
2003-09-26,2024047800
2003-09-29,2037029399
2003-09-30,2005563199
2003-10-01,2077501879
2003-10-02,2084586750
2003-10-03,2147805590
2003-10-06,2165245270
2003-10-07,2173420120
2003-10-08,2139630740
2003-10-09,2152710500
2003-10-10,2139685239
2003-10-13,2152710500
2003-10-14,2124371019
2003-10-15,2116741160
2003-10-16,2127095970
2003-10-17,2102571420
2003-10-20,2106386350
2003-10-21,2129820920
2003-10-22,2096031540
2003-10-23,2169060200
2003-10-24,2152710500
2003-10-27,2280238160
2003-10-28,2316207500
2003-10-29,2366401079
2003-10-30,2442100190
2003-10-31,2368526540
2003-11-03,2365801590
2003-11-04,2336917120
2003-11-05,2355446780
2003-11-06,2367981550
2003-11-07,2339642070
2003-11-10,2320567420
2003-11-11,2311847580
2003-11-12,2354901790
2003-11-13,2315662510
2003-11-14,2281873130
2003-11-17,2281873130
2003-11-18,2220834250
2003-11-19,2220289260
2003-11-20,2204484550
2003-11-21,2248083750
2003-11-24,2316207500
2003-11-25,2339642070
2003-11-26,2358716720
2003-11-28,2371796480
2003-12-01,2387056200
2003-12-02,2360351690
2003-12-03,2341277040
2003-12-04,2374521430
2003-12-05,2339642070
2003-12-08,2335282150
2003-12-09,2324382350
2003-12-10,2181594970
2003-12-11,2198489660
2003-12-12,2201214610
2003-12-15,2163065310
2003-12-16,2123281040
2003-12-17,2125461000
2003-12-18,2132000879
2003-12-19,2094396570
2003-12-22,2114016210
2003-12-23,2129820920
2003-12-24,2120011100
2003-12-26,2105841360
2003-12-29,2109111300
2003-12-30,2099301480
2003-12-31,2109000640
2004-01-02,2073996480
2004-01-05,2070167900
2004-01-06,2057588279
2004-01-07,2041727020
2004-01-08,2037351500
2004-01-09,2011645320
2004-01-12,2101343480
2004-01-13,2102984300
2004-01-14,2088216920
2004-01-15,2078918940
2004-01-16,2084935279
2004-01-20,2077278119
2004-01-21,2111188400
2004-01-22,2148380320
2004-01-23,2153849720
2004-01-26,2157131360
2004-01-27,2111188400
2004-01-28,2092045500
2004-01-29,2105719000
2004-01-30,2111188400
2004-02-02,2081106699
2004-02-03,2047196420
2004-02-04,2054306640
2004-02-05,2053759699
2004-02-06,2106812880
2004-02-09,2117751680
2004-02-10,2123768020
2004-02-11,2156584420
2004-02-12,2150568080
2004-02-13,2151661960
2004-02-17,2177368140
2004-02-18,2239172360
2004-02-19,2270347940
2004-02-20,2235890720
2004-02-23,2232609080
2004-02-24,2268160180
2004-02-25,2269801000
2004-02-26,2167523220
2004-02-27,2222217220
2004-03-01,2229327440
2004-03-02,2231515200
2004-03-03,2204168200
2004-03-04,2182837540
2004-03-05,2182290600
2004-03-08,2146192560
2004-03-09,2138535400
2004-03-10,2135800699
2004-03-11,2062510740
2004-03-12,2089310800
2004-03-15,2083294460
2004-03-16,2124861900
2004-03-17,2187760000
2004-03-18,2182290600
2004-03-19,2145098680
2004-03-22,2122127199
2004-03-23,2131972119
2004-03-24,2089310800
2004-03-25,2144004800
2004-03-26,2096967960
2004-03-29,2146192560
2004-03-30,2153849720
2004-03-31,2199557360
2004-04-01,2199008020
2004-04-02,2207248120
2004-04-05,2276464960
2004-04-06,2252294000
2004-04-07,2255590040
2004-04-08,2221530960
2004-04-12,2213840200
2004-04-13,2163850260
2004-04-14,2180879800
2004-04-15,2189119900
2004-04-16,2194613300
2004-04-19,2205600100
2004-04-20,2216586900
2004-04-21,2233067100
2004-04-22,2289099780
2004-04-23,2271520900
2004-04-26,2309974700
2004-04-27,2336343020
2004-04-28,2507737100
2004-04-29,2465437920
2004-04-30,2466536600
2004-05-03,2447309700
2004-05-04,2451155080
2004-05-05,2470381980
2004-05-06,2429181480
2004-05-07,2371500780
2004-05-10,2323158860
2004-05-11,2329750940
2004-05-12,2323708200
2004-05-13,2291846480
2004-05-14,2302283940
2004-05-17,2267126180
2004-05-18,2309974700
2004-05-19,2322609520
2004-05-20,2335793680
2004-05-21,2340737740
2004-05-24,2357767280
2004-05-25,2405559860
2004-05-26,2425885440
2004-05-27,2422589400
2004-05-28,2468733960
2004-06-01,2463240560
2004-06-02,2504441060
2004-06-03,2452253760
2004-06-04,2436872240
2004-06-07,2472030000
2004-06-08,2461592540
2004-06-09,2458296500
2004-06-10,2441816300
2004-06-14,2412371676
2004-06-15,2467635280
2004-06-16,2413250620
2004-06-17,2425885440
2004-06-18,2451155080
2004-06-21,2487960860
2004-06-22,2489059540
2004-06-23,2493454260
2004-06-24,2498947660
2004-06-25,2568164500
2004-06-28,2542894860
2004-06-29,2536852120
2004-06-30,2492328000
2004-07-01,2469720600
2004-07-02,2449318800
2004-07-06,2432225400
2004-07-07,2423954400
2004-07-08,2315880000
2004-07-09,2315880000
2004-07-12,2337384600
2004-07-13,2325253800
2004-07-14,2302646400
2004-07-15,2271768000
2004-07-16,2250814800
2004-07-19,2237029800
2004-07-20,2280590400
2004-07-21,2252469000
2004-07-22,2203945800
2004-07-23,2189609400
2004-07-26,2205048600
2004-07-27,2274525000
2004-07-28,2191815000
2004-07-29,2218282200
2004-07-30,2232618600
2004-08-02,2222693400
2004-08-03,2126198400
2004-08-04,2151562800
2004-08-05,2050656599
2004-08-06,2064441599
2004-08-09,2068301400
2004-08-10,2103591000
2004-08-11,2122890000
2004-08-12,2047899600
2004-08-13,2043488400
2004-08-16,2083740600
2004-08-17,2144946000
2004-08-18,2157076800
2004-08-19,2169759000
2004-08-20,2210562600
2004-08-23,2198431800
2004-08-24,2128404000
2004-08-25,2148805800
2004-08-26,2196777600
2004-08-27,2205600000
2004-08-30,2192366400
2004-08-31,2173067400
2004-09-01,2178030000
2004-09-02,2205048600
2004-09-03,2207805600
2004-09-07,2202291600
2004-09-08,2201188800
2004-09-09,2203945800
2004-09-10,2189058000
2004-09-13,2237029800
2004-09-14,2249712000
2004-09-15,2229861600
2004-09-16,2250263400
2004-09-17,2276730600
2004-09-20,2257983000
2004-09-21,2250263400
2004-09-22,2195123400
2004-09-23,2164245000
