,CCL
2001-02-07,19724675089
2001-02-08,19555138184
2001-02-09,19186834560
2001-02-12,19075759624
2001-02-13,18549611840
2001-02-14,18239770184
2001-02-15,18613918720
2001-02-16,18958837440
2001-02-20,19262834184
2001-02-21,18824378184
2001-02-22,18181308800
2001-02-23,17544086080
2001-02-26,18064387200
2001-02-27,19145912000
2001-02-28,19475561000
2001-03-01,18844677831
2001-03-02,18254687500
2001-03-05,17810733500
2001-03-06,18184588915
2001-03-07,17962612500
2001-03-08,17816575000
2001-03-09,17553706915
2001-03-12,16017393000
2001-03-13,16543128000
2001-03-14,15550073584
2001-03-15,16332833415
2001-03-16,16116698500
2001-03-19,15988186084
2001-03-20,15795416584
2001-03-21,14738104500
2001-03-22,14212369499
2001-03-23,14603750000
2001-03-26,14919191584
2001-03-27,15567597500
2001-03-28,15742843084
2001-03-29,16140063915
2001-03-30,16163430500
2001-04-02,15865514000
2001-04-03,15106119584
2001-04-04,15526706999
2001-04-05,16315309500
2001-04-06,15888880584
2001-04-09,16163430500
2001-04-10,16210162500
2001-04-11,16151747500
2001-04-12,16087491584
2001-04-16,15958978000
2001-04-17,15479975000
2001-04-18,17232425000
2001-04-19,16332833415
2001-04-20,15187900000
2001-04-23,15468292000
2001-04-24,15041862500
2001-04-25,14732262415
2001-04-26,14714739084
2001-04-27,15193741500
2001-04-30,15479975000
2001-05-01,16034918084
2001-05-02,16473030584
2001-05-03,16274419584
2001-05-04,16397090500
2001-05-07,16297785000
2001-05-08,16420457084
2001-05-09,16648275000
2001-05-10,16835203000
2001-05-11,16554811000
2001-05-14,16210162500
2001-05-15,16484712415
2001-05-16,16952033000
2001-05-17,17349255584
2001-05-18,17004607084
2001-05-21,17244108000
2001-05-22,17261631915
2001-05-23,17174010000
2001-05-24,17232425000
2001-05-25,16817679084
2001-05-29,16630749915
2001-05-30,16362041500
2001-05-31,16634695524
2001-06-01,16581661900
2001-06-04,16493274096
2001-06-05,16717191947
2001-06-06,16239893447
2001-06-07,16180967852
2001-06-08,16074902959
2001-06-11,15839199400
2001-06-12,15685994031
2001-06-13,15579927960
2001-06-14,15326547311
2001-06-15,15556357132
2001-06-18,15562249692
2001-06-19,15627067847
2001-06-20,15467968740
2001-06-21,16734869036
2001-06-22,16835042548
2001-06-25,16817365459
2001-06-26,17117884816
2001-06-27,17536257131
2001-06-28,17801421720
2001-06-29,18090158315
2001-07-02,18090158315
2001-07-03,18084265756
2001-07-05,17878025583
2001-07-06,17324124988
2001-07-09,17542149691
2001-07-10,17530364572
2001-07-11,17553935399
2001-07-12,17677678560
2001-07-13,18131405643
2001-07-16,18119620524
2001-07-17,18596917255
2001-07-18,18408355940
2001-07-19,19032966660
2001-07-20,18726554743
2001-07-23,18426033619
2001-07-24,18031232131
2001-07-25,19150818440
2001-07-26,19857926171
2001-07-27,19439555034
2001-07-30,19763645219
2001-07-31,19681149975
2001-08-01,19339380344
2001-08-02,19527941660
2001-08-03,19298132428
2001-08-06,18950471416
2001-08-07,18714769035
2001-08-08,18443710708
2001-08-09,18266934512
2001-08-10,18649950880
2001-08-13,18390677672
2001-08-14,18166761000
2001-08-15,17948735708
2001-08-16,17978199095
2001-08-17,17624645524
2001-08-20,17889811291
2001-08-21,18007661303
2001-08-22,18278719631
2001-08-23,19168495529
2001-08-24,19445446416
2001-08-27,19592760404
2001-08-28,18785479160
2001-08-29,18655843440
2001-08-30,18337645815
2001-08-31,18332456270
2001-09-04,18080443026
2001-09-05,17945646144
2001-09-06,17851872820
2001-09-07,17025505732
2001-09-10,16714886065
2001-09-17,11387455689
2001-09-18,11469506321
2001-09-19,11281962018
2001-09-20,10578670293
2001-09-21,11170607001
2001-09-24,11932506907
2001-09-25,12149354422
2001-09-26,12840924042
2001-09-27,12893670878
2001-09-28,12905392396
2001-10-01,12629936114
2001-10-02,13069493076
2001-10-03,13901720924
2001-10-04,13579379738
2001-10-05,13784506320
2001-10-08,12911253742
2001-10-09,12542025308
2001-10-10,13098797460
2001-10-11,13479746827
2001-10-12,13655569025
2001-10-15,13298063868
2001-10-16,13157405641
2001-10-17,12483417127
2001-10-18,12442392397
2001-10-19,12079025894
2001-10-22,12307594929
2001-10-23,12290012064
2001-10-24,12161075941
2001-10-25,12506860751
2001-10-26,12389644975
2001-10-29,12190379153
2001-10-30,12606493662
2001-10-31,12764734755
2001-11-01,13274620244
2001-11-02,13813810117
2001-11-05,14030658805
2001-11-06,14288531050
2001-11-07,13995493076
2001-11-08,14183038551
2001-11-09,14153734168
2001-11-12,14065822776
2001-11-13,14739810117
2001-11-14,14563987332
2001-11-15,14886329104
2001-11-16,15009405639
2001-11-19,15302443614
2001-11-20,15179367079
2001-11-21,14780834847
2001-11-23,14939075940
2001-11-26,15179367079
2001-11-27,15191088598
2001-11-28,14927353834
2001-11-29,14985962015
2001-11-30,15310852366
2001-12-03,15387083520
2001-12-04,15392947500
2001-12-05,15961752973
2001-12-06,16190449366
2001-12-07,16225632660
2001-12-10,15832746000
2001-12-11,15592322820
2001-12-12,15568866313
2001-12-13,15680282520
2001-12-14,16008664813
2001-12-17,15733058339
2001-12-18,15961752973
2001-12-19,16049713846
2001-12-20,16208040133
2001-12-21,16202176153
2001-12-24,16184584800
2001-12-26,16231496640
2001-12-27,16401551473
2001-12-28,16583336026
2001-12-31,16466055839
2002-01-02,16213904700
2002-01-03,16202176153
2002-01-04,16677159706
2002-01-07,16495375153
2002-01-08,16108352473
2002-01-09,15639234660
2002-01-10,15996938026
2002-01-11,15615778153
2002-01-14,15346035660
2002-01-15,15252211980
2002-01-16,15281531293
2002-01-17,15516090493
2002-01-18,15275667313
2002-01-22,15082155973
2002-01-23,15275667313
2002-01-24,15463315846
2002-01-25,15867929293
2002-01-28,15867929293
2002-01-29,15862065313
2002-01-30,15574730293
2002-01-31,15856202506
2002-02-01,15762377653
2002-02-04,15281531293
2002-02-05,15410540026
2002-02-06,15164252866
2002-02-07,15052836660
2002-02-08,15609915346
2002-02-11,15299123820
2002-02-12,14982468313
2002-02-13,15527819040
2002-02-14,15498499140
2002-02-15,15011788800
2002-02-19,14771366206
2002-02-20,15093884520
2002-02-21,15058700640
2002-02-22,15205300140
2002-02-25,15322579153
2002-02-26,15574730293
2002-02-27,15639234660
2002-02-28,16059834806
2002-03-01,16560048326
2002-03-04,16907256763
2002-03-05,17119112400
2002-03-06,17548708551
2002-03-07,17895916400
2002-03-08,18519712963
2002-03-11,18519712963
2002-03-12,18119542382
2002-03-13,18243124249
2002-03-14,18178389993
2002-03-15,19237668176
2002-03-18,19355365751
2002-03-19,19178819976
2002-03-20,19155279872
2002-03-21,18984617799
2002-03-22,19008157903
2002-03-25,18655066352
2002-03-26,18861035933
2002-03-27,19202360080
2002-03-28,19214130426
2002-04-01,19090546206
2002-04-02,18731569188
2002-04-03,18407901443
2002-04-04,18243124249
2002-04-05,18307858504
2002-04-08,18354937534
2002-04-09,18660950054
2002-04-10,19402445959
2002-04-11,19067008456
2002-04-12,19090546206
2002-04-15,19019928249
2002-04-16,19243554231
2002-04-17,19225897829
2002-04-18,18831612128
2002-04-19,18908116140
2002-04-22,18831612128
2002-04-23,19008157903
2002-04-24,19202360080
2002-04-25,19172936274
2002-04-26,18919886486
2002-04-29,18896346383
2002-04-30,19602531837
2002-05-01,20349912032
2002-05-02,19796731661
2002-05-03,19626069587
2002-05-06,19155279872
2002-05-07,18566791993
2002-05-08,18713913963
2002-05-09,18572676872
2002-05-10,18201930097
2002-05-13,18749224413
2002-05-14,19037581708
2002-05-15,19196474024
2002-05-16,19367136097
2002-05-17,19231783885
2002-05-20,18766877872
2002-05-21,18719798842
2002-05-22,18449095006
2002-05-23,18407901443
2002-05-24,18213700443
2002-05-28,18101887158
2002-05-29,18013614564
2002-05-30,17731139205
2002-05-31,17834828800
2002-06-03,17218823200
2002-06-04,17248156800
2002-06-05,17400691520
2002-06-06,17171889440
2002-06-07,17324424746
2002-06-10,17512159200
2002-06-11,17271624266
2002-06-12,16984154986
2002-06-13,16913753759
2002-06-14,16690818986
2002-06-17,17124956266
2002-06-18,17060421759
2002-06-19,17271624266
2002-06-20,17130822986
2002-06-21,17019354720
2002-06-24,16720152000
2002-06-25,16344682506
2002-06-26,16104146986
2002-06-27,16250814986
2002-06-28,16244948266
2002-07-01,15904678506
2002-07-02,15675875253
2002-07-03,15928144800
2002-07-05,16555883253
2002-07-08,16514816800
2002-07-09,16356414773
2002-07-10,15664142986
2002-07-11,15851877440
2002-07-12,15916410773
2002-07-15,15494007520
2002-07-16,15429473013
2002-07-17,15423607466
2002-07-18,15376672533
2002-07-19,14795867253
2002-07-22,14138795200
2002-07-23,13851326506
2002-07-24,14960136000
2002-07-25,14754800800
2002-07-26,14684400746
2002-07-29,15693476000
2002-07-30,15752143200
2002-07-31,15546808000
2002-08-01,15077470986
2002-08-02,14044928266
2002-08-05,13780925280
2002-08-06,14267863040
2002-08-07,14338264266
2002-08-08,14807601280
2002-08-09,14637466986
2002-08-12,14842801013
2002-08-13,14379330720
2002-08-14,14643332533
2002-08-15,15106804000
2002-08-16,15018803200
2002-08-19,15511608266
2002-08-20,15118537440
2002-08-21,15253472000
2002-08-22,15670008533
2002-08-23,15482273493
2002-08-26,15458807200
2002-08-27,15194804800
2002-08-28,14666800000
2002-08-29,14291330506
2002-08-30,14355863253
2002-09-03,13792790687
2002-09-04,14176744176
2002-09-05,13881395339
2002-09-06,14294884301
2002-09-09,14359859864
2002-09-10,14885581975
2002-09-11,15121860454
2002-09-12,14667023245
2002-09-13,15015534873
2002-09-16,15015534873
2002-09-17,14708372082
2002-09-18,14619767431
2002-09-19,13763255213
2002-09-20,14873767431
2002-09-23,15180930812
2002-09-24,14472093013
2002-09-25,15003720919
2002-09-26,15121860454
2002-09-27,15121860454
2002-09-30,14826511617
2002-10-01,14832419184
2002-10-02,14353952887
2002-10-03,14253534282
2002-10-04,13987720920
2002-10-07,13172557539
2002-10-08,14052698255
2002-10-09,13509256395
2002-10-10,13538790688
2002-10-11,14454371492
2002-10-14,14159022655
2002-10-15,14348047092
2002-10-16,14200372673
2002-10-17,14418930222
2002-10-18,14519348826
2002-10-21,14986000580
2002-10-22,14885581975
2002-10-23,15358139524
2002-10-24,15157302314
2002-10-25,16143767430
2002-10-28,15742093012
2002-10-29,15866140114
2002-10-30,15736185444
2002-10-31,15429023835
2002-11-01,16001999988
2002-11-04,16817162188
2002-11-05,17260185443
2002-11-06,17579162778
2002-11-07,17023906964
2002-11-08,17212929629
2002-11-11,16728558127
2002-11-12,16823069755
2002-11-13,17000279648
2002-11-14,17065255211
2002-11-15,17360604048
2002-11-18,17000279648
2002-11-19,16563163369
2002-11-20,16439116267
2002-11-21,17183395336
2002-11-22,16958929629
2002-11-25,16758093602
2002-11-26,16143767430
2002-11-27,16693116267
2002-11-29,16569069165
2002-12-02,15967363628
2002-12-03,15528636356
2002-12-04,15759544869
2002-12-05,15465136933
2002-12-06,15569044869
2002-12-09,15020636356
2002-12-10,15153409083
2002-12-11,15239999992
2002-12-12,15222682388
2002-12-13,14985999415
2002-12-16,15274635779
2002-12-17,15188044870
2002-12-18,15286181810
2002-12-19,14703135779
2002-12-20,14755090324
2002-12-23,14472227265
2002-12-24,14501091479
2002-12-26,14501091479
2002-12-27,14177817597
2002-12-30,14299045447
2002-12-31,14402955115
2003-01-02,14795499415
2003-01-03,15037953961
2003-01-06,14870545447
2003-01-07,14876318174
2003-01-08,14524181811
2003-01-09,14379863629
2003-01-10,14402955115
2003-01-13,14374090902
2003-01-14,14426045447
2003-01-15,14402955115
2003-01-16,14535727265
2003-01-17,14512635779
2003-01-21,14172044870
2003-01-22,14091227266
2003-01-23,14096999993
2003-01-24,14143181811
2003-01-27,13970000570
2003-01-28,13941136357
2003-01-29,13970000570
2003-01-30,13583227843
2003-01-31,13912272720
2003-02-03,13970000570
2003-02-04,13508181811
2003-02-05,13479318175
2003-02-06,13381181811
2003-02-07,13265727266
2003-02-10,13236863630
2003-02-11,13231090902
2003-02-12,13190681811
2003-02-13,12751954539
2003-02-14,13421590902
2003-02-18,13583227843
2003-02-19,13415818175
2003-02-20,13664045448
2003-02-21,13767954538
2003-02-24,13242636934
2003-02-25,13213772143
2003-02-26,12809682389
2003-02-27,12913591480
2003-02-28,15474525652
2003-03-03,15164631589
2003-03-04,14787369105
2003-03-05,14740209862
2003-03-06,14403367757
2003-03-07,14726737526
2003-03-10,14295578283
2003-03-11,14026105273
2003-03-12,13978947378
2003-03-13,14868210536
2003-03-14,14922105273
2003-03-17,15797895421
2003-03-18,16101052642
2003-03-19,16471579632
2003-03-20,16633263843
2003-03-21,18021052644
2003-03-24,16842105275
2003-03-25,16936420390
2003-03-26,16707367759
2003-03-27,16774736853
2003-03-28,16518736853
2003-03-31,16242527000
2003-04-01,16047157906
2003-04-02,17017263169
2003-04-03,17145263843
2003-04-04,17111578959
2003-04-07,17717894075
2003-04-08,17482105949
2003-04-09,17125052643
2003-04-10,17084632264
2003-04-11,16848842117
2003-04-14,17414736854
2003-04-15,17839157907
2003-04-16,17522526328
2003-04-17,18196210539
2003-04-21,17994104602
2003-04-22,18539789486
2003-04-23,18384842791
2003-04-24,18155790160
2003-04-25,17643790159
2003-04-28,18270316476
2003-04-29,18661053318
2003-04-30,18586947381
2003-05-01,18634105276
2003-05-02,19179788813
2003-05-05,18977684223
2003-05-06,19375157908
2003-05-07,19422315803
2003-05-08,19146105276
2003-05-09,19368421066
2003-05-12,19725474371
2003-05-13,19658105276
2003-05-14,19550315803
2003-05-15,20015157235
2003-05-16,20008421740
2003-05-19,19617684898
2003-05-20,19489684224
2003-05-21,19233683550
2003-05-22,19489684224
2003-05-23,19455999339
2003-05-27,19637894750
2003-05-28,20156631593
2003-05-29,20264421066
2003-05-30,20614736856
2003-06-02,24828348625
2003-06-03,24748565218
2003-06-04,25243216594
2003-06-05,25410760870
2003-06-06,25091631233
2003-06-09,24932065218
2003-06-10,24589000001
2003-06-11,25370868768
2003-06-12,25897433986
2003-06-13,25618196451
2003-06-16,25809672318
2003-06-17,25905413842
2003-06-18,25809672318
2003-06-19,25171412247
2003-06-20,25841586160
2003-06-23,25578305147
2003-06-24,25538411449
2003-06-25,24732608697
2003-06-26,25578305147
2003-06-27,25434694855
2003-06-30,25937324492
2003-07-01,25873500001
2003-07-02,25761805147
2003-07-03,25793718988
2003-07-07,26112847827
2003-07-08,26312304349
2003-07-09,25793718988
2003-07-10,25634152973
2003-07-11,25618196451
2003-07-14,25530434784
2003-07-15,25506499203
2003-07-16,25195347827
2003-07-17,24796434783
2003-07-18,25163435581
2003-07-21,25402782610
2003-07-22,26208585362
2003-07-23,26041042681
2003-07-24,26009128840
2003-07-25,26328260871
2003-07-28,26806954927
2003-07-29,27173957321
2003-07-30,26886739929
2003-07-31,27373413842
2003-08-01,27301609494
2003-08-04,27189914640
2003-08-05,26798978262
2003-08-06,27126086958
2003-08-07,27309586958
2003-08-08,27134063623
2003-08-11,27022368768
2003-08-12,27373413842
2003-08-13,27277673116
2003-08-14,27692542681
2003-08-15,27868065218
2003-08-18,28314849423
2003-08-19,28402607101
2003-08-20,28386653771
2003-08-21,28570152973
2003-08-22,28211131234
2003-08-25,27923913045
2003-08-26,27724456523
2003-08-27,27293629638
2003-08-28,27277673116
2003-08-29,27596804349
2003-09-02,24689599986
2003-09-03,25128430289
2003-09-04,24869448471
2003-09-05,24819090895
2003-09-08,24819090895
2003-09-09,24502558281
2003-09-10,24034951501
2003-09-11,24135666653
2003-09-12,24797509077
2003-09-15,25106848471
2003-09-16,25329860592
2003-09-17,25171593925
2003-09-18,25416187864
2003-09-19,25250727258
2003-09-22,25286696955
2003-09-23,25689557561
2003-09-24,24653630289
2003-09-25,24581690895
2003-09-26,23675254532
2003-09-29,23905460592
2003-09-30,23660866653
2003-10-01,24358678774
2003-10-02,24452199986
2003-10-03,24380260592
2003-10-06,24689599986
2003-10-07,24632048471
2003-10-08,24804703016
2003-10-09,24747151501
2003-10-10,24516945441
2003-10-13,24725569683
2003-10-14,24739957562
2003-10-15,24502557562
2003-10-16,24891030289
2003-10-17,24488169683
2003-10-20,24337096956
2003-10-21,24078115138
2003-10-22,23739999987
2003-10-23,24013369683
2003-10-24,24128472714
2003-10-27,24567303016
2003-10-28,24855060592
2003-10-29,25056490895
2003-10-30,25301084834
2003-10-31,25114042410
2003-11-03,25394606046
2003-11-04,25034909077
2003-11-05,24718375744
2003-11-06,25056490895
2003-11-07,25430575743
2003-11-10,25315472713
2003-11-11,25178787865
2003-11-12,25610424228
2003-11-13,25754303016
2003-11-14,25315472713
2003-11-17,25099654531
2003-11-18,24610466653
2003-11-19,24545721198
2003-11-20,24459393926
2003-11-21,24574496956
2003-11-24,24797509077
2003-11-25,24998939380
2003-11-26,25236339380
2003-11-28,25315472713
2003-12-01,28663599999
2003-12-02,28436240000
2003-12-03,28493080000
2003-12-04,28826000000
2003-12-05,28623000000
2003-12-08,28663599999
2003-12-09,30092720000
2003-12-10,30100840000
2003-12-11,30872240000
2003-12-12,30888480000
2003-12-15,31188919999
2003-12-16,30888480000
2003-12-17,30669240000
2003-12-18,30750439999
2003-12-19,31765439999
2003-12-22,31960320000
2003-12-23,31944080000
2003-12-24,31570560000
2003-12-26,31603040000
2003-12-29,31927840000
2003-12-30,31887240000
2003-12-31,32260759999
2004-01-02,32333840000
2004-01-05,32829160000
2004-01-06,33089000000
2004-01-07,33153960000
2004-01-08,33486880000
2004-01-09,33316360000
2004-01-12,33324480000
2004-01-13,33145840000
2004-01-14,34331360000
2004-01-15,34810440000
2004-01-16,35443800000
2004-01-20,35646800000
2004-01-21,35484400000
2004-01-22,35557480000
2004-01-23,35484400000
2004-01-26,36012200000
2004-01-27,35338240000
2004-01-28,34704880000
2004-01-29,36044680000
2004-01-30,36069040000
2004-02-02,36442560000
2004-02-03,35728000000
2004-02-04,35200200000
2004-02-05,35622440000
2004-02-06,35914760000
2004-02-09,35663040000
2004-02-10,35614320000
2004-02-11,35809200000
2004-02-12,35549360000
2004-02-13,36077160000
2004-02-17,37059680000
2004-02-18,36629320000
2004-02-19,36377600000
2004-02-20,36174600000
2004-02-23,35955360000
2004-02-24,36458800000
2004-02-25,36661800000
2004-02-26,36458800000
2004-02-27,36028440000
2004-03-01,36641463434
2004-03-02,36617170751
2004-03-03,36771024410
2004-03-04,36924878068
2004-03-05,36932975629
2004-03-08,36633365873
2004-03-09,36633365873
2004-03-10,35961268312
2004-03-11,34382243921
2004-03-12,34770926848
2004-03-15,33580585384
2004-03-16,33127121969
2004-03-17,34511804896
2004-03-18,34552292701
2004-03-19,34422731725
2004-03-22,33985463433
2004-03-23,34252682945
2004-03-24,34698048799
2004-03-25,35167707336
2004-03-26,35524000019
2004-03-29,36098926848
2004-03-30,36188000019
2004-03-31,36366146361
2004-04-01,36932975629
2004-04-02,37200195142
2004-04-05,37362146361
2004-04-06,37548390264
2004-04-07,37232585386
2004-04-08,36868195141
2004-04-12,37046341483
2004-04-13,36204195141
2004-04-14,35718341482
2004-04-15,35702146360
2004-04-16,36196097580
2004-04-19,36090829287
2004-04-20,35726439043
2004-04-21,35758829287
2004-04-22,36082731726
2004-04-23,35872195141
2004-04-26,35443024409
2004-04-27,35362048799
2004-04-28,35183902458
2004-04-29,34924780506
2004-04-30,34552292701
2004-05-03,34568487823
2004-05-04,34827609774
2004-05-05,34981463433
2004-05-06,34552292701
2004-05-07,33604878067
2004-05-10,32957073188
2004-05-11,33183804896
2004-05-12,33135219530
2004-05-13,33191902457
2004-05-14,33305268310
2004-05-17,32511707334
2004-05-18,32706048798
2004-05-19,32592682944
2004-05-20,32633170749
2004-05-21,33119024408
2004-05-24,33451024408
2004-05-25,33872097579
2004-05-26,34034048798
2004-05-27,34600878067
2004-05-28,34503707335
2004-06-01,33913085937
2004-06-02,33608789062
2004-06-03,33328515624
2004-06-04,33728906249
2004-06-07,34345507812
2004-06-08,34649804687
2004-06-09,34513671875
2004-06-10,34713867187
2004-06-14,34441601562
2004-06-15,34914062500
2004-06-16,34882031250
2004-06-17,36203320312
2004-06-18,36235351562
2004-06-21,36547656250
2004-06-22,36571679687
2004-06-23,37316406250
2004-06-24,37428515625
2004-06-25,37580664062
2004-06-28,37636718750
2004-06-29,37620703125
2004-06-30,37636718750
2004-07-01,38285351562
2004-07-02,38285351562
2004-07-06,38165234375
2004-07-07,38085156250
2004-07-08,37436523437
2004-07-09,37236328125
2004-07-12,37308398437
2004-07-13,37004101562
2004-07-14,36755859375
2004-07-15,36683789062
2004-07-16,36579687500
2004-07-19,36579687500
2004-07-20,36811914062
2004-07-21,36371484375
2004-07-22,36307421875
2004-07-23,35546679687
2004-07-26,35234375000
2004-07-27,36403515625
2004-07-28,36891992187
2004-07-29,37452539062
2004-07-30,37324414062
2004-08-02,37164257812
2004-08-03,36563671875
2004-08-04,36563671875
2004-08-05,35594726562
2004-08-06,34914062500
2004-08-09,34689843750
2004-08-10,35234375000
2004-08-11,34986132812
2004-08-12,34393554687
2004-08-13,34745898437
2004-08-16,35202343750
2004-08-17,35506640625
2004-08-18,35738867187
2004-08-19,35955078125
2004-08-20,35834960937
2004-08-23,35714843750
