,GIS
2002-02-25,17447180000
2002-02-26,17527920000
2002-02-27,17381120000
2002-02-28,16970080000
2002-03-01,16859980000
2002-03-04,16148000000
2002-03-05,16515000000
2002-03-06,16676480000
2002-03-07,16661800000
2002-03-08,16882000000
2002-03-11,16984760000
2002-03-12,17175599999
2002-03-13,17197620000
2002-03-14,17388460000
2002-03-15,17718760000
2002-03-18,17630680000
2002-03-19,17616000000
2002-03-20,17337080000
2002-03-21,17616000000
2002-03-22,17718760000
2002-03-25,17814180000
2002-03-26,18034380000
2002-03-27,17938960000
2002-03-28,17931620000
2002-04-01,17711420000
2002-04-02,17718760000
2002-04-03,17682060000
2002-04-04,18056400000
2002-04-05,18049060000
2002-04-08,18063740000
2002-04-09,18217880000
2002-04-10,18291280000
2002-04-11,18276600000
2002-04-12,18416060000
2002-04-15,18041720000
2002-04-16,18350000000
2002-04-17,17983000000
2002-04-18,18093100000
2002-04-19,18276600000
2002-04-22,18313300000
2002-04-23,18364680000
2002-04-24,18012360000
2002-04-25,16625099999
2002-04-26,15751640000
2002-04-29,15788340000
2002-04-30,16170020000
2002-05-01,16353520000
2002-05-02,16727860000
2002-05-03,16581060000
2002-05-06,16382880000
2002-05-07,16148000000
2002-05-08,16250760000
2002-05-09,16302140000
2002-05-10,16309480000
2002-05-13,16302140000
2002-05-14,16368200000
2002-05-15,16192040000
2002-05-16,16397560000
2002-05-17,16331500000
2002-05-20,16184700000
2002-05-21,16280120000
2002-05-22,16603080000
2002-05-23,16537020000
2002-05-24,16551700000
2002-05-28,16784640000
2002-05-29,16920000000
2002-05-30,16889920000
2002-05-31,17108000000
2002-06-03,16920000000
2002-06-04,16784640000
2002-06-05,16987680000
2002-06-06,16732000000
2002-06-07,16664320000
2002-06-10,16581600000
2002-06-11,16438720000
2002-06-12,16401119999
2002-06-13,16348479999
2002-06-14,16137920000
2002-06-17,16393600000
2002-06-18,16468799999
2002-06-19,16506400000
2002-06-20,16356000000
2002-06-21,16273280000
2002-06-24,16152960000
2002-06-25,16115360000
2002-06-26,16679360000
2002-06-27,16995200000
2002-06-28,16574080000
2002-07-01,16566560000
2002-07-02,16513920000
2002-07-03,16325920000
2002-07-05,16641760000
2002-07-08,16671840000
2002-07-09,16371040000
2002-07-10,16303360000
2002-07-11,16243200000
2002-07-12,15852159999
2002-07-15,16303360000
2002-07-16,15889760000
2002-07-17,16092799999
2002-07-18,15122720000
2002-07-19,14664000000
2002-07-22,14438400000
2002-07-23,14491040000
2002-07-24,15002400000
2002-07-25,14927200000
2002-07-26,14987360000
2002-07-29,15145280000
2002-07-30,15220479999
2002-07-31,15588960000
2002-08-01,15468640000
2002-08-02,15476159999
2002-08-05,15431040000
2002-08-06,15280640000
2002-08-07,15679200000
2002-08-08,16070240000
2002-08-09,16115360000
2002-08-12,16025119999
2002-08-13,15934880000
2002-08-14,16318400000
2002-08-15,16115360000
2002-08-16,15942400000
2002-08-19,15837119999
2002-08-20,15573920000
2002-08-21,15573920000
2002-08-22,15611520000
2002-08-23,15686720000
2002-08-26,15551680000
2002-08-27,15713600000
2002-08-28,15728320000
2002-08-29,15308800000
2002-08-30,15492800000
2002-09-03,15132160000
2002-09-04,15227840000
2002-09-05,15213120000
2002-09-06,15301440000
2002-09-09,15507520000
2002-09-10,15441280000
2002-09-11,15470720000
2002-09-12,15294080000
2002-09-13,15551680000
2002-09-16,15735680000
2002-09-17,15529600000
2002-09-18,15816639999
2002-09-19,15743040000
2002-09-20,16059520000
2002-09-23,15875520000
2002-09-24,16339200000
2002-09-25,16096320000
2002-09-26,16626240000
2002-09-27,16265600000
2002-09-30,16346560000
2002-10-01,16758720000
2002-10-02,16280320000
2002-10-03,16611520000
2002-10-04,16412800000
2002-10-07,16184639999
2002-10-08,16272960000
2002-10-09,15824000000
2002-10-10,15603200000
2002-10-11,15272000000
2002-10-14,15765120000
2002-10-15,15757760000
2002-10-16,15691520000
2002-10-17,15603200000
2002-10-18,15345600000
2002-10-21,16140480000
2002-10-22,15183680000
2002-10-23,15249920000
2002-10-24,15088000000
2002-10-25,14940800000
2002-10-28,14771520000
2002-10-29,15058560000
2002-10-30,15029120000
2002-10-31,15205760000
2002-11-01,15367680000
2002-11-04,15426560000
2002-11-05,15676800000
2002-11-06,15573760000
2002-11-07,15566399999
2002-11-08,15404480000
2002-11-11,15625280000
2002-11-12,15809280000
2002-11-13,15927040000
2002-11-14,16184639999
2002-11-15,16346560000
2002-11-18,16184639999
2002-11-19,16574720000
2002-11-20,16736639999
2002-11-21,16736639999
2002-11-22,16913280000
2002-11-25,16575480000
2002-11-26,16516440000
2002-11-27,16457400000
2002-11-29,16464780000
2002-12-02,16184340000
2002-12-03,16221240000
2002-12-04,16398360000
2002-12-05,16309800000
2002-12-06,16272900000
2002-12-09,16199100000
2002-12-10,16361460000
2002-12-11,16228619999
2002-12-12,15940800000
2002-12-13,16051500000
2002-12-16,16243380000
2002-12-17,16568100000
2002-12-18,16966619999
2002-12-19,17055180000
2002-12-20,17217540000
2002-12-23,17328240000
2002-12-24,17298720000
2002-12-26,17232300000
2002-12-27,17106840000
2002-12-30,17298720000
2002-12-31,17328240000
2003-01-02,17579160000
2003-01-03,17527500000
2003-01-06,17534880000
2003-01-07,17261820000
2003-01-08,17158500000
2003-01-09,17343000000
2003-01-10,17438940000
2003-01-13,17704620000
2003-01-14,17712000000
2003-01-15,17682480000
2003-01-16,17652960000
2003-01-17,17549640000
2003-01-21,17343000000
2003-01-22,17269200000
2003-01-23,17188020000
2003-01-24,16974000000
2003-01-27,16782119999
2003-01-28,16885440000
2003-01-29,16494300000
2003-01-30,16295039999
2003-01-31,16575480000
2003-02-03,16612380000
2003-02-04,16435260000
2003-02-05,16464780000
2003-02-06,16309800000
2003-02-07,16390980000
2003-02-10,16538580000
2003-02-11,16331940000
2003-02-12,16272900000
2003-02-13,16287660000
2003-02-14,16708320000
2003-02-18,16656660000
2003-02-19,16641900000
2003-02-20,16147440000
2003-02-21,16258140000
2003-02-24,16159680000
2003-02-25,16360559999
2003-02-26,16219200000
2003-02-27,16033200000
2003-02-28,15951360000
2003-03-03,16070400000
2003-03-04,15676080000
2003-03-05,15728160000
2003-03-06,15609120000
2003-03-07,15698400000
2003-03-10,15564480000
2003-03-11,15728160000
2003-03-12,15884400000
2003-03-13,16122480000
2003-03-14,16137360000
2003-03-17,16591200000
2003-03-18,16695360000
2003-03-19,16710240000
2003-03-20,16777200000
2003-03-21,17379840000
2003-03-24,17119440000
2003-03-25,17364960000
2003-03-26,17238480000
2003-03-27,17253360000
2003-03-28,17134320000
2003-03-31,16948320000
2003-04-01,17022720000
2003-04-02,17290560000
2003-04-03,17045040000
2003-04-04,17059920000
2003-04-07,16992960000
2003-04-08,17037599999
2003-04-09,16992960000
2003-04-10,16866480000
2003-04-11,16851599999
2003-04-14,17141760000
2003-04-15,16963200000
2003-04-16,16725120000
2003-04-17,16978080000
2003-04-21,16888800000
2003-04-22,16978080000
2003-04-23,16903680000
2003-04-24,16784640000
2003-04-25,16762320000
2003-04-28,16836720000
2003-04-29,16851599999
2003-04-30,16784640000
2003-05-01,16665599999
2003-05-02,16561440000
2003-05-05,16464720000
2003-05-06,16583760000
2003-05-07,16628400000
2003-05-08,16650720000
2003-05-09,16940880000
2003-05-12,17097120000
2003-05-13,16970640000
2003-05-14,17007840000
2003-05-15,16896240000
2003-05-16,16687920000
2003-05-19,16710240000
2003-05-20,16844160000
2003-05-21,16926000000
2003-05-22,17216160000
2003-05-23,17320320000
2003-05-27,17245920000
2003-05-28,17156640000
2003-05-29,17141760000
2003-05-30,17402160000
2003-06-02,17506320000
2003-06-03,17640240000
2003-06-04,17692320000
2003-06-05,17796480000
2003-06-06,17856000000
2003-06-09,17736960000
2003-06-10,17655120000
2003-06-11,17841120000
2003-06-12,17937840000
2003-06-13,18116400000
2003-06-16,18473520000
2003-06-17,18399120000
2003-06-18,18294960000
2003-06-19,17885760000
2003-06-20,17670000000
2003-06-23,17893200000
2003-06-24,17722080000
2003-06-25,17781600000
2003-06-26,17759280000
2003-06-27,17670000000
2003-06-30,17640240000
2003-07-01,17781600000
2003-07-02,17707200000
2003-07-03,17640240000
2003-07-07,17744400000
2003-07-08,17521200000
2003-07-09,17521200000
2003-07-10,17707200000
2003-07-11,18094080000
2003-07-14,17908080000
2003-07-15,17952720000
2003-07-16,17900640000
2003-07-17,17692320000
2003-07-18,17655120000
2003-07-21,17364960000
2003-07-22,17513760000
2003-07-23,17588160000
2003-07-24,17394720000
2003-07-25,17610480000
2003-07-28,17498880000
2003-07-29,17164080000
2003-07-30,17231040000
2003-07-31,17067360000
2003-08-01,16985519999
2003-08-04,16992960000
2003-08-05,16888800000
2003-08-06,16926000000
2003-08-07,17000400000
2003-08-08,17164080000
2003-08-11,17178960000
2003-08-12,17245920000
2003-08-13,17231040000
2003-08-14,17372400000
2003-08-15,17387280000
2003-08-18,17298000000
2003-08-19,17156640000
2003-08-20,17164080000
2003-08-21,17223600000
2003-08-22,17208720000
2003-08-25,17308720000
2003-08-26,17308720000
2003-08-27,17308720000
2003-08-28,17368560000
2003-08-29,17338640000
2003-09-02,17495720000
2003-09-03,17548080000
2003-09-04,17533120000
2003-09-05,17443360000
2003-09-08,17503200000
2003-09-09,17675240000
2003-09-10,17592960000
2003-09-11,17667760000
2003-09-12,17660280000
2003-09-15,17615400000
2003-09-16,17854760000
2003-09-17,17682720000
2003-09-18,17712640000
2003-09-19,17630360000
2003-09-22,17555560000
2003-09-23,17765000000
2003-09-24,17727600000
2003-09-25,17675240000
2003-09-26,17548080000
2003-09-29,17413440000
2003-09-30,17607920000
2003-10-01,17802400000
2003-10-02,17652800000
2003-10-03,17600440000
2003-10-06,17495720000
2003-10-07,17391000000
2003-10-08,17241400000
2003-10-09,16964640000
2003-10-10,16919760000
2003-10-13,16822519999
2003-10-14,16785120000
2003-10-15,16762680000
2003-10-16,16732760000
2003-10-17,16732760000
2003-10-20,16575680000
2003-10-21,16643000000
2003-10-22,16635519999
2003-10-23,16545760000
2003-10-24,16456000000
2003-10-27,16500879999
2003-10-28,16904800000
2003-10-29,16830000000
2003-10-30,16927240000
2003-10-31,16777640000
2003-11-03,16882360000
2003-11-04,16747720000
2003-11-05,16568199999
2003-11-06,16538280000
2003-11-07,16560720000
2003-11-10,16463480000
2003-11-11,16403640000
2003-11-12,16553240000
2003-11-13,16837480000
2003-11-14,16740240000
2003-11-17,16949680000
2003-11-18,16643000000
2003-11-19,16740240000
2003-11-20,16560720000
2003-11-21,16613080000
2003-11-24,16985375000
2003-11-25,17045875000
2003-11-26,17121500000
2003-11-28,17015625000
2003-12-01,17166875000
2003-12-02,17189562500
2003-12-03,17363500000
2003-12-04,17333250000
2003-12-05,17355937500
2003-12-08,17416437500
2003-12-09,17355937500
2003-12-10,17348375000
2003-12-11,17416437500
2003-12-12,17318125000
2003-12-15,17484500000
2003-12-16,17802125000
2003-12-17,17151750000
2003-12-18,17106375000
2003-12-19,17023187500
2003-12-22,17091250000
2003-12-23,16773625000
2003-12-24,17030750000
2003-12-26,17068562500
2003-12-29,17174437500
2003-12-30,17227375000
2003-12-31,17129062499
2004-01-02,17015625000
2004-01-05,17303000000
2004-01-06,17204687500
2004-01-07,17151750000
2004-01-08,17189562500
2004-01-09,17242500000
2004-01-12,17204687500
2004-01-13,17045875000
2004-01-14,17129062499
2004-01-15,17068562500
2004-01-16,17182000000
2004-01-20,17363500000
2004-01-21,17340812500
2004-01-22,17197125000
2004-01-23,17280312500
2004-01-26,17431562500
2004-01-27,17378625000
2004-01-28,17303000000
2004-01-29,17393750000
2004-01-30,17174437500
2004-02-02,17197125000
2004-02-03,17257625000
2004-02-04,16985375000
2004-02-05,16970250000
2004-02-06,17015625000
2004-02-09,16985375000
2004-02-10,17038312500
2004-02-11,17015625000
2004-02-12,16985375000
2004-02-13,16955125000
2004-02-17,16977812500
2004-02-18,16902187500
2004-02-19,17015625000
2004-02-20,17053437500
2004-02-23,17274548073
2004-02-24,17373173073
2004-02-25,17395932688
2004-02-26,17395932688
2004-02-27,17441451919
2004-03-01,17904230765
2004-03-02,17843538457
2004-03-03,17896644227
2004-03-04,17828365381
2004-03-05,18055961534
2004-03-08,17987682688
2004-03-09,18048374996
2004-03-10,18086307688
2004-03-11,17798019227
2004-03-12,17737326919
2004-03-15,17585596150
2004-03-16,17502144227
2004-03-17,17638701919
2004-03-18,17676634611
2004-03-19,17449038458
2004-03-22,17608355765
2004-03-23,17585596150
2004-03-24,17608355765
2004-03-25,17631115381
2004-03-26,17373173073
2004-03-29,17638701919
2004-03-30,17661461534
2004-03-31,17706980765
2004-04-01,17798019227
2004-04-02,17737326919
2004-04-05,17699394227
2004-04-06,17760086534
2004-04-07,17714567304
2004-04-08,17600769227
2004-04-12,17547663457
2004-04-13,17433865381
2004-04-14,17585596150
2004-04-15,17760086534
2004-04-16,17911817304
2004-04-19,17972509611
2004-04-20,17873884611
2004-04-21,17866298073
2004-04-22,18177346150
2004-04-23,18313903842
2004-04-26,18336663457
2004-04-27,18313903842
2004-04-28,18253211534
2004-04-29,18397355765
2004-04-30,18495980765
2004-05-03,18640124996
2004-05-04,18427701919
2004-05-05,18336663457
2004-05-06,18154586534
2004-05-07,18071134611
2004-05-10,17813192304
2004-05-11,17722153842
2004-05-12,17691807688
2004-05-13,17395932688
2004-05-14,17395932688
2004-05-17,17403519227
2004-05-18,17380759611
2004-05-19,17304894227
2004-05-20,17335240381
2004-05-21,17289721150
2004-05-24,17274548073
2004-05-25,17312480765
2004-05-26,17411105765
2004-05-27,17441451919
2004-05-28,17471798073
2004-06-01,17350620000
2004-06-02,17350620000
2004-06-03,17297560000
2004-06-04,18138940000
2004-06-07,17949440000
2004-06-08,17926700000
2004-06-09,17919120000
2004-06-10,17911540000
2004-06-14,17752360000
2004-06-15,17547700000
2004-06-16,17593180000
2004-06-17,17471900000
2004-06-18,17305140000
2004-06-21,17365780000
2004-06-22,17380940000
2004-06-23,17373360000
2004-06-24,17502220000
2004-06-25,17244500000
2004-06-28,17396100000
2004-06-29,17479480000
2004-06-30,18017660000
