,WRK
2016-07-18,10855750000
2016-07-19,10772920000
2016-07-20,10938580000
2016-07-21,10865790000
2016-07-22,10825630000
2016-07-25,10752840000
2016-07-26,10951130000
2016-07-27,10853240000
2016-07-28,10735270000
2016-07-29,10770410000
2016-08-01,10521920000
2016-08-02,10293510000
2016-08-03,10529450000
2016-08-04,10973720000
2016-08-05,11064080000
2016-08-08,11046510000
2016-08-09,11001330000
2016-08-10,11008860000
2016-08-11,11362770000
2016-08-12,11161970000
2016-08-15,11044000000
2016-08-16,11259860000
2016-08-17,11417990000
2016-08-18,11438070000
2016-08-19,11397910000
2016-08-22,11131850000
2016-08-23,11214680000
2016-08-24,11161970000
2016-08-25,11814570000
2016-08-26,12060550000
2016-08-29,12196090000
2016-08-30,12183540000
2016-08-31,12022900000
2016-09-01,12176010000
2016-09-02,12186050000
2016-09-06,12256330000
2016-09-07,12319080000
2016-09-08,12095690000
2016-09-09,11668990000
2016-09-12,11869790000
2016-09-13,11686560000
2016-09-14,11538470000
2016-09-15,11679030000
2016-09-16,11977720000
2016-09-19,11965170000
2016-09-20,11857240000
2016-09-21,12120790000
2016-09-22,12138360000
2016-09-23,12148400000
2016-09-26,11970190000
2016-09-27,11947600000
2016-09-28,11982740000
2016-09-29,11874810000
2016-09-30,12168480000
2016-10-03,12057321000
2016-10-04,11972287000
2016-10-05,11639654000
2016-10-06,11867245000
2016-10-07,11629650000
2016-10-10,11749698000
2016-10-11,11419566000
2016-10-12,11504600000
2016-10-13,11267005000
2016-10-14,11682171000
2016-10-17,11902259000
2016-10-18,11954780000
2016-10-19,12167365000
2016-10-20,11732191000
2016-10-21,11614644000
2016-10-24,11807221000
2016-10-25,11744696000
2016-10-26,11742195000
2016-10-27,11587133000
2016-10-28,11544616000
2016-10-31,11552119000
2016-11-01,11332031000
2016-11-02,11462083000
2016-11-03,11409562000
2016-11-04,11592135000
2016-11-07,11322027000
2016-11-08,11427069000
2016-11-09,11927269000
2016-11-10,12099838000
2016-11-11,11992295000
2016-11-14,12359942000
2016-11-15,12417465000
2016-11-16,12515004000
2016-11-17,12449978000
2016-11-18,12572527000
2016-11-21,12620046000
2016-11-22,12687573000
2016-11-23,12720086000
2016-11-25,12782611000
2016-11-28,12735092000
2016-11-29,12727589000
2016-11-30,12805120000
2016-12-01,12735092000
2016-12-02,12757601000
2016-12-05,12885152000
2016-12-06,12947677000
2016-12-07,13202779000
2016-12-08,13187773000
2016-12-09,13117745000
2016-12-12,12772607000
2016-12-13,12785112000
2016-12-14,12872647000
2016-12-15,13095236000
2016-12-16,13185272000
2016-12-19,13082731000
2016-12-20,13125248000
2016-12-21,13085232000
2016-12-22,12887653000
2016-12-23,12977689000
2016-12-27,13072727000
2016-12-28,12887653000
2016-12-29,12907661000
2016-12-30,12697577000
2017-01-03,12856220000
2017-01-04,13049490000
2017-01-05,13109730000
2017-01-06,13174990000
2017-01-09,13102200000
2017-01-10,13072080000
2017-01-11,13159930000
2017-01-12,13104710000
2017-01-13,13139850000
2017-01-17,12916460000
2017-01-18,12971680000
2017-01-19,12871280000
2017-01-20,13104710000
2017-01-23,13343160000
2017-01-24,13566550000
2017-01-25,13960620000
2017-01-26,13659420000
2017-01-27,13531410000
2017-01-30,13493760000
2017-01-31,13393360000
2017-02-01,13355710000
2017-02-02,13468660000
2017-02-03,13636830000
2017-02-06,13604200000
2017-02-07,13528900000
2017-02-08,13559020000
2017-02-09,13129810000
2017-02-10,13172480000
2017-02-13,13227700000
2017-02-14,13433520000
2017-02-15,13518860000
2017-02-16,13636830000
2017-02-17,13217660000
2017-02-21,13511330000
2017-02-22,13350690000
2017-02-23,13388340000
2017-02-24,13410930000
2017-02-27,13486230000
2017-02-28,13483720000
2017-03-01,13694560000
2017-03-02,13566550000
2017-03-03,13564040000
2017-03-06,13092160000
2017-03-07,12775900000
2017-03-08,12876300000
2017-03-09,12783430000
2017-03-10,12861240000
2017-03-13,12881320000
2017-03-14,12768370000
2017-03-15,12999290000
2017-03-16,13164950000
2017-03-17,13147380000
2017-03-20,13325590000
2017-03-21,12921480000
2017-03-22,13167460000
2017-03-23,13280410000
2017-03-24,13152400000
2017-03-27,12951600000
2017-03-28,13267860000
2017-03-29,13059530000
2017-03-30,13192560000
2017-03-31,13059530000
2017-04-03,13007297000
2017-04-04,13088545000
2017-04-05,13101240000
2017-04-06,13169793000
2017-04-07,12969212000
2017-04-10,12997141000
2017-04-11,12946361000
2017-04-12,12651837000
2017-04-13,12527426000
2017-04-17,12733085000
2017-04-18,12854957000
2017-04-19,13431310000
2017-04-20,13477012000
2017-04-21,13461778000
2017-04-24,13715678000
2017-04-25,13802004000
2017-04-26,13621735000
2017-04-27,13784231000
2017-04-28,13598884000
2017-05-01,13738529000
2017-05-02,13758841000
2017-05-03,13708061000
2017-05-04,13738529000
2017-05-05,13969578000
2017-05-08,13865479000
2017-05-09,13560799000
2017-05-10,13738529000
2017-05-11,13781692000
2017-05-12,13629352000
2017-05-15,13710600000
2017-05-16,13657281000
2017-05-17,13238346000
2017-05-18,13098701000
2017-05-19,13200261000
2017-05-22,13281509000
2017-05-23,13380530000
2017-05-24,13789309000
2017-05-25,14038131000
2017-05-26,14002585000
2017-05-30,13977195000
2017-05-31,13817238000
2017-06-01,14033053000
2017-06-02,13989890000
2017-06-05,13875635000
2017-06-06,13741068000
2017-06-07,14152386000
2017-06-08,14081294000
2017-06-09,14548470000
2017-06-12,14540853000
2017-06-13,14594172000
2017-06-14,14421520000
2017-06-15,14563704000
2017-06-16,14596711000
2017-06-19,14713505000
2017-06-20,14533236000
2017-06-21,14467222000
2017-06-22,14434215000
2017-06-23,14551009000
2017-06-26,14479917000
2017-06-27,14401208000
2017-06-28,14393591000
2017-06-29,14297109000
2017-06-30,14385974000
2017-07-03,14537040000
2017-07-05,14537040000
2017-07-06,14356345000
2017-07-07,14585395000
2017-07-10,14834805000
2017-07-11,14727915000
2017-07-12,14921335000
2017-07-13,15191105000
2017-07-14,15180925000
2017-07-17,15201285000
2017-07-18,15046040000
2017-07-19,15142750000
2017-07-20,14992595000
2017-07-21,14939150000
2017-07-24,14918790000
2017-07-25,14972235000
2017-07-26,14799175000
2017-07-27,14944240000
2017-07-28,14587940000
2017-07-31,14613390000
2017-08-01,14702465000
2017-08-02,14671925000
2017-08-03,14402155000
2017-08-04,14590485000
2017-08-07,14547220000
2017-08-08,14394520000
2017-08-09,14287630000
2017-08-10,14056035000
2017-08-11,14152745000
2017-08-14,14389430000
2017-08-15,14330895000
2017-08-16,14582850000
2017-08-17,14269815000
2017-08-18,14325805000
2017-08-21,13826985000
2017-08-22,13954235000
2017-08-23,13895700000
2017-08-24,13916060000
2017-08-25,14056035000
2017-08-28,14040765000
2017-08-29,14063670000
2017-08-30,14287630000
2017-08-31,14483595000
2017-09-01,14743185000
2017-09-05,14465780000
2017-09-06,14453055000
2017-09-07,14371615000
2017-09-08,14371615000
2017-09-11,14697375000
2017-09-12,14753365000
2017-09-13,14590485000
2017-09-14,14613390000
2017-09-15,14649020000
2017-09-18,14694830000
2017-09-19,14593030000
2017-09-20,14824625000
2017-09-21,14661745000
2017-09-22,14168015000
2017-09-25,14050945000
2017-09-26,14150200000
2017-09-27,14335985000
2017-09-28,14450510000
2017-09-29,14437785000
2017-10-02,14802043000
2017-10-03,14799494000
2017-10-04,14832631000
2017-10-05,14756161000
2017-10-06,14827533000
2017-10-09,14921846000
2017-10-10,15031453000
2017-10-11,14929493000
2017-10-12,14965179000
2017-10-13,15003414000
2017-10-16,15072237000
2017-10-17,15192040000
2017-10-18,15192040000
2017-10-19,15192040000
2017-10-20,15429097000
2017-10-23,15487724000
2017-10-24,15566743000
2017-10-25,15541253000
2017-10-26,15413803000
2017-10-27,15505567000
2017-10-30,15375568000
2017-10-31,15633017000
2017-11-01,15633017000
2017-11-02,15248118000
2017-11-03,15281255000
2017-11-06,15107923000
2017-11-07,15026355000
2017-11-08,15125766000
2017-11-09,15046747000
2017-11-10,14952434000
2017-11-13,14998316000
2017-11-14,14952434000
2017-11-15,14977924000
2017-11-16,15077335000
2017-11-17,15166550000
2017-11-20,14898905000
2017-11-21,14952434000
2017-11-22,14985571000
2017-11-24,15003414000
2017-11-27,14960081000
2017-11-28,15110472000
2017-11-29,15360274000
2017-11-30,15908309000
2017-12-01,15905760000
2017-12-04,16178503000
2017-12-05,16137719000
2017-12-06,16165758000
2017-12-07,16201444000
2017-12-08,16420658000
2017-12-11,16420658000
2017-12-12,16298306000
2017-12-13,16390070000
2017-12-14,15943995000
2017-12-15,16086739000
2017-12-18,16277914000
2017-12-19,16160660000
2017-12-20,16244777000
2017-12-21,16272816000
2017-12-22,16244777000
2017-12-26,16122425000
2017-12-27,16079092000
2017-12-28,16109680000
2017-12-29,16112229000
2018-01-02,16591643999
2018-01-03,16768560000
2018-01-04,17189056000
2018-01-05,17258284000
2018-01-08,17373664000
2018-01-09,17281360000
2018-01-10,17283924000
2018-01-11,17501864000
2018-01-12,17742880000
2018-01-16,17612116000
2018-01-17,17760828000
2018-01-18,17442892000
2018-01-19,17732624000
2018-01-22,17635192000
2018-01-23,17540324000
2018-01-24,17627500000
2018-01-25,17714676000
2018-01-26,18017228000
2018-01-29,17540324000
2018-01-30,17476224000
2018-01-31,17083931999
2018-02-01,16994192000
2018-02-02,17240336000
2018-02-05,16399344000
2018-02-06,16550620000
2018-02-07,16517288000
2018-02-08,15622452000
2018-02-09,15981412000
2018-02-12,16222428000
2018-02-13,16263452000
2018-02-14,16486520000
2018-02-15,16642924000
2018-02-16,17004447999
2018-02-20,16694204000
2018-02-21,16699331999
2018-02-22,16737792000
2018-02-23,16950604000
2018-02-26,17263412000
2018-02-27,17091624000
2018-02-28,16860864000
2018-03-01,16658308000
2018-03-02,16768560000
2018-03-05,16922400000
2018-03-06,17024960000
2018-03-07,16973680000
2018-03-08,16935220000
2018-03-09,17196748000
2018-03-12,17191620000
2018-03-13,17181364000
2018-03-14,16973680000
2018-03-15,17053164000
2018-03-16,17017268000
2018-03-19,16619847999
2018-03-20,16558312000
2018-03-21,16624976000
2018-03-22,16086536000
2018-03-23,15650656000
2018-03-26,16366012000
2018-03-27,16268580000
2018-03-28,16194224000
2018-03-29,16453188000
2018-04-02,15803445000
2018-04-03,16114667000
2018-04-04,16290686000
2018-04-05,16441195000
2018-04-06,15982015000
2018-04-09,16071300000
2018-04-10,16469256000
2018-04-11,16390175000
2018-04-12,16540684000
2018-04-13,16581500000
2018-04-16,16673336000
2018-04-17,16862109999
2018-04-18,16928436000
2018-04-19,16992211000
2018-04-20,16905476999
2018-04-23,16930987000
2018-04-24,16504970000
2018-04-25,16607009999
2018-04-26,16415684999
2018-04-27,15507529000
2018-04-30,15091716000
2018-05-01,15260082000
2018-05-02,14938656000
2018-05-03,14902942000
2018-05-04,15155491000
2018-05-07,15306000000
2018-05-08,15334061000
2018-05-09,15428448000
2018-05-10,15446305000
2018-05-11,15568753000
2018-05-14,15614671000
2018-05-15,15525386000
2018-05-16,15788139000
2018-05-17,15887628000
2018-05-18,15839159000
2018-05-21,15660589000
2018-05-22,15652936000
2018-05-23,15502427000
2018-05-24,15474366000
2018-05-25,15295796000
2018-05-29,15058553000
2018-05-30,15244776000
2018-05-31,15020288000
2018-06-01,15336612000
2018-06-04,15479468000
2018-06-05,15502427000
2018-06-06,15538141000
2018-06-07,15448856000
2018-06-08,15550896000
2018-06-11,15673344000
2018-06-12,15770282000
2018-06-13,15433550000
2018-06-14,15433550000
2018-06-15,15257531000
2018-06-18,15152940000
2018-06-19,14920799000
2018-06-20,14913146000
2018-06-21,14652944000
2018-06-22,14788147000
2018-06-25,14854473000
2018-06-26,14864677000
2018-06-27,14670801000
2018-06-28,14550904000
2018-06-29,14545802000
2018-07-02,14431755000
2018-07-03,14345565000
2018-07-05,14375985000
2018-07-06,14429220000
2018-07-09,14624415000
2018-07-10,14730885000
2018-07-11,14525550000
2018-07-12,14675115000
2018-07-13,14561040000
2018-07-16,14459640000
2018-07-17,14523015000
2018-07-18,14611740000
2018-07-19,14649765000
2018-07-20,14576250000
2018-07-23,14495130000
2018-07-24,14566110000
2018-07-25,14507805000
2018-07-26,14294865000
2018-07-27,14226420000
2018-07-30,14523015000
2018-07-31,14697930000
2018-08-01,14479920000
2018-08-02,14046435000
2018-08-03,14150370000
2018-08-06,14269515000
2018-08-07,14378520000
2018-08-08,14239095000
2018-08-09,14084460000
2018-08-10,13942500000
2018-08-13,13868985000
2018-08-14,14170650000
2018-08-15,13932360000
2018-08-16,13972920000
2018-08-17,14023620000
2018-08-20,14094600000
2018-08-21,14069250000
2018-08-22,13901940000
2018-08-23,13896870000
2018-08-24,14043900000
2018-08-27,14218815000
2018-08-28,14122485000
2018-08-29,14180790000
2018-08-30,14076855000
2018-08-31,13962780000
2018-09-04,13724490000
2018-09-05,13988130000
2018-09-06,13912080000
2018-09-07,13937430000
2018-09-10,14089530000
2018-09-11,14013480000
2018-09-12,13965315000
2018-09-13,14071785000
2018-09-14,14150370000
2018-09-17,14183325000
2018-09-18,14236560000
2018-09-19,14350635000
2018-09-20,14408940000
2018-09-21,14279655000
2018-09-24,14056575000
2018-09-25,13732095000
2018-09-26,13610415000
2018-09-27,13569855000
2018-09-28,13547040000
2018-10-01,13678720000
2018-10-02,13620024000
2018-10-03,13219360000
2018-10-04,13165768000
2018-10-05,12902912000
2018-10-08,12537976000
2018-10-09,11547800000
2018-10-10,11134376000
2018-10-11,10705640000
2018-10-12,10874072000
2018-10-15,10807720000
2018-10-16,11001672000
2018-10-17,11011880000
2018-10-18,10894488000
2018-10-19,10840896000
2018-10-22,10276904000
2018-10-23,10616320000
2018-10-24,10215656000
2018-10-25,10603560000
2018-10-26,10603560000
2018-10-29,10447888000
2018-10-30,10932768000
2018-10-31,10965944000
2018-11-01,11422752000
2018-11-02,11399784000
2018-11-05,11578424000
2018-11-06,11925496000
2018-11-07,11943360000
2018-11-08,11828520000
2018-11-09,11690712000
2018-11-12,11430408000
2018-11-13,11568216000
2018-11-14,11626912000
2018-11-15,11593736000
2018-11-16,11777480000
2018-11-19,11757064000
2018-11-20,11670296000
2018-11-21,11624360000
2018-11-23,11565664000
2018-11-26,11848936000
2018-11-27,11882112000
2018-11-28,11854040000
2018-11-29,11828520000
2018-11-30,12022472000
2018-12-03,12063304000
2018-12-04,11869352000
2018-12-06,11792792000
2018-12-07,11558008000
2018-12-10,11282392000
2018-12-11,11279840000
2018-12-12,11333432000
2018-12-13,11193072000
2018-12-14,11323224000
2018-12-17,10256488000
2018-12-18,10271800000
2018-12-19,10044672000
2018-12-20,9769056000
2018-12-21,9427088000
2018-12-24,8993248000
2018-12-26,9521512000
2018-12-27,9679736000
2018-12-28,9511304000
2018-12-31,9689216000
2019-01-02,9979174000
2019-01-03,9809818000
2019-01-04,10233208000
2019-01-07,10251170000
2019-01-08,10222944000
2019-01-09,10007400000
2019-01-10,10338414000
2019-01-11,10507770000
2019-01-14,10315320000
2019-01-15,10361508000
2019-01-16,10346112000
2019-01-17,10410262000
2019-01-18,10628372000
2019-01-22,10587316000
2019-01-23,10528298000
2019-01-24,10733578000
2019-01-25,10851614000
2019-01-28,10695088000
2019-01-29,10636070000
2019-01-30,10638636000
2019-01-31,10446186000
2019-02-01,9930420000
2019-02-04,9750800000
2019-02-05,9817516000
2019-02-06,9915024000
2019-02-07,9725140000
2019-02-08,9702046000
2019-02-11,9666122000
2019-02-12,9932986000
2019-02-13,10043324000
2019-02-14,9848308000
2019-02-15,10020230000
2019-02-19,10074116000
2019-02-20,10346112000
2019-02-21,10074116000
2019-02-22,10076682000
2019-02-25,10179322000
2019-02-26,10066418000
2019-02-27,9904760000
2019-02-28,9591708000
2019-03-01,9635330000
2019-03-04,9830346000
2019-03-05,9886798000
2019-03-06,9722574000
2019-03-07,9599406000
2019-03-08,9673820000
2019-03-11,9953514000
2019-03-12,10148530000
2019-03-13,10156228000
2019-03-14,10048456000
2019-03-15,9635330000
2019-03-18,9822648000
2019-03-19,9868836000
2019-03-20,9660990000
2019-03-21,9776460000
2019-03-22,9430050000
2019-03-25,9394126000
2019-03-26,9663556000
2019-03-27,9637896000
2019-03-28,9745668000
2019-03-29,9840610000
2019-04-01,10232821000
2019-04-02,10021835000
2019-04-03,10245686000
2019-04-04,10081014000
2019-04-05,10263697000
2019-04-08,10178788000
2019-04-09,10014116000
2019-04-10,10032127000
2019-04-11,10034700000
2019-04-12,10173642000
2019-04-15,9965229000
2019-04-16,9489224000
2019-04-17,9134150000
2019-04-18,9131577000
2019-04-22,9211340000
2019-04-23,9391450000
2019-04-24,9476359000
2019-04-25,9419753000
2019-04-26,9548403000
2019-04-29,9532965000
2019-04-30,9875174000
2019-05-01,9774827000
2019-05-02,9911196000
2019-05-03,10109317000
2019-05-06,9877747000
2019-05-07,9854590000
2019-05-08,9808276000
2019-05-09,9558695000
2019-05-10,9579279000
2019-05-13,9293676000
2019-05-14,9568987000
2019-05-15,9633312000
2019-05-16,9628166000
2019-05-17,9432618000
2019-05-20,9044095000
2019-05-21,9247362000
2019-05-22,9062106000
2019-05-23,8923164000
2019-05-24,8964332000
2019-05-28,8753346000
2019-05-29,8652999000
2019-05-30,8532067999
2019-05-31,8387980000
2019-06-03,8552652000
2019-06-04,9159880000
2019-06-05,9231924000
2019-06-06,9430045000
2019-06-07,9370866000
2019-06-10,9373439000
2019-06-11,9394023000
2019-06-12,9339990000
2019-06-13,9561268000
2019-06-14,9275665000
2019-06-17,9098128000
2019-06-18,9257654000
2019-06-19,9224205000
2019-06-20,9391450000
2019-06-21,9448056000
2019-06-24,9051814000
2019-06-25,8915445000
2019-06-26,8938602000
2019-06-27,9198475000
2019-06-28,9383731000
2019-07-01,9654610000
2019-07-02,9597894000
2019-07-03,9827336000
2019-07-05,9814446000
2019-07-08,9739684000
2019-07-09,9646876000
2019-07-10,9641720000
2019-07-11,9329782000
2019-07-12,9525710000
2019-07-15,9242130000
2019-07-16,9231818000
2019-07-17,9110652000
2019-07-18,9084872000
2019-07-19,9340094000
2019-07-22,9200882000
2019-07-23,9479306000
2019-07-24,9484462000
2019-07-25,9566958000
2019-07-26,9445792000
2019-07-29,9474150000
2019-07-30,9577270000
2019-07-31,9293690000
2019-08-01,9605628000
2019-08-02,9499930000
2019-08-05,9066826000
2019-08-06,8976596000
2019-08-07,8968862000
2019-08-08,8976596000
2019-08-09,8847696000
2019-08-12,8564116000
2019-08-13,8932770000
2019-08-14,8569272000
2019-08-15,8404280000
2019-08-16,8597630000
2019-08-19,8760044000
2019-08-20,8571850000
2019-08-21,8654346000
2019-08-22,8669814000
2019-08-23,8337252000
2019-08-26,8476464000
2019-08-27,8329518000
2019-08-28,8631144000
2019-08-29,8793558000
2019-08-30,8811604000
2019-09-03,8509977999
2019-09-04,8762622000
2019-09-05,9004954000
2019-09-06,9053936000
2019-09-09,9267910000
2019-09-10,9760308000
2019-09-11,10074824000
2019-09-12,9909832000
2019-09-13,10077402000
2019-09-16,9775776000
2019-09-17,9600472000
2019-09-18,9487040000
2019-09-19,9252442000
2019-09-20,9257598000
2019-09-23,9322048000
2019-09-24,9252442000
2019-09-25,9383920000
2019-09-26,9365874000
2019-09-27,9404544000
2019-09-30,9411390000
2019-10-01,9000852000
2019-10-02,8760726000
2019-10-03,8641954000
2019-10-04,8796874000
2019-10-07,8781382000
2019-10-08,8667774000
2019-10-09,8778800000
2019-10-10,9142862000
2019-10-11,9442374000
2019-10-14,9302946000
2019-10-15,9359750000
2019-10-16,9375242000
2019-10-17,9346840000
2019-10-18,9475940000
2019-10-21,9584384000
2019-10-22,9721230000
2019-10-23,9876150000
2019-10-24,9708320000
2019-10-25,9814182000
2019-10-28,9925208000
2019-10-29,9803854000
2019-10-30,9723812000
2019-10-31,9648934000
2019-11-01,10018160000
2019-11-04,10113694000
2019-11-05,10229884000
2019-11-06,10131768000
2019-11-07,10080128000
2019-11-08,10263450000
2019-11-11,10170498000
2019-11-12,10493248000
2019-11-13,10423534000
2019-11-14,10457100000
2019-11-15,10317672000
2019-11-18,10333164000
2019-11-19,10312508000
2019-11-20,10002668000
2019-11-21,9894224000
2019-11-22,10020742000
2019-11-25,10260868000
2019-11-26,10454518000
2019-11-27,10498412000
2019-11-29,10413206000
2019-12-02,10431280000
2019-12-03,10198900000
2019-12-04,10167916000
2019-12-05,10322836000
2019-12-06,10645586000
2019-12-09,10557798000
2019-12-10,10346074000
2019-12-11,10433862000
2019-12-12,10648168000
2019-12-13,10557798000
2019-12-16,10560380000
2019-12-17,10846982000
2019-12-18,10880548000
2019-12-19,10906368000
2019-12-20,10968336000
2019-12-23,11149076000
2019-12-24,11040632000
2019-12-26,11094854000
2019-12-27,11009648000
2019-12-30,10999320000
2019-12-31,11113690000
2020-01-02,11253550000
2020-01-03,11054120000
2020-01-06,10885770000
2020-01-07,10764040000
2020-01-08,10810660000
2020-01-09,11025630000
2020-01-10,10919440000
2020-01-13,11015270000
2020-01-14,11023040000
2020-01-15,11046350000
2020-01-16,11250960000
2020-01-17,11313120000
2020-01-21,10774400000
2020-01-22,10789940000
2020-01-23,10890950000
2020-01-24,10603460000
2020-01-27,10378130000
2020-01-28,10489500000
2020-01-29,10517990000
2020-01-30,10365180000
2020-01-31,10101000000
2020-02-03,10222730000
2020-02-04,10282300000
2020-02-05,10810660000
2020-02-06,10792530000
2020-02-07,10675980000
