,ABBV
2013-08-12,71613600000
2013-08-13,71438700000
2013-08-14,70882200000
2013-08-15,68703900000
2013-08-16,68370000000
2013-08-19,68958300000
2013-08-20,68322300000
2013-08-21,67272900000
2013-08-22,68242800000
2013-08-23,69053700000
2013-08-26,69085500000
2013-08-27,67781700000
2013-08-28,67670400000
2013-08-29,67765799999
2013-08-30,67749900000
2013-09-03,67718100000
2013-09-04,68576700000
2013-09-05,69180900000
2013-09-06,69785100000
2013-09-09,70643700000
2013-09-10,71200200000
2013-09-11,71470500000
2013-09-12,71073000000
2013-09-13,71375100000
2013-09-16,72853800000
2013-09-17,75684000000
2013-09-18,76192800000
2013-09-19,75366000000
2013-09-20,76065600000
2013-09-23,74889000000
2013-09-24,73108200000
2013-09-25,72074700000
2013-09-26,71550000000
2013-09-27,70484700000
2013-09-30,71002637938
2013-10-01,72701113739
2013-10-02,72939217823
2013-10-03,73034459457
2013-10-04,74288474301
2013-10-07,73161448302
2013-10-08,70669292220
2013-10-09,71129626783
2013-10-10,72510630472
2013-10-11,72463009655
2013-10-14,73542414837
2013-10-15,73145574696
2013-10-16,74701188047
2013-10-17,76463158271
2013-10-18,76717135961
2013-10-21,76748883172
2013-10-22,77780667538
2013-10-23,76717135961
2013-10-24,76082191736
2013-10-25,78256875706
2013-10-28,78447358974
2013-10-29,79034682381
2013-10-30,77463195425
2013-10-31,76907619228
2013-11-01,77717173115
2013-11-04,77399701003
2013-11-05,76463158271
2013-11-06,76272675004
2013-11-07,74986912948
2013-11-08,76240927792
2013-11-11,77098102496
2013-11-12,75367879483
2013-11-13,75955202891
2013-11-14,76256801398
2013-11-15,76891745623
2013-11-18,77574310664
2013-11-19,76923492834
2013-11-20,76113938947
2013-11-21,77098102496
2013-11-22,77685425904
2013-11-25,76844124806
2013-11-26,77145723313
2013-11-27,76590147116
2013-11-29,76907619228
2013-12-02,76812377595
2013-12-03,79320407283
2013-12-04,78844199114
2013-12-05,78987061565
2013-12-06,81510964858
2013-12-09,81288734380
2013-12-10,82764979702
2013-12-11,83606280800
2013-12-12,83161819843
2013-12-13,83130072631
2013-12-16,84717433193
2013-12-17,85130146940
2013-12-18,86225425727
2013-12-19,83542786378
2013-12-20,83479291955
2013-12-23,83463418349
2013-12-24,83114199026
2013-12-26,84114236180
2013-12-27,83415797533
2013-12-30,84145983391
2013-12-31,84231950000
2014-01-02,82908100000
2014-01-03,83418500000
2014-01-06,80372050000
2014-01-07,80531550000
2014-01-08,80324200000
2014-01-09,81695900000
2014-01-10,81185500000
2014-01-13,79478850000
2014-01-14,80707000000
2014-01-15,79925450000
2014-01-16,80547500000
2014-01-17,79845700000
2014-01-21,79750000000
2014-01-22,78282600000
2014-01-23,77947650000
2014-01-24,76225050000
2014-01-27,74693850000
2014-01-28,76065550000
2014-01-29,75937950000
2014-01-30,77054450000
2014-01-31,78521850000
2014-02-03,75523250000
2014-02-04,76480250000
2014-02-05,76129350000
2014-02-06,76448350000
2014-02-07,77979550000
2014-02-10,79032250000
2014-02-11,79207700000
2014-02-12,80643200000
2014-02-13,80308250000
2014-02-14,80914350000
2014-02-18,82078700000
2014-02-19,81648050000
2014-02-20,82716700000
2014-02-21,81408800000
2014-02-24,81105750000
2014-02-25,80898400000
2014-02-26,80930300000
2014-02-27,81201450000
2014-02-28,81201450000
2014-03-03,79893550000
2014-03-04,82286050000
2014-03-05,82461500000
2014-03-06,83003800000
2014-03-07,82078700000
2014-03-10,82397700000
2014-03-11,82541250000
2014-03-12,82365800000
2014-03-13,81855400000
2014-03-14,81679950000
2014-03-17,82908100000
2014-03-18,84694500000
2014-03-19,84710450000
2014-03-20,85619600000
2014-03-21,85268700000
2014-03-24,81919200000
2014-03-25,82445550000
2014-03-26,82142500000
2014-03-27,82397700000
2014-03-28,81313100000
2014-03-31,81931600000
2014-04-01,83047400000
2014-04-02,85023960000
2014-04-03,85279000000
2014-04-04,83206800000
2014-04-07,80688280000
2014-04-08,78265400000
2014-04-09,80704220000
2014-04-10,75475900000
2014-04-11,74057240000
2014-04-14,74647020000
2014-04-15,76288840000
2014-04-16,76703280000
2014-04-17,77388700000
2014-04-21,78791420000
2014-04-22,79715940000
2014-04-23,79923160000
2014-04-24,78616080000
2014-04-25,78329160000
2014-04-28,81086780000
2014-04-29,81883780000
2014-04-30,83015520000
2014-05-01,82266340000
2014-05-02,81580920000
2014-05-05,81867840000
2014-05-06,81150540000
2014-05-07,84147260000
2014-05-08,83127100000
2014-05-09,83302440000
2014-05-12,83477780000
2014-05-13,83206800000
2014-05-14,84274780000
2014-05-15,83987860000
2014-05-16,84370420000
2014-05-19,86251340000
2014-05-20,85342760000
2014-05-21,84912380000
2014-05-22,85486220000
2014-05-23,85996300000
2014-05-27,86060060000
2014-05-28,86187580000
2014-05-29,86123820000
2014-05-30,86602020000
2014-06-02,86315100000
2014-06-03,86665780000
2014-06-04,87000520000
2014-06-05,88148200000
2014-06-06,87829400000
2014-06-09,85820960000
2014-06-10,86028180000
2014-06-11,86442620000
2014-06-12,85534040000
2014-06-13,86331040000
2014-06-16,86076000000
2014-06-17,86554200000
2014-06-18,86984580000
2014-06-19,86378860000
2014-06-20,84960200000
2014-06-23,85677500000
2014-06-24,85422460000
2014-06-25,87670000000
2014-06-26,90076940000
2014-06-27,90523260000
2014-06-30,90021800000
2014-07-01,90739550000
2014-07-02,92685450000
2014-07-03,92860900000
2014-07-07,91553000000
2014-07-08,88825550000
2014-07-09,87740950000
2014-07-10,88985050000
2014-07-11,87661200000
2014-07-14,87485750000
2014-07-15,85236800000
2014-07-16,85571750000
2014-07-17,85364400000
2014-07-18,87581450000
2014-07-21,86130000000
2014-07-22,86209750000
2014-07-23,86895600000
2014-07-24,86257600000
2014-07-25,84822100000
2014-07-28,85715300000
2014-07-29,85220850000
2014-07-30,85731250000
2014-07-31,83482300000
2014-08-01,83705600000
2014-08-04,84997550000
2014-08-05,84200050000
2014-08-06,83019750000
2014-08-07,83625850000
2014-08-08,84247900000
2014-08-11,85029450000
2014-08-12,84279800000
2014-08-13,85492000000
2014-08-14,86433050000
2014-08-15,85970500000
2014-08-18,86624450000
2014-08-19,88187550000
2014-08-20,87820700000
2014-08-21,87661200000
2014-08-22,88044000000
2014-08-25,89112650000
2014-08-26,88921250000
2014-08-27,88841500000
2014-08-28,88682000000
2014-08-29,88171600000
2014-09-02,87836650000
2014-09-03,88538450000
2014-09-04,88586300000
2014-09-05,89224300000
2014-09-08,88634150000
2014-09-09,90835250000
2014-09-10,91218050000
2014-09-11,92270750000
2014-09-12,92318600000
2014-09-15,92398350000
2014-09-16,93467000000
2014-09-17,95093900000
2014-09-18,94822750000
2014-09-19,94200700000
2014-09-22,93642450000
2014-09-23,91808200000
2014-09-24,94184750000
2014-09-25,92510000000
2014-09-26,94408050000
2014-09-29,93339400000
2014-09-30,91918647758
2014-10-01,91075211413
2014-10-02,90184033387
2014-10-03,93398639836
2014-10-06,91998217225
2014-10-07,90152205601
2014-10-08,92841653570
2014-10-09,90263602854
2014-10-10,87478671525
2014-10-13,85330295928
2014-10-14,86141904487
2014-10-15,86937599152
2014-10-16,84184495609
2014-10-17,84932448595
2014-10-20,86587493499
2014-10-21,89579305441
2014-10-22,90550052933
2014-10-23,94719492981
2014-10-24,95944862765
2014-10-27,96263140632
2014-10-28,96963351937
2014-10-29,95451532073
2014-10-30,97361199270
2014-10-31,100989566945
2014-11-03,100655375185
2014-11-04,99716455480
2014-11-05,99525488760
2014-11-06,99796024947
2014-11-07,97870443856
2014-11-10,101514725424
2014-11-11,101610208784
2014-11-12,101466983744
2014-11-13,101260103131
2014-11-14,101848917184
2014-11-17,103503962088
2014-11-18,105111265312
2014-11-19,104236001180
2014-11-20,103742670487
2014-11-21,107195985336
2014-11-24,107864368855
2014-11-25,108309957867
2014-11-26,109328447039
2014-11-28,110124141705
2014-12-01,109980916665
2014-12-02,110235538958
2014-12-03,109010169173
2014-12-04,110712955757
2014-12-05,110935750264
2014-12-08,110474247358
2014-12-09,110028658345
2014-12-10,107546090988
2014-12-11,106670826856
2014-12-12,103869981634
2014-12-15,104426967900
2014-12-16,103838153847
2014-12-17,105938787764
2014-12-18,108087163361
2014-12-19,107752971602
2014-12-22,106575343497
2014-12-23,102405903449
2014-12-24,105365887605
2014-12-26,106591257390
2014-12-29,106845879683
2014-12-30,105509112645
2014-12-31,104376800000
2015-01-02,105094550000
2015-01-05,103116750000
2015-01-06,102606350000
2015-01-07,106753350000
2015-01-08,107869850000
2015-01-09,104919100000
2015-01-12,104887200000
2015-01-13,101107050000
2015-01-14,101601500000
2015-01-15,100309550000
2015-01-16,102941300000
2015-01-20,101202750000
2015-01-21,100006500000
2015-01-22,100453100000
2015-01-23,99575850000
2015-01-26,100213850000
2015-01-27,100644500000
2015-01-28,98650750000
2015-01-29,100676400000
2015-01-30,96258250000
2015-02-02,96816500000
2015-02-03,98331750000
2015-02-04,90771450000
2015-02-05,92494050000
2015-02-06,90755500000
2015-02-09,88490600000
2015-02-10,90739550000
2015-02-11,90420550000
2015-02-12,90994750000
2015-02-13,92589750000
2015-02-17,93658400000
2015-02-18,94487800000
2015-02-19,94105000000
2015-02-20,97773500000
2015-02-23,96609150000
2015-02-24,97087650000
2015-02-25,96688900000
2015-02-26,96529400000
2015-02-27,96497500000
2015-03-02,96433700000
2015-03-03,95093900000
2015-03-04,96130650000
2015-03-05,90691700000
2015-03-06,88745800000
2015-03-09,88586300000
2015-03-10,89064800000
2015-03-11,90308900000
2015-03-12,92510000000
2015-03-13,92510000000
2015-03-16,94296400000
2015-03-17,95269350000
2015-03-18,95524550000
2015-03-19,97598050000
2015-03-20,96338000000
2015-03-23,96465600000
2015-03-24,95109850000
2015-03-25,92860900000
2015-03-26,91345650000
2015-03-27,91951750000
2015-03-30,92892800000
2015-03-31,94834800000
2015-04-01,92502000000
2015-04-02,92356200000
2015-04-06,93328200000
2015-04-07,94640400000
2015-04-08,95272200000
2015-04-09,97718400000
2015-04-10,100440000000
2015-04-13,99144000000
2015-04-14,99986400000
2015-04-15,100488600000
2015-04-16,101395800000
2015-04-17,100909800000
2015-04-20,102934800000
2015-04-21,103048200000
2015-04-22,104522400000
2015-04-23,104085000000
2015-04-24,107033399999
2015-04-27,105332400000
2015-04-28,107713799999
2015-04-29,106320600000
2015-04-30,104749200000
2015-05-01,104198399999
2015-05-04,104781600000
2015-05-05,103453200000
2015-05-06,103582800000
2015-05-07,104814000000
2015-05-08,105688799999
2015-05-11,105624000000
2015-05-12,104992200000
2015-05-13,105786000000
2015-05-14,106871400000
2015-05-15,106903799999
2015-05-18,106288200000
2015-05-19,106482600000
2015-05-20,106741800000
2015-05-21,106353000000
2015-05-22,106077600000
2015-05-26,107081999999
2015-05-27,109155600000
2015-05-28,109301400000
2015-05-29,107875800000
2015-06-01,108426600000
2015-06-02,107924400000
2015-06-03,108556200000
2015-06-04,109220400000
2015-06-05,109188000000
2015-06-08,109819800000
2015-06-09,109625400000
2015-06-10,110548799999
2015-06-11,110224800000
2015-06-12,108621000000
2015-06-15,108394200000
2015-06-16,108167400000
2015-06-17,109787400000
2015-06-18,111747600000
2015-06-19,112557600000
2015-06-22,113594400000
2015-06-23,113432400000
2015-06-24,112136400000
2015-06-25,113108399999
2015-06-26,114145199999
2015-06-29,108831600000
2015-06-30,110997880000
2015-07-01,113178520000
2015-07-02,112682919999
2015-07-06,112699440000
2015-07-07,113261120000
2015-07-08,111774320000
2015-07-09,112286440000
2015-07-10,114367960000
2015-07-13,114929639999
2015-07-14,115309600000
2015-07-15,115227000000
2015-07-16,115623479999
2015-07-17,115623479999
2015-07-20,116961600000
2015-07-21,116532080000
2015-07-22,116565120000
2015-07-23,116499040000
2015-07-24,112468160000
2015-07-27,114549680000
2015-07-28,117671960000
2015-07-29,116912040000
2015-07-30,115904320000
2015-07-31,115656520000
2015-08-03,115193960000
2015-08-04,115557400000
2015-08-05,116135600000
2015-08-06,114384479999
2015-08-07,113360240000
2015-08-10,114334919999
2015-08-11,112749000000
2015-08-12,113575000000
2015-08-13,113228080000
2015-08-14,113409800000
2015-08-17,114599240000
2015-08-18,113756720000
2015-08-19,113310680000
2015-08-20,111476960000
2015-08-21,108866800000
2015-08-24,104819400000
2015-08-25,100292920000
2015-08-26,104307280000
2015-08-27,106570520000
2015-08-28,105694960000
2015-08-31,103101320000
2015-09-01,99946000000
2015-09-02,100738960000
2015-09-03,101730160000
2015-09-04,98740040000
2015-09-08,100061640000
2015-09-09,97897520000
2015-09-10,98426160000
2015-09-11,98046200000
2015-09-14,97368880000
2015-09-15,97798400000
2015-09-16,98310520000
2015-09-17,98888720000
2015-09-18,101135440000
2015-09-21,98112280000
2015-09-22,95386480000
2015-09-23,94874360000
2015-09-24,93453640000
2015-09-25,92082480000
2015-09-28,86730000000
2015-09-29,87209080000
2015-09-30,87594274593
2015-10-01,88753397506
2015-10-02,89864223631
2015-10-05,91248731555
2015-10-06,88672902859
2015-10-07,89558343974
2015-10-08,90218400077
2015-10-09,89574442903
2015-10-12,89783728984
2015-10-13,86612239903
2015-10-14,86837624913
2015-10-15,90379389370
2015-10-16,91007247615
2015-10-19,90411587229
2015-10-20,88270429626
2015-10-21,86660536691
2015-10-22,77709531972
2015-10-23,81042010347
2015-10-26,83505146538
2015-10-27,84648170522
2015-10-28,85742897718
2015-10-29,87095207783
2015-10-30,95869124279
2015-11-02,102035014220
2015-11-03,100505615932
2015-11-04,102711169253
2015-11-05,101052979529
2015-11-06,103242433921
2015-11-09,101793530280
2015-11-10,100296329850
2015-11-11,97978084024
2015-11-12,96963851475
2015-11-13,96368191089
2015-11-16,96609675029
2015-11-17,97205335415
2015-11-18,98187370105
2015-11-19,97479017214
2015-11-20,98380557257
2015-11-23,98444952975
2015-11-24,98412755116
2015-11-25,97060445051
2015-11-27,96593576100
2015-11-30,93615274170
2015-12-01,95015881023
2015-12-02,92923020208
2015-12-03,90347191512
2015-12-04,92053678023
2015-12-07,90588675452
2015-12-08,91232632626
2015-12-09,90202301148
2015-12-10,89799827914
2015-12-11,86998614207
2015-12-14,89252464316
2015-12-15,90781862604
2015-12-16,92778129844
2015-12-17,90765763675
2015-12-18,89735432196
2015-12-21,90475982947
2015-12-22,92713734126
2015-12-23,94307528132
2015-12-24,94114340980
2015-12-28,94581209931
2015-12-29,95708134985
2015-12-30,96271597513
2015-12-31,95731840000
2016-01-04,93097760000
2016-01-05,92709920000
2016-01-06,92726080000
2016-01-07,92451360000
2016-01-08,89930400000
2016-01-11,87070080000
2016-01-12,88621440000
2016-01-13,82706880000
2016-01-14,88168960000
2016-01-15,92661440000
2016-01-19,88863840000
2016-01-20,92354400000
2016-01-21,94309760000
2016-01-22,95069280000
2016-01-25,94778400000
2016-01-26,94148160000
2016-01-27,92289760000
2016-01-28,90253600000
2016-01-29,88718400000
2016-02-01,87894240000
2016-02-02,87183200000
2016-02-03,91853440000
2016-02-04,91724160000
2016-02-05,85841920000
2016-02-08,85470240000
2016-02-09,86423680000
2016-02-10,85195520000
2016-02-11,84322880000
2016-02-12,84969280000
2016-02-16,86472160000
2016-02-17,88896160000
2016-02-18,88152800000
2016-02-19,87732640000
2016-02-22,89332480000
2016-02-23,88993120000
2016-02-24,88702240000
2016-02-25,90819200000
2016-02-26,90496000000
2016-02-29,88249760000
2016-03-01,91045440000
2016-03-02,90011200000
2016-03-03,90382880000
2016-03-04,90738400000
2016-03-07,91142400000
2016-03-08,89397120000
2016-03-09,91126240000
2016-03-10,90867680000
2016-03-11,93291680000
2016-03-14,92451360000
2016-03-15,89881920000
2016-03-16,90996960000
2016-03-17,89397120000
2016-03-18,91417120000
2016-03-21,90512160000
2016-03-22,92920000000
2016-03-23,91077760000
2016-03-24,90689920000
2016-03-28,90673760000
2016-03-29,92192800000
2016-03-30,92112000000
2016-03-31,92762880000
2016-04-01,93250080000
2016-04-04,96157040000
2016-04-05,95068960000
2016-04-06,97261360000
2016-04-07,96303200000
2016-04-08,94955280000
2016-04-11,95004000000
2016-04-12,97261360000
2016-04-13,95913440000
2016-04-14,96270720000
2016-04-15,96644240000
2016-04-18,97245120000
2016-04-19,97716080000
2016-04-20,98219520000
2016-04-21,99664880000
2016-04-22,99746080000
2016-04-25,99015280000
2016-04-26,98950320000
2016-04-27,98576800000
2016-04-28,99388800000
2016-04-29,99064000000
2016-05-02,99778560000
2016-05-03,100314480000
2016-05-04,99811040000
2016-05-05,101240160000
2016-05-06,101516240000
2016-05-09,103448800000
2016-05-10,103513760000
2016-05-11,101824800000
2016-05-12,101483760000
2016-05-13,100688000000
2016-05-16,101418800000
2016-05-17,97846000000
2016-05-18,98187040000
2016-05-19,96270720000
2016-05-20,96936560000
2016-05-23,96303200000
2016-05-24,98576800000
2016-05-25,99421280000
2016-05-26,100525600000
2016-05-27,101841040000
2016-05-31,102198320000
2016-06-01,102035920000
2016-06-02,105706160000
2016-06-03,105560000000
2016-06-06,102019680000
2016-06-07,102474400000
2016-06-08,100249520000
2016-06-09,98658000000
2016-06-10,99064000000
2016-06-13,97326320000
2016-06-14,97277600000
2016-06-15,98089600000
2016-06-16,98901600000
2016-06-17,97456240000
2016-06-20,97618640000
2016-06-21,97407520000
2016-06-22,98073360000
2016-06-23,99567440000
2016-06-24,97212640000
2016-06-27,95296320000
2016-06-28,97423760000
2016-06-29,100379440000
2016-06-30,101037120000
2016-07-01,102342720000
2016-07-05,101053440000
2016-07-06,103419840000
2016-07-07,103517760000
2016-07-08,104709120000
2016-07-11,105019199999
2016-07-12,106896000000
2016-07-13,105704640000
2016-07-14,103827840000
2016-07-15,103338240000
2016-07-18,103729920000
2016-07-19,103338240000
2016-07-20,103485120000
2016-07-21,104268480000
2016-07-22,104137920000
2016-07-25,104970239999
2016-07-26,105182400000
2016-07-27,105916800000
2016-07-28,105623040000
2016-07-29,108087360000
2016-08-01,109246080000
2016-08-02,108984960000
2016-08-03,108642239999
2016-08-04,107875199999
2016-08-05,108593280000
2016-08-08,108266880000
2016-08-09,108952320000
2016-08-10,108413760000
2016-08-11,109262400000
2016-08-12,109654080000
2016-08-15,109980480000
2016-08-16,108919679999
2016-08-17,109066560000
2016-08-18,108968640000
2016-08-19,109507199999
2016-08-22,109360320000
2016-08-23,107989440000
2016-08-24,106177920000
2016-08-25,105623040000
2016-08-26,105443520000
2016-08-29,105280320000
2016-08-30,104709120000
2016-08-31,104611199999
2016-09-01,104496960000
2016-09-02,104643840000
2016-09-06,105443520000
2016-09-07,106031040000
2016-09-08,104545920000
2016-09-09,103403520000
2016-09-12,104578560000
2016-09-13,103370880000
2016-09-14,103370880000
2016-09-15,103387200000
2016-09-16,103256640000
2016-09-19,102669120000
2016-09-20,103272960000
2016-09-21,104611199999
2016-09-22,106210560000
2016-09-23,106047360000
2016-09-26,104562239999
2016-09-27,105378239999
2016-09-28,104807040000
2016-09-29,102522240000
2016-09-30,100439777502
2016-10-03,100694579538
2016-10-04,100328301612
2016-10-05,100949381574
2016-10-06,100057574448
2016-10-07,100216825721
2016-10-10,100821980556
2016-10-11,99356868850
2016-10-12,97477703836
2016-10-13,97382153072
2016-10-14,95821490603
2016-10-17,95773715221
2016-10-18,98019158162
2016-10-19,97828056635
2016-10-20,98353585834
2016-10-21,97111425909
2016-10-24,97334377690
2016-10-25,98019158162
2016-10-26,97175126418
2016-10-27,97875832017
2016-10-28,91728732902
2016-10-31,88830359744
2016-11-01,89897343269
2016-11-02,90438797595
2016-11-03,89005536144
2016-11-04,89244413052
2016-11-07,93814924570
2016-11-08,93655673298
2016-11-09,99754997031
2016-11-10,101920814336
2016-11-11,100487552884
2016-11-14,100280526230
2016-11-15,100121274957
2016-11-16,98003233034
2016-11-17,98258035070
2016-11-18,96378870056
2016-11-21,96219618784
2016-11-22,93846774825
2016-11-23,95837415730
2016-11-25,96362944929
2016-11-28,94690806569
2016-11-29,98082858671
2016-11-30,96824773619
2016-12-01,94213052751
2016-12-02,94643031187
2016-12-05,96920324382
2016-12-06,98130634052
2016-12-07,95534838312
2016-12-08,96984024891
2016-12-09,98003233034
2016-12-12,98799489396
2016-12-13,98719863760
2016-12-14,98210259689
2016-12-15,98767639142
2016-12-16,99086141687
2016-12-19,99086141687
2016-12-20,98990590923
2016-12-21,97859906889
2016-12-22,98194334561
2016-12-23,99277243214
2016-12-27,99532045250
2016-12-28,99165767323
2016-12-29,99898323176
2016-12-30,99723146776
2017-01-03,99668770000
2017-01-04,101074130000
2017-01-05,101840690000
2017-01-06,101872630000
2017-01-09,102543369999
2017-01-10,102319789999
2017-01-11,97640580000
2017-01-12,97864160000
2017-01-13,98998030000
2017-01-17,98790420000
2017-01-18,98471020000
2017-01-19,98023860000
2017-01-20,97656550000
2017-01-23,97353120000
2017-01-24,96746260000
2017-01-25,98023860000
2017-01-26,97848190000
2017-01-27,95820000000
2017-01-30,96506710000
2017-01-31,97592670000
2017-02-01,97241330000
2017-02-02,97241330000
2017-02-03,96889990000
2017-02-06,96858050000
2017-02-07,96714320000
2017-02-08,96650440000
2017-02-09,97161480000
2017-02-10,96490740000
2017-02-13,96634470000
2017-02-14,97129540000
2017-02-15,98455050000
2017-02-16,98183560000
2017-02-17,98646690000
2017-02-21,98742510000
2017-02-22,97991920000
2017-02-23,98918180000
2017-02-24,99157730000
2017-02-27,99365340000
2017-02-28,98758480000
2017-03-01,100339510000
2017-03-02,101010250000
2017-03-03,101153980000
2017-03-06,101489350000
2017-03-07,101712930000
2017-03-08,102431580000
2017-03-09,103006500000
2017-03-10,105210360000
2017-03-13,105162449999
2017-03-14,104874990000
2017-03-15,106280350000
2017-03-16,105242300000
2017-03-17,104906930000
2017-03-20,105082600000
2017-03-21,104363949999
2017-03-22,104635440000
2017-03-23,104843050000
2017-03-24,104795140000
2017-03-27,105561699999
2017-03-28,105370060000
2017-03-29,105034690000
2017-03-30,104539619999
2017-03-31,103930200000
2017-04-03,103722850000
2017-04-04,103850450000
2017-04-05,103611199999
2017-04-06,103802600000
2017-04-07,104536300000
2017-04-10,103627150000
2017-04-11,102367100000
2017-04-12,102670150000
2017-04-13,102287350000
2017-04-17,102574450000
2017-04-18,101521750000
2017-04-19,101202750000
2017-04-20,101729100000
2017-04-21,101792900000
2017-04-24,103132700000
2017-04-25,103834499999
2017-04-26,103738800000
2017-04-27,105381649999
2017-04-28,105174300000
2017-05-01,106035600000
2017-05-02,106274850000
2017-05-03,106450299999
2017-05-04,107231850000
2017-05-05,106849049999
2017-05-08,105604949999
2017-05-09,105541150000
2017-05-10,105238100000
2017-05-11,104153500000
2017-05-12,105365700000
2017-05-15,106338650000
2017-05-16,106625749999
2017-05-17,104265150000
2017-05-18,104679850000
2017-05-19,104600100000
2017-05-22,104376800000
2017-05-23,105014800000
2017-05-24,105158350000
2017-05-25,105780399999
2017-05-26,105365700000
2017-05-30,105301900000
2017-05-31,105301900000
2017-06-01,106402449999
2017-06-02,107263750000
2017-06-05,107678450000
2017-06-06,108252650000
2017-06-07,109656250000
2017-06-08,109672200000
2017-06-09,111123650000
2017-06-12,110900350000
2017-06-13,111123650000
2017-06-14,112479400000
2017-06-15,112606999999
2017-06-16,113324750000
2017-06-19,113787300000
2017-06-20,113595900000
2017-06-21,113787300000
2017-06-22,116722100000
2017-06-23,115860800000
2017-06-26,116020299999
2017-06-27,115462050000
2017-06-28,116307400000
2017-06-29,115605600000
2017-06-30,115798470000
2017-07-03,115654740000
2017-07-05,115750560000
2017-07-06,114552810000
2017-07-07,115031910000
2017-07-10,114712510000
2017-07-11,114728480000
2017-07-12,114792360000
2017-07-13,115990110000
2017-07-14,116756670000
2017-07-17,116101900000
2017-07-18,115351310000
2017-07-19,116213690000
2017-07-20,118193970000
2017-07-21,119184110000
2017-07-24,118034270000
2017-07-25,115814440000
2017-07-26,115926230000
