,AMGN
2002-03-14,62876900000
2002-03-15,64087476000
2002-03-18,65204128000
2002-03-19,65026716000
2002-03-20,63722216000
2002-03-21,64953664000
2002-03-22,64494480000
2002-03-25,63012568000
2002-03-26,63273468000
2002-03-27,63503060000
2002-03-28,62282048000
2002-04-01,63759654000
2002-04-02,62056350000
2002-04-03,62253684000
2002-04-04,61246242000
2002-04-05,60467292000
2002-04-08,61267014000
2002-04-09,58535496000
2002-04-10,60903504000
2002-04-11,59376762000
2002-04-12,59418306000
2002-04-15,59044410000
2002-04-16,59979150000
2002-04-17,58618584000
2002-04-18,59740272000
2002-04-19,59013252000
2002-04-22,58182372000
2002-04-23,56863350000
2002-04-24,58275846000
2002-04-25,57330720000
2002-04-26,55918224000
2002-04-29,53882568000
2002-04-30,54921168000
2002-05-01,53508672000
2002-05-02,52262352000
2002-05-03,50683680000
2002-05-06,48616866000
2002-05-07,48336444000
2002-05-08,51047190000
2002-05-09,49426974000
2002-05-10,47422476000
2002-05-13,49811256000
2002-05-14,53789094000
2002-05-15,53332110000
2002-05-16,52293510000
2002-05-17,52646634000
2002-05-20,51711894000
2002-05-21,50527890000
2002-05-22,51337998000
2002-05-23,54734220000
2002-05-24,52667406000
2002-05-28,53602146000
2002-05-29,52573932000
2002-05-30,52054632000
2002-05-31,49468518000
2002-06-03,46934334000
2002-06-04,46113840000
2002-06-05,47266686000
2002-06-06,44441694000
2002-06-07,42842250000
2002-06-10,43423866000
2002-06-11,40245750000
2002-06-12,39643362000
2002-06-13,39259080000
2002-06-14,41730948000
2002-06-17,44348220000
2002-06-18,44919450000
2002-06-19,44690958000
2002-06-20,42914952000
2002-06-21,42011370000
2002-06-24,43392708000
2002-06-25,42229476000
2002-06-26,42385266000
2002-06-27,43091514000
2002-06-28,43496568000
2002-07-01,47631612000
2002-07-02,45880815000
2002-07-03,44490111000
2002-07-05,47271519000
2002-07-08,44961957000
2002-07-09,43372581000
2002-07-10,40392501000
2002-07-11,42726896999
2002-07-12,42590310000
2002-07-15,38579619000
2002-07-16,40814679000
2002-07-17,46067070000
2002-07-18,42565476000
2002-07-19,44030682000
2002-07-22,43807176000
2002-07-23,44204520000
2002-07-24,46054653000
2002-07-25,52076898000
2002-07-26,53864946000
2002-07-29,54659634000
2002-07-30,56484933000
2002-07-31,56671188000
2002-08-01,53889780000
2002-08-02,54026367000
2002-08-05,52424574000
2002-08-06,54920390999
2002-08-07,56770524000
2002-08-08,59638851000
2002-08-09,59266340999
2002-08-12,59576765999
2002-08-13,56671188000
2002-08-14,59005584000
2002-08-15,59353260000
2002-08-16,59018001000
2002-08-19,57639714000
2002-08-20,57950139000
2002-08-21,59229090000
2002-08-22,60272118000
2002-08-23,58695159000
2002-08-26,58161228000
2002-08-27,56137257000
2002-08-28,56100006000
2002-08-29,56348346000
2002-08-30,55913751000
2002-09-03,53318598000
2002-09-04,54783804000
2002-09-05,53641440000
2002-09-06,55566075000
2002-09-09,55814415000
2002-09-10,57180285000
2002-09-11,56683605000
2002-09-12,55975836000
2002-09-13,56708439000
2002-09-16,56236593000
2002-09-17,56087589000
2002-09-18,56472515999
2002-09-19,52163817000
2002-09-20,51803724000
2002-09-23,49680417000
2002-09-24,52238319000
2002-09-25,54709302000
2002-09-26,54212621999
2002-09-27,52151400000
2002-09-30,53813850000
2002-10-01,57504680000
2002-10-02,57749875000
2002-10-03,59040375000
2002-10-04,56343229999
2002-10-07,57685350000
2002-10-08,59091995000
2002-10-09,58872610000
2002-10-10,62253720000
2002-10-11,62060145000
2002-10-14,63479695000
2002-10-15,65144439999
2002-10-16,65015390000
2002-10-17,64718575000
2002-10-18,65144439999
2002-10-21,65015390000
2002-10-22,64266900000
2002-10-23,64525000000
2002-10-24,62821540000
2002-10-25,64253995000
2002-10-28,63324835000
2002-10-29,63053830000
2002-10-30,61995620000
2002-10-31,60085680000
2002-11-01,60137300000
2002-11-04,62408580000
2002-11-05,64628240000
2002-11-06,59634005000
2002-11-07,58511270000
2002-11-08,56962670000
2002-11-11,57040100000
2002-11-12,58743560000
2002-11-13,58007975000
2002-11-14,60911600000
2002-11-15,61621375000
2002-11-18,59621100000
2002-11-19,59014564999
2002-11-20,60421210000
2002-11-21,61763330000
