,RTX
2000-05-11,18781200000
2000-05-12,19006800000
2000-05-15,18950400000
2000-05-16,19580200000
2000-05-17,19279400000
2000-05-18,19194800000
2000-05-19,18452200000
2000-05-22,18320600000
2000-05-23,17991600000
2000-05-24,17709600000
2000-05-25,17559200000
2000-05-26,17437000000
2000-05-30,17455800000
2000-05-31,17878800000
2000-06-01,18245400000
2000-06-02,18668400000
2000-06-05,17972800000
2000-06-06,18207800000
2000-06-07,17747200000
2000-06-08,16844800000
2000-06-09,17361800000
2000-06-12,17239600000
2000-06-13,16910599999
2000-06-14,17672000000
2000-06-15,17634400000
2000-06-16,17418200000
2000-06-19,16967000000
2000-06-20,16450000000
2000-06-21,16825999999
2000-06-22,16713200000
2000-06-23,16882400000
2000-06-26,16882400000
2000-06-27,16713200000
2000-06-28,16779000000
2000-06-29,16120999999
2000-06-30,17344080000
2000-07-03,16698240000
2000-07-05,17306640000
2000-07-06,16988399999
2000-07-07,17306640000
2000-07-10,17465760000
2000-07-11,17671680000
2000-07-12,17746560000
2000-07-13,17821440000
2000-07-14,17999280000
2000-07-17,17830800000
2000-07-18,17381520000
2000-07-19,16932240000
2000-07-20,16894800000
2000-07-21,17306640000
2000-07-24,17390880000
2000-07-25,17156879999
2000-07-26,16894800000
2000-07-27,16932240000
2000-07-28,16913520000
2000-07-31,17194320000
2000-08-01,17447040000
2000-08-02,17138159999
2000-08-03,16829280000
2000-08-04,17381520000
2000-08-07,17961840000
2000-08-08,18036720000
2000-08-09,17933760000
2000-08-10,17999280000
2000-08-11,17896320000
2000-08-14,17943120000
2000-08-15,17690400000
2000-08-16,17858880000
2000-08-17,18411120000
2000-08-18,18111600000
2000-08-21,18701280000
2000-08-22,18776160000
2000-08-23,18879120000
2000-08-24,18626400000
2000-08-25,18626400000
2000-08-28,18794880000
2000-08-29,18429840000
2000-08-30,17961840000
2000-08-31,18392400000
2000-09-01,18261360000
2000-09-05,18036720000
2000-09-06,18794880000
2000-09-07,18701280000
2000-09-08,18223920000
2000-09-11,18514080000
2000-09-12,18514080000
2000-09-13,18532800000
2000-09-14,18851040000
2000-09-15,18832320000
2000-09-18,18963360000
2000-09-19,18448560000
2000-09-20,18701280000
2000-09-21,18336240000
2000-09-22,19290960000
2000-09-25,19656000000
2000-09-26,19768320000
2000-09-27,20264400000
2000-09-28,21060000000
2000-09-29,20432880000
2000-10-02,20105280000
2000-10-03,20797920000
2000-10-04,20779200000
2000-10-05,21425040000
2000-10-06,21209760000
2000-10-09,20638800000
2000-10-10,21153600000
2000-10-11,21060000000
2000-10-12,20030400000
2000-10-13,20526480000
2000-10-16,21228480000
2000-10-17,20526480000
2000-10-18,20142720000
2000-10-19,18851040000
2000-10-20,19141200000
2000-10-23,18701280000
2000-10-24,19047600000
2000-10-25,18851040000
2000-10-26,19590480000
2000-10-27,19805760000
2000-10-30,20283120000
2000-10-31,20563920000
2000-11-01,20208240000
2000-11-02,20245680000
2000-11-03,19768320000
2000-11-06,20563920000
2000-11-07,20049120000
2000-11-08,19936800000
2000-11-09,20011680000
2000-11-10,19496880000
2000-11-13,19459440000
2000-11-14,19824480000
2000-11-15,19749600000
2000-11-16,20189520000
2000-11-17,20432880000
2000-11-20,20320560000
2000-11-21,20620080000
2000-11-22,20676240000
2000-11-24,21191040000
2000-11-27,20601360000
2000-11-28,20142720000
2000-11-29,20432880000
2000-11-30,20854080000
2000-12-01,20760480000
2000-12-04,21368880000
2000-12-05,22351680000
2000-12-06,22201920000
2000-12-07,22183200000
2000-12-08,22033440000
2000-12-11,21275280000
2000-12-12,21649680000
2000-12-13,21097440000
2000-12-14,20966400000
2000-12-15,20966400000
2000-12-18,21743280000
2000-12-19,22014720000
2000-12-20,21593520000
2000-12-21,22089600000
2000-12-22,22379760000
2000-12-26,22885200000
2000-12-27,23484240000
2000-12-28,23175360000
2000-12-29,23156640000
2001-01-02,22306560000
2001-01-03,22268880000
2001-01-04,21807300000
2001-01-05,21081960000
2001-01-08,21449340000
2001-01-09,20931240000
2001-01-10,21411660000
2001-01-11,21901500000
2001-01-12,20950080000
2001-01-16,21025440000
2001-01-17,21383400000
2001-01-18,21656580000
2001-01-19,21063120000
2001-01-22,21308040000
2001-01-23,21562380000
2001-01-24,21637740000
2001-01-25,22400760000
2001-01-26,21675420000
2001-01-29,21816720000
2001-01-30,22061640000
2001-01-31,22221780000
2001-02-01,21976860000
2001-02-02,21920340000
2001-02-05,21995700000
2001-02-06,22042800000
2001-02-07,22014540000
2001-02-08,22231200000
2001-02-09,22193520000
2001-02-12,22231200000
2001-02-13,22937700000
2001-02-14,22824660000
2001-02-15,23418120000
2001-02-16,23192040000
2001-02-20,23342760000
2001-02-21,23455800000
2001-02-22,23257980000
2001-02-23,22900020000
2001-02-26,23257980000
2001-02-27,23606520000
2001-02-28,23097840000
2001-03-01,23126100000
2001-03-02,23135520000
2001-03-05,23738400000
2001-03-06,23823180000
2001-03-07,24209400000
2001-03-08,24331860000
2001-03-09,24218820000
2001-03-12,23239140000
2001-03-13,23493480000
2001-03-14,22231200000
2001-03-15,22457280000
2001-03-16,21176160000
2001-03-19,21656580000
2001-03-20,21289200000
2001-03-21,20667480000
2001-03-22,19960980000
2001-03-23,19857360000
2001-03-26,21270360000
2001-03-27,22071060000
2001-03-28,21694260000
2001-03-29,22099320000
2001-03-30,21722520000
2001-04-02,21760200000
2001-04-03,20997180000
2001-04-04,21166740000
2001-04-05,22278300000
2001-04-06,21873240000
2001-04-09,22202940000
2001-04-10,22108740000
2001-04-11,21590640000
2001-04-12,22344240000
2001-04-16,22315980000
2001-04-17,22410180000
2001-04-18,23154360000
2001-04-19,22909440000
2001-04-20,22739880000
2001-04-23,22721040000
2001-04-24,22673940000
2001-04-25,22664520000
2001-04-26,22824660000
2001-04-27,23267400000
2001-04-30,23144940000
2001-05-01,23257980000
2001-05-02,23163780000
2001-05-03,23210880000
2001-05-04,23408700000
2001-05-07,23239140000
2001-05-08,22862340000
2001-05-09,22749300000
2001-05-10,23333340000
2001-05-11,23446380000
2001-05-14,23380440000
2001-05-15,23531160000
2001-05-16,24576780000
2001-05-17,25094880000
2001-05-18,25848480000
2001-05-21,25584720000
2001-05-22,25141980000
2001-05-23,25057200000
2001-05-24,24963000000
2001-05-25,24680400000
2001-05-29,24708660000
2001-05-30,24218820000
2001-05-31,24689820000
2001-06-01,24652140000
2001-06-04,24991260000
2001-06-05,25160820000
2001-06-06,24454320000
2001-06-07,24661560000
2001-06-08,24134040000
2001-06-11,23851440000
2001-06-12,23842020000
2001-06-13,23785500000
2001-06-14,22852920000
2001-06-15,22155840000
2001-06-18,23060160000
2001-06-19,22155840000
2001-06-20,21995700000
2001-06-21,21995700000
2001-06-22,21779040000
2001-06-25,21807300000
2001-06-26,21816720000
2001-06-27,21750780000
2001-06-28,22023960000
2001-06-29,21713100000
2001-07-02,21027800000
2001-07-03,21573000000
2001-07-05,21479000000
2001-07-06,21544800000
2001-07-09,21507200000
2001-07-10,21262800000
2001-07-11,21206400000
2001-07-12,22005400000
2001-07-13,22231000000
2001-07-16,22184000000
2001-07-17,22644600000
2001-07-18,22259200000
2001-07-19,22437800000
2001-07-20,22513000000
2001-07-23,22306200000
2001-07-24,21845600000
2001-07-25,21817400000
2001-07-26,21648200000
2001-07-27,21648200000
2001-07-30,21441400000
2001-07-31,21714000000
2001-08-01,21403800000
2001-08-02,21375600000
2001-08-03,21366200000
2001-08-06,21450800000
2001-08-07,21610600000
2001-08-08,21131200000
2001-08-09,21507200000
2001-08-10,21883200000
2001-08-13,21582400000
2001-08-14,21497800000
2001-08-15,20952600000
2001-08-16,21770400000
2001-08-17,21225200000
2001-08-20,21761000000
2001-08-21,21328600000
2001-08-22,21544800000
2001-08-23,21563600000
2001-08-24,21591800000
2001-08-27,21516600000
2001-08-28,21027800000
2001-08-29,20407400000
2001-08-30,19956200000
2001-08-31,20228800000
2001-09-04,20069000000
2001-09-05,20097200000
2001-09-06,20040800000
2001-09-07,19411000000
2001-09-10,19580200000
2001-09-17,14466600000
2001-09-18,14513600000
2001-09-19,14090600000
2001-09-20,12314000000
2001-09-21,12492600000
2001-09-24,13188200000
2001-09-25,13846200000
2001-09-26,13207000000
2001-09-27,13385600000
2001-09-28,13752200000
2001-10-01,14001592000
2001-10-02,14510056000
2001-10-03,15131512000
2001-10-04,15498736000
2001-10-05,15319832000
2001-10-08,15376327999
2001-10-09,15112680000
2001-10-10,15470488000
2001-10-11,15611727999
2001-10-12,15357495999
2001-10-15,15705888000
2001-10-16,15997783999
2001-10-17,15404576000
2001-10-18,14933776000
2001-10-19,15376327999
2001-10-22,15630560000
2001-10-23,15687056000
2001-10-24,15790632000
2001-10-25,16139024000
2001-10-26,16892304000
2001-10-29,16129608000
2001-10-30,15837712000
2001-10-31,15969536000
2001-11-01,15913039999
2001-11-02,16082527999
2001-11-05,16374424000
2001-11-06,16788727999
2001-11-07,16478000000
2001-11-08,16845224000
2001-11-09,16901720000
2001-11-12,16383839999
2001-11-13,16873472000
2001-11-14,17240696000
2001-11-15,17108872000
2001-11-16,17297192000
2001-11-19,17617336000
2001-11-20,17419600000
2001-11-21,17429016000
2001-11-23,17645584000
2001-11-26,17909232000
2001-11-27,17720912000
2001-11-28,17523176000
2001-11-29,18238792000
2001-11-30,17833904000
2001-12-03,17457264000
2001-12-04,18050472000
2001-12-05,18267040000
2001-12-06,18314120000
2001-12-07,18097552000
2001-12-10,17909232000
2001-12-11,18059888000
2001-12-12,17626752000
2001-12-13,17965728000
2001-12-14,18210544000
2001-12-17,18624848000
2001-12-18,18775504000
2001-12-19,19142728000
2001-12-20,18766088000
2001-12-21,18869664000
2001-12-24,18982656000
2001-12-26,19123896000
2001-12-27,19425208000
2001-12-28,19218056000
2001-12-31,19241640000
2002-01-02,19156500000
2002-01-03,19648420000
2002-01-04,19591660000
2002-01-07,19601120000
2002-01-08,19298400000
2002-01-09,19402460000
2002-01-10,19156500000
2002-01-11,19005140000
2002-01-14,18522680000
2002-01-15,18191580000
2002-01-16,17671280000
2002-01-17,18853780000
2002-01-18,18948380000
2002-01-22,19270020000
2002-01-23,19109200000
2002-01-24,19515980000
2002-01-25,19761940000
2002-01-28,20159260000
2002-01-29,19648420000
2002-01-30,19638960000
2002-01-31,20461980000
2002-02-01,20849840000
2002-02-04,19941680000
2002-02-05,20055200000
2002-02-06,20178180000
2002-02-07,20055200000
2002-02-08,20263320000
2002-02-11,20566040000
2002-02-12,20357920000
2002-02-13,20812000000
2002-02-14,20679560000
2002-02-15,20622800000
2002-02-19,20301160000
2002-02-20,20840380000
2002-02-21,20584960000
2002-02-22,20745780000
2002-02-25,20849840000
2002-02-26,21370140000
2002-02-27,21710700000
2002-02-28,21710700000
2002-03-01,22089100000
2002-03-04,22997260000
2002-03-05,21994500000
2002-03-06,22325600000
2002-03-07,22231000000
2002-03-08,22420200000
2002-03-11,22533720000
2002-03-12,22325600000
2002-03-13,21994500000
2002-03-14,22221540000
2002-03-15,22136400000
2002-03-18,21937740000
2002-03-19,22060720000
2002-03-20,21795840000
2002-03-21,21720160000
2002-03-22,21682320000
2002-03-25,21341760000
2002-03-26,21436360000
2002-03-27,21956660000
2002-03-28,22089100000
2002-04-01,22117480000
2002-04-02,22098560000
2002-04-03,21682320000
2002-04-04,21871520000
2002-04-05,21672860000
2002-04-08,22013420000
2002-04-09,21701240000
2002-04-10,22325600000
2002-04-11,22136400000
2002-04-12,21663400000
2002-04-15,21389060000
2002-04-16,21758000000
2002-04-17,20774160000
2002-04-18,20017360000
2002-04-19,20528200000
2002-04-22,20764700000
2002-04-23,20613340000
2002-04-24,20376840000
2002-04-25,20584960000
2002-04-26,20348460000
2002-04-29,20216020000
2002-04-30,20887680000
2002-05-01,21020120000
2002-05-02,20689020000
2002-05-03,20726860000
2002-05-06,20045740000
2002-05-07,20282240000
2002-05-08,20925520000
2002-05-09,20689020000
2002-05-10,20461980000
2002-05-13,20698480000
2002-05-14,21105260000
2002-05-15,20972820000
2002-05-16,20793080000
2002-05-17,20925520000
2002-05-20,20632260000
2002-05-21,20244400000
2002-05-22,20329540000
2002-05-23,20594420000
2002-05-24,20575500000
2002-05-28,20339000000
2002-05-29,20301160000
2002-05-30,20329540000
2002-05-31,20499820000
2002-06-03,19705180000
2002-06-04,19695720000
2002-06-05,20395760000
2002-06-06,20225480000
2002-06-07,20348460000
2002-06-10,20566040000
2002-06-11,20452520000
2002-06-12,20821460000
2002-06-13,20461980000
2002-06-14,20320080000
2002-06-17,20679560000
2002-06-18,20793080000
2002-06-19,20812000000
2002-06-20,20480900000
2002-06-21,19572740000
2002-06-24,19799780000
2002-06-25,19657880000
2002-06-26,19307860000
2002-06-27,19913300000
2002-06-28,20216020000
2002-07-01,19743020000
2002-07-02,19374080000
2002-07-03,19298400000
2002-07-05,20613340000
2002-07-08,20272780000
2002-07-09,19913300000
2002-07-10,19109200000
2002-07-11,19109200000
2002-07-12,18844320000
2002-07-15,18560520000
2002-07-16,18428080000
2002-07-17,19336240000
2002-07-18,19184880000
2002-07-19,18352400000
2002-07-22,17860480000
2002-07-23,18238880000
2002-07-24,19203800000
2002-07-25,19497060000
2002-07-26,19582200000
2002-07-29,20868760000
2002-07-30,21133640000
2002-07-31,20689020000
2002-08-01,20225480000
2002-08-02,19563280000
2002-08-05,18787560000
2002-08-06,19411920000
2002-08-07,19988980000
2002-08-08,20518740000
2002-08-09,20509280000
2002-08-12,20376840000
2002-08-13,18598360000
2002-08-14,18257800000
2002-08-15,18380780000
2002-08-16,18229420000
2002-08-19,18834860000
2002-08-20,18617280000
2002-08-21,18238880000
2002-08-22,18532140000
2002-08-23,18002380000
2002-08-26,17822640000
2002-08-27,17983460000
2002-08-28,17652360000
2002-08-29,17491540000
2002-08-30,17680740000
2002-09-03,16876640000
2002-09-04,17264500000
2002-09-05,16933399999
2002-09-06,17463160000
2002-09-09,17605060000
2002-09-10,18219960000
2002-09-11,18551060000
2002-09-12,18191580000
2002-09-13,17264500000
2002-09-16,17803720000
2002-09-17,17311800000
2002-09-18,17141520000
2002-09-19,17028000000
2002-09-20,17330720000
2002-09-23,17084759999
2002-09-24,16659060000
2002-09-25,17160440000
2002-09-26,17879400000
2002-09-27,16867179999
2002-09-30,16713200000
2002-10-01,17465200000
2002-10-02,16619200000
2002-10-03,16393600000
2002-10-04,15519400000
2002-10-07,15190400000
2002-10-08,15171600000
2002-10-09,14551200000
2002-10-10,15425400000
2002-10-11,16290199999
2002-10-14,15867200000
2002-10-15,16337200000
2002-10-16,16158600000
2002-10-17,17747200000
2002-10-18,17963400000
2002-10-21,18809400000
2002-10-22,18132600000
2002-10-23,18283000000
2002-10-24,17897600000
2002-10-25,18320600000
2002-10-28,17728400000
2002-10-29,18113800000
2002-10-30,18536800000
2002-10-31,18245400000
2002-11-01,18442800000
2002-11-04,18546200000
2002-11-05,18847000000
2002-11-06,19467400000
2002-11-07,18894000000
2002-11-08,18640200000
2002-11-11,18019800000
2002-11-12,18405200000
2002-11-13,18348800000
2002-11-14,18527400000
2002-11-15,18640200000
2002-11-18,18217200000
2002-11-19,18367600000
2002-11-20,18771800000
2002-11-21,19279400000
2002-11-22,18818800000
2002-11-25,19166600000
2002-11-26,18640200000
2002-11-27,18875200000
2002-11-29,18480400000
2002-12-02,18687200000
2002-12-03,18207800000
2002-12-04,18565000000
2002-12-05,18085600000
2002-12-06,18339400000
2002-12-09,17925800000
2002-12-10,18010400000
2002-12-11,18132600000
2002-12-12,18386400000
2002-12-13,17775400000
2002-12-16,18433400000
2002-12-17,18264200000
2002-12-18,18245400000
2002-12-19,18142000000
2002-12-20,18367600000
2002-12-23,18217200000
2002-12-24,18189000000
2002-12-26,18189000000
2002-12-27,18038600000
2002-12-30,18170200000
2002-12-31,18320600000
2003-01-02,18753000000
2003-01-03,19053800000
2003-01-06,19223000000
2003-01-07,18818800000
2003-01-08,18706000000
2003-01-09,19204200000
2003-01-10,19025600000
2003-01-13,18969200000
2003-01-14,19025600000
2003-01-15,19044400000
2003-01-16,19580200000
2003-01-17,19429800000
2003-01-21,19223000000
2003-01-22,18875200000
2003-01-23,19345200000
2003-01-24,18903400000
2003-01-27,18593200000
2003-01-28,18884600000
2003-01-29,18912800000
2003-01-30,18668400000
2003-01-31,18809400000
2003-02-03,19185400000
2003-02-04,19053800000
2003-02-05,18959800000
2003-02-06,18903400000
2003-02-07,18828200000
2003-02-10,18922200000
2003-02-11,18518000000
2003-02-12,17897600000
2003-02-13,17634400000
2003-02-14,18320600000
2003-02-18,18301800000
2003-02-19,18395800000
2003-02-20,17972800000
2003-02-21,18198400000
2003-02-24,17643800000
2003-02-25,17615600000
2003-02-26,17136200000
2003-02-27,17343000000
2003-02-28,17324200000
2003-03-03,17098600000
2003-03-04,16854200000
2003-03-05,16797800000
2003-03-06,16647400000
2003-03-07,16891799999
2003-03-10,16553400000
2003-03-11,16036399999
2003-03-12,16017600000
2003-03-13,16967000000
2003-03-14,17408800000
2003-03-17,18038600000
2003-03-18,18264200000
2003-03-19,18283000000
2003-03-20,18104400000
2003-03-21,18922200000
2003-03-24,18189000000
2003-03-25,18217200000
2003-03-26,18123200000
2003-03-27,17756600000
2003-03-28,17380600000
2003-03-31,17016480000
2003-04-01,17344080000
2003-04-02,17784000000
2003-04-03,17306640000
2003-04-04,17690400000
2003-04-07,17999280000
2003-04-08,17886960000
2003-04-09,17980560000
2003-04-10,18027360000
2003-04-11,18036720000
2003-04-14,18392400000
2003-04-15,18766800000
2003-04-16,18336240000
2003-04-17,17671680000
2003-04-21,17952480000
2003-04-22,18120960000
2003-04-23,18036720000
2003-04-24,17905680000
2003-04-25,17784000000
2003-04-28,18046080000
2003-04-29,18223920000
2003-04-30,18205200000
2003-05-01,18158400000
2003-05-02,18673200000
2003-05-05,18308160000
2003-05-06,18542160000
2003-05-07,18626400000
2003-05-08,18607680000
2003-05-09,19085040000
2003-05-12,19693440000
2003-05-13,19815120000
2003-05-14,19852560000
2003-05-15,19955520000
2003-05-16,19880640000
2003-05-19,19609200000
2003-05-20,19300320000
2003-05-21,19347120000
2003-05-22,19553040000
2003-05-23,19450080000
2003-05-27,20011680000
2003-05-28,20086560000
2003-05-29,19562400000
2003-05-30,20105280000
2003-06-02,20442240000
2003-06-03,20432880000
2003-06-04,20573280000
2003-06-05,20797920000
2003-06-06,20910240000
2003-06-09,20395440000
2003-06-10,20826000000
2003-06-11,21425040000
2003-06-12,21378240000
2003-06-13,21237840000
2003-06-16,21649680000
2003-06-17,21537360000
2003-06-18,21556080000
2003-06-19,21172320000
2003-06-20,21340800000
2003-06-23,20854080000
2003-06-24,20957040000
2003-06-25,20797920000
2003-06-26,20704320000
2003-06-27,20797920000
2003-06-30,20952600000
2003-07-01,21084200000
2003-07-02,21262800000
2003-07-03,21131200000
2003-07-07,21460200000
2003-07-08,21873800000
2003-07-09,21488400000
2003-07-10,21234600000
2003-07-11,21714000000
2003-07-14,21488400000
2003-07-15,21272200000
2003-07-16,21356800000
2003-07-17,21808000000
2003-07-18,22033600000
2003-07-21,21817400000
2003-07-22,22475400000
2003-07-23,22569400000
2003-07-24,22137000000
2003-07-25,22372000000
2003-07-28,22672800000
2003-07-29,22701000000
2003-07-30,22597600000
2003-07-31,22249800000
2003-08-01,22259200000
2003-08-04,22409600000
2003-08-05,21996000000
2003-08-06,21704600000
2003-08-07,21582400000
2003-08-08,21667000000
2003-08-11,21591800000
2003-08-12,22061800000
2003-08-13,22090000000
2003-08-14,22475400000
2003-08-15,22625800000
2003-08-18,22776200000
2003-08-19,23283800000
2003-08-20,22954800000
2003-08-21,23490600000
2003-08-22,23199200000
2003-08-25,23067600000
2003-08-26,23161600000
2003-08-27,23293200000
2003-08-28,23584600000
2003-08-29,23735000000
2003-09-02,23650400000
2003-09-03,23575200000
2003-09-04,23509400000
2003-09-05,23086400000
2003-09-08,23547000000
2003-09-09,23265000000
2003-09-10,23020600000
2003-09-11,23152200000
2003-09-12,23227400000
2003-09-15,23133400000
2003-09-16,23612800000
2003-09-17,23443600000
2003-09-18,23500000000
2003-09-19,23415400000
2003-09-22,23199200000
2003-09-23,23443600000
2003-09-24,23142800000
2003-09-25,23133400000
2003-09-26,23077000000
2003-09-29,23443600000
2003-09-30,24222720000
2003-10-01,25039440000
2003-10-02,25208760000
2003-10-03,25637040000
2003-10-06,25507560000
2003-10-07,25627080000
2003-10-08,25696800000
2003-10-09,25886040000
2003-10-10,25736640000
2003-10-13,26075280000
2003-10-14,26403960000
2003-10-15,26234640000
2003-10-16,26453760000
2003-10-17,26244600000
2003-10-20,26423880000
2003-10-21,26284440000
2003-10-22,25975680000
2003-10-23,26005560000
2003-10-24,26065320000
2003-10-27,26314320000
2003-10-28,26354160000
2003-10-29,26503560000
2003-10-30,26872080000
2003-10-31,26543400000
2003-11-03,26892000000
2003-11-04,26961720000
2003-11-05,27081240000
2003-11-06,27370080000
2003-11-07,27170880000
2003-11-10,26772480000
2003-11-11,26722680000
2003-11-12,27011520000
2003-11-13,27091200000
2003-11-14,26921880000
2003-11-17,26633040000
2003-11-18,26085240000
2003-11-19,26045400000
2003-11-20,26105160000
2003-11-21,26294400000
2003-11-24,26672880000
2003-11-25,26772480000
2003-11-26,27051360000
2003-11-28,26862120000
2003-12-01,27390000000
2003-12-02,27439800000
2003-12-03,27350160000
2003-12-04,27559320000
2003-12-05,27499560000
2003-12-08,27748560000
2003-12-09,27728640000
2003-12-10,27668880000
2003-12-11,27977640000
2003-12-12,28704720000
2003-12-15,28694760000
2003-12-16,29312280000
2003-12-17,29182800000
2003-12-18,29401920000
2003-12-19,29491560000
2003-12-22,29790360000
2003-12-23,29770440000
2003-12-24,29481600000
2003-12-26,29670840000
2003-12-29,29939760000
2003-12-30,29650920000
2003-12-31,29700720000
2004-01-02,29571240000
2004-01-05,29750520000
2004-01-06,29680800000
2004-01-07,29770440000
2004-01-08,29740560000
2004-01-09,29312280000
2004-01-12,29133000000
2004-01-13,29272440000
2004-01-14,30039360000
2004-01-15,29899920000
2004-01-16,30557280000
2004-01-20,29710680000
2004-01-21,30049320000
2004-01-22,29850120000
2004-01-23,29541360000
2004-01-26,29840160000
2004-01-27,30049320000
2004-01-28,29880000000
2004-01-29,29860080000
2004-01-30,29939760000
2004-02-02,30148920000
2004-02-03,30129000000
2004-02-04,29501520000
2004-02-05,29621040000
2004-02-06,29561280000
2004-02-09,29730600000
2004-02-10,29959680000
2004-02-11,29999520000
2004-02-12,29810280000
2004-02-13,29660880000
2004-02-17,29939760000
2004-02-18,30517440000
2004-02-19,30477600000
2004-02-20,30278400000
2004-02-23,29401920000
2004-02-24,28784400000
2004-02-25,28923840000
2004-02-26,28166880000
2004-02-27,28864080000
2004-03-01,28893960000
2004-03-02,28296360000
2004-03-03,28366080000
2004-03-04,28276440000
2004-03-05,28176840000
2004-03-08,28346160000
2004-03-09,27818280000
2004-03-10,27300360000
2004-03-11,26832240000
2004-03-12,27380040000
2004-03-15,27549360000
2004-03-16,27589200000
2004-03-17,27828240000
2004-03-18,27529440000
2004-03-19,26762520000
2004-03-22,26433840000
2004-03-23,26443800000
2004-03-24,26344200000
2004-03-25,26921880000
2004-03-26,27051360000
2004-03-29,26901960000
2004-03-30,26872080000
2004-03-31,53885440000
2004-04-01,54044160000
2004-04-02,54778240000
2004-04-05,55710720000
2004-04-06,56028160000
2004-04-07,56305920000
2004-04-08,56067840000
2004-04-12,55671040000
2004-04-13,54996480000
2004-04-14,55036160000
2004-04-15,55016320000
2004-04-16,55393280000
2004-04-19,55056000000
2004-04-20,54619520000
2004-04-21,53072000000
2004-04-22,54758400000
2004-04-23,55512320000
2004-04-26,55869440000
2004-04-27,56147200000
2004-04-28,55611520000
2004-04-29,54302080000
2004-04-30,53845760000
2004-05-03,54282240000
2004-05-04,53905280000
2004-05-05,53766400000
2004-05-06,53508480000
2004-05-07,53171200000
2004-05-10,51980800000
2004-05-11,51901440000
2004-05-12,52754560000
2004-05-13,52099840000
2004-05-14,51980800000
2004-05-17,51405440000
2004-05-18,51345920000
2004-05-19,51167360000
2004-05-20,50889600000
2004-05-21,50909440000
2004-05-24,51643520000
2004-05-25,52437120000
2004-05-26,51703040000
2004-05-27,52496640000
2004-05-28,52814080000
2004-06-01,52853760000
2004-06-02,53310080000
2004-06-03,53210880000
2004-06-04,53528320000
2004-06-07,54361600000
2004-06-08,54936960000
2004-06-09,54837760000
2004-06-10,55095680000
2004-06-14,54996480000
2004-06-15,55730560000
2004-06-16,55432960000
2004-06-17,55631360000
2004-06-18,56147200000
2004-06-21,55373440000
2004-06-22,54837760000
2004-06-23,55948800000
2004-06-24,56186880000
2004-06-25,55710720000
2004-06-28,55651200000
2004-06-29,56524160000
2004-06-30,57119360000
2004-07-01,56623360000
2004-07-02,55869440000
2004-07-06,55214720000
2004-07-07,55274240000
2004-07-08,55135360000
2004-07-09,56028160000
2004-07-12,56226560000
2004-07-13,56424960000
2004-07-14,56087680000
2004-07-15,56801920000
2004-07-16,56682880000
2004-07-19,56127360000
2004-07-20,56544000000
2004-07-21,57853440000
2004-07-22,57813760000
2004-07-23,57496320000
2004-07-26,58051840000
2004-07-27,59004160000
2004-07-28,59123200000
2004-07-29,58746240000
2004-07-30,58369280000
2004-08-02,58666880000
2004-08-03,58428800000
2004-08-04,58428800000
2004-08-05,57119360000
2004-08-06,56226560000
2004-08-09,55849600000
2004-08-10,56980480000
2004-08-11,57357440000
2004-08-12,56682880000
2004-08-13,56762240000
2004-08-16,57893120000
2004-08-17,57536000000
2004-08-18,57992320000
2004-08-19,57932800000
2004-08-20,58686720000
2004-08-23,57992320000
