,ESS
2000-11-09,942792371
2000-11-10,939310051
2000-11-13,954155732
2000-11-14,960020692
2000-11-15,953056052
2000-11-16,931245730
2000-11-17,942792371
2000-11-20,947374371
2000-11-21,950856691
2000-11-22,950856691
2000-11-24,961120372
2000-11-27,953056052
2000-11-28,956538372
2000-11-29,961120372
2000-11-30,963319732
2000-12-01,970284372
2000-12-04,972483733
2000-12-05,997776374
2000-12-06,985130053
2000-12-07,980548053
2000-12-08,1002358374
2000-12-11,1006940374
2000-12-12,1013721735
2000-12-13,1008040055
2000-12-14,1003458054
2000-12-15,1022885735
2000-12-18,1058442057
2000-12-19,1051660697
2000-12-20,1047078697
2000-12-21,1033332696
2000-12-22,1017204055
2000-12-26,1016104375
2000-12-27,1017204055
2000-12-28,1036631736
2000-12-29,1003458054
2001-01-02,1000805345
2001-01-03,1030842405
2001-01-04,1014626078
2001-01-05,954736235
2001-01-08,959343146
2001-01-09,958237488
2001-01-10,967451310
2001-01-11,958237488
2001-01-12,961738740
2001-01-16,958237488
2001-01-17,952524918
2001-01-18,952524918
2001-01-19,946812348
2001-01-22,938704185
2001-01-23,952524918
2001-01-24,943311096
2001-01-25,947918007
2001-01-26,935202933
2001-01-29,945338137
2001-01-30,950682153
2001-01-31,953630577
2001-02-01,961738740
2001-02-02,973348156
2001-02-05,975928026
2001-02-06,974822367
2001-02-07,948102283
2001-02-08,930596022
2001-02-09,921197923
2001-02-12,923224964
2001-02-13,917696671
2001-02-14,923224964
2001-02-15,920460817
2001-02-16,921382200
2001-02-20,922303582
2001-02-21,919539435
2001-02-22,905902979
2001-02-23,919539435
2001-02-26,922303582
2001-02-27,919539435
2001-02-28,924146346
2001-03-01,937045697
2001-03-02,950497877
2001-03-05,943679649
2001-03-06,952340641
2001-03-07,950313601
2001-03-08,947918007
2001-03-09,948470836
2001-03-12,939809844
2001-03-13,942758267
2001-03-14,937967079
2001-03-15,939809844
2001-03-16,933360168
2001-03-19,940546949
2001-03-20,937967079
2001-03-21,914011142
2001-03-22,910325613
2001-03-23,918618053
2001-03-26,914011142
2001-03-27,894662116
2001-03-28,874207431
2001-03-29,881762765
2001-03-30,885448294
2001-04-02,882494928
2001-04-03,855540062
2001-04-04,839108671
2001-04-05,842801119
2001-04-06,823415770
2001-04-09,823415770
2001-04-10,815477008
2001-04-11,800153351
2001-04-12,800337973
2001-04-16,797568638
2001-04-17,814738518
2001-04-18,825446616
2001-04-19,839293294
2001-04-20,826185105
2001-04-23,826185105
2001-04-24,842616496
2001-04-25,893018403
2001-04-26,886556620
2001-04-27,889510578
2001-04-30,867725139
2001-05-01,864032691
2001-05-02,862186467
2001-05-03,864032691
2001-05-04,867725139
2001-05-07,863109579
2001-05-08,864586558
2001-05-09,863478824
2001-05-10,860340244
2001-05-11,860340244
2001-05-14,866248160
2001-05-15,867540516
2001-05-16,869571362
2001-05-17,872525320
2001-05-18,867725139
2001-05-21,865878915
2001-05-22,866248160
2001-05-23,866802027
2001-05-24,874186921
2001-05-25,865878915
2001-05-29,877879369
2001-05-30,867909761
2001-05-31,867725139
2001-06-01,869755985
2001-06-04,880464082
2001-06-05,883787285
2001-06-06,885633508
2001-06-07,887110487
2001-06-08,886556620
2001-06-11,900403298
2001-06-12,916834689
2001-06-13,912772997
2001-06-14,910557528
2001-06-15,916834689
2001-06-18,929573632
2001-06-19,920342514
2001-06-20,924034961
2001-06-21,928650521
2001-06-22,934189192
2001-06-25,929758255
2001-06-26,939912485
2001-06-27,925696563
2001-06-28,930127500
2001-06-29,914803843
2001-07-02,924927022
2001-07-03,919934414
2001-07-05,913462513
2001-07-06,911613399
2001-07-09,907360436
2001-07-10,910134107
2001-07-11,908100081
2001-07-12,911613399
2001-07-13,914387070
2001-07-16,917900388
2001-07-17,921043882
2001-07-18,922892997
2001-07-19,927700694
2001-07-20,938980292
2001-07-23,934727329
2001-07-24,936576443
2001-07-25,933802772
2001-07-26,931953657
2001-07-27,937870823
2001-07-30,938055735
2001-07-31,941199229
2001-08-01,945822015
2001-08-02,955992144
2001-08-03,949705155
2001-08-06,960614930
2001-08-07,962279133
2001-08-08,968011388
2001-08-09,976147491
2001-08-10,977256960
2001-08-13,973558731
2001-08-14,978551340
2001-08-15,986872355
2001-08-16,993714078
2001-08-17,996672661
2001-08-20,998891598
2001-08-21,1000740713
2001-08-22,1009986285
2001-08-23,1006842790
2001-08-24,997597218
2001-08-27,987981823
2001-08-28,985208152
2001-08-29,978181517
2001-08-30,976517314
2001-08-31,963388602
2001-09-04,959690373
2001-09-05,958950727
2001-09-06,948780598
2001-09-07,942863432
2001-09-10,940829406
2001-09-17,914202159
2001-09-18,920858971
2001-09-19,915311628
2001-09-20,897560129
2001-09-21,889239114
2001-09-24,887020177
2001-09-25,884061594
2001-09-26,881103011
2001-09-27,888129646
2001-09-28,907915170
2001-10-01,904988686
2001-10-02,894656501
2001-10-03,858124848
2001-10-04,871778092
2001-10-05,876390675
2001-10-08,882848290
2001-10-09,881925774
2001-10-10,897608554
2001-10-11,916058884
2001-10-12,910523785
2001-10-15,931741665
2001-10-16,935062724
2001-10-17,927682592
2001-10-18,929896632
2001-10-19,924730539
2001-10-22,913475838
2001-10-23,912922328
2001-10-24,904066170
2001-10-25,893733985
2001-10-26,873069615
2001-10-29,876390675
2001-10-30,859785378
2001-10-31,864397960
2001-11-01,868272529
2001-11-02,865873986
2001-11-05,859785378
2001-11-06,868088026
2001-11-07,854619285
2001-11-08,851667232
2001-11-09,843918094
2001-11-12,852405246
2001-11-13,862368424
2001-11-14,862921934
2001-11-15,871962595
2001-11-16,881003257
2001-11-19,881003257
2001-11-20,876759681
2001-11-21,894841005
2001-11-23,894471998
2001-11-26,890781932
2001-11-27,885246833
2001-11-28,880265244
2001-11-29,882479283
2001-11-30,879711734
2001-12-03,885062330
2001-12-04,894841005
2001-12-05,899638090
2001-12-06,908125242
2001-12-07,909416765
2001-12-10,896686038
2001-12-11,906280209
2001-12-12,909601269
2001-12-13,903143653
2001-12-14,903143653
2001-12-17,916612394
2001-12-18,916796897
2001-12-19,915136368
2001-12-20,910708288
2001-12-21,909601269
2001-12-24,915136368
2001-12-26,922701003
2001-12-27,915874381
2001-12-28,917903917
2001-12-31,914090780
2002-01-02,912055768
2002-01-03,919455814
2002-01-04,915200787
2002-01-07,909280750
2002-01-08,912055768
2002-01-09,912610771
2002-01-10,914090780
2002-01-11,909280750
2002-01-14,915755791
2002-01-15,905210724
2002-01-16,895405662
2002-01-17,890225630
2002-01-18,875240535
2002-01-22,875980539
2002-01-23,877830551
2002-01-24,879680563
2002-01-25,868580493
2002-01-28,863030458
2002-01-29,859145433
2002-01-30,858960432
2002-01-31,857295421
2002-02-01,860810444
2002-02-04,860440441
2002-02-05,854705405
2002-02-06,856555417
2002-02-07,858405428
2002-02-08,860995445
2002-02-11,864880469
2002-02-12,865250472
2002-02-13,870430504
2002-02-14,871725513
2002-02-15,875055534
2002-02-19,872650518
2002-02-20,877830551
2002-02-21,872835520
2002-02-22,880420568
2002-02-25,871910514
2002-02-26,876350542
2002-02-27,876350542
2002-02-28,876905545
2002-03-01,884305592
2002-03-04,900585695
2002-03-05,925005850
2002-03-06,921860830
2002-03-07,922785835
2002-03-08,922415833
2002-03-11,924080844
2002-03-12,930555885
2002-03-13,931480890
2002-03-14,945355978
2002-03-15,946095983
2002-03-18,966446112
2002-03-19,968481124
2002-03-20,973106154
2002-03-21,985316231
2002-03-22,998451314
2002-03-25,992531277
2002-03-26,969961134
2002-03-27,987906247
2002-03-28,965336105
2002-04-01,973329574
2002-04-02,973329574
2002-04-03,978538524
2002-04-04,974259743
2002-04-05,983189372
2002-04-08,990444696
2002-04-09,987840221
2002-04-10,1004955343
2002-04-11,993607273
2002-04-12,1025977179
2002-04-15,1009234124
2002-04-16,995281579
2002-04-17,992491069
2002-04-18,991560900
2002-04-19,985979882
2002-04-22,964213911
2002-04-23,952493772
2002-04-24,960865300
2002-04-25,976864218
2002-04-26,970166997
2002-04-29,966260284
2002-04-30,967376488
2002-05-01,974631811
2002-05-02,981329033
2002-05-03,979654728
2002-05-06,975561981
2002-05-07,971097166
2002-05-08,966074250
2002-05-09,959935130
2002-05-10,943750177
2002-05-13,945052415
2002-05-14,946540686
2002-05-15,953423942
2002-05-16,936308820
2002-05-17,938541227
2002-05-20,933890378
2002-05-21,935750718
2002-05-22,939099329
2002-05-23,963655809
2002-05-24,967376488
2002-05-28,972585438
2002-05-29,973887675
2002-05-30,967376488
2002-05-31,972027336
2002-06-03,966446318
2002-06-04,979654728
2002-06-05,982445237
2002-06-06,993421239
2002-06-07,1004955343
2002-06-10,1001606732
2002-06-11,992491069
2002-06-12,995467612
2002-06-13,1001792766
2002-06-14,1001420699
2002-06-17,1019465991
2002-06-18,1019093923
2002-06-19,1019652025
2002-06-20,1025047009
2002-06-21,1037139215
2002-06-24,1020210126
2002-06-25,1029697857
2002-06-26,1016117380
2002-06-27,1024116839
2002-06-28,1017605651
2002-07-01,1002590537
2002-07-02,991216225
2002-07-03,975989324
2002-07-05,979658457
2002-07-08,957643660
2002-07-09,953974528
2002-07-10,940215280
2002-07-11,921686159
2002-07-12,902606668
2002-07-15,903157038
2002-07-16,913063697
2002-07-17,904991605
2002-07-18,880958785
2002-07-19,871419040
2002-07-22,861879294
2002-07-23,829774382
2002-07-24,831608949
2002-07-25,857476335
2002-07-26,899120992
2002-07-29,942600216
2002-07-30,953974528
2002-07-31,935628864
2002-08-01,935628864
2002-08-02,917099743
2002-08-05,912696784
2002-08-06,916916286
2002-08-07,930125164
2002-08-08,935261950
2002-08-09,923887639
2002-08-12,929207881
2002-08-13,913063697
2002-08-14,928290598
2002-08-15,918200483
2002-08-16,942416759
2002-08-19,941132563
2002-08-20,935628864
2002-08-21,948654285
2002-08-22,947003175
2002-08-23,946636262
2002-08-26,969568342
2002-08-27,965899209
2002-08-28,973604388
2002-08-29,975622411
2002-08-30,968651059
2002-09-03,951222678
2002-09-04,964981926
2002-09-05,960945880
2002-09-06,964615013
2002-09-09,967366862
2002-09-10,954708354
2002-09-11,953974528
2002-09-12,948470828
2002-09-13,950121938
2002-09-16,943700956
2002-09-17,943334042
2002-09-18,938564170
2002-09-19,925722205
2002-09-20,928290598
2002-09-23,930492078
2002-09-24,923520725
2002-09-25,915448633
2002-09-26,922970355
2002-09-27,916365916
2002-09-30,907009628
2002-10-01,906459258
2002-10-02,898937536
2002-10-03,893250380
2002-10-04,889030877
2002-10-07,869584473
2002-10-08,859494358
2002-10-09,830141296
2002-10-10,854541029
2002-10-11,858577075
2002-10-14,854357572
2002-10-15,860044728
2002-10-16,847569676
2002-10-17,862246208
2002-10-18,853990659
2002-10-21,857109422
2002-10-22,843900544
2002-10-23,841148694
2002-10-24,847386220
2002-10-25,859494358
2002-10-28,857659792
2002-10-29,867749907
2002-10-30,879674588
2002-10-31,870685213
2002-11-01,883710634
2002-11-04,897469882
2002-11-05,894351120
2002-11-06,905175061
2002-11-07,902423212
2002-11-08,898203709
2002-11-11,887012854
2002-11-12,896185686
2002-11-13,891599270
2002-11-14,917283200
2002-11-15,916916286
2002-11-18,904808148
2002-11-19,909944934
2002-11-20,912146414
2002-11-21,929941708
2002-11-22,931959731
2002-11-25,933794297
2002-11-26,933794297
2002-11-27,942049846
2002-11-29,935628864
2002-12-02,946636262
2002-12-03,949021198
2002-12-04,926456032
2002-12-05,925355292
2002-12-06,926456032
2002-12-09,933794297
2002-12-10,934711580
2002-12-11,931959731
2002-12-12,930125164
2002-12-13,925538748
2002-12-16,931959731
2002-12-17,924621465
2002-12-18,914531350
2002-12-19,917283200
2002-12-20,924804922
2002-12-23,940949106
2002-12-24,937463430
2002-12-26,928657511
2002-12-27,934711580
2002-12-30,937463430
2002-12-31,1067641921
2003-01-02,1078769753
2003-01-03,1081709180
2003-01-06,1086538239
2003-01-07,1079189671
2003-01-08,1071211226
2003-01-09,1073310816
2003-01-10,1064072617
2003-01-13,1071001267
2003-01-14,1074990489
2003-01-15,1076880121
2003-01-16,1071001267
2003-01-17,1070371389
2003-01-21,1040977118
2003-01-22,1045596218
2003-01-23,1042656791
2003-01-24,1040557200
2003-01-27,1039297446
2003-01-28,1043496627
2003-01-29,1047275891
2003-01-30,1042446832
2003-01-31,1059873435
2003-02-03,1046646013
2003-02-04,1059243558
2003-02-05,1059033599
2003-02-06,1058193763
2003-02-07,1055254336
2003-02-10,1058823640
2003-02-11,1049375481
2003-02-12,1045596218
2003-02-13,1049795400
2003-02-14,1058193763
2003-02-18,1063442740
2003-02-19,1060293354
2003-02-20,1064912453
2003-02-21,1065122412
2003-02-24,1049795400
2003-02-25,1060083394
2003-02-26,1061133190
2003-02-27,1068481758
2003-02-28,1069741512
2003-03-03,1068901676
2003-03-04,1064072617
2003-03-05,1069741512
2003-03-06,1062392944
2003-03-07,1066802085
2003-03-10,1058613681
2003-03-11,1066592126
2003-03-12,1062182985
2003-03-13,1072890898
2003-03-14,1072680939
2003-03-17,1085488443
2003-03-18,1079189671
2003-03-19,1102285170
2003-03-20,1106484351
2003-03-21,1152675349
2003-03-24,1115932510
2003-03-25,1124750791
2003-03-26,1124330873
2003-03-27,1112783124
2003-03-28,1104594719
2003-03-31,1099134866
2003-04-01,1132792584
2003-04-02,1151304330
2003-04-03,1135947996
2003-04-04,1128585370
2003-04-07,1146466033
2003-04-08,1138051603
2003-04-09,1149621444
2003-04-10,1138472324
2003-04-11,1131530420
2003-04-14,1146255672
2003-04-15,1138051603
2003-04-16,1160560202
2003-04-17,1162243088
2003-04-21,1164136335
2003-04-22,1188117459
2003-04-23,1191272870
2003-04-24,1175916536
2003-04-25,1164557056
2003-04-28,1161191284
2003-04-29,1164346695
2003-04-30,1156352987
2003-05-01,1188117459
2003-05-02,1187486377
2003-05-05,1191693592
2003-05-06,1211467501
2003-05-07,1202632350
2003-05-08,1198425135
2003-05-09,1205367040
2003-05-12,1204315236
2003-05-13,1211046780
2003-05-14,1199476939
2003-05-15,1200739103
2003-05-16,1199056218
2003-05-19,1190010706
2003-05-20,1213360748
2003-05-21,1223878785
2003-05-22,1225351310
2003-05-23,1224299506
2003-05-27,1230399968
2003-05-28,1216936880
2003-05-29,1187907098
2003-05-30,1198845857
2003-06-02,1214833273
2003-06-03,1220092292
2003-06-04,1231662132
2003-06-05,1230610329
2003-06-06,1236290068
2003-06-09,1230820689
2003-06-10,1247859909
2003-06-11,1248911713
2003-06-12,1233345018
2003-06-13,1219461209
2003-06-16,1227244557
2003-06-17,1223878785
2003-06-18,1218199045
2003-06-19,1210626058
2003-06-20,1209363894
2003-06-23,1191062509
2003-06-24,1208522451
2003-06-25,1216726520
2003-06-26,1192745395
2003-06-27,1204315236
2003-06-30,1209476610
2003-07-01,1230602839
2003-07-02,1239264593
2003-07-03,1246447511
2003-07-07,1246236248
2003-07-08,1260602084
2003-07-09,1246447511
2003-07-10,1238208281
2003-07-11,1255743051
2003-07-14,1255109264
2003-07-15,1254898002
2003-07-16,1254264215
2003-07-17,1221096036
2003-07-18,1231659150
2003-07-21,1217927101
2003-07-22,1219617200
2003-07-23,1212645544
2003-07-24,1228912740
2003-07-25,1242433527
2003-07-28,1251729068
2003-07-29,1266517428
2003-07-30,1294615313
2003-07-31,1280249477
2003-08-01,1268418789
2003-08-04,1270108887
2003-08-05,1271798985
2003-08-06,1277503067
2003-08-07,1286587346
2003-08-08,1291023854
2003-08-11,1302009493
2003-08-12,1298840558
2003-08-13,1286798608
2003-08-14,1311938820
2003-08-15,1299263083
2003-08-18,1304544640
2003-08-19,1299051821
2003-08-20,1318276689
2003-08-21,1341515541
2003-08-22,1330952427
2003-08-25,1312572607
2003-08-26,1343416902
2003-08-27,1341938066
2003-08-28,1335600197
2003-08-29,1327783492
2003-09-02,1343205639
2003-09-03,1362430508
2003-09-04,1362641770
2003-09-05,1358839049
2003-09-08,1364754393
2003-09-09,1371303524
2003-09-10,1355458852
2003-09-11,1362641770
2003-09-12,1367923327
2003-09-15,1362641770
2003-09-16,1365810704
2003-09-17,1345952049
2003-09-18,1342360590
2003-09-19,1349543508
2003-09-22,1348487197
2003-09-23,1346797098
2003-09-24,1341726803
2003-09-25,1333487574
2003-09-26,1307713575
2003-09-29,1315741542
2003-09-30,1324825820
2003-10-01,1300953181
2003-10-02,1311938820
2003-10-03,1314051443
2003-10-06,1330952427
2003-10-07,1322924459
2003-10-08,1324614558
2003-10-09,1346163311
2003-10-10,1338769131
2003-10-13,1341726803
2003-10-14,1347430885
2003-10-15,1344050688
2003-10-16,1338346607
2003-10-17,1332642525
2003-10-20,1334121361
2003-10-21,1339825443
2003-10-22,1318276689
2003-10-23,1312995132
2003-10-24,1289756280
2003-10-27,1308769886
2003-10-28,1310248722
2003-10-29,1309614935
2003-10-30,1285531034
2003-10-31,1265038592
2003-11-03,1295460362
2003-11-04,1298629296
2003-11-05,1296094149
2003-11-06,1320600574
2003-11-07,1309192411
2003-11-10,1303699591
2003-11-11,1299263083
2003-11-12,1325037082
2003-11-13,1326727181
2003-11-14,1328417279
2003-11-17,1325670869
2003-11-18,1313417656
2003-11-19,1311938820
2003-11-20,1315741542
2003-11-21,1320389312
2003-11-24,1321023099
2003-11-25,1333065049
2003-11-26,1346797098
2003-11-28,1351022344
2003-12-01,1366867016
2003-12-02,1372782360
2003-12-03,1368979639
2003-12-04,1365176917
2003-12-05,1366233229
2003-12-08,1375528770
2003-12-09,1376796343
2003-12-10,1371092262
2003-12-11,1383556737
2003-12-12,1396021212
2003-12-15,1378486442
2003-12-16,1367923327
2003-12-17,1370669737
2003-12-18,1370035950
2003-12-19,1376373819
2003-12-22,1386725671
2003-12-23,1380599065
2003-12-24,1388627032
2003-12-26,1391795966
2003-12-29,1372993622
2003-12-30,1373416147
2003-12-31,1466994028
2004-01-02,1465166568
2004-01-05,1447120394
2004-01-06,1438896821
2004-01-07,1434099737
2004-01-08,1432957574
2004-01-09,1429531085
2004-01-12,1416281996
2004-01-13,1424505568
2004-01-14,1436840928
2004-01-15,1428845787
2004-01-16,1413997670
2004-01-20,1385443597
2004-01-21,1399377985
2004-01-22,1403946636
2004-01-23,1406459395
2004-01-26,1437297793
2004-01-27,1429531085
2004-01-28,1434556602
2004-01-29,1421307512
2004-01-30,1419708484
2004-02-02,1443693905
2004-02-03,1443693905
2004-02-04,1395951496
2004-02-05,1415139833
2004-02-06,1418337889
2004-02-09,1411256479
2004-02-10,1416281996
2004-02-11,1457399860
2004-02-12,1444836068
2004-02-13,1426561462
2004-02-17,1432957574
2004-02-18,1417424158
2004-02-19,1411713344
2004-02-20,1424277136
2004-02-23,1423820271
2004-02-24,1427018327
2004-02-25,1436840928
2004-02-26,1440267416
2004-02-27,1438439956
2004-03-01,1457399860
2004-03-02,1459684186
2004-03-03,1461054781
2004-03-04,1479100955
2004-03-05,1497603994
2004-03-08,1495319668
2004-03-09,1498517724
2004-03-10,1497375561
2004-03-11,1476816629
2004-03-12,1503771674
2004-03-15,1483669607
2004-03-16,1484811770
2004-03-17,1518391359
2004-03-18,1521360982
2004-03-19,1511766814
2004-03-22,1496690264
2004-03-23,1502401078
2004-03-24,1485953932
2004-03-25,1500802050
2004-03-26,1476359764
2004-03-29,1480243118
2004-03-30,1483898039
2004-03-31,1500430180
2004-04-01,1522192144
2004-04-02,1521963071
2004-04-05,1485769488
2004-04-06,1462633084
2004-04-07,1470650650
2004-04-08,1452553858
2004-04-12,1393911091
2004-04-13,1393911091
2004-04-14,1399637924
2004-04-15,1414527689
2004-04-16,1429417454
2004-04-19,1424606914
2004-04-20,1375585226
2004-04-21,1398492557
2004-04-22,1413382322
2004-04-23,1401470510
2004-04-26,1411091589
2004-04-27,1421858035
2004-04-28,1415214909
2004-04-29,1390474991
2004-04-30,1396201824
2004-05-03,1429417454
2004-05-04,1436289653
2004-05-05,1432853554
2004-05-06,1442474633
2004-05-07,1427126721
2004-05-10,1417734715
2004-05-11,1428043014
2004-05-12,1420025448
2004-05-13,1415902129
2004-05-14,1430562820
2004-05-17,1425981354
2004-05-18,1439725753
2004-05-19,1404677536
2004-05-20,1450721272
2004-05-21,1458509764
2004-05-24,1447285172
2004-05-25,1442474633
2004-05-26,1478210069
2004-05-27,1487143928
2004-05-28,1501575547
2004-06-01,1499284813
2004-06-02,1517610678
2004-06-03,1498139447
2004-06-04,1503866280
2004-06-07,1504782573
2004-06-08,1513716432
2004-06-09,1499284813
2004-06-10,1502491840
2004-06-14,1493557981
2004-06-15,1529064344
2004-06-16,1534791177
2004-06-17,1562279974
2004-06-18,1551971675
2004-06-21,1576024372
2004-06-22,1579231399
2004-06-23,1582209352
2004-06-24,1578773252
2004-06-25,1585645451
2004-06-28,1571442906
2004-06-29,1544870402
2004-06-30,1567977638
2004-07-01,1565683596
2004-07-02,1592065078
2004-07-06,1581741890
2004-07-07,1590688653
2004-07-08,1565683596
2004-07-09,1555360408
2004-07-12,1565683596
2004-07-13,1558801471
2004-07-14,1573712743
2004-07-15,1589541632
2004-07-16,1571648105
2004-07-19,1581741890
2004-07-20,1599406012
2004-07-21,1575318572
2004-07-22,1546184240
2004-07-23,1530125947
2004-07-26,1524620246
2004-07-27,1522326204
2004-07-28,1531961180
2004-07-29,1528978926
2004-07-30,1511773612
2004-08-02,1511773612
2004-08-03,1539531519
2004-08-04,1559260279
2004-08-05,1542972581
2004-08-06,1540219731
2004-08-09,1545037219
2004-08-10,1555131004
2004-08-11,1577842018
2004-08-12,1528978926
2004-08-13,1529896543
2004-08-16,1566830617
2004-08-17,1591376866
2004-08-18,1624181665
2004-08-19,1594588524
2004-08-20,1628769749
2004-08-23,1635651874
2004-08-24,1658592293
2004-08-25,1643222212
2004-08-26,1654921826
2004-08-27,1669603694
2004-08-30,1691167688
2004-08-31,1691855901
2004-09-01,1676485820
2004-09-02,1688414838
2004-09-03,1697361601
2004-09-07,1706537769
2004-09-08,1706078961
2004-09-09,1693920538
2004-09-10,1703784919
2004-09-13,1679009266
2004-09-14,1641386979
2004-09-15,1665474419
2004-09-16,1718007978
2004-09-17,1712043469
2004-09-20,1682450329
2004-09-21,1698738026
2004-09-22,1674650587
2004-09-23,1652627784
2004-09-24,1649416126
2004-09-27,1640469362
2004-09-28,1645057446
2004-09-29,1644828042
2004-09-30,1648269105
2004-10-01,1675797607
2004-10-04,1682679733
2004-10-05,1707455386
2004-10-06,1727413550
2004-10-07,1697591006
2004-10-08,1703326110
2004-10-11,1697591006
2004-10-12,1723054871
2004-10-13,1712043469
2004-10-14,1736589718
2004-10-15,1746912906
2004-10-18,1760906562
2004-10-19,1761824179
2004-10-20,1768247496
2004-10-21,1802428720
2004-10-22,1778570685
2004-10-25,1770541538
2004-10-26,1802428720
2004-10-27,1813440121
2004-10-28,1806787400
2004-10-29,1799905274
2004-11-01,1813669526
2004-11-02,1812293101
2004-11-03,1832939478
2004-11-04,1877673295
2004-11-05,1839362795
2004-11-08,1856797513
2004-11-09,1824222118
2004-11-10,1836151136
2004-11-11,1835233520
2004-11-12,1874691040
2004-11-15,1920113070
