,POM
2010-11-08,4312080000
2010-11-09,4278180000
2010-11-10,4278180000
2010-11-11,4275920000
2010-11-12,4244280000
2010-11-15,4260100000
2010-11-16,4190040000
2010-11-17,4210380000
2010-11-18,4226200000
2010-11-19,4219420000
2010-11-22,4208120000
2010-11-23,4171960000
2010-11-24,4181000000
2010-11-26,4129020000
2010-11-29,4119980000
2010-11-30,4147100000
2010-12-01,4192300000
2010-12-02,4212640000
2010-12-03,4203600000
2010-12-06,4210380000
2010-12-07,4183260000
2010-12-08,4101899999
2010-12-09,4101899999
2010-12-10,4113200000
2010-12-13,4122239999
2010-12-14,4129020000
2010-12-15,4108680000
2010-12-16,4142579999
2010-12-17,4138059999
2010-12-20,4142579999
2010-12-21,4117719999
2010-12-22,4151620000
2010-12-23,4169700000
2010-12-27,4153880000
2010-12-28,4178739999
2010-12-29,4174219999
2010-12-30,4135800000
2010-12-31,4124500000
2011-01-03,4144840000
2011-01-04,4147100000
2011-01-05,4117719999
2011-01-06,4108680000
2011-01-07,4131280000
2011-01-10,4086079999
2011-01-11,4088340000
2011-01-12,4088340000
2011-01-13,4124500000
2011-01-14,4124500000
2011-01-18,4156140000
2011-01-19,4142579999
2011-01-20,4183260000
2011-01-21,4187780000
2011-01-24,4226200000
2011-01-25,4226200000
2011-01-26,4223940000
2011-01-27,4257840000
2011-01-28,4192300000
2011-01-31,4196820000
2011-02-01,4230719999
2011-02-02,4228460000
2011-02-03,4208120000
2011-02-04,4174219999
2011-02-07,4232980000
2011-02-08,4255579999
2011-02-09,4255579999
2011-02-10,4280440000
2011-02-11,4287219999
2011-02-14,4228460000
2011-02-15,4230719999
2011-02-16,4232980000
2011-02-17,4278180000
2011-02-18,4271399999
2011-02-22,4266880000
2011-02-23,4237500000
2011-02-24,4171960000
2011-02-25,4165180000
2011-02-28,4232980000
2011-03-01,4196820000
2011-03-02,4246540000
2011-03-03,4284960000
2011-03-04,4264620000
2011-03-07,4298520000
2011-03-08,4264620000
2011-03-09,4303040000
2011-03-10,4208120000
2011-03-11,4201340000
2011-03-14,4117719999
2011-03-15,4115460000
2011-03-16,4052180000
2011-03-17,4068000000
2011-03-18,4083820000
2011-03-21,4140320000
2011-03-22,4117719999
2011-03-23,4122239999
2011-03-24,4144840000
2011-03-25,4153880000
2011-03-28,4144840000
2011-03-29,4185520000
2011-03-30,4244280000
2011-03-31,4214899999
2011-04-01,4242020000
2011-04-04,4257840000
2011-04-05,4248800000
2011-04-06,4262360000
2011-04-07,4230719999
2011-04-08,4192300000
2011-04-11,4138059999
2011-04-12,4115460000
2011-04-13,4122239999
2011-04-14,4147100000
2011-04-15,4192300000
2011-04-18,4142579999
2011-04-19,4104160000
2011-04-20,4158399999
2011-04-21,4165180000
2011-04-25,4185520000
2011-04-26,4255579999
2011-04-27,4303040000
2011-04-28,4341460000
2011-04-29,4355020000
2011-05-02,4422820000
2011-05-03,4427340000
2011-05-04,4391180000
2011-05-05,4366320000
2011-05-06,4418300000
2011-05-09,4468020000
2011-05-10,4565200000
2011-05-11,4553900000
2011-05-12,4540340000
2011-05-13,4529040000
2011-05-16,4520000000
2011-05-17,4576500000
2011-05-18,4560680000
2011-05-19,4567460000
2011-05-20,4551640000
2011-05-23,4490620000
2011-05-24,4470280000
2011-05-25,4458980000
2011-05-26,4474800000
2011-05-27,4495140000
2011-05-31,4513220000
2011-06-01,4470280000
2011-06-02,4452200000
2011-06-03,4411520000
2011-06-06,4370840000
2011-06-07,4400220000
2011-06-08,4375360000
2011-06-09,4323380000
2011-06-10,4314340000
2011-06-13,4332420000
2011-06-14,4345980000
2011-06-15,4287219999
2011-06-16,4314340000
2011-06-17,4355020000
2011-06-20,4397960000
2011-06-21,4436380000
2011-06-22,4413780000
2011-06-23,4361800000
2011-06-24,4334680000
2011-06-27,4364060000
2011-06-28,4384400000
2011-06-29,4411520000
2011-06-30,4436380000
2011-07-01,4492880000
2011-07-05,4474800000
2011-07-06,4490620000
2011-07-07,4522260000
2011-07-08,4508700000
2011-07-11,4416040000
2011-07-12,4449940000
2011-07-13,4429600000
2011-07-14,4395700000
2011-07-15,4384400000
2011-07-18,4321120000
2011-07-19,4348240000
2011-07-20,4366320000
2011-07-21,4429600000
2011-07-22,4393440000
2011-07-25,4352760000
2011-07-26,4339200000
2011-07-27,4305300000
2011-07-28,4253320000
2011-07-29,4221680000
2011-08-01,4242020000
2011-08-02,4208120000
2011-08-03,4260100000
2011-08-04,4038620000
2011-08-05,4099640000
2011-08-08,3835219999
2011-08-09,3995680000
2011-08-10,3916579999
2011-08-11,4101899999
2011-08-12,4101899999
2011-08-15,4271399999
2011-08-16,4262360000
2011-08-17,4280440000
2011-08-18,4203600000
2011-08-19,4185520000
2011-08-22,4192300000
2011-08-23,4262360000
2011-08-24,4366320000
2011-08-25,4271399999
2011-08-26,4248800000
2011-08-29,4359540000
2011-08-30,4375360000
2011-08-31,4402480000
2011-09-01,4352760000
2011-09-02,4321120000
2011-09-06,4303040000
2011-09-07,4325640000
2011-09-08,4244280000
2011-09-09,4165180000
2011-09-12,4174219999
2011-09-13,4217160000
2011-09-14,4260100000
2011-09-15,4296260000
2011-09-16,4336940000
2011-09-19,4284960000
2011-09-20,4336940000
2011-09-21,4232980000
2011-09-22,4142579999
2011-09-23,4205860000
2011-09-26,4253320000
2011-09-27,4278180000
2011-09-28,4219420000
2011-09-29,4316600000
2011-09-30,4275920000
2011-10-03,4135800000
2011-10-04,4122239999
2011-10-05,4167440000
2011-10-06,4237500000
2011-10-07,4214899999
2011-10-10,4312080000
2011-10-11,4260100000
2011-10-12,4291739999
2011-10-13,4312080000
2011-10-14,4361800000
2011-10-17,4321120000
2011-10-18,4386660000
2011-10-19,4364060000
2011-10-20,4391180000
2011-10-21,4474800000
2011-10-24,4443160000
2011-10-25,4370840000
2011-10-26,4416040000
2011-10-27,4567460000
2011-10-28,4549380000
2011-10-31,4474800000
2011-11-01,4336940000
2011-11-02,4434120000
2011-11-03,4488360000
2011-11-04,4425080000
2011-11-07,4422820000
2011-11-08,4477060000
2011-11-09,4361800000
2011-11-10,4384400000
2011-11-11,4461240000
2011-11-14,4382140000
2011-11-15,4345980000
2011-11-16,4336940000
2011-11-17,4330160000
2011-11-18,4391180000
2011-11-21,4332420000
2011-11-22,4278180000
2011-11-23,4212640000
2011-11-25,4228460000
2011-11-28,4300780000
2011-11-29,4343720000
2011-11-30,4470280000
2011-12-01,4474800000
2011-12-02,4425080000
2011-12-05,4463500000
2011-12-06,4486100000
2011-12-07,4452200000
2011-12-08,4298520000
2011-12-09,4407000000
2011-12-12,4386660000
2011-12-13,4402480000
2011-12-14,4361800000
2011-12-15,4434120000
2011-12-16,4377620000
2011-12-19,4366320000
2011-12-20,4445420000
2011-12-21,4544860000
2011-12-22,4558420000
2011-12-23,4587800000
2011-12-27,4639780000
2011-12-28,4592320000
2011-12-29,4642040000
2011-12-30,4587800000
2012-01-03,4603320000
2012-01-04,4628400000
2012-01-05,4623840000
2012-01-06,4569120000
2012-01-09,4544040000
2012-01-10,4585080000
2012-01-11,4553160000
2012-01-12,4555440000
2012-01-13,4537200000
2012-01-17,4578240000
2012-01-18,4564560000
2012-01-19,4487040000
2012-01-20,4560000000
2012-01-23,4534920000
2012-01-24,4516680000
2012-01-25,4598760000
2012-01-26,4573680000
2012-01-27,4516680000
2012-01-30,4468800000
2012-01-31,4482480000
2012-02-01,4507560000
2012-02-02,4523520000
2012-02-03,4523520000
2012-02-06,4507560000
2012-02-07,4537200000
2012-02-08,4537200000
2012-02-09,4537200000
2012-02-10,4518960000
2012-02-13,4518960000
2012-02-14,4516680000
2012-02-15,4505280000
2012-02-16,4569120000
2012-02-17,4591920000
2012-02-21,4573680000
2012-02-22,4548600000
2012-02-23,4534920000
2012-02-24,4523520000
2012-02-27,4503000000
2012-02-28,4450560000
2012-02-29,4432320000
2012-03-01,4446000000
2012-03-02,4446000000
2012-03-05,4461960000
2012-03-06,4423200000
2012-03-07,4461960000
2012-03-08,4423200000
2012-03-09,4432320000
2012-03-12,4482480000
2012-03-13,4459680000
2012-03-14,4373040000
2012-03-15,4336560000
2012-03-16,4361640000
2012-03-19,4322880000
2012-03-20,4297800000
2012-03-21,4300080000
2012-03-22,4297800000
2012-03-23,4304640000
2012-03-26,4343400000
2012-03-27,4345680000
2012-03-28,4316040000
2012-03-29,4302360000
2012-03-30,4306920000
2012-04-02,4295520000
2012-04-03,4300080000
2012-04-04,4295520000
2012-04-05,4247640000
2012-04-09,4227120000
2012-04-10,4183800000
2012-04-11,4174679999
2012-04-12,4208880000
2012-04-13,4186080000
2012-04-16,4211159999
2012-04-17,4229400000
2012-04-18,4215719999
2012-04-19,4204320000
2012-04-20,4247640000
2012-04-23,4233960000
2012-04-24,4284120000
2012-04-25,4306920000
2012-04-26,4297800000
2012-04-27,4288679999
2012-04-30,4313760000
2012-05-01,4329720000
2012-05-02,4281840000
2012-05-03,4243080000
2012-05-04,4306920000
2012-05-07,4313760000
2012-05-08,4313760000
2012-05-09,4300080000
2012-05-10,4341120000
2012-05-11,4336560000
2012-05-14,4300080000
2012-05-15,4249920000
2012-05-16,4247640000
2012-05-17,4229400000
2012-05-18,4229400000
2012-05-21,4247640000
2012-05-22,4263600000
2012-05-23,4231679999
2012-05-24,4252199999
2012-05-25,4309200000
2012-05-29,4350240000
2012-05-30,4325160000
2012-05-31,4345680000
2012-06-01,4386720000
2012-06-04,4393560000
2012-06-05,4404960000
2012-06-06,4448280000
2012-06-07,4398120000
2012-06-08,4407240000
2012-06-11,4393560000
2012-06-12,4407240000
2012-06-13,4398120000
2012-06-14,4416360000
2012-06-15,4420920000
2012-06-18,4439160000
2012-06-19,4434600000
2012-06-20,4439160000
2012-06-21,4359360000
2012-06-22,4341120000
2012-06-25,4322880000
2012-06-26,4329720000
2012-06-27,4377600000
2012-06-28,4416360000
2012-06-29,4461960000
2012-07-02,4461960000
2012-07-03,4466520000
2012-07-05,4439160000
2012-07-06,4427760000
2012-07-09,4400400000
2012-07-10,4407240000
2012-07-11,4416360000
2012-07-12,4398120000
2012-07-13,4432320000
2012-07-16,4425480000
2012-07-17,4441440000
2012-07-18,4452840000
2012-07-19,4475640000
2012-07-20,4489320000
2012-07-23,4477920000
2012-07-24,4450560000
2012-07-25,4452840000
2012-07-26,4493880000
2012-07-27,4541760000
2012-07-30,4596480000
2012-07-31,4550880000
2012-08-01,4544040000
2012-08-02,4489320000
2012-08-03,4544040000
2012-08-06,4564560000
2012-08-07,4439160000
2012-08-08,4446000000
2012-08-09,4448280000
2012-08-10,4489320000
2012-08-13,4491600000
2012-08-14,4473360000
2012-08-15,4430040000
2012-08-16,4425480000
2012-08-17,4425480000
2012-08-20,4416360000
2012-08-21,4391280000
2012-08-22,4375320000
2012-08-23,4368480000
2012-08-24,4395840000
2012-08-27,4414080000
2012-08-28,4404960000
2012-08-29,4423200000
2012-08-30,4393560000
2012-08-31,4402680000
2012-09-04,4432320000
2012-09-05,4420920000
2012-09-06,4404960000
2012-09-07,4386720000
2012-09-10,4386720000
2012-09-11,4334280000
2012-09-12,4288679999
2012-09-13,4341120000
2012-09-14,4329720000
2012-09-17,4284120000
2012-09-18,4284120000
2012-09-19,4268159999
2012-09-20,4290960000
2012-09-21,4302360000
2012-09-24,4327440000
2012-09-25,4318320000
2012-09-26,4332000000
2012-09-27,4300080000
2012-09-28,4309200000
2012-10-01,4337260000
2012-10-02,4339550000
2012-10-03,4421990000
2012-10-04,4424280000
2012-10-05,4435730000
2012-10-08,4435730000
2012-10-09,4424280000
2012-10-10,4396800000
2012-10-11,4438020000
2012-10-12,4428860000
2012-10-15,4440310000
2012-10-16,4428860000
2012-10-17,4486110000
2012-10-18,4557100000
2012-10-19,4593740000
2012-10-22,4566260000
2012-10-23,4536490000
2012-10-24,4525040000
2012-10-25,4547940000
2012-10-26,4525040000
2012-10-31,4550230000
2012-11-01,4536490000
2012-11-02,4497560000
2012-11-05,4495270000
2012-11-06,4499850000
2012-11-07,4383060000
2012-11-08,4378480000
2012-11-09,4362450000
2012-11-12,4341840000
2012-11-13,4360160000
2012-11-14,4355580000
2012-11-15,4321230000
2012-11-16,4392220000
2012-11-19,4373900000
2012-11-20,4364740000
2012-11-21,4369320000
2012-11-23,4376190000
2012-11-26,4431150000
2012-11-27,4435730000
2012-11-28,4456340000
2012-11-29,4492980000
2012-11-30,4520460000
2012-12-03,4511300000
2012-12-04,4495270000
2012-12-05,4529620000
2012-12-06,4458630000
2012-12-07,4467790000
2012-12-10,4515880000
2012-12-11,4513590000
2012-12-12,4497560000
2012-12-13,4474660000
2012-12-14,4456340000
2012-12-17,4536490000
2012-12-18,4550230000
2012-12-19,4515880000
2012-12-20,4538780000
2012-12-21,4525040000
2012-12-24,4518170000
2012-12-26,4463210000
2012-12-27,4426570000
2012-12-28,4421990000
2012-12-31,4647570000
2013-01-02,4799250000
2013-01-03,4811100000
2013-01-04,4841910000
2013-01-07,4789770000
2013-01-08,4766070000
2013-01-09,4744740000
2013-01-10,4602540000
2013-01-11,4521960000
2013-01-14,4529070000
2013-01-15,4550400000
2013-01-16,4505370000
2013-01-17,4510110000
2013-01-18,4512480000
2013-01-22,4550400000
2013-01-23,4566990000
2013-01-24,4566990000
2013-01-25,4564620000
2013-01-28,4559880000
2013-01-29,4600170000
2013-01-30,4600170000
2013-01-31,4626240000
2013-02-01,4609650000
2013-02-04,4590690000
2013-02-05,4612020000
2013-02-06,4645200000
2013-02-07,4633350000
2013-02-08,4638090000
2013-02-11,4642830000
2013-02-12,4668900000
2013-02-13,4687860000
2013-02-14,4676010000
2013-02-15,4706820000
2013-02-19,4777920000
2013-02-20,4766070000
2013-02-21,4747110000
2013-02-22,4801620000
2013-02-25,4751850000
2013-02-26,4768440000
2013-02-27,4811100000
2013-02-28,4808730000
2013-03-01,4865610000
2013-03-04,4901160000
2013-03-05,4929600000
2013-03-06,4924860000
2013-03-07,4825320000
2013-03-08,4846650000
2013-03-11,4870350000
2013-03-12,4891680000
2013-03-13,4917750000
2013-03-14,4939080000
2013-03-15,4943820000
2013-03-18,4908270000
2013-03-19,4905900000
2013-03-20,4927230000
2013-03-21,4889310000
2013-03-22,4894050000
2013-03-25,4936710000
2013-03-26,4965150000
2013-03-27,5005440000
2013-03-28,5071800000
2013-04-01,5219640000
2013-04-02,5212350000
2013-04-03,5207490000
2013-04-04,5236650000
2013-04-05,5251230000
2013-04-08,5331420000
2013-04-09,5299830000
2013-04-10,5365440000
2013-04-11,5365440000
2013-04-12,5358150000
2013-04-15,5229360000
2013-04-16,5290110000
2013-04-17,5222070000
2013-04-18,5212350000
2013-04-19,5326560000
2013-04-22,5287680000
2013-04-23,5319270000
2013-04-24,5370300000
2013-04-25,5382450000
2013-04-26,5389740000
2013-04-29,5477220000
2013-04-30,5491800000
2013-05-01,5457780000
2013-05-02,5479650000
2013-05-03,5469930000
2013-05-06,5355720000
2013-05-07,5377590000
2013-05-08,5350860000
2013-05-09,5239080000
2013-05-10,5299830000
2013-05-13,5275530000
2013-05-14,5341140000
2013-05-15,5382450000
2013-05-16,5324130000
2013-05-17,5358150000
2013-05-20,5346000000
2013-05-21,5416470000
2013-05-22,5297400000
2013-05-23,5207490000
2013-05-24,5158890000
2013-05-28,5171040000
2013-05-29,5066550000
2013-05-30,5107860000
2013-05-31,5047110000
2013-06-03,5061690000
2013-06-04,5039820000
2013-06-05,4993650000
2013-06-06,4988790000
2013-06-07,5010660000
2013-06-10,4979070000
2013-06-11,4906170000
2013-06-12,4864860000
2013-06-13,4932900000
2013-06-14,4928040000
2013-06-17,4925610000
2013-06-18,4947480000
2013-06-19,4833270000
2013-06-20,4719060000
2013-06-21,4830840000
2013-06-24,4794390000
2013-06-25,4838130000
2013-06-26,4906170000
2013-06-27,4911030000
2013-06-28,4898880000
2013-07-01,4855900000
2013-07-02,4809350000
2013-07-03,4772600000
2013-07-05,4748100000
2013-07-08,4787300000
2013-07-09,4802000000
2013-07-10,4877950000
2013-07-11,4961250000
2013-07-12,4958800000
2013-07-15,5005350000
2013-07-16,4995550000
2013-07-17,4990650000
2013-07-18,5039650000
2013-07-19,4993100000
2013-07-22,4978400000
2013-07-23,5017600000
2013-07-24,4929400000
2013-07-25,4975950000
2013-07-26,5002900000
2013-07-29,5032300000
2013-07-30,5083750000
2013-07-31,5034750000
2013-08-01,5064150000
2013-08-02,5049450000
2013-08-05,5027400000
2013-08-06,4968600000
2013-08-07,5000450000
2013-08-08,5042100000
2013-08-09,4990650000
2013-08-12,4949000000
2013-08-13,4912250000
2013-08-14,4841200000
2013-08-15,4772600000
2013-08-16,4708900000
2013-08-19,4679500000
2013-08-20,4686850000
2013-08-21,4615800000
2013-08-22,4630500000
2013-08-23,4686850000
2013-08-26,4652550000
2013-08-27,4652550000
2013-08-28,4689300000
2013-08-29,4640300000
2013-08-30,4640300000
2013-09-03,4557000000
2013-09-04,4539850000
2013-09-05,4505550000
2013-09-06,4441850000
2013-09-09,4481050000
2013-09-10,4485950000
2013-09-11,4449200000
2013-09-12,4427150000
2013-09-13,4451650000
2013-09-16,4446750000
2013-09-17,4468800000
2013-09-18,4606000000
2013-09-19,4596200000
2013-09-20,4534950000
2013-09-23,4574150000
2013-09-24,4586400000
2013-09-25,4542300000
2013-09-26,4520250000
2013-09-27,4520250000
2013-09-30,4541160000
2013-10-01,4563300000
2013-10-02,4536240000
2013-10-03,4494420000
2013-10-04,4496880000
2013-10-07,4501800000
2013-10-08,4511640000
2013-10-09,4543620000
2013-10-10,4602660000
2013-10-11,4610040000
2013-10-14,4563300000
2013-10-15,4516560000
2013-10-16,4575600000
2013-10-17,4651860000
2013-10-18,4669080000
2013-10-21,4671540000
2013-10-22,4777320000
2013-10-23,4762560000
2013-10-24,4745340000
2013-10-25,4797000000
2013-10-28,4789620000
2013-10-29,4792080000
2013-10-30,4752720000
2013-10-31,4742880000
2013-11-01,4757640000
2013-11-04,4760100000
2013-11-05,4715820000
2013-11-06,4757640000
2013-11-07,4718280000
2013-11-08,4720740000
2013-11-11,4703520000
2013-11-12,4659240000
2013-11-13,4693680000
2013-11-14,4735500000
2013-11-15,4767480000
2013-11-18,4750260000
2013-11-19,4747800000
2013-11-20,4698600000
2013-11-21,4723200000
2013-11-22,4723200000
2013-11-25,4686300000
2013-11-26,4637100000
2013-11-27,4681380000
2013-11-29,4693680000
2013-12-02,4664160000
2013-12-03,4691220000
2013-12-04,4696140000
2013-12-05,4705980000
2013-12-06,4693680000
2013-12-09,4674000000
2013-12-10,4612500000
2013-12-11,4582980000
2013-12-12,4585440000
2013-12-13,4570680000
2013-12-16,4607580000
2013-12-17,4578060000
2013-12-18,4639560000
2013-12-19,4580520000
2013-12-20,4651860000
2013-12-23,4656780000
2013-12-24,4674000000
2013-12-26,4661700000
2013-12-27,4656780000
2013-12-30,4693680000
2013-12-31,4801630000
2014-01-02,4723820000
2014-01-03,4688680000
2014-01-06,4663580000
2014-01-07,4736370000
2014-01-08,4713780000
2014-01-09,4746410000
2014-01-10,4776530000
2014-01-13,4716290000
2014-01-14,4701230000
2014-01-15,4678640000
2014-01-16,4693700000
2014-01-17,4683660000
2014-01-21,4774020000
2014-01-22,4789080000
2014-01-23,4756450000
2014-01-24,4688680000
2014-01-27,4746410000
2014-01-28,4791590000
2014-01-29,4781550000
2014-01-30,4846810000
2014-01-31,4876930000
2014-02-03,4826730000
2014-02-04,4799120000
2014-02-05,4766490000
2014-02-06,4824220000
2014-02-07,4879440000
2014-02-10,4957250000
2014-02-11,5042590000
2014-02-12,5037570000
2014-02-13,5105340000
2014-02-14,5165580000
2014-02-18,5190680000
2014-02-19,5142990000
2014-02-20,5160560000
2014-02-21,5188170000
2014-02-24,5175620000
2014-02-25,5203230000
2014-02-26,5175620000
2014-02-27,5127930000
2014-02-28,5117890000
2014-03-03,5070200000
2014-03-04,5072710000
2014-03-05,5062670000
2014-03-06,4982350000
2014-03-07,4977330000
2014-03-10,4947210000
2014-03-11,4929640000
2014-03-12,5020000000
2014-03-13,5042590000
2014-03-14,5080240000
2014-03-17,5135460000
2014-03-18,5100320000
2014-03-19,4974820000
2014-03-20,4972310000
2014-03-21,5012470000
2014-03-24,5042590000
2014-03-25,5077730000
2014-03-26,5020000000
2014-03-27,5062670000
2014-03-28,5080240000
2014-03-31,5140480000
2014-04-01,5082750000
2014-04-02,5055140000
2014-04-03,5082750000
2014-04-04,5153030000
2014-04-07,5205740000
2014-04-08,5288570000
2014-04-09,5240880000
2014-04-10,5220800000
2014-04-11,5208250000
2014-04-14,5271000000
2014-04-15,5371400000
2014-04-16,5426620000
2014-04-17,5356340000
2014-04-21,5371400000
2014-04-22,5396500000
2014-04-23,5399010000
2014-04-24,5381440000
2014-04-25,5484350000
2014-04-28,5798100000
2014-04-29,5720290000
2014-04-30,6716760000
2014-05-01,6759430000
2014-05-02,6771980000
2014-05-05,6812140000
2014-05-06,6852300000
2014-05-07,6892460000
2014-05-08,6887440000
2014-05-09,6920070000
2014-05-12,6907520000
2014-05-13,6920070000
2014-05-14,6947680000
2014-05-15,6947680000
2014-05-16,6927600000
2014-05-19,6920070000
2014-05-20,6935130000
2014-05-21,6947680000
2014-05-22,6962740000
2014-05-23,6952700000
2014-05-27,6907520000
2014-05-28,6950190000
2014-05-29,6942660000
2014-05-30,6952700000
2014-06-02,6947680000
2014-06-03,6960230000
2014-06-04,6965250000
2014-06-05,6992860000
2014-06-06,6892460000
2014-06-09,6822180000
2014-06-10,6839750000
2014-06-11,6839750000
2014-06-12,6862340000
2014-06-13,6867360000
2014-06-16,6877400000
2014-06-17,6854810000
2014-06-18,6889950000
2014-06-19,6920070000
2014-06-20,6889950000
2014-06-23,6879910000
2014-06-24,6887440000
2014-06-25,6862340000
2014-06-26,6854810000
2014-06-27,6877400000
2014-06-30,6897480000
2014-07-01,6917560000
2014-07-02,6940150000
2014-07-03,6950190000
2014-07-07,6940150000
2014-07-08,6997880000
2014-07-09,6930110000
2014-07-10,6952700000
2014-07-11,6977800000
2014-07-14,6907520000
2014-07-15,6892460000
2014-07-16,6867360000
2014-07-17,6829710000
2014-07-18,6874890000
2014-07-21,6877400000
2014-07-22,6902500000
2014-07-23,6877400000
2014-07-24,6884930000
2014-07-25,6877400000
2014-07-28,6915050000
2014-07-29,6872380000
2014-07-30,6817160000
2014-07-31,6739350000
2014-08-01,6779510000
2014-08-04,6724290000
2014-08-05,6721780000
2014-08-06,6674090000
2014-08-07,6704210000
2014-08-08,6774490000
2014-08-11,6744370000
2014-08-12,6756920000
2014-08-13,6766960000
2014-08-14,6769470000
2014-08-15,6804610000
2014-08-18,6809630000
2014-08-19,6822180000
2014-08-20,6864850000
2014-08-21,6862340000
2014-08-22,6872380000
2014-08-25,6869870000
2014-08-26,6817160000
2014-08-27,6857320000
2014-08-28,6884930000
2014-08-29,6917560000
2014-09-02,6910030000
2014-09-03,6910030000
2014-09-04,6867360000
2014-09-05,6899990000
2014-09-08,6829710000
2014-09-09,6774490000
2014-09-10,6792060000
2014-09-11,6824690000
2014-09-12,6802100000
2014-09-15,6804610000
2014-09-16,6854810000
2014-09-17,6829710000
2014-09-18,6822180000
2014-09-19,6852300000
2014-09-22,6812140000
2014-09-23,6794570000
2014-09-24,6792060000
2014-09-25,6769470000
2014-09-26,6749390000
2014-09-29,6754410000
2014-09-30,6716760000
2014-10-01,6726800000
2014-10-02,6729310000
2014-10-03,6724290000
2014-10-06,6754410000
2014-10-07,6691660000
2014-10-08,6787040000
2014-10-09,6736840000
2014-10-10,6721780000
2014-10-13,6724290000
2014-10-14,6769470000
2014-10-15,6709230000
2014-10-16,6701700000
2014-10-17,6691660000
2014-10-20,6746880000
2014-10-21,6777000000
2014-10-22,6719270000
2014-10-23,6777000000
2014-10-24,6802100000
2014-10-27,6809630000
2014-10-28,6847280000
2014-10-29,6839750000
2014-10-30,6852300000
2014-10-31,6862340000
2014-11-03,6867360000
2014-11-04,6874890000
2014-11-05,6902500000
2014-11-06,6862340000
2014-11-07,6892460000
2014-11-10,6925090000
2014-11-11,6905010000
2014-11-12,6915050000
2014-11-13,6852300000
2014-11-14,6847280000
2014-11-17,6862340000
2014-11-18,6902500000
2014-11-19,6907520000
2014-11-20,6920070000
2014-11-21,6864850000
2014-11-24,6862340000
2014-11-25,6892460000
2014-11-26,6894970000
2014-11-28,6902500000
2014-12-01,6894970000
2014-12-02,6897480000
2014-12-03,6882420000
