,ADCT
2021-05-26,1638158043
2021-05-27,1707213886
2021-05-28,1661176658
2021-06-01,1700308302
2021-06-02,1729465213
2021-06-03,1704912025
2021-06-04,1688031708
2021-06-07,1670384103
2021-06-08,1668849529
2021-06-09,1660409370
2021-06-10,1704912025
2021-06-11,1704144737
2021-06-14,1778571590
2021-06-15,1769364144
2021-06-16,1765527709
2021-06-17,1764760422
2021-06-18,1783942600
2021-06-21,1944305612
2021-06-22,1914381414
2021-06-23,1900570245
2021-06-24,1902872107
2021-06-25,1924356147
2021-06-28,1884457215
2021-06-29,1856834878
2021-06-30,1868344185
2021-07-01,1894704921
2021-07-02,1855567638
2021-07-06,1870148194
2021-07-07,1829476116
2021-07-08,1854032843
2021-07-09,1877054774
2021-07-12,1849428457
2021-07-13,1788036641
2021-07-14,1758875528
2021-07-15,1743527574
2021-07-16,1745829767
2021-07-19,1706692484
2021-07-20,1730481813
2021-07-21,1727412222
2021-07-22,1691344530
2021-07-23,1653742043
2021-07-26,1614604760
2021-07-27,1569328296
2021-07-28,1632254907
2021-07-29,1626115726
2021-07-30,1614604760
2021-08-02,1589280636
2021-08-03,1730481813
2021-08-04,1827173923
2021-08-05,1875519978
2021-08-06,1978351270
2021-08-09,2092693527
2021-08-10,2085786948
2021-08-11,2072741187
2021-08-12,2033603905
2021-08-13,2055091040
2021-08-16,2003675394
2021-08-17,2089623937
2021-08-18,2056625836
2021-08-19,1918494250
2021-08-20,1937679192
2021-08-23,1962235918
2021-08-24,1943050976
2021-08-25,1984490452
2021-08-26,2187083445
2021-08-27,2263055817
2021-08-30,2211640171
2021-08-31,2238499090
2021-09-01,2250010056
2021-09-02,2302193100
2021-09-03,2144876571
2021-09-07,2070438994
2021-09-08,2071206392
2021-09-09,2082717357
2021-09-10,2054323642
2021-09-13,2074275983
2021-09-14,2025929928
2021-09-15,2038208291
2021-09-16,2130296015
2021-09-17,2214709762
2021-09-20,2167898502
2021-09-21,2159457127
2021-09-22,2250777454
2021-09-23,2225453330
2021-09-24,2170968093
2021-09-27,2278403771
2021-09-28,2149480957
2021-09-29,2059695426
2021-09-30,2084252153
2021-10-01,2017018660
2021-10-04,1908527505
2021-10-05,1868798350
2021-10-06,1819136905
2021-10-07,1781699817
2021-10-08,1800800372
2021-10-11,1867270305
2021-10-12,1927628061
2021-10-13,1912347616
2021-10-14,1962009060
2021-10-15,1945964594
2021-10-18,1940616438
2021-10-19,1955132860
2021-10-20,1945200572
2021-10-21,2018546705
2021-10-22,1995626038
2021-10-25,2059803905
2021-10-26,2077376416
2021-10-27,2139262216
2021-10-28,2195035838
2021-10-29,2214900415
2021-11-01,2407434015
2021-11-02,2229416837
2021-11-03,2303526993
2021-11-04,2255393593
2021-11-05,2248517393
2021-11-08,2215664438
2021-11-09,2218720526
2021-11-10,2182811482
2021-11-11,2130093949
2021-11-12,2021602794
2021-11-15,2007850394
2021-11-16,1978817549
2021-11-17,1910055550
2021-11-18,1875674550
2021-11-19,1745026750
2021-11-22,1677792795
2021-11-23,1691545195
2021-11-24,1729746306
2021-11-26,1696129328
2021-11-29,1663276372
2021-11-30,1700713461
2021-12-01,1669388550
2021-12-02,1712937817
2021-12-03,1639591684
2021-12-06,1532628573
2021-12-07,1629659395
2021-12-08,1623547217
2021-12-09,1558605328
2021-12-10,1555549239
2021-12-13,1547909017
2021-12-14,1480675062
2021-12-15,1523460306
2021-12-16,1473798862
2021-12-17,1520404217
2021-12-20,1605974706
2021-12-21,1554785217
2021-12-22,1586110128
2021-12-23,1624311239
2021-12-27,1579233928
2021-12-28,1551729128
2021-12-29,1562425439
2021-12-30,1590694262
2021-12-31,1543324884
2022-01-03,1512619784
2022-01-04,1538739171
2022-01-05,1504937612
2022-01-06,1535666302
2022-01-07,1521070174
2022-01-10,1527215912
2022-01-11,1535666302
2022-01-12,1450394186
2022-01-13,1458844576
2022-01-14,1322870121
2022-01-18,1301360038
2022-01-19,1289068562
2022-01-20,1205332880
2022-01-21,1203796446
2022-01-24,1186895666
2022-01-25,1237598005
2022-01-26,1209173967
2022-01-27,1126974720
2022-01-28,1148484803
2022-01-31,1220697226
2022-02-01,1279081737
2022-02-02,1219160791
2022-02-03,1209942184
2022-02-04,1239134440
2022-02-07,1258339871
2022-02-08,1256803437
2022-02-09,1335929815
2022-02-10,1249121264
2022-02-11,1174604190
2022-02-14,1150021238
2022-02-15,1196114273
2022-02-16,1179213494
2022-02-17,1179981711
2022-02-18,1167690235
2022-02-22,1190736753
2022-02-23,1196114273
2022-02-24,1261412740
2022-02-25,1300591821
2022-02-28,1282922824
2022-03-01,1272167782
2022-03-02,1246048395
2022-03-03,1134656893
2022-03-04,1081649902
2022-03-07,1075504164
2022-03-08,1069358425
2022-03-09,1129279372
2022-03-10,1097782464
2022-03-11,1077040598
2022-03-14,1040166170
2022-03-15,1046311908
2022-03-16,1067821991
2022-03-17,1123901851
2022-03-18,1094709595
2022-03-21,1020192521
2022-03-22,1073967729
2022-03-23,1043239039
2022-03-24,1039397952
2022-03-25,1022497173
2022-03-28,1096246030
2022-03-29,1113146809
2022-03-30,1135425110
2022-03-31,1128511154
2022-04-01,1140600703
2022-04-04,1152906577
2022-04-05,1132909532
2022-04-06,1112912487
2022-04-07,1096761027
2022-04-08,1064458107
2022-04-11,1011389025
2022-04-12,1077533099
2022-04-13,1116758072
2022-04-14,1091377207
2022-04-18,1036000774
2022-04-19,1016772845
2022-04-20,1002159620
2022-04-21,976778755
2022-04-22,972164052
2022-04-25,971394935
2022-04-26,894483222
2022-04-27,901405276
2022-04-28,898328807
2022-04-29,905250862
2022-05-02,916787618
2022-05-03,922940556
2022-05-04,942937601
2022-05-05,870640591
2022-05-06,842183257
2022-05-09,600680478
2022-05-10,606833415
2022-05-11,532998171
2022-05-12,536074639
2022-05-13,568377559
2022-05-16,549149630
2022-05-17,519923179
2022-05-18,496080548
2022-05-19,539151108
2022-05-20,542227576
2022-05-23,577606964
2022-05-24,542227576
2022-05-25,550687865
2022-05-26,558379036
2022-05-27,568377559
2022-05-31,526076116
2022-06-01,503771720
2022-06-02,524537882
2022-06-03,553764333
2022-06-06,539920225
2022-06-07,556071684
2022-06-08,555302567
2022-06-09,538381991
2022-06-10,513001125
2022-06-13,484543791
2022-06-14,466854097
2022-06-15,465315863
2022-06-16,458393809
2022-06-17,488389377
2022-06-21,521461414
2022-06-22,504540837
2022-06-23,529152585
2022-06-24,606833415
2022-06-27,616831938
2022-06-28,595296658
2022-06-29,599142244
2022-06-30,611448118
2022-07-01,669302687
2022-07-05,693598218
2022-07-06,700651759
2022-07-07,717893748
2022-07-08,808022330
2022-07-11,737486918
2022-07-12,713975114
2022-07-13,700651759
2022-07-14,659114238
2022-07-15,634818708
2022-07-18,608955723
2022-07-19,594848641
2022-07-20,596416094
2022-07-21,592497460
2022-07-22,576822924
2022-07-25,564283296
2022-07-26,571336837
2022-07-27,593281187
2022-07-28,601118455
2022-07-29,580741558
2022-08-01,553311120
2022-08-02,563499569
2022-08-03,574471744
2022-08-04,616009264
2022-08-05,650493244
2022-08-08,630900074
2022-08-09,624630259
2022-08-10,632467527
2022-08-11,636386161
2022-08-12,807238604
2022-08-15,727298470
2022-08-16,707705300
2022-08-17,694381944
2022-08-18,688112130
2022-08-19,659897965
2022-08-22,584660192
2022-08-23,606604543
2022-08-24,597983548
2022-08-25,574471744
2022-08-26,558797208
2022-08-29,555662301
2022-08-30,529015590
2022-08-31,534501677
2022-09-01,531366770
2022-09-02,503936332
2022-09-06,472587260
2022-09-07,482775708
2022-09-08,510989873
2022-09-09,483559435
2022-09-12,470236080
2022-09-13,446724276
2022-09-14,439670734
2022-09-15,426347379
2022-09-16,411456570
2022-09-19,429482286
2022-09-20,414591477
2022-09-21,397349487
2022-09-22,395782034
2022-09-23,383242405
2022-09-26,365216688
2022-09-27,377756317
2022-09-28,398916941
2022-09-29,383242405
2022-09-30,377756317
2022-10-03,389503405
2022-10-04,422566841
2022-10-05,411276887
2022-10-06,404019060
2022-10-07,383858428
2022-10-10,345956440
2022-10-11,331440785
2022-10-12,346762866
2022-10-13,360472095
2022-10-14,379019876
2022-10-17,405631910
2022-10-18,396761232
2022-10-19,378213451
2022-10-20,377407026
2022-10-21,385471279
2022-10-24,366923497
2022-10-25,374987750
2022-10-26,384664853
2022-10-27,364504222
2022-10-28,369342773
2022-10-31,358052819
2022-11-01,356439969
2022-11-02,333053636
2022-11-03,352407842
2022-11-04,341117889
2022-11-07,343537165
2022-11-08,333860061
2022-11-09,323376533
2022-11-10,322570108
2022-11-11,330634360
2022-11-14,335472912
2022-11-15,355633544
2022-11-16,347569291
2022-11-17,323376533
2022-11-18,316118705
2022-11-21,304022326
2022-11-22,301603050
2022-11-23,295958074
2022-11-25,289506671
2022-11-28,274184591
2022-11-29,272571741
2022-11-30,295151648
2022-12-01,280635993
2022-12-02,291925947
2022-12-05,283055269
2022-12-06,274991017
2022-12-07,231444052
2022-12-08,247572557
2022-12-09,249991833
2022-12-12,249991833
2022-12-13,258862511
2022-12-14,280635993
2022-12-15,267733189
2022-12-16,262088212
2022-12-19,245153282
2022-12-20,256443235
2022-12-21,245153282
2022-12-22,248378983
2022-12-23,283861695
2022-12-27,267733189
2022-12-28,290313097
2022-12-29,305635177
2022-12-30,309667303
2023-01-03,290092714
2023-01-04,278779906
2023-01-05,281204079
2023-01-06,286860483
2023-01-09,293324945
2023-01-10,350697041
2023-01-11,345040637
2023-01-12,420190004
2023-01-13,404028850
2023-01-17,404028850
2023-01-18,391907984
2023-01-19,382211292
2023-01-20,379787119
2023-01-23,382211292
2023-01-24,378171003
2023-01-25,383019349
2023-01-26,381403234
2023-01-27,408069138
2023-01-30,397564388
2023-01-31,412917484
2023-02-01,440391446
2023-02-02,395948273
2023-02-03,374130715
2023-02-06,368474311
2023-02-07,366050138
2023-02-08,355545388
2023-02-09,356353445
2023-02-10,355545388
2023-02-13,349080926
2023-02-14,358777618
2023-02-15,357969561
2023-02-16,349080926
2023-02-17,351505099
2023-02-21,342616464
2023-02-22,335343945
2023-02-23,327263368
2023-02-24,323223080
2023-02-27,328879483
2023-02-28,290900772
2023-03-01,273123502
2023-03-02,264234867
2023-03-03,253730117
2023-03-06,235144790
2023-03-07,226256156
2023-03-08,218983636
2023-03-09,225448098
2023-03-10,221407809
2023-03-13,205246655
2023-03-14,198782194
2023-03-15,195549963
2023-03-16,185853271
2023-03-17,181004924
2023-03-20,169692117
2023-03-21,167267943
2023-03-22,160803482
2023-03-23,159995424
2023-03-24,155147078
2023-03-27,159995424
2023-03-28,156763193
2023-03-29,174540463
2023-03-30,159187366
2023-03-31,157571251
2023-04-03,167015810
2023-04-04,167830521
2023-04-05,167015810
2023-04-06,166201099
2023-04-10,163756965
2023-04-11,167015810
2023-04-12,164571676
2023-04-13,192271859
2023-04-14,177607056
2023-04-17,195530704
2023-04-18,188198303
2023-04-19,189827725
2023-04-20,181680613
2023-04-21,187383592
2023-04-24,159683408
2023-04-25,159683408
2023-04-26,159683408
2023-04-27,158053986
2023-04-28,158053986
2023-05-01,159683408
2023-05-02,154795141
2023-05-03,155609852
2023-05-04,158053986
2023-05-05,159683408
2023-05-08,172718789
2023-05-09,176792345
2023-05-10,195530704
2023-05-11,196345416
2023-05-12,190642437
2023-05-15,215898486
2023-05-16,198789549
2023-05-17,215898486
2023-05-18,211010218
2023-05-19,207751373
2023-05-22,216713197
2023-05-23,207751373
2023-05-24,194715993
2023-05-25,188198303
2023-05-26,185754169
2023-05-30,185754169
2023-05-31,191457148
2023-06-01,193901282
2023-06-02,202863106
2023-06-05,211824930
2023-06-06,207751373
2023-06-07,207751373
2023-06-08,203677817
2023-06-09,205307240
2023-06-12,206121951
2023-06-13,197974838
2023-06-14,186568880
2023-06-15,188198303
2023-06-16,186568880
2023-06-20,185754169
2023-06-21,177607056
2023-06-22,174348211
2023-06-23,167015810
2023-06-26,162942254
2023-06-27,163756965
2023-06-28,165386387
2023-06-29,175977634
2023-06-30,175162923
2023-07-03,176852221
2023-07-05,176029652
2023-07-06,173561947
2023-07-07,185077905
2023-07-10,194948727
2023-07-11,152175166
2023-07-12,124207838
2023-07-13,127498112
2023-07-14,124207838
2023-07-17,129143249
2023-07-18,123385270
2023-07-19,123385270
2023-07-20,123385270
2023-07-21,116804722
2023-07-24,107756469
2023-07-25,106111332
2023-07-26,103643627
2023-07-27,101998490
2023-07-28,105288764
2023-07-31,121740133
2023-08-01,124207838
2023-08-02,122562702
2023-08-03,122562702
2023-08-04,120917565
2023-08-07,117627291
2023-08-08,131610955
2023-08-09,123385270
2023-08-10,132433523
2023-08-11,136546366
2023-08-14,129965818
2023-08-15,131610955
2023-08-16,119272428
2023-08-17,114337017
2023-08-18,112691880
2023-08-21,112691880
2023-08-22,109401606
2023-08-23,111046743
2023-08-24,113514448
2023-08-25,106111332
2023-08-28,102821058
2023-08-29,96240510
2023-08-30,98708216
2023-08-31,98708216
2023-09-01,100353353
2023-09-05,92950237
2023-09-06,88837394
2023-09-07,89659963
2023-09-08,88014826
2023-09-11,85547120
2023-09-12,78555288
2023-09-13,76062906
2023-09-14,71810227
2023-09-15,67450614
2023-09-18,63790184
2023-09-19,65805477
2023-09-20,63173258
2023-09-21,59965241
2023-09-22,59216704
2023-09-25,66504660
2023-09-26,74853730
2023-09-27,72361348
2023-09-28,68273183
2023-09-29,73784391
2023-10-02,67825555
2023-10-03,67512844
2023-10-04,67479927
2023-10-05,70771630
2023-10-06,69125778
2023-10-09,68302853
2023-10-10,69825266
2023-10-11,66657001
2023-10-12,68920047
2023-10-13,65834075
2023-10-16,65011149
2023-10-17,63036127
2023-10-18,60007759
2023-10-19,63859052
2023-10-20,68302853
2023-10-23,57884610
2023-10-24,58444200
2023-10-25,53572478
2023-10-26,53893419
2023-10-27,57604815
2023-10-30,57859922
2023-10-31,57604815
2023-11-01,55226559
2023-11-02,57613045
2023-11-03,65834075
2023-11-06,71018508
2023-11-07,59678589
2023-11-08,49375556
2023-11-09,38521163
2023-11-10,38677519
2023-11-13,41146297
2023-11-14,45351448
2023-11-15,48141167
2023-11-16,52329860
2023-11-17,57901069
2023-11-20,58452429
2023-11-21,59579838
2023-11-22,58427741
2023-11-24,60649641
2023-11-27,59538691
2023-11-28,60073593
2023-11-29,63365297
2023-11-30,68302853
2023-12-01,91344779
2023-12-04,91344779
2023-12-05,84761371
2023-12-06,88053075
2023-12-07,88053075
2023-12-08,83938445
2023-12-11,82292594
2023-12-12,84761371
2023-12-13,138251557
2023-12-14,147303743
2023-12-15,130845224
2023-12-18,116032557
2023-12-19,111095001
2023-12-20,105334520
2023-12-21,105334520
2023-12-22,121793039
2023-12-26,135782780
2023-12-27,141543261
2023-12-28,130845224
2023-12-29,136605706
2024-01-02,139513424
2024-01-03,137036854
2024-01-04,155198365
2024-01-05,167581213
2024-01-08,158500458
2024-01-09,170883306
2024-01-10,179964061
2024-01-11,170883306
2024-01-12,175836445
2024-01-16,155198365
2024-01-17,153547318
2024-01-18,151070749
2024-01-19,150245226
2024-01-22,156849411
2024-01-23,162628074
2024-01-24,173359876
2024-01-25,213810513
2024-01-26,220414699
2024-01-29,265818476
2024-01-30,264992953
2024-01-31,257563244
2024-02-01,297188359
2024-02-02,297188359
2024-02-05,301315975
2024-02-06,324430625
2024-02-07,339290043
2024-02-08,324430625
2024-02-09,359928123
2024-02-12,367357832
2024-02-13,348370798
2024-02-14,401204284
2024-02-15,410285040
2024-02-16,436701783
2024-02-20,397902192
2024-02-21,387170390
2024-02-22,403680854
2024-02-23,386344866
2024-02-26,424318935
2024-02-27,413587133
2024-02-28,401204284
2024-02-29,398727715
2024-03-01,401204284
2024-03-04,382217250
2024-03-05,397902192
2024-03-06,412761610
2024-03-07,410285040
2024-03-08,371485449
2024-03-11,367357832
2024-03-12,367357832
2024-03-13,321954055
2024-03-14,308745684
2024-03-15,312047777
2024-03-18,364055740
2024-03-19,385519343
2024-03-20,390472483
2024-03-21,380566204
2024-03-22,374787541
2024-03-25,346719752
2024-03-26,359102600
2024-03-27,346719752
2024-03-28,370659925
2024-04-01,366532309
2024-04-02,355800507
2024-04-03,365706786
2024-04-04,388821436
2024-04-05,412761610
2024-04-08,420191318
2024-04-09,394600099
2024-04-10,388821436
2024-04-11,386344866
2024-04-12,362404693
2024-04-15,360753647
2024-04-16,366532309
2024-04-17,409459517
2024-04-18,392949052
2024-04-19,389646959
2024-04-22,386344866
2024-04-23,410285040
2024-04-24,394600099
2024-04-25,366532309
2024-04-26,358277077
2024-04-29,371485449
2024-04-30,364055740
2024-05-01,388821436
2024-05-02,390472483
2024-05-03,404506377
2024-05-06,367357832
2024-05-07,398727715
2024-05-08,364055740
2024-05-09,377264111
2024-05-10,354974984
2024-05-13,345894229
2024-05-14,333511380
2024-05-15,340941089
2024-05-16,337638996
2024-05-17,338464520
2024-05-20,339290043
2024-05-21,307920161
2024-05-22,302967021
2024-05-23,300490452
2024-05-24,303792544
2024-05-28,294711789
2024-05-29,274899232
2024-05-30,283979987
2024-05-31,283154464
2024-06-03,273248185
2024-06-04,288933127
2024-06-05,292235219
2024-06-06,287282080
2024-06-07,282328941
2024-06-10,300490452
2024-06-11,259214291
2024-06-12,260865337
2024-06-13,260865337
2024-06-14,272422662
2024-06-17,232797548
2024-06-18,224542315
2024-06-20,222065746
2024-06-21,218763653
2024-06-24,222065746
2024-06-25,210508421
2024-06-26,222065746
2024-06-27,231972024
2024-06-28,260865337
2024-07-01,303792544
2024-07-02,287282080
2024-07-03,252610105
2024-07-05,269120569
2024-07-08,252610105
2024-07-09,262516383
2024-07-10,260039814
2024-07-11,312873300
2024-07-12,315349870
2024-07-15,331034811
2024-07-16,331034811
2024-07-17,312047777
2024-07-18,302967021
2024-07-19,283979987
2024-07-22,300490452
2024-07-23,318651962
2024-07-24,307920161
2024-07-25,315349870
2024-07-26,299664928
2024-07-29,283979987
2024-07-30,286456557
2024-07-31,274073709
2024-08-01,252610105
2024-08-02,237750687
2024-08-05,274633873
2024-08-06,279418435
2024-08-07,262194011
2024-08-08,268892398
2024-08-09,254538711
