,NSC
2000-10-03,5405894733
2000-10-04,5526631575
2000-10-05,5331894733
2000-10-06,5378631576
2000-10-09,5211157891
2000-10-10,5086526313
2000-10-11,4919052628
2000-10-12,4942421049
2000-10-13,4919052628
2000-10-16,4891789471
2000-10-17,4794421050
2000-10-18,4747684207
2000-10-19,4771052629
2000-10-20,4794421050
2000-10-23,4673684208
2000-10-24,4942421049
2000-10-25,4919052628
2000-10-26,5086526313
2000-10-27,5063157892
2000-10-30,5308526312
2000-10-31,5503263154
2000-11-01,5526631575
2000-11-02,5697999996
2000-11-03,5865473681
2000-11-06,5916105259
2000-11-07,5818736838
2000-11-08,5744736839
2000-11-09,5744736839
2000-11-10,5670736839
2000-11-13,5818736838
2000-11-14,5916105259
2000-11-15,6013473680
2000-11-16,6013473680
2000-11-17,5818736838
2000-11-20,5744736839
2000-11-21,5670736839
2000-11-22,5549999997
2000-11-24,5600631575
2000-11-27,5623999996
2000-11-28,5670736839
2000-11-29,5670736839
2000-11-30,5600631575
2000-12-01,5573368418
2000-12-04,5647368418
2000-12-05,5721368417
2000-12-06,5647368418
2000-12-07,5526631575
2000-12-08,5549999997
2000-12-11,5600631575
2000-12-12,5573368418
2000-12-13,5475999997
2000-12-14,5234526312
2000-12-15,5113789470
2000-12-18,5183894734
2000-12-19,5234526312
2000-12-20,5257894734
2000-12-21,5308526312
2000-12-22,5378631576
2000-12-26,5308526312
2000-12-27,5429263154
2000-12-28,5137157891
2000-12-29,5183894734
2001-01-02,5263805000
2001-01-03,5432985000
2001-01-04,5936680000
2001-01-05,5913610000
2001-01-08,6201985000
2001-01-09,6201985000
2001-01-10,6105860000
2001-01-11,6078945000
2001-01-12,5936680000
2001-01-16,6201985000
2001-01-17,6344250000
2001-01-18,6367319999
2001-01-19,6201985000
2001-01-22,6298110000
2001-01-23,6271194999
2001-01-24,5982820000
2001-01-25,5840555000
2001-01-26,5886695000
2001-01-29,5982820000
2001-01-30,6036650000
2001-01-31,6278884999
2001-02-01,6363475000
2001-02-02,6305799999
2001-02-05,6263505000
2001-02-06,6286575000
2001-02-07,6209674999
2001-02-08,6536500000
2001-02-09,6717215000
2001-02-12,6836410000
2001-02-13,6982520000
2001-02-14,6721060000
2001-02-15,6786424999
2001-02-16,6932535000
2001-02-20,7113250000
2001-02-21,6986365000
2001-02-22,6990210000
2001-02-23,6832565000
2001-02-26,6932535000
2001-02-27,6994055000
2001-02-28,6955605000
2001-03-01,6805650000
2001-03-02,6621090000
2001-03-05,6694145000
2001-03-06,6678765000
2001-03-07,6759509999
2001-03-08,6901775000
2001-03-09,6817185000
2001-03-12,6667230000
2001-03-13,6286575000
2001-03-14,6102015000
2001-03-15,6082790000
2001-03-16,5725205000
2001-03-19,5967440000
2001-03-20,5902075000
2001-03-21,5829020000
2001-03-22,5659840000
2001-03-23,5748275000
2001-03-26,5752120000
2001-03-27,6152000000
2001-03-28,6201985000
2001-03-29,6171225000
2001-03-30,6436529999
2001-04-02,6408535711
2001-04-03,6389428569
2001-04-04,6305357140
2001-04-05,6343571426
2001-04-06,6324464283
2001-04-09,6362678569
2001-04-10,6695142854
2001-04-11,6496428569
2001-04-12,6496428569
2001-04-16,6534642854
2001-04-17,6584321426
2001-04-18,6679857140
2001-04-19,6641642854
2001-04-20,6492607140
2001-04-23,6183071426
2001-04-24,6114285712
2001-04-25,6148678569
2001-04-26,7096392854
2001-04-27,7681071425
2001-04-30,7543499997
2001-05-01,7425035711
2001-05-02,7321857140
2001-05-03,7264535711
2001-05-04,7428857140
2001-05-07,7642857140
2001-05-08,7952392854
2001-05-09,7979142854
2001-05-10,8590571425
2001-05-11,8552357139
2001-05-14,8410964282
2001-05-15,8368928568
2001-05-16,8693749996
2001-05-17,8984178568
2001-05-18,9121749996
2001-05-21,8976535710
2001-05-22,8705214282
2001-05-23,8537071425
2001-05-24,8449178568
2001-05-25,8338357139
2001-05-29,8334535711
2001-05-30,8204607139
2001-05-31,8472107139
2001-06-01,8410964282
2001-06-04,8452999996
2001-06-05,8647892853
2001-06-06,8498857139
2001-06-07,8705214282
2001-06-08,8437714282
2001-06-11,8261928568
2001-06-12,8070857139
2001-06-13,7860678568
2001-06-14,7639035711
2001-06-15,7524392854
2001-06-18,7482357140
2001-06-19,7470892854
2001-06-20,7402107140
2001-06-21,7612285711
2001-06-22,7497642854
2001-06-25,7447964282
2001-06-26,7306571425
2001-06-27,7451785711
2001-06-28,7658142854
2001-06-29,7929464282
2001-07-02,7998750000
2001-07-03,7975050000
2001-07-05,8089600000
2001-07-06,7919750000
2001-07-09,7915800000
2001-07-10,7951350000
2001-07-11,8516199999
2001-07-12,8445100000
2001-07-13,8492500000
2001-07-16,8634700000
2001-07-17,8761100000
2001-07-18,8887500000
2001-07-19,8761100000
2001-07-20,8358200000
2001-07-23,8188350000
2001-07-24,7753850000
2001-07-25,7702500000
2001-07-26,8156749999
2001-07-27,8046150000
2001-07-30,8006650000
2001-07-31,7947400000
2001-08-01,7860499999
2001-08-02,7998750000
2001-08-03,7963200000
2001-08-06,7900000000
2001-08-07,7975050000
2001-08-08,7856550000
2001-08-09,7888150000
2001-08-10,8069850000
2001-08-13,8042200000
2001-08-14,8156749999
2001-08-15,7986900000
2001-08-16,8334500000
2001-08-17,8077750000
2001-08-20,7876300000
2001-08-21,7323300000
2001-08-22,7619550000
2001-08-23,7745950000
2001-08-24,7856550000
2001-08-27,7516850000
2001-08-28,7453650000
2001-08-29,7358850000
2001-08-30,7267999999
2001-08-31,7354900000
2001-09-04,7678800000
2001-09-05,7781500000
2001-09-06,7809150000
2001-09-07,7497100000
2001-09-10,7465499999
2001-09-17,6715000000
2001-09-18,6679450000
2001-09-19,6252850000
2001-09-20,5652450000
2001-09-21,6122500000
2001-09-24,6477999999
2001-09-25,5798600000
2001-09-26,5960550000
2001-09-27,5980300000
2001-09-28,6367400000
2001-10-01,5882252652
2001-10-02,5996916447
2001-10-03,6123046620
2001-10-04,5989272194
2001-10-05,6123046620
2001-10-08,6065714723
2001-10-09,5866964146
2001-10-10,6325619324
2001-10-11,6489970763
2001-10-12,6191844897
2001-10-15,6245354668
2001-10-16,6340907830
2001-10-17,6016027079
2001-10-18,6073358976
2001-10-19,5943406676
2001-10-22,5977805814
2001-10-23,6340907830
2001-10-24,6402061854
2001-10-25,6478504383
2001-10-26,6707831972
2001-10-29,6356196336
2001-10-30,6363840589
2001-10-31,6402061854
2001-11-01,6566413292
2001-11-02,6726942604
2001-11-05,6849250652
2001-11-06,6654322201
2001-11-07,6826317893
2001-11-08,6860717031
2001-11-09,6849250652
2001-11-12,6803385134
2001-11-13,7040356976
2001-11-14,7162665023
2001-11-15,7376704106
2001-11-16,7487545774
2001-11-19,7418747497
2001-11-20,7327016462
2001-11-21,7353771347
2001-11-23,7399636865
2001-11-26,7426391750
2001-11-27,7437858130
2001-11-28,7430213877
2001-11-29,7403458991
2001-11-30,7411103244
2001-12-03,7235285426
2001-12-04,7235285426
2001-12-05,7292617323
2001-12-06,7181775655
2001-12-07,7292617323
2001-12-10,7223819047
2001-12-11,7090044620
2001-12-12,6940981687
2001-12-13,6891294043
2001-12-14,6868361284
2001-12-17,7151198644
2001-12-18,7258218185
2001-12-19,7116799505
2001-12-20,7151198644
2001-12-21,6986847205
2001-12-24,7051823355
2001-12-26,7005957837
2001-12-27,7082400367
2001-12-28,7135910138
2001-12-31,7097375999
2002-01-02,7194175999
2002-01-03,7592992000
2002-01-04,7883392000
2002-01-07,7898879999
2002-01-08,7744000000
2002-01-09,7585248000
2002-01-10,7577504000
2002-01-11,7349056000
2002-01-14,7163200000
2002-01-15,7236768000
2002-01-16,7016064000
2002-01-17,7519424000
2002-01-18,7511679999
2002-01-22,7635584000
2002-01-23,7744000000
2002-01-24,8123456000
2002-01-25,8572608000
2002-01-28,8712000000
2002-01-29,8510656000
2002-01-30,8634560000
2002-01-31,8731360000
2002-02-01,8638432000
2002-02-04,8460320000
2002-02-05,8398368000
2002-02-06,8131200000
2002-02-07,8092479999
2002-02-08,8216384000
2002-02-11,8402240000
2002-02-12,8355775999
2002-02-13,8258975999
2002-02-14,8162175999
2002-02-15,8247360000
2002-02-19,8123456000
2002-02-20,8154431999
2002-02-21,8479679999
2002-02-22,8526144000
2002-02-25,8533888000
2002-02-26,8495168000
2002-02-27,8952064000
2002-02-28,9211488000
2002-03-01,9753568000
2002-03-04,10202720000
2002-03-05,10071072000
2002-03-06,10113664000
2002-03-07,10299520000
2002-03-08,9699360000
2002-03-11,9792288000
2002-03-12,9478656000
2002-03-13,9467040000
2002-03-14,9354752000
2002-03-15,9323776000
2002-03-18,9304416000
2002-03-19,9563840000
2002-03-20,9621920000
2002-03-21,9091456000
2002-03-22,9083712000
2002-03-25,8863008000
2002-03-26,9134048000
2002-03-27,9393472000
2002-03-28,9269568000
2002-04-01,8978741941
2002-04-02,8721548392
2002-04-03,8425967747
2002-04-04,8798322586
2002-04-05,8763774199
2002-04-08,8829032264
2002-04-09,8744580651
2002-04-10,9186032264
2002-04-11,8982580651
2002-04-12,9385645167
2002-04-15,8875096780
2002-04-16,9124612909
2002-04-17,9059354844
2002-04-18,8959548393
2002-04-19,8925000006
2002-04-22,8863580651
2002-04-23,8821354844
2002-04-24,8015225811
2002-04-25,8314645166
2002-04-26,8291612908
2002-04-29,8092000005
2002-04-30,8226354844
2002-05-01,8214838715
2002-05-02,8237870973
2002-05-03,8199483876
2002-05-06,7949967747
2002-05-07,7930774198
2002-05-08,8257064521
2002-05-09,8038258069
2002-05-10,7923096779
2002-05-13,8011387102
2002-05-14,8253225812
2002-05-15,8234032263
2002-05-16,8203322586
2002-05-17,8353032263
2002-05-20,8249387102
2002-05-21,7842483876
2002-05-22,8026741940
2002-05-23,8138064521
2002-05-24,8019064521
2002-05-28,7880870973
2002-05-29,7861677424
2002-05-30,7619838714
2002-05-31,8126548392
2002-06-03,7980677424
2002-06-04,8007548392
2002-06-05,8080483876
2002-06-06,8065129037
2002-06-07,8172612908
2002-06-10,8414451618
2002-06-11,8410612908
2002-06-12,8353032263
2002-06-13,8314645166
2002-06-14,8107354844
2002-06-17,8372225812
2002-06-18,8464354844
2002-06-19,8487387102
2002-06-20,8721548392
2002-06-21,8717709683
2002-06-24,8840548393
2002-06-25,8230193553
2002-06-26,8410612908
2002-06-27,8786806457
2002-06-28,8974903231
2002-07-01,9154687500
2002-07-02,9237375000
2002-07-03,8938125000
2002-07-05,9371250000
2002-07-08,9072000000
2002-07-09,8792437500
2002-07-10,8867250000
2002-07-11,8701875000
2002-07-12,8453812500
2002-07-15,8060062500
2002-07-16,7981312500
2002-07-17,8048250000
2002-07-18,7827750000
2002-07-19,7808062499
2002-07-22,7402500000
2002-07-23,7107187500
2002-07-24,7508812500
2002-07-25,7686000000
2002-07-26,7863187500
2002-07-29,8127000000
2002-07-30,8209687500
2002-07-31,7973437500
2002-08-01,7949812500
2002-08-02,7465500000
2002-08-05,7205625000
2002-08-06,7733250000
2002-08-07,7969499999
2002-08-08,8339625000
2002-08-09,8268750000
2002-08-12,8284500000
2002-08-13,7985250000
2002-08-14,8284500000
2002-08-15,8363249999
2002-08-16,8347500000
2002-08-19,8312062500
2002-08-20,8272687500
2002-08-21,8540437500
2002-08-22,8607375000
2002-08-23,8351437500
2002-08-26,8642812500
2002-08-27,8619187500
2002-08-28,8343562500
2002-08-29,8056125000
2002-08-30,8241187500
2002-09-03,8044312500
2002-09-04,8221500000
2002-09-05,7941937500
2002-09-06,8087625000
2002-09-09,8119125000
2002-09-10,8115187500
2002-09-11,8225437500
2002-09-12,8272687500
2002-09-13,8382937500
2002-09-16,8607375000
2002-09-17,8264812499
2002-09-18,8268750000
2002-09-19,8304187500
2002-09-20,8540437500
2002-09-23,8280562500
2002-09-24,7902562500
2002-09-25,8138812500
2002-09-26,8686125000
2002-09-27,8473500000
2002-09-30,7814277777
2002-10-01,8410314814
2002-10-02,7876203702
2002-10-03,8267111110
2002-10-04,8089074073
2002-10-07,7729129628
2002-10-08,8154870369
2002-10-09,7489166665
2002-10-10,7957481480
2002-10-11,8178092591
2002-10-14,8027148147
2002-10-15,8514814814
2002-10-16,8205185184
2002-10-17,8476111110
2002-10-18,8201314814
2002-10-21,8282592591
2002-10-22,8046499999
2002-10-23,8127777777
2002-10-24,8131648147
2002-10-25,8096814814
2002-10-28,8027148147
2002-10-29,7992314814
2002-10-30,8038759258
2002-10-31,7818148147
2002-11-01,8185833332
2002-11-04,8344518517
2002-11-05,8344518517
2002-11-06,8638666665
2002-11-07,8418055554
2002-11-08,8541907406
2002-11-11,8150999999
2002-11-12,8220666665
2002-11-13,8073592591
2002-11-14,8127777777
2002-11-15,8166481480
2002-11-18,7856851851
2002-11-19,7740740740
2002-11-20,7736870369
2002-11-21,7783314814
2002-11-22,7694296295
2002-11-25,7620759258
2002-11-26,7404018517
2002-11-27,7686555554
2002-11-29,7636240740
2002-12-02,7605277777
2002-12-03,7516259258
2002-12-04,7597537036
2002-12-05,7616888888
2002-12-06,7814277777
2002-12-09,7616888888
2002-12-10,7725259258
2002-12-11,7767833332
2002-12-12,7427240740
2002-12-13,7520129628
2002-12-16,7643981480
2002-12-17,7624629628
2002-12-18,7500777777
2002-12-19,7434981480
2002-12-20,7659462962
2002-12-23,7597537036
2002-12-24,7547222221
2002-12-26,7655592591
2002-12-27,7477555554
2002-12-30,7674944443
2002-12-31,7736870369
2003-01-02,7930388888
2003-01-03,7880074073
2003-01-06,8081333332
2003-01-07,7957481480
2003-01-08,7907166665
2003-01-09,8050370369
2003-01-10,7938129628
2003-01-13,7895555554
2003-01-14,7806537036
2003-01-15,7643981480
2003-01-16,7493037036
2003-01-17,7473685184
2003-01-21,7260814814
2003-01-22,7013111110
2003-01-23,7229851851
2003-01-24,7028592591
2003-01-27,7063425925
2003-01-28,7202759258
2003-01-29,7353703703
2003-01-30,7473685184
2003-01-31,7624629628
2003-02-03,7601407406
2003-02-04,7431111110
2003-02-05,7520129628
2003-02-06,7446592591
2003-02-07,7415629628
2003-02-10,7481425925
2003-02-11,7287907406
2003-02-12,7376925925
2003-02-13,7326611110
2003-02-14,7218240740
2003-02-18,7407888888
2003-02-19,7276296295
2003-02-20,7225981480
2003-02-21,7427240740
2003-02-24,7133092591
2003-02-25,7303388888
2003-02-26,7450462962
2003-02-27,7334351851
2003-02-28,7376925925
2003-03-03,7407888888
2003-03-04,7206629628
2003-03-05,7307259258
2003-03-06,7218240740
2003-03-07,7373055554
2003-03-10,7040203703
2003-03-11,6869907406
2003-03-12,6850555554
2003-03-13,7044074073
2003-03-14,7125351851
2003-03-17,7272425925
2003-03-18,7314999999
2003-03-19,7345962962
2003-03-20,7427240740
2003-03-21,7709777777
2003-03-24,7427240740
2003-03-25,7508518517
2003-03-26,7508518517
2003-03-27,7392407406
2003-03-28,7376925925
2003-03-31,7264914277
2003-04-01,7327542849
2003-04-02,7468457134
2003-04-03,7296228563
2003-04-04,7437142849
2003-04-07,7625028563
2003-04-08,7605457134
2003-04-09,7472371420
2003-04-10,7601542848
2003-04-11,7632857134
2003-04-14,7773771420
2003-04-15,7742457134
2003-04-16,7715057134
2003-04-17,7769857134
2003-04-21,7852057134
2003-04-22,7902942848
2003-04-23,7942085705
2003-04-24,8071257134
2003-04-25,8063428562
2003-04-28,8259142848
2003-04-29,8294371419
2003-04-30,8302199990
2003-05-01,8208257133
2003-05-02,8278714276
2003-05-05,8310028562
2003-05-06,8368742847
2003-05-07,8329599990
2003-05-08,8208257133
2003-05-09,8384399990
2003-05-12,8493999990
2003-05-13,8497914276
2003-05-14,8486171419
2003-05-15,8462685705
2003-05-16,8486171419
2003-05-19,8239571419
2003-05-20,8356999990
2003-05-21,8325685705
2003-05-22,8313942848
2003-05-23,8349171419
2003-05-27,8325685705
2003-05-28,8235657133
2003-05-29,8239571419
2003-05-30,8580114276
2003-06-02,8564457133
2003-06-03,8529228562
2003-06-04,8544885704
2003-06-05,8560542847
2003-06-06,8513571419
2003-06-09,8443114276
2003-06-10,8356999990
2003-06-11,8431371419
2003-06-12,8509657133
2003-06-13,8356999990
2003-06-16,8591857133
2003-06-17,8333514276
2003-06-18,8200428562
2003-06-19,8020371419
2003-06-20,7910771419
2003-06-23,7648514277
2003-06-24,7617199991
2003-06-25,7425399991
2003-06-26,7566314277
2003-06-27,7558485706
2003-06-30,7515428563
2003-07-01,7566314277
2003-07-02,7679828563
2003-07-03,7601542848
2003-07-07,7632857134
2003-07-08,7718971420
2003-07-09,7597628563
2003-07-10,7574142848
2003-07-11,7644599991
2003-07-14,7750285705
2003-07-15,7668085705
2003-07-16,7715057134
2003-07-17,7495857134
2003-07-18,7640685705
2003-07-21,7534999991
2003-07-22,7585885705
2003-07-23,7366685706
2003-07-24,7566314277
2003-07-25,7417571420
2003-07-28,7358857134
2003-07-29,7170971420
2003-07-30,7390171420
2003-07-31,7527171420
2003-08-01,7409742849
2003-08-04,7437142849
2003-08-05,7225771420
2003-08-06,7245342849
2003-08-07,7394085706
2003-08-08,7425399991
2003-08-11,7284485706
2003-08-12,7331457134
2003-08-13,7339285706
2003-08-14,7429314277
2003-08-15,7331457134
2003-08-18,7280571420
2003-08-19,7245342849
2003-08-20,7167057135
2003-08-21,7260999992
2003-08-22,7167057135
2003-08-25,7155314277
2003-08-26,7178799992
2003-08-27,7202285706
2003-08-28,7437142849
2003-08-29,7452799991
2003-09-02,7644599991
2003-09-03,7683742848
2003-09-04,7632857134
2003-09-05,7585885705
2003-09-08,7601542848
2003-09-09,7570228563
2003-09-10,7468457134
2003-09-11,7593714277
2003-09-12,7605457134
2003-09-15,7523257134
2003-09-16,7683742848
2003-09-17,7554571420
2003-09-18,7828571420
2003-09-19,7671999991
2003-09-22,7523257134
2003-09-23,7546742848
2003-09-24,7394085706
2003-09-25,7339285706
2003-09-26,7214028563
2003-09-29,7241428563
2003-09-30,7279665066
2003-10-01,7409518551
2003-10-02,7409518551
2003-10-03,7456738000
2003-10-06,7523632220
2003-10-07,7389843781
2003-10-08,7397713689
2003-10-09,7425258367
2003-10-10,7385908826
2003-10-13,7326884515
2003-10-14,7401648643
2003-10-15,7366234056
2003-10-16,7460672954
2003-10-17,7594461393
2003-10-20,7511827357
2003-10-21,7311144699
2003-10-22,7256055341
2003-10-23,7366234056
2003-10-24,7417388459
2003-10-27,7299339836
2003-10-28,7279665066
2003-10-29,7622006072
2003-10-30,7862038271
2003-10-31,7928932491
2003-11-03,8133550104
2003-11-04,8106005425
2003-11-05,8106005425
2003-11-06,8444411477
2003-11-07,8456216339
2003-11-10,8279143405
2003-11-11,8361777441
2003-11-12,8322427900
2003-11-13,8279143405
2003-11-14,8306688083
2003-11-17,8212249185
2003-11-18,8165029736
2003-11-19,8172899644
2003-11-20,8271273497
2003-11-21,8275208451
2003-11-24,8397192028
2003-11-25,8464086247
2003-11-26,8499500834
2003-11-28,8424736706
2003-12-01,8582134870
2003-12-02,8507370742
2003-12-03,8684443676
2003-12-04,8861516610
2003-12-05,8853646702
2003-12-08,8912671013
2003-12-09,8900866151
2003-12-10,8932345784
2003-12-11,9089743947
2003-12-12,9290426606
2003-12-15,9219597432
2003-12-16,9223532386
2003-12-17,9235337249
2003-12-18,9247142111
2003-12-19,9282556698
2003-12-22,9573743300
2003-12-23,9262881927
2003-12-24,9211727524
2003-12-26,9255012019
2003-12-29,9365190734
2003-12-30,9365190734
2003-12-31,9341750000
2004-01-02,9452350000
2004-01-05,9452350000
2004-01-06,9428650000
2004-01-07,9187700000
2004-01-08,9167950000
2004-01-09,9053400000
2004-01-12,9037600000
2004-01-13,9148200000
2004-01-14,9065250000
2004-01-15,8994150000
2004-01-16,9045500000
2004-01-20,8966500000
2004-01-21,9179800000
2004-01-22,9164000000
2004-01-23,9136350000
2004-01-26,9219300000
2004-01-27,9183750000
2004-01-28,8930950000
2004-01-29,8800600000
2004-01-30,8808500000
2004-02-02,8650500000
2004-02-03,8646550000
2004-02-04,8591250000
2004-02-05,8701850000
2004-02-06,8753200000
2004-02-09,8883550000
2004-02-10,8923050000
2004-02-11,8966500000
2004-02-12,8875650000
2004-02-13,8808500000
2004-02-17,8733450000
2004-02-18,8788750000
2004-02-19,8840100000
2004-02-20,8828250000
2004-02-23,8745300000
2004-02-24,8678150000
2004-02-25,8591250000
2004-02-26,8607050000
2004-02-27,8753200000
2004-03-01,8630750000
2004-03-02,8543850000
2004-03-03,8472750000
2004-03-04,8488549999
2004-03-05,8626800000
2004-03-08,8539900000
2004-03-09,8429300000
2004-03-10,8350300000
2004-03-11,8279200000
2004-03-12,8441150000
2004-03-15,8287100000
2004-03-16,8223900000
2004-03-17,8354249999
2004-03-18,8318699999
2004-03-19,8219949999
2004-03-22,8113300000
2004-03-23,8137000000
2004-03-24,8295000000
2004-03-25,8508300000
2004-03-26,8500400000
2004-03-29,8595200000
2004-03-30,8571500000
2004-03-31,8554854539
2004-04-01,8531618175
2004-04-02,8655545448
2004-04-05,8640054539
2004-04-06,8659418175
2004-04-07,8597454539
2004-04-08,8489018175
2004-04-12,8496763630
2004-04-13,8523872721
2004-04-14,8477399994
2004-04-15,8566472721
2004-04-16,8558727266
2004-04-19,8477399994
2004-04-20,8341854539
2004-04-21,8794963630
2004-04-22,9387490902
2004-04-23,9581127265
2004-04-26,9267436357
2004-04-27,9480436356
2004-04-28,9422345447
2004-04-29,9313909084
2004-04-30,9224836357
2004-05-03,9290672720
2004-05-04,9298418175
2004-05-05,9279054538
2004-05-06,9395236357
2004-05-07,9166745448
2004-05-10,9085418175
2004-05-11,9147381811
2004-05-12,9236454538
2004-05-13,9360381811
2004-05-14,9220963629
2004-05-17,9097036357
2004-05-18,9104781811
2004-05-19,9097036357
2004-05-20,9151254539
2004-05-21,9232581811
2004-05-24,9193854538
2004-05-25,9201599993
2004-05-26,9166745448
2004-05-27,9333272720
2004-05-28,9383618175
2004-06-01,9290672720
2004-06-02,9453327266
2004-06-03,9453327266
2004-06-04,9604363629
2004-06-07,9856090902
2004-06-08,9852218174
2004-06-09,9592745447
2004-06-10,9677945447
2004-06-14,9484309084
2004-06-15,9612109084
2004-06-16,9708927265
2004-06-17,9705054538
2004-06-18,9681818175
2004-06-21,9658581811
2004-06-22,9619854538
2004-06-23,10045854538
2004-06-24,10026490902
2004-06-25,10010999992
2004-06-28,10034236356
2004-06-29,10165909083
2004-06-30,10462684932
2004-07-01,10139178083
2004-07-02,9926136987
2004-07-06,9878794521
2004-07-07,10076054795
2004-07-08,9795945206
2004-07-09,10154958905
2004-07-12,10178630138
2004-07-13,10127342467
2004-07-14,10154958905
2004-07-15,10249643837
2004-07-16,10225972604
2004-07-19,10237808220
2004-07-20,10502136987
2004-07-21,10300931508
2004-07-22,10107616439
2004-07-23,10016876713
2004-07-26,10040547946
2004-07-27,10218082193
2004-07-28,10584986302
2004-07-29,10652054796
2004-07-30,10529753426
2004-08-02,10640219179
2004-08-03,10545534248
2004-08-04,10691506850
2004-08-05,10754630138
2004-08-06,10356164385
2004-08-09,10312767124
2004-08-10,10581041097
2004-08-11,10652054796
2004-08-12,10375890412
2004-08-13,10364054795
2004-08-16,10667835617
2004-08-17,10683616439
2004-08-18,10805917809
2004-08-19,10679671234
2004-08-20,10872986302
2004-08-23,10719123289
