,VRTS
2004-10-04,113796000
2004-10-05,116290000
2004-10-06,120350000
2004-10-07,117972000
2004-10-08,119769999
2004-10-11,119654000
2004-10-12,117740000
2004-10-13,121336000
2004-10-14,116986000
2004-10-15,113680000
2004-10-18,119074000
2004-10-19,117391999
2004-10-20,119132000
2004-10-21,127426000
2004-10-22,122090000
2004-10-25,120350000
2004-10-26,124874000
2004-10-27,129862000
2004-10-28,125048000
2004-10-29,126904000
2004-11-01,126962000
2004-11-02,125512000
2004-11-03,124990000
2004-11-04,128180000
2004-11-05,127716000
2004-11-08,127136000
2004-11-09,124758000
2004-11-10,122554000
2004-11-11,125280000
2004-11-12,127368000
2004-11-15,129513999
2004-11-16,128006000
2004-11-17,134038000
2004-11-18,131486000
2004-11-19,131022000
2004-11-22,132240000
2004-11-23,129108000
2004-11-24,131834000
2004-11-26,129746000
2004-11-29,129340000
2004-11-30,127019999
2004-12-01,136126000
2004-12-02,138504000
2004-12-03,143260000
2004-12-06,145174000
2004-12-07,142448000
2004-12-08,143840000
2004-12-09,144536000
2004-12-10,145058000
2004-12-13,146102000
2004-12-14,158804000
2004-12-15,163038000
2004-12-16,162342000
2004-12-17,160950000
2004-12-20,153410000
2004-12-21,158920000
2004-12-22,163676000
2004-12-23,161066000
2004-12-27,160602000
2004-12-28,160022000
2004-12-29,159384000
2004-12-30,163328000
2004-12-31,165590000
2005-01-03,167272000
2005-01-04,161066000
2005-01-05,159268000
2005-01-06,148248000
2005-01-07,152134000
2005-01-10,151670000
2005-01-11,150046000
2005-01-12,150742000
2005-01-13,153004000
2005-01-14,156252000
2005-01-18,159036000
2005-01-19,158688000
2005-01-20,154628000
2005-01-21,149176000
2005-01-24,144362000
2005-01-25,142738000
2005-01-26,145058000
2005-01-27,145986000
2005-01-28,145000000
2005-01-31,149176000
2005-02-01,149350000
2005-02-02,146740000
2005-02-03,144594000
2005-02-04,149408000
2005-02-07,150278000
2005-02-08,141404000
2005-02-09,137634000
2005-02-10,133690000
2005-02-11,138040000
2005-02-14,140998000
2005-02-15,142448000
2005-02-16,146044000
2005-02-17,142622000
2005-02-18,142042000
2005-02-22,138098000
2005-02-23,139258000
2005-02-24,139896000
2005-02-25,138678000
2005-02-28,140476000
2005-03-01,141056000
2005-03-02,141288000
2005-03-03,137054000
2005-03-04,135952000
2005-03-07,136532000
2005-03-08,134734000
2005-03-09,135952000
2005-03-10,136474000
2005-03-11,135140000
2005-03-14,136126000
2005-03-15,133168000
2005-03-16,130848000
2005-03-17,129340000
2005-03-18,130441999
2005-03-21,129919999
2005-03-22,127484000
2005-03-23,130441999
2005-03-24,133574000
2005-03-28,135546000
2005-03-29,135314000
2005-03-30,139432000
2005-03-31,134676000
2005-04-01,136996000
2005-04-04,132530000
2005-04-13,131080000
2005-04-14,128296000
2005-04-15,119363999
2005-04-18,120524000
2005-04-19,120930000
2005-04-20,119363999
2005-04-21,123308000
2005-04-22,120408000
2005-04-25,119944000
2005-04-26,118378000
2005-04-27,116348000
2005-04-28,117218000
2005-04-29,119422000
2005-05-02,119596000
2005-05-03,122148000
2005-05-04,125918000
2005-05-05,123598000
2005-05-06,123366000
2005-05-09,117972000
2005-05-10,115768000
2005-05-11,117856000
2005-05-12,117450000
2005-05-13,121626000
2005-05-16,123540000
2005-05-17,129513999
2005-05-18,135894000
2005-05-19,140244000
2005-05-20,142622000
2005-05-23,141230000
2005-05-24,142738000
2005-05-25,142622000
2005-05-26,144362000
2005-05-27,143840000
2005-05-31,144362000
2005-06-01,145754000
2005-06-02,146218000
2005-06-03,144710000
2005-06-06,143956000
2005-06-07,141984000
2005-06-08,140360000
2005-06-09,141230000
2005-06-10,137344000
2005-06-13,137576000
2005-06-14,137460000
2005-06-15,139432000
2005-06-16,138910000
2005-06-17,140186000
2005-06-20,141230000
2005-06-21,145522000
2005-06-22,144942000
2005-06-23,140766000
2005-06-24,138098000
2005-06-27,141346000
2005-06-28,142158000
2005-06-29,140476000
2005-06-30,141520000
2005-07-01,136880000
2009-01-02,60795000
2009-01-05,51009900
2009-01-06,68843100
2009-01-07,59289600
2009-01-08,57378900
2009-01-09,52862700
2009-01-12,44409300
2009-01-13,41572200
2009-01-14,38850900
2009-01-15,41977500
2009-01-16,42788100
2009-01-20,40066800
2009-01-21,40240500
2009-01-22,34855800
2009-01-23,34450500
2009-01-26,34740000
2009-01-27,34740000
2009-01-28,36766500
2009-01-29,33350400
2009-01-30,35087400
2009-02-02,34161000
2009-02-03,33582000
2009-02-04,33292500
2009-02-05,33697800
2009-02-06,33755700
2009-02-09,32655600
2009-02-10,32018700
2009-02-11,32018700
2009-02-12,36824400
2009-02-13,34161000
2009-02-17,32655600
2009-02-18,31613400
2009-02-19,30397500
2009-02-20,30744899
2009-02-23,27386700
2009-02-24,30223800
2009-02-25,28139400
2009-02-26,28950000
2009-02-27,28950000
2009-03-02,24781200
2009-03-03,23507399
2009-03-04,23391600
2009-03-05,23507399
2009-03-06,27155100
2009-03-09,26749800
2009-03-10,27386700
2009-03-11,28892100
2009-03-12,34682100
2009-03-13,33292500
2009-03-16,34450500
2009-03-17,38387700
2009-03-18,40008900
2009-03-19,39082500
2009-03-20,34508400
2009-03-23,36187500
2009-03-24,38445600
2009-03-25,40008900
2009-03-26,41398500
2009-03-27,39024600
2009-03-30,35434800
2009-03-31,37829610
2009-04-01,37364730
2009-04-02,37190400
2009-04-03,37713390
2009-04-06,37422840
2009-04-07,36493080
2009-04-08,37655280
2009-04-09,44047380
2009-04-13,42768960
2009-04-14,40677000
2009-04-15,45267690
2009-04-16,46546110
2009-04-17,52240890
2009-04-20,54623400
2009-04-21,55785600
2009-04-22,58051890
2009-04-23,56076150
2009-04-24,54332850
2009-04-27,55553160
2009-04-28,54042300
2009-04-29,60724949
2009-04-30,65954850
2009-05-01,66477840
2009-05-04,65373750
2009-05-05,62991240
2009-05-06,63572340
2009-05-07,67407600
2009-05-08,80656680
2009-05-11,81295890
2009-05-12,82051320
2009-05-13,79901250
2009-05-14,81237780
2009-05-15,77751180
2009-05-18,84027060
2009-05-19,90884040
2009-05-20,92220570
2009-05-21,89779950
2009-05-22,88036650
2009-05-26,89721840
2009-05-27,91290810
2009-05-28,88966410
2009-05-29,86002800
2009-06-01,92743560
2009-06-02,95300399
2009-06-03,95300399
2009-06-04,96172050
2009-06-05,95474730
2009-06-08,94138200
2009-06-09,91581360
2009-06-10,88443420
2009-06-11,89954280
2009-06-12,91058370
2009-06-15,88792080
2009-06-16,86235240
2009-06-17,84608160
2009-06-18,85712250
2009-06-19,81760770
2009-06-22,76647090
2009-06-23,76414650
2009-06-24,78797160
2009-06-25,80772900
2009-06-26,88617750
2009-06-29,86177130
2009-06-30,85554560
2009-07-01,90912640
2009-07-02,83865600
2009-07-06,82526080
2009-07-07,81885440
2009-07-08,79031680
2009-07-09,78624000
2009-07-10,79672320
2009-07-13,86894080
2009-07-14,83283200
2009-07-15,86428160
2009-07-16,87360000
2009-07-17,87767680
2009-07-20,87651200
2009-07-21,92019200
2009-07-22,92019200
2009-07-23,94872960
2009-07-24,94581759
2009-07-27,93184000
2009-07-28,93184000
2009-07-29,89806080
2009-07-30,89864320
2009-07-31,92310400
2009-08-03,92601600
2009-08-04,91844480
2009-08-05,86835840
2009-08-06,86195200
2009-08-07,90039040
2009-08-10,91029120
2009-08-11,92019200
2009-08-12,92019200
2009-08-13,90446720
2009-08-14,87884160
2009-08-17,89107200
2009-08-18,90272000
2009-08-19,90272000
2009-08-20,91087360
2009-08-21,92135680
2009-08-24,92426880
2009-08-25,94232320
2009-08-26,95105919
2009-08-27,92718080
2009-08-28,92193920
2009-08-31,90970880
2009-09-01,85904000
2009-09-02,87243520
2009-09-03,87418240
2009-09-04,89456640
2009-09-08,88524800
2009-09-09,91728000
2009-09-10,91728000
2009-09-11,91495040
2009-09-14,87825920
2009-09-15,90097280
2009-09-16,94465280
2009-09-17,93999360
2009-09-18,90388480
2009-09-21,90563200
2009-09-22,92543360
2009-09-23,90272000
2009-09-24,90213760
2009-09-25,92019200
2009-09-28,92310400
2009-09-29,91145600
2009-09-30,91053130
2009-10-01,88078300
2009-10-02,88369950
2009-10-05,93211340
2009-10-06,90003190
2009-10-07,89011580
2009-10-08,93153010
2009-10-09,93794639
2009-10-12,93969630
2009-10-13,94086290
2009-10-14,95602870
2009-10-15,96186169
2009-10-16,93502990
2009-10-19,91519770
2009-10-20,90294840
2009-10-21,90003190
2009-10-22,89069910
2009-10-23,87961640
2009-10-26,87495000
2009-10-27,87611660
2009-10-28,85336790
2009-10-29,86736710
2009-10-30,85453450
2009-11-02,88953250
2009-11-03,91053130
2009-11-04,91169790
2009-11-05,93386330
2009-11-06,92511380
2009-11-09,93969630
2009-11-10,93736310
2009-11-11,96244500
2009-11-12,93619650
2009-11-13,94261280
2009-11-16,95077900
2009-11-17,95544540
2009-11-18,95894520
2009-11-19,91753090
2009-11-20,90936470
2009-11-23,93444660
2009-11-24,91228120
2009-11-25,91636430
2009-11-27,89711540
2009-11-30,91228120
2009-12-01,90819810
2009-12-02,92219730
2009-12-03,90644820
2009-12-04,92919690
2009-12-07,92453050
2009-12-08,93153010
2009-12-09,93444660
2009-12-10,93561320
2009-12-11,92103070
2009-12-14,95194560
2009-12-15,93328000
2009-12-16,93794639
2009-12-17,94727919
2009-12-18,93911300
2009-12-21,93153010
2009-12-22,92919690
2009-12-23,93211340
2009-12-24,94027960
2009-12-28,92803030
2009-12-29,93502990
2009-12-30,93852970
2009-12-31,92744700
2010-01-04,97061120
2010-01-05,95369550
2010-01-06,93328000
2010-01-07,94319610
2010-01-08,93969630
2010-01-11,95019570
2010-01-12,94961240
2010-01-13,95544540
2010-01-14,95369550
2010-01-15,95077900
2010-01-19,101902510
2010-01-20,103244100
2010-01-21,100619250
2010-01-22,95486210
2010-01-25,97119449
2010-01-26,96652810
2010-01-27,98811020
2010-01-28,95427880
2010-01-29,95486210
2010-02-01,95077900
2010-02-02,96302830
2010-02-03,95777860
2010-02-04,94027960
2010-02-05,98811020
2010-02-08,96419490
2010-02-09,98811020
2010-02-10,98344380
2010-02-11,100910900
2010-02-12,101902510
2010-02-16,105810620
2010-02-17,110710340
2010-02-18,107385530
2010-02-19,111585290
2010-02-22,121326400
2010-02-23,117009979
2010-02-24,116193360
2010-02-25,116368350
2010-02-26,118993199
2010-03-01,121851370
2010-03-02,120509780
2010-03-03,121151410
2010-03-04,120101470
2010-03-05,119576500
2010-03-08,116660000
2010-03-09,116193360
2010-03-10,117359960
2010-03-11,118293240
2010-03-12,114560120
2010-03-15,114968430
2010-03-16,118059919
2010-03-17,119634830
2010-03-18,115318410
2010-03-19,115318410
2010-03-22,119751490
2010-03-23,120276460
2010-03-24,120976419
2010-03-25,123017970
2010-03-26,119051530
2010-03-29,119109860
2010-03-30,121384729
2010-03-31,121997360
2010-04-01,120533860
2010-04-05,120650940
2010-04-06,121704660
2010-04-07,122290060
2010-04-08,124104800
2010-04-09,126270780
2010-04-12,126446400
2010-04-13,126446400
2010-04-14,129314860
2010-04-15,130953980
2010-04-16,129314860
2010-04-19,130719819
2010-04-20,132651640
2010-04-21,132417480
2010-04-22,134232220
2010-04-23,137803160
2010-04-26,138973960
2010-04-27,135227400
2010-04-28,137159220
2010-04-29,142779060
2010-04-30,141842420
2010-05-03,143540080
2010-05-04,142135120
2010-05-05,140554540
2010-05-06,129197780
2010-05-07,131715000
2010-05-10,140496000
2010-05-11,142544900
2010-05-12,145062120
2010-05-13,145940220
2010-05-14,141257020
2010-05-17,138095860
2010-05-18,136046960
2010-05-19,136456740
2010-05-20,131305220
2010-05-21,132358940
2010-05-24,130017340
2010-05-25,123109620
2010-05-26,125217060
2010-05-27,134466380
2010-05-28,133412660
2010-06-01,133588280
2010-06-02,136164040
2010-06-03,136807980
2010-06-04,127617200
2010-06-07,127324500
2010-06-08,125158520
2010-06-09,126095160
2010-06-10,129197780
2010-06-11,132241860
2010-06-14,130017340
2010-06-15,132534560
2010-06-16,131597920
2010-06-17,134232220
2010-06-18,130895440
2010-06-21,128788000
2010-06-22,125334140
2010-06-23,122992540
2010-06-24,118836200
2010-06-25,114445700
2010-06-28,113099280
2010-06-29,109821040
2010-06-30,114248160
2010-07-01,111562840
2010-07-02,110830480
2010-07-06,110525330
2010-07-07,114797429
2010-07-08,115163610
2010-07-09,119313650
2010-07-12,125599739
2010-07-13,137134410
2010-07-14,131702739
2010-07-15,134082910
2010-07-16,128773300
2010-07-19,131092440
2010-07-20,131153469
2010-07-21,132129949
2010-07-22,139148400
2010-07-23,145068310
2010-07-26,150194830
2010-07-27,147265390
2010-07-28,149035260
2010-07-29,149645560
2010-07-30,157457400
2010-08-02,161668470
2010-08-03,160386840
2010-08-04,167832500
2010-08-05,166611900
2010-08-06,162217740
2010-08-09,166428810
2010-08-10,165696450
2010-08-11,158555940
2010-08-12,157152250
2010-08-13,150561010
2010-08-16,155687530
2010-08-17,166733960
2010-08-18,167100140
2010-08-19,160997140
2010-08-20,158616970
2010-08-23,156786070
2010-08-24,160753020
2010-08-25,162767010
2010-08-26,163072160
2010-08-27,164842030
2010-08-30,162644950
2010-08-31,161912590
2010-09-01,168442800
2010-09-02,169846490
2010-09-03,173020050
2010-09-07,168259710
2010-09-08,173447260
2010-09-09,173996530
2010-09-10,172226660
2010-09-13,176987000
2010-09-14,175156100
2010-09-15,175583310
2010-09-16,175278160
2010-09-17,175156100
2010-09-20,177719360
2010-09-21,178634810
2010-09-22,175766400
2010-09-23,176071550
2010-09-24,182784850
2010-09-27,181259100
2010-09-28,186690770
2010-09-29,187484160
2010-09-30,188882920
2010-10-01,192565700
2010-10-04,197059940
2010-10-05,202178380
2010-10-06,204363080
2010-10-07,210792340
2010-10-08,210230560
2010-10-11,211416539
2010-10-12,211853480
2010-10-13,212228000
2010-10-14,211791060
2010-10-15,221466159
2010-10-18,223401180
2010-10-19,218844520
2010-10-20,221840680
2010-10-21,223213920
2010-10-22,222402460
2010-10-25,225024099
2010-10-26,227583320
2010-10-27,226147659
2010-10-28,227833000
2010-10-29,229393500
2010-11-01,227271219
2010-11-02,238569240
2010-11-03,242876219
2010-11-04,248556440
2010-11-05,246246900
2010-11-08,247183200
2010-11-09,243625260
2010-11-10,243375580
2010-11-11,243438000
2010-11-12,243125900
2010-11-15,251115659
2010-11-16,245248180
2010-11-17,247058360
2010-11-18,246434159
2010-11-19,257295240
2010-11-22,258606060
2010-11-23,258293960
2010-11-24,269279880
2010-11-26,273524440
2010-11-29,279641600
2010-11-30,279641600
2010-12-01,290377840
2010-12-02,295184180
2010-12-03,302300060
2010-12-06,306544620
2010-12-07,307356080
2010-12-08,301863120
2010-12-09,312849040
2010-12-10,311475800
2010-12-13,307106400
2010-12-14,297930660
2010-12-15,297805820
2010-12-16,298991800
2010-12-17,293748520
2010-12-20,300801980
2010-12-21,304547180
2010-12-22,301114080
2010-12-23,299553580
2010-12-27,304859280
2010-12-28,303673300
2010-12-29,300365040
2010-12-30,287506520
2010-12-31,283199540
2011-01-03,291438980
2011-01-04,291688660
2011-01-05,293061900
2011-01-06,292250440
2011-01-07,293061900
2011-01-10,293374000
2011-01-11,297868240
2011-01-12,303361200
2011-01-13,297493720
2011-01-14,298804540
2011-01-18,297805820
2011-01-19,289940900
2011-01-20,275584300
2011-01-21,282450500
2011-01-24,283511640
2011-01-25,286570220
2011-01-26,295246600
2011-01-27,295558700
2011-01-28,294872080
2011-01-31,301301340
2011-02-01,311288540
2011-02-02,332948280
2011-02-03,335320240
2011-02-04,336568640
2011-02-07,347679400
2011-02-08,352610580
2011-02-09,351923960
2011-02-10,353172360
2011-02-11,360038560
2011-02-14,358228380
2011-02-15,355044960
2011-02-16,361411800
2011-02-17,360912440
2011-02-18,357729020
2011-02-22,347242460
2011-02-23,342623380
2011-02-24,351674280
2011-02-25,362535360
2011-02-28,363783760
2011-03-01,349864100
2011-03-02,356605460
2011-03-03,367404120
2011-03-04,362036000
2011-03-07,352610580
2011-03-08,359726460
2011-03-09,360974860
2011-03-10,332324080
2011-03-11,337692200
2011-03-14,319278300
2011-03-15,315657940
2011-03-16,311725480
2011-03-17,324646420
2011-03-18,326456600
2011-03-21,344433560
2011-03-22,357541760
2011-03-23,364220700
2011-03-24,375269040
2011-03-25,372897080
2011-03-28,374520000
2011-03-29,374520000
2011-03-30,368153160
2011-03-31,367542960
2011-04-01,378022800
2011-04-04,380455620
2011-04-05,376525680
2011-04-06,358123580
2011-04-07,359745460
2011-04-08,350201320
2011-04-11,346146620
2011-04-12,334543940
2011-04-13,328118800
2011-04-14,347456600
2011-04-15,349390380
2011-04-18,336415340
2011-04-19,330925900
2011-04-20,336041060
2011-04-21,337538180
2011-04-25,328742600
2011-04-26,339721480
2011-04-27,338723400
2011-04-28,334668700
2011-04-29,329428780
2011-05-02,319572740
2011-05-03,329054500
2011-05-04,336602480
2011-05-05,348080400
2011-05-06,356813600
2011-05-09,371285760
2011-05-10,378521840
2011-05-11,362989220
2011-05-12,364735860
2011-05-13,357998820
2011-05-16,345460440
2011-05-17,343339520
2011-05-18,349203240
2011-05-19,349140860
2011-05-20,345647580
2011-05-23,338723400
2011-05-24,329428780
2011-05-25,332111120
2011-05-26,335791540
2011-05-27,338972920
2011-05-31,345335680
2011-06-01,338785780
2011-06-02,339659100
2011-06-03,356813600
2011-06-06,355628380
2011-06-07,357250260
2011-06-08,355378860
2011-06-09,355566000
2011-06-10,351947960
2011-06-13,354193640
2011-06-14,366108220
2011-06-15,354256020
2011-06-16,359620700
2011-06-17,356751220
2011-06-20,355378860
2011-06-21,364735860
2011-06-22,361242580
2011-06-23,359371180
2011-06-24,362178280
2011-06-27,368229140
2011-06-28,374217620
2011-06-29,379020880
2011-06-30,377493300
2011-07-01,397207530
2011-07-05,408588300
2011-07-06,413874450
2011-07-07,428800050
2011-07-08,438377309
2011-07-11,433091160
2011-07-12,437320079
2011-07-13,439683300
2011-07-14,433775250
2011-07-15,443165940
2011-07-18,448576470
2011-07-19,471089250
2011-07-20,470840489
2011-07-21,485206380
2011-07-22,486823320
2011-07-25,492109470
2011-07-26,493602030
2011-07-27,485392950
2011-07-28,490679100
2011-07-29,488564640
2011-08-01,493291079
2011-08-02,482718780
2011-08-03,491674140
2011-08-04,446710770
2011-08-05,419284980
2011-08-08,355104900
2011-08-09,392916420
2011-08-10,372642480
2011-08-11,390615390
2011-08-12,384645150
2011-08-15,399881700
2011-08-16,381908790
2011-08-17,375441030
2011-08-18,344594790
2011-08-19,340428060
2011-08-22,354172050
2011-08-23,375876360
2011-08-24,387630270
2011-08-25,370776780
2011-08-26,389247210
2011-08-29,404110620
2011-08-30,380975940
2011-08-31,381286890
2011-09-01,375130080
2011-09-02,361075140
2011-09-06,357219360
2011-09-07,364682160
2011-09-08,349818750
2011-09-09,339184260
2011-09-12,341298720
2011-09-13,353985480
2011-09-14,356908410
2011-09-15,354545190
2011-09-16,354918330
2011-09-19,355540230
2011-09-20,348077430
2011-09-21,342355950
2011-09-22,314930160
2011-09-23,328736340
2011-09-26,336012570
2011-09-27,353363580
2011-09-28,338127030
2011-09-29,345714210
2011-09-30,400434160
2011-10-03,386020920
2011-10-04,393339560
2011-10-05,407752800
2011-10-06,424331760
2011-10-07,413129760
2011-10-10,433144000
2011-10-11,425302600
2011-10-12,444570040
2011-10-13,448602760
2011-10-14,438147560
2011-10-17,419029480
2011-10-18,426572160
2011-10-19,410515960
2011-10-20,412308280
2011-10-21,423883680
2011-10-24,446138320
2011-10-25,426348120
2011-10-26,427244280
2011-10-27,476533080
2011-10-28,484225120
2011-10-31,466003200
2011-11-01,431277000
2011-11-02,444570040
2011-11-03,469438480
2011-11-04,469961240
2011-11-07,471828240
2011-11-08,487436360
2011-11-09,463613440
2011-11-10,483179600
2011-11-11,515964120
2011-11-14,519250040
2011-11-15,533588600
2011-11-16,514022440
2011-11-17,512678200
2011-11-18,536799839
2011-11-21,534932839
2011-11-22,541131280
2011-11-23,538218760
2011-11-25,522162560
2011-11-28,546806960
2011-11-29,553976240
2011-11-30,566746520
2011-12-01,551885200
2011-12-02,557187480
2011-12-05,553528160
2011-12-06,548151200
2011-12-07,561145520
2011-12-08,537023880
2011-12-09,576454920
2011-12-12,566447800
2011-12-13,550018200
2011-12-14,547703120
2011-12-15,550690320
2011-12-16,537696000
2011-12-19,548524600
2011-12-20,562639120
2011-12-21,565028880
2011-12-22,571302000
2011-12-23,572198160
2011-12-27,586163320
2011-12-28,568538840
2011-12-29,567866720
2011-12-30,567642680
2012-01-03,578770000
2012-01-04,579292760
2012-01-05,581533160
2012-01-06,575185360
2012-01-09,576977680
2012-01-10,618947840
2012-01-11,616035320
2012-01-12,612376000
2012-01-13,599531040
2012-01-17,588777120
2012-01-18,594303440
2012-01-19,594452800
2012-01-20,596693200
2012-01-23,596842560
2012-01-24,596693200
2012-01-25,596095760
2012-01-26,596245120
2012-01-27,597215960
2012-01-30,594826200
2012-01-31,592735160
2012-02-01,602742280
2012-02-02,614616400
2012-02-03,619097200
2012-02-06,612600040
2012-02-07,612151960
2012-02-08,617977000
2012-02-09,606849680
2012-02-10,602891640
2012-02-13,604459920
2012-02-14,601696760
2012-02-15,588702440
2012-02-16,594452800
2012-02-17,597066600
2012-02-21,593706000
2012-02-22,596319800
2012-02-23,601174000
2012-02-24,589972000
2012-02-27,609239440
2012-02-28,608044560
2012-02-29,594004720
2012-03-01,595647680
2012-03-02,568389480
2012-03-05,581085080
2012-03-06,556216640
2012-03-07,577052360
2012-03-08,585640560
2012-03-09,598858920
2012-03-12,603787800
2012-03-13,613794920
2012-03-14,607820520
2012-03-15,612600040
2012-03-16,604833320
2012-03-19,611330480
2012-03-20,592511120
2012-03-21,600053800
2012-03-22,593332600
2012-03-23,597440000
2012-03-26,607895200
2012-03-27,612077280
2012-03-28,619470600
2012-03-29,645683280
2012-03-30,640605040
2012-04-02,678563830
2012-04-03,650617030
2012-04-04,632917390
2012-04-05,630588490
2012-04-09,633771320
2012-04-10,605048220
2012-04-11,615838790
2012-04-12,642543510
2012-04-13,625697800
2012-04-16,632839760
2012-04-17,642388250
2012-04-18,654731420
2012-04-19,623291270
2012-04-20,619720290
2012-04-23,608075790
2012-04-24,620651850
2012-04-25,644406630
2012-04-26,659855000
2012-04-27,670412680
2012-04-30,655197200
2012-05-01,636721260
2012-05-02,632684500
2012-05-03,606290300
2012-05-04,584786790
2012-05-07,590997190
2012-05-08,606290300
2012-05-09,598139150
2012-05-10,604427180
2012-05-11,608696830
2012-05-14,601089090
2012-05-15,598372040
2012-05-16,594801060
2012-05-17,586882800
2012-05-18,583078930
2012-05-21,594801060
2012-05-22,572598880
2012-05-23,559013630
2012-05-24,561497790
2012-05-25,555597910
2012-05-29,555287390
2012-05-30,546282310
2012-05-31,550241440
2012-06-01,540925840
2012-06-04,538752200
2012-06-05,541546880
2012-06-06,567630560
2012-06-07,562041200
2012-06-08,567630560
2012-06-11,553346640
2012-06-12,554821610
2012-06-13,538053530
2012-06-14,546204680
2012-06-15,555365020
2012-06-18,543410000
2012-06-19,569027900
2012-06-20,578576390
2012-06-21,551017740
2012-06-22,569416050
2012-06-25,575471190
2012-06-26,595266840
2012-06-27,601244350
2012-06-28,601321980
