,RJF
2000-12-08,1527138900
2000-12-11,1585390590
2000-12-12,1478333430
2000-12-13,1454717880
2000-12-14,1379148120
2000-12-15,1396466189
2000-12-18,1478333430
2000-12-19,1478333430
2000-12-20,1393317450
2000-12-21,1481482170
2000-12-22,1544456970
2000-12-26,1557051930
2000-12-27,1738104479
2000-12-28,1769591880
2000-12-29,1665762393
2001-01-02,1696400811
2001-01-03,1806054096
2001-01-04,1917319928
2001-01-05,1804441547
2001-01-08,1809279192
2001-01-09,1797991354
2001-01-10,1844755255
2001-01-11,1833467417
2001-01-12,1851205448
2001-01-16,1809279192
2001-01-17,1844755255
2001-01-18,1878618769
2001-01-19,1854430545
2001-01-22,1833467417
2001-01-23,1827017223
2001-01-24,1907644638
2001-01-25,1864105834
2001-01-26,1851205448
2001-01-29,1899581897
2001-01-30,1875393672
2001-01-31,1838305062
2001-02-01,1910869735
2001-02-02,1889906607
2001-02-05,1873781124
2001-02-06,1847980351
2001-02-07,1825404675
2001-02-08,1768965485
2001-02-09,1765740388
2001-02-12,1833467417
2001-02-13,1849592900
2001-02-14,1831854868
2001-02-15,1828629772
2001-02-16,1791541161
2001-02-20,1757677647
2001-02-21,1707688649
2001-02-22,1667374942
2001-02-23,1623836138
2001-02-26,1641574169
2001-02-27,1639961621
2001-02-28,1581909882
2001-03-01,1575459689
2001-03-02,1601260461
2001-03-05,1560946754
2001-03-06,1601260461
2001-03-07,1612548300
2001-03-08,1554496561
2001-03-09,1536758529
2001-03-12,1440005631
2001-03-13,1465806404
2001-03-14,1419042504
2001-03-15,1440005631
2001-03-16,1414204859
2001-03-19,1464193856
2001-03-20,1412592310
2001-03-21,1356153120
2001-03-22,1330352347
2001-03-23,1409367214
2001-03-26,1440005631
2001-03-27,1451293470
2001-03-28,1390016634
2001-03-29,1352928023
2001-03-30,1335825540
2001-04-02,1337446687
2001-04-03,1298539147
2001-04-04,1240177837
2001-04-05,1413640620
2001-04-06,1350415867
2001-04-09,1402292587
2001-04-10,1462275045
2001-04-11,1496319142
2001-04-12,1517394060
2001-04-16,1480107667
2001-04-17,1528742092
2001-04-18,1588724550
2001-04-19,1598451435
2001-04-20,1554680452
2001-04-23,1535226682
2001-04-24,1507667175
2001-04-25,1480107667
2001-04-26,1506046027
2001-04-27,1536847830
2001-04-30,1457411602
2001-05-01,1431473242
2001-05-02,1472001930
2001-05-03,1462275045
2001-05-04,1530363240
2001-05-07,1520636355
2001-05-08,1486592257
2001-05-09,1504424880
2001-05-10,1510909470
2001-05-11,1457411602
2001-05-14,1450927012
2001-05-15,1488213405
2001-05-16,1515772912
2001-05-17,1530363240
2001-05-18,1494697995
2001-05-21,1501182585
2001-05-22,1549817010
2001-05-23,1510909470
2001-05-24,1514151765
2001-05-25,1489834552
2001-05-29,1446063570
2001-05-30,1442821275
2001-05-31,1397429144
2001-06-01,1397429144
2001-06-04,1433094390
2001-06-05,1452548160
2001-06-06,1428230947
2001-06-07,1441200127
2001-06-08,1434715537
2001-06-11,1420125210
2001-06-12,1402292587
2001-06-13,1392565702
2001-06-14,1342310130
2001-06-15,1369869637
2001-06-18,1345552425
2001-06-19,1381217670
2001-06-20,1403913735
2001-06-21,1497940290
2001-06-22,1447684717
2001-06-25,1412019472
2001-06-26,1381217670
2001-06-27,1392565702
2001-06-28,1442821275
2001-06-29,1459024008
2001-07-02,1417199726
2001-07-03,1394678958
2001-07-05,1396287585
2001-07-06,1360897807
2001-07-09,1346420171
2001-07-10,1331942535
2001-07-11,1299770010
2001-07-12,1386635827
2001-07-13,1399504837
2001-07-16,1370549565
2001-07-17,1396287585
2001-07-18,1381809948
2001-07-19,1375375443
2001-07-20,1385027201
2001-07-23,1362506433
2001-07-24,1362506433
2001-07-25,1380201322
2001-07-26,1409156595
2001-07-27,1436503241
2001-07-30,1404330716
2001-07-31,1425242857
2001-08-01,1431677362
2001-08-02,1459024008
2001-08-03,1468675766
2001-08-06,1434894615
2001-08-07,1481544776
2001-08-08,1454198129
2001-08-09,1362506433
2001-08-10,1376984070
2001-08-13,1386635827
2001-08-14,1383418575
2001-08-15,1372158191
2001-08-16,1359289181
2001-08-17,1336768413
2001-08-20,1357680555
2001-08-21,1349637423
2001-08-22,1373766817
2001-08-23,1335159787
2001-08-24,1364115060
2001-08-27,1401113463
2001-08-28,1397896211
2001-08-29,1399504837
2001-08-30,1375375443
2001-08-31,1349637423
2001-09-04,1372158191
2001-09-05,1399504837
2001-09-06,1348028797
2001-09-07,1288509626
2001-09-10,1293335504
2001-09-17,1227381828
2001-09-18,1191992051
2001-09-19,1203252435
2001-09-20,1163036778
2001-09-21,1243468091
2001-09-24,1311030393
2001-09-25,1312639020
2001-09-26,1256337101
2001-09-27,1238642212
2001-09-28,1311398160
2001-10-01,1259203209
2001-10-02,1344020005
2001-10-03,1394583865
2001-10-04,1376641850
2001-10-05,1376641850
2001-10-08,1348913282
2001-10-09,1366855297
2001-10-10,1415788064
2001-10-11,1446778816
2001-10-12,1433730078
2001-10-15,1428836802
2001-10-16,1481031753
2001-10-17,1425574617
2001-10-18,1433730078
2001-10-19,1409263695
2001-10-22,1476138477
2001-10-23,1456565370
2001-10-24,1441885540
2001-10-25,1454934278
2001-10-26,1481031753
2001-10-29,1451672093
2001-10-30,1430467894
2001-10-31,1412525879
2001-11-01,1414156972
2001-11-02,1432098986
2001-11-05,1454934278
2001-11-06,1485925030
2001-11-07,1502235953
2001-11-08,1489187215
2001-11-09,1487556122
2001-11-12,1484293938
2001-11-13,1516915783
2001-11-14,1560955273
2001-11-15,1554430904
2001-11-16,1559324181
2001-11-19,1591946026
2001-11-20,1598470395
2001-11-21,1593577118
2001-11-23,1606625856
2001-11-26,1616412409
2001-11-27,1606625856
2001-11-28,1546275443
2001-11-29,1587052749
2001-11-30,1560955273
2001-12-03,1526702336
2001-12-04,1557693089
2001-12-05,1645772070
2001-12-06,1678393914
2001-12-07,1671869546
2001-12-10,1637616608
2001-12-11,1642509885
2001-12-12,1640878793
2001-12-13,1600101487
2001-12-14,1601732579
2001-12-17,1606625856
2001-12-18,1650665346
2001-12-19,1676762822
2001-12-20,1652296439
2001-12-21,1665345177
2001-12-24,1671869546
2001-12-26,1693073745
2001-12-27,1696335929
2001-12-28,1698341970
2001-12-31,1711356085
2002-01-02,1677194034
2002-01-03,1717863143
2002-01-04,1795947831
2002-01-07,1776426659
2002-01-08,1748771665
2002-01-09,1753651958
2002-01-10,1755278722
2002-01-11,1724370200
2002-01-14,1690208149
2002-01-15,1716236378
2002-01-16,1680447563
2002-01-17,1693461677
2002-01-18,1667433448
2002-01-22,1634898161
2002-01-23,1620257282
2002-01-24,1613750225
2002-01-25,1647912276
2002-01-28,1633271397
2002-01-29,1564947295
2002-01-30,1594229053
2002-01-31,1615376989
2002-02-01,1607243167
2002-02-04,1573081116
2002-02-05,1543799358
2002-02-06,1522651422
2002-02-07,1542172594
2002-02-08,1597482581
2002-02-11,1610496696
2002-02-12,1610496696
2002-02-13,1641405219
2002-02-14,1654419333
2002-02-15,1594229053
2002-02-19,1519397893
2002-02-20,1542172594
2002-02-21,1508010543
2002-02-22,1491742899
2002-02-25,1524278186
2002-02-26,1527531715
2002-02-27,1525904950
2002-02-28,1532412008
2002-03-01,1534038772
2002-03-04,1644658747
2002-03-05,1649539040
2002-03-06,1690208149
2002-03-07,1691834913
2002-03-08,1717863143
2002-03-11,1721116671
2002-03-12,1698341970
2002-03-13,1690208149
2002-03-14,1696715206
2002-03-15,1717863143
2002-03-18,1708102557
2002-03-19,1756905487
2002-03-20,1739011079
2002-03-21,1739011079
2002-03-22,1698341970
2002-03-25,1644658747
2002-03-26,1660926391
2002-03-27,1680447563
2002-03-28,1672248240
2002-04-01,1655756639
2002-04-02,1649160000
2002-04-03,1639265040
2002-04-04,1627720919
2002-04-05,1635966720
2002-04-08,1609580160
2002-04-09,1599685200
2002-04-10,1627720919
2002-04-11,1579895280
2002-04-12,1659054960
2002-04-15,1624422600
2002-04-16,1687090680
2002-04-17,1690389000
2002-04-18,1687090680
2002-04-19,1700283960
2002-04-22,1660704120
2002-04-23,1649160000
2002-04-24,1612878480
2002-04-25,1614527639
2002-04-26,1602983520
2002-04-29,1609580160
2002-04-30,1634317560
2002-05-01,1662353280
2002-05-02,1688739840
2002-05-03,1675546560
2002-05-06,1621124280
2002-05-07,1616176800
2002-05-08,1693687320
2002-05-09,1665651600
2002-05-10,1626071760
2002-05-13,1650809160
2002-05-14,1708529760
2002-05-15,1725021360
2002-05-16,1729968840
2002-05-17,1781092800
2002-05-20,1736565480
2002-05-21,1725021360
2002-05-22,1706880600
2002-05-23,1733267160
2002-05-24,1708529760
2002-05-28,1683792360
2002-05-29,1665651600
2002-05-30,1637615880
2002-05-31,1637615880
2002-06-03,1612878480
2002-06-04,1607931000
2002-06-05,1612878480
2002-06-06,1574947800
2002-06-07,1570000320
2002-06-10,1571649480
2002-06-11,1515578040
2002-06-12,1515578040
2002-06-13,1480945680
2002-06-14,1492489800
2002-06-17,1537017120
2002-06-18,1533718800
2002-06-19,1485893160
2002-06-20,1457857440
2002-06-21,1441365840
2002-06-24,1438067520
2002-06-25,1426523400
2002-06-26,1408382639
2002-06-27,1424874240
2002-06-28,1386478890
2002-07-01,1386478890
2002-07-02,1330625475
2002-07-03,1314198000
2002-07-05,1365123172
2002-07-08,1350338445
2002-07-09,1278057555
2002-07-10,1236988867
2002-07-11,1266558322
2002-07-12,1264915575
2002-07-15,1255059090
2002-07-16,1269843817
2002-07-17,1281343050
2002-07-18,1269843817
2002-07-19,1233703372
2002-07-22,1200848422
2002-07-23,1149923250
2002-07-24,1220561392
2002-07-25,1207419412
2002-07-26,1233703372
2002-07-29,1314198000
2002-07-30,1314198000
2002-07-31,1324054485
2002-08-01,1315840747
2002-08-02,1243559857
2002-08-05,1202491170
2002-08-06,1243559857
2002-08-07,1253416342
2002-08-08,1363480425
2002-08-09,1348695697
2002-08-12,1325697232
2002-08-13,1296127777
2002-08-14,1358552182
2002-08-15,1379907900
2002-08-16,1383193395
2002-08-19,1411120102
2002-08-20,1396335375
2002-08-21,1394692627
2002-08-22,1386478890
2002-08-23,1358552182
2002-08-26,1381550647
2002-08-27,1355266687
2002-08-28,1343767455
2002-08-29,1373336910
2002-08-30,1373336910
2002-09-03,1324054485
2002-09-04,1370051415
2002-09-05,1307627010
2002-09-06,1342124707
2002-09-09,1401263617
2002-09-10,1407834607
2002-09-11,1404549112
2002-09-12,1370051415
2002-09-13,1384836142
2002-09-16,1373336910
2002-09-17,1368408667
2002-09-18,1358552182
2002-09-19,1286271292
2002-09-20,1282985797
2002-09-23,1245202605
2002-09-24,1246845352
2002-09-25,1284628545
2002-09-26,1347052950
2002-09-27,1290242520
2002-09-30,1319865435
2002-10-01,1319865435
2002-10-02,1265556757
2002-10-03,1221122385
2002-10-04,1173396577
2002-10-07,1140482227
2002-10-08,1178333730
2002-10-09,1135545075
2002-10-10,1198082340
2002-10-11,1235933842
2002-10-14,1262265322
2002-10-15,1341259762
2002-10-16,1323156869
2002-10-17,1382402700
2002-10-18,1382402700
2002-10-21,1403797027
2002-10-22,1380756982
2002-10-23,1420254202
2002-10-24,1420254202
2002-10-25,1481145750
2002-10-28,1533808710
2002-10-29,1548620167
2002-10-30,1560140190
2002-10-31,1525580122
2002-11-01,1586471670
2002-11-04,1560140190
2002-11-05,1492665772
2002-11-06,1525580122
2002-11-07,1472917162
2002-11-08,1463042857
2002-11-11,1441648530
2002-11-12,1443294247
2002-11-13,1428482790
2002-11-14,1499248642
2002-11-15,1504185795
2002-11-18,1484437185
2002-11-19,1467980010
2002-11-20,1530517275
2002-11-21,1586471670
2002-11-22,1586471670
2002-11-25,1584825952
2002-11-26,1523934405
2002-11-27,1579888800
2002-11-29,1560140190
2002-12-02,1573305930
2002-12-03,1574951647
2002-12-04,1563431625
2002-12-05,1512414382
2002-12-06,1548620167
2002-12-09,1492665772
2002-12-10,1538745862
2002-12-11,1535454427
2002-12-12,1518997252
2002-12-13,1507477230
2002-12-16,1550265885
2002-12-17,1538745862
2002-12-18,1518997252
2002-12-19,1497602925
2002-12-20,1542037297
2002-12-23,1545328732
2002-12-24,1525580122
2002-12-26,1520642970
2002-12-27,1485622339
2002-12-30,1434393982
2002-12-31,1447614203
2003-01-02,1475707173
2003-01-03,1482317284
2003-01-06,1546765861
2003-01-07,1518672891
2003-01-08,1507105198
2003-01-09,1566596193
2003-01-10,1551723444
2003-01-13,1566596193
2003-01-14,1566596193
2003-01-15,1485622339
2003-01-16,1303844300
2003-01-17,1297234189
2003-01-21,1254268471
2003-01-22,1231133084
2003-01-23,1254268471
2003-01-24,1211302752
2003-01-27,1207997697
2003-01-28,1254268471
2003-01-29,1236090667
2003-01-30,1219565390
2003-01-31,1249310888
2003-02-03,1279056385
2003-02-04,1246005833
2003-02-05,1260878581
2003-02-06,1234438139
2003-02-07,1222870446
2003-02-10,1232785611
2003-02-11,1221217918
2003-02-12,1198082531
2003-02-13,1203040114
2003-02-14,1214607808
2003-02-18,1241048250
2003-02-19,1270793747
2003-02-20,1250963415
2003-02-21,1270793747
2003-02-24,1214607808
2003-02-25,1239395722
2003-02-26,1204692642
2003-02-27,1260878581
2003-02-28,1247658360
2003-03-03,1224522973
2003-03-04,1198082531
2003-03-05,1191472421
2003-03-06,1178252200
2003-03-07,1189819893
2003-03-10,1146854175
2003-03-11,1138591537
2003-03-12,1135286481
2003-03-13,1204692642
2003-03-14,1217912863
2003-03-17,1267488692
2003-03-18,1315411993
2003-03-19,1312106938
2003-03-20,1322022104
2003-03-21,1368292877
2003-03-24,1317064521
2003-03-25,1312106938
2003-03-26,1322022104
2003-03-27,1317064521
2003-03-28,1283997960
2003-03-31,1256156167
2003-04-01,1283997960
2003-04-02,1351145812
2003-04-03,1329855029
2003-04-04,1329855029
2003-04-07,1336406040
2003-04-08,1323304020
2003-04-09,1303650990
2003-04-10,1305288742
2003-04-11,1318390762
2003-04-14,1357696822
2003-04-15,1380625357
2003-04-16,1346232555
2003-04-17,1364247832
2003-04-21,1349508060
2003-04-22,1410104902
2003-04-23,1441222200
2003-04-24,1388814120
2003-04-25,1378987605
2003-04-28,1390451872
2003-04-29,1387176367
2003-04-30,1392089625
2003-05-01,1398640634
2003-05-02,1429757932
2003-05-05,1429757932
2003-05-06,1444497705
2003-05-07,1439584447
2003-05-08,1398640634
2003-05-09,1418293665
2003-05-12,1431395685
2003-05-13,1424844675
2003-05-14,1405191645
2003-05-15,1426482427
2003-05-16,1406829397
2003-05-19,1385538615
2003-05-20,1377349852
2003-05-21,1380625357
2003-05-22,1380625357
2003-05-23,1372436595
2003-05-27,1421569170
2003-05-28,1447773210
2003-05-29,1457599725
2003-05-30,1480528259
2003-06-02,1511645557
2003-06-03,1534574092
2003-06-04,1559140380
2003-06-05,1591895430
2003-06-06,1626288232
2003-06-09,1582068915
2003-06-10,1582068915
2003-06-11,1601721945
2003-06-12,1623012727
2003-06-13,1608272955
2003-06-16,1642665757
2003-06-17,1677058560
2003-06-18,1670507550
2003-06-19,1621374975
2003-06-20,1598446440
2003-06-23,1573880152
2003-06-24,1606635202
2003-06-25,1593533182
2003-06-26,1608272955
2003-06-27,1589372887
2003-06-30,1604119646
2003-07-01,1587734358
2003-07-02,1600842588
2003-07-03,1628697577
2003-07-07,1651636980
2003-07-08,1720455187
2003-07-09,1704069900
2003-07-10,1656552566
2003-07-11,1697515785
2003-07-14,1746671647
2003-07-15,1794188981
2003-07-16,1782719280
2003-07-17,1717178130
2003-07-18,1713901072
2003-07-21,1699154313
2003-07-22,1707346957
2003-07-23,1692600198
2003-07-24,1695877256
2003-07-25,1702431371
2003-07-28,1692600198
2003-07-29,1687684612
2003-07-30,1692600198
2003-07-31,1687684612
2003-08-01,1649998451
2003-08-04,1640167278
2003-08-05,1609035232
2003-08-06,1651636980
2003-08-07,1699154313
2003-08-08,1728647831
2003-08-11,1718816658
2003-08-12,1767972521
2003-08-13,1763056935
2003-08-14,1772888107
2003-08-15,1774526636
2003-08-18,1771249578
2003-08-19,1771249578
2003-08-20,1792550452
2003-08-21,1794188981
2003-08-22,1766333992
2003-08-25,1727009302
2003-08-26,1704069900
2003-08-27,1705708428
2003-08-28,1748310176
2003-08-29,1736840475
2003-09-02,1785996337
2003-09-03,1800743096
2003-09-04,1825321027
2003-09-05,1795827510
2003-09-08,1800743096
2003-09-09,1810574268
2003-09-10,1764695463
2003-09-11,1772888107
2003-09-12,1794188981
2003-09-15,1805658682
2003-09-16,1815489855
2003-09-17,1805658682
2003-09-18,1863007188
2003-09-19,1840067786
2003-09-22,1823682498
2003-09-23,1805658682
2003-09-24,1774526636
2003-09-25,1772888107
2003-09-26,1746398981
2003-09-29,1772635961
2003-09-30,1766076716
2003-10-01,1813631242
2003-10-02,1856266335
2003-10-03,1859545957
2003-10-06,1882503315
2003-10-07,1889062560
2003-10-08,1880863503
2003-10-09,1869384825
2003-10-10,1857906146
2003-10-13,1893981993
2003-10-14,1879223692
2003-10-15,1867745013
2003-10-16,1844787656
2003-10-17,1838228411
2003-10-20,1825109921
2003-10-21,1841508033
2003-10-22,1871024636
2003-10-23,1928418030
2003-10-24,1930057841
2003-10-27,1936617086
2003-10-28,1959574443
2003-10-29,1997290102
2003-10-30,1994010480
2003-10-31,1982531801
2003-11-03,2002209536
2003-11-04,1943176331
2003-11-05,1939896708
2003-11-06,1934977275
2003-11-07,1975972556
2003-11-10,1954655010
2003-11-11,1943176331
2003-11-12,1956294821
2003-11-13,1977612367
2003-11-14,1910380106
2003-11-17,1851346901
2003-11-18,1825109921
2003-11-19,1790673885
2003-11-20,1780835017
2003-11-21,1770996150
2003-11-24,1782474828
2003-11-25,1787394262
2003-11-26,1787394262
2003-11-28,1795593318
2003-12-01,1830029355
2003-12-02,1823470109
2003-12-03,1836588600
2003-12-04,1836588600
2003-12-05,1815271053
2003-12-08,1848067278
2003-12-09,1790673885
2003-12-10,1795593318
2003-12-11,1818550676
2003-12-12,1815271053
2003-12-15,1785754451
2003-12-16,1785754451
2003-12-17,1780835017
2003-12-18,1789034073
2003-12-19,1777555395
2003-12-22,1789034073
2003-12-23,1790673885
2003-12-24,1780835017
2003-12-26,1781139179
2003-12-29,1840236884
2003-12-30,1843520090
2003-12-31,1833670472
2004-01-02,1805763223
2004-01-05,1812329634
2004-01-06,1800838414
2004-01-07,1790988796
2004-01-08,1799196811
2004-01-09,1777855973
2004-01-12,1799196811
2004-01-13,1768006355
2004-01-14,1818896046
2004-01-15,1790988796
2004-01-16,1868144134
2004-01-20,1889484972
2004-01-21,1950224280
2004-01-22,1869785737
2004-01-23,1900976192
2004-01-26,1915750619
2004-01-27,1886201766
2004-01-28,1832028869
2004-01-29,1828745664
2004-01-30,1850086502
2004-02-02,1863219325
2004-02-03,1848444899
2004-02-04,1805763223
2004-02-05,1799196811
2004-02-06,1815612840
2004-02-09,1848444899
2004-02-10,1848444899
2004-02-11,1889484972
2004-02-12,1868144134
2004-02-13,1861577722
2004-02-17,1920675428
2004-02-18,1902617795
2004-02-19,1881276957
2004-02-20,1889484972
2004-02-23,1841878487
2004-02-24,1828745664
2004-02-25,1855011310
2004-02-26,1855011310
2004-02-27,1858294516
2004-03-01,1858294516
2004-03-02,1858294516
2004-03-03,1864860928
2004-03-04,1866502531
2004-03-05,1884560163
2004-03-08,1840236884
2004-03-09,1836953678
2004-03-10,1810688031
2004-03-11,1766364752
2004-03-12,1810688031
2004-03-15,1763081546
2004-03-16,1769647958
2004-03-17,1774572767
2004-03-18,1766364752
2004-03-19,1745023914
2004-03-22,1695775826
2004-03-23,1715475061
2004-03-24,1710550253
2004-03-25,1740099105
2004-03-26,1821402000
2004-03-29,1861141680
2004-03-30,1842927660
2004-03-31,1828025279
2004-04-01,1861141680
2004-04-02,1861141680
2004-04-05,1834648560
2004-04-06,1808155440
2004-04-07,1821402000
2004-04-08,1803187980
2004-04-12,1829681100
2004-04-13,1832992740
2004-04-14,1789941420
2004-04-15,1824713640
2004-04-16,1871076600
2004-04-19,1861141680
2004-04-20,1842927660
2004-04-21,1866109140
2004-04-22,1912472100
2004-04-23,1899225540
2004-04-26,1909160460
2004-04-27,1924062839
2004-04-28,1884323160
2004-04-29,1856174220
2004-04-30,1847895120
2004-05-03,1874388240
2004-05-04,1892602260
2004-05-05,1887634800
2004-05-06,1856174220
2004-05-07,1813122900
2004-05-10,1793253060
2004-05-11,1832992740
2004-05-12,1839616020
2004-05-13,1832992740
2004-05-14,1831336920
2004-05-17,1778350680
2004-05-18,1834648560
2004-05-19,1849550940
2004-05-20,1881011520
2004-05-21,1861141680
2004-05-24,1867764960
2004-05-25,1927374480
2004-05-26,1919095380
2004-05-27,1947244320
2004-05-28,1899225540
2004-06-01,1887634800
2004-06-02,1890946440
2004-06-03,1885978980
2004-06-04,1912472100
2004-06-07,1952211779
2004-06-08,1925718660
2004-06-09,1904193000
2004-06-10,1899225540
2004-06-14,1894258080
2004-06-15,1894258080
2004-06-16,1922407020
2004-06-17,1884323160
2004-06-18,1912472100
2004-06-21,1914127920
2004-06-22,1927374480
2004-06-23,1940621040
2004-06-24,1922407020
2004-06-25,1942031700
2004-06-28,1933774762
2004-06-29,1946985862
2004-06-30,1942031700
2004-07-01,1927169212
2004-07-02,1946985862
2004-07-06,1913958112
2004-07-07,1864416487
2004-07-08,1847902612
2004-07-09,1823131799
2004-07-12,1819829025
2004-07-13,1806617925
2004-07-14,1781847112
2004-07-15,1758727687
2004-07-16,1762030462
2004-07-19,1750470750
2004-07-20,1776892950
2004-07-21,1747167975
2004-07-22,1724048550
2004-07-23,1732305487
2004-07-26,1714140225
2004-07-27,1727351325
2004-07-28,1704231900
2004-07-29,1712488837
2004-07-30,1715791612
2004-08-02,1738911037
2004-08-03,1710837450
2004-08-04,1725699937
2004-08-05,1697626350
2004-08-06,1692672187
2004-08-09,1681112475
2004-08-10,1714140225
2004-08-11,1682763862
2004-08-12,1657993049
2004-08-13,1611754200
2004-08-16,1649736112
2004-08-17,1684415250
2004-08-18,1702580512
2004-08-19,1687718025
2004-08-20,1702580512
2004-08-23,1684415250
2004-08-24,1710837450
2004-08-25,1742213812
2004-08-26,1757076300
2004-08-27,1762030462
2004-08-30,1748819362
2004-08-31,1776892950
2004-09-01,1786801275
2004-09-02,1800012375
2004-09-03,1785149887
2004-09-07,1823131799
