,LEG
2000-06-12,3842689999
2000-06-13,3806870000
2000-06-14,3856620000
2000-06-15,3892439999
2000-06-16,3818810000
2000-06-19,3792939999
2000-06-20,3781000000
2000-06-21,3046690000
2000-06-22,3221810000
2000-06-23,3172060000
2000-06-26,3172060000
2000-06-27,3209870000
2000-06-28,3195939999
2000-06-29,3383000000
2000-06-30,3288450000
2000-07-03,3400057999
2000-07-05,3376142000
2000-07-06,3414009000
2000-07-07,3400057999
2000-07-10,3563484000
2000-07-11,3675092000
2000-07-12,3613309000
2000-07-13,3587400000
2000-07-14,3625267000
2000-07-17,3587400000
2000-07-18,3587400000
2000-07-19,3549532999
2000-07-20,3487750000
2000-07-21,3537575000
2000-07-24,3563484000
2000-07-25,3487750000
2000-07-26,3463834000
2000-07-27,3400057999
2000-07-28,3364184000
2000-07-31,3487750000
2000-08-01,3563484000
2000-08-02,3587400000
2000-08-03,3563484000
2000-08-04,3613309000
2000-08-07,3675092000
2000-08-08,3798657999
2000-08-09,3836525000
2000-08-10,3774742000
2000-08-11,3874392000
2000-08-14,3898307999
2000-08-15,3898307999
2000-08-16,3898307999
2000-08-17,3848482999
2000-08-18,3812609000
2000-08-21,3774742000
2000-08-22,3824567000
2000-08-23,3748832999
2000-08-24,3712959000
2000-08-25,3724917000
2000-08-28,3587400000
2000-08-29,3537575000
2000-08-30,3487750000
2000-08-31,3525617000
2000-09-01,3487750000
2000-09-05,3537575000
2000-09-06,3649182999
2000-09-07,3762784000
2000-09-08,3724917000
2000-09-11,3699007999
2000-09-12,3115059000
2000-09-13,3127017000
2000-09-14,3101108000
2000-09-15,3039325000
2000-09-18,2939675000
2000-09-19,2965584000
2000-09-20,2951633000
2000-09-21,2877892000
2000-09-22,2939675000
2000-09-25,2889850000
2000-09-26,2877892000
2000-09-27,2965584000
2000-09-28,3065234000
2000-09-29,3150933000
2000-10-02,3144734281
2000-10-03,3119087138
2000-10-04,3083575709
2000-10-05,3046091424
2000-10-06,3020444281
2000-10-09,3034254281
2000-10-10,3020444281
2000-10-11,3020444281
2000-10-12,2921801424
2000-10-13,2921801424
2000-10-16,2971122852
2000-10-17,2935611424
2000-10-18,2921801424
2000-10-19,2996769995
2000-10-20,2996769995
2000-10-23,3020444281
2000-10-24,3057928567
2000-10-25,3046091424
2000-10-26,3069765709
2000-10-27,3057928567
2000-10-30,3168408566
2000-10-31,3231539995
2000-11-01,3205892852
2000-11-02,3217729995
2000-11-03,3217729995
2000-11-06,3231539995
2000-11-07,3255214281
2000-11-08,3231539995
2000-11-09,3205892852
2000-11-10,3182218566
2000-11-13,3182218566
2000-11-14,3194055709
2000-11-15,3156571424
2000-11-16,3156571424
2000-11-17,3156571424
2000-11-20,3156571424
2000-11-21,3156571424
2000-11-22,3168408566
2000-11-24,3168408566
2000-11-27,3267051423
2000-11-28,3243377138
2000-11-29,3243377138
2000-11-30,3217729995
2000-12-01,3243377138
2000-12-04,3255214281
2000-12-05,3391341423
2000-12-06,3353857138
2000-12-07,3280861423
2000-12-08,3243377138
2000-12-11,3316372852
2000-12-12,3231539995
2000-12-13,3267051423
2000-12-14,3069765709
2000-12-15,3046091424
2000-12-18,3132897138
2000-12-19,3119087138
2000-12-20,3132897138
2000-12-21,3182218566
2000-12-22,3342019995
2000-12-26,3353857138
2000-12-27,3478147137
2000-12-28,3687269994
2000-12-29,3736591423
2001-01-02,3523848000
2001-01-03,3735000000
2001-01-04,3772848000
2001-01-05,3723048000
2001-01-08,3711096000
2001-01-09,3673248000
2001-01-10,3723048000
2001-01-11,3711096000
2001-01-12,3934200000
2001-01-16,4045751999
2001-01-17,4071648000
2001-01-18,4009896000
2001-01-19,3910296000
2001-01-22,3922248000
2001-01-23,3946151999
2001-01-24,3960096000
2001-01-25,3960096000
2001-01-26,3972048000
2001-01-29,4057704000
2001-01-30,4119456000
2001-01-31,4183200000
2001-02-01,4133400000
2001-02-02,4147344000
2001-02-05,4159296000
2001-02-06,4161288000
2001-02-07,4159296000
2001-02-08,4127424000
2001-02-09,4069656000
2001-02-12,4119456000
2001-02-13,4163279999
2001-02-14,4149335999
2001-02-15,4155312000
2001-02-16,4125432000
2001-02-20,4059696000
2001-02-21,3974040000
2001-02-22,3880416000
2001-02-23,3788784000
2001-02-26,3952128000
2001-02-27,3900335999
2001-02-28,3852528000
2001-03-01,3792768000
2001-03-02,3876432000
2001-03-05,3918264000
2001-03-06,3930216000
2001-03-07,3950135999
2001-03-08,4125432000
2001-03-09,4123440000
2001-03-12,4103520000
2001-03-13,3964079999
2001-03-14,3808704000
2001-03-15,3904320000
2001-03-16,3872448000
2001-03-19,4003920000
2001-03-20,3982007999
2001-03-21,3848544000
2001-03-22,3790776000
2001-03-23,3844560000
2001-03-26,3882407999
2001-03-27,3840576000
2001-03-28,3784800000
2001-03-29,3814679999
2001-03-30,3830616000
2001-04-02,3876336000
2001-04-03,3750713999
2001-04-04,3786605999
2001-04-05,3806546000
2001-04-06,3684912000
2001-04-09,3714822000
2001-04-10,3738750000
2001-04-11,3603158000
2001-04-12,3613128000
2001-04-16,3627086000
2001-04-17,3585212000
2001-04-18,3846426000
2001-04-19,3844432000
2001-04-20,3776636000
2001-04-23,3712828000
2001-04-24,3728780000
2001-04-25,3852408000
2001-04-26,3892288000
2001-04-27,3974042000
2001-04-30,3870354000
2001-05-01,3924192000
2001-05-02,3968059999
2001-05-03,3978030000
2001-05-04,4047820000
2001-05-07,3999963999
2001-05-08,3986005999
2001-05-09,3968059999
2001-05-10,4071748000
2001-05-11,4061778000
2001-05-14,4097670000
2001-05-15,4101658000
2001-05-16,4237250000
2001-05-17,4291088000
2001-05-18,4426680000
2001-05-21,4428674000
2001-05-22,4464566000
2001-05-23,4436650000
2001-05-24,4408734000
2001-05-25,4420698000
2001-05-29,4400758000
2001-05-30,4257190000
2001-05-31,4370848000
2001-06-01,4297070000
2001-06-04,4301058000
2001-06-05,4386800000
2001-06-06,4398764000
2001-06-07,4344926000
2001-06-08,4297070000
2001-06-11,4185405999
2001-06-12,4211328000
2001-06-13,4239244000
2001-06-14,4197370000
2001-06-15,4191388000
2001-06-18,4171448000
2001-06-19,4191388000
2001-06-20,4195376000
2001-06-21,4219304000
2001-06-22,4197370000
2001-06-25,4225286000
2001-06-26,4251208000
2001-06-27,4334956000
2001-06-28,4392782000
2001-06-29,4392782000
2001-07-02,4371433000
2001-07-03,4319511000
2001-07-05,4311523000
2001-07-06,4195697000
2001-07-09,4211673000
2001-07-10,4215667000
2001-07-11,4207679000
2001-07-12,4403385000
2001-07-13,4455307000
2001-07-16,4447319000
2001-07-17,4465292000
2001-07-18,4463295000
2001-07-19,4555157000
2001-07-20,4583115000
2001-07-23,4597094000
2001-07-24,4623055000
2001-07-25,4722905000
2001-07-26,4732890000
2001-07-27,4662995000
2001-07-30,4730893000
2001-07-31,4786809000
2001-08-01,4772830000
2001-08-02,4730893000
2001-08-03,4766839000
2001-08-06,4732890000
2001-08-07,4766839000
2001-08-08,4720908000
2001-08-09,4680968000
2001-08-10,4752860000
2001-08-13,4712920000
2001-08-14,4752860000
2001-08-15,4728896000
2001-08-16,4756854000
2001-08-17,4692950000
2001-08-20,4780818000
2001-08-21,4804782000
2001-08-22,4812770000
2001-08-23,4824752000
2001-08-24,4838731000
2001-08-27,4816764000
2001-08-28,4790803000
2001-08-29,4774827000
2001-08-30,4611073000
2001-08-31,4696944000
2001-09-04,4784812000
2001-09-05,4836734000
2001-09-06,4776824000
2001-09-07,4525202000
2001-09-10,4391403000
2001-09-17,3936087000
2001-09-18,3948069000
2001-09-19,3574629999
2001-09-20,3488759000
2001-09-21,3394900000
2001-09-24,3494750000
2001-09-25,3722408000
2001-09-26,3680471000
2001-09-27,3674479999
2001-09-28,3894150000
2001-10-01,3866310000
2001-10-02,3874290000
2001-10-03,4091745000
2001-10-04,4173540000
2001-10-05,4187504999
2001-10-08,4109700000
2001-10-09,4145610000
2001-10-10,4385010000
2001-10-11,4486755000
2001-10-12,4428900000
2001-10-15,4396980000
2001-10-16,4526655000
2001-10-17,4369050000
2001-10-18,4205459999
2001-10-19,4257330000
2001-10-22,4317180000
2001-10-23,4297230000
2001-10-24,4337130000
2001-10-25,4287254999
2001-10-26,4446855000
2001-10-29,4398975000
2001-10-30,4289250000
2001-10-31,4323165000
2001-11-01,4434885000
2001-11-02,4351095000
2001-11-05,4446855000
2001-11-06,4528650000
2001-11-07,4562565000
2001-11-08,4464810000
2001-11-09,4436880000
2001-11-12,4474785000
2001-11-13,4548600000
2001-11-14,4638375000
2001-11-15,4652340000
2001-11-16,4570545000
2001-11-19,4588500000
2001-11-20,4548600000
2001-11-21,4482765000
2001-11-23,4492740000
2001-11-26,4484760000
2001-11-27,4347105000
2001-11-28,4315185000
2001-11-29,4319175000
2001-11-30,4317180000
2001-12-03,4311195000
2001-12-04,4339125000
2001-12-05,4518675000
2001-12-06,4588500000
2001-12-07,4592490000
2001-12-10,4564560000
2001-12-11,4596480000
2001-12-12,4592490000
2001-12-13,4572540000
2001-12-14,4576530000
2001-12-17,4582515000
2001-12-18,4622415000
2001-12-19,4610445000
2001-12-20,4568550000
2001-12-21,4538625000
2001-12-24,4588500000
2001-12-26,4634385000
2001-12-27,4618425000
2001-12-28,4552590000
2001-12-31,4588500000
2002-01-02,4454835000
2002-01-03,4536630000
2002-01-04,4618425000
2002-01-07,4636380000
2002-01-08,4588500000
2002-01-09,4640370000
2002-01-10,4640370000
2002-01-11,4548600000
2002-01-14,4520670000
2002-01-15,4550595000
2002-01-16,4486755000
2002-01-17,4524660000
2002-01-18,4548600000
2002-01-22,4588500000
2002-01-23,4618425000
2002-01-24,4682265000
2002-01-25,4791990000
2002-01-28,4863810000
2002-01-29,4748100000
2002-01-30,4760070000
2002-01-31,4833885000
2002-02-01,4793985000
2002-02-04,4786005000
2002-02-05,4803960000
2002-02-06,4756080000
2002-02-07,4688250000
2002-02-08,4698225000
2002-02-11,4811940000
2002-02-12,4835880000
2002-02-13,4857825000
2002-02-14,4867800000
2002-02-15,4895730000
2002-02-19,4889745000
2002-02-20,4969545000
2002-02-21,5053335000
2002-02-22,4917675000
2002-02-25,5067300000
2002-02-26,5147100000
2002-02-27,5161065000
2002-02-28,5117175000
2002-03-01,5045355000
2002-03-04,5185005000
2002-03-05,5095230000
2002-03-06,5145105000
2002-03-07,5077275000
2002-03-08,5051340000
2002-03-11,5115180000
2002-03-12,5179020000
2002-03-13,5121165000
2002-03-14,5151090000
2002-03-15,5165055000
2002-03-18,5147100000
2002-03-19,5232885000
2002-03-20,5181015000
2002-03-21,5029395000
2002-03-22,5029395000
2002-03-25,4919670000
2002-03-26,4987500000
2002-03-27,4985505000
2002-03-28,4947600000
2002-04-01,4918724000
2002-04-02,4854948000
2002-04-03,4817081000
2002-04-04,4803130000
2002-04-05,4888829000
2002-04-08,5012395000
2002-04-09,5104073000
2002-04-10,5141940000
2002-04-11,5102080000
2002-04-12,5211695000
2002-04-15,5137954000
2002-04-16,5213688000
2002-04-17,5092115000
2002-04-18,5147919000
2002-04-19,5229632000
2002-04-22,5177814000
2002-04-23,5269492000
2002-04-24,5283443000
2002-04-25,5309352000
2002-04-26,5307359000
2002-04-29,5229632000
2002-04-30,5241590000
2002-05-01,5315331000
2002-05-02,5385086000
2002-05-03,5412988000
2002-05-06,5329282000
2002-05-07,5363163000
2002-05-08,5410995000
2002-05-09,5331275000
2002-05-10,5275471000
2002-05-13,5289422000
2002-05-14,5337254000
2002-05-15,5337254000
2002-05-16,5355191000
2002-05-17,5341240000
2002-05-20,5291415000
2002-05-21,5243583000
2002-05-22,5181800000
2002-05-23,5279457000
2002-05-24,5265506000
2002-05-28,5217674000
2002-05-29,5203723000
2002-05-30,5195751000
2002-05-31,5245576000
2002-06-03,5155891000
2002-06-04,5050262000
2002-06-05,5070192000
2002-06-06,4986486000
2002-06-07,5034318000
2002-06-10,5070192000
2002-06-11,5072185000
2002-06-12,5062220000
2002-06-13,4920717000
2002-06-14,4839004000
2002-06-17,4946626000
2002-06-18,4930682000
2002-06-19,4964563000
2002-06-20,4956591000
2002-06-21,4932675000
2002-06-24,4902780000
2002-06-25,4823060000
2002-06-26,4801137000
2002-06-27,4727396000
2002-06-28,4663620000
2002-07-01,4614810000
2002-07-02,4654610000
2002-07-03,4519290000
2002-07-05,4644660000
2002-07-08,4748140000
2002-07-09,4569040000
2002-07-10,4465560000
2002-07-11,4415810000
2002-07-12,4336210000
2002-07-15,4320290000
2002-07-16,3985970000
2002-07-17,3930250000
2002-07-18,4226759999
2002-07-19,4091439999
2002-07-22,3958110000
2002-07-23,3995919999
2002-07-24,4135220000
2002-07-25,4302380000
2002-07-26,4268550000
2002-07-29,4563070000
2002-07-30,4521280000
2002-07-31,4475510000
2002-08-01,4425760000
2002-08-02,4266560000
2002-08-05,4212830000
2002-08-06,4322280000
2002-08-07,4376010000
2002-08-08,4463570000
2002-08-09,4449640000
2002-08-12,4425760000
2002-08-13,4362080000
2002-08-14,4533220000
2002-08-15,4724260000
2002-08-16,4722270000
2002-08-19,4789930000
2002-08-20,4762070000
2002-08-21,4774010000
2002-08-22,4825750000
2002-08-23,4781970000
2002-08-26,4795900000
2002-08-27,4797890000
2002-08-28,4726250000
2002-08-29,4622770000
2002-08-30,4606850000
2002-09-03,4455610000
2002-09-04,4594910000
2002-09-05,4557100000
2002-09-06,4573020000
2002-09-09,4642670000
2002-09-10,4634710000
2002-09-11,4644660000
2002-09-12,4260590000
2002-09-13,4206860000
2002-09-16,4258599999
2002-09-17,4210840000
2002-09-18,4173030000
2002-09-19,4119300000
2002-09-20,4179000000
2002-09-23,4143180000
2002-09-24,4009849999
2002-09-25,4067560000
2002-09-26,4139200000
2002-09-27,4041689999
2002-09-30,3910504000
2002-10-01,4001400000
2002-10-02,3869007999
2002-10-03,3904576000
2002-10-04,3965832000
2002-10-07,3843320000
2002-10-08,3876912000
2002-10-09,3734639999
2002-10-10,3863080000
2002-10-11,4007328000
2002-10-14,3985592000
2002-10-15,4252352000
2002-10-16,4112055999
2002-10-17,4388696000
2002-10-18,4366960000
2002-10-21,4418336000
2002-10-22,4307680000
2002-10-23,4321512000
2002-10-24,4289896000
2002-10-25,4351152000
2002-10-28,4266184000
2002-10-29,4228639999
2002-10-30,4149600000
2002-10-31,4119960000
2002-11-01,4110080000
2002-11-04,4123912000
2002-11-05,4159480000
2002-11-06,4163432000
2002-11-07,4090320000
2002-11-08,4110080000
2002-11-11,4013255999
2002-11-12,4123912000
2002-11-13,4161455999
2002-11-14,4299776000
2002-11-15,4394624000
2002-11-18,4317560000
2002-11-19,4289896000
2002-11-20,4408456000
2002-11-21,4532944000
2002-11-22,4501328000
2002-11-25,4572464000
2002-11-26,4546776000
2002-11-27,4691024000
2002-11-29,4716712000
2002-12-02,4665336000
2002-12-03,4564560000
2002-12-04,4558632000
2002-12-05,4536896000
2002-12-06,4568512000
2002-12-09,4475640000
2002-12-10,4485520000
2002-12-11,4432168000
2002-12-12,4434144000
2002-12-13,4495400000
2002-12-16,4613960000
2002-12-17,4556656000
2002-12-18,4532944000
2002-12-19,4475640000
2002-12-20,4473664000
2002-12-23,4483544000
2002-12-24,4442048000
2002-12-26,4471688000
2002-12-27,4402528000
2002-12-30,4406480000
2002-12-31,4434144000
2003-01-02,4560608000
2003-01-03,4477616000
2003-01-06,4495400000
2003-01-07,4449952000
2003-01-08,4406480000
2003-01-09,4485520000
2003-01-10,4446000000
2003-01-13,4386720000
2003-01-14,4412408000
2003-01-15,4335344000
2003-01-16,4359056000
2003-01-17,4262232000
2003-01-21,4165407999
2003-01-22,4151576000
2003-01-23,4230616000
2003-01-24,4165407999
2003-01-27,4094272000
2003-01-28,4094272000
2003-01-29,4112055999
2003-01-30,4001400000
2003-01-31,3991520000
2003-02-03,3991520000
2003-02-04,3952000000
2003-02-05,3936192000
2003-02-06,3942120000
2003-02-07,3867032000
2003-02-10,3863080000
2003-02-11,3869007999
2003-02-12,3780088000
2003-02-13,3784039999
2003-02-14,3870984000
2003-02-18,3965832000
2003-02-19,3922360000
2003-02-20,3861104000
2003-02-21,3845296000
2003-02-24,3744520000
2003-02-25,3754400000
2003-02-26,3685239999
2003-02-27,3754400000
2003-02-28,3766255999
2003-03-03,3766255999
2003-03-04,3625960000
2003-03-05,3691168000
2003-03-06,3653623999
2003-03-07,3631888000
2003-03-10,3529136000
2003-03-11,3479736000
2003-03-12,3438239999
2003-03-13,3582488000
2003-03-14,3546920000
2003-03-17,3635839999
2003-03-18,3710928000
2003-03-19,3774160000
2003-03-20,3756376000
2003-03-21,3908528000
2003-03-24,3776136000
2003-03-25,3827512000
2003-03-26,3762304000
2003-03-27,3764280000
2003-03-28,3708952000
2003-03-31,3593848000
2003-04-01,3625304000
2003-04-02,3772754000
2003-04-03,3760958000
2003-04-04,3774720000
2003-04-07,3804210000
2003-04-08,3772754000
2003-04-09,3694114000
2003-04-10,3703944000
2003-04-11,3715739999
2003-04-14,3819938000
2003-04-15,3878918000
2003-04-16,3843530000
2003-04-17,3902510000
2003-04-21,3874986000
2003-04-22,3996877999
2003-04-23,3994912000
2003-04-24,3994912000
2003-04-25,3975252000
2003-04-28,4046027999
2003-04-29,4065688000
2003-04-30,4059789999
2003-05-01,3992945999
2003-05-02,4057824000
2003-05-05,3989014000
2003-05-06,4053892000
2003-05-07,4105008000
2003-05-08,4112872000
2003-05-09,4128600000
2003-05-12,4203308000
2003-05-13,4191512000
2003-05-14,4150226000
2003-05-15,4217070000
2003-05-16,4179716000
2003-05-19,4089280000
2003-05-20,4108939999
2003-05-21,4110906000
2003-05-22,4136464000
2003-05-23,4126633999
2003-05-27,4252458000
2003-05-28,4254424000
2003-05-29,4163988000
2003-05-30,4338962000
2003-06-02,4354690000
2003-06-03,4346826000
2003-06-04,4423500000
2003-06-05,4413670000
2003-06-06,4429398000
2003-06-09,4342894000
2003-06-10,4423500000
2003-06-11,4462820000
2003-06-12,4415636000
2003-06-13,4356656000
2003-06-16,4429398000
2003-06-17,4384180000
2003-06-18,4049960000
2003-06-19,4083382000
2003-06-20,4044062000
2003-06-23,3963456000
2003-06-24,3985082000
2003-06-25,4000810000
2003-06-26,4065688000
2003-06-27,4055858000
2003-06-30,4018000000
2003-07-01,4055240000
2003-07-02,4165000000
2003-07-03,4104240000
2003-07-07,4200280000
2003-07-08,4149320000
2003-07-09,4127759999
2003-07-10,4080720000
2003-07-11,4086600000
2003-07-14,4055240000
2003-07-15,4039560000
2003-07-16,4057200000
2003-07-17,4068960000
2003-07-18,4139520000
2003-07-21,4129720000
2003-07-22,4133640000
2003-07-23,4194399999
2003-07-24,4141480000
2003-07-25,4174800000
2003-07-28,4202240000
2003-07-29,4243399999
2003-07-30,4206160000
2003-07-31,4339440000
2003-08-01,4312000000
2003-08-04,4274759999
2003-08-05,4255160000
2003-08-06,4243399999
2003-08-07,4239480000
2003-08-08,4239480000
2003-08-11,4251240000
2003-08-12,4333560000
2003-08-13,4288480000
2003-08-14,4357080000
2003-08-15,4323760000
2003-08-18,4376680000
2003-08-19,4437440000
2003-08-20,4421760000
2003-08-21,4506040000
2003-08-22,4462920000
2003-08-25,4472720000
2003-08-26,4451160000
2003-08-27,4484480000
2003-08-28,4504080000
2003-08-29,4539360000
2003-09-02,4619720000
2003-09-03,4606000000
2003-09-04,4551120000
2003-09-05,4494280000
2003-09-08,4523680000
2003-09-09,4460960000
2003-09-10,4355120000
2003-09-11,4370800000
2003-09-12,4351200000
2003-09-15,4378640000
2003-09-16,4468800000
2003-09-17,4468800000
2003-09-18,4468800000
2003-09-19,4449200000
2003-09-22,4398240000
2003-09-23,4398240000
2003-09-24,4364920000
2003-09-25,4315920000
2003-09-26,4310040000
2003-09-29,4302200000
2003-09-30,4202296991
2003-10-01,4235324753
2003-10-02,4270295324
2003-10-03,4348007705
2003-10-06,4326636801
2003-10-07,4342179277
2003-10-08,4311094324
2003-10-09,4349950515
2003-10-10,4243095991
2003-10-13,4268352515
2003-10-14,4250867229
2003-10-15,4225610706
2003-10-16,4177040468
2003-10-17,4114870563
2003-10-20,4046872230
2003-10-21,4002187611
2003-10-22,3945846135
2003-10-23,3943903325
2003-10-24,3963331420
2003-10-27,4025501325
2003-10-28,4056586277
2003-10-29,4031329754
2003-10-30,4076014372
2003-10-31,4058529087
2003-11-03,4079899992
2003-11-04,4029386944
2003-11-05,3996359182
2003-11-06,3992473563
2003-11-07,3978873896
2003-11-10,3879790611
2003-11-11,3928360849
2003-11-12,3992473563
2003-11-13,3992473563
2003-11-14,3973045468
2003-11-17,3910875563
2003-11-18,3860362516
2003-11-19,3868133754
2003-11-20,3848705659
2003-11-21,3866190944
2003-11-24,3905047135
2003-11-25,3924475230
2003-11-26,3947788944
2003-11-28,3951674563
2003-12-01,3973045468
2003-12-02,3949731754
2003-12-03,3982759516
2003-12-04,3994416373
2003-12-05,3973045468
2003-12-08,3955560182
2003-12-09,4081842801
2003-12-10,4089614039
2003-12-11,4109042134
2003-12-12,4085728420
2003-12-15,4101270896
2003-12-16,4060471896
2003-12-17,4039100992
2003-12-18,4066300325
2003-12-19,4079899992
2003-12-22,4124584610
2003-12-23,4159555182
2003-12-24,4149841134
2003-12-26,4151783944
2003-12-29,4167326420
2003-12-30,4180926087
2003-12-31,4241643000
2004-01-02,4216150000
2004-01-05,4322044000
2004-01-06,4280862999
2004-01-07,4204384000
2004-01-08,4206345000
2004-01-09,4227915999
2004-01-12,4243604000
2004-01-13,4186735000
2004-01-14,4292629000
2004-01-15,4278902000
2004-01-16,4308317000
2004-01-20,4310278000
2004-01-21,4392640000
2004-01-22,4422055000
2004-01-23,4441665000
2004-01-26,4408328000
2004-01-27,4351459000
2004-01-28,4255370000
2004-01-29,4990745000
2004-01-30,4831904000
2004-02-02,4849553000
2004-02-03,4841709000
2004-02-04,4800528000
2004-02-05,4782879000
2004-02-06,4871124000
2004-02-09,4826021000
2004-02-10,4763269000
2004-02-11,4826021000
2004-02-12,4798567000
2004-02-13,4761308000
2004-02-17,4771113000
2004-02-18,4753464000
2004-02-19,4826021000
2004-02-20,4826021000
2004-02-23,4800528000
2004-02-24,4790723000
2004-02-25,4757386000
2004-02-26,4757386000
2004-02-27,4798567000
2004-03-01,4888773000
2004-03-02,4882890000
2004-03-03,4847592000
2004-03-04,4869163000
2004-03-05,4861319000
2004-03-08,4820138000
2004-03-09,4798567000
2004-03-10,4667180000
2004-03-11,4620116000
2004-03-12,4657375000
2004-03-15,4557364000
2004-03-16,4527949000
2004-03-17,4557364000
2004-03-18,4543637000
2004-03-19,4488729000
2004-03-22,4435782000
2004-03-23,4441665000
2004-03-24,4435782000
2004-03-25,4504417000
2004-03-26,4520105000
2004-03-29,4557364000
2004-03-30,4620116000
2004-03-31,4647160000
2004-04-01,4704000000
2004-04-02,4715760000
2004-04-05,4766720000
2004-04-06,4723600000
2004-04-07,4688320000
2004-04-08,4635400000
2004-04-12,4653040000
2004-04-13,4564840000
2004-04-14,4558960000
2004-04-15,4553080000
2004-04-16,4600120000
2004-04-19,4586400000
2004-04-20,4488400000
2004-04-21,4390400000
2004-04-22,4656960000
2004-04-23,4698120000
2004-04-26,4653040000
2004-04-27,4649120000
2004-04-28,4557000000
2004-04-29,4460960000
2004-04-30,4429600000
2004-05-03,4515840000
2004-05-04,4504080000
2004-05-05,4486440000
2004-05-06,4431560000
2004-05-07,4339440000
2004-05-10,4315920000
2004-05-11,4376680000
2004-05-12,4402160000
2004-05-13,4400200000
2004-05-14,4376680000
2004-05-17,4384520000
2004-05-18,4445280000
2004-05-19,4506040000
2004-05-20,4537400000
2004-05-21,4615800000
2004-05-24,4688320000
2004-05-25,4741240000
2004-05-26,4729480000
2004-05-27,4809840000
2004-05-28,4954880000
2004-06-01,4972520000
2004-06-02,4927440000
2004-06-03,4849040000
2004-06-04,4813760000
2004-06-07,4823560000
2004-06-08,4735360000
2004-06-09,4713800000
2004-06-10,4727520000
2004-06-14,4617760000
2004-06-15,4672640000
2004-06-16,4647160000
2004-06-17,5225360000
2004-06-18,5260640000
2004-06-21,5217520000
2004-06-22,5225360000
2004-06-23,5244960000
2004-06-24,5229280000
2004-06-25,5237120000
2004-06-28,5203800000
2004-06-29,5180280000
2004-06-30,5219134000
2004-07-01,5144882000
2004-07-02,5131204000
2004-07-06,5068676000
2004-07-07,5064768000
2004-07-08,5019826000
2004-07-09,5041320000
2004-07-12,5107756000
2004-07-13,5137066000
2004-07-14,5146836000
2004-07-15,5189824000
2004-07-16,5187870000
2004-07-19,5144882000
2004-07-20,5180054000
2004-07-21,5062814000
2004-07-22,5203502000
2004-07-23,5182008000
2004-07-26,5078446000
2004-07-27,5133158000
2004-07-28,5133158000
2004-07-29,5234766000
2004-07-30,5285570000
2004-08-02,5262122000
2004-08-03,5285570000
2004-08-04,5197640000
2004-08-05,5197640000
2004-08-06,5152698000
2004-08-09,5137066000
2004-08-10,5187870000
2004-08-11,5144882000
2004-08-12,5053044000
2004-08-13,5076492000
2004-08-16,5144882000
2004-08-17,5228904000
2004-08-18,5355914000
2004-08-19,5336374000
2004-08-20,5352006000
2004-08-23,5353960000
