,MEDI
2024-05-23,13892167
2024-05-24,13879922
2024-05-28,13890155
2024-05-29,13756355
2024-05-30,13867026
2024-05-31,13811267
2024-06-03,14161288
2024-06-04,14217462
2024-06-05,14436538
2024-06-06,14537299
2024-06-07,14430407
2024-06-10,14438578
2024-06-11,14359369
2024-06-12,14455551
2024-06-13,14535503
2024-06-14,14522628
2024-06-17,14519880
2024-06-18,14461824
2024-06-20,14258160
2024-06-21,14435600
2024-06-24,14410817
2024-06-25,14524288
2024-06-26,14439184
2024-06-27,14454439
2024-06-28,14523125
2024-07-01,14863503
2024-07-02,14723115
2024-07-03,14693868
2024-07-05,14692468
2024-07-08,14175394
2024-07-09,14164245
2024-07-10,14442959
2024-07-11,14440607
2024-07-12,14749779
2024-07-15,14383499
2024-07-16,14903233
2024-07-17,14881397
2024-07-18,14712119
2024-07-19,14684895
2024-07-22,14658388
2024-07-23,14626734
2024-07-24,14786799
2024-07-25,14846379
2024-07-26,14716385
2024-07-29,14780030
2024-07-30,14829169
2024-07-31,14703591
2024-08-01,14828765
2024-08-02,14713515
2024-08-05,15035425
2024-08-06,15232954
2024-08-07,15145809
2024-08-08,15488860
2024-08-09,15477215
