,AIV
2000-12-19,674554210
2000-12-20,671979622
2000-12-21,670263127
2000-12-22,651382506
2000-12-26,658248177
2000-12-27,676270602
2000-12-28,684852768
2000-12-29,685710964
2001-01-02,681883164
2001-01-03,685322716
2001-01-04,684462854
2001-01-05,658666466
2001-01-08,655226913
2001-01-09,656946741
2001-01-10,651787464
2001-01-11,648347911
2001-01-12,648347911
2001-01-16,643188633
2001-01-17,638029356
2001-01-18,638029356
2001-01-19,639749184
2001-01-22,646628186
2001-01-23,655226913
2001-01-24,659526328
2001-01-25,660386191
2001-01-26,650927601
2001-01-29,639749184
2001-01-30,644289261
2001-01-31,634245940
2001-02-01,635621700
2001-02-02,636309631
2001-02-05,633558009
2001-02-06,619937570
2001-02-07,608380821
2001-02-08,603703075
2001-02-09,592971823
2001-02-12,586643083
2001-02-13,586780648
2001-02-14,590632898
2001-02-15,588156511
2001-02-16,599162894
2001-02-20,599850825
2001-02-21,594347582
2001-02-22,581002274
2001-02-23,591595960
2001-02-26,594897948
2001-02-27,597787135
2001-02-28,605354068
2001-03-01,613608830
2001-03-02,623101888
2001-03-05,614984692
2001-03-06,614296761
2001-03-07,605354068
2001-03-08,596136141
2001-03-09,592421457
2001-03-12,592559023
2001-03-13,592146326
2001-03-14,589807401
2001-03-15,588156511
2001-03-16,586918214
2001-03-19,564079951
2001-03-20,568207332
2001-03-21,567519400
2001-03-22,564079951
2001-03-23,570958953
2001-03-26,584304261
2001-03-27,584579392
2001-03-28,586780648
2001-03-29,588982008
2001-03-30,611545140
2001-04-02,611111222
2001-04-03,603880833
2001-04-04,598596995
2001-04-05,606244584
2001-04-06,605410288
2001-04-09,602351274
2001-04-10,606939848
2001-04-11,597901731
2001-04-12,602073210
2001-04-16,601377946
2001-04-17,603463633
2001-04-18,608330271
2001-04-19,608052207
2001-04-20,607774143
2001-04-23,608330271
2001-04-24,604297929
2001-04-25,608330271
2001-04-26,608886503
2001-04-27,620566434
2001-04-30,619871170
2001-05-01,619036875
2001-05-02,607217912
2001-05-03,608469303
2001-05-04,611806486
2001-05-07,608052207
2001-05-08,604993193
2001-05-09,613335941
2001-05-10,610694126
2001-05-11,612918845
2001-05-14,618063547
2001-05-15,621261698
2001-05-16,624181681
2001-05-17,629187351
2001-05-18,633358725
2001-05-21,633497757
2001-05-22,637530099
2001-05-23,642118673
2001-05-24,638920627
2001-05-25,639337722
2001-05-29,635444412
2001-05-30,629604446
2001-05-31,637808267
2001-06-01,637530099
2001-06-04,640867282
2001-06-05,640311050
2001-06-06,640450082
2001-06-07,643787265
2001-06-08,642535873
2001-06-11,650739590
2001-06-12,653520541
2001-06-13,656996755
2001-06-14,661863393
2001-06-15,659777602
2001-06-18,656996755
2001-06-19,654493868
2001-06-20,663253817
2001-06-21,661307161
2001-06-22,662141457
2001-06-25,664922408
2001-06-26,670901406
2001-06-27,663949080
2001-06-28,667703359
2001-06-29,670206142
2001-07-02,693451515
2001-07-03,695585195
2001-07-05,691317836
2001-07-06,692029098
2001-07-09,683778734
2001-07-10,681360592
2001-07-11,674248290
2001-07-12,676381970
2001-07-13,677093232
2001-07-16,678657881
2001-07-17,684205534
2001-07-18,684205534
2001-07-19,687619400
2001-07-20,689184156
2001-07-23,689041925
2001-07-24,686623676
2001-07-25,682071854
2001-07-26,688046200
2001-07-27,660734841
2001-07-30,656894175
2001-07-31,657463206
2001-08-01,647505962
2001-08-02,647221393
2001-08-03,647932655
2001-08-06,648501686
2001-08-07,649355073
2001-08-08,661161535
2001-08-09,661161535
2001-08-10,668558405
2001-08-13,666140157
2001-08-14,668273943
2001-08-15,668558405
2001-08-16,672825765
2001-08-17,678231187
2001-08-20,682071854
2001-08-21,695442964
2001-08-22,694162778
2001-08-23,699852662
2001-08-24,691317836
2001-08-27,695300733
2001-08-28,691886867
2001-08-29,689610849
2001-08-30,687477169
2001-08-31,682783009
2001-09-04,680507098
2001-09-05,679226912
2001-09-06,673394796
2001-09-07,669411899
2001-09-10,670692085
2001-09-17,650066335
2001-09-18,662868521
2001-09-19,658601161
2001-09-20,650635366
2001-09-21,630863109
2001-09-24,620621296
2001-09-25,631574265
2001-09-26,632996789
2001-09-27,635841731
2001-09-28,643807527
2001-10-01,646341600
2001-10-02,635736402
2001-10-03,613379520
2001-10-04,618395470
2001-10-05,616962387
2001-10-08,614812710
2001-10-09,619112065
2001-10-10,614812710
2001-10-11,617392280
2001-10-12,619112065
2001-10-15,625561205
2001-10-16,616245792
2001-10-17,614956007
2001-10-18,612806330
2001-10-19,611229842
2001-10-22,599621562
2001-10-23,604064215
2001-10-24,598331670
2001-10-25,599048265
2001-10-26,600194752
2001-10-29,600911347
2001-10-30,594462207
2001-10-31,601484537
2001-11-01,607647082
2001-11-02,602344430
2001-11-05,599764860
2001-11-06,601914537
2001-11-07,613379520
2001-11-08,622551635
2001-11-09,618395470
2001-11-12,625991097
2001-11-13,630577155
2001-11-14,636739592
2001-11-15,644765112
2001-11-16,639749162
2001-11-19,638315972
2001-11-20,637456187
2001-11-21,637742782
2001-11-23,641325650
2001-11-26,642758732
2001-11-27,638029377
2001-11-28,634876510
2001-11-29,637599485
2001-11-30,637742782
2001-12-03,632726832
2001-12-04,648347980
2001-12-05,649207765
2001-12-06,656373500
2001-12-07,655370310
2001-12-10,654940310
2001-12-11,648921170
2001-12-12,644621815
2001-12-13,643761922
2001-12-14,644908410
2001-12-17,648777872
2001-12-18,652074037
2001-12-19,645911600
2001-12-20,644335220
2001-12-21,650927550
2001-12-24,651500847
2001-12-26,651930740
2001-12-27,653650525
2001-12-28,655943500
2001-12-31,665124658
2002-01-02,659743083
2002-01-03,668760743
2002-01-04,668760743
2002-01-07,669924295
2002-01-08,670506125
2002-01-09,668324452
2002-01-10,661197604
2002-01-11,654797907
2002-01-14,658143240
2002-01-15,653634355
2002-01-16,651743543
2002-01-17,646362077
2002-01-18,638217107
2002-01-22,639380659
2002-01-23,637053556
2002-01-24,636762695
2002-01-25,634144622
2002-01-28,634726453
2002-01-29,637780816
2002-01-30,641126040
2002-01-31,634144622
2002-02-01,636035434
2002-02-04,636326295
2002-02-05,632544671
2002-02-06,630508428
2002-02-07,627308635
2002-02-08,625417822
2002-02-11,626726913
2002-02-12,625563253
2002-02-13,632690210
2002-02-14,635017313
2002-02-15,637926247
2002-02-19,638653398
2002-02-20,645053095
2002-02-21,639235228
2002-02-22,647816489
2002-02-25,647234768
2002-02-26,652325374
2002-02-27,657270549
2002-02-28,657125119
2002-03-01,662070295
2002-03-04,674142319
2002-03-05,688977737
2002-03-06,680832767
2002-03-07,684323531
2002-03-08,682869010
2002-03-11,677051143
2002-03-12,680978198
2002-03-13,683887131
2002-03-14,690868549
2002-03-15,689414137
2002-03-18,699304379
2002-03-19,701631591
2002-03-20,701486161
2002-03-21,703958694
2002-03-22,698431797
2002-03-25,698577228
2002-03-26,699595349
2002-03-27,701049761
2002-03-28,703522403
2002-04-01,783901497
2002-04-02,783248738
2002-04-03,780964264
2002-04-04,788470444
2002-04-05,800382290
2002-04-08,808378070
2002-04-09,824042944
2002-04-10,836281231
2002-04-11,829917410
2002-04-12,838728864
2002-04-15,828122414
2002-04-16,811804780
2002-04-17,801198208
2002-04-18,799240053
2002-04-19,797934657
2002-04-22,793039392
2002-04-23,776721758
2002-04-24,780311628
2002-04-25,784880575
2002-04-26,787817685
2002-04-29,787817685
2002-04-30,801198208
2002-05-01,807562152
2002-05-02,809520307
2002-05-03,806583074
2002-05-06,792876232
2002-05-07,786838608
2002-05-08,784064656
2002-05-09,772968607
2002-05-10,762688476
2002-05-13,767583864
2002-05-14,772805448
2002-05-15,778842950
2002-05-16,778353472
2002-05-17,781127424
2002-05-20,773621366
2002-05-21,765299268
2002-05-22,769868337
2002-05-23,784554134
2002-05-24,784880575
2002-05-28,786512289
2002-05-29,795650184
2002-05-30,787817685
2002-05-31,760077684
2002-06-03,760404002
2002-06-04,761709398
2002-06-05,761546239
2002-06-06,761219920
2002-06-07,760404002
2002-06-10,764483472
2002-06-11,765788868
2002-06-12,770031496
2002-06-13,773947684
2002-06-14,771826370
2002-06-17,776721758
2002-06-18,769705056
2002-06-19,779169391
2002-06-20,783248738
2002-06-21,794181628
2002-06-24,789939000
2002-06-25,792223473
2002-06-26,787817685
2002-06-27,791570836
2002-06-28,802830045
2002-07-01,865081119
2002-07-02,860481605
2002-07-03,846151995
2002-07-05,850574621
2002-07-08,838544968
2002-07-09,829699451
2002-07-10,814662285
2002-07-11,805109212
2002-07-12,796086939
2002-07-15,797856096
2002-07-16,800332808
2002-07-17,795910050
2002-07-18,773973413
2002-07-19,760705271
2002-07-22,739476323
2002-07-23,727269648
2002-07-24,723554579
2002-07-25,750798420
2002-07-26,764243451
2002-07-29,787064666
2002-07-30,791664314
2002-07-31,795379383
2002-08-01,777865371
2002-08-02,769196877
2002-08-05,744783527
2002-08-06,721431644
2002-08-07,725323735
2002-08-08,733284541
2002-08-09,734169119
2002-08-12,749206285
2002-08-13,746552683
2002-08-14,726208181
2002-08-15,729569472
2002-08-16,735761254
2002-08-19,730630939
2002-08-20,732399963
2002-08-21,736822721
2002-08-22,743899081
2002-08-23,750090863
2002-08-26,760882160
2002-08-27,760705271
2002-08-28,769727677
2002-08-29,763358873
2002-08-30,772204389
2002-09-03,760705271
2002-09-04,764243451
2002-09-05,760705271
2002-09-06,763005095
2002-09-09,761943627
2002-09-10,757344113
2002-09-11,759466914
2002-09-12,746906461
2002-09-13,739299434
2002-09-16,729215694
2002-09-17,722670001
2002-09-18,723200801
2002-09-19,720016399
2002-09-20,721608533
2002-09-23,721785555
2002-09-24,707632835
2002-09-25,699672029
2002-09-26,701794831
2002-09-27,689942067
2002-09-30,685216759
2002-10-01,681689244
2002-10-02,681512888
2002-10-03,679043641
2002-10-04,668461096
2002-10-07,651529078
2002-10-08,642004801
2002-10-09,617312329
2002-10-10,633362436
2002-10-11,652587345
2002-10-14,644121336
2002-10-15,651529078
2002-10-16,642886713
2002-10-17,643063068
2002-10-18,643592268
2002-10-21,640241109
2002-10-22,629658565
2002-10-23,622603535
2002-10-24,621192555
2002-10-25,624191003
2002-10-28,626483894
2002-10-29,615901349
2002-10-30,610962855
2002-10-31,619781576
2002-11-01,625954694
2002-11-04,645355960
2002-11-05,654527393
2002-11-06,655056593
2002-11-07,658231396
2002-11-08,645708672
2002-11-11,637242662
2002-11-12,652587345
2002-11-13,646766939
2002-11-14,661406067
2002-11-15,666344561
2002-11-18,661406067
2002-11-19,661406067
2002-11-20,663169890
2002-11-21,668990164
2002-11-22,664933581
2002-11-25,658231396
2002-11-26,654351037
2002-11-27,654351037
2002-11-29,659113175
2002-12-02,656996772
2002-12-03,657702196
2002-12-04,654527393
2002-12-05,657878552
2002-12-06,657349484
2002-12-09,661406067
2002-12-10,656996772
2002-12-11,657878552
2002-12-12,655232949
2002-12-13,649941742
2002-12-16,657702196
2002-12-17,649941742
2002-12-18,650823522
2002-12-19,641299377
2002-12-20,642181157
2002-12-23,648177919
2002-12-24,645355960
2002-12-26,645708672
2002-12-27,644650404
2002-12-30,655938504
2002-12-31,663551667
2003-01-02,665322024
2003-01-03,680724699
2003-01-06,690639016
2003-01-07,681786966
2003-01-08,677891942
2003-01-09,680724699
2003-01-10,680370521
2003-01-13,677006830
2003-01-14,680547676
2003-01-15,675590518
2003-01-16,666030246
2003-01-17,658417486
2003-01-21,656824019
2003-01-22,651512816
2003-01-23,647971969
2003-01-24,641775521
2003-01-27,638411697
2003-01-28,638942897
2003-01-29,641775521
2003-01-30,635579073
2003-01-31,643546011
2003-02-03,645670412
2003-02-04,649742459
2003-02-05,654699617
2003-02-06,651512816
2003-02-07,632923472
2003-02-10,632923472
2003-02-11,624071422
2003-02-12,622655110
2003-02-13,622300932
2003-02-14,616989729
2003-02-18,623540222
2003-02-19,640005164
2003-02-20,636641340
2003-02-21,643900056
2003-02-24,639119920
2003-02-25,646201612
2003-02-26,644431123
2003-02-27,652398060
2003-02-28,650981748
2003-03-03,647794947
2003-03-04,637526585
2003-03-05,637349430
2003-03-06,636464318
2003-03-07,635225028
2003-03-10,624071422
2003-03-11,622300932
2003-03-12,638057652
2003-03-13,646201612
2003-03-14,637349430
2003-03-17,637172408
2003-03-18,635579073
2003-03-19,639119920
2003-03-20,646201612
2003-03-21,670279182
2003-03-24,638234675
2003-03-25,650096504
2003-03-26,653106150
2003-03-27,652752105
2003-03-28,653460328
2003-03-31,651683406
2003-04-01,668118506
2003-04-02,673656324
2003-04-03,666510640
2003-04-04,655077626
2003-04-07,662044688
2003-04-08,660436822
2003-04-09,658829090
2003-04-10,660436822
2003-04-11,654720382
2003-04-14,660615578
2003-04-15,665617530
2003-04-16,657935846
2003-04-17,664188286
2003-04-21,672048592
2003-04-22,684374850
2003-04-23,690627290
2003-04-24,685446716
2003-04-25,680087386
2003-04-28,676157300
2003-04-29,682409740
2003-04-30,674549568
2003-05-01,683124362
2003-05-02,692592266
2003-05-05,700452572
2003-05-06,704382658
2003-05-07,653648516
2003-05-08,650075674
2003-05-09,654720382
2003-05-12,646681454
2003-05-13,627209646
2003-05-14,628460134
2003-05-15,626137780
2003-05-16,631496976
2003-05-19,621671694
2003-05-20,628638756
2003-05-21,631496976
2003-05-22,640250392
2003-05-23,637749416
2003-05-27,636856172
2003-05-28,627031024
2003-05-29,609881436
2003-05-30,629353244
2003-06-02,627209646
2003-06-03,632926086
2003-06-04,648646564
2003-06-05,645966966
2003-06-06,650432918
2003-06-09,636141684
2003-06-10,644537856
2003-06-11,655970870
2003-06-12,641322258
2003-06-13,628817378
2003-06-16,641679502
2003-06-17,638642660
2003-06-18,625244536
2003-06-19,620778450
2003-06-20,620063962
2003-06-23,611489168
2003-06-24,612025034
2003-06-25,612918278
2003-06-26,618456230
2003-06-27,614347388
2003-06-30,614408709
2003-07-01,616717198
2003-07-02,629502667
2003-07-03,626838933
2003-07-07,626661378
2003-07-08,627904400
2003-07-09,621156621
2003-07-10,610679642
2003-07-11,617072310
2003-07-14,637315912
2003-07-15,644063691
2003-07-16,644774047
2003-07-17,644241380
2003-07-18,649213470
2003-07-21,646904980
2003-07-22,653830315
2003-07-23,651521826
2003-07-24,664662405
2003-07-25,670344850
2003-07-28,668391472
2003-07-29,682064719
2003-07-30,695382854
2003-07-31,699822277
2003-08-01,703196100
2003-08-04,706392500
2003-08-05,702308322
2003-08-06,697336232
2003-08-07,690055653
2003-08-08,686326586
2003-08-11,686326586
2003-08-12,668036361
2003-08-13,658979960
2003-08-14,663952183
2003-08-15,649923692
2003-08-18,656849160
2003-08-19,662353916
2003-08-20,666082983
2003-08-21,670522406
2003-08-22,666793339
2003-08-25,667503561
2003-08-26,674429029
2003-08-27,682775074
2003-08-28,681532052
2003-08-29,684550764
2003-09-02,688990186
2003-09-03,690765876
2003-09-04,684728319
2003-09-05,679223563
2003-09-08,681532052
2003-09-09,680999252
2003-09-10,674784140
2003-09-11,682419830
2003-09-12,690055653
2003-09-15,684018097
2003-09-16,684728319
2003-09-17,678335652
2003-09-18,688102275
2003-09-19,692541698
2003-09-22,690588320
2003-09-23,696093210
2003-09-24,692008898
2003-09-25,685083564
2003-09-26,686326586
2003-09-29,691298676
2003-09-30,699459091
2003-10-01,701236113
2003-10-02,707633714
2003-10-03,722027981
2003-10-06,732868203
2003-10-07,733934470
2003-10-08,734823048
2003-10-09,742819848
2003-10-10,741753581
2003-10-13,745485448
2003-10-14,746018648
2003-10-15,740687315
2003-10-16,744596870
2003-10-17,737844026
2003-10-20,741931270
2003-10-21,739265670
2003-10-22,730202603
2003-10-23,724160514
2003-10-24,722383359
2003-10-27,728603270
2003-10-28,726826114
2003-10-29,727892381
2003-10-30,727714692
2003-10-31,726826114
2003-11-03,733579092
2003-11-04,659297001
2003-11-05,643836467
2003-11-06,649345356
2003-11-07,644191845
2003-11-10,613981532
2003-11-11,621622955
2003-11-12,613092955
2003-11-13,623755488
2003-11-14,625532511
2003-11-17,623755488
2003-11-18,610605043
2003-11-19,608650199
2003-11-20,602963621
2003-11-21,586614376
2003-11-24,596743843
2003-11-25,606162288
2003-11-26,609716466
2003-11-28,605096021
2003-12-01,607406243
2003-12-02,605273843
2003-12-03,605629221
2003-12-04,607406243
2003-12-05,604385265
2003-12-08,604207577
2003-12-09,605096021
2003-12-10,605096021
2003-12-11,611848999
2003-12-12,618246466
2003-12-15,613092955
2003-12-16,618601844
2003-12-17,614692288
2003-12-18,615580866
2003-12-19,617535577
2003-12-22,619312733
2003-12-23,617535577
2003-12-24,616291621
2003-12-26,613803710
2003-12-29,615758555
2003-12-30,616647133
2003-12-31,610793281
2004-01-02,610085059
2004-01-05,612032571
2004-01-06,618760086
2004-01-07,602472299
2004-01-08,613094838
2004-01-09,607252435
2004-01-12,605836123
2004-01-13,607075412
2004-01-14,609908036
2004-01-15,606367190
2004-01-16,601055987
2004-01-20,597692163
2004-01-21,594859539
2004-01-22,593089049
2004-01-23,594328339
2004-01-26,595213584
2004-01-27,599285630
2004-01-28,611678526
2004-01-29,609376969
2004-01-30,622832132
2004-02-02,634693828
2004-02-03,632038227
2004-02-04,618760086
2004-02-05,617697952
2004-02-06,627612268
2004-02-09,622300932
2004-02-10,620884620
2004-02-11,615219240
2004-02-12,609731014
2004-02-13,582466643
2004-02-17,581935443
2004-02-18,567418145
2004-02-19,567240990
2004-02-20,569365524
2004-02-23,563169076
2004-02-24,556795606
2004-02-25,565824678
2004-02-26,568480280
2004-02-27,573614593
2004-03-01,584059977
2004-03-02,593974294
2004-03-03,593266204
2004-03-04,599639675
2004-03-05,595744784
2004-03-08,589548336
2004-03-09,584237000
2004-03-10,573614593
2004-03-11,565824678
2004-03-12,571844104
2004-03-15,564762411
2004-03-16,569188502
2004-03-17,562815032
2004-03-18,555910361
2004-03-19,552723692
2004-03-22,555025249
2004-03-23,556441561
2004-03-24,550953203
2004-03-25,553608804
2004-03-26,546173067
2004-03-29,551307248
2004-03-30,544048665
2004-03-31,557053728
2004-04-01,551499244
2004-04-02,554007686
2004-04-05,541107168
2004-04-06,525339763
2004-04-07,530715091
2004-04-08,519427104
2004-04-12,507064051
2004-04-13,510647424
2004-04-14,514230931
2004-04-15,517993593
2004-04-16,519606259
2004-04-19,513693465
2004-04-20,512439244
2004-04-21,513155865
2004-04-22,514230931
2004-04-23,510109958
2004-04-26,505093075
2004-04-27,509034892
2004-04-28,511722489
2004-04-29,504555609
2004-04-30,504734764
2004-05-03,521756256
2004-05-04,536090284
2004-05-05,534119308
2004-05-06,527848204
2004-05-07,519606259
2004-05-10,505272230
2004-05-11,505809830
2004-05-12,510647424
2004-05-13,507422361
2004-05-14,499538726
2004-05-17,510647424
2004-05-18,516381062
2004-05-19,503480544
2004-05-20,509393203
2004-05-21,508676582
2004-05-24,507064051
2004-05-25,512439244
2004-05-26,515126841
2004-05-27,513872620
2004-05-28,517456128
2004-06-01,513514310
2004-06-02,519785414
2004-06-03,514051776
2004-06-04,512976710
2004-06-07,515485152
2004-06-08,516918662
2004-06-09,518710348
2004-06-10,529281580
2004-06-14,523548076
2004-06-15,532685932
2004-06-16,536627750
2004-06-17,533044243
2004-06-18,541823923
2004-06-21,542898854
2004-06-22,545586585
2004-06-23,556516128
2004-06-24,551320089
2004-06-25,558666259
2004-06-28,562787232
2004-06-29,556695283
2004-06-30,546565140
2004-07-01,554641643
2004-07-02,562015789
2004-07-06,559206628
2004-07-07,575886170
2004-07-08,575008389
2004-07-09,578871019
2004-07-12,580802268
2004-07-13,580100043
2004-07-14,581680180
2004-07-15,581855736
2004-07-16,579573243
2004-07-19,583787116
2004-07-20,581680180
2004-07-21,581680180
2004-07-22,574306033
2004-07-23,571145760
2004-07-26,563947170
2004-07-27,553061506
2004-07-28,555695111
2004-07-29,556573023
2004-07-30,561313433
2004-08-02,564473838
2004-08-03,575008389
2004-08-04,572023541
2004-08-05,560962321
2004-08-06,562718145
2004-08-09,563069258
2004-08-10,564473838
2004-08-11,568160911
2004-08-12,564824950
2004-08-13,565878419
2004-08-16,572374785
2004-08-17,579046575
2004-08-18,580100043
2004-08-19,574481589
2004-08-20,580977955
2004-08-23,581504624
2004-08-24,587825302
2004-08-25,593443755
2004-08-26,597833053
2004-08-27,601344570
2004-08-30,612932590
2004-08-31,623291453
2004-09-01,629085463
2004-09-02,633474892
2004-09-03,639444458
2004-09-07,646467361
2004-09-08,642078063
2004-09-09,623291453
2004-09-10,617146331
2004-09-13,606611912
2004-09-14,603451507
2004-09-15,609245517
2004-09-16,618726600
2004-09-17,613634814
2004-09-20,611001209
2004-09-21,616619663
2004-09-22,609245517
2004-09-23,605207199
2004-09-24,604856087
2004-09-27,609772185
2004-09-28,607138580
2004-09-29,607314136
2004-09-30,621778117
2004-10-01,633934818
2004-10-04,636437661
2004-10-05,638582859
2004-10-06,641443346
2004-10-07,628392734
2004-10-08,631431976
2004-10-11,622135628
2004-10-12,628213978
2004-10-13,634113574
2004-10-14,633756063
2004-10-15,636258906
2004-10-18,643767433
2004-10-19,645555120
2004-10-20,639655524
2004-10-21,646985296
2004-10-22,641622101
2004-10-25,633398418
2004-10-26,644482454
2004-10-27,648057962
2004-10-28,652884892
2004-10-29,655924000
2004-11-01,669510878
2004-11-02,662181106
2004-11-03,666829280
2004-11-04,683634156
2004-11-05,662538751
2004-11-08,664505193
2004-11-09,662359995
2004-11-10,664862838
2004-11-11,668080701
2004-11-12,683276511
2004-11-15,682025090
2004-11-16,680416158
2004-11-17,651633471
2004-11-18,658426842
2004-11-19,648594362
2004-11-22,658248087
2004-11-23,661466085
2004-11-24,662181106
2004-11-26,659678264
2004-11-29,650024539
2004-11-30,650203294
2004-12-01,664683948
2004-12-02,660214664
2004-12-03,667008036
2004-12-06,671298699
2004-12-07,660929685
2004-12-08,659678264
2004-12-09,660750930
2004-12-10,666829280
2004-12-13,668617101
2004-12-14,659499508
2004-12-15,666829280
2004-12-16,660035908
2004-12-17,668617101
2004-12-20,670404789
2004-12-21,679343492
2004-12-22,683812911
2004-12-23,680594913
2004-12-27,683812911
2004-12-28,688282330
2004-12-29,693645525
2004-12-30,694181791
2004-12-31,686942176
2005-01-03,684268578
2005-01-04,674643515
2005-01-05,646124903
2005-01-06,640777706
2005-01-07,640955928
2005-01-10,635252152
2005-01-11,627053133
2005-01-12,626518333
2005-01-13,631865665
2005-01-14,638995217
2005-01-18,652363345
2005-01-19,653611034
2005-01-20,643985971
2005-01-21,650402769
2005-01-24,646124903
