,CCI
2001-09-07,1902626100
2001-09-10,1934874000
2001-09-17,1934874000
2001-09-18,1964972040
2001-09-19,1870378199
2001-09-20,1771484640
2001-09-21,1805882400
2001-09-24,1913375400
2001-09-25,1870378199
2001-09-26,1728487439
2001-09-27,1700539260
2001-09-28,1934874000
2001-10-01,1924695600
2001-10-02,2037403000
2001-10-03,1981049300
2001-10-04,2126268450
2001-10-05,2076417100
2001-10-08,2015728500
2001-10-09,2169617450
2001-10-10,2288827200
2001-10-11,2557591000
2001-10-12,2388529900
2001-10-15,2275822500
2001-10-16,2330008750
2001-10-17,2340846000
2001-10-18,2382027550
2001-10-19,2538083950
2001-10-22,2525079250
2001-10-23,2509907100
2001-10-24,2464390650
2001-10-25,2481730250
2001-10-26,2633451750
2001-10-29,2590102750
2001-10-30,2442716150
2001-10-31,2535916500
2001-11-01,2544586300
2001-11-02,2605274900
2001-11-05,2594437650
2001-11-06,2384195000
2001-11-07,2262817800
2001-11-08,2243310750
2001-11-09,2221636250
2001-11-12,2167450000
2001-11-13,2299664450
2001-11-14,2388529900
2001-11-15,2414539300
2001-11-16,2496902400
2001-11-19,2633451750
2001-11-20,2581432950
2001-11-21,2466558100
2001-11-23,2522911800
2001-11-26,2514242000
2001-11-27,2600940000
2001-11-28,2470893000
2001-11-29,2470893000
2001-11-30,2360353050
2001-12-03,2297497000
2001-12-04,2327841300
2001-12-05,2384195000
2001-12-06,2351683250
2001-12-07,2223803700
2001-12-10,2160947650
2001-12-11,2085086899
2001-12-12,1972379500
2001-12-13,2013561049
2001-12-14,2037403000
2001-12-17,2178287250
2001-12-18,2243310750
2001-12-19,2134938250
2001-12-20,2169617450
2001-12-21,2080752000
2001-12-24,2134938250
2001-12-26,2193459400
2001-12-27,2243310750
2001-12-28,2321338950
2001-12-31,2343405600
2002-01-02,2413620000
2002-01-03,2521135800
2002-01-04,2446533000
2002-01-07,2376318600
2002-01-08,2202976800
2002-01-09,2152510200
2002-01-10,1974780000
2002-01-11,2018663999
2002-01-14,1952838000
2002-01-15,1952838000
2002-01-16,1821186000
2002-01-17,1733418000
2002-01-18,1531551600
2002-01-22,1410870600
2002-01-23,1630290600
2002-01-24,1709281800
2002-01-25,1709281800
2002-01-28,1671980400
2002-01-29,1579824000
2002-01-30,1551299400
2002-01-31,1595183400
2002-02-01,1549105200
2002-02-04,1448172000
2002-02-05,1283607000
2002-02-06,1294578000
2002-02-07,1428424200
2002-02-08,1426230000
2002-02-11,1619319600
2002-02-12,1549105200
2002-02-13,1540328400
2002-02-14,1349433000
2002-02-15,1316520000
2002-02-19,1294578000
2002-02-20,1329685200
2002-02-21,1250694000
2002-02-22,1224363600
2002-02-25,1285801200
2002-02-26,1312131600
2002-02-27,1382346000
2002-02-28,1362598200
2002-03-01,1733418000
2002-03-04,1693922400
2002-03-05,1665397800
2002-03-06,1911148200
2002-03-07,1963808999
2002-03-08,1913342400
2002-03-11,1972585800
2002-03-12,1832157000
2002-03-13,1755360000
2002-03-14,1753165800
2002-03-15,1667592000
2002-03-18,1647844200
2002-03-19,1546911000
2002-03-20,1535940000
2002-03-21,1518386400
2002-03-22,1524969000
2002-03-25,1483279200
2002-03-26,1406482200
2002-03-27,1399899600
2002-03-28,1450366200
2002-04-01,1393860070
2002-04-02,1347471700
2002-04-03,1292247450
2002-04-04,1272366720
2002-04-05,1270157750
2002-04-08,1252485990
2002-04-09,1281202600
2002-04-10,1245859080
2002-04-11,1159709250
2002-04-12,1314337150
2002-04-15,1327590970
2002-04-16,1491054750
2002-04-17,1552905910
2002-04-18,1517562390
2002-04-19,1546279000
2002-04-22,1451293290
2002-04-23,1495472690
2002-04-24,1513144450
2002-04-25,1502099600
2002-04-26,1491054750
2002-04-29,1493263720
2002-04-30,1612548100
2002-05-01,1513144450
2002-05-02,1347471700
2002-05-03,1325382000
2002-05-06,1287829510
2002-05-07,1234814230
2002-05-08,1281202600
2002-05-09,1073559420
2002-05-10,1002872380
2002-05-13,1024962079
2002-05-14,1047051780
2002-05-15,1075768390
2002-05-16,1007290319
2002-05-17,1071350449
2002-05-20,1058096630
2002-05-21,1069141480
2002-05-22,1066932510
2002-05-23,1049260750
2002-05-24,1033797959
2002-05-28,1049260750
2002-05-29,985200620
2002-05-30,1005081350
2002-05-31,994036500
2002-06-03,969737829
2002-06-04,978573709
2002-06-05,927767400
2002-06-06,927767400
2002-06-07,927767400
2002-06-10,914513579
2002-06-11,883588000
2002-06-12,914513579
2002-06-13,980782680
2002-06-14,892423880
2002-06-17,952066069
2002-06-18,903468730
2002-06-19,903468730
2002-06-20,916722550
2002-06-21,905677699
2002-06-24,894632850
2002-06-25,923349459
2002-06-26,874752120
2002-06-27,892423880
2002-06-28,868125210
2002-07-01,782128160
2002-07-02,812460000
2002-07-03,799460640
2002-07-05,823292800
2002-07-08,797294080
2002-07-09,762629120
2002-07-10,730130720
2002-07-11,736630400
2002-07-12,725797600
2002-07-15,736630400
2002-07-16,775628480
2002-07-17,779961600
2002-07-18,710631680
2002-07-19,671633600
2002-07-22,654301120
2002-07-23,600137120
2002-07-24,552472800
2002-07-25,509141600
2002-07-26,606636800
2002-07-29,606636800
2002-07-30,569805280
2002-07-31,498308799
2002-08-01,509141600
2002-08-02,472310080
2002-08-05,450644480
2002-08-06,483142880
2002-08-07,428978880
2002-08-08,407313280
2002-08-09,249154399
2002-08-12,220989120
2002-08-13,259987200
2002-08-14,262153760
2002-08-15,277319680
2002-08-16,318484320
2002-08-19,376981440
2002-08-20,355315840
2002-08-21,426812320
2002-08-22,487476000
2002-08-23,476643200
2002-08-26,487476000
2002-08-27,465810400
2002-08-28,457144160
2002-08-29,459310720
2002-08-30,498308799
2002-09-03,541640000
2002-09-04,563305600
2002-09-05,545973120
2002-09-06,552472800
2002-09-09,563305600
2002-09-10,537306880
2002-09-11,537306880
2002-09-12,535140320
2002-09-13,541640000
2002-09-16,539473440
2002-09-17,498308799
2002-09-18,500475360
2002-09-19,519974400
2002-09-20,502641919
2002-09-23,461477280
2002-09-24,409479840
2002-09-25,457144160
2002-09-26,513474720
2002-09-27,485309440
2002-09-30,466851630
2002-10-01,460397460
2002-10-02,449640509
2002-10-03,436732169
2002-10-04,415218270
2002-10-07,421672440
2002-10-08,432429389
2002-10-09,376493250
2002-10-10,387250200
2002-10-11,417369660
2002-10-14,408764100
2002-10-15,432429389
2002-10-16,430278000
2002-10-17,451791900
2002-10-18,451791900
2002-10-21,456094680
2002-10-22,447489120
2002-10-23,441034949
2002-10-24,578723910
2002-10-25,613146150
2002-10-28,583026690
2002-10-29,613146150
2002-10-30,731472600
2002-10-31,752986500
2002-11-01,830436540
2002-11-04,731472600
2002-11-05,699201750
2002-11-06,718564260
2002-11-07,750835110
2002-11-08,705655920
2002-11-11,660476730
2002-11-12,722867040
2002-11-13,692747580
2002-11-14,709958700
2002-11-15,772349010
2002-11-18,819679590
2002-11-19,819679590
2002-11-20,796014300
2002-11-21,785257350
2002-11-22,752986500
2002-11-25,774500400
2002-11-26,796014300
2002-11-27,860556000
2002-11-29,851950440
2002-12-02,935854649
2002-12-03,871312950
2002-12-04,834739320
2002-12-05,733623990
2002-12-06,731472600
2002-12-09,718564260
2002-12-10,727169820
2002-12-11,722867040
2002-12-12,752986500
2002-12-13,720715650
2002-12-16,666930900
2002-12-17,720715650
2002-12-18,720715650
2002-12-19,666930900
2002-12-20,699201750
2002-12-23,731472600
2002-12-24,699201750
2002-12-26,742229550
2002-12-27,731472600
2002-12-30,725018430
2002-12-31,813592500
2003-01-02,813592500
2003-01-03,824440400
2003-01-06,889527799
2003-01-07,891697380
2003-01-08,874340740
2003-01-09,941597720
2003-01-10,930749820
2003-01-13,913393180
2003-01-14,998006799
2003-01-15,1024041760
2003-01-16,1034889659
2003-01-17,939428140
2003-01-21,902545280
2003-01-22,893866960
2003-01-23,817931660
2003-01-24,759353000
2003-01-27,707283080
2003-01-28,752844260
2003-01-29,828779560
2003-01-30,755013840
2003-01-31,856984100
2003-02-03,778879220
2003-02-04,748505100
2003-02-05,722470140
2003-02-06,718130980
2003-02-07,726809300
2003-02-10,724639720
2003-02-11,726809300
2003-02-12,737657200
2003-02-13,759353000
2003-02-14,815762080
2003-02-18,852644940
2003-02-19,830949140
2003-02-20,856984100
2003-02-21,915562760
2003-02-24,911223600
2003-02-25,846136200
2003-02-26,846136200
2003-02-27,830949140
2003-02-28,841797040
2003-03-03,835288300
2003-03-04,919901920
2003-03-05,989328479
2003-03-06,991498060
2003-03-07,1008854700
2003-03-10,976311000
2003-03-11,945936880
2003-03-12,904714860
2003-03-13,991498060
2003-03-14,1065263780
2003-03-17,1117333700
2003-03-18,1171573200
2003-03-19,1139029500
2003-03-20,1162894880
2003-03-21,1234491020
2003-03-24,1193269000
2003-03-25,1154216560
2003-03-26,1139029500
2003-03-27,1139029500
2003-03-28,1143368660
2003-03-31,1187829500
2003-04-01,1252620200
2003-04-02,1297973690
2003-04-03,1263418650
2003-04-04,1265578340
2003-04-07,1319570590
2003-04-08,1304452760
2003-04-09,1336848110
2003-04-10,1300133380
2003-04-11,1339007800
2003-04-14,1423235710
2003-04-15,1403798500
2003-04-16,1334688420
2003-04-17,1349806250
2003-04-21,1349806250
2003-04-22,1339007800
2003-04-23,1384361290
2003-04-24,1360604700
2003-04-25,1395159740
2003-04-28,1397319430
2003-04-29,1343327180
2003-04-30,1375722530
2003-05-01,1317410900
2003-05-02,1421076020
2003-05-05,1395159740
2003-05-06,1554976800
2003-05-07,1608969050
2003-05-08,1544178350
2003-05-09,1550657420
2003-05-12,1576573700
2003-05-13,1565775250
2003-05-14,1593851220
2003-05-15,1587372150
2003-05-16,1518262070
2003-05-19,1576573700
2003-05-20,1593851220
2003-05-21,1524741140
2003-05-22,1503144240
2003-05-23,1539858970
2003-05-27,1641364400
2003-05-28,1714793860
2003-05-29,1770945799
2003-05-30,1799021770
2003-06-02,1803341150
2003-06-03,1801181460
2003-06-04,1863812470
2003-06-05,1861652779
2003-06-06,1846534950
2003-06-09,1745029520
2003-06-10,1751508589
2003-06-11,1729911690
2003-06-12,1781744250
2003-06-13,1725592310
2003-06-16,1712634170
2003-06-17,1770945799
2003-06-18,1719113240
2003-06-19,1628406260
2003-06-20,1667280680
2003-06-23,1658641920
2003-06-24,1695356650
2003-06-25,1738550450
2003-06-26,1641364400
2003-06-27,1673759750
2003-06-30,1683145170
2003-07-01,1689643800
2003-07-02,1867273019
2003-07-03,1971251100
2003-07-07,2047068449
2003-07-08,2133716850
2003-07-09,2168376210
2003-07-10,2116387170
2003-07-11,2120719589
2003-07-14,2198703150
2003-07-15,2151046530
2003-07-16,2203035570
2003-07-17,2112054750
2003-07-18,2112054750
2003-07-21,2047068449
2003-07-22,2112054750
2003-07-23,2155378950
2003-07-24,2164043790
2003-07-25,2148880320
2003-07-28,2250692190
2003-07-29,2144547900
2003-07-30,2140215480
2003-07-31,2144547900
2003-08-01,2086060230
2003-08-04,2086060230
2003-08-05,2101223699
2003-08-06,2151046530
2003-08-07,2127218220
2003-08-08,2142381690
2003-08-11,2135883059
2003-08-12,2211700410
2003-08-13,2328675750
2003-08-14,2198703150
2003-08-15,2185705890
2003-08-18,2220365250
2003-08-19,2265855660
2003-08-20,2252858400
2003-08-21,2261523240
2003-08-22,2252858400
2003-08-25,2218199040
2003-08-26,2177041050
2003-08-27,2304847440
2003-08-28,2309179860
2003-08-29,2328675750
2003-09-02,2352504060
2003-09-03,2371999950
2003-09-04,2376332370
2003-09-05,2361168900
2003-09-08,2333008170
2003-09-09,2309179860
2003-09-10,2226863880
2003-09-11,2209534200
2003-09-12,2224697670
2003-09-15,2209534200
2003-09-16,2263689450
2003-09-17,2287517760
2003-09-18,2220365250
2003-09-19,2164043790
2003-09-22,2077395390
2003-09-23,2138049269
