,ASO
2021-03-23,2252472480
2021-03-24,2172355920
2021-03-25,2203665840
2021-03-26,2269969200
2021-03-29,2234975760
2021-03-30,2475325440
2021-03-31,2485455120
2021-04-01,2674235520
2021-04-05,2919189600
2021-04-06,2867620320
2021-04-07,2834468640
2021-04-08,2675156400
2021-04-09,2839993920
2021-04-12,2973521520
2021-04-13,2917347840
2021-04-14,2838152160
2021-04-15,2812367520
2021-04-16,2833547760
2021-04-19,2939448960
2021-04-20,2891563200
2021-04-21,2867620320
2021-04-22,2810525760
2021-04-23,2956945680
2021-04-26,2893404960
2021-04-27,2894325840
2021-04-28,2852886240
2021-04-29,2836310400
2021-04-30,2837231280
2021-05-03,2888109860
2021-05-04,2852911600
2021-05-05,3083552830
2021-05-06,3150244270
2021-05-07,3131718870
2021-05-10,3084479099
2021-05-11,3248428890
2021-05-12,3144686650
2021-05-13,3224345870
2021-05-14,3299373740
2021-05-17,3275290720
2021-05-18,3251207700
2021-05-19,3170622209
2021-05-20,3158580700
2021-05-21,3128940060
2021-05-24,3117824819
2021-05-25,3091889260
2021-05-26,3267880560
2021-05-27,3334572000
2021-05-28,3383664310
2021-06-01,3450355750
2021-06-02,3432756620
2021-06-03,3404968520
2021-06-04,3438314240
2021-06-07,3499448060
2021-06-08,3672660550
2021-06-09,3695817300
2021-06-10,3707858810
2021-06-11,3863472170
2021-06-14,3861619630
2021-06-15,3646724990
2021-06-16,3608747920
2021-06-17,3498521790
2021-06-18,3559655610
2021-06-21,3698596110
2021-06-22,3761582470
2021-06-23,3862545900
2021-06-24,3920900910
2021-06-25,3928311069
2021-06-28,3744909610
2021-06-29,3743057069
2021-06-30,3819937480
2021-07-01,3846799310
2021-07-02,3866250980
2021-07-06,3748614690
2021-07-07,3736573180
2021-07-08,3647651260
2021-07-09,3706932540
2021-07-12,3744909610
2021-07-13,3572623390
2021-07-14,3560581880
2021-07-15,3408673599
2021-07-16,3311415250
2021-07-19,3270659370
2021-07-20,3417936300
2021-07-21,3538351400
2021-07-22,3432756620
2021-07-23,3448503209
2021-07-26,3403115980
2021-07-27,3332719459
2021-07-28,3363286370
2021-07-29,3443871860
2021-07-30,3431830349
2021-08-02,3350306400
2021-08-03,3340281000
2021-08-04,3163469400
2021-08-05,3166203600
2021-08-06,3212685000
2021-08-09,3095114400
2021-08-10,3262811999
2021-08-11,3384028200
2021-08-12,3423218400
2021-08-13,3362154600
2021-08-16,3403167600
2021-08-17,3272837399
2021-08-18,3252786600
2021-08-19,3192634200
2021-08-20,3379471200
2021-08-23,3493396200
2021-08-24,3610055400
2021-08-25,3836082600
2021-08-26,3896235000
2021-08-27,3845196600
2021-08-30,3955476000
2021-08-31,4034767800
2021-09-01,4052084400
2021-09-02,4061198400
2021-09-03,4057552800
2021-09-07,4114059600
2021-09-08,3955476000
2021-09-09,4016539800
2021-09-10,4168743600
2021-09-13,4207022399
2021-09-14,4129553400
2021-09-15,4185148800
2021-09-16,4197908400
2021-09-17,4022919600
2021-09-20,3925399800
2021-09-21,3891678000
2021-09-22,3883475400
2021-09-23,3854310600
2021-09-24,3837905400
2021-09-27,3897146400
2021-09-28,3808740600
2021-09-29,3746765400
2021-09-30,3647422800
2021-10-01,3662916600
2021-10-04,3688435800
2021-10-05,3639220200
2021-10-06,3727626000
2021-10-07,3820588800
2021-10-08,3707575200
2021-10-11,3671119200
2021-10-12,3617346600
2021-10-13,3726714600
2021-10-14,3741296999
2021-10-15,3687524400
2021-10-18,3757702199
2021-10-19,3723980400
2021-10-20,3782310000
2021-10-21,3849753600
2021-10-22,3947273400
2021-10-25,4066666800
2021-10-26,4039324800
2021-10-27,3890766600
2021-10-28,3916285800
2021-10-29,3898969200
2021-11-01,3733446800
2021-11-02,3861883000
2021-11-03,4132830599
2021-11-04,4088845599
2021-11-05,4044860599
2021-11-08,4090605000
2021-11-09,4167138900
2021-11-10,4005274100
2021-11-11,4106439600
2021-11-12,4143387000
2021-11-15,4212003600
2021-11-16,4221680300
2021-11-17,4227838200
2021-11-18,4375627800
2021-11-19,4410815800
2021-11-22,4272702900
2021-11-23,4255108900
2021-11-24,4144266700
2021-11-26,4049259100
2021-11-29,4061574900
2021-11-30,3925221400
2021-12-01,3797664900
2021-12-02,3787988200
2021-12-03,3629642200
2021-12-06,3687702400
2021-12-07,3828454400
2021-12-08,3814379200
2021-12-09,3802943099
2021-12-10,4125793000
2021-12-13,3740484400
2021-12-14,3700018200
2021-12-15,3746642300
2021-12-16,3432589400
2021-12-17,3522318800
2021-12-20,3385085599
2021-12-21,3533754900
2021-12-22,3545190999
2021-12-23,3530236100
2021-12-27,3673627200
2021-12-28,3604130900
2021-12-29,3643717400
2021-12-30,3758078400
2021-12-31,3861883000
2022-01-03,3889153700
2022-01-04,3790627300
2022-01-05,3661311400
2022-01-06,3678905400
2022-01-07,3577739900
2022-01-10,3391243499
2022-01-11,3474815000
2022-01-12,3534634600
2022-01-13,3524078200
2022-01-14,3378927699
2022-01-18,3417634500
2022-01-19,3410596900
2022-01-20,3272484000
2022-01-21,3195950100
2022-01-24,3378048000
2022-01-25,3319108099
2022-01-26,3246093000
2022-01-27,3244333600
2022-01-28,3312950199
2022-01-31,3370996200
2022-02-01,3502716360
2022-02-02,3416924940
2022-02-03,3238409460
2022-02-04,3185548080
2022-02-07,3209812320
2022-02-08,3323334300
2022-02-09,3380528580
2022-02-10,3282605040
2022-02-11,3162150420
2022-02-14,2974969140
2022-02-15,3135286440
2022-02-16,3059893980
2022-02-17,2956770960
2022-02-18,2969769660
2022-02-22,2874445860
2022-02-23,2752258080
2022-02-24,2832850020
2022-02-25,2861447160
2022-02-28,2805119460
2022-03-01,2656067700
2022-03-02,2798186820
2022-03-03,2785188120
2022-03-04,2781721800
2022-03-07,2595407100
2022-03-08,2678598780
2022-03-09,2836316339
2022-03-10,2835449760
2022-03-11,2745325440
2022-03-14,2982768360
2022-03-15,3102356399
2022-03-16,3127487220
2022-03-17,3176015700
2022-03-18,3349331700
2022-03-21,3213278640
2022-03-22,3312068760
2022-03-23,3254007899
2022-03-24,3234076560
2022-03-25,3165616740
2022-03-28,3136153020
2022-03-29,3425590740
2022-03-30,3394393860
2022-03-31,3414325200
2022-04-01,3363196980
2022-04-04,3344998800
2022-04-05,3305136120
2022-04-06,3233209980
2022-04-07,3336333000
2022-04-08,3348465120
2022-04-11,3341532480
2022-04-12,3388327800
2022-04-13,3484518180
2022-04-14,3489717660
2022-04-18,3464586839
2022-04-19,3614505180
2022-04-20,3655234440
2022-04-21,3552111420
2022-04-22,3378795420
2022-04-25,3442055760
2022-04-26,3306869279
2022-04-27,3250541580
2022-04-28,3360597240
2022-04-29,3237542880
2022-05-02,3170731200
2022-05-03,3231292000
2022-05-04,3282727200
2022-05-05,3218848000
2022-05-06,3125932800
2022-05-09,2984071200
2022-05-10,2970797600
2022-05-11,2861290400
2022-05-12,2924340000
2022-05-13,3037995200
2022-05-16,2993196800
2022-05-17,3072008800
2022-05-18,2676289600
2022-05-19,2617388000
2022-05-20,2557656800
2022-05-23,2507880800
2022-05-24,2290525600
2022-05-25,2577567200
2022-05-26,2818980799
2022-05-27,2854653599
2022-05-31,2779989600
2022-06-01,2811514400
2022-06-02,2965820000
2022-06-03,2881200799
2022-06-06,2950887200
2022-06-07,3210552000
2022-06-08,3170731200
2022-06-09,3140865600
2022-06-10,3038824800
2022-06-13,2779989600
2022-06-14,2840550400
2022-06-15,2906918400
2022-06-16,2748464800
2022-06-17,2849676000
2022-06-21,2991537600
2022-06-22,2991537600
2022-06-23,3046291200
2022-06-24,3204744800
2022-06-27,3177368000
2022-06-28,3054587200
2022-06-29,2978264000
2022-06-30,2948398400
2022-07-01,2902770400
2022-07-05,3033017600
2022-07-06,2971627200
2022-07-07,3126762400
2022-07-08,3164094400
2022-07-11,3101874400
2022-07-12,3151650400
2022-07-13,3214700000
2022-07-14,3188982400
2022-07-15,3301808000
2022-07-18,3320888800
2022-07-19,3442840000
2022-07-20,3558984000
2022-07-21,3614567200
2022-07-22,3604612000
2022-07-25,3557324800
2022-07-26,3315081600
2022-07-27,3382279200
2022-07-28,3496764000
2022-07-29,3569768800
2022-08-01,3468668100
2022-08-02,3422007950
2022-08-03,3471831500
2022-08-04,3400655000
2022-08-05,3405400100
2022-08-08,3537472049
2022-08-09,3359530799
2022-08-10,3549334800
2022-08-11,3677452500
2022-08-12,3716995000
2022-08-15,3740720500
2022-08-16,3832459100
2022-08-17,3766818550
2022-08-18,3736766250
2022-08-19,3686942700
2022-08-22,3586504750
2022-08-23,3583341350
2022-08-24,3573851150
2022-08-25,3656890400
2022-08-26,3509001450
2022-08-29,3540635450
2022-08-30,3479740000
2022-08-31,3406981800
2022-09-01,3420426250
2022-09-02,3378511200
2022-09-06,3316034050
2022-09-07,3781053850
2022-09-08,3818223800
2022-09-09,3919452600
2022-09-12,4007236950
2022-09-13,3832459100
2022-09-14,3781053850
2022-09-15,3800034250
2022-09-16,3729648599
2022-09-19,3822178050
2022-09-20,3727276050
2022-09-21,3634746600
2022-09-22,3558034150
2022-09-23,3502674650
2022-09-26,3393537349
2022-09-27,3584132200
2022-09-28,3766818550
2022-09-29,3571478599
2022-09-30,3335805300
2022-10-03,3490021050
2022-10-04,3606276000
2022-10-05,3599158350
2022-10-06,3614975350
2022-10-07,3524027600
2022-10-10,3463923000
2022-10-11,3488439350
2022-10-12,3551707349
2022-10-13,3546171400
2022-10-14,3486066800
2022-10-17,3529563550
2022-10-18,3591249849
2022-10-19,3429916450
2022-10-20,3341341250
2022-10-21,3397491600
2022-10-24,3499511250
2022-10-25,3599949200
2022-10-26,3531936099
2022-10-27,3466295550
2022-10-28,3522445900
2022-10-31,3419237710
2022-11-01,3426226840
2022-11-02,3292656800
2022-11-03,3235967190
2022-11-04,3264700280
2022-11-07,3353229260
2022-11-08,3253051730
2022-11-09,3237520330
2022-11-10,3371090369
2022-11-11,3440981670
2022-11-14,3503883840
2022-11-15,3732195420
2022-11-16,3475150750
2022-11-17,3676282380
2022-11-18,3734525130
2022-11-21,3788108460
2022-11-22,3945752170
2022-11-23,4038940570
2022-11-25,4003218350
2022-11-28,3954294440
2022-11-29,3886732850
2022-11-30,3920125359
2022-12-01,3842468359
2022-12-02,3876637440
2022-12-05,3746173680
2022-12-06,3828490100
2022-12-07,4416353590
2022-12-08,4390726780
2022-12-09,4228423650
2022-12-12,4303750940
2022-12-13,4257933310
2022-12-14,4261039590
2022-12-15,4155426070
2022-12-16,4080875350
2022-12-19,3991569800
2022-12-20,3889062560
2022-12-21,3970602410
2022-12-22,3864988890
2022-12-23,3991569800
2022-12-27,4157755780
2022-12-28,4026515450
2022-12-29,4070003369
2022-12-30,4080098780
2023-01-03,3943422460
2023-01-04,4024962310
2023-01-05,4016420040
2023-01-06,4083205060
2023-01-09,4193478000
2023-01-10,4278124130
2023-01-11,4250167609
2023-01-12,4300644660
2023-01-13,4323941760
2023-01-17,4340249730
2023-01-18,4226093940
2023-01-19,4108831869
2023-01-20,4205126550
2023-01-23,4262592730
2023-01-24,4226093940
2023-01-25,4261039590
2023-01-26,4299868090
2023-01-27,4321612050
2023-01-30,4365761600
2023-01-31,4490278040
2023-02-01,4564834180
2023-02-02,4780816400
2023-02-03,4804643620
2023-02-06,4707797500
2023-02-07,4620943440
2023-02-08,4517948360
2023-02-09,4420333620
2023-02-10,4410341560
2023-02-13,4491046660
2023-02-14,4471831160
2023-02-15,4611720000
2023-02-16,4686276140
2023-02-17,4816172920
2023-02-21,4535626620
2023-02-22,4597884840
2023-02-23,4580206580
2023-02-24,4577132100
2023-02-27,4558685220
2023-02-28,4546387300
2023-03-01,4560222460
2023-03-02,4554842120
2023-03-03,4644770660
2023-03-06,4536395240
2023-03-07,4650919620
2023-03-08,4679358560
2023-03-09,4689350620
2023-03-10,4601727940
2023-03-13,4492583900
2023-03-14,4609414140
2023-03-15,4604802420
2023-03-16,4992186900
2023-03-17,4866133220
2023-03-20,4908407320
2023-03-21,4970665540
2023-03-22,4890729060
2023-03-23,4916862140
2023-03-24,4992186900
2023-03-27,4903026980
2023-03-28,4909944560
2023-03-29,4843843240
2023-03-30,4830776700
2023-03-31,5015245500
2023-04-03,5105942660
2023-04-04,4810023960
2023-04-05,4866901840
2023-04-06,4846149100
2023-04-10,4955293140
2023-04-11,5067511660
2023-04-12,5220467040
2023-04-13,5201251540
2023-04-14,5156671580
2023-04-17,4976814500
2023-04-18,5151291240
2023-04-19,5199714300
2023-04-20,5206631880
2023-04-21,5122852300
2023-04-24,5246600120
2023-04-25,5062899940
2023-04-26,5012939640
2023-04-27,4913787660
2023-04-28,4882274240
2023-05-01,4642344000
2023-05-02,4779331200
2023-05-03,4721492160
2023-05-04,4645388160
2023-05-05,4642344000
2023-05-08,4611902400
2023-05-09,4602008880
2023-05-10,4611902400
2023-05-11,4579177680
2023-05-12,4537320480
2023-05-15,4490136000
2023-05-16,4248886320
2023-05-17,4433058000
2023-05-18,4433819040
2023-05-19,4095156240
2023-05-22,4028945760
2023-05-23,4008397680
2023-05-24,3904896240
2023-05-25,3831836400
2023-05-26,3781607760
2023-05-30,3719963520
2023-05-31,3726051840
2023-06-01,3699415440
2023-06-02,3909462480
2023-06-05,3693327120
2023-06-06,3761059680
2023-06-07,3910223520
2023-06-08,3866083200
2023-06-09,3837163680
2023-06-12,3857711760
2023-06-13,3936859920
2023-06-14,3809766240
2023-06-15,3769431120
2023-06-16,3697132320
2023-06-20,3729096000
2023-06-21,3727573920
2023-06-22,3812049360
2023-06-23,3786935040
2023-06-26,3881304000
2023-06-27,4062431520
2023-06-28,4019813280
2023-06-29,4044927600
2023-06-30,4113421200
2023-07-03,4094395200
2023-07-05,4121792639
2023-07-06,4074608160
2023-07-07,4215400560
2023-07-10,4396528080
2023-07-11,4368369600
2023-07-12,4461216480
2023-07-13,4360759200
2023-07-14,4320424080
2023-07-17,4292265600
2023-07-18,4232904480
2023-07-19,4267151280
2023-07-20,4198657680
2023-07-21,4177348560
2023-07-24,4258018800
2023-07-25,4289982480
2023-07-26,4415554080
2023-07-27,4366086480
2023-07-28,4467304800
2023-07-31,4452023190
2023-08-01,4365648430
2023-08-02,4301611970
2023-08-03,4378306800
2023-08-04,4380540630
2023-08-07,4328417930
2023-08-08,4161625290
2023-08-09,4147477700
2023-08-10,4125139400
2023-08-11,4109502590
2023-08-14,4249489270
2023-08-15,4294165870
2023-08-16,4242787780
2023-08-17,4167582170
2023-08-18,4264381470
2023-08-21,4148966920
2023-08-22,3863781290
2023-08-23,3692520990
2023-08-24,3718582340
2023-08-25,3703690140
2023-08-28,3674650350
2023-08-29,3705923970
2023-08-30,3718582340
2023-08-31,4063336770
2023-09-01,3997811090
2023-09-05,3908457890
2023-09-06,3827295400
2023-09-07,3836230720
2023-09-08,3799000220
2023-09-11,3680607230
2023-09-12,3655290490
2023-09-13,3698477870
2023-09-14,3810169370
2023-09-15,3733474540
2023-09-18,3685074890
2023-09-19,3681351840
2023-09-20,3625506090
2023-09-21,3546577430
2023-09-22,3481796360
2023-09-25,3424461390
2023-09-26,3396166210
2023-09-27,3455735009
2023-09-28,3500411610
2023-09-29,3519771470
2023-10-02,3403612310
2023-10-03,3303834570
2023-10-04,3314259110
2023-10-05,3243521160
2023-10-06,3256179530
2023-10-09,3274050170
2023-10-10,3386486280
2023-10-11,3379784790
2023-10-12,3248733430
2023-10-13,3220438250
2023-10-16,3374572520
2023-10-17,3508602320
2023-10-18,3513069980
2023-10-19,3471371820
2023-10-20,3425206000
2023-10-23,3259157970
2023-10-24,3269582509
2023-10-25,3322449820
2023-10-26,3306813009
2023-10-27,3221927470
2023-10-30,3261182860
2023-10-31,3327979960
2023-11-01,3308683020
2023-11-02,3480128910
2023-11-03,3625598150
2023-11-06,3633762240
2023-11-07,3627082530
2023-11-08,3509074320
2023-11-09,3363605080
2023-11-10,3389581730
2023-11-13,3325753390
2023-11-14,3561769810
2023-11-15,3656027940
2023-11-16,3545441630
2023-11-17,3687942110
2023-11-20,3575129230
2023-11-21,3576613610
2023-11-22,3592941789
2023-11-24,3689426490
2023-11-27,3644152900
2023-11-28,3625598150
2023-11-29,3751028260
2023-11-30,3775520530
2023-12-01,4094662230
2023-12-04,4154779620
2023-12-05,4053099590
2023-12-06,4062748060
2023-12-07,4122865450
2023-12-08,4153295240
2023-12-11,4189662550
2023-12-12,4189662550
2023-12-13,4326225510
2023-12-14,4519937100
2023-12-15,4531812140
2023-12-18,4524390240
2023-12-19,4717359640
2023-12-20,4623843700
2023-12-21,4724039350
2023-12-22,4631265600
2023-12-26,4784898930
2023-12-27,4908102470
2023-12-28,4908844660
2023-12-29,4898454000
2024-01-02,5003844980
2024-01-03,4744820670
2024-01-04,4775992650
2024-01-05,4778219220
2024-01-08,4819781860
2024-01-09,4749273810
2024-01-10,4718844020
2024-01-11,4676539190
2024-01-12,4608257710
2024-01-16,4723297160
2024-01-17,4645367210
2024-01-18,4715133070
2024-01-19,4669859480
2024-01-22,4880641440
2024-01-23,4848727270
2024-01-24,4816813100
2024-01-25,4807906820
2024-01-26,4816070910
2024-01-29,4862086690
2024-01-30,4821266240
2024-01-31,4655757870
2024-02-01,4776734840
2024-02-02,4785641120
2024-02-05,4660953200
2024-02-06,4706226790
2024-02-07,4773023890
2024-02-08,4923688460
2024-02-09,5047634190
2024-02-12,5257673960
2024-02-13,5047634190
2024-02-14,5030563820
2024-02-15,5088454640
2024-02-16,5125564140
2024-02-20,5170095540
2024-02-21,5121853190
2024-02-22,5179001820
2024-02-23,5262127100
2024-02-26,5286619370
2024-02-27,5428377660
2024-02-28,5465487160
2024-02-29,5545643680
2024-03-01,5578300040
2024-03-04,5550096820
2024-03-05,5527831120
2024-03-06,5307400690
2024-03-07,5256189579
2024-03-08,5210173800
2024-03-11,5077321790
2024-03-12,4992712130
2024-03-13,5144118890
2024-03-14,5288103750
2024-03-15,5281424040
2024-03-18,5353416470
2024-03-19,5274744329
2024-03-20,5288103750
2024-03-21,4781930170
2024-03-22,4758180090
2024-03-25,4798258350
2024-03-26,4859860120
2024-03-27,5039470100
2024-03-28,5012751260
2024-04-01,4955602630
2024-04-02,4696578320
2024-04-03,4704000220
2024-04-04,4657984440
2024-04-05,4709195550
2024-04-08,4648335970
2024-04-09,4535523090
2024-04-10,4463530660
2024-04-11,4424936780
2024-04-12,4380405380
2024-04-15,4431616490
2024-04-16,4404897650
2024-04-17,4278725350
2024-04-18,4191889120
2024-04-19,4242358039
2024-04-22,4263139360
2024-04-23,4398960130
2024-04-24,4383374140
2024-04-25,4384116330
2024-04-26,4506577680
2024-04-29,4509546440
2024-04-30,4326967700
2024-05-01,4208217300
2024-05-02,4286147250
2024-05-03,4260170600
2024-05-06,4314350470
2024-05-07,4272787830
2024-05-08,4191146930
2024-05-09,4237904900
2024-05-10,4208217300
2024-05-13,4182240650
2024-05-14,4190404740
2024-05-15,4111732600
2024-05-16,4036771410
2024-05-17,3986302490
2024-05-20,3993724390
2024-05-21,3967747740
2024-05-22,3892786550
2024-05-23,3936575760
2024-05-24,3954388320
2024-05-28,4152553050
2024-05-29,4204506350
2024-05-30,4300991050
2024-05-31,4281694110
2024-06-03,4260912789
2024-06-04,4174818750
2024-06-05,4159974950
2024-06-06,4078334050
2024-06-07,4072574720
2024-06-10,3952706060
2024-06-11,3824698170
2024-06-12,3913489770
2024-06-13,3801020410
2024-06-14,3832097470
2024-06-17,3979343540
2024-06-18,4052596610
2024-06-20,4020779620
2024-06-21,4087373320
2024-06-24,3959365430
2024-06-25,3901650890
2024-06-26,3901650890
2024-06-27,3943086970
2024-06-28,3940127250
2024-07-01,3748485379
2024-07-02,3747745450
2024-07-03,3769203420
2024-07-05,3842456490
2024-07-08,3938647390
2024-07-09,3836537050
2024-07-10,3854295370
2024-07-11,4007460879
2024-07-12,3931248090
2024-07-15,3926068580
2024-07-16,4219080860
2024-07-17,4247198200
2024-07-18,4135468770
2024-07-19,3973424100
2024-07-22,4057776120
2024-07-23,4076274370
2024-07-24,4023739340
2024-07-25,3953445990
2024-07-26,3943086970
2024-07-29,4013380320
2024-07-30,3943826900
2024-07-31,4000801510
2024-08-01,3803240200
2024-08-02,3636016020
2024-08-05,3610118470
2024-08-06,3604199030
2024-08-07,3535385540
2024-08-08,3665613220
2024-08-09,3691510770
