,ATO
2001-01-18,938934850
2001-01-19,936605950
2001-01-22,929231100
2001-01-23,956013450
2001-01-24,965717200
2001-01-25,968046100
2001-01-26,958342350
2001-01-29,969986849
2001-01-30,964552750
2001-01-31,949803050
2001-02-01,929619250
2001-02-02,916810300
2001-02-05,926514050
2001-02-06,935441500
2001-02-07,956789750
2001-02-08,933112600
2001-02-09,925737750
2001-02-12,947086000
2001-02-13,945145250
2001-02-14,927678500
2001-02-15,950967500
2001-02-16,945145250
2001-02-20,935441500
2001-02-21,939711150
2001-02-22,910988050
2001-02-23,890804250
2001-02-26,912152500
2001-02-27,894297600
2001-02-28,904389500
2001-03-01,921856250
2001-03-02,925737750
2001-03-05,923797000
2001-03-06,908271000
2001-03-07,907494700
2001-03-08,919915500
2001-03-09,923797000
2001-03-12,907494700
2001-03-13,892745000
2001-03-14,908271000
2001-03-15,916422150
2001-03-16,904389500
2001-03-19,919915500
2001-03-20,888863500
2001-03-21,863633750
2001-03-22,845390700
2001-03-23,852377400
2001-03-26,862857450
2001-03-27,853930000
2001-03-28,834522500
2001-03-29,873337500
2001-03-30,923797000
2001-04-02,947262750
2001-04-03,896769000
2001-04-04,880611000
2001-04-05,900808500
2001-04-06,878591250
2001-04-09,904848000
2001-04-10,923429700
2001-04-11,894749250
2001-04-12,912927000
2001-04-16,888690000
2001-04-17,908079600
2001-04-18,876571500
2001-04-19,886670250
2001-04-20,866472750
2001-04-23,868492500
2001-04-24,874551750
2001-04-25,880207050
2001-04-26,898788750
2001-04-27,904848000
2001-04-30,915754650
2001-05-01,931104750
2001-05-02,939183750
2001-05-03,945243000
2001-05-04,964632600
2001-05-07,945243000
2001-05-08,931508700
2001-05-09,931104750
2001-05-10,912927000
2001-05-11,914946750
2001-05-14,914946750
2001-05-15,916966500
2001-05-16,949282500
2001-05-17,917774400
2001-05-18,931104750
2001-05-21,949686450
2001-05-22,952514099
2001-05-23,939183750
2001-05-24,943223250
2001-05-25,943223250
2001-05-29,935548200
2001-05-30,937164000
2001-05-31,937164000
2001-06-01,933124500
2001-06-04,933124500
2001-06-05,931104750
2001-06-06,932316599
2001-06-07,936760050
2001-06-08,929085000
2001-06-11,929085000
2001-06-12,958977299
2001-06-13,960997050
2001-06-14,933528450
2001-06-15,949282500
2001-06-18,937971900
2001-06-19,927065250
2001-06-20,941203500
2001-06-21,969480000
2001-06-22,931912650
2001-06-25,916966500
2001-06-26,933932400
2001-06-27,967460250
2001-06-28,969480000
2001-06-29,988061700
2001-07-02,963753200
2001-07-03,961711350
2001-07-05,965386680
2001-07-06,955585800
2001-07-09,944151440
2001-07-10,918832500
2001-07-11,906581400
2001-07-12,908214879
2001-07-13,907398140
2001-07-16,902497700
2001-07-17,894330300
2001-07-18,888204750
2001-07-19,898414000
2001-07-20,869419730
2001-07-23,840425459
2001-07-24,808164230
2001-07-25,816740000
2001-07-26,820823700
2001-07-27,816740000
2001-07-30,822865550
2001-07-31,824907400
2001-08-01,816740000
2001-08-02,816740000
2001-08-03,843284050
2001-08-06,815923260
2001-08-07,824907400
2001-08-08,814698150
2001-08-09,853493300
2001-08-10,868194620
2001-08-13,867786250
2001-08-14,880445720
2001-08-15,906581400
2001-08-16,918832500
2001-08-17,918424129
2001-08-20,919649240
2001-08-21,920057610
2001-08-22,922916200
2001-08-23,904539550
2001-08-24,912706950
2001-08-27,905356290
2001-08-28,909031620
2001-08-29,909031620
2001-08-30,898005629
2001-08-31,882079200
2001-09-04,900047480
2001-09-05,890654970
2001-09-06,873095060
2001-09-07,875545280
2001-09-10,898414000
2001-09-17,882487570
2001-09-18,887796379
2001-09-19,887796379
2001-09-20,877995500
2001-09-21,847776120
2001-09-24,863702550
2001-09-25,885346160
2001-09-26,866152770
2001-09-27,877587129
2001-09-28,882079200
2001-10-01,872278320
2001-10-02,869828100
2001-10-03,882079200
2001-10-04,902497700
2001-10-05,900455850
2001-10-08,898414000
2001-10-09,880037350
2001-10-10,898414000
2001-10-11,896372150
2001-10-12,898822370
2001-10-15,888204750
2001-10-16,894330300
2001-10-17,897188890
2001-10-18,880037350
2001-10-19,888204750
2001-10-22,877178760
2001-10-23,849409600
2001-10-24,844509160
2001-10-25,865744400
2001-10-26,869828100
2001-10-29,865744400
2001-10-30,866969510
2001-10-31,880037350
2001-11-01,888204750
2001-11-02,869828100
2001-11-05,877995500
2001-11-06,873911800
2001-11-07,863294180
2001-11-08,861660700
2001-11-09,855126780
2001-11-12,864927660
2001-11-13,858393740
2001-11-14,866561140
2001-11-15,859618850
2001-11-16,853493300
2001-11-19,849001230
2001-11-20,875953650
2001-11-21,845325900
2001-11-23,873095060
2001-11-26,863702550
2001-11-27,846959379
2001-11-28,818781850
2001-11-29,806122379
2001-11-30,800405200
2001-12-03,794688020
2001-12-04,811431190
2001-12-05,816740000
2001-12-06,814289780
2001-12-07,820823700
2001-12-10,805305640
2001-12-11,809389340
2001-12-12,810614450
2001-12-13,814698150
2001-12-14,826949250
2001-12-17,851451450
2001-12-18,861660700
2001-12-19,862885810
2001-12-20,871053209
2001-12-21,873911800
2001-12-24,867377879
2001-12-26,872278320
2001-12-27,869828100
2001-12-28,859210480
2001-12-31,872100000
2002-01-02,880308000
2002-01-03,884822400
2002-01-04,894672000
2002-01-07,887284800
2002-01-08,878256000
2002-01-09,865123199
2002-01-10,874152000
2002-01-11,879487200
2002-01-14,863892000
2002-01-15,861429599
2002-01-16,865944000
2002-01-17,861840000
2002-01-18,859788000
2002-01-22,859788000
2002-01-23,861019200
2002-01-24,856094400
2002-01-25,860198400
2002-01-28,865944000
2002-01-29,851580000
2002-01-30,865944000
2002-01-31,865944000
2002-02-01,853632000
2002-02-04,858146400
2002-02-05,865533600
2002-02-06,851169599
2002-02-07,831470400
2002-02-08,860198400
2002-02-11,875383199
2002-02-12,881539200
2002-02-13,891388800
2002-02-14,890157600
2002-02-15,920116800
2002-02-19,905752800
2002-02-20,922579200
2002-02-21,895082400
2002-02-22,890568000
2002-02-25,906984000
2002-02-26,923810400
2002-02-27,923810400
2002-02-28,915192000
2002-03-01,914781600
2002-03-04,916833600
2002-03-05,913550400
2002-03-06,922989599
2002-03-07,941868000
2002-03-08,952128000
2002-03-11,962388000
2002-03-12,954180000
2002-03-13,960746400
2002-03-14,970185600
2002-03-15,975110400
2002-03-18,980445600
2002-03-19,984960000
2002-03-20,971416800
2002-03-21,991526400
2002-03-22,976341600
2002-03-25,982087200
2002-03-26,982908000
2002-03-27,993168000
2002-03-28,968544000
2002-04-01,980043750
2002-04-02,988296750
2002-04-03,979218450
2002-04-04,973441350
2002-04-05,975917250
2002-04-08,992835900
2002-04-09,994486500
2002-04-10,1009341900
2002-04-11,994073850
2002-04-12,1006453350
2002-04-15,990772650
2002-04-16,1004802750
2002-04-17,998613000
2002-04-18,1001914200
2002-04-19,1002739500
2002-04-22,1003564800
2002-04-23,998200350
2002-04-24,997375050
2002-04-25,994899150
2002-04-26,984170250
2002-04-29,986233500
2002-04-30,987471450
2002-05-01,990360000
2002-05-02,990360000
2002-05-03,990360000
2002-05-06,979631099
2002-05-07,971790750
2002-05-08,989122050
2002-05-09,965601000
2002-05-10,955284750
2002-05-13,957760650
2002-05-14,980043750
2002-05-15,982932300
2002-05-16,969727500
2002-05-17,963537750
2002-05-20,953221500
2002-05-21,959411250
2002-05-22,962712449
2002-05-23,968076900
2002-05-24,956110050
2002-05-28,958585950
2002-05-29,952396199
2002-05-30,952396199
2002-05-31,954872100
2002-06-03,914432400
2002-06-04,922685400
2002-06-05,911543850
2002-06-06,876881250
2002-06-07,879357150
2002-06-10,881833050
2002-06-11,886372200
2002-06-12,897101099
2002-06-13,877706550
2002-06-14,888848100
2002-06-17,921860100
2002-06-18,928462500
2002-06-19,905766750
2002-06-20,907004700
2002-06-21,953221500
2002-06-24,933001650
2002-06-25,949095000
2002-06-26,938778750
2002-06-27,953221500
2002-06-28,967251600
2002-07-01,969329399
2002-07-02,954350800
2002-07-03,948359360
2002-07-05,969329399
2002-07-08,973609000
2002-07-09,968901440
2002-07-10,935092600
2002-07-11,922681760
2002-07-12,896576200
2002-07-15,895292320
2002-07-16,890156800
2002-07-17,894436399
2002-07-18,870898600
2002-07-19,855920000
2002-07-22,828102600
2002-07-23,786162520
2002-07-24,816547679
2002-07-25,853780200
2002-07-26,890156800
2002-07-29,918830120
2002-07-30,926105440
2002-07-31,909415000
2002-08-01,897860080
2002-08-02,877318000
2002-08-05,899143960
2002-08-06,911554800
2002-08-07,928673200
2002-08-08,943651800
2002-08-09,947503440
2002-08-12,954778760
2002-08-13,915834399
2002-08-14,962482039
2002-08-15,940656080
2002-08-16,941512000
2002-08-19,936804440
2002-08-20,943223840
2002-08-21,936804440
2002-08-22,927389320
2002-08-23,916690320
2002-08-26,933380760
2002-08-27,924393600
2002-08-28,915834399
2002-08-29,925249520
2002-08-30,917546240
2002-09-03,905135399
2002-09-04,931240960
2002-09-05,917974200
2002-09-06,945791600
2002-09-09,943651800
2002-09-10,935092600
2002-09-11,947075480
2002-09-12,925249520
2002-09-13,941512000
2002-09-16,939800160
2002-09-17,920114000
2002-09-18,931668920
2002-09-19,909415000
2002-09-20,905135399
2002-09-23,893152520
2002-09-24,888017000
2002-09-25,924393600
2002-09-26,945791600
2002-09-27,913694600
2002-09-30,920114000
2002-10-01,930385039
2002-10-02,915406440
2002-10-03,928245240
2002-10-04,932952800
2002-10-07,922253800
2002-10-08,926533399
2002-10-09,885877200
2002-10-10,910270920
2002-10-11,899571920
2002-10-14,909415000
2002-10-15,930813000
2002-10-16,896576200
2002-10-17,908987039
2002-10-18,913694600
2002-10-21,930813000
2002-10-22,911554800
2002-10-23,919686039
2002-10-24,917546240
2002-10-25,928245240
2002-10-28,930385039
2002-10-29,930813000
2002-10-30,940228120
2002-10-31,941512000
2002-11-01,959058360
2002-11-04,955634679
2002-11-05,949215280
2002-11-06,958630399
2002-11-07,928673200
2002-11-08,937232399
2002-11-11,928673200
2002-11-12,911554800
2002-11-13,923109720
2002-11-14,933380760
2002-11-15,947931399
2002-11-18,921825840
2002-11-19,936804440
2002-11-20,950927120
2002-11-21,954350800
2002-11-22,974464920
2002-11-25,984308000
2002-11-26,950927120
2002-11-27,975320840
2002-11-29,954350800
2002-12-02,975320840
2002-12-03,975748800
2002-12-04,982168200
2002-12-05,977888600
2002-12-06,973609000
2002-12-09,970613280
2002-12-10,974464920
2002-12-11,977888600
2002-12-12,981740240
2002-12-13,975320840
2002-12-16,1010413560
2002-12-17,1006989880
2002-12-18,1011269480
2002-12-19,1005706000
2002-12-20,991155360
2002-12-23,1006133960
2002-12-24,1005706000
2002-12-26,1011269480
2002-12-27,989015560
2002-12-30,995007000
2002-12-31,1056535920
2003-01-02,1066503240
2003-01-03,1064691000
2003-01-06,1096405200
2003-01-07,1075564440
2003-01-08,1069221600
2003-01-09,1066956300
2003-01-10,1064237939
2003-01-13,1067409360
2003-01-14,1054723680
2003-01-15,1013042160
2003-01-16,1027087020
2003-01-17,1015307460
2003-01-21,1007152380
2003-01-22,993560580
2003-01-23,1002168720
2003-01-24,993560580
2003-01-27,969548399
2003-01-28,983140200
2003-01-29,990842220
2003-01-30,997185060
2003-01-31,1014854399
2003-02-03,1003980960
2003-02-04,1008511560
2003-02-05,994919760
2003-02-06,989483040
2003-02-07,964111680
2003-02-10,974079000
2003-02-11,960034140
2003-02-12,965017800
2003-02-13,974079000
2003-02-14,994466700
2003-02-18,998091180
2003-02-19,997638120
2003-02-20,1001715660
2003-02-21,998997300
2003-02-24,989029979
2003-02-25,1002168720
2003-02-26,981781020
2003-02-27,977250420
2003-02-28,964111680
2003-03-03,965017800
2003-03-04,973625939
2003-03-05,979062660
2003-03-06,975438180
2003-03-07,971813700
2003-03-10,958221899
2003-03-11,949160700
2003-03-12,949160700
2003-03-13,970907580
2003-03-14,970907580
2003-03-17,977703479
2003-03-18,969548399
2003-03-19,969548399
2003-03-20,974079000
2003-03-21,992201399
2003-03-24,966830040
2003-03-25,971813700
2003-03-26,962752500
2003-03-27,971813700
2003-03-28,969095340
2003-03-31,977896220
2003-04-01,994915110
2003-04-02,991695320
2003-04-03,985715710
2003-04-04,993535200
2003-04-07,993535200
2003-04-08,1004114509
2003-04-09,990315410
2003-04-10,992155290
2003-04-11,990775380
2003-04-14,986635650
2003-04-15,994915110
2003-04-16,995835049
2003-04-17,1007334299
2003-04-21,1011934000
2003-04-22,1020213460
2003-04-23,1026653040
2003-04-24,1029872830
2003-04-25,1026193070
2003-04-28,1048271630
2003-04-29,1040452140
2003-04-30,1047811660
2003-05-01,1039532200
2003-05-02,1057931000
2003-05-05,1055631150
2003-05-06,1060690820
2003-05-07,1057471029
2003-05-08,1063910610
2003-05-09,1078169680
2003-05-12,1077249740
2003-05-13,1071270130
2003-05-14,1065750490
2003-05-15,1082769380
2003-05-16,1044131900
2003-05-19,1068050340
2003-05-20,1083229350
2003-05-21,1090128900
2003-05-22,1080929500
2003-05-23,1115887220
2003-05-27,1143025450
2003-05-28,1138885720
2003-05-29,1130606260
2003-05-30,1138425750
2003-06-02,1139345690
2003-06-03,1140725600
2003-06-04,1149925000
2003-06-05,1151304910
2003-06-06,1147625150
2003-06-09,1155904610
2003-06-10,1160964280
2003-06-11,1170623650
2003-06-12,1170623650
2003-06-13,1145785270
2003-06-16,1160504310
2003-06-17,1164184070
2003-06-18,1156824550
2003-06-19,1161424250
2003-06-20,1160044340
2003-06-23,1154984670
2003-06-24,1149925000
2003-06-25,1122326800
2003-06-26,1117727100
2003-06-27,1131066230
2003-06-30,1276778400
2003-07-01,1274204250
2003-07-02,1290678810
2003-07-03,1280897040
2003-07-07,1287075000
2003-07-08,1269055950
2003-07-09,1280897040
2003-07-10,1266481800
2003-07-11,1276263570
2003-07-14,1280897040
2003-07-15,1261333500
2003-07-16,1253096220
2003-07-17,1240740300
2003-07-18,1261848330
2003-07-21,1240740300
2003-07-22,1249492410
2003-07-23,1253611050
2003-07-24,1255155540
2003-07-25,1256700030
2003-07-28,1243314450
2003-07-29,1255155540
2003-07-30,1262877990
2003-07-31,1254640710
2003-08-01,1236621660
2003-08-04,1225295400
2003-08-05,1198524240
2003-08-06,1194405600
2003-08-07,1214483970
2003-08-08,1212939480
2003-08-11,1235077170
2003-08-12,1247433090
2003-08-13,1243314450
2003-08-14,1235077170
2003-08-15,1241255130
2003-08-18,1248977580
2003-08-19,1251551730
2003-08-20,1276263570
2003-08-21,1270085610
2003-08-22,1253611050
2003-08-25,1261333500
2003-08-26,1258759350
2003-08-27,1264422480
2003-08-28,1269055950
2003-08-29,1253611050
2003-09-02,1285530510
2003-09-03,1266481800
2003-09-04,1262877990
2003-09-05,1258759350
2003-09-08,1272659760
2003-09-09,1268026290
2003-09-10,1254125880
2003-09-11,1258759350
2003-09-12,1256185200
2003-09-15,1248977580
2003-09-16,1253611050
2003-09-17,1241769960
2003-09-18,1238680980
2003-09-19,1248462750
2003-09-22,1239710640
2003-09-23,1255155540
2003-09-24,1240740300
2003-09-25,1234047510
2003-09-26,1226325060
2003-09-29,1240225470
2003-09-30,1232503020
2003-10-01,1254125880
2003-10-02,1262363160
2003-10-03,1271630100
2003-10-06,1278322890
2003-10-07,1276778400
2003-10-08,1252581390
2003-10-09,1262877990
2003-10-10,1260303840
2003-10-13,1265966970
2003-10-14,1275233910
2003-10-15,1264422480
2003-10-16,1271115270
2003-10-17,1269055950
2003-10-20,1272144930
2003-10-21,1271115270
2003-10-22,1261333500
2003-10-23,1257214860
2003-10-24,1248462750
2003-10-27,1261333500
2003-10-28,1275233910
2003-10-29,1274719080
2003-10-30,1261333500
2003-10-31,1261333500
2003-11-03,1270600440
2003-11-04,1264422480
2003-11-05,1260303840
2003-11-06,1258244520
2003-11-07,1257729690
2003-11-10,1251036900
2003-11-11,1251551730
2003-11-12,1265966970
2003-11-13,1272144930
2003-11-14,1270600440
2003-11-17,1271630100
2003-11-18,1255670370
2003-11-19,1259789010
2003-11-20,1257729690
2003-11-21,1253611050
2003-11-24,1275233910
2003-11-25,1274204250
2003-11-26,1271630100
2003-11-28,1269055950
2003-12-01,1274719080
2003-12-02,1279867380
2003-12-03,1258759350
2003-12-04,1265966970
2003-12-05,1265966970
2003-12-08,1277293230
2003-12-09,1265452140
2003-12-10,1255155540
2003-12-11,1260303840
2003-12-12,1265452140
2003-12-15,1255155540
2003-12-16,1266481800
2003-12-17,1258759350
2003-12-18,1253096220
2003-12-19,1243314450
2003-12-22,1250007240
2003-12-23,1273174590
2003-12-24,1269570780
2003-12-26,1277293230
2003-12-29,1282441530
2003-12-30,1286560170
2003-12-31,1259955000
2004-01-02,1282250500
2004-01-05,1270843500
2004-01-06,1260992000
2004-01-07,1268769500
2004-01-08,1279139500
2004-01-09,1272917500
2004-01-12,1283287500
2004-01-13,1276547000
2004-01-14,1288472500
2004-01-15,1283806000
2004-01-16,1274991500
2004-01-20,1295213000
2004-01-21,1311805000
2004-01-22,1308175500
2004-01-23,1320101000
2004-01-26,1326841500
2004-01-27,1322693500
2004-01-28,1328397000
2004-01-29,1330471000
2004-01-30,1327360000
2004-02-02,1320101000
2004-02-03,1318545500
2004-02-04,1292102000
2004-02-05,1289509500
2004-02-06,1308694000
2004-02-09,1326323000
2004-02-10,1355359000
2004-02-11,1356396000
2004-02-12,1361062500
2004-02-13,1357433000
2004-02-17,1370914000
2004-02-18,1375062000
2004-02-19,1371951000
2004-02-20,1368840000
2004-02-23,1352766500
2004-02-24,1353803500
2004-02-25,1365210500
2004-02-26,1357433000
2004-02-27,1366247500
2004-03-01,1383358000
2004-03-02,1381802500
2004-03-03,1379728500
2004-03-04,1386987500
2004-03-05,1392691000
2004-03-08,1383876500
2004-03-09,1377136000
2004-03-10,1363655000
2004-03-11,1344989000
2004-03-12,1370914000
2004-03-15,1349655500
2004-03-16,1346026000
2004-03-17,1359507000
2004-03-18,1358470000
2004-03-19,1347063000
2004-03-22,1321656500
2004-03-23,1316990000
2004-03-24,1305583000
2004-03-25,1309212500
2004-03-26,1303509000
2004-03-29,1318545500
2004-03-30,1324767500
2004-03-31,1335265400
2004-04-01,1355631200
2004-04-02,1360331000
2004-04-05,1360331000
2004-04-06,1355109000
2004-04-07,1346753800
2004-04-08,1333698800
2004-04-12,1330043400
2004-04-13,1308111000
2004-04-14,1292967200
2004-04-15,1298711400
2004-04-16,1308111000
2004-04-19,1298711400
2004-04-20,1282523200
2004-04-21,1292445000
2004-04-22,1311766400
2004-04-23,1311766400
2004-04-26,1309155400
2004-04-27,1315944000
2004-04-28,1300800200
2004-04-29,1289834000
2004-04-30,1286700800
2004-05-03,1299755800
2004-05-04,1303411200
2004-05-05,1308111000
2004-05-06,1298189200
2004-05-07,1259546400
2004-05-10,1236569600
2004-05-11,1247535800
2004-05-12,1252757800
2004-05-13,1250669000
2004-05-14,1250669000
2004-05-17,1238136200
2004-05-18,1245447000
2004-05-19,1244402600
2004-05-20,1255368800
2004-05-21,1242836000
2004-05-24,1262679600
2004-05-25,1286700800
2004-05-26,1285656400
2004-05-27,1288267400
2004-05-28,1294533800
2004-06-01,1289834000
2004-06-02,1289311800
2004-06-03,1276779000
2004-06-04,1273123600
2004-06-07,1296100400
2004-06-08,1290356200
2004-06-09,1279390000
2004-06-10,1297667000
2004-06-14,1289311800
2004-06-15,1308111000
2004-06-16,1305500000
2004-06-17,1281478800
2004-06-18,1275212400
2004-06-21,1285134200
2004-06-22,1292445000
2004-06-23,1295578200
2004-06-24,1302889000
2004-06-25,1315944000
2004-06-28,1311244200
2004-06-29,1318555000
2004-06-30,1927833600
2004-07-01,1900723440
2004-07-02,1906747920
2004-07-06,1942894800
2004-07-07,1920303000
2004-07-08,1896205080
2004-07-09,1899217320
2004-07-12,1893192840
2004-07-13,1875872460
2004-07-14,1881143880
2004-07-15,1903735680
2004-07-16,1911266280
2004-07-19,1911266280
2004-07-20,1908254040
2004-07-21,1896958140
2004-07-22,1875119400
2004-07-23,1871354100
2004-07-26,1857045960
2004-07-27,1863823500
2004-07-28,1869847979
2004-07-29,1884909180
2004-07-30,1895452020
2004-08-02,1901476500
2004-08-03,1897711200
2004-08-04,1912772400
2004-08-05,1867588800
2004-08-06,1859305140
2004-08-09,1860058200
2004-08-10,1903735680
2004-08-11,1906747920
2004-08-12,1877378580
2004-08-13,1878884700
2004-08-16,1918043820
2004-08-17,1894698960
2004-08-18,1912772400
2004-08-19,1901476500
2004-08-20,1893945900
2004-08-23,1853280660
2004-08-24,1857799020
2004-08-25,1869094920
2004-08-26,1867588800
2004-08-27,1866082680
2004-08-30,1861564320
2004-08-31,1904488740
2004-09-01,1920303000
2004-09-02,1909007100
2004-09-03,1901476500
2004-09-07,1930845840
2004-09-08,1927080540
2004-09-09,1934611140
2004-09-10,1947413160
2004-09-13,1930092780
2004-09-14,1912019340
2004-09-15,1916537700
2004-09-16,1930092780
2004-09-17,1939882560
2004-09-20,1921056060
2004-09-21,1918796880
2004-09-22,1882650000
2004-09-23,1869847979
2004-09-24,1873613280
2004-09-27,1873613280
2004-09-28,1882650000
2004-09-29,1891686720
2004-09-30,1896958140
2004-10-01,1926327479
2004-10-04,1921809120
2004-10-05,1923315240
2004-10-06,1942894800
2004-10-07,1915784640
2004-10-08,1918796880
2004-10-11,1927080540
2004-10-12,1942894800
2004-10-13,1902229560
2004-10-14,1896205080
2004-10-15,1893192840
2004-10-18,1871354100
2004-10-19,1882650000
2004-10-20,1887921420
2004-10-21,1897711200
2004-10-22,1912772400
2004-10-25,1897711200
2004-10-26,1903735680
2004-10-27,1908254040
2004-10-28,1939129500
2004-10-29,1943647860
2004-11-01,1930092780
2004-11-02,1910513220
2004-11-03,1945153979
2004-11-04,1974523320
2004-11-05,1958709060
2004-11-08,1943647860
2004-11-09,1960215180
2004-11-10,1987325340
2004-11-11,1985819220
2004-11-12,2013682440
2004-11-15,2010670200
2004-11-16,1974523320
2004-11-17,1991090640
2004-11-18,1994855940
2004-11-19,1975276380
2004-11-22,1961721300
2004-11-23,2018200800
2004-11-24,2024978340
