,MAC
2000-10-18,650568896
2000-10-19,654759356
2000-10-20,656854586
2000-10-23,644632411
2000-10-24,638695926
2000-10-25,640441951
2000-10-26,636600696
2000-10-27,646727641
2000-10-30,632410236
2000-10-31,634505466
2000-11-01,628568982
2000-11-02,624378522
2000-11-03,626473752
2000-11-06,626473752
2000-11-07,640441951
2000-11-08,650568896
2000-11-09,652664126
2000-11-10,596092917
2000-11-13,602029402
2000-11-14,606219862
2000-11-15,602029402
2000-11-16,610410322
2000-11-17,612156347
2000-11-20,614251577
2000-11-21,616346807
2000-11-22,614251577
2000-11-24,616346807
2000-11-27,618442037
2000-11-28,622283292
2000-11-29,616346807
2000-11-30,620537267
2000-12-01,618442037
2000-12-04,616346807
2000-12-05,624378522
2000-12-06,620537267
2000-12-07,622283292
2000-12-08,624378522
2000-12-11,642537181
2000-12-12,642537181
2000-12-13,634505466
2000-12-14,640441951
2000-12-15,640441951
2000-12-18,638695926
2000-12-19,638695926
2000-12-20,630315006
2000-12-21,626473752
2000-12-22,620537267
2000-12-26,628568982
2000-12-27,630315006
2000-12-28,624378522
2000-12-29,620537267
2001-01-02,606219862
2001-01-03,624378522
2001-01-04,630315006
2001-01-05,626473752
2001-01-08,630315006
2001-01-09,632410236
2001-01-10,654759356
2001-01-11,664886300
2001-01-12,664886300
2001-01-16,668727555
2001-01-17,662791071
2001-01-18,668727555
2001-01-19,670822785
2001-01-22,677108475
2001-01-23,675013245
2001-01-24,666981530
2001-01-25,664886300
2001-01-26,668727555
2001-01-29,666632325
2001-01-30,673616425
2001-01-31,672918015
2001-02-01,676759270
2001-02-02,673267220
2001-02-05,681997345
2001-02-06,683044960
2001-02-07,667679940
2001-02-08,677457680
2001-02-09,668378350
2001-02-12,672918015
2001-02-13,663140276
2001-02-14,670473580
2001-02-15,679203705
2001-02-16,682346550
2001-02-20,671171990
2001-02-21,659997431
2001-02-22,662791071
2001-02-23,661045046
2001-02-26,672568810
2001-02-27,672918015
2001-02-28,670473580
2001-03-01,670822785
2001-03-02,673965630
2001-03-05,673965630
2001-03-06,675711655
2001-03-07,678854500
2001-03-08,678854500
2001-03-09,673965630
2001-03-12,667679940
2001-03-13,672219605
2001-03-14,667679940
2001-03-15,665933915
2001-03-16,672568810
2001-03-19,676060860
2001-03-20,678854500
2001-03-21,679203705
2001-03-22,682695755
2001-03-23,687584625
2001-03-26,697013160
2001-03-27,696663955
2001-03-28,691076675
2001-03-29,691775085
2001-03-30,709584539
2001-04-02,714100619
2001-04-03,693066728
2001-04-04,691664468
2001-04-05,702882544
2001-04-06,694468987
2001-04-09,697624071
2001-04-10,704284803
2001-04-11,695520682
2001-04-12,704284803
2001-04-16,715853444
2001-04-17,719709657
2001-04-18,725318695
2001-04-19,720410787
2001-04-20,723916435
2001-04-23,724617565
2001-04-24,720761352
2001-04-25,723916435
2001-04-26,727772649
2001-04-27,738990724
2001-04-30,730226603
2001-05-01,740042419
2001-05-02,731628862
2001-05-03,732680557
2001-05-04,745300892
2001-05-07,739341289
2001-05-08,741094114
2001-05-09,735485076
2001-05-10,728824343
2001-05-11,730226603
2001-05-14,735134511
2001-05-15,743197503
2001-05-16,750909930
2001-05-17,746703151
2001-05-18,749157105
2001-05-21,751611059
2001-05-22,756518967
2001-05-23,760024616
2001-05-24,764231394
2001-05-25,757921227
2001-05-29,755116708
2001-05-30,747053716
2001-05-31,758972921
2001-06-01,759323486
2001-06-04,762829135
2001-06-05,759674051
2001-06-06,756168403
2001-06-07,760725746
2001-06-08,762829135
2001-06-11,774047210
2001-06-12,774047210
2001-06-13,778955118
2001-06-14,771943821
2001-06-15,774047210
2001-06-18,768438173
2001-06-19,755116708
2001-06-20,772995516
2001-06-21,774047210
2001-06-22,772644951
2001-06-25,777202294
2001-06-26,790523759
2001-06-27,784914721
2001-06-28,786316980
2001-06-29,804896918
2001-07-02,801844011
2001-07-03,814504706
2001-07-05,802547383
2001-07-06,806064243
2001-07-09,799382209
2001-07-10,796217036
2001-07-11,791293432
2001-07-12,797623779
2001-07-13,799733895
2001-07-16,793051862
2001-07-17,799382209
2001-07-18,797975465
2001-07-19,792700176
2001-07-20,799733895
2001-07-23,788128258
2001-07-24,779687795
2001-07-25,782149597
2001-07-26,786369828
2001-07-27,788479944
2001-07-30,776522621
2001-07-31,784611399
2001-08-01,774412505
2001-08-02,779687795
2001-08-03,782149597
2001-08-06,781094539
2001-08-07,794458606
2001-08-08,794458606
2001-08-09,797975465
2001-08-10,799382209
2001-08-13,799382209
2001-08-14,815559764
2001-08-15,820483368
2001-08-16,804305813
2001-08-17,813449648
2001-08-20,813449648
2001-08-21,819076624
2001-08-22,820483368
2001-08-23,820483368
2001-08-24,818021566
2001-08-27,817669880
2001-08-28,814856392
2001-08-29,815559764
2001-08-30,813097962
2001-08-31,806064243
2001-09-04,814856392
2001-09-05,816263136
2001-09-06,805009185
2001-09-07,795161978
2001-09-10,793051862
2001-09-17,735375363
2001-09-18,746629314
2001-09-19,748739430
2001-09-20,713219147
2001-09-21,708295543
2001-09-24,700206766
2001-09-25,717791064
2001-09-26,723769726
2001-09-27,707943857
2001-09-28,719549494
2001-10-01,712221181
2001-10-02,720262952
2001-10-03,707326190
2001-10-04,726556512
2001-10-05,730052934
2001-10-08,722011163
2001-10-09,731451503
2001-10-10,745087549
2001-10-11,764317871
2001-10-12,760821448
2001-10-15,780751054
2001-10-16,776904990
2001-10-17,780051770
2001-10-18,759422880
2001-10-19,763618586
2001-10-22,767115008
2001-10-23,774807137
2001-10-24,776904990
2001-10-25,772709284
2001-10-26,770611430
2001-10-29,773758210
2001-10-30,765017155
2001-10-31,783548192
2001-11-01,780051770
2001-11-02,770611430
2001-11-05,777254632
2001-11-06,791589963
2001-11-07,789841752
2001-11-08,788443183
2001-11-09,786694972
2001-11-12,786694972
2001-11-13,799631734
2001-11-14,811519569
2001-11-15,809421716
2001-11-16,812568496
2001-11-19,815015991
2001-11-20,812918138
2001-11-21,812568496
2001-11-23,825854900
2001-11-26,823757046
2001-11-27,818862055
2001-11-28,814316707
2001-11-29,814316707
2001-11-30,813617422
2001-12-03,819561340
2001-12-04,830400248
2001-12-05,841588799
2001-12-06,839141304
2001-12-07,840190230
2001-12-10,836693808
2001-12-11,846483790
2001-12-12,846833432
2001-12-13,849630570
2001-12-14,852078065
2001-12-17,852777350
2001-12-18,849630570
2001-12-19,836693808
2001-12-20,827253468
2001-12-21,840190230
2001-12-24,840889515
2001-12-26,849630570
2001-12-27,848232001
2001-12-28,853476634
2001-12-31,888062777
2002-01-02,888062777
2002-01-03,898519058
2002-01-04,894913444
2002-01-07,888783900
2002-01-08,880490987
2002-01-09,877967057
2002-01-10,880490987
2002-01-11,884817724
2002-01-14,889144461
2002-01-15,896355690
2002-01-16,886259970
2002-01-17,892389514
2002-01-18,893831760
2002-01-22,898519058
2002-01-23,902124672
2002-01-24,903927479
2002-01-25,900682427
2002-01-28,906811971
2002-01-29,905369725
2002-01-30,914744322
2002-01-31,920513305
2002-02-01,918710498
2002-02-04,914744322
2002-02-05,916547129
2002-02-06,912941515
2002-02-07,910417585
2002-02-08,917628813
2002-02-11,925200603
2002-02-12,925200603
2002-02-13,930248463
2002-02-14,926642849
2002-02-15,933493516
2002-02-19,929887902
2002-02-20,914744322
2002-02-21,916186568
2002-02-22,932411832
2002-02-25,933493516
2002-02-26,915826006
2002-02-27,910417585
2002-02-28,912941515
2002-03-01,929166779
2002-03-04,934575200
2002-03-05,934214639
2002-03-06,950079341
2002-03-07,951521587
2002-03-08,944670920
2002-03-11,934575200
2002-03-12,928445656
2002-03-13,927724533
2002-03-14,938541376
2002-03-15,967025728
2002-03-18,976400325
2002-03-19,974958079
2002-03-20,966665167
2002-03-21,983972115
2002-03-22,988659413
2002-03-25,986135483
2002-03-26,1000197379
2002-03-27,1005605800
2002-03-28,1006687484
2002-04-01,1044345246
2002-04-02,1046602476
2002-04-03,1048859707
2002-04-04,1047354887
2002-04-05,1051869347
2002-04-08,1062403089
2002-04-09,1080460932
2002-04-10,1092875699
2002-04-11,1075194061
2002-04-12,1096637749
2002-04-15,1077827496
2002-04-16,1053750373
2002-04-17,1036068735
2002-04-18,1031554274
2002-04-19,1026287403
2002-04-22,1003338895
2002-04-23,980390386
2002-04-24,990924128
2002-04-25,1001834074
2002-04-26,999576844
2002-04-29,993933768
2002-04-30,1022149148
2002-05-01,1031178069
2002-05-02,1044345246
2002-05-03,1044345246
2002-05-06,1034563915
2002-05-07,1036068735
2002-05-08,1029297044
2002-05-09,1021020532
2002-05-10,1011991611
2002-05-13,1031554274
2002-05-14,1053750373
2002-05-15,1054878988
2002-05-16,1039454580
2002-05-17,1037573555
2002-05-20,1040959401
2002-05-21,1029297044
2002-05-22,1011239201
2002-05-23,1009734381
2002-05-24,1006348535
2002-05-28,1004843715
2002-05-29,1003338895
2002-05-30,1000329254
2002-05-31,994309973
2002-06-03,990924128
2002-06-04,986785872
2002-06-05,978885566
2002-06-06,989419307
2002-06-07,998072024
2002-06-10,992805153
2002-06-11,990924128
2002-06-12,996190998
2002-06-13,988666897
2002-06-14,994309973
2002-06-17,1008981970
2002-06-18,1006724740
2002-06-19,1015377456
2002-06-20,1044345246
2002-06-21,1069174780
2002-06-24,1055255193
2002-06-25,1066917550
2002-06-26,1065788934
2002-06-27,1078579907
2002-06-28,1079708522
2002-07-01,1080274572
2002-07-02,1059572446
2002-07-03,1050915193
2002-07-05,1064842078
2002-07-08,1052420802
2002-07-09,1056184825
2002-07-10,1043010745
2002-07-11,1029836665
2002-07-12,1022685021
2002-07-15,1010640148
2002-07-16,1017415389
2002-07-17,1010640148
2002-07-18,983162781
2002-07-19,975634735
2002-07-22,963589862
2002-07-23,928584449
2002-07-24,942887736
2002-07-25,961707850
2002-07-26,975634735
2002-07-29,1033977090
2002-07-30,1049033182
2002-07-31,1041881538
2002-08-01,1047151170
2002-08-02,1039246722
2002-08-05,1035482699
2002-08-06,1038870320
2002-08-07,1059948848
2002-08-08,1057690434
2002-08-09,1059572446
2002-08-12,1071617319
2002-08-13,1054302814
2002-08-14,1060701653
2002-08-15,1064842078
2002-08-16,1080274572
2002-08-19,1071617319
2002-08-20,1073499331
2002-08-21,1080274572
2002-08-22,1079521767
2002-08-23,1054302814
2002-08-26,1062960066
2002-08-27,1045645561
2002-08-28,1061830860
2002-08-29,1066347687
2002-08-30,1062207262
2002-09-03,1059572446
2002-09-04,1068229699
2002-09-05,1064842078
2002-09-06,1066347687
2002-09-09,1067853296
2002-09-10,1069735308
2002-09-11,1069735308
2002-09-12,1068606101
2002-09-13,1076886951
2002-09-16,1066724089
2002-09-17,1071240917
2002-09-18,1072370124
2002-09-19,1072746526
2002-09-20,1074628537
2002-09-23,1076134147
2002-09-24,1071617319
2002-09-25,1066347687
2002-09-26,1081780181
2002-09-27,1081780181
2002-09-30,1541370119
2002-10-01,1530083936
2002-10-02,1502674634
2002-10-03,1490313577
2002-10-04,1458604777
2002-10-07,1418834419
2002-10-08,1409160548
2002-10-09,1369927626
2002-10-10,1415609795
2002-10-11,1430658039
2002-10-14,1408085673
2002-10-15,1440331910
2002-10-16,1435494974
2002-10-17,1443019096
2002-10-18,1430658039
2002-10-21,1421521605
2002-10-22,1418296981
2002-10-23,1423671354
2002-10-24,1439257035
2002-10-25,1448393469
2002-10-28,1424746229
2002-10-29,1405398487
2002-10-30,1407548236
2002-10-31,1415609795
2002-11-01,1429583164
2002-11-04,1433345225
2002-11-05,1440331910
2002-11-06,1435494974
2002-11-07,1438182161
2002-11-08,1440331910
2002-11-11,1443019096
2002-11-12,1440331910
2002-11-13,1455380154
2002-11-14,1460754527
2002-11-15,1470428398
2002-11-18,1445706283
2002-11-19,1447856032
2002-11-20,1443019096
2002-11-21,1443556534
2002-11-22,1447856032
2002-11-25,1457529903
2002-11-26,1477415082
2002-11-27,1495150512
2002-11-29,1513423380
2002-12-02,1512885943
2002-12-03,1505361821
2002-12-04,1511811068
2002-12-05,1515035692
2002-12-06,1530083936
2002-12-09,1534920871
2002-12-10,1537608058
2002-12-11,1531158810
2002-12-12,1534383434
2002-12-13,1519335190
2002-12-16,1551043990
2002-12-17,1531158810
2002-12-18,1513960817
2002-12-19,1514498255
2002-12-20,1517722878
2002-12-23,1537608058
2002-12-24,1533308559
2002-12-26,1533845997
2002-12-27,1517185441
2002-12-30,1513960817
2002-12-31,1530083936
2003-01-02,1527396749
2003-01-03,1525247000
2003-01-06,1537608058
2003-01-07,1503749509
2003-01-08,1482789455
2003-01-09,1487626391
2003-01-10,1478489957
2003-01-13,1483326892
2003-01-14,1475265333
2003-01-15,1477952520
2003-01-16,1462904276
2003-01-17,1473115584
2003-01-21,1475265333
2003-01-22,1468816086
2003-01-23,1470428398
2003-01-24,1454842716
2003-01-27,1433882663
2003-01-28,1442481659
2003-01-29,1447856032
2003-01-30,1443019096
2003-01-31,1477952520
2003-02-03,1479027394
2003-02-04,1500524885
2003-02-05,1500524885
2003-02-06,1505361821
2003-02-07,1496762824
2003-02-10,1521484939
2003-02-11,1515035692
2003-02-12,1509661319
2003-02-13,1514498255
2003-02-14,1520410065
2003-02-18,1549969115
2003-02-19,1555880925
2003-02-20,1542444993
2003-02-21,1567704545
2003-02-24,1567704545
2003-02-25,1572541481
2003-02-26,1572004044
2003-02-27,1592426660
2003-02-28,1599950782
2003-03-03,1587589725
2003-03-04,1576303542
2003-03-05,1575766104
2003-03-06,1581140477
2003-03-07,1582752789
2003-03-10,1570391732
2003-03-11,1562330172
2003-03-12,1559105549
2003-03-13,1567167108
2003-03-14,1567704545
2003-03-17,1609624653
2003-03-18,1612311840
2003-03-19,1639721141
2003-03-20,1641333453
2003-03-21,1650469886
2003-03-24,1613924151
2003-03-25,1617148775
2003-03-26,1617686212
2003-03-27,1602100531
2003-03-28,1599950782
2003-03-31,1579378646
2003-04-01,1615995675
2003-04-02,1635381162
2003-04-03,1627303876
2003-04-04,1603072018
2003-04-07,1620303561
2003-04-08,1638073590
2003-04-09,1645073905
2003-04-10,1639150562
2003-04-11,1627842361
2003-04-14,1642919962
2003-04-15,1629457818
2003-04-16,1628919333
2003-04-17,1645073905
2003-04-21,1645073905
2003-04-22,1664997877
2003-04-23,1675229106
2003-04-24,1652612705
2003-04-25,1661766962
2003-04-28,1661228477
2003-04-29,1656920591
2003-04-30,1645073905
2003-05-01,1652074219
2003-05-02,1678460020
2003-05-05,1690306706
2003-05-06,1707538249
2003-05-07,1684921849
2003-05-08,1684383363
2003-05-09,1687614277
2003-05-12,1688152763
2003-05-13,1699460963
2003-05-14,1690306706
2003-05-15,1720461907
2003-05-16,1694076106
2003-05-19,1706999764
2003-05-20,1728000707
2003-05-21,1746847708
2003-05-22,1752232565
2003-05-23,1762463794
2003-05-27,1744155279
2003-05-28,1727462221
2003-05-29,1697307020
2003-05-30,1719923421
2003-06-02,1742539822
2003-06-03,1751155593
2003-06-04,1764079251
2003-06-05,1772695023
2003-06-06,1783464737
2003-06-09,1772695023
2003-06-10,1816312367
2003-06-11,1818466310
2003-06-12,1787234137
2003-06-13,1755463479
2003-06-16,1773771994
2003-06-17,1754386508
2003-06-18,1718846450
2003-06-19,1711846135
2003-06-20,1708615221
2003-06-23,1682767906
2003-06-24,1674152134
2003-06-25,1699999449
2003-06-26,1740385879
2003-06-27,1742001336
2003-06-30,1803089332
2003-07-01,1828032160
2003-07-02,1865723545
2003-07-03,1872374966
2003-07-07,1903414930
2003-07-08,1894546369
2003-07-09,1865723545
2003-07-10,1839117862
2003-07-11,1880689242
2003-07-14,1890666373
2003-07-15,1884014952
2003-07-16,1886786378
2003-07-17,1837455007
2003-07-18,1847432138
2003-07-21,1847432138
2003-07-22,1862952120
2003-07-23,1861843550
2003-07-24,1880689242
2003-07-25,1888449233
2003-07-28,1875700676
2003-07-29,1882906382
2003-07-30,1924477763
2003-07-31,1915609201
2003-08-01,1891220658
2003-08-04,1897872079
2003-08-05,1896763509
2003-08-06,1893437799
2003-08-07,1911729206
2003-08-08,1916717772
2003-08-11,1921706337
2003-08-12,1920597767
2003-08-13,1911729206
2003-08-14,1908957781
2003-08-15,1908957781
2003-08-18,1891220658
2003-08-19,1880689242
2003-08-20,1885677808
2003-08-21,1872929251
2003-08-22,1857963554
2003-08-25,1835792151
2003-08-26,1872929251
2003-08-27,1893437799
2003-08-28,1886786378
2003-08-29,1908957781
2003-09-02,1942214885
2003-09-03,1962169147
2003-09-04,1972700564
2003-09-05,1949974876
2003-09-08,1949974876
2003-09-09,1937226319
2003-09-10,1917826342
2003-09-11,1942214885
2003-09-12,1902860645
2003-09-15,1896209224
2003-09-16,1898980649
2003-09-17,1893437799
2003-09-18,1886232093
2003-09-19,1888449233
2003-09-22,1872929251
2003-09-23,1893437799
2003-09-24,1888449233
2003-09-25,1908957781
2003-09-26,1903969215
2003-09-29,1911729206
2003-09-30,2093967703
2003-10-01,2124523454
2003-10-02,2146691353
2003-10-03,2180242767
2003-10-06,2201212400
2003-10-07,2204807195
2003-10-08,2187432355
2003-10-09,2214992445
2003-10-10,2195820209
2003-10-13,2214992445
2003-10-14,2234164682
2003-10-15,2232966417
2003-10-16,2249142992
2003-10-17,2207802857
2003-10-20,2199415003
2003-10-21,2216789843
2003-10-22,2210798519
2003-10-23,2195820209
2003-10-24,2191027150
2003-10-27,2226975093
2003-10-28,2185035826
2003-10-29,2202410665
2003-10-30,2213195048
2003-10-31,2229970755
2003-11-03,2274306552
2003-11-04,2268914360
2003-11-05,2291082259
2003-11-06,2292879656
2003-11-07,2327030202
2003-11-10,2321638011
2003-11-11,2321638011
2003-11-12,2327030202
2003-11-13,2330025864
2003-11-14,2350396365
2003-11-17,2334818923
2003-11-18,2356986822
2003-11-19,2313250157
2003-11-20,2274306552
2003-11-21,2277302214
2003-11-24,2293478788
2003-11-25,2313250157
2003-11-26,2324034540
2003-11-28,2340810247
2003-12-01,2351594630
2003-12-02,2358784219
2003-12-03,2368370337
2003-12-04,2367771205
2003-12-05,2371365999
2003-12-08,2360581616
2003-12-09,2369568602
2003-12-10,2357585954
2003-12-11,2368370337
2003-12-12,2395930427
2003-12-15,2424089649
2003-12-16,2446257548
2003-12-17,2449852342
2003-12-18,2424089649
2003-12-19,2410309604
2003-12-22,2404917413
2003-12-23,2389339971
2003-12-24,2406115678
2003-12-26,2399525221
2003-12-29,2413305266
2003-12-30,2452248872
2003-12-31,2497239243
2004-01-02,2446930783
2004-01-05,2455416547
2004-01-06,2469357446
2004-01-07,2503300503
2004-01-08,2494814739
2004-01-09,2509967890
2004-01-12,2486935101
2004-01-13,2519059780
2004-01-14,2539061939
2004-01-15,2525121040
2004-01-16,2547547704
2004-01-20,2503906629
2004-01-21,2542092569
2004-01-22,2553608964
2004-01-23,2615433819
2004-01-26,2676652548
2004-01-27,2724536504
2004-01-28,2693624077
2004-01-29,2688168943
2004-01-30,2700897589
2004-02-02,2736052899
2004-02-03,2738477403
2004-02-04,2712413984
2004-02-05,2683926060
2004-02-06,2742114159
2004-02-09,2780906225
2004-02-10,2823941173
2004-02-11,2850610719
2004-02-12,2836063694
2004-02-13,2811818653
2004-02-17,2811212527
2004-02-18,2819698291
2004-02-19,2756661184
2004-02-20,2737265151
2004-02-23,2716050740
2004-02-24,2716050740
2004-02-25,2751206050
2004-02-26,2747569293
2004-02-27,2772420461
2004-03-01,2803332888
2004-03-02,2805151266
2004-03-03,2834851442
2004-03-04,2859096483
2004-03-05,2903949809
2004-03-08,2919709086
2004-03-09,2934862237
2004-03-10,2918496834
2004-03-11,2890008911
2004-03-12,2918496834
2004-03-15,2911223322
2004-03-16,2898494675
2004-03-17,2914860078
2004-03-18,2963350160
2004-03-19,2936680615
2004-03-22,2918496834
2004-03-23,2929407102
2004-03-24,2906980439
2004-03-25,2918496834
2004-03-26,2910011070
2004-03-29,2949409261
2004-03-30,2982746193
2004-03-31,3036068344
2004-04-01,3059188704
2004-04-02,3010514262
2004-04-05,2855972907
2004-04-06,2681353345
2004-04-07,2630853611
2004-04-08,2614425987
2004-04-12,2422161939
2004-04-13,2439197994
2004-04-14,2411210190
2004-04-15,2472053243
2004-04-16,2504908492
2004-04-19,2537155310
2004-04-20,2416686065
2004-04-21,2405125885
2004-04-22,2452583466
2004-04-23,2425812523
2004-04-26,2450149744
2004-04-27,2458059341
2004-04-28,2426420953
2004-04-29,2375921219
2004-04-30,2358885164
2004-05-03,2349150276
2004-05-04,2360102025
2004-05-05,2353409290
2004-05-06,2375312789
2004-05-07,2292566237
2004-05-10,2239024350
2004-05-11,2246933947
2004-05-12,2281614487
2004-05-13,2292566237
2004-05-14,2326638346
2004-05-17,2322379333
2004-05-18,2378963372
2004-05-19,2310210722
2004-05-20,2371053775
2004-05-21,2388698260
2004-05-24,2372270636
2004-05-25,2439197994
2004-05-26,2490306159
2004-05-27,2532287865
2004-05-28,2549323920
2004-06-01,2518293963
2004-06-02,2572444280
2004-06-03,2538980601
2004-06-04,2551757642
2004-06-07,2573052711
2004-06-08,2580353877
2004-06-09,2557233517
2004-06-10,2555408226
2004-06-14,2518293963
2004-06-15,2582179169
2004-06-16,2608341682
2004-06-17,2633895764
2004-06-18,2664317290
2004-06-21,2708732719
2004-06-22,2704473705
2004-06-23,2706907427
2004-06-24,2689871373
2004-06-25,2686829220
2004-06-28,2725768774
2004-06-29,2642413791
2004-06-30,2699370540
2004-07-01,2695716157
2004-07-02,2777330700
2004-07-06,2759058787
2004-07-07,2796820740
2004-07-08,2729214663
2004-07-09,2745050321
2004-07-12,2771849126
2004-07-13,2720078707
2004-07-14,2755404405
2004-07-15,2764540361
2004-07-16,2751140958
2004-07-19,2812656397
2004-07-20,2791339166
2004-07-21,2757840660
2004-07-22,2666481097
2004-07-23,2628110081
2004-07-26,2642118547
2004-07-27,2633591655
2004-07-28,2649427312
2004-07-29,2645772930
2004-07-30,2701197731
2004-08-02,2735305301
2004-08-03,2785857592
2004-08-04,2794384485
2004-08-05,2749313767
2004-08-06,2737741556
2004-08-09,2729214663
2004-08-10,2726778408
2004-08-11,2720687771
2004-08-12,2700588667
2004-08-13,2707288368
2004-08-16,2720687771
2004-08-17,2737741556
2004-08-18,2740177811
2004-08-19,2711551815
2004-08-20,2874780900
2004-08-23,2875999027
2004-08-24,2969794845
2004-08-25,2946041358
2004-08-26,2948477613
2004-08-27,3051409387
2004-08-30,3047755005
2004-08-31,3073335682
2004-09-01,3042273431
2004-09-02,3045318750
2004-09-03,3058718152
2004-09-07,3134242057
2004-09-08,3145814268
2004-09-09,3022783391
2004-09-10,3039228112
2004-09-13,3005729606
2004-09-14,2958222633
2004-09-15,2972231100
2004-09-16,3070290363
2004-09-17,3048364068
2004-09-20,3016692753
2004-09-21,2988066757
2004-09-22,2974667355
2004-09-23,2950304805
2004-09-24,2945432295
2004-09-27,2966140462
2004-09-28,2964922335
2004-09-29,2986848630
2004-09-30,3000649006
2004-10-01,3046260817
2004-10-04,3049301604
2004-10-05,3078493163
2004-10-06,3085791053
2004-10-07,3059640281
2004-10-08,3090656313
2004-10-11,3085791053
2004-10-12,3130794707
2004-10-13,3130794707
2004-10-14,3161810738
2004-10-15,3195259399
2004-10-18,3212287809
2004-10-19,3203773604
2004-10-20,3217761226
2004-10-21,3265805667
2004-10-22,3241479368
2004-10-25,3223842801
2004-10-26,3298038014
2004-10-27,3320539840
2004-10-28,3346082454
2004-10-29,3364327179
2004-11-01,3384396376
