,IVZ
2001-06-13,29237980199
2001-06-14,28182835460
2001-06-15,27353217840
2001-06-18,27796217540
2001-06-19,28190890000
2001-06-20,26741072800
2001-06-21,27216290660
2001-06-22,27079363479
2001-06-25,27586799500
2001-06-26,27361272380
2001-06-27,27522363180
2001-06-28,27755944840
2001-06-29,27892872020
2001-07-02,28712187000
2001-07-03,28550428199
2001-07-05,27013719600
2001-07-06,25379955720
2001-07-09,25339516020
2001-07-10,24368963220
2001-07-11,24255732060
2001-07-12,25954199460
2001-07-13,25881408000
2001-07-16,25687297440
2001-07-17,24951294900
2001-07-18,25525538640
2001-07-19,25557890400
2001-07-20,24708656700
2001-07-23,24239556180
2001-07-24,23155772220
2001-07-25,23139596340
2001-07-26,23010189300
2001-07-27,24668217000
2001-07-30,25274812500
2001-07-31,25832880360
2001-08-01,26447563800
2001-08-02,26609322600
2001-08-03,26884312560
2001-08-06,26488003500
2001-08-07,27054159300
2001-08-08,26423299980
2001-08-09,26188749720
2001-08-10,25719649200
2001-08-13,26180661779
2001-08-14,26156397960
2001-08-15,25477011000
2001-08-16,25072614000
2001-08-17,24263820000
2001-08-20,24749096400
2001-08-21,24991734600
2001-08-22,24910855200
2001-08-23,24263820000
2001-08-24,25396131600
2001-08-27,24935119020
2001-08-28,23624872740
2001-08-29,24053533560
2001-08-30,23333706900
2001-08-31,23535905400
2001-09-04,23616784800
2001-09-05,23293267200
2001-09-06,21691855080
2001-09-07,21190402800
2001-09-10,19500023340
2001-09-17,17793468000
2001-09-18,17389071000
2001-09-19,16224407639
2001-09-20,15609724200
2001-09-21,14477412599
2001-09-24,16151616180
2001-09-25,16103088540
2001-09-26,16062648840
2001-09-27,17219224260
2001-09-28,17356719240
2001-10-01,16960410180
2001-10-02,17073641340
2001-10-03,18197865000
2001-10-04,19653694200
2001-10-05,19815453000
2001-10-08,18885339900
2001-10-09,19047098700
2001-10-10,20422048500
2001-10-11,21247018380
2001-10-12,19815453000
2001-10-15,19629430380
2001-10-16,20219850000
2001-10-17,20543367600
2001-10-18,20058091200
2001-10-19,20341169100
2001-10-22,20454400260
2001-10-23,20947764600
2001-10-24,20891149020
2001-10-25,20988204300
2001-10-26,20794093740
2001-10-29,20664686700
2001-10-30,19491935400
2001-10-31,19249297200
2001-11-01,19572814800
2001-11-02,20219850000
2001-11-05,20866885200
2001-11-06,21344073660
2001-11-07,21635239500
2001-11-08,22807990800
2001-11-09,22298450580
2001-11-12,21586711860
2001-11-13,22921221960
2001-11-14,22913134020
2001-11-15,23455026000
2001-11-16,24498370260
2001-11-19,24538809960
2001-11-20,23293267200
2001-11-21,23050629000
2001-11-23,23002101360
2001-11-26,23455026000
2001-11-27,23535905400
2001-11-28,22565352600
2001-11-29,22872694320
2001-11-30,22807990800
2001-12-03,22363154100
2001-12-04,21966845040
2001-12-05,23940302400
2001-12-06,24061621500
2001-12-07,24506458200
2001-12-10,23786631540
2001-12-11,24296171760
2001-12-12,23576345100
2001-12-13,23689576260
2001-12-14,23495465700
2001-12-17,24546897900
2001-12-18,24045445620
2001-12-19,24344699400
2001-12-20,23131508400
2001-12-21,23495465700
2001-12-24,23414586300
2001-12-26,23091068700
2001-12-27,23252827500
2001-12-28,23641048620
2001-12-31,23471201880
2002-01-02,23861388320
2002-01-03,24543374240
2002-01-04,25249716800
2002-01-07,25127933600
2002-01-08,24892486080
2002-01-09,24835653920
2002-01-10,24648919680
2002-01-11,24843772800
2002-01-14,24843772800
2002-01-15,24957437120
2002-01-16,24348521120
2002-01-17,24194262400
2002-01-18,23544752000
2002-01-22,23017024800
2002-01-23,22294444480
2002-01-24,23179402400
2002-01-25,22464940960
2002-01-28,22002164800
2002-01-29,21109088000
2002-01-30,21718004000
2002-01-31,22602961920
2002-02-01,22050878080
2002-02-04,21320178880
2002-02-05,20492053120
2002-02-06,19542144160
2002-02-07,19769472800
2002-02-08,19980563680
2002-02-11,21003542560
2002-02-12,20776213920
2002-02-13,20621955200
2002-02-14,20735619520
2002-02-15,20240367840
2002-02-19,19485312000
2002-02-20,18957584800
2002-02-21,18933228160
2002-02-22,19209270080
2002-02-25,19331053280
2002-02-26,19420360960
2002-02-27,19980563680
2002-02-28,19404123200
2002-03-01,20345913280
2002-03-04,22408108800
2002-03-05,21596220800
2002-03-06,22164542400
2002-03-07,22805933920
2002-03-08,22854647200
2002-03-11,22521773120
2002-03-12,22115829120
2002-03-13,22002164800
2002-03-14,22976430400
2002-03-15,22724745120
2002-03-18,22976430400
2002-03-19,23130689120
2002-03-20,22692269600
2002-03-21,22456822080
2002-03-22,22919598240
2002-03-25,22521773120
2002-03-26,22237612320
2002-03-27,22473059840
2002-03-28,22521773120
2002-04-01,22466399200
2002-04-02,22344520000
2002-04-03,22222640800
2002-04-04,22344520000
2002-04-05,21970757120
2002-04-08,21369486400
2002-04-09,21223231360
2002-04-10,21150103840
2002-04-11,20093817440
2002-04-12,20069441600
2002-04-15,20313200000
2002-04-16,20995723520
2002-04-17,21450739200
2002-04-18,20556958400
2002-04-19,20134443840
2002-04-22,19297540000
2002-04-23,19508797280
2002-04-24,19248788320
2002-04-25,19175660800
2002-04-26,18501262560
2002-04-29,17672484000
2002-04-30,17672484000
2002-05-01,17810613760
2002-05-02,18525638400
2002-05-03,18005620480
2002-05-06,17997495200
2002-05-07,17453101440
2002-05-08,18379383360
2002-05-09,17745611520
2002-05-10,17566855360
2002-05-13,17656233440
2002-05-14,18346882240
2002-05-15,18387508640
2002-05-16,17924367680
2002-05-17,17526228960
2002-05-20,17193092480
2002-05-21,17087463840
2002-05-22,16981835199
2002-05-23,17103714400
2002-05-24,17079338560
2002-05-28,16794953760
2002-05-29,16169307199
2002-05-30,15949924640
2002-05-31,16413065600
2002-06-03,16096179679
2002-06-04,15966175199
2002-06-05,16096179679
2002-06-06,15738667360
2002-06-07,15340528640
2002-06-10,15332403360
2002-06-11,14877387679
2002-06-12,14820510719
2002-06-13,14495499520
2002-06-14,14040483840
2002-06-17,14373620320
2002-06-18,14097360800
2002-06-19,13333584480
2002-06-20,13309208640
2002-06-21,13057324960
2002-06-24,13171078880
2002-06-25,13179204160
2002-06-26,12919195200
2002-06-27,13162953600
2002-06-28,13366085600
2002-07-01,13268983420
2002-07-02,12435118080
2002-07-03,11868413480
2002-07-05,12767045060
2002-07-08,12597033680
2002-07-09,11868413480
2002-07-10,11463624480
2002-07-11,11325996220
2002-07-12,11147889060
2002-07-15,10686429600
2002-07-16,11075027040
2002-07-17,12030329080
2002-07-18,12507980100
2002-07-19,11479816040
2002-07-22,11666018980
2002-07-23,11657923200
2002-07-24,11844126140
2002-07-25,11900796600
2002-07-26,11900796600
2002-07-29,13212312960
2002-07-30,12370351840
2002-07-31,12257010920
2002-08-01,10848345200
2002-08-02,10621663360
2002-08-05,9391104800
2002-08-06,10135916560
2002-08-07,10119725000
2002-08-08,10451651980
2002-08-09,10322119500
2002-08-12,10079246100
2002-08-13,9714936000
2002-08-14,10038767200
2002-08-15,10994069240
2002-08-16,10686429600
2002-08-19,11576965400
2002-08-20,11949371280
2002-08-21,11941275500
2002-08-22,12184148900
2002-08-23,12111286880
2002-08-26,12305585600
2002-08-27,11868413480
2002-08-28,11334092000
2002-08-29,11334092000
2002-08-30,11334092000
2002-09-03,10144012340
2002-09-04,10289736380
2002-09-05,9941617840
2002-09-06,10435460420
2002-09-09,10394981520
2002-09-10,10265449040
2002-09-11,10216874360
2002-09-12,9714936000
2002-09-13,9577307740
2002-09-16,9431583700
2002-09-17,9188710300
2002-09-18,8824400200
2002-09-19,8225312480
2002-09-20,8403419640
2002-09-23,7715278339
2002-09-24,7626224760
2002-09-25,8128163119
2002-09-26,8322461839
2002-09-27,8281982940
2002-09-30,7836715040
2002-10-01,8126237800
2002-10-02,7788315040
2002-10-03,7522804300
2002-10-04,7200973099
2002-10-07,6967645480
2002-10-08,6879141900
2002-10-09,6420532440
2002-10-10,6814775660
2002-10-11,7410163380
2002-10-14,7538895859
2002-10-15,8544618359
2002-10-16,8166466700
2002-10-17,8850358000
2002-10-18,8890586900
2002-10-21,9317013240
2002-10-22,9172189200
2002-10-23,8761854420
2002-10-24,9333104800
2002-10-25,9759531140
2002-10-28,10491697120
2002-10-29,10137682800
2002-10-30,10073316560
2002-10-31,10057225000
2002-11-01,10185957480
2002-11-04,10515834460
2002-11-05,10459514000
2002-11-06,11103176400
2002-11-07,10716978960
2002-11-08,10539971800
2002-11-11,10041133440
2002-11-12,10298598400
2002-11-13,10000904540
2002-11-14,10499742900
2002-11-15,10861803000
2002-11-18,11054901720
2002-11-19,10676750060
2002-11-20,11022718600
2002-11-21,11956029080
2002-11-22,11972120640
2002-11-25,11827296600
2002-11-26,10966398140
2002-11-27,11706609900
2002-11-29,11722701460
2002-12-02,12108898900
2002-12-03,11779021920
2002-12-04,11819250820
2002-12-05,11207771540
2002-12-06,10974443920
2002-12-09,10725024740
2002-12-10,10507788680
2002-12-11,10958352360
2002-12-12,11336504020
2002-12-13,10346873080
2002-12-16,11183634200
2002-12-17,10692841620
2002-12-18,10065270780
2002-12-19,9968721420
2002-12-20,10539971800
2002-12-23,10057225000
2002-12-24,10234232160
2002-12-26,10089408120
2002-12-27,9823897380
2002-12-30,9920446740
2002-12-31,10137682800
2003-01-02,10676750060
2003-01-03,10572154920
2003-01-06,10893986120
2003-01-07,10781345200
2003-01-08,10258369500
2003-01-09,10644566940
2003-01-10,10789390980
2003-01-13,10821574100
2003-01-14,10853757220
2003-01-15,10741116300
2003-01-16,10725024740
2003-01-17,10419285100
2003-01-21,9727348020
2003-01-22,9566432420
2003-01-23,9220463880
2003-01-24,9518157740
2003-01-27,8673350840
2003-01-28,9131960300
2003-01-29,8938861580
2003-01-30,9276784340
2003-01-31,9292875900
2003-02-03,9582523980
2003-02-04,8938861580
2003-02-05,8681396620
2003-02-06,8287153400
2003-02-07,8431977440
2003-02-10,8182558260
2003-02-11,8254970280
2003-02-12,7723948800
2003-02-13,7860727060
2003-02-14,7836589720
2003-02-18,8053825780
2003-02-19,7804406599
2003-02-20,7844635500
2003-02-21,7643491000
2003-02-24,7603262099
2003-02-25,7176835760
2003-02-26,6959599700
2003-02-27,7144652640
2003-02-28,7530850080
2003-03-03,7442346500
2003-03-04,7474529619
2003-03-05,7297522460
2003-03-06,7241202000
2003-03-07,7023965940
2003-03-10,6750409420
2003-03-11,6653860060
2003-03-12,6372257760
2003-03-13,6991782820
2003-03-14,7128561080
2003-03-17,8045780000
2003-03-18,8077963119
2003-03-19,8102100460
2003-03-20,7965322200
2003-03-21,8536572580
2003-03-24,7900955960
2003-03-25,8037734220
2003-03-26,7973367980
2003-03-27,7836589720
2003-03-28,7603262099
2003-03-31,7353842920
2003-04-01,7469016000
2003-04-02,8047262400
2003-04-03,7918763200
2003-04-04,8023168800
2003-04-07,8288198400
2003-04-08,8248042400
2003-04-09,8272136000
2003-04-10,8071356000
2003-04-11,8191823999
2003-04-14,8593384000
2003-04-15,8609446400
2003-04-16,8352448000
2003-04-17,8898569600
2003-04-21,8890538400
2003-04-22,9195724000
2003-04-23,9621377600
2003-04-24,9035100000
2003-04-25,8810226400
2003-04-28,8962819200
2003-04-29,8497009600
2003-04-30,8922663200
2003-05-01,8585352800
2003-05-02,8697789600
2003-05-05,8729914400
2003-05-06,9075256000
2003-05-07,9075256000
2003-05-08,8657633600
2003-05-09,9035100000
2003-05-12,9123443200
2003-05-13,8914632000
2003-05-14,9099349600
2003-05-15,9316192000
2003-05-16,9790032800
2003-05-19,9276036000
2003-05-20,9468784800
2003-05-21,9099349600
2003-05-22,9380441600
2003-05-23,9235880000
2003-05-27,9099349600
2003-05-28,9075256000
2003-05-29,9693658400
2003-05-30,9942625600
2003-06-02,10440560000
2003-06-03,10207655200
2003-06-04,10761808000
2003-06-05,10842120000
2003-06-06,11179430400
2003-06-09,10946525600
2003-06-10,11002744000
2003-06-11,11685396000
2003-06-12,11902238400
2003-06-13,12070893600
2003-06-16,12327892000
2003-06-17,12472453600
2003-06-18,12223486400
2003-06-19,11741614400
2003-06-20,11283836000
2003-06-23,10890307200
2003-06-24,10922432000
2003-06-25,10962588000
2003-06-26,10994712800
2003-06-27,11348085600
2003-06-30,11227617600
2003-07-01,11281363200
2003-07-02,11361657600
2003-07-03,11241216000
2003-07-07,11731011840
2003-07-08,11955836160
2003-07-09,12076277760
2003-07-10,11658746880
2003-07-11,12076277760
2003-07-14,12333219840
2003-07-15,12068248320
2003-07-16,11995983360
2003-07-17,11385745920
2003-07-18,11698894080
2003-07-21,11313480960
2003-07-22,11233186560
2003-07-23,11345598720
2003-07-24,11562393600
2003-07-25,11779188480
2003-07-28,12405484800
2003-07-29,11915688960
2003-07-30,11722982400
2003-07-31,12365337600
2003-08-01,12325190400
2003-08-04,12638338560
2003-08-05,12485779200
2003-08-06,12188689920
2003-08-07,12244896000
2003-08-08,12485779200
2003-08-11,12509867520
2003-08-12,12927398400
2003-08-13,12726662400
2003-08-14,12927398400
2003-08-15,13039810559
2003-08-18,13120104960
2003-08-19,12839074560
2003-08-20,12847104000
2003-08-21,13015722240
2003-08-22,12887251200
2003-08-25,12726662400
2003-08-26,12774839040
2003-08-27,12622279680
2003-08-28,13007692800
2003-08-29,12879221760
2003-09-02,13778519040
2003-09-03,14139843840
2003-09-04,13858813440
2003-09-05,13144193280
2003-09-08,13650048000
2003-09-09,13248576000
2003-09-10,12606220800
2003-09-11,13007692800
2003-09-12,13521576960
2003-09-15,13561724160
2003-09-16,13730342400
2003-09-17,13746401280
2003-09-18,14420874240
2003-09-19,14485109760
2003-09-22,13746401280
2003-09-23,13625959680
2003-09-24,13184340480
2003-09-25,13112075519
2003-09-26,12702574080
2003-09-29,12887251200
2003-09-30,12196719360
2003-10-01,12847104000
2003-10-02,12847104000
2003-10-03,13336899840
2003-10-06,13409164800
2003-10-07,13409164800
2003-10-08,13369017599
2003-10-09,13545665280
2003-10-10,13489459200
2003-10-13,13890931200
2003-10-14,13939107840
2003-10-15,14163932160
2003-10-16,13706254080
2003-10-17,13489459200
2003-10-20,13890931200
2003-10-21,13810636800
2003-10-22,13216458240
2003-10-23,12622279680
2003-10-24,12525926400
2003-10-27,12244896000
2003-10-28,12750750720
2003-10-29,12782868480
2003-10-30,12887251200
2003-10-31,12646368000
2003-11-03,12686515200
2003-11-04,12044160000
2003-11-05,11225157120
2003-11-06,11321510400
2003-11-07,11241216000
2003-11-10,10952156160
2003-11-11,11176980480
2003-11-12,11409834240
2003-11-13,11522246400
2003-11-14,11401804800
2003-11-17,11096686080
2003-11-18,10807626240
2003-11-19,11008362240
2003-11-20,10759449600
2003-11-21,10751420160
2003-11-24,10839744000
2003-11-25,11482099200
2003-11-26,11498158080
2003-11-28,11433922560
2003-12-01,11562393600
2003-12-02,11064568320
2003-12-03,10871861760
2003-12-04,10855802880
2003-12-05,10895950080
2003-12-08,10486448640
2003-12-09,10004682240
2003-12-10,10197388800
2003-12-11,10510536960
2003-12-12,10446301440
2003-12-15,10486448640
2003-12-16,10671125760
2003-12-17,10775508480
2003-12-18,11265304320
2003-12-19,11305451520
2003-12-22,11506187520
2003-12-23,11466040320
2003-12-24,11650717440
2003-12-26,11506187520
2003-12-29,11843424000
2003-12-30,11618599680
2003-12-31,11835394560
2004-01-02,11874839200
2004-01-05,12243922040
2004-01-06,12284039740
2004-01-07,12243922040
2004-01-08,12998134800
2004-01-09,12805569840
2004-01-12,13014181880
2004-01-13,13014181880
2004-01-14,13327099940
2004-01-15,13431405959
2004-01-16,13022205420
2004-01-20,13182676220
2004-01-21,13311052860
2004-01-22,13022205420
2004-01-23,12693240280
2004-01-26,12637075500
2004-01-27,12829640460
2004-01-28,12436487000
2004-01-29,12348228060
2004-01-30,12003215840
2004-02-02,12123568940
2004-02-03,12468581160
2004-02-04,12251945580
2004-02-05,12171710180
2004-02-06,12508698860
2004-02-09,12677193200
2004-02-10,12596957800
2004-02-11,12813593380
2004-02-12,12372298680
2004-02-13,12629051960
2004-02-17,12998134800
2004-02-18,12909875860
2004-02-19,13383264720
2004-02-20,13150582060
2004-02-23,13118487900
2004-02-24,12853711080
2004-02-25,12998134800
2004-02-26,12990111260
2004-02-27,13006158340
2004-03-01,13190699760
2004-03-02,12941970020
2004-03-03,13246864540
2004-03-04,13303029319
2004-03-05,13864677120
2004-03-08,13575829680
2004-03-09,13407335340
2004-03-10,12797546300
2004-03-11,12083451240
2004-03-12,12436487000
2004-03-15,12075427700
2004-03-16,12107521860
2004-03-17,12572887180
2004-03-18,12243922040
2004-03-19,12396369300
2004-03-22,11906933360
2004-03-23,12027286460
2004-03-24,11947051060
2004-03-25,12420439920
2004-03-26,12115545400
2004-03-29,12251945580
2004-03-30,12276016200
2004-03-31,12139616020
2004-04-01,12524757120
2004-04-02,12741949440
2004-04-05,12516712960
2004-04-06,12701728640
2004-04-07,12573022080
2004-04-08,12629331200
2004-04-12,12677596160
2004-04-13,12476492160
2004-04-14,11977754240
2004-04-15,11993842560
2004-04-16,12138637440
2004-04-19,12130593280
2004-04-20,11760561920
2004-04-21,11672076160
2004-04-22,11776650240
2004-04-23,11961665920
2004-04-26,11744473600
2004-04-27,11285956480
2004-04-28,10915925120
2004-04-29,10907880960
2004-04-30,10763086080
2004-05-03,10827439360
2004-05-04,10859616000
2004-05-05,10915925120
2004-05-06,10674600320
2004-05-07,10626335360
2004-05-10,10199994880
2004-05-11,10119553280
2004-05-12,10095420800
2004-05-13,10039111680
2004-05-14,9958670080
2004-05-17,9813875200
2004-05-18,10006935040
2004-05-19,10360878080
2004-05-20,10264348160
2004-05-21,10352833920
2004-05-24,10473496320
2004-05-25,10779174400
2004-05-26,10722865280
2004-05-27,10819395200
2004-05-28,10915925120
2004-06-01,10859616000
2004-06-02,10988322560
2004-06-03,10940057600
2004-06-04,10964190080
2004-06-07,11294000640
2004-06-08,11189426560
2004-06-09,11020499200
2004-06-10,11012455040
2004-06-14,10610247040
2004-06-15,10923969280
2004-06-16,11052675840
2004-06-17,11052675840
2004-06-18,11133117440
2004-06-21,11036587520
2004-06-22,11028543360
2004-06-23,10956145920
2004-06-24,10907880960
2004-06-25,11100940800
2004-06-28,11133117440
2004-06-29,10996366720
2004-06-30,11181382400
2004-07-01,11074660200
2004-07-02,11002276800
2004-07-06,10511678200
2004-07-07,10431252200
2004-07-08,10133676000
2004-07-09,10198016800
2004-07-12,10125633400
2004-07-13,10165846400
2004-07-14,9852185000
2004-07-15,9828057200
2004-07-16,9803929400
2004-07-19,9803929400
2004-07-20,9876312800
2004-07-21,9852185000
2004-07-22,9618949600
2004-07-23,9450055000
2004-07-26,9257032600
2004-07-27,9104223200
2004-07-28,9216819600
2004-07-29,8541241199
2004-07-30,8468857799
2004-08-02,8452772600
2004-08-03,8275835399
2004-08-04,8251707600
2004-08-05,8018472200
2004-08-06,7962174000
2004-08-09,7889790600
2004-08-10,8042600000
2004-08-11,8026514800
2004-08-12,7905875800
2004-08-13,7905875800
2004-08-16,8066727799
2004-08-17,7986301800
2004-08-18,8098898200
2004-08-19,8147153800
2004-08-20,8114983400
2004-08-23,8187366800
