,CNXT
2016-09-26,20007897
2016-09-27,20228457
2016-09-28,20316680
2016-09-29,20354491
2016-09-30,20530308
2016-10-03,20442714
2016-10-04,20417508
2016-10-05,20499430
2016-10-06,20556145
2016-10-07,20556145
2016-10-10,20808213
2016-10-11,20694782
2016-10-12,20776704
2016-10-13,20783006
2016-10-14,20705873
2016-10-17,20367094
2016-10-18,20757799
2016-10-19,20600257
2016-10-20,20694782
2016-10-21,20562447
2016-10-24,20717090
2016-10-25,20675877
2016-10-26,20562447
2016-10-27,20502580
2016-10-28,20397657
2016-10-31,20279311
2016-11-01,20398602
2016-11-02,20253663
2016-11-03,20291474
2016-11-04,20285172
2016-11-07,20184345
2016-11-08,20373396
2016-11-09,20152836
2016-11-10,20026298
2016-11-11,20171741
2016-11-14,20152836
2016-11-15,20241060
2016-11-16,20096121
2016-11-17,20128386
2016-11-18,19957483
2016-11-21,19970087
2016-11-22,20178043
2016-11-23,19957483
2016-11-25,19995294
2016-11-28,20014199
2016-11-29,20127629
2016-11-30,20178043
2016-12-01,20234758
2016-12-02,20087803
2016-12-05,20052009
2016-12-06,19888165
2016-12-07,20014199
2016-12-08,19787338
2016-12-09,19655002
2016-12-12,18533299
2016-12-13,18723295
2016-12-14,18451377
2016-12-15,18419869
2016-12-16,18501791
2016-12-19,18498640
2016-12-20,18446588
2016-12-21,18577411
2016-12-22,18501791
2016-12-23,18319041
2016-12-27,18400964
2016-12-28,18224516
2016-12-29,18287533
2016-12-30,18174795
2017-01-03,18445075
2017-01-04,19050039
2017-01-05,19232473
2017-01-06,18847817
2017-01-09,18716679
2017-01-10,18689329
2017-01-11,18495489
2017-01-12,18463981
2017-01-13,18353701
2017-01-17,18129990
2017-01-18,17966146
2017-01-19,17859017
2017-01-20,18181979
2017-01-23,18287533
2017-01-24,18123689
2017-01-25,18274930
2017-01-26,18331645
2017-01-27,18350550
2017-01-30,18344248
2017-01-31,18420877
2017-02-01,18427872
2017-02-02,18413567
2017-02-03,18388423
2017-02-06,18463981
2017-02-07,18281231
2017-02-08,18432472
2017-02-09,18500656
2017-02-10,18476584
2017-02-13,18550314
2017-02-14,18633559
2017-02-15,18508092
2017-02-16,18537710
2017-02-17,18433102
2017-02-21,18891866
2017-02-22,18898798
2017-02-23,18936608
2017-02-24,18930306
2017-02-27,18823177
2017-02-28,18848447
2017-03-01,19012228
2017-03-02,18646730
2017-03-03,18835781
2017-03-06,19069007
2017-03-07,19157168
2017-03-08,18905100
2017-03-09,18779066
2017-03-10,18905100
2017-03-13,19169771
2017-03-14,19031134
2017-03-15,19254529
2017-03-16,19346219
2017-03-17,19043737
2017-03-20,19050039
2017-03-21,19068881
2017-03-22,19144564
2017-03-23,19138262
2017-03-24,19365124
2017-03-27,19289503
2017-03-28,19207581
2017-03-29,19109527
2017-03-30,18716049
2017-03-31,18942910
2017-04-03,18980720
2017-04-04,18987022
2017-04-05,19321012
2017-04-06,19251630
2017-04-07,19327313
2017-04-10,18974229
2017-04-11,19068944
2017-04-12,18974418
2017-04-13,19150866
2017-04-17,18873591
2017-04-18,18753859
2017-04-19,18697143
2017-04-20,18933457
2017-04-21,18716049
2017-04-24,18413567
2017-04-25,18533992
2017-04-26,18653095
2017-04-27,18722350
2017-04-28,18687691
2017-05-01,18690968
2017-05-02,18709747
2017-05-03,18599467
2017-05-04,18558443
2017-05-05,18300136
2017-05-08,17928336
2017-05-09,18129990
2017-05-10,17922034
2017-05-11,17959845
2017-05-12,18058403
2017-05-15,18227667
2017-05-16,18669101
2017-05-17,18526998
2017-05-18,18449108
2017-05-19,18426170
2017-05-22,18331645
2017-05-23,18186076
2017-05-24,18363783
2017-05-25,18558506
2017-05-26,18404114
2017-05-30,18463981
2017-05-31,18596316
2017-06-01,18413567
2017-06-02,18470282
2017-06-05,18545903
2017-06-06,18684540
2017-06-07,19108329
2017-06-08,19125659
2017-06-09,19164099
2017-06-12,18971393
2017-06-13,19245391
2017-06-14,19092764
2017-06-15,19188676
2017-06-16,19121185
2017-06-19,19213883
2017-06-20,19188676
2017-06-21,19472253
2017-06-22,19226549
2017-06-23,19409236
2017-06-26,19661304
2017-06-27,19621414
2017-06-28,19585683
2017-06-29,19705415
2017-06-30,19781036
2017-07-03,19774797
2017-07-05,19781036
2017-07-06,19767928
2017-07-07,19806243
2017-07-10,19527077
2017-07-11,19440744
2017-07-12,19510063
2017-07-13,19453347
2017-07-14,19428141
2017-07-17,18671874
2017-07-18,18709747
2017-07-19,19182374
2017-07-20,19314710
2017-07-21,19333615
2017-07-24,19307841
2017-07-25,19270598
2017-07-26,19157168
2017-07-27,19483596
2017-07-28,19566778
2017-07-31,19718019
2017-08-01,19774734
2017-08-02,19680209
2017-08-03,19591985
2017-08-04,19389700
2017-08-07,19500610
2017-08-08,19711717
2017-08-09,19781036
2017-08-10,19667605
2017-08-11,19481894
2017-08-14,20058311
2017-08-15,20121328
2017-08-16,20423809
2017-08-17,20385243
2017-08-18,20411206
2017-08-21,20544802
2017-08-22,20505731
2017-08-23,20455318
2017-08-24,20259965
2017-08-25,20687850
2017-08-28,21150962
2017-08-29,21110695
2017-08-30,21203077
2017-08-31,21359612
2017-09-01,21744519
2017-09-05,22043346
2017-09-06,22049648
2017-09-07,22100061
2017-09-08,22062251
2017-09-11,22226095
2017-09-12,22118967
2017-09-13,22118967
2017-09-14,21873200
2017-09-15,21940313
2017-09-18,22034839
2017-09-19,21734563
2017-09-20,21986631
2017-09-21,21955122
2017-09-22,21763046
2017-09-25,21324952
2017-09-26,21375366
2017-09-27,21520305
2017-09-28,21514003
2017-09-29,21630585
2017-10-02,21721896
2017-10-03,22100061
2017-10-04,22248151
2017-10-05,22304741
2017-10-06,22264536
2017-10-09,22068553
2017-10-10,22402543
2017-10-11,22389940
2017-10-12,22364733
2017-10-13,22739369
2017-10-16,22352129
2017-10-17,22234918
2017-10-18,22282811
2017-10-19,22093760
2017-10-20,22345828
2017-10-23,22333224
2017-10-24,22572689
2017-10-25,22553784
2017-10-26,22553784
2017-10-27,22465560
2017-10-30,22087458
2017-10-31,22396241
2017-11-01,22459258
2017-11-02,22320621
2017-11-03,22106363
2017-11-06,22425355
2017-11-07,22517234
2017-11-08,22462787
2017-11-09,22648309
2017-11-10,22950791
2017-11-13,23070523
2017-11-14,22862063
2017-11-15,22405694
2017-11-16,22761740
2017-11-17,22224079
2017-11-20,22660913
2017-11-21,23253273
2017-11-22,23064222
2017-11-24,22169380
2017-11-27,21577020
2017-11-28,22030743
2017-11-29,21791278
2017-11-30,21607268
2017-12-01,21723976
2017-12-04,21784976
2017-12-05,21413176
2017-12-06,21539210
2017-12-07,21280840
2017-12-08,21614831
2017-12-11,21992933
2017-12-12,21825937
2017-12-13,22106363
2017-12-14,21879502
2017-12-15,21753468
2017-12-18,21577020
2017-12-19,21829088
2017-12-20,21646591
2017-12-21,22005536
2017-12-22,21797706
2017-12-26,21709356
2017-12-27,21381668
2017-12-28,21583322
2017-12-29,21803882
2018-01-02,22213492
2018-01-03,22528577
2018-01-04,22597896
2018-01-05,22541180
2018-01-08,22490767
2018-01-09,22446655
2018-01-10,22301716
2018-01-11,22686120
2018-01-12,22723930
2018-01-16,22301716
2018-01-17,22295414
2018-01-18,22188285
2018-01-19,22326923
2018-01-22,22667214
2018-01-23,22686120
2018-01-24,23070523
2018-01-25,23089428
2018-01-26,23158747
2018-01-29,22578991
2018-01-30,22466946
2018-01-31,22236178
2018-02-01,21545512
2018-02-02,21558115
2018-02-05,21236729
2018-02-06,20953152
2018-02-07,20285172
2018-02-08,20203250
2018-02-09,20026802
2018-02-12,20814515
2018-02-13,20953152
2018-02-14,21135901
2018-02-15,21608529
2018-02-16,21532908
2018-02-20,21186315
2018-02-21,21293444
2018-02-22,21455082
2018-02-23,21570719
2018-02-26,22389940
2018-02-27,21841692
2018-02-28,21964764
2018-03-01,22040195
2018-03-02,22043346
2018-03-05,22377336
2018-03-06,22514209
2018-03-07,22415146
2018-03-08,22316336
2018-03-09,23095730
2018-03-12,23171350
2018-03-13,22818455
2018-03-14,22824757
2018-03-15,22862063
2018-03-16,22606718
2018-03-19,22465560
2018-03-20,22655304
2018-03-21,22465560
2018-03-22,21980329
2018-03-23,21066583
2018-03-26,22020534
2018-03-27,22068553
2018-03-28,21936217
2018-03-29,22464678
2018-04-02,22219794
2018-04-03,22304489
2018-04-04,22181984
2018-04-05,22233027
2018-04-06,21766071
2018-04-09,21677848
2018-04-10,22103212
2018-04-11,22223638
2018-04-12,22147324
2018-04-13,21892105
2018-04-16,21936973
2018-04-17,21423637
2018-04-18,21532908
2018-04-19,21535933
2018-04-20,21044527
2018-04-23,20764101
2018-04-24,21142203
2018-04-25,21255634
2018-04-26,20902738
2018-04-27,21019320
2018-04-30,21091789
2018-05-01,20912191
2018-05-02,20801911
2018-05-03,21255634
2018-05-04,21324952
2018-05-07,21558115
2018-05-08,21658942
2018-05-09,21778675
2018-05-10,22100061
2018-05-11,21836020
2018-05-14,22049648
2018-05-15,21860597
2018-05-16,22113295
2018-05-17,21898407
2018-05-18,21766071
2018-05-21,22194587
2018-05-22,22200889
2018-05-23,21753468
2018-05-24,21627434
2018-05-25,21363645
2018-05-29,20971994
2018-05-30,20808213
2018-05-31,20984534
2018-06-01,20828819
2018-06-04,20713687
2018-06-05,21180013
2018-06-06,21249332
2018-06-07,21016799
2018-06-08,20808213
2018-06-11,20694782
2018-06-12,20883833
2018-06-13,20483990
2018-06-14,20429985
2018-06-15,19925975
2018-06-18,19708566
2018-06-19,18772764
2018-06-20,18893756
2018-06-21,18369455
2018-06-22,18735584
2018-06-25,18423776
2018-06-26,18451377
2018-06-27,17843263
2018-06-28,17997655
2018-06-29,18495489
2018-07-02,18111085
2018-07-03,18186706
2018-07-05,17487217
2018-07-06,17714078
2018-07-09,18369455
2018-07-10,18419869
2018-07-11,17799151
2018-07-12,18577411
2018-07-13,18569849
2018-07-16,18533299
2018-07-17,18564808
2018-07-18,18262326
2018-07-19,18026706
2018-07-20,18284256
2018-07-23,18312677
2018-07-24,18577411
2018-07-25,18721720
2018-07-26,18186706
2018-07-27,18155197
2018-07-30,17753590
2018-07-31,17997655
2018-08-01,17354881
2018-08-02,16888556
2018-08-03,16634534
2018-08-06,16107145
2018-08-07,16715259
2018-08-08,16245782
2018-08-09,16880552
2018-08-10,16787728
2018-08-13,16894857
2018-08-14,16775440
2018-08-15,16100213
2018-08-16,16278551
2018-08-17,16289894
2018-08-20,16141804
2018-08-21,16485310
2018-08-22,16256432
2018-08-23,16130776
2018-08-24,16421600
2018-08-27,16882002
2018-08-28,16842553
2018-08-29,16746578
2018-08-30,16258386
2018-08-31,16096432
2018-09-04,16175014
2018-09-05,16018291
2018-09-06,15905490
2018-09-07,15701315
2018-09-10,15410807
2018-09-11,15228058
2018-09-12,15577172
2018-09-13,15502182
2018-09-14,15170271
2018-09-17,15035856
2018-09-18,15445466
2018-09-19,15694383
2018-09-20,15710138
2018-09-21,15974557
2018-09-24,15817267
2018-09-25,15804663
2018-09-26,16069335
2018-09-27,15789539
2018-09-28,15899189
2018-10-01,15810965
2018-10-02,15621914
2018-10-03,15539992
2018-10-04,15281622
2018-10-05,15316912
2018-10-08,15054761
2018-10-09,14991744
2018-10-10,14497060
2018-10-11,14147316
2018-10-12,14122109
2018-10-15,13933058
2018-10-16,13737706
2018-10-17,13605370
2018-10-18,13296587
2018-10-19,13706827
2018-10-22,14490759
2018-10-23,14248143
2018-10-24,13835382
2018-10-25,14014980
2018-10-26,13825425
2018-10-29,13340698
2018-10-30,13494460
2018-10-31,13920392
2018-11-01,14431586
2018-11-02,14640109
2018-11-05,14682961
2018-11-06,14509664
2018-11-07,14550625
2018-11-08,14077997
2018-11-09,13945662
2018-11-12,14248143
2018-11-13,14720771
2018-11-14,14575895
2018-11-15,14916502
2018-11-16,15092571
2018-11-19,14821598
2018-11-20,14248143
2018-11-21,14608600
2018-11-23,14084299
2018-11-26,13998533
2018-11-27,13967718
2018-11-28,14440345
2018-11-29,14080770
2018-11-30,14286395
2018-12-03,14879826
2018-12-04,14682961
2018-12-06,14343299
2018-12-07,14210333
2018-12-10,14109506
2018-12-11,14217706
2018-12-12,14244551
2018-12-13,14304859
2018-12-14,13989521
2018-12-17,13746402
2018-12-18,13849435
2018-12-19,13459864
2018-12-20,13532018
2018-12-21,13230860
2018-12-24,13334775
2018-12-26,13504543
2018-12-27,13195255
2018-12-28,13224369
2018-12-31,13196516
2019-01-02,13107851
2019-01-03,12823959
2019-01-04,13437808
2019-01-07,13620683
2019-01-08,13624149
2019-01-09,13774823
2019-01-10,13784086
2019-01-11,13838533
2019-01-14,13678974
2019-01-15,13867205
2019-01-16,13966142
2019-01-17,13921022
2019-01-18,14006095
2019-01-22,13760959
2019-01-23,13795366
2019-01-24,13958265
2019-01-25,14222936
2019-01-28,14022227
2019-01-29,13895248
2019-01-30,13933058
2019-01-31,13932302
2019-02-01,14219660
2019-02-04,14204031
2019-02-05,14317462
2019-02-06,14214870
2019-02-07,14085748
2019-02-08,14076863
2019-02-11,14657754
2019-02-12,14784418
2019-02-13,15155588
2019-02-14,15210413
2019-02-15,15220622
2019-02-19,15836172
2019-02-20,15932146
2019-02-21,15831382
2019-02-22,16397023
2019-02-25,17385760
2019-02-26,17384562
2019-02-27,16926051
2019-02-28,17046791
2019-03-01,17361183
2019-03-04,17915733
2019-03-05,18382058
2019-03-06,18542185
2019-03-07,18092180
