,TROW
2001-11-26,3925815180
2001-11-27,3948050760
2001-11-28,3878873400
2001-11-29,3935697660
2001-11-30,3915932700
2001-12-03,3836872860
2001-12-04,4009816260
2001-12-05,4143229740
2001-12-06,4269231360
2001-12-07,4293937559
2001-12-10,4182759660
2001-12-11,4222289580
2001-12-12,4155582840
2001-12-13,4155582840
2001-12-14,4081464240
2001-12-17,4059228660
2001-12-18,4044404940
2001-12-19,4113582299
2001-12-20,4128406020
2001-12-21,4217348340
2001-12-24,4227230820
2001-12-26,4197583379
2001-12-27,4160524080
2001-12-28,4242054540
2001-12-31,4288996320
2002-01-02,4264290120
2002-01-03,4348291200
2002-01-04,4474292820
2002-01-07,4474292820
2002-01-08,4464410340
2002-01-09,4506410880
2002-01-10,4553352660
2002-01-11,4615118160
2002-01-14,4543470180
2002-01-15,4568176380
2002-01-16,4452057240
2002-01-17,4523705220
2002-01-18,4479234060
2002-01-22,4459469100
2002-01-23,4422409800
2002-01-24,4471822200
2002-01-25,4491587160
2002-01-28,4543470180
2002-01-29,4380409260
2002-01-30,4481704680
2002-01-31,4642294980
2002-02-01,4785590940
2002-02-04,4746061020
2002-02-05,4704060480
2002-02-06,4575588240
2002-02-07,4615118160
2002-02-08,4770767220
2002-02-11,4753472880
2002-02-12,4738649160
2002-02-13,4852297680
2002-02-14,4827591480
2002-02-15,4699119240
2002-02-19,4568176380
2002-02-20,4718884200
2002-02-21,4634883120
2002-02-22,4667001180
2002-02-25,4770767220
2002-02-26,4788061560
2002-02-27,4896768840
2002-02-28,4919004420
2002-03-01,4988181780
2002-03-04,5116654020
2002-03-05,5188302000
2002-03-06,5183360760
2002-03-07,5091947820
2002-03-08,5116654020
2002-03-11,5042535420
2002-03-12,5003005500
2002-03-13,5007946740
2002-03-14,5040064800
2002-03-15,5069712240
2002-03-18,5045006040
2002-03-19,5027711700
2002-03-20,4933828140
2002-03-21,4906651320
2002-03-22,4773237840
2002-03-25,4721354820
2002-03-26,4778179080
2002-03-27,4805355900
2002-03-28,4807826520
2002-04-01,4782602240
2002-04-02,4780139520
2002-04-03,4738273280
2002-04-04,4711183360
2002-04-05,4728422400
2002-04-08,4706257920
2002-04-09,4696407040
2002-04-10,4721034240
2002-04-11,4553569280
2002-04-12,4659466240
2002-04-15,4634839040
2002-04-16,4696407040
2002-04-17,4723496960
2002-04-18,4612674560
2002-04-19,4679168000
2002-04-22,4526479360
2002-04-23,4383641600
2002-04-24,4326999040
2002-04-25,4245729279
2002-04-26,4290058240
2002-04-29,4270356480
2002-04-30,4319610880
2002-05-01,4344238080
2002-05-02,4373790720
2002-05-03,4359014400
2002-05-06,4164459520
2002-05-07,4253117440
2002-05-08,4472299520
2002-05-09,4526479360
2002-05-10,4400880640
2002-05-13,4536330240
2002-05-14,4652078080
2002-05-15,4661928960
2002-05-16,4649615360
2002-05-17,4703795200
2002-05-20,4536330240
2002-05-21,4445209600
2002-05-22,4432896000
2002-05-23,4553569280
2002-05-24,4499389440
2002-05-28,4474762240
2002-05-29,4462448640
2002-05-30,4403343360
2002-05-31,4447672320
2002-06-03,4324536320
2002-06-04,4319610880
2002-06-05,4415656960
2002-06-06,4277744640
2002-06-07,4297446400
2002-06-10,4248192000
2002-06-11,4201400319
2002-06-12,4115205120
2002-06-13,4019159040
2002-06-14,4051174400
2002-06-17,4275281920
2002-06-18,4282670080
2002-06-19,4112742400
2002-06-20,4046248960
2002-06-21,3945277440
2002-06-24,3940352000
2002-06-25,3964979200
2002-06-26,3923112960
2002-06-27,4080727040
2002-06-28,4048711680
2002-07-01,3921567840
2002-07-02,3833442720
2002-07-03,3794276000
2002-07-05,4002349200
2002-07-08,3889744880
2002-07-09,3671880000
2002-07-10,3620473680
2002-07-11,3625369520
2002-07-12,3622921600
2002-07-15,3564171520
2002-07-16,3485838080
2002-07-17,3525004800
2002-07-18,3375681680
2002-07-19,3091722960
2002-07-22,3015837440
2002-07-23,2868962240
2002-07-24,3059900000
2002-07-25,3010941600
2002-07-26,3030524960
2002-07-29,3307139920
2002-07-30,3346306640
2002-07-31,3309587840
2002-08-01,3214118960
2002-08-02,3138233440
2002-08-05,2954639440
2002-08-06,3074587520
2002-08-07,3103962560
2002-08-08,3287556560
2002-08-09,3346306640
2002-08-12,3343858720
2002-08-13,3241046080
2002-08-14,3387921280
2002-08-15,3400160880
2002-08-16,3356098320
2002-08-19,3495629760
2002-08-20,3434431760
2002-08-21,3495629760
2002-08-22,3522556880
2002-08-23,3449119280
2002-08-26,3537244400
2002-08-27,3532348560
2002-08-28,3414848400
2002-08-29,3466254720
2002-08-30,3461358880
2002-09-03,3255733600
2002-09-04,3353650400
2002-09-05,3272869040
2002-09-06,3358546240
2002-09-09,3478494320
2002-09-10,3463806800
2002-09-11,3419744240
2002-09-12,3312035760
2002-09-13,3304692000
2002-09-16,3304692000
2002-09-17,3209223120
2002-09-18,3238598160
2002-09-19,3099066720
2002-09-20,3096618800
2002-09-23,3113754240
2002-09-24,3072139600
2002-09-25,3138233440
2002-09-26,3221462720
2002-09-27,3121098000
2002-09-30,3056152320
2002-10-01,3183492000
2002-10-02,3080640720
2002-10-03,2970442920
2002-10-04,2816166000
2002-10-07,2664337920
2002-10-08,2833307880
2002-10-09,2627605320
2002-10-10,2874938160
2002-10-11,3043908120
2002-10-14,3085538400
2002-10-15,3376950360
2002-10-16,3271650240
2002-10-17,3460210920
2002-10-18,3479801640
2002-10-21,3501841200
2002-10-22,3354910800
2002-10-23,3359808480
2002-10-24,3286343280
2002-10-25,3423478320
2002-10-28,3489597000
2002-10-29,3340217760
2002-10-30,3398989920
2002-10-31,3457762080
2002-11-01,3523880760
2002-11-04,3585101760
2002-11-05,3518983080
2002-11-06,3572857560
2002-11-07,3394092240
2002-11-08,3354910800
2002-11-11,3232468800
2002-11-12,3330422400
2002-11-13,3323075880
2002-11-14,3489597000
2002-11-15,3509187720
2002-11-18,3425927160
2002-11-19,3423478320
2002-11-20,3528778440
2002-11-21,3712441440
2002-11-22,3734481000
2002-11-25,3766315920
2002-11-26,3616936680
2002-11-27,3763867080
2002-11-29,3719787960
2002-12-02,3803048520
2002-12-03,3790804320
2002-12-04,3746725200
2002-12-05,3643873920
2002-12-06,3648771600
2002-12-09,3541022640
2002-12-10,3550818000
2002-12-11,3536124960
2002-12-12,3538573800
2002-12-13,3472455120
2002-12-16,3585101760
2002-12-17,3541022640
2002-12-18,3479801640
2002-12-19,3438171360
2002-12-20,3523880760
2002-12-23,3523880760
2002-12-24,3450415560
2002-12-26,3474903960
2002-12-27,3389194560
2002-12-30,3359808480
2002-12-31,3340217760
2003-01-02,3509187720
2003-01-03,3494494680
2003-01-06,3641425080
2003-01-07,3648771600
2003-01-08,3585101760
2003-01-09,3661015800
2003-01-10,3678157680
2003-01-13,3697748400
2003-01-14,3705094920
2003-01-15,3602243640
2003-01-16,3514085400
2003-01-17,3452864400
2003-01-21,3367155000
2003-01-22,3283894440
2003-01-23,3298587480
2003-01-24,3171247800
2003-01-27,3198185040
2003-01-28,3242264160
2003-01-29,3190838520
2003-01-30,3100231440
2003-01-31,3274099080
2003-02-03,3278996760
2003-02-04,3205531560
2003-02-05,3200633880
2003-02-06,3117373320
2003-02-07,3070845360
2003-02-10,3068396520
2003-02-11,3041459280
2003-02-12,3016970880
2003-02-13,2992482480
2003-02-14,3061050000
2003-02-18,3151657080
2003-02-19,3132066360
2003-02-20,3119822160
2003-02-21,3193287360
2003-02-24,3110026800
2003-02-25,3129617520
2003-02-26,3063498840
2003-02-27,3124719840
2003-02-28,3149208240
2003-03-03,3156554760
2003-03-04,3095333760
2003-03-05,3129617520
2003-03-06,3095333760
2003-03-07,3195736200
2003-03-10,3068396520
2003-03-11,2975340600
2003-03-12,2987584800
2003-03-13,3161452440
2003-03-14,3171247800
2003-03-17,3374501520
2003-03-18,3421029480
2003-03-19,3423478320
2003-03-20,3452864400
2003-03-21,3602243640
2003-03-24,3423478320
2003-03-25,3445517880
2003-03-26,3428376000
2003-03-27,3389194560
2003-03-28,3364706160
2003-03-31,3322389840
2003-04-01,3386093480
2003-04-02,3486549220
2003-04-03,3496349780
2003-04-04,3515950900
2003-04-07,3515950900
2003-04-08,3481648940
2003-04-09,3413045020
2003-04-10,3341990960
2003-04-11,3356691800
2003-04-14,3520851180
2003-04-15,3618856780
2003-04-16,3484099080
2003-04-17,3506150340
2003-04-21,3513500760
2003-04-22,3716862380
2003-04-23,3726662940
2003-04-24,3631107480
2003-04-25,3631107480
2003-04-28,3751164340
2003-04-29,3724212800
2003-04-30,3738913640
2003-05-01,3699711400
2003-05-02,3775665740
2003-05-05,3746264060
2003-05-06,3795266860
2003-05-07,3785466300
2003-05-08,3692360980
2003-05-09,3707061820
2003-05-12,3748714200
2003-05-13,3775665740
2003-05-14,3787916440
2003-05-15,3876121480
2003-05-16,3898172740
2003-05-19,3832018960
2003-05-20,3888372180
2003-05-21,3905523160
2003-05-22,3932474700
2003-05-23,3969226800
2003-05-27,4077032960
2003-05-28,4170138280
2003-05-29,4214240800
2003-05-30,4498457040
2003-06-02,4483756200
2003-06-03,4459254800
2003-06-04,4576861520
2003-06-05,4643015300
2003-06-06,4682217540
2003-06-09,4537659280
2003-06-10,4581761800
2003-06-11,4645465440
2003-06-12,4655266000
2003-06-13,4547459840
2003-06-16,4716519500
2003-06-17,4753271600
2003-06-18,4638115020
2003-06-19,4498457040
2003-06-20,4469055360
2003-06-23,4405351720
2003-06-24,4471505500
2003-06-25,4471505500
2003-06-26,4611163480
2003-06-27,4608713340
2003-06-30,4685211140
2003-07-01,4769539980
2003-07-02,4811704400
2003-07-03,4821625440
2003-07-07,4982842340
2003-07-08,5096934300
2003-07-09,5069651440
2003-07-10,4943158180
2003-07-11,4923316100
2003-07-14,5037408060
2003-07-15,5034927800
2003-07-16,4938197660
2003-07-17,4834026740
2003-07-18,4930756880
2003-07-21,4836507000
2003-07-22,4903474020
2003-07-23,4886112200
2003-07-24,4893552980
2003-07-25,5005164680
2003-07-28,4977881820
2003-07-29,4908434540
2003-07-30,4903474020
2003-07-31,5025006760
2003-08-01,4881151680
2003-08-04,4940677920
2003-08-05,4846428040
2003-08-06,4965480520
2003-08-07,5010125200
2003-08-08,5082052740
2003-08-11,5067171180
2003-08-12,5203585480
2003-08-13,5233348600
2003-08-14,5335039260
2003-08-15,5275513020
2003-08-18,5374723420
2003-08-19,5372243160
2003-08-20,5312716920
2003-08-21,5332559000
2003-08-22,5260631460
2003-08-25,5225907820
2003-08-26,5203585480
2003-08-27,5191184180
2003-08-28,5220947300
2003-08-29,5280473540
2003-09-02,5441690440
2003-09-03,5344960300
2003-09-04,5300315620
2003-09-05,5215986780
2003-09-08,5233348600
2003-09-09,5248230160
2003-09-10,5161421060
2003-09-11,5196144700
2003-09-12,5223427560
2003-09-15,5243269640
2003-09-16,5362322120
2003-09-17,5387124720
2003-09-18,5550821880
2003-09-19,5468973300
2003-09-22,5392085240
2003-09-23,5456572000
2003-09-24,5320157700
2003-09-25,5310236660
2003-09-26,5171342100
2003-09-29,5208546000
2003-09-30,5205242880
2003-10-01,5303597760
2003-10-02,5164892160
2003-10-03,5227940160
2003-10-06,5263247040
2003-10-07,5321251200
2003-10-08,5296032000
2003-10-09,5356558080
2003-10-10,5333860800
2003-10-13,5454912960
2003-10-14,5459956800
2003-10-15,5409518400
2003-10-16,5338904640
2003-10-17,5296032000
2003-10-20,5263247040
2003-10-21,5217852480
2003-10-22,5134629120
2003-10-23,5111931840
2003-10-24,4980792000
2003-10-27,5101844160
2003-10-28,5260725120
2003-10-29,5250637440
2003-10-30,5132107200
2003-10-31,5159848320
2003-11-03,5174979840
2003-11-04,5205242880
2003-11-05,5101844160
2003-11-06,5492741760
2003-11-07,5560833600
2003-11-10,5528048640
2003-11-11,5472566400
2003-11-12,5560833600
2003-11-13,5502829440
2003-11-14,5343948480
2003-11-17,5268290880
2003-11-18,5232984000
2003-11-19,5187589440
2003-11-20,5051405760
2003-11-21,5109409920
2003-11-24,5296032000
2003-11-25,5278378560
2003-11-26,5293510080
2003-11-28,5301075840
2003-12-01,5412040320
2003-12-02,5437259520
2003-12-03,5434737600
2003-12-04,5434737600
2003-12-05,5354036160
2003-12-08,5502829440
2003-12-09,5485176000
2003-12-10,5414562240
2003-12-11,5480132160
2003-12-12,5510395200
2003-12-15,5472566400
2003-12-16,5500307520
2003-12-17,5512917120
2003-12-18,5598662400
2003-12-19,5724758400
2003-12-22,5772674880
2003-12-23,5802937920
2003-12-24,5785284480
2003-12-26,5780240640
2003-12-29,5896248960
2003-12-30,5944165440
2003-12-31,5979472320
2004-01-02,6103046400
2004-01-05,6120699840
2004-01-06,6103046400
2004-01-07,6145919040
2004-01-08,6261927360
2004-01-09,6171138240
2004-01-12,6188791680
2004-01-13,6216532800
2004-01-14,6367848000
2004-01-15,6428374080
2004-01-16,6483856320
2004-01-20,6589776960
2004-01-21,6761267520
2004-01-22,6710829120
2004-01-23,6718394880
2004-01-26,6768833280
2004-01-27,6660390720
2004-01-28,6483856320
2004-01-29,6652824960
2004-01-30,6577167360
2004-02-02,6569601600
2004-02-03,6620040000
2004-02-04,6400632960
2004-02-05,6347672640
2004-02-06,6481334400
2004-02-09,6516641280
2004-02-10,6471246720
2004-02-11,6718394880
2004-02-12,6620040000
2004-02-13,6602386560
2004-02-17,6670478400
2004-02-18,6662912640
2004-02-19,6541860480
2004-02-20,6440983680
2004-02-23,6423330240
2004-02-24,6413242560
2004-02-25,6458637120
2004-02-26,6519163200
2004-02-27,6632649600
2004-03-01,6733526400
2004-03-02,6821793600
2004-03-03,6907538880
2004-03-04,6957977280
2004-03-05,7033634880
2004-03-08,6960499200
2004-03-09,6970586880
2004-03-10,6882319680
2004-03-11,6660390720
2004-03-12,6761267520
2004-03-15,6620040000
2004-03-16,6652824960
2004-03-17,6781442880
2004-03-18,6698219520
2004-03-19,6685609920
2004-03-22,6524207040
2004-03-23,6506553600
2004-03-24,6506553600
2004-03-25,6572123520
2004-03-26,6567079680
2004-03-29,6736048320
2004-03-30,6786486720
2004-03-31,6836387840
2004-04-01,6841466880
2004-04-02,6907494400
2004-04-05,6965903360
2004-04-06,6970982400
2004-04-07,6930350080
2004-04-08,6795755520
2004-04-12,6844006400
2004-04-13,6635765760
2004-04-14,6511329280
2004-04-15,6511329280
2004-04-16,6536724480
2004-04-19,6478315520
2004-04-20,6364037120
2004-04-21,6186270720
2004-04-22,6346260480
2004-04-23,6303088640
2004-04-26,6381813760
2004-04-27,6701793280
2004-04-28,6600212480
2004-04-29,6557040640
2004-04-30,6511329280
2004-05-03,6506250240
2004-05-04,6483394560
2004-05-05,6506250240
2004-05-06,6348800000
2004-05-07,6201507840
2004-05-10,6188810240
2004-05-11,6110085120
2004-05-12,6173573120
2004-05-13,6082150400
2004-05-14,5985648640
2004-05-17,5886607360
2004-05-18,5934858240
2004-05-19,5957713920
2004-05-20,5894225920
2004-05-21,5967872000
2004-05-24,5965332480
2004-05-25,6138019840
2004-05-26,6173573120
2004-05-27,6150717440
2004-05-28,6115164160
2004-06-01,6130401280
2004-06-02,6089768960
2004-06-03,6112624640
2004-06-04,6158336000
2004-06-07,6358958080
2004-06-08,6381813760
2004-06-09,6262456320
2004-06-10,6237061120
2004-06-14,6158336000
2004-06-15,6102466560
2004-06-16,6135480320
2004-06-17,6135480320
2004-06-18,6181191680
2004-06-21,6092308480
2004-06-22,6171033600
2004-06-23,6239600640
2004-06-24,6216744960
2004-06-25,6376734720
2004-06-28,6257377280
2004-06-29,6348800000
2004-06-30,6422421600
2004-07-01,6363804260
2004-07-02,6407130120
2004-07-06,6259312480
2004-07-07,6152272120
2004-07-08,5956031460
2004-07-09,5994260160
2004-07-12,6022294540
2004-07-13,5950934300
2004-07-14,5943288560
2004-07-15,5826053880
2004-07-16,5726659260
2004-07-19,5693527720
2004-07-20,5813310980
2004-07-21,5787825180
2004-07-22,5792922340
2004-07-23,5767436540
2004-07-26,5703722040
2004-07-27,5902511280
2004-07-28,5956031460
2004-07-29,5953482880
2004-07-30,5889768380
2004-08-02,5961128620
2004-08-03,5902511280
2004-08-04,5984065840
2004-08-05,5815859560
2004-08-06,5698624880
2004-08-09,5693527720
2004-08-10,5897414120
2004-08-11,5871928320
2004-08-12,5833699620
2004-08-13,5856636840
2004-08-16,6040134600
2004-08-17,6126786320
2004-08-18,6182855080
2004-08-19,6157369280
2004-08-20,6228729520
2004-08-23,6231278100
