,BWA
2000-07-31,782106400
2000-08-01,792590400
2000-08-02,809364800
2000-08-03,821945600
2000-08-04,830332800
2000-08-07,826139200
2000-08-08,832429600
2000-08-09,813558400
2000-08-10,813558400
2000-08-11,853397600
2000-08-14,849204000
2000-08-15,842913599
2000-08-16,849204000
2000-08-17,838720000
2000-08-18,836623200
2000-08-21,830332800
2000-08-22,847107200
2000-08-23,842913599
2000-08-24,840816800
2000-08-25,828236000
2000-08-28,821945600
2000-08-29,826139200
2000-08-30,788396800
2000-08-31,792590400
2000-09-01,803074400
2000-09-05,807268000
2000-09-06,813558400
2000-09-07,803074400
2000-09-08,805171200
2000-09-11,798880800
2000-09-12,782106400
2000-09-13,784203200
2000-09-14,771622400
2000-09-15,744364000
2000-09-18,742267200
2000-09-19,733880000
2000-09-20,740170400
2000-09-21,733880000
2000-09-22,742267200
2000-09-25,752751200
2000-09-26,731783200
2000-09-27,727589600
2000-09-28,777912800
2000-09-29,763235200
2000-10-02,775077120
2000-10-03,772976640
2000-10-04,856995840
2000-10-05,863297280
2000-10-06,833890560
2000-10-09,844392959
2000-10-10,787680000
2000-10-11,787680000
2000-10-12,762474240
2000-10-13,772976640
2000-10-16,772976640
2000-10-17,772976640
2000-10-18,775077120
2000-10-19,791880960
2000-10-20,764574720
2000-10-23,800282880
2000-10-24,819187200
2000-10-25,827589120
2000-10-26,819187200
2000-10-27,823388160
2000-10-30,861196799
2000-10-31,871699200
2000-11-01,873799680
2000-11-02,880101120
2000-11-03,842292480
2000-11-06,856995840
2000-11-07,838091520
2000-11-08,838091520
2000-11-09,848593920
2000-11-10,838091520
2000-11-13,846493440
2000-11-14,842292480
2000-11-15,861196799
2000-11-16,842292480
2000-11-17,829689600
2000-11-20,833890560
2000-11-21,825488640
2000-11-22,814986240
2000-11-24,842292480
2000-11-27,846493440
2000-11-28,838091520
2000-11-29,848593920
2000-11-30,846493440
2000-12-01,848593920
2000-12-04,814986240
2000-12-05,817086720
2000-12-06,817086720
2000-12-07,812885760
2000-12-08,840192000
2000-12-11,819187200
2000-12-12,802383360
2000-12-13,791880960
2000-12-14,793981440
2000-12-15,802383360
2000-12-18,800282880
2000-12-19,796081920
2000-12-20,781378560
2000-12-21,806584320
2000-12-22,827589120
2000-12-26,869598719
2000-12-27,909507840
2000-12-28,924211200
2000-12-29,924211200
2001-01-02,917909760
2001-01-03,980924160
2001-01-04,993527040
2001-01-05,953617920
2001-01-08,962019840
2001-01-09,924211200
2001-01-10,913708799
2001-01-11,930512639
2001-01-12,922110719
2001-01-16,924211200
2001-01-17,941015040
2001-01-18,926311680
2001-01-19,903206400
2001-01-22,920010240
2001-01-23,945216000
2001-01-24,930512639
2001-01-25,970421760
2001-01-26,970421760
2001-01-29,989326080
2001-01-30,972522240
2001-01-31,974622719
2001-02-01,983024639
2001-02-02,995627520
2001-02-05,993527040
2001-02-06,1035536639
2001-02-07,1022933760
2001-02-08,1016632320
2001-02-09,993527040
2001-02-12,999828480
2001-02-13,1001928959
2001-02-14,1001928959
2001-02-15,1001928959
2001-02-16,1001928959
2001-02-20,989326080
2001-02-21,980924160
2001-02-22,970421760
2001-02-23,987225600
2001-02-26,1014531840
2001-02-27,1022933760
2001-02-28,1008230400
2001-03-01,999828480
2001-03-02,1039737600
2001-03-05,1033436160
2001-03-06,1039737600
2001-03-07,1046039040
2001-03-08,1058641920
2001-03-09,1052340480
2001-03-12,1039737600
2001-03-13,1016632320
2001-03-14,995627520
2001-03-15,993527040
2001-03-16,972522240
2001-03-19,999828480
2001-03-20,966220799
2001-03-21,934713600
2001-03-22,899005440
2001-03-23,930512639
2001-03-26,966220799
2001-03-27,976723200
2001-03-28,955718400
2001-03-29,926311680
2001-03-30,926311680
2001-04-02,928181520
2001-04-03,915553199
2001-04-04,932390959
2001-04-05,947124000
2001-04-06,951333439
2001-04-09,972380640
2001-04-10,1001846720
2001-04-11,976590079
2001-04-12,999742000
2001-04-16,1014475040
2001-04-17,1022893920
2001-04-18,1039731680
2001-04-19,1056569439
2001-04-20,1056569439
2001-04-23,1041836400
2001-04-24,1048150560
2001-04-25,1041836400
2001-04-26,1037626959
2001-04-27,1031312800
2001-04-30,1031312800
2001-05-01,1024998640
2001-05-02,1031312800
2001-05-03,1018684480
2001-05-04,1018684480
2001-05-07,1016579760
2001-05-08,1006056160
2001-05-09,1001846720
2001-05-10,997637280
2001-05-11,980799520
2001-05-14,991323120
2001-05-15,1018684480
2001-05-16,1056569439
2001-05-17,1060778880
2001-05-18,1052360000
2001-05-21,1060778880
2001-05-22,1062883600
2001-05-23,1060778880
2001-05-24,1075511920
2001-05-25,1083930800
2001-05-29,1079721360
2001-05-30,1054464720
2001-05-31,1048150560
2001-06-01,1092349680
2001-06-04,1086035520
2001-06-05,1104978000
2001-06-06,1096559120
2001-06-07,1088140240
2001-06-08,1086035520
2001-06-11,1094454400
2001-06-12,1064988319
2001-06-13,1058674160
2001-06-14,1029208079
2001-06-15,1027103360
2001-06-18,1029208079
2001-06-19,1027103360
2001-06-20,1050255280
2001-06-21,1088140240
2001-06-22,1096559120
2001-06-25,1096559120
2001-06-26,1126025200
2001-06-27,1115501600
2001-06-28,1136548800
2001-06-29,1149177120
2001-07-02,1129459200
2001-07-03,1116816000
2001-07-05,1112601600
2001-07-06,1097851200
2001-07-09,1118923200
2001-07-10,1137888000
2001-07-11,1154745600
2001-07-12,1177924800
2001-07-13,1186353600
2001-07-16,1177924800
2001-07-17,1194782400
2001-07-18,1188460800
2001-07-19,1182139200
2001-07-20,1184246400
2001-07-23,1161067200
2001-07-24,1097851200
2001-07-25,1118923200
2001-07-26,1165281600
2001-07-27,1186353600
2001-07-30,1211640000
2001-07-31,1228497600
2001-08-01,1257998400
2001-08-02,1213747200
2001-08-03,1226390400
2001-08-06,1226390400
2001-08-07,1262212800
2001-08-08,1249569600
2001-08-09,1249569600
2001-08-10,1249569600
2001-08-13,1215854400
2001-08-14,1220068800
2001-08-15,1247462400
2001-08-16,1253784000
2001-08-17,1116816000
2001-08-20,1121030400
2001-08-21,1106280000
2001-08-22,1175817600
2001-08-23,1161067200
2001-08-24,1173710400
2001-08-27,1167388800
2001-08-28,1167388800
2001-08-29,1182139200
2001-08-30,1169496000
2001-08-31,1184246400
2001-09-04,1196889600
2001-09-05,1194782400
2001-09-06,1184246400
2001-09-07,1139995200
2001-09-10,1125244800
2001-09-17,996705600
2001-09-18,948240000
2001-09-19,916631999
2001-09-20,844987200
2001-09-21,847094399
2001-09-24,939811200
2001-09-25,912417600
2001-09-26,872380799
2001-09-27,901881600
2001-09-28,933489599
2001-10-01,928069440
2001-10-02,955614880
2001-10-03,993754720
2001-10-04,997992480
2001-10-05,997992480
2001-10-08,987398080
2001-10-09,978922560
2001-10-10,1038251200
2001-10-11,1040370080
2001-10-12,1027656799
2001-10-15,1031894560
2001-10-16,1046726720
2001-10-17,1004349120
2001-10-18,1012824640
2001-10-19,1023419040
2001-10-22,1046726720
2001-10-23,1053083360
2001-10-24,1025537920
2001-10-25,1019181279
2001-10-26,1002230240
2001-10-29,1002230240
2001-10-30,993754720
2001-10-31,995873600
2001-11-01,997992480
2001-11-02,1012824640
2001-11-05,1031894560
2001-11-06,1040370080
2001-11-07,1036132319
2001-11-08,1021300160
2001-11-09,1025537920
2001-11-12,1019181279
2001-11-13,1040370080
2001-11-14,1061558880
2001-11-15,1091223200
2001-11-16,1103936480
2001-11-19,1093342080
2001-11-20,1063677759
2001-11-21,1057321120
2001-11-23,1082747680
2001-11-26,1074272160
2001-11-27,1050964480
2001-11-28,1050964480
2001-11-29,1061558880
2001-11-30,1072153279
2001-12-03,1078509920
2001-12-04,1099698720
2001-12-05,1118768640
2001-12-06,1163265120
2001-12-07,1142076320
2001-12-10,1144195200
2001-12-11,1154789600
2001-12-12,1154789600
2001-12-13,1152670720
2001-12-14,1146314080
2001-12-17,1167502880
2001-12-18,1199286080
2001-12-19,1182335040
2001-12-20,1167502880
2001-12-21,1192929440
2001-12-24,1197167200
2001-12-26,1205642720
2001-12-27,1216237120
2001-12-28,1216237120
2001-12-31,1216237120
2002-01-02,1220474880
2002-01-03,1222593760
2002-01-04,1235307040
2002-01-07,1211999360
2002-01-08,1233188160
2002-01-09,1226831520
2002-01-10,1214118240
2002-01-11,1226831520
2002-01-14,1195048320
2002-01-15,1190810560
2002-01-16,1175978400
2002-01-17,1205642720
2002-01-18,1188691680
2002-01-22,1209880480
2002-01-23,1224712640
2002-01-24,1201404960
2002-01-25,1260733600
2002-01-28,1256495840
2002-01-29,1264971360
2002-01-30,1281922400
2002-01-31,1290397920
2002-02-01,1286160160
2002-02-04,1275565760
2002-02-05,1258614720
2002-02-06,1277684640
2002-02-07,1250139200
2002-02-08,1292516800
2002-02-11,1317943360
2002-02-12,1315824480
2002-02-13,1334894400
2002-02-14,1328537760
2002-02-15,1328537760
2002-02-19,1311586720
2002-02-20,1358202080
2002-02-21,1349726560
2002-02-22,1370915360
2002-02-25,1396341920
2002-02-26,1428125120
2002-02-27,1426006240
2002-02-28,1400579680
2002-03-01,1419649600
2002-03-04,1466264960
2002-03-05,1423887360
2002-03-06,1445076160
2002-03-07,1508642560
2002-03-08,1510761440
2002-03-11,1495929280
2002-03-12,1508642560
2002-03-13,1498048160
2002-03-14,1495929280
2002-03-15,1478978240
2002-03-18,1485334880
2002-03-19,1493810400
2002-03-20,1481097120
2002-03-21,1442957280
2002-03-22,1419649600
2002-03-25,1362439840
2002-03-26,1415411840
2002-03-27,1470502720
2002-03-28,1466264960
2002-04-01,1460795840
2002-04-02,1441630880
2002-04-03,1416077600
2002-04-04,1422465920
2002-04-05,1452278080
2002-04-08,1475701920
2002-04-09,1499125760
2002-04-10,1539585120
2002-04-11,1475701920
2002-04-12,1452278080
2002-04-15,1452278080
2002-04-16,1492737440
2002-04-17,1439501440
2002-04-18,1407559840
2002-04-19,1422465920
2002-04-22,1416077600
2002-04-23,1435242560
2002-04-24,1465054720
2002-04-25,1448019200
2002-04-26,1467184160
2002-04-29,1435242560
2002-04-30,1462925280
2002-05-01,1477831360
2002-05-02,1490608000
2002-05-03,1473572480
2002-05-06,1465054720
2002-05-07,1469313600
2002-05-08,1484219680
2002-05-09,1475701920
2002-05-10,1456536960
2002-05-13,1477831360
2002-05-14,1496996320
2002-05-15,1516161280
2002-05-16,1505514080
2002-05-17,1520420160
2002-05-20,1469313600
2002-05-21,1516161280
2002-05-22,1537455680
2002-05-23,1603468320
2002-05-24,1571526720
2002-05-28,1573656160
2002-05-29,1565138400
2002-05-30,1492737440
2002-05-31,1507643520
2002-06-03,1454407520
2002-06-04,1367100480
2002-06-05,1409689280
2002-06-06,1392653760
2002-06-07,1424595360
2002-06-10,1430983680
2002-06-11,1416077600
2002-06-12,1428854240
2002-06-13,1386265440
2002-06-14,1354323840
2002-06-17,1416077600
2002-06-18,1428854240
2002-06-19,1407559840
2002-06-20,1364971040
2002-06-21,1358582720
2002-06-24,1360712160
2002-06-25,1337288320
2002-06-26,1333029440
2002-06-27,1320252800
2002-06-28,1352194400
2002-07-01,1382750080
2002-07-02,1369907200
2002-07-03,1348502400
2002-07-05,1404154880
2002-07-08,1357064320
2002-07-09,1322816640
2002-07-10,1299271360
2002-07-11,1269304640
2002-07-12,1258602240
2002-07-15,1239337920
2002-07-16,1230776000
2002-07-17,1209371200
2002-07-18,1211511680
2002-07-19,1183685440
2002-07-22,1162280640
2002-07-23,1162280640
2002-07-24,1243618880
2002-07-25,1262883200
2002-07-26,1241478400
2002-07-29,1314254720
2002-07-30,1275726080
2002-07-31,1262883200
2002-08-01,1282147520
2002-08-02,1220073600
2002-08-05,1205090240
2002-08-06,1252180800
2002-08-07,1273585600
2002-08-08,1297130880
2002-08-09,1318535680
2002-08-12,1350642880
2002-08-13,1307833280
2002-08-14,1318535680
2002-08-15,1374188160
2002-08-16,1361345280
2002-08-19,1419138240
2002-08-20,1412716800
2002-08-21,1419138240
2002-08-22,1434121600
2002-08-23,1408435840
2002-08-26,1438402560
2002-08-27,1431981120
2002-08-28,1416997760
2002-08-29,1406295360
2002-08-30,1416997760
2002-09-03,1395592960
2002-09-04,1421278720
2002-09-05,1391312000
2002-09-06,1438402560
2002-09-09,1457666880
2002-09-10,1470509760
2002-09-11,1466228800
2002-09-12,1434121600
2002-09-13,1412716800
2002-09-16,1399873920
2002-09-17,1354923840
2002-09-18,1333519040
2002-09-19,1299271360
2002-09-20,1269304640
2002-09-23,1230776000
2002-09-24,1205090240
2002-09-25,1205090240
2002-09-26,1226495040
2002-09-27,1179404480
2002-09-30,1163940960
2002-10-01,1161809200
2002-10-02,1138359840
2002-10-03,1095724640
2002-10-04,1065880000
2002-10-07,1027508320
2002-10-08,963555519
2002-10-09,923052080
2002-10-10,1001927200
2002-10-11,1061616480
2002-10-14,1001927200
2002-10-15,1091461120
2002-10-16,1027508320
2002-10-17,1085065840
2002-10-18,1082934080
2002-10-21,1157545680
2002-10-22,1129832800
2002-10-23,1144755120
2002-10-24,1074407040
2002-10-25,1093592880
2002-10-28,1057352960
2002-10-29,1040298880
2002-10-30,1036035360
2002-10-31,1055221200
2002-11-01,1059484720
2002-11-04,1057352960
2002-11-05,1065880000
2002-11-06,1127701040
2002-11-07,1089329360
2002-11-08,1072275280
2002-11-11,1042430639
2002-11-12,1033903599
2002-11-13,1057352960
2002-11-14,1076538800
2002-11-15,1082934080
2002-11-18,1068011760
2002-11-19,1068011760
2002-11-20,1033903599
2002-11-21,1117042240
2002-11-22,1136228080
2002-11-25,1161809200
2002-11-26,1151150400
2002-11-27,1204444400
2002-11-29,1206576160
2002-12-02,1234289040
2002-12-03,1189522080
2002-12-04,1176731520
2002-12-05,1161809200
2002-12-06,1151150400
2002-12-09,1134096320
2002-12-10,1180995040
2002-12-11,1176731520
2002-12-12,1189522080
2002-12-13,1159677440
2002-12-16,1174599760
2002-12-17,1176731520
2002-12-18,1153282160
2002-12-19,1157545680
2002-12-20,1180995040
2002-12-23,1166072720
2002-12-24,1166072720
2002-12-26,1180995040
2002-12-27,1163940960
2002-12-30,1178863280
2002-12-31,1180995040
2003-01-02,1232157280
2003-01-03,1232157280
2003-01-06,1255606640
2003-01-07,1234289040
2003-01-08,1217234960
2003-01-09,1262001920
2003-01-10,1272660720
2003-01-13,1272660720
2003-01-14,1268397200
2003-01-15,1264133680
2003-01-16,1244947840
2003-01-17,1236420800
2003-01-21,1236420800
2003-01-22,1215103200
2003-01-23,1251343120
2003-01-24,1232157280
2003-01-27,1219366720
2003-01-28,1257738400
2003-01-29,1257738400
2003-01-30,1225762000
2003-01-31,1255606640
2003-02-03,1257738400
2003-02-04,1268397200
2003-02-05,1289714800
2003-02-06,1266265440
2003-02-07,1244947840
2003-02-10,1255606640
2003-02-11,1255606640
2003-02-12,1234289040
2003-02-13,1225762000
2003-02-14,1236420800
2003-02-18,1272660720
2003-02-19,1270528960
2003-02-20,1234289040
2003-02-21,1247079600
2003-02-24,1223630240
2003-02-25,1230025520
2003-02-26,1238552560
2003-02-27,1244947840
2003-02-28,1223630240
2003-03-03,1185258560
2003-03-04,1117042240
2003-03-05,1102119920
2003-03-06,1119174000
2003-03-07,1108515200
2003-03-10,1089329360
2003-03-11,1038167120
2003-03-12,1033903599
2003-03-13,1080802320
2003-03-14,1061616480
2003-03-17,1091461120
2003-03-18,1102119920
2003-03-19,1089329360
2003-03-20,1108515200
2003-03-21,1159677440
2003-03-24,1104251680
2003-03-25,1112778720
2003-03-26,1121305760
2003-03-27,1117042240
2003-03-28,1140491600
2003-03-31,1121305760
2003-04-01,1152831600
2003-04-02,1212942000
2003-04-03,1217235600
2003-04-04,1191474000
2003-04-07,1189327200
2003-04-08,1187180400
2003-04-09,1189327200
2003-04-10,1185033600
2003-04-11,1176446400
2003-04-14,1277346000
2003-04-15,1281639600
2003-04-16,1296667200
2003-04-17,1300960800
2003-04-21,1307401200
2003-04-22,1367511600
2003-04-23,1412594400
2003-04-24,1371805200
2003-04-25,1346043600
2003-04-28,1376098800
2003-04-29,1382539200
2003-04-30,1384686000
2003-05-01,1382539200
2003-05-02,1414741200
2003-05-05,1399713600
2003-05-06,1399713600
2003-05-07,1399713600
2003-05-08,1382539200
2003-05-09,1391126400
2003-05-12,1401860400
2003-05-13,1388979600
2003-05-14,1391126400
2003-05-15,1397566800
2003-05-16,1335309600
2003-05-19,1318135200
2003-05-20,1309548000
2003-05-21,1305254400
2003-05-22,1318135200
2003-05-23,1311694800
2003-05-27,1341750000
2003-05-28,1346043600
2003-05-29,1348190400
2003-05-30,1371805200
2003-06-02,1397566800
2003-06-03,1404007200
2003-06-04,1412594400
2003-06-05,1429768800
2003-06-06,1429768800
2003-06-09,1412594400
2003-06-10,1431915600
2003-06-11,1476998400
2003-06-12,1528521600
2003-06-13,1489879200
2003-06-16,1519934400
2003-06-17,1558576800
2003-06-18,1545696000
2003-06-19,1545696000
2003-06-20,1556430000
2003-06-23,1509200400
2003-06-24,1504906800
2003-06-25,1509200400
2003-06-26,1526374800
2003-06-27,1515640800
2003-06-30,1543270080
2003-07-01,1525832000
2003-07-02,1547629600
2003-07-03,1545449840
2003-07-07,1560708160
2003-07-08,1589045040
2003-07-09,1580326000
2003-07-10,1549809360
2003-07-11,1562887920
2003-07-14,1589045040
2003-07-15,1584685520
2003-07-16,1575966480
2003-07-17,1586865280
2003-07-18,1630460480
2003-07-21,1538910560
2003-07-22,1556348640
2003-07-23,1597764080
2003-07-24,1584685520
2003-07-25,1602123600
2003-07-28,1591224800
2003-07-29,1595584320
2003-07-30,1593404560
2003-07-31,1599943840
2003-08-01,1578146240
2003-08-04,1573786720
2003-08-05,1545449840
2003-08-06,1554168880
2003-08-07,1558528400
2003-08-08,1556348640
2003-08-11,1556348640
2003-08-12,1569427200
2003-08-13,1589045040
2003-08-14,1626100960
2003-08-15,1630460480
2003-08-18,1645718800
2003-08-19,1645718800
2003-08-20,1647898560
2003-08-21,1676235440
2003-08-22,1682774720
2003-08-25,1665336640
2003-08-26,1663156880
2003-08-27,1663156880
2003-08-28,1680594960
2003-08-29,1706752080
2003-09-02,1750347279
2003-09-03,1724190160
2003-09-04,1730729440
2003-09-05,1732909200
2003-09-08,1732909200
2003-09-09,1689314000
2003-09-10,1654437840
2003-09-11,1654437840
2003-09-12,1693673520
2003-09-15,1702392560
2003-09-16,1704572320
2003-09-17,1706752080
2003-09-18,1715471120
2003-09-19,1717650880
2003-09-22,1704572320
2003-09-23,1717650880
2003-09-24,1708931840
2003-09-25,1674055680
2003-09-26,1674055680
2003-09-29,1650078320
2003-09-30,1654448960
2003-10-01,1703239680
2003-10-02,1769772480
2003-10-03,1796385600
2003-10-06,1816345440
2003-10-07,1836305279
2003-10-08,1840740800
2003-10-09,1858482880
2003-10-10,1874007199
2003-10-13,1885096000
2003-10-14,1911709119
2003-10-15,1916144640
2003-10-16,1922797920
2003-10-17,1893967039
2003-10-20,1876224960
2003-10-21,1862918400
2003-10-22,1842958560
2003-10-23,1840740800
2003-10-24,1829652000
2003-10-27,1847394080
2003-10-28,1878442720
2003-10-29,1949411039
2003-10-30,1958282080
2003-10-31,1940540000
2003-11-03,1944975520
2003-11-04,1973806400
2003-11-05,1944975520
2003-11-06,1967153119
2003-11-07,1951628800
2003-11-10,1927233440
2003-11-11,1916144640
2003-11-12,1933886720
2003-11-13,1984895199
2003-11-14,1956064320
2003-11-17,1931668960
2003-11-18,1867353920
2003-11-19,1856265119
2003-11-20,1825216480
2003-11-21,1869571680
2003-11-24,1905055840
2003-11-25,1918362400
2003-11-26,1913926880
2003-11-28,1927233440
2003-12-01,1947193279
2003-12-02,1951628800
2003-12-03,1964935359
2003-12-04,1947193279
2003-12-05,1942757760
2003-12-08,1971588640
2003-12-09,1960499840
2003-12-10,1944975520
2003-12-11,1998201760
2003-12-12,2020379359
2003-12-15,2031468160
2003-12-16,2015943840
2003-12-17,2031468160
2003-12-18,2058081279
2003-12-19,2060299039
2003-12-22,2064734560
2003-12-23,2060299039
2003-12-24,2064734560
2003-12-26,2064734560
2003-12-29,2080258880
2003-12-30,2069170080
2003-12-31,2073605600
2004-01-02,2082476640
2004-01-05,2095783199
2004-01-06,2144573920
2004-01-07,2146791680
2004-01-08,2184493600
2004-01-09,2186711360
2004-01-12,2202235680
2004-01-13,2219977760
2004-01-14,2251026400
2004-01-15,2277639520
2004-01-16,2290946080
2004-01-20,2310905920
2004-01-21,2333083520
2004-01-22,2381874240
2004-01-23,2381874240
2004-01-26,2401834080
2004-01-27,2379656480
2004-01-28,2348607840
2004-01-29,2306470400
2004-01-30,2266550720
2004-02-02,2242155360
2004-02-03,2237719840
2004-02-04,2228848800
2004-02-05,2253244160
2004-02-06,2290946080
2004-02-09,2310905920
2004-02-10,2308688160
2004-02-11,2348607840
2004-02-12,2328648000
2004-02-13,2279857280
2004-02-17,2295381600
2004-02-18,2273204000
2004-02-19,2270986240
2004-02-20,2244373120
2004-02-23,2235502080
2004-02-24,2215542240
2004-02-25,2233284320
2004-02-26,2217760000
2004-02-27,2200017920
2004-03-01,2255461920
2004-03-02,2219977760
2004-03-03,2206671200
2004-03-04,2184493600
2004-03-05,2213324480
2004-03-08,2175622560
2004-03-09,2131267359
2004-03-10,2098000960
2004-03-11,2098000960
2004-03-12,2117960800
2004-03-15,2080258880
2004-03-16,2095783199
2004-03-17,2137920640
2004-03-18,2102436480
2004-03-19,2058081279
2004-03-22,2000419520
2004-03-23,1982677440
2004-03-24,1944975520
2004-03-25,1973806400
2004-03-26,2029250400
2004-03-29,2044774720
2004-03-30,2062516800
2004-03-31,2081187120
2004-04-01,2072264559
2004-04-02,2087879039
2004-04-05,2116877360
2004-04-06,2143645039
2004-04-07,2103493520
2004-04-08,2087879039
2004-04-12,2121338640
2004-04-13,2067803280
2004-04-14,2034343679
2004-04-15,2054419440
2004-04-16,2083417760
2004-04-19,2121338640
2004-04-20,2125799919
2004-04-21,2159259520
2004-04-22,2199411040
2004-04-23,2186027200
2004-04-26,2136953120
2004-04-27,2136953120
2004-04-28,2101262880
2004-04-29,2032113039
2004-04-30,2009806640
2004-05-03,2029882400
2004-05-04,2034343679
2004-05-05,2038804960
2004-05-06,1991961520
2004-05-07,1954040640
2004-05-10,1916119760
2004-05-11,1954040640
2004-05-12,1949579360
2004-05-13,1942887440
2004-05-14,1940656799
2004-05-17,1887121440
2004-05-18,1920581039
2004-05-19,1936195520
2004-05-20,1922811679
2004-05-21,1920581039
2004-05-24,1925042320
2004-05-25,1996422799
2004-05-26,2023190480
2004-05-27,2036574320
2004-05-28,2032113039
2004-06-01,2052188799
2004-06-02,2072264559
2004-06-03,2081187120
2004-06-04,2081187120
2004-06-07,2143645039
2004-06-08,2134722480
2004-06-09,2114646720
2004-06-10,2112416080
2004-06-14,2074495200
2004-06-15,2099032240
2004-06-16,2105724160
2004-06-17,2174874000
2004-06-18,2179335280
2004-06-21,2157028880
2004-06-22,2159259520
2004-06-23,2183796560
2004-06-24,2161490160
2004-06-25,2177104640
2004-06-28,2145875679
2004-06-29,2119108000
2004-06-30,2158083000
2004-07-01,2088612000
2004-07-02,2057238000
2004-07-06,2043791999
2004-07-07,2070684000
2004-07-08,2046033000
2004-07-09,2079647999
2004-07-12,2090853000
2004-07-13,2153601000
2004-07-14,2144637000
2004-07-15,2160324000
2004-07-16,2133432000
2004-07-19,2155842000
2004-07-20,2178252000
2004-07-21,2187216000
2004-07-22,2144637000
2004-07-23,2144637000
2004-07-26,2122227000
2004-07-27,2158083000
2004-07-28,2214108000
2004-07-29,2294784000
2004-07-30,2326158000
2004-08-02,2391147000
2004-08-03,2294784000
2004-08-04,2337363000
2004-08-05,2263410000
2004-08-06,2202903000
2004-08-09,2214108000
2004-08-10,2292543000
2004-08-11,2258928000
2004-08-12,2223072000
2004-08-13,2189457000
2004-08-16,2281338000
2004-08-17,2274615000
2004-08-18,2258928000
2004-08-19,2216349000
2004-08-20,2225313000
2004-08-23,2200662000
2004-08-24,2220831000
2004-08-25,2234277000
2004-08-26,2243241000
2004-08-27,2254446000
2004-08-30,2218590000
2004-08-31,2205144000
2004-09-01,2209626000
2004-09-02,2225313000
2004-09-03,2207385000
2004-09-07,2249964000
2004-09-08,2225313000
2004-09-09,2209626000
2004-09-10,2180493000
2004-09-13,2180493000
2004-09-14,2158083000
2004-09-15,2106540000
2004-09-16,2111022000
2004-09-17,2131191000
2004-09-20,2128950000
2004-09-21,2155842000
2004-09-22,2140155000
2004-09-23,2106540000
2004-09-24,2113263000
2004-09-27,2043791999
2004-09-28,2034828000
2004-09-29,2057238000
2004-09-30,2148702080
