,EXR
2005-01-11,419547527
2005-01-12,420794325
2005-01-13,406767847
2005-01-14,432015507
2005-01-18,413001837
2005-01-19,414560335
2005-01-20,409884842
2005-01-21,410819941
2005-01-24,412378438
2005-01-25,408638044
2005-01-26,403650852
2005-01-27,405209350
2005-01-28,403339153
2005-01-31,404274251
2005-02-01,406767847
2005-02-02,403962552
2005-02-03,405209350
2005-02-04,411443340
2005-02-07,413625236
2005-02-08,416118832
2005-02-09,414248635
2005-02-10,421417724
2005-02-11,431392108
2005-02-14,429833610
2005-02-15,425469817
2005-02-16,437314398
2005-02-17,437314398
2005-02-18,435755901
2005-02-22,427340014
2005-02-23,430145310
2005-02-24,430145310
2005-02-25,436379300
2005-02-28,433262305
2005-03-01,436379300
2005-03-02,437626098
2005-03-03,433262305
2005-03-04,438872896
2005-03-07,437937797
2005-03-08,439496295
2005-03-09,437937797
2005-03-10,435755901
2005-03-11,428586812
2005-03-14,427028315
2005-03-15,421106024
2005-03-16,417053931
2005-03-17,420794325
2005-03-18,424223019
2005-03-21,418924128
2005-03-22,413936936
2005-03-23,407079547
2005-03-24,404274251
2005-03-28,398040261
2005-03-29,398975360
2005-03-30,416430532
2005-03-31,430094326
2005-04-01,413846318
2005-04-04,413846318
2005-04-05,419262321
2005-04-06,420218086
2005-04-07,423722558
2005-04-08,416076437
2005-04-11,414483495
2005-04-12,417350790
2005-04-13,424041147
2005-04-14,423085381
2005-04-15,416713614
2005-04-18,418306556
2005-04-19,418943732
2005-04-20,417987967
2005-04-21,417350790
2005-04-22,408430315
2005-04-25,419580909
2005-04-26,412253376
2005-04-27,415439260
2005-04-28,411616199
2005-04-29,414164907
2005-05-02,414164907
2005-05-03,414483495
2005-05-04,410979023
2005-05-05,410660434
2005-05-06,408748904
2005-05-09,412571965
2005-05-10,410979023
2005-05-11,408111727
2005-05-12,402058548
2005-05-13,409386081
2005-05-16,410023257
2005-05-17,411616199
2005-05-18,416076437
2005-05-19,418943732
2005-05-20,420855263
2005-05-23,431050091
2005-05-24,434873152
2005-05-25,433917387
2005-05-26,441244920
2005-05-27,451758337
2005-05-31,458767281
2005-06-01,448891041
2005-06-02,448572453
2005-06-03,450802571
2005-06-06,457811516
2005-06-07,460360223
2005-06-08,458767281
2005-06-09,453669867
2005-06-10,454307044
2005-06-13,457811516
2005-06-14,459085869
2005-06-15,453988455
2005-06-16,450165395
2005-06-17,449209629
2005-06-20,439651978
2005-06-21,450483983
2005-06-22,453351278
2005-06-23,447616687
2005-06-24,460678811
2005-06-27,461634577
2005-06-28,467687756
2005-06-29,466094814
2005-06-30,536883481
2005-07-01,545875249
2005-07-05,558238930
2005-07-06,545125935
2005-07-07,556365645
2005-07-08,565732070
2005-07-11,593082031
2005-07-12,596079287
2005-07-13,597952572
2005-07-14,586712862
2005-07-15,588586147
2005-07-18,591958060
2005-07-19,603197770
2005-07-20,620431992
2005-07-21,600200514
2005-07-22,603197770
2005-07-25,597952572
2005-07-26,605071055
2005-07-27,605071055
2005-07-28,608442968
2005-07-29,604696398
2005-08-01,606944340
2005-08-02,606944340
2005-08-03,606569683
2005-08-04,588586147
2005-08-05,561236186
2005-08-08,553743046
2005-08-09,550745790
2005-08-10,577346437
2005-08-11,571351925
2005-08-12,554492360
2005-08-15,561236186
2005-08-16,572475896
2005-08-17,558238930
2005-08-18,563109471
2005-08-19,558238930
2005-08-22,554492360
2005-08-23,554492360
2005-08-24,560112215
2005-08-25,566106727
2005-08-26,558988244
2005-08-29,564608099
2005-08-30,561610843
2005-08-31,558988244
2005-09-01,561610843
2005-09-02,559737558
2005-09-06,590459432
2005-09-07,583715606
2005-09-08,582591635
2005-09-09,597203258
2005-09-12,590084775
2005-09-13,575847809
2005-09-14,569103983
2005-09-15,571351925
2005-09-16,579969036
2005-09-19,561610843
2005-09-20,566481384
2005-09-21,560112215
2005-09-22,563109471
2005-09-23,570227954
2005-09-26,573599867
2005-09-27,563858785
2005-09-28,555616331
2005-09-29,567605355
2005-09-30,576222466
2005-10-03,569478640
2005-10-04,567605355
2005-10-05,560486872
2005-10-06,561236186
2005-10-07,560112215
2005-10-10,559362901
2005-10-11,536883481
2005-10-12,521147887
2005-10-13,517775974
2005-10-14,536134167
2005-10-17,546999220
2005-10-18,538007452
2005-10-19,534635539
2005-10-20,518150631
2005-10-21,520773230
2005-10-24,537632795
2005-10-25,525643771
2005-10-26,520773230
2005-10-27,522271858
2005-10-28,544751278
2005-10-31,546999220
2005-11-01,536508824
2005-11-02,533886225
2005-11-03,525269114
2005-11-04,520773230
2005-11-07,505412293
2005-11-08,492299298
2005-11-09,514029404
2005-11-10,526393085
2005-11-11,528641027
2005-11-14,526393085
2005-11-15,524894457
2005-11-16,517401317
2005-11-17,529764998
2005-11-18,540255394
2005-11-21,544001964
2005-11-22,558238930
2005-11-23,563484128
2005-11-25,564608099
2005-11-28,542877993
2005-11-29,566481384
2005-11-30,570977268
2005-12-01,563858785
2005-12-02,553743046
2005-12-05,545875249
2005-12-06,562734814
2005-12-07,557864273
2005-12-08,563109471
2005-12-09,567605355
2005-12-12,572850553
2005-12-13,560112215
2005-12-14,558238930
2005-12-15,554492360
2005-12-16,557114959
2005-12-19,554492360
2005-12-20,553368389
2005-12-21,569478640
2005-12-22,569478640
2005-12-23,567605355
2005-12-27,570602611
2005-12-28,565732070
2005-12-29,565357413
2005-12-30,576971780
2006-01-03,787836241
2006-01-04,791963740
2006-01-05,783708743
2006-01-06,788868116
2006-01-09,786288429
2006-01-10,790931865
2006-01-11,794543426
2006-01-12,789384053
2006-01-13,774421872
2006-01-17,767714687
2006-01-18,766682812
2006-01-19,774421872
2006-01-20,763587189
2006-01-23,773389997
2006-01-24,772874060
2006-01-25,772358123
2006-01-26,794543426
2006-01-27,805378109
2006-01-30,797123113
2006-01-31,791963740
2006-02-01,784224680
2006-02-02,767714687
2006-02-03,747593133
2006-02-06,757911879
2006-02-07,767714687
2006-02-08,775969684
2006-02-09,761523440
2006-02-10,759459690
2006-02-13,771326248
2006-02-14,773905935
2006-02-15,777517496
2006-02-16,771842185
2006-02-17,779065307
2006-02-21,769778436
2006-02-22,771842185
2006-02-23,759975628
2006-02-24,761007502
2006-02-27,783708743
2006-02-28,773905935
2006-03-01,795575301
2006-03-02,788352179
2006-03-03,775969684
2006-03-06,783192806
2006-03-07,785256555
2006-03-08,791963740
2006-03-09,802798423
2006-03-10,816728730
2006-03-13,809505608
2006-03-14,812085294
2006-03-15,830143099
2006-03-16,859035587
2006-03-17,871418082
2006-03-20,859035587
2006-03-21,860067462
2006-03-22,877609330
2006-03-23,884316515
2006-03-24,865742772
2006-03-27,860583399
2006-03-28,864194960
2006-03-29,887412138
2006-03-30,875545581
2006-03-31,887436070
2006-04-03,865237262
2006-04-04,867302268
2006-04-05,872981032
2006-04-06,864721011
2006-04-07,850782224
2006-04-10,842005951
2006-04-11,830648422
2006-04-12,817225887
2006-04-13,814128378
2006-04-17,806900860
2006-04-18,818774641
2006-04-19,825485908
2006-04-20,826002160
2006-04-21,813612127
2006-04-24,820839646
2006-04-25,816193384
2006-04-26,832713427
2006-04-27,820839646
2006-04-28,811547122
2006-05-01,792962073
2006-05-02,804319603
2006-05-03,802254597
2006-05-04,797092084
2006-05-05,819807143
2006-05-08,800189592
2006-05-09,787283308
2006-05-10,795543330
2006-05-11,779539538
2006-05-12,768182008
2006-05-15,785734554
2006-05-16,787799560
2006-05-17,774377025
2006-05-18,769214511
2006-05-19,768698260
2006-05-22,764568249
2006-05-23,766117003
2006-05-24,763019495
2006-05-25,776958281
2006-05-26,774377025
2006-05-30,764568249
2006-05-31,784185800
2006-06-01,795027079
2006-06-02,805352106
2006-06-05,800189592
2006-06-06,799157089
2006-06-07,787799560
2006-06-08,794510827
2006-06-09,788832062
2006-06-12,787799560
2006-06-13,773860773
2006-06-14,765084500
2006-06-15,777990784
2006-06-16,775925779
2006-06-19,756824479
2006-06-20,764051998
2006-06-21,761470741
2006-06-22,757340730
2006-06-23,757856981
2006-06-26,774377025
2006-06-27,773344522
2006-06-28,780572041
2006-06-29,808449614
2006-06-30,852630271
2006-07-03,846855066
2006-07-05,851055215
2006-07-06,851580234
2006-07-07,836879712
2006-07-10,842129898
2006-07-11,847380084
2006-07-12,851580234
2006-07-13,843179935
2006-07-14,833729600
2006-07-17,824804283
2006-07-18,844754991
2006-07-19,861030569
2006-07-20,841079861
2006-07-21,830579488
2006-07-24,842654917
2006-07-25,847380084
2006-07-26,838979786
2006-07-27,840029824
2006-07-28,847380084
2006-07-31,836354693
2006-08-01,836354693
2006-08-02,847905103
2006-08-03,853155290
2006-08-04,853155290
2006-08-07,864180681
2006-08-08,858405476
2006-08-09,865755737
2006-08-10,858930495
2006-08-11,863655662
2006-08-14,868380830
2006-08-15,884656408
2006-08-16,882556333
2006-08-17,885706445
2006-08-18,884656408
2006-08-21,896731837
2006-08-22,892531688
2006-08-23,887281501
2006-08-24,888856557
2006-08-25,895156781
2006-08-28,911432359
2006-08-29,918257601
2006-08-30,925607862
2006-08-31,918782620
2006-09-01,905657154
2006-09-05,904607116
2006-09-06,895156781
2006-09-07,886756482
2006-09-08,892531688
2006-09-11,895156781
2006-09-12,906182172
2006-09-13,896731837
2006-09-14,897781874
2006-09-15,930333030
2006-09-18,919307638
2006-09-19,929282992
2006-09-20,914582470
2006-09-21,924032806
2006-09-22,918257601
2006-09-25,916157526
2006-09-26,913532433
2006-09-27,919307638
2006-09-28,921407713
2006-09-29,908807265
2006-10-02,905657154
2006-10-03,896731837
2006-10-04,925607862
2006-10-05,934533179
2006-10-06,929282992
2006-10-09,935583216
2006-10-10,930333030
2006-10-11,924557825
2006-10-12,930333030
2006-10-13,937158272
2006-10-16,946083589
2006-10-17,944508533
2006-10-18,952908831
2006-10-19,960784111
2006-10-20,948708682
2006-10-23,954483887
2006-10-24,943983514
2006-10-25,952383812
2006-10-26,977059689
2006-10-27,963409204
2006-10-30,971284484
2006-10-31,968134372
2006-11-01,957633999
2006-11-02,945558570
2006-11-03,911957377
2006-11-06,931908086
2006-11-07,920357675
2006-11-08,922982769
2006-11-09,915632508
2006-11-10,923507787
2006-11-13,928757974
2006-11-14,918782620
2006-11-15,926132880
2006-11-16,918257601
2006-11-17,916157526
2006-11-20,944508533
2006-11-21,953433850
2006-11-22,948708682
2006-11-24,961834148
2006-11-27,935058197
2006-11-28,942933477
2006-11-29,954483887
2006-11-30,967084334
2006-12-01,964459241
2006-12-04,992285229
2006-12-05,978109726
2006-12-06,977059689
2006-12-07,970234446
2006-12-08,968659390
2006-12-11,971809502
2006-12-12,971284484
2006-12-13,946083589
2006-12-14,947133626
2006-12-15,948708682
2006-12-18,932958123
2006-12-19,931383067
2006-12-20,939783365
2006-12-21,934533179
2006-12-22,926657899
2006-12-26,932958123
2006-12-27,947658645
2006-12-28,946083589
2006-12-29,958684036
2007-01-03,1187008748
2007-01-04,1200461087
2007-01-05,1166509946
2007-01-08,1154979370
2007-01-09,1165869359
2007-01-10,1176118760
2007-01-11,1183165223
2007-01-12,1200461087
2007-01-16,1197898737
2007-01-17,1201742262
2007-01-18,1187649336
2007-01-19,1201742262
2007-01-22,1211351075
2007-01-23,1201101675
2007-01-24,1204304612
2007-01-25,1208148138
2007-01-26,1212632251
2007-01-29,1228006352
2007-01-30,1245302216
2007-01-31,1264519843
2007-02-01,1265801018
2007-02-02,1277972182
2007-02-05,1259395142
2007-02-06,1261957493
2007-02-07,1292065108
2007-02-08,1288221583
2007-02-09,1261957493
2007-02-12,1244021041
2007-02-13,1278612769
2007-02-14,1270925719
2007-02-15,1270925719
2007-02-16,1276691007
2007-02-20,1284378057
2007-02-21,1272847481
2007-02-22,1261957493
2007-02-23,1236333990
2007-02-26,1222241064
2007-02-27,1193414624
2007-02-28,1217116364
2007-03-01,1207507550
2007-03-02,1208148138
2007-03-05,1165228771
2007-03-06,1202382850
2007-03-07,1211991663
2007-03-08,1252348679
2007-03-09,1283096882
2007-03-12,1309360972
2007-03-13,1276050419
2007-03-14,1274769244
2007-03-15,1284378057
2007-03-16,1276691007
2007-03-19,1288862170
2007-03-20,1281815707
2007-03-21,1253629854
2007-03-22,1251067504
2007-03-23,1245942804
2007-03-26,1236333990
2007-03-27,1225444002
2007-03-28,1211351075
2007-03-29,1197898737
2007-03-30,1213272838
2007-04-02,1236587058
2007-04-03,1232076318
2007-04-04,1230143144
2007-04-05,1235942666
2007-04-09,1224988013
2007-04-10,1230787535
2007-04-11,1214033359
2007-04-12,1209522620
2007-04-13,1222410447
2007-04-16,1228209970
2007-04-17,1245608537
2007-04-18,1235942666
2007-04-19,1228209970
2007-04-20,1236587058
2007-04-23,1240453406
2007-04-24,1241097797
2007-04-25,1250763668
2007-04-26,1243030972
2007-04-27,1235298275
2007-04-30,1205656271
2007-05-01,1202434315
2007-05-02,1203723097
2007-05-03,1194057227
2007-05-04,1184391356
2007-05-07,1172792311
2007-05-08,1156038135
2007-05-09,1163126440
2007-05-10,1137350785
2007-05-11,1150238613
2007-05-14,1143794699
2007-05-15,1135417611
2007-05-16,1134773220
2007-05-17,1107064390
2007-05-18,1096109737
2007-05-21,1128973697
2007-05-22,1138639568
2007-05-23,1117374652
2007-05-24,1107064390
2007-05-25,1106419999
2007-05-29,1130262480
2007-05-30,1156682527
2007-05-31,1154104961
2007-06-01,1161837658
2007-06-04,1164415223
2007-06-05,1136062002
2007-06-06,1125751740
2007-06-07,1108353173
2007-06-08,1111575130
2007-06-11,1100620477
2007-06-12,1076777995
2007-06-13,1078711170
2007-06-14,1069045299
2007-06-15,1085155083
2007-06-18,1090310214
2007-06-19,1087732649
2007-06-20,1055513080
2007-06-21,1069689690
2007-06-22,1076777995
2007-06-25,1076133604
2007-06-26,1085155083
2007-06-27,1097398520
2007-06-28,1081288735
2007-06-29,1063245777
2007-07-02,1085797895
2007-07-03,1064380483
2007-07-05,1068923571
2007-07-06,1083201845
2007-07-09,1069572583
2007-07-10,1057241346
2007-07-11,1056592333
2007-07-12,1068923571
2007-07-13,1067625546
2007-07-16,1053996283
2007-07-17,1055943321
2007-07-18,1052049246
2007-07-19,1050751221
2007-07-20,1020896646
2007-07-23,1006618371
2007-07-24,978710834
2007-07-25,965081572
2007-07-26,936525023
2007-07-27,900180323
2007-07-30,898233286
2007-07-31,911213535
2007-08-01,931332923
2007-08-02,940419098
2007-08-03,925491810
2007-08-06,973518735
2007-08-07,973518735
2007-08-08,992989109
2007-08-09,1006618371
2007-08-10,977412809
2007-08-13,984551947
2007-08-14,950154285
2007-08-15,928087860
2007-08-16,959240460
2007-08-17,983902934
2007-08-20,985200959
2007-08-21,987147997
2007-08-22,987147997
2007-08-23,989095034
2007-08-24,999479234
2007-08-27,970273672
2007-08-28,937823048
2007-08-29,973518735
2007-08-30,974167747
2007-08-31,997532197
2007-09-04,1018949609
2007-09-05,995585159
2007-09-06,978061822
2007-09-07,959240460
2007-09-10,946909222
2007-09-11,950154285
2007-09-12,943664160
2007-09-13,967028610
2007-09-14,982604909
2007-09-17,988446022
2007-09-18,1019598621
2007-09-19,1017002571
2007-09-20,1009214421
2007-09-21,1024141709
2007-09-24,1033227884
2007-09-25,1018949609
2007-09-26,1024790721
2007-09-27,1014406521
2007-09-28,998830222
2007-10-01,1018949609
2007-10-02,1029982821
2007-10-03,1023492696
2007-10-04,1031929859
2007-10-05,1077360733
2007-10-08,1063082458
2007-10-09,1070870608
2007-10-10,1071519620
2007-10-11,1061135421
2007-10-12,1065678508
2007-10-15,1050102208
2007-10-16,1029982821
2007-10-17,1024790721
2007-10-18,1017002571
2007-10-19,965730585
2007-10-22,978061822
2007-10-23,973518735
2007-10-24,967028610
2007-10-25,964432560
2007-10-26,963134535
2007-10-29,970273672
2007-10-30,986498984
2007-10-31,1020247634
2007-11-01,986498984
2007-11-02,979359847
2007-11-05,965081572
2007-11-06,962485522
2007-11-07,929385885
2007-11-08,923544773
2007-11-09,931332923
2007-11-12,950803297
2007-11-13,986498984
2007-11-14,972220710
2007-11-15,975465772
2007-11-16,958591447
2007-11-19,946260210
2007-11-20,926789835
2007-11-21,913809585
2007-11-23,931981935
2007-11-26,883955011
2007-11-27,894988223
2007-11-28,915107610
2007-11-29,909266498
2007-11-30,925491810
2007-12-03,923544773
2007-12-04,902127361
2007-12-05,919650698
2007-12-06,946260210
2007-12-07,956644410
2007-12-10,983253922
2007-12-11,933279960
2007-12-12,907968473
2007-12-13,901478348
2007-12-14,866431674
2007-12-17,853451424
2007-12-18,881358961
2007-12-19,885902048
2007-12-20,893041186
2007-12-21,927438848
2007-12-24,950803297
2007-12-26,949505272
2007-12-27,935876010
2007-12-28,908617486
2007-12-31,945500122
2008-01-02,923003968
2008-01-03,894552949
2008-01-04,879996614
2008-01-07,874041750
2008-01-08,846252383
2008-01-09,857500460
2008-01-10,866101931
2008-01-11,871395144
2008-01-14,883304872
2008-01-15,856838809
2008-01-16,886613130
2008-01-17,890583040
2008-01-18,876688356
2008-01-22,885289827
2008-01-23,944838470
2008-01-24,933590393
2008-01-25,949470031
2008-01-28,1001740507
2008-01-29,989169127
2008-01-30,972627837
2008-01-31,1001740507
2008-02-01,1030853177
2008-02-04,1013650235
2008-02-05,975936095
2008-02-06,943515167
2008-02-07,950793334
2008-02-08,932267090
2008-02-11,921019013
2008-02-12,941530212
2008-02-13,966672972
2008-02-14,938221954
2008-02-15,930943787
2008-02-19,959394805
2008-02-20,991815733
2008-02-21,981229307
2008-02-22,993139036
2008-02-25,1022251706
2008-02-26,1023575009
2008-02-27,1034161435
2008-02-28,1005710416
2008-02-29,997108946
2008-03-03,1007033719
2008-03-04,1011665281
2008-03-05,1005048765
2008-03-06,990492430
2008-03-07,995785642
2008-03-10,994462339
2008-03-11,1064597408
2008-03-12,1030191525
2008-03-13,1055334286
2008-03-14,1035484738
2008-03-17,1044747860
2008-03-18,1103634852
2008-03-19,1106281458
2008-03-20,1127454309
2008-03-24,1134732476
2008-03-25,1097679987
2008-03-26,1108928064
2008-03-27,1081800349
2008-03-28,1048717770
2008-03-31,1196449483
2008-04-01,1243745818
2008-04-02,1282174091
2008-04-03,1267393986
2008-04-04,1252613881
2008-04-07,1260742939
2008-04-08,1270350007
2008-04-09,1228965714
2008-04-10,1231182729
2008-04-11,1220097651
2008-04-14,1220836656
2008-04-15,1234877756
2008-04-16,1260003934
2008-04-17,1264437965
2008-04-18,1272567023
2008-04-21,1251874876
2008-04-22,1227487703
2008-04-23,1254091892
2008-04-24,1266654981
2008-04-25,1274784039
2008-04-28,1267393986
2008-04-29,1272567023
2008-04-30,1243745818
2008-05-01,1299910217
2008-05-02,1308039274
2008-05-05,1299171211
2008-05-06,1299910217
2008-05-07,1262959955
2008-05-08,1251135871
2008-05-09,1246701839
2008-05-12,1256308908
2008-05-13,1239311787
2008-05-14,1211968593
2008-05-15,1223792677
2008-05-16,1240050792
2008-05-19,1237833777
2008-05-20,1226009693
2008-05-21,1217141630
2008-05-22,1214924614
2008-05-23,1231921735
2008-05-27,1246701839
2008-05-28,1237833777
2008-05-29,1234877756
2008-05-30,1230443724
2008-06-02,1226009693
2008-06-03,1201622520
2008-06-04,1213446604
2008-06-05,1226009693
2008-06-06,1197927494
2008-06-09,1185364404
2008-06-10,1185364404
2008-06-11,1153587179
2008-06-12,1157282205
2008-06-13,1175018331
2008-06-16,1180191368
2008-06-17,1142502101
2008-06-18,1141024090
2008-06-19,1178713357
2008-06-20,1165411263
2008-06-23,1132895032
2008-06-24,1148414142
2008-06-25,1162455242
2008-06-26,1133634038
2008-06-27,1130678017
2008-06-30,1255480104
2008-07-01,1259566954
2008-07-02,1242402187
2008-07-03,1244036926
2008-07-07,1226054790
2008-07-08,1292261748
2008-07-09,1206437913
2008-07-10,1242402187
2008-07-11,1239950077
2008-07-14,1193359995
2008-07-15,1166386790
2008-07-16,1215428981
2008-07-17,1248123776
2008-07-18,1230959009
2008-07-21,1215428981
2008-07-22,1277549091
2008-07-23,1288992269
2008-07-24,1240767447
2008-07-25,1248941146
2008-07-28,1213794242
2008-07-29,1248123776
2008-07-30,1144317804
2008-07-31,1158213091
2008-08-01,1161482571
2008-08-04,1142683064
2008-08-05,1188455776
2008-08-06,1173743118
2008-08-07,1136144105
2008-08-08,1185186297
2008-08-11,1230959009
2008-08-12,1238315337
2008-08-13,1233411118
2008-08-14,1240767447
2008-08-15,1253845365
2008-08-18,1225237420
2008-08-19,1221967940
2008-08-20,1230141639
2008-08-21,1220333200
2008-08-22,1255480104
2008-08-25,1228506899
2008-08-26,1248941146
2008-08-27,1254662735
2008-08-28,1302070186
2008-08-29,1287357529
2008-09-02,1293079118
2008-09-03,1315148104
2008-09-04,1275914351
2008-09-05,1268558022
2008-09-08,1324139173
2008-09-09,1287357529
2008-09-10,1286540159
2008-09-11,1275096981
2008-09-12,1294713858
2008-09-15,1220333200
2008-09-16,1312695995
2008-09-17,1217881091
2008-09-18,1423040926
2008-09-19,1436118844
2008-09-22,1306157036
2008-09-23,1282453310
2008-09-24,1222785310
2008-09-25,1221967940
2008-09-26,1257114844
2008-09-29,1217063721
2008-09-30,1255480104
2008-10-01,1226054790
2008-10-02,1172925749
2008-10-03,1158213091
2008-10-06,1126335667
2008-10-07,1056041859
2008-10-08,1074841365
2008-10-09,940792708
2008-10-10,1037242352
2008-10-13,1074023996
2008-10-14,1064215557
2008-10-15,948966407
2008-10-16,949783777
2008-10-17,932619010
2008-10-20,935888489
2008-10-21,916271613
2008-10-22,872951010
2008-10-23,838621476
2008-10-24,782222956
2008-10-27,711111778
2008-10-28,798570353
2008-10-29,848429914
2008-10-30,865594681
2008-10-31,940792708
2008-11-03,953870626
2008-11-04,999643338
2008-11-05,927714791
2008-11-06,885211558
2008-11-07,917906352
2008-11-10,859873092
2008-11-11,819004599
2008-11-12,767510298
2008-11-13,816552490
2008-11-14,718468106
2008-11-17,723372326
2008-11-18,690677531
2008-11-19,599132107
2008-11-20,528838299
2008-11-21,550907285
2008-11-24,685773312
2008-11-25,653895888
2008-11-26,712746517
2008-11-28,723372326
2008-12-01,614662134
2008-12-02,672695394
2008-12-03,693947011
2008-12-04,681686463
2008-12-05,759336599
2008-12-08,824726188
2008-12-09,732363394
2008-12-10,768327668
2008-12-11,680869093
2008-12-12,730728654
2008-12-15,693947011
2008-12-16,784675065
2008-12-17,824726188
2008-12-18,819004599
2008-12-19,890115777
2008-12-22,841890955
2008-12-23,806744051
2008-12-24,795300873
2008-12-26,794483503
2008-12-29,766692928
2008-12-30,779770846
2008-12-31,886904814
2009-01-02,873154352
2009-01-05,835340581
2009-01-06,892920641
2009-01-07,864560313
2009-01-08,848231639
2009-01-09,812136676
2009-01-12,767447673
2009-01-13,787213963
2009-01-14,745103172
2009-01-15,766588269
2009-01-16,810417868
2009-01-20,712445824
2009-01-21,719321055
2009-01-22,726196287
2009-01-23,733930922
2009-01-26,735649729
2009-01-27,755416019
2009-01-28,794089194
2009-01-29,730493306
2009-01-30,696976554
2009-02-02,694398343
2009-02-03,672913245
2009-02-04,648849936
2009-02-05,632521263
2009-02-06,660881591
2009-02-09,666897418
2009-02-10,615333185
2009-02-11,624786628
2009-02-12,608457954
2009-02-13,577519414
2009-02-17,534549219
2009-02-18,539705642
2009-02-19,526814584
2009-02-20,529392796
2009-02-23,514782930
2009-02-24,567206567
2009-02-25,545721470
2009-02-26,531111604
2009-02-27,538846239
2009-03-02,495016640
2009-03-03,484703793
2009-03-04,490719621
2009-03-05,470093927
2009-03-06,445171215
2009-03-09,440874195
2009-03-10,480406774
2009-03-11,443452407
2009-03-12,482125582
2009-03-13,464937504
2009-03-16,438295983
2009-03-17,474390947
2009-03-18,507907698
2009-03-19,481266178
2009-03-20,440874195
2009-03-23,502751275
2009-03-24,482125582
2009-03-25,476109755
2009-03-26,505329487
2009-03-27,464937504
2009-03-30,452905850
2009-03-31,476050875
2009-04-01,487282565
2009-04-02,533937279
2009-04-03,561584517
2009-04-06,563312469
2009-04-07,512337874
2009-04-08,522705588
2009-04-09,595279588
2009-04-13,593551635
2009-04-14,530481374
2009-04-15,554672707
2009-04-16,606511278
2009-04-17,657485872
2009-04-20,616015016
2009-04-21,665261658
2009-04-22,647118158
2009-04-23,667853587
2009-04-24,691180944
2009-04-27,638478397
2009-04-28,620334897
2009-04-29,634158516
2009-04-30,614287063
2009-05-01,587503802
2009-05-04,681677206
2009-05-05,612559111
2009-05-06,616015016
2009-05-07,560720540
2009-05-08,609967183
2009-05-11,594415611
2009-05-12,586639826
2009-05-13,548624874
2009-05-14,580591992
2009-05-15,571952231
2009-05-18,621198873
2009-05-19,630702611
2009-05-20,609103206
2009-05-21,619470921
2009-05-22,596143564
2009-05-26,640206349
2009-05-27,619470921
2009-05-28,614287063
2009-05-29,648846111
2009-06-01,682541182
2009-06-02,712780348
2009-06-03,717100229
2009-06-04,746475419
2009-06-05,750795300
2009-06-08,726603967
2009-06-09,730923848
2009-06-10,730923848
2009-06-11,728331919
2009-06-12,736971681
2009-06-15,700684681
2009-06-16,686861063
2009-06-17,676493348
2009-06-18,682541182
2009-06-19,703276610
2009-06-22,679085277
2009-06-23,677357325
2009-06-24,696364801
2009-06-25,697228777
2009-06-26,727467943
2009-06-29,714508300
2009-06-30,721756272
2009-07-01,739043848
2009-07-02,694960531
2009-07-06,706197455
2009-07-07,687181122
2009-07-08,662978516
2009-07-09,648284077
2009-07-10,653470350
2009-07-13,675944198
2009-07-14,687181122
2009-07-15,708790591
2009-07-16,719163136
2009-07-17,700146803
