,HRL
2000-09-19,2133248443
2000-09-20,2127764514
2000-09-21,2166152018
2000-09-22,2204539522
2000-09-25,2149700230
2000-09-26,2166152018
2000-09-27,2182603805
2000-09-28,2204539522
2000-09-29,2286798459
2000-10-02,2220991309
2000-10-03,2204539522
2000-10-04,2182603805
2000-10-05,2253894884
2000-10-06,2286798459
2000-10-09,2303250247
2000-10-10,2303250247
2000-10-11,2303250247
2000-10-12,2303250247
2000-10-13,2242927026
2000-10-16,2264862743
2000-10-17,2264862743
2000-10-18,2264862743
2000-10-19,2253894884
2000-10-20,2226475238
2000-10-23,2220991309
2000-10-24,2210023451
2000-10-25,2182603805
2000-10-26,2253894884
2000-10-27,2303250247
2000-10-30,2372225969
2000-10-31,2327885296
2000-11-01,2388853721
2000-11-02,2427651809
2000-11-03,2405481473
2000-11-06,2449822145
2000-11-07,2444279561
2000-11-08,2427651809
2000-11-09,2449822145
2000-11-10,2449822145
2000-11-13,2444279561
2000-11-14,2505247986
2000-11-15,2521875738
2000-11-16,2582844162
2000-11-17,2571758994
2000-11-20,2588386746
2000-11-21,2588386746
2000-11-22,2494162818
2000-11-24,2483077649
2000-11-27,2555131242
2000-11-28,2538503490
2000-11-29,2521875738
2000-11-30,2599471914
2000-12-01,2588386746
2000-12-04,2599471914
2000-12-05,2449822145
2000-12-06,2477535065
2000-12-07,2505247986
2000-12-08,2555131242
2000-12-11,2555131242
2000-12-12,2433194393
2000-12-13,2416566641
2000-12-14,2388853721
2000-12-15,2322342712
2000-12-18,2355598217
2000-12-19,2344513048
2000-12-20,2344513048
2000-12-21,2383311137
2000-12-22,2466449897
2000-12-26,2521875738
2000-12-27,2510790570
2000-12-28,2649355171
2000-12-29,2582844162
2001-01-02,2582844162
2001-01-03,2582844162
2001-01-04,2494162818
2001-01-05,2483077649
2001-01-08,2544046074
2001-01-09,2505247986
2001-01-10,2494162818
2001-01-11,2433194393
2001-01-12,2383311137
2001-01-16,2483077649
2001-01-17,2427651809
2001-01-18,2444279561
2001-01-19,2444279561
2001-01-22,2466449897
2001-01-23,2521875738
2001-01-24,2571758994
2001-01-25,2621642250
2001-01-26,2632727419
2001-01-29,2572560283
2001-01-30,2661460855
2001-01-31,2678129712
2001-02-01,2755917712
2001-02-02,2739248855
2001-02-05,2772586569
2001-02-06,2761473997
2001-02-07,2828149426
2001-02-08,2933718854
2001-02-09,2983725426
2001-02-12,2983725426
2001-02-13,2972612854
2001-02-14,2928162569
2001-02-15,2894824854
2001-02-16,2983725426
2001-02-20,2989281711
2001-02-21,2911493712
2001-02-22,2967056569
2001-02-23,2950387712
2001-02-26,2955943997
2001-02-27,2939275140
2001-02-28,2989281711
2001-03-01,2928162569
2001-03-02,2972612854
2001-03-05,2972612854
2001-03-06,2967056569
2001-03-07,2967056569
2001-03-08,2978169140
2001-03-09,2972612854
2001-03-12,2961500283
2001-03-13,2939275140
2001-03-14,2944831426
2001-03-15,2872599712
2001-03-16,2828149426
2001-03-19,2844818283
2001-03-20,2828149426
2001-03-21,2778142855
2001-03-22,2667017140
2001-03-23,2739248855
2001-03-26,2750361426
2001-03-27,2811480569
2001-03-28,2705911140
2001-03-29,2683685997
2001-03-30,2705911140
2001-04-02,2639235712
2001-04-03,2717023712
2001-04-04,2733692569
2001-04-05,2783699140
2001-04-06,2711467426
2001-04-09,2705911140
2001-04-10,2728136283
2001-04-11,2711467426
2001-04-12,2722579997
2001-04-16,2722579997
2001-04-17,2711467426
2001-04-18,2711467426
2001-04-19,2755917712
2001-04-20,2722579997
2001-04-23,2711467426
2001-04-24,2761473997
2001-04-25,2761473997
2001-04-26,2828149426
2001-04-27,2844818283
2001-04-30,2864625600
2001-05-01,2798006400
2001-05-02,2792454800
2001-05-03,2709180800
2001-05-04,2820212800
2001-05-07,2825764400
2001-05-08,2847970800
2001-05-09,2831316000
2001-05-10,2836867600
2001-05-11,2831316000
2001-05-14,2792454800
2001-05-15,2836867600
2001-05-16,2875728800
2001-05-17,2947899600
2001-05-18,2992312400
2001-05-21,3053380000
2001-05-22,3086689600
2001-05-23,3097792800
2001-05-24,3142205600
2001-05-25,3131102400
2001-05-29,3131102400
2001-05-30,3164412000
2001-05-31,3275444000
2001-06-01,3280995600
2001-06-04,3336511600
2001-06-05,3342063200
2001-06-06,3325408400
2001-06-07,3303202000
2001-06-08,3325408400
2001-06-11,3297650400
2001-06-12,3303202000
2001-06-13,3330960000
2001-06-14,3314305200
2001-06-15,3292098800
2001-06-18,3303202000
2001-06-19,3330960000
2001-06-20,3325408400
2001-06-21,3469750000
2001-06-22,3380924400
2001-06-25,3342063200
2001-06-26,3358718000
2001-06-27,3386476000
2001-06-28,3403130800
2001-06-29,3380924400
2001-07-02,3430888800
2001-07-03,3464198400
2001-07-05,3475301600
2001-07-06,3491956400
2001-07-09,3480853200
2001-07-10,3503059600
2001-07-11,3486404800
2001-07-12,3469750000
2001-07-13,3469750000
2001-07-16,3436440400
2001-07-17,3419785600
2001-07-18,3403130800
2001-07-19,3453095200
2001-07-20,3453095200
2001-07-23,3419785600
2001-07-24,3464198400
2001-07-25,3503059600
2001-07-26,3475301600
2001-07-27,3486404800
2001-07-30,3448028184
2001-07-31,3464447366
2001-08-01,3426135941
2001-08-02,3448028184
2001-08-03,3431609002
2001-08-06,3448028184
2001-08-07,3420662881
2001-08-08,3404243699
2001-08-09,3458974305
2001-08-10,3508231851
2001-08-13,3552016335
2001-08-14,3612220002
2001-08-15,3562962457
2001-08-16,3404243699
2001-08-17,3437082063
2001-08-20,3442555123
2001-08-21,3393297578
2001-08-22,3420662881
2001-08-23,3437082063
2001-08-24,3431609002
2001-08-27,3442555123
2001-08-28,3426135941
2001-08-29,3415189820
2001-08-30,3480866547
2001-08-31,3486339608
2001-09-04,3546543275
2001-09-05,3519177972
2001-09-06,3541070214
2001-09-07,3469920426
2001-09-10,3387824517
2001-09-17,3333093911
2001-09-18,3261944123
2001-09-19,3250998002
2001-09-20,3147009850
2001-09-21,2971871911
2001-09-24,3081333123
2001-09-25,3043021699
2001-09-26,3081333123
2001-09-27,3250998002
2001-09-28,3234578820
2001-10-01,3212686578
2001-10-02,3207213517
2001-10-03,3168902093
2001-10-04,3157955971
2001-10-05,3179848214
2001-10-08,3179848214
2001-10-09,3103225365
2001-10-10,3119644547
2001-10-11,3125117608
2001-10-12,3070387002
2001-10-15,3026602517
2001-10-16,3059440880
2001-10-17,3053967820
2001-10-18,3125117608
2001-10-19,3179848214
2001-10-22,3212686578
2001-10-23,3157955971
2001-10-24,3157955971
2001-10-25,3141536790
2001-10-26,3174375153
2001-10-29,3207506960
2001-10-30,3318493360
2001-10-31,3329592000
2001-11-01,3385085200
2001-11-02,3418381120
2001-11-05,3423930440
2001-11-06,3468325000
2001-11-07,3407282480
2001-11-08,3412831800
2001-11-09,3407282480
2001-11-12,3401733160
2001-11-13,3451677040
2001-11-14,3468325000
2001-11-15,3479423640
2001-11-16,3540466160
2001-11-19,3496071600
2001-11-20,3562663440
2001-11-21,3484972960
2001-11-23,3451677040
2001-11-26,3568212760
2001-11-27,3579311400
2001-11-28,3540466160
2001-11-29,3590410040
2001-11-30,3473874320
2001-12-03,3573762080
2001-12-04,3645903240
2001-12-05,3645903240
2001-12-06,3590410040
2001-12-07,3551564800
2001-12-10,3612607320
2001-12-11,3618156640
2001-12-12,3612607320
2001-12-13,3607058000
2001-12-14,3657001880
2001-12-17,3673649840
2001-12-18,3745791000
2001-12-19,3712495080
2001-12-20,3684748480
2001-12-21,3767988280
2001-12-24,3767988280
2001-12-26,3740241680
2001-12-27,3751340320
2001-12-28,3762438960
2001-12-31,3729143040
2002-01-02,3695847120
2002-01-03,3712495080
2002-01-04,3701396440
2002-01-07,3684748480
2002-01-08,3706945760
2002-01-09,3679199160
2002-01-10,3679199160
2002-01-11,3695847120
2002-01-14,3640353920
2002-01-15,3679199160
2002-01-16,3618156640
2002-01-17,3673649840
2002-01-18,3651452560
2002-01-22,3657001880
2002-01-23,3651452560
2002-01-24,3590410040
2002-01-25,3584860720
2002-01-28,3609294000
2002-01-29,3581530200
2002-01-30,3659268840
2002-01-31,3609294000
2002-02-01,3587082960
2002-02-04,3575977440
2002-02-05,3648163320
2002-02-06,3625952280
2002-02-07,3592635720
2002-02-08,3570424680
2002-02-11,3653716080
2002-02-12,3570424680
2002-02-13,3631505040
2002-02-14,3659268840
2002-02-15,3670374360
2002-02-19,3653716080
2002-02-20,3720349200
2002-02-21,3659268840
2002-02-22,3709243680
2002-02-25,3725901960
2002-02-26,3698138160
2002-02-27,3692585400
2002-02-28,3798087840
2002-03-01,3831404400
2002-03-04,3775876800
2002-03-05,3831404400
2002-03-06,3859168200
2002-03-07,3836957160
2002-03-08,3848062680
2002-03-11,3792535080
2002-03-12,3848062680
2002-03-13,3792535080
2002-03-14,3831404400
2002-03-15,3731454720
2002-03-18,3709243680
2002-03-19,3731454720
2002-03-20,3675927120
2002-03-21,3781429560
2002-03-22,3775876800
2002-03-25,3748113000
2002-03-26,3798087840
2002-03-27,3775876800
2002-03-28,3798087840
2002-04-01,3825851640
2002-04-02,3725901960
2002-04-03,3614846760
2002-04-04,3687032640
2002-04-05,3675927120
2002-04-08,3692585400
2002-04-09,3775876800
2002-04-10,3892484760
2002-04-11,3831404400
2002-04-12,3820298880
2002-04-15,3748113000
2002-04-16,3748113000
2002-04-17,3664821600
2002-04-18,3681479880
2002-04-19,3742560240
2002-04-22,3731454720
2002-04-23,3742560240
2002-04-24,3470475000
2002-04-25,3481580520
2002-04-26,3470475000
2002-04-29,3458995680
2002-04-30,3431234880
2002-05-01,3447891360
2002-05-02,3453443520
2002-05-03,3431234880
2002-05-06,3436787040
2002-05-07,3347952480
2002-05-08,3347952480
2002-05-09,3353504640
2002-05-10,3386817600
2002-05-13,3386817600
2002-05-14,3409026240
2002-05-15,3353504640
2002-05-16,3370161120
2002-05-17,3386817600
2002-05-20,3392369760
2002-05-21,3370161120
2002-05-22,3470100000
2002-05-23,3436787040
2002-05-24,3409026240
2002-05-28,3403474080
2002-05-29,3370161120
2002-05-30,3386817600
2002-05-31,3386817600
2002-06-03,3331296000
2002-06-04,3248013600
2002-06-05,3309087360
2002-06-06,3259117920
2002-06-07,3286878720
2002-06-10,3303535200
2002-06-11,3259117920
2002-06-12,3242461440
2002-06-13,3186939840
2002-06-14,3248013600
2002-06-17,3331296000
2002-06-18,3353504640
2002-06-19,3309087360
2002-06-20,3270222240
2002-06-21,3270222240
2002-06-24,3209148480
2002-06-25,3259117920
2002-06-26,3309087360
2002-06-27,3236909280
2002-06-28,3325743840
2002-07-01,3353504640
2002-07-02,3286878720
2002-07-03,3220252800
2002-07-05,3281326560
2002-07-08,3259117920
2002-07-09,3142522560
2002-07-10,3059240160
2002-07-11,3059240160
2002-07-12,2970405600
2002-07-15,3014822880
2002-07-16,3003718560
2002-07-17,3053688000
2002-07-18,2959301280
2002-07-19,2898227520
2002-07-22,2848258080
2002-07-23,2848258080
2002-07-24,2948196960
2002-07-25,3087000960
2002-07-26,3087000960
2002-07-29,3179248240
2002-07-30,3195864520
2002-07-31,3273407160
2002-08-01,3218019560
2002-08-02,3195864520
2002-08-05,3134938160
2002-08-06,3079550560
2002-08-07,3151554440
2002-08-08,3168170720
2002-08-09,3090628080
2002-08-12,3085089320
2002-08-13,3068473040
2002-08-14,2974314120
2002-08-15,2979852880
2002-08-16,3002007920
2002-08-19,2974314120
2002-08-20,2996469160
2002-08-21,3018624200
2002-08-22,2985391640
2002-08-23,3090628080
2002-08-26,3123860640
2002-08-27,3129399400
2002-08-28,3118321880
2002-08-29,3129399400
2002-08-30,3162631960
2002-09-03,3085089320
2002-09-04,3107244360
2002-09-05,2996469160
2002-09-06,3068473040
2002-09-09,2974314120
2002-09-10,3046318000
2002-09-11,3024162960
2002-09-12,2974314120
2002-09-13,3040779240
2002-09-16,3079550560
2002-09-17,3024162960
2002-09-18,3024162960
2002-09-19,2902310240
2002-09-20,3051856760
2002-09-23,3046318000
2002-09-24,3013085440
2002-09-25,3062934280
2002-09-26,3134938160
2002-09-27,2990930400
2002-09-30,3029701720
2002-10-01,3146015680
2002-10-02,3068473040
2002-10-03,3090628080
2002-10-04,3090628080
2002-10-07,3079550560
2002-10-08,3134938160
2002-10-09,3090628080
2002-10-10,3190325760
2002-10-11,3245713360
2002-10-14,3290023440
2002-10-15,3356488560
2002-10-16,3295562200
2002-10-17,3334333520
2002-10-18,3400798640
2002-10-21,3439569960
2002-10-22,3395259880
2002-10-23,3395259880
2002-10-24,3373104840
2002-10-25,3456186240
2002-10-28,3332407120
2002-10-29,3365620480
2002-10-30,3360084920
2002-10-31,3349013800
2002-11-01,3349013800
2002-11-04,3293658200
2002-11-05,3299193760
2002-11-06,3271515960
2002-11-07,3249373720
2002-11-08,3205089240
2002-11-11,3171875880
2002-11-12,3127591400
2002-11-13,3022415760
2002-11-14,3155269200
2002-11-15,3194018120
2002-11-18,3177411440
2002-11-19,3199553680
2002-11-20,3182947000
2002-11-21,3171875880
2002-11-22,3166340320
2002-11-25,3149733640
2002-11-26,3105449160
2002-11-27,3116520280
2002-11-29,3094378040
2002-12-02,3066700240
2002-12-03,3083306920
2002-12-04,3110984720
2002-12-05,3088842480
2002-12-06,3105449160
2002-12-09,3099913600
2002-12-10,3122055840
2002-12-11,3138662520
2002-12-12,3127591400
2002-12-13,3099913600
2002-12-16,3149733640
2002-12-17,3116520280
2002-12-18,3094378040
2002-12-19,3122055840
2002-12-20,3171875880
2002-12-23,3155269200
2002-12-24,3166340320
2002-12-26,3166340320
2002-12-27,3133126960
2002-12-30,3182947000
2002-12-31,3227231480
2003-01-02,3260444840
2003-01-03,3265980400
2003-01-06,3293658200
2003-01-07,3221695920
2003-01-08,3221695920
2003-01-09,3238302600
2003-01-10,3188482560
2003-01-13,3216160360
2003-01-14,3221695920
2003-01-15,3166340320
2003-01-16,3216160360
2003-01-17,3188482560
2003-01-21,3166340320
2003-01-22,3066700240
2003-01-23,3077771360
2003-01-24,3011344640
2003-01-27,3016684000
2003-01-28,3027754400
2003-01-29,3005613600
2003-01-30,3011148800
2003-01-31,3116317600
2003-02-03,3094176800
2003-02-04,3127388000
2003-02-05,3105247200
2003-02-06,3072036000
2003-02-07,3055430400
2003-02-10,3066500800
2003-02-11,3033289600
2003-02-12,2989008000
2003-02-13,3049895200
2003-02-14,3055430400
2003-02-18,3094176800
2003-02-19,3038824800
2003-02-20,3038824800
2003-02-21,3005613600
2003-02-24,2917050400
2003-02-25,3022219200
2003-02-26,2905980000
2003-02-27,2939191200
2003-02-28,2905980000
2003-03-03,2917050400
2003-03-04,2911515200
2003-03-05,2861698400
2003-03-06,2856163200
2003-03-07,2894909600
2003-03-10,2845092800
2003-03-11,2828487200
2003-03-12,2811881600
2003-03-13,2811881600
2003-03-14,2789740800
2003-03-17,2867233600
2003-03-18,2856163200
2003-03-19,2911515200
2003-03-20,2905980000
2003-03-21,2989008000
2003-03-24,2917050400
2003-03-25,2977937600
2003-03-26,2911515200
2003-03-27,2905980000
2003-03-28,2917050400
2003-03-31,2928120800
2003-04-01,2922585600
2003-04-02,2989008000
2003-04-03,2994543200
2003-04-04,3000078400
2003-04-07,3011148800
2003-04-08,3011148800
2003-04-09,3022219200
2003-04-10,3044360000
2003-04-11,3027754400
2003-04-14,3094176800
2003-04-15,3055430400
2003-04-16,2989008000
2003-04-17,3038824800
2003-04-21,3027754400
2003-04-22,3055430400
2003-04-23,3049895200
2003-04-24,3027754400
2003-04-25,3011148800
2003-04-28,3117623760
2003-04-29,3128698800
2003-04-30,3184074000
2003-05-01,3139773840
2003-05-02,3189611520
2003-05-05,3161923920
2003-05-06,3145311360
2003-05-07,3150848880
2003-05-08,3156386400
2003-05-09,3206224080
2003-05-12,3195149040
2003-05-13,3184074000
2003-05-14,3178536480
2003-05-15,3156386400
2003-05-16,3101011200
2003-05-19,3139773840
2003-05-20,3145311360
2003-05-21,3184074000
2003-05-22,3161923920
2003-05-23,3244986720
2003-05-27,3228374160
2003-05-28,3256061760
2003-05-29,3222836640
2003-05-30,3256061760
2003-06-02,3289286880
2003-06-03,3322512000
2003-06-04,3333587040
2003-06-05,3361274640
2003-06-06,3316974480
2003-06-09,3278211840
2003-06-10,3278211840
2003-06-11,3300361920
2003-06-12,3344662080
2003-06-13,3333587040
2003-06-16,3460950000
2003-06-17,3377887200
2003-06-18,3405574800
2003-06-19,3339124560
2003-06-20,3366812160
2003-06-23,3322512000
2003-06-24,3361274640
2003-06-25,3344662080
2003-06-26,3272674320
2003-06-27,3322512000
2003-06-30,3283749360
2003-07-01,3322512000
2003-07-02,3372349680
2003-07-03,3383424720
2003-07-07,3427724880
2003-07-08,3388962240
2003-07-09,3366812160
2003-07-10,3355737120
2003-07-11,3433262400
2003-07-14,3400037280
2003-07-15,3289286880
2003-07-16,3217299120
2003-07-17,3233911680
2003-07-18,3244986720
2003-07-21,3189611520
2003-07-22,3244986720
2003-07-23,3222836640
2003-07-24,3206224080
2003-07-25,3228374160
2003-07-28,3203368480
2003-07-29,3170115520
2003-07-30,3159031200
2003-07-31,3020477200
2003-08-01,2992766400
2003-08-04,2981682080
2003-08-05,2959513440
2003-08-06,2970597760
2003-08-07,2998308560
2003-08-08,3014935040
2003-08-11,3009392880
2003-08-12,2987224240
2003-08-13,2942886960
2003-08-14,2948429120
2003-08-15,2959513440
2003-08-18,2998308560
2003-08-19,3031561520
2003-08-20,3020477200
2003-08-21,3003850720
2003-08-22,2953971280
2003-08-25,2970597760
2003-08-26,2970597760
2003-08-27,2976139920
2003-08-28,2992766400
2003-08-29,2992766400
2003-09-02,3064814480
2003-09-03,3092525280
2003-09-04,3075898800
2003-09-05,3070356640
2003-09-08,3103609600
2003-09-09,3075898800
2003-09-10,3081440960
2003-09-11,3120236080
2003-09-12,3120236080
2003-09-15,3109151760
2003-09-16,3125778240
2003-09-17,3125778240
2003-09-18,3159031200
2003-09-19,3142404720
2003-09-22,3153489040
2003-09-23,3225537120
2003-09-24,3208910640
2003-09-25,3214452800
2003-09-26,3192284160
2003-09-29,3219994960
2003-09-30,3186742000
2003-10-01,3208910640
2003-10-02,3236621440
2003-10-03,3258790080
2003-10-06,3269874400
2003-10-07,3297585200
2003-10-08,3269874400
2003-10-09,3269874400
2003-10-10,3264332240
2003-10-13,3347464640
2003-10-14,3336380320
2003-10-15,3319753840
2003-10-16,3341922480
2003-10-17,3269874400
2003-10-20,3308669520
2003-10-21,3308669520
2003-10-22,3308669520
2003-10-23,3286500880
2003-10-24,3269874400
2003-10-27,3298965600
2003-10-28,3310054560
2003-10-29,3359954880
2003-10-30,3354410400
2003-10-31,3420944160
2003-11-03,3481933440
2003-11-04,3465300000
2003-11-05,3448666560
2003-11-06,3620545440
2003-11-07,3709257120
2003-11-10,3725890560
2003-11-11,3698168160
2003-11-12,3748068480
2003-11-13,3736979520
2003-11-14,3748068480
2003-11-17,3764701920
2003-11-18,3731435040
2003-11-19,3742524000
2003-11-20,3731435040
2003-11-21,3731435040
2003-11-24,3742524000
2003-11-25,3742524000
2003-11-26,3675990240
2003-11-28,3714801600
2003-12-01,3731435040
2003-12-02,3764701920
2003-12-03,3803513280
2003-12-04,3759157440
2003-12-05,3670445760
2003-12-08,3670445760
2003-12-09,3637178880
2003-12-10,3598367520
2003-12-11,3615000960
2003-12-12,3626089920
2003-12-15,3587278560
2003-12-16,3626089920
2003-12-17,3598367520
2003-12-18,3592823040
2003-12-19,3587278560
2003-12-22,3626089920
2003-12-23,3648267840
2003-12-24,3670445760
2003-12-26,3626089920
2003-12-29,3542922720
2003-12-30,3609456480
2003-12-31,3576189600
2004-01-02,3554011680
2004-01-05,3620545440
2004-01-06,3554011680
2004-01-07,3509655840
2004-01-08,3537378240
2004-01-09,3537378240
2004-01-12,3526289280
2004-01-13,3465300000
2004-01-14,3487477920
2004-01-15,3481933440
2004-01-16,3481933440
2004-01-20,3565100640
2004-01-21,3559556160
2004-01-22,3554011680
2004-01-23,3581734080
2004-01-26,3676361520
2004-01-27,3681906560
2004-01-28,3709631760
2004-01-29,3726266880
2004-01-30,3737356960
2004-02-02,3781717280
2004-02-03,3776172240
2004-02-04,3748447040
2004-02-05,3742902000
2004-02-06,3814987520
2004-02-09,3770627200
2004-02-10,3814987520
2004-02-11,3859347840
2004-02-12,3831622640
2004-02-13,3826077600
2004-02-17,3859347840
2004-02-18,3837167680
2004-02-19,3837167680
2004-02-20,3881528000
2004-02-23,3931433360
2004-02-24,3864892880
2004-02-25,3870437920
2004-02-26,3814987520
2004-02-27,3842712720
2004-03-01,3953613520
2004-03-02,3986883760
2004-03-03,4009063920
2004-03-04,3992428800
2004-03-05,3997973840
2004-03-08,3986883760
2004-03-09,3997973840
2004-03-10,3992428800
2004-03-11,3959158560
2004-03-12,4014608960
2004-03-15,3887073040
2004-03-16,3881528000
2004-03-17,3909253200
2004-03-18,3892618080
2004-03-19,3898163120
2004-03-22,3837167680
2004-03-23,3842712720
2004-03-24,3864892880
2004-03-25,3986883760
2004-03-26,3925888320
2004-03-29,3981338720
2004-03-30,4036789120
2004-03-31,4064514320
2004-04-01,4125509760
2004-04-02,4108874640
2004-04-05,4142144880
2004-04-06,4125509760
2004-04-07,4153234960
2004-04-08,4125509760
2004-04-12,4108874640
2004-04-13,4119964720
2004-04-14,4125509760
2004-04-15,4131054800
2004-04-16,4125509760
2004-04-19,4175415120
2004-04-20,4230865520
2004-04-21,4253045680
2004-04-22,4280770880
2004-04-23,4302951040
2004-04-26,4336924240
2004-04-27,4331371200
2004-04-28,4336924240
2004-04-29,4253628640
2004-04-30,4231416480
2004-05-03,4248075600
2004-05-04,4203651280
2004-05-05,4225863440
2004-05-06,4225863440
2004-05-07,4220310400
2004-05-10,4209204320
2004-05-11,4203651280
2004-05-12,4186992160
2004-05-13,4125908720
2004-05-14,4159226960
2004-05-17,4148120880
2004-05-18,4209204320
2004-05-19,4242522560
2004-05-20,4242522560
2004-05-21,4198098240
2004-05-24,4214757360
2004-05-25,4236969520
2004-05-26,4275840800
2004-05-27,4348030320
2004-05-28,4336924240
2004-06-01,4331371200
2004-06-02,4320265120
2004-06-03,4275840800
2004-06-04,4286946880
2004-06-07,4303606000
2004-06-08,4309159040
2004-06-09,4253628640
2004-06-10,4248075600
2004-06-14,4214757360
2004-06-15,4231416480
2004-06-16,4220310400
2004-06-17,4192545200
2004-06-18,4109249600
2004-06-21,4125908720
2004-06-22,4148120880
2004-06-23,4164780000
2004-06-24,4286946880
2004-06-25,4392454640
2004-06-28,4286946880
2004-06-29,4320265120
2004-06-30,4320265120
2004-07-01,4336924240
2004-07-02,4259181680
2004-07-06,4270287760
2004-07-07,4209204320
2004-07-08,4248075600
2004-07-09,4236969520
2004-07-12,4253628640
2004-07-13,4192545200
2004-07-14,4175886080
2004-07-15,4231416480
2004-07-16,4181439120
2004-07-19,4148120880
2004-07-20,4220310400
2004-07-21,4098143520
2004-07-22,4098143520
2004-07-23,4037060080
2004-07-26,3939353600
2004-07-27,4033411200
2004-07-28,4027878400
2004-07-29,4083206400
2004-07-30,4105337600
2004-08-02,4110870400
2004-08-03,4044476800
2004-08-04,4005747200
2004-08-05,3933820800
2004-08-06,3834230400
2004-08-09,3839763200
2004-08-10,3928288000
2004-08-11,3939353600
2004-08-12,3850828800
2004-08-13,3812099200
2004-08-16,3900624000
2004-08-17,3828697600
2004-08-18,3895091200
2004-08-19,3662713600
2004-08-20,3596320000
2004-08-23,3640582400
