,FSLR
2008-08-27,22279110000
2008-08-28,22359540000
2008-08-29,22250959500
2008-09-02,20960058000
2008-09-03,19877470200
2008-09-04,19072365900
2008-09-05,18982284300
2008-09-08,17910152400
2008-09-09,16106911800
2008-09-10,16990837500
2008-09-11,16866171000
2008-09-12,17264299500
2008-09-15,16324877100
2008-09-16,17264299500
2008-09-17,17051160000
2008-09-18,17967257700
2008-09-19,19456017000
2008-09-22,17907739500
2008-09-23,16961882699
2008-09-24,17839374000
2008-09-25,17805593400
2008-09-26,16659465900
2008-09-29,14456895180
2008-09-30,15146425980
2008-10-01,15815912280
2008-10-02,14260459080
2008-10-03,13084247820
2008-10-06,12805228380
2008-10-07,10262784000
2008-10-08,10217082540
2008-10-09,9469021800
2008-10-10,9416906100
2008-10-13,11543226660
2008-10-14,11474273580
2008-10-15,9903586560
2008-10-16,11361222600
2008-10-17,10824030000
2008-10-20,11544028440
2008-10-21,11317926480
2008-10-22,11003628720
2008-10-23,10001403720
2008-10-24,9663854340
2008-10-27,8652007980
2008-10-28,9147508020
2008-10-29,9280603500
2008-10-30,11551244460
2008-10-31,11521578600
2008-11-03,12981619980
2008-11-04,14233198560
2008-11-05,12194272020
2008-11-06,11513560800
2008-11-07,12000241259
2008-11-10,11104653000
2008-11-11,10495300200
2008-11-12,8824390680
2008-11-13,10047105180
2008-11-14,9363186840
2008-11-17,9264567900
2008-11-18,8864479680
2008-11-19,8108401140
2008-11-20,6993926940
2008-11-21,7441320180
2008-11-24,9029646360
2008-11-25,9396059820
2008-11-26,10244343060
2008-11-28,10009421520
2008-12-01,8835615600
2008-12-02,9310269360
2008-12-03,10721402160
2008-12-04,9781716000
2008-12-05,10306080120
2008-12-08,10811201520
2008-12-09,9389645580
2008-12-10,9595703040
2008-12-11,9426527460
2008-12-12,9374411760
2008-12-15,8915793600
2008-12-16,10151336580
2008-12-17,11380465320
2008-12-18,11054942640
2008-12-19,11279441040
2008-12-22,10664475780
2008-12-23,11014051860
2008-12-24,10722203940
2008-12-26,10824831780
2008-12-29,11108343150
2008-12-30,11080570250
2008-12-31,11269262600
2009-01-02,12375277500
2009-01-05,12889893000
2009-01-06,12555801350
2009-01-07,12130222500
2009-01-08,12690581600
2009-01-09,13277079900
2009-01-12,12247032050
2009-01-13,11525753500
2009-01-14,10895145300
2009-01-15,11646647300
2009-01-16,11878632699
2009-01-20,11252925600
2009-01-21,11551892699
2009-01-22,11215350500
2009-01-23,11232504350
2009-01-26,11358299250
2009-01-27,11524119800
2009-01-28,11916207800
2009-01-29,11181859649
2009-01-30,11664618000
2009-02-02,11294584950
2009-02-03,11473475100
2009-02-04,11836973350
2009-02-05,12235596150
2009-02-06,11950515500
2009-02-09,12166163900
2009-02-10,11863112550
2009-02-11,11996259100
2009-02-12,11893336000
2009-02-13,11799398250
2009-02-17,10915566550
2009-02-18,10555335700
2009-02-19,10725240500
2009-02-20,10946606850
2009-02-23,10197555400
2009-02-24,11246390800
2009-02-25,8793390250
2009-02-26,8576925000
2009-02-27,8637371900
2009-03-02,8492789450
2009-03-03,9021291400
2009-03-04,9250826250
2009-03-05,8968196150
2009-03-06,8862005650
2009-03-09,8851386600
2009-03-10,9821804400
2009-03-11,9759723800
2009-03-12,10333152500
2009-03-13,10582291750
2009-03-16,10199189100
2009-03-17,9472192600
2009-03-18,9691108400
2009-03-19,10194288000
2009-03-20,9832423450
2009-03-23,10702368700
2009-03-24,10521354740
2009-03-25,10944156300
2009-03-26,12284607149
2009-03-27,12037101600
2009-03-30,11171240600
2009-03-31,10839599500
2009-04-01,11344466500
2009-04-02,11555448460
2009-04-03,11250696740
2009-04-06,11567169680
2009-04-07,11145205760
2009-04-08,11360373870
2009-04-09,11892852150
2009-04-13,12064484300
2009-04-14,12399376300
2009-04-15,12495657750
2009-04-16,12301420390
2009-04-17,12039367400
2009-04-20,11593961040
2009-04-21,11732941219
2009-04-22,12212674010
2009-04-23,12014250500
2009-04-24,12345793580
2009-04-27,12725896000
2009-04-28,12278815180
2009-04-29,12698267409
2009-04-30,15680480670
2009-05-01,15144653469
2009-05-04,16212121719
2009-05-05,16092397830
2009-05-06,16668830685
2009-05-07,16330171150
2009-05-08,15995279150
2009-05-11,16211284490
2009-05-12,15961789950
2009-05-13,15028278500
2009-05-14,15106140890
2009-05-15,14854971890
2009-05-18,15480382700
2009-05-19,15882253100
2009-05-20,16945535200
2009-05-21,16175283600
2009-05-22,16051373560
2009-05-26,15029115730
2009-05-27,15127908870
2009-05-28,15384101250
2009-05-29,15931649670
2009-06-01,15828670380
2009-06-02,15446893500
2009-06-03,14945392730
2009-06-04,15425962750
2009-06-05,15245958300
2009-06-08,15402520310
2009-06-09,15311262240
2009-06-10,15635270250
2009-06-11,15413404300
2009-06-12,15388287400
2009-06-15,14984742540
2009-06-16,14403704920
2009-06-17,14091418130
2009-06-18,14253840750
2009-06-19,14522591580
2009-06-22,13588242900
2009-06-23,13765735659
2009-06-24,14332540370
2009-06-25,13352144040
2009-06-26,13455960560
2009-06-29,13161255600
2009-06-30,13579870600
2009-07-01,13001344670
2009-07-02,12910086600
2009-07-06,12524960800
2009-07-07,12118067020
2009-07-08,12523286340
2009-07-09,12232767530
2009-07-10,11980761300
2009-07-13,12205976170
2009-07-14,11850153420
2009-07-15,12442075030
2009-07-16,12154905140
2009-07-17,12102159650
2009-07-20,12277140719
2009-07-21,13010554200
2009-07-22,12672313280
2009-07-23,13209814940
2009-07-24,14185187890
2009-07-27,14358494500
2009-07-28,14057091700
2009-07-29,14064626770
2009-07-30,14530126650
2009-07-31,12996395809
2009-08-03,13096568820
2009-08-04,12456808420
2009-08-05,12588127660
2009-08-06,12017394040
2009-08-07,12329698130
2009-08-10,12402933860
2009-08-11,12334748870
2009-08-12,12205113210
2009-08-13,12185752040
2009-08-14,11934898620
2009-08-17,11316182970
2009-08-18,11205908480
2009-08-19,11063645970
2009-08-20,10978625179
2009-08-21,10231115660
2009-08-24,10444930320
2009-08-25,10790064220
2009-08-26,10669688250
2009-08-27,10596452520
2009-08-28,10455873590
2009-08-31,10234482820
2009-09-01,9678901420
2009-09-02,9960059280
2009-09-03,10096429260
2009-09-04,10225223130
2009-09-08,11314499390
2009-09-09,11499693190
2009-09-10,11797686850
2009-09-11,11511478250
2009-09-14,11203383110
2009-09-15,11793477900
2009-09-16,12373471210
2009-09-17,12717763320
2009-09-18,13144550850
2009-09-21,13237147750
2009-09-22,13157177700
2009-09-23,12854975090
2009-09-24,12679040980
2009-09-25,12868443730
2009-09-28,12465226320
2009-09-29,12799416950
2009-09-30,12867601940
2009-10-01,12003960000
2009-10-02,12525000000
2009-10-05,12406430000
2009-10-06,12579275000
2009-10-07,12929140000
2009-10-08,13086955000
2009-10-09,13083615000
2009-10-12,13360000000
2009-10-13,12885720000
2009-10-14,12885720000
2009-10-15,12755460000
2009-10-16,12319590000
2009-10-19,12707865000
2009-10-20,12944170000
2009-10-21,12853990000
2009-10-22,13032680000
2009-10-23,12724564999
2009-10-26,12931645000
2009-10-27,12543370000
2009-10-28,12656930000
2009-10-29,10560245000
2009-10-30,10181155000
2009-11-02,10161950000
2009-11-03,10396585000
2009-11-04,10152765000
2009-11-05,10083460000
2009-11-06,9847155000
2009-11-09,9978250000
2009-11-10,10011650000
2009-11-11,10007475000
2009-11-12,9633395000
2009-11-13,9877883000
2009-11-16,10304735000
2009-11-17,10353165000
2009-11-18,10409945000
2009-11-19,10114355000
2009-11-20,10118530000
2009-11-23,10138570000
2009-11-24,9957375000
2009-11-25,10100995000
2009-11-27,10045050000
2009-11-30,9945685000
2009-12-01,10188670000
2009-12-02,10162826750
2009-12-03,10698020000
2009-12-04,10823270000
2009-12-07,11287530000
2009-12-08,11150590000
2009-12-09,11302560000
2009-12-10,11100490000
2009-12-11,11113850000
2009-12-14,11577275000
2009-12-15,11605665000
2009-12-16,11417790000
2009-12-17,11333455000
2009-12-18,11328444999
2009-12-21,11438665000
2009-12-22,11314250000
2009-12-23,11070430000
2009-12-24,11172300000
2009-12-28,11393809150
2009-12-29,11453807700
2009-12-30,11559438950
2009-12-31,11441977000
2010-01-04,11447047300
2010-01-05,11610987000
2010-01-06,11832390100
2010-01-07,11871262400
2010-01-08,11803658400
2010-01-11,11681971200
2010-01-12,11237474900
2010-01-13,11164800600
2010-01-14,10549604200
2010-01-15,10484535350
2010-01-19,10473549700
2010-01-20,10098770025
2010-01-21,10066235600
2010-01-22,9497516950
2010-01-25,9440898600
2010-01-26,9729060650
2010-01-27,9645400700
2010-01-28,9663146750
2010-01-29,9574416500
2010-02-01,9928492450
2010-02-02,9918351850
2010-02-03,10062010350
2010-02-04,9587937300
2010-02-05,9649625950
2010-02-08,9397801050
2010-02-09,9573571450
2010-02-10,9238931650
2010-02-11,9617514050
2010-02-12,9726525500
2010-02-16,10255526800
2010-02-17,10497211100
2010-02-18,10672136450
2010-02-19,9802580000
2010-02-22,9556670450
2010-02-23,8938938900
2010-02-24,8884010650
2010-02-25,8701479850
2010-02-26,8936403750
2010-03-01,8925418100
2010-03-02,9064006300
2010-03-03,9096118200
2010-03-04,9130765250
2010-03-05,9178721837
2010-03-08,9180623200
2010-03-09,8976121100
2010-03-10,9375829750
2010-03-11,9607373450
2010-03-12,9762862650
2010-03-15,9711314600
2010-03-16,9738356200
2010-03-17,9677935125
2010-03-18,9729060650
2010-03-19,9574416500
2010-03-22,9241466800
2010-03-23,9466250100
2010-03-24,9249072250
2010-03-25,9468785250
2010-03-26,9844832500
2010-03-29,10128783240
2010-03-30,10367217360
2010-03-31,10407097800
2010-04-01,10292547600
2010-04-05,10375702560
2010-04-06,10227211560
2010-04-07,10742263200
2010-04-08,10712565000
2010-04-09,10529284680
2010-04-12,10849176720
2010-04-13,10754991000
2010-04-14,11251375200
2010-04-15,11701090800
2010-04-16,11397320640
2010-04-19,11268345600
2010-04-20,11380350240
2010-04-21,11072337480
2010-04-22,11365076880
2010-04-23,11359137240
2010-04-26,11196221399
2010-04-27,10891602720
2010-04-28,10872086760
2010-04-29,12801621240
2010-04-30,12216990960
2010-05-03,12465607320
2010-05-04,11856369960
2010-05-05,11365925399
2010-05-06,10372308480
2010-05-07,10398612600
2010-05-10,11046033360
2010-05-11,10814387400
2010-05-12,10913664240
2010-05-13,10691352000
2010-05-14,10208544120
2010-05-17,9602700840
2010-05-18,9338811120
2010-05-19,9333720000
2010-05-20,9301476240
2010-05-21,9668885400
2010-05-24,9266686920
2010-05-25,9556032240
2010-05-26,9363418200
2010-05-27,9825861600
2010-05-28,9533970720
2010-06-01,9088497720
2010-06-02,9416874960
2010-06-03,9584881920
2010-06-04,9320143680
2010-06-07,8907550830
2010-06-08,8856851760
2010-06-09,8745695640
2010-06-10,9279414720
2010-06-11,9102074040
2010-06-14,9124135560
2010-06-15,9950594040
2010-06-16,10077872040
2010-06-17,10474979400
2010-06-18,10494495360
2010-06-21,10390127400
2010-06-22,10168663680
2010-06-23,10245879000
2010-06-24,9917501760
2010-06-25,10119449520
2010-06-28,10143134560
2010-06-29,9733938240
2010-06-30,9683745760
2010-07-01,9991706400
2010-07-02,10252877440
2010-07-06,10368575360
2010-07-07,10930050560
2010-07-08,11114656800
2010-07-09,11240563360
2010-07-12,11034689120
2010-07-13,11113806079
2010-07-14,11332441120
2010-07-15,11183565120
2010-07-16,10967482239
2010-07-19,11191221600
2010-07-20,11588507840
2010-07-21,11493227200
2010-07-22,11712712960
2010-07-23,11909229280
2010-07-26,11859036800
2010-07-27,11632745280
2010-07-28,11658266880
2010-07-29,11527256000
2010-07-30,10672282400
2010-08-02,10730982080
2010-08-03,10778622400
2010-08-04,11182714399
2010-08-05,11036390560
2010-08-06,11003212480
2010-08-09,11055106399
2010-08-10,10993003840
2010-08-11,10671431680
2010-08-12,10604224800
2010-08-13,10593165440
2010-08-16,10638253600
2010-08-17,10707161920
2010-08-18,10640805760
2010-08-19,10481721120
2010-08-20,10636552160
2010-08-23,10743742880
2010-08-24,10647611520
2010-08-25,10632298560
2010-08-26,10776920960
2010-08-27,10964079360
2010-08-30,10742892160
2010-08-31,10876455200
2010-09-01,11073822239
2010-09-02,11475362079
2010-09-03,11608074399
2010-09-07,11466854880
2010-09-08,11676132000
2010-09-09,11768860480
2010-09-10,11774815520
2010-09-13,11812247200
2010-09-14,12018121440
2010-09-15,11932198720
2010-09-16,12313321280
2010-09-17,12325231360
2010-09-20,12405199040
2010-09-21,12420512000
2010-09-22,12212085600
2010-09-23,12184862560
2010-09-24,12513240480
2010-09-27,12556227810
2010-09-28,12608011320
2010-09-29,12671679570
2010-09-30,12508688850
2010-10-01,12498501930
2010-10-04,12077442570
2010-10-05,12108003330
2010-10-06,11769288239
2010-10-07,11932278960
2010-10-08,11682699420
2010-10-11,11842294500
2010-10-12,11630915910
2010-10-13,11624124630
2010-10-14,12077442570
2010-10-15,12271842960
2010-10-18,12484919370
2010-10-19,12217512719
2010-10-20,12172520489
2010-10-21,12315137370
2010-10-22,12355885050
2010-10-25,12491710650
2010-10-26,12576601650
2010-10-27,12759117300
2010-10-28,12831274650
2010-10-29,11687792880
2010-11-01,11412746040
2010-11-02,11684397239
2010-11-03,11684397239
2010-11-04,11585923680
2010-11-05,11785417530
2010-11-08,11906811660
2010-11-09,11767590420
2010-11-10,11894078010
2010-11-11,11965386449
2010-11-12,11748065489
2010-11-15,11855877060
2010-11-16,11094404790
2010-11-17,10427161530
2010-11-18,10495923240
2010-11-19,10759722022
2010-11-22,10571476230
2010-11-23,10543462200
2010-11-24,10729373490
2010-11-26,10714942020
2010-11-29,10386413850
2010-11-30,10428859350
2010-12-01,10759085340
2010-12-02,11160619770
2010-12-03,11124116640
2010-12-06,11379638550
2010-12-07,11119023180
2010-12-08,11332948500
2010-12-09,11309179020
2010-12-10,11732148427
2010-12-13,11613088800
2010-12-14,11633462640
2010-12-15,11473018650
2010-12-16,11512068510
2010-12-17,11311725750
2010-12-20,11225985840
2010-12-21,11293049730
2010-12-22,11177173515
2010-12-23,11199669630
2010-12-27,11136001380
2010-12-28,10973859570
2010-12-29,11020549620
2010-12-30,11128361190
2010-12-31,11104065359
2011-01-03,11329320720
2011-01-04,11187682880
2011-01-05,11228638400
2011-01-06,11478637720
2011-01-07,11397579920
2011-01-10,11640753320
2011-01-11,11748261560
2011-01-12,11930854920
2011-01-13,12077612200
2011-01-14,12017032160
2011-01-18,12623685799
2011-01-19,12259352320
2011-01-20,12575904359
2011-01-21,12577610840
2011-01-24,13344673600
2011-01-25,12851500880
2011-01-26,12957302640
2011-01-27,12885630480
2011-01-28,12584436760
2011-01-31,13189383920
2011-02-01,13319076400
2011-02-02,14027265600
2011-02-03,13836993079
2011-02-04,13476072560
2011-02-07,13592113200
2011-02-08,13522147520
2011-02-09,13249110720
2011-02-10,13435970280
2011-02-11,14173169640
2011-02-14,14313101000
2011-02-15,14185968240
2011-02-16,14419756000
2011-02-17,14573339200
2011-02-18,14353203280
2011-02-22,14001668400
2011-02-23,13909518480
2011-02-24,14051156320
2011-02-25,13286653280
2011-02-28,12575904359
2011-03-01,12574197880
2011-03-02,12426587359
2011-03-03,12449624840
2011-03-04,12505938680
2011-03-07,12162936200
2011-03-08,12215837079
2011-03-09,12175734799
2011-03-10,11949626200
2011-03-11,11923175760
2011-03-14,12534948840
2011-03-15,13558836840
2011-03-16,13232045920
2011-03-17,13139896000
2011-03-18,12769589840
2011-03-21,12813958320
2011-03-22,12713276000
2011-03-23,12785801400
2011-03-24,12813958320
2011-03-25,12836142560
2011-03-28,13078462720
2011-03-29,13317369920
2011-03-30,13258496359
2011-03-31,13858617760
2011-04-01,13820705600
2011-04-04,13463986640
2011-04-05,13183953640
2011-04-06,12976298400
2011-04-07,12821203200
2011-04-08,12693680480
2011-04-11,12442081600
2011-04-12,12377458600
2011-04-13,12470515720
2011-04-14,12140507600
2011-04-15,11859612959
2011-04-18,11799298160
2011-04-19,11568378640
2011-04-20,11931129080
2011-04-21,11823424080
2011-04-25,11607152440
2011-04-26,11760524360
2011-04-27,11941468760
2011-04-28,11924235959
2011-04-29,12025909480
2011-05-02,11850134920
2011-05-03,11602844240
2011-05-04,10883374840
2011-05-05,11021237240
2011-05-06,11197873440
2011-05-09,11204766560
2011-05-10,11072935640
2011-05-11,10710185200
2011-05-12,11379679480
2011-05-13,10826506600
2011-05-16,10794625920
2011-05-17,10910085680
2011-05-18,11135835360
2011-05-19,11060872680
2011-05-20,10889406320
2011-05-23,10692521580
2011-05-24,10674857960
2011-05-25,10393101680
2011-05-26,10163905440
2011-05-27,10457724680
2011-05-31,10705877000
2011-06-01,10314692440
2011-06-02,10386208560
2011-06-03,10224220240
2011-06-06,10049307320
2011-06-07,10155289040
2011-06-08,9856299960
2011-06-09,9827865840
2011-06-10,10088942760
2011-06-13,10021734840
2011-06-14,10279365200
2011-06-15,10060508640
2011-06-16,10238868120
2011-06-17,10473234200
2011-06-20,10772223280
2011-06-21,10740342600
2011-06-22,10593863800
2011-06-23,10550781800
2011-06-24,10043275840
2011-06-27,10053615520
2011-06-28,10736896040
2011-06-29,11151344879
2011-06-30,11419927260
2011-07-01,11488134280
2011-07-05,11404386420
2011-07-06,11356037140
