,NVDA
2000-06-15,8408480976
2000-06-16,9676421596
2000-06-19,10282167201
2000-06-20,10145075774
2000-06-21,11174812286
2000-06-22,10565034580
2000-06-23,9567554875
2000-06-26,10722286512
2000-06-27,9208077580
2000-06-28,8852632387
2000-06-29,7576317403
2000-06-30,8214629975
2000-07-03,7899505790
2000-07-05,7051213814
2000-07-06,7479546984
2000-07-07,7519867992
2000-07-10,7907569992
2000-07-11,8545572403
2000-07-12,8787808612
2000-07-13,9611907984
2000-07-14,9539020008
2000-07-17,9434185387
2000-07-18,9248398588
2000-07-19,8658781387
2000-07-20,8892953395
2000-07-21,9006162379
2000-07-24,8238822580
2000-07-25,7931762596
2000-07-26,7342145395
2000-07-27,6817041806
2000-07-28,6978636000
2000-07-31,3958200900
2000-08-01,3879828522
2000-08-02,3958200900
2000-08-03,4131411771
2000-08-04,4205667620
2000-08-07,4535464919
2000-08-08,4436509896
2000-08-09,4304622642
2000-08-10,4354020990
2000-08-11,4250949438
2000-08-14,4292273055
2000-08-15,4697276172
2000-08-16,4815863871
2000-08-17,4906585835
2000-08-18,5079638378
2000-08-21,5158010756
2000-08-22,4671468702
2000-08-23,4943634596
2000-08-24,5075521850
2000-08-25,4947751125
2000-08-28,5145661170
2000-08-29,5133311583
2000-08-30,5178751729
2000-08-31,5236383134
2000-09-01,5244616192
2000-09-05,5252849250
2000-09-06,4890119719
2000-09-07,5153894227
2000-09-08,4848796102
2000-09-11,4650886057
2000-09-12,4622070354
2000-09-13,4620012090
2000-09-14,4576630208
2000-09-15,4676693527
2000-09-18,4403577665
2000-09-19,4539581448
2000-09-20,4391228078
2000-09-21,4579796769
2000-09-22,4659119115
2000-09-25,4993191271
2000-09-26,5112728938
2000-09-27,5393127890
2000-09-28,5557947375
2000-09-29,5401360948
2000-10-02,5273431895
2000-10-03,4989074742
2000-10-04,4931285009
2000-10-05,4815863871
2000-10-06,4514882274
2000-10-09,4613837297
2000-10-10,4263299025
2000-10-11,4300506113
2000-10-12,4131411771
2000-10-13,4296389584
2000-10-16,4197434562
2000-10-17,3892178108
2000-10-18,3830430174
2000-10-19,4201551091
2000-10-20,4593254652
2000-10-23,4490183100
2000-10-24,4345787932
2000-10-25,3966433957
2000-10-26,4135528300
2000-10-27,4040689806
2000-10-30,4605302880
2000-10-31,5026155040
2000-11-01,5024990320
2000-11-02,5409153800
2000-11-03,5763034560
2000-11-06,6207763480
2000-11-07,5788270160
2000-11-08,5616279840
2000-11-09,5030037440
2000-11-10,4756910600
2000-11-13,4777293200
2000-11-14,5651803800
2000-11-15,5577261720
2000-11-16,5227069240
2000-11-17,5125932720
2000-11-20,4731675000
2000-11-21,4640632720
2000-11-22,4397982720
2000-11-24,4650726960
2000-11-27,4494072120
2000-11-28,4159215120
2000-11-29,3902588480
2000-11-30,3275775000
2000-12-01,3599373040
2000-12-04,3654891360
2000-12-05,3892494240
2000-12-06,3336534560
2000-12-07,3275775000
2000-12-08,4023913480
2000-12-11,4023913480
2000-12-12,3912682720
2000-12-13,3609467280
2000-12-14,3361770160
2000-12-15,3028077880
2000-12-18,3127855560
2000-12-19,2891611520
2000-12-20,2578107720
2000-12-21,2254703800
2000-12-22,2835899080
2000-12-26,2719621200
2000-12-27,2901705760
2000-12-28,2916847120
2000-12-29,2650126240
2001-01-02,2421452880
2001-01-03,3164544240
2001-01-04,3528519239
2001-01-05,3000318720
2001-01-08,3285869240
2001-01-09,3351675920
2001-01-10,3584231680
2001-01-11,3882400000
2001-01-12,3801451960
2001-01-16,3503283640
2001-01-17,3629655760
2001-01-18,4325964200
2001-01-19,4211045160
2001-01-22,4044101959
2001-01-23,4447289200
2001-01-24,4428459560
2001-01-25,3983536520
2001-01-26,4109908640
2001-01-29,3537953181
2001-01-30,3615942467
2001-01-31,3577030968
2001-02-01,3595322698
2001-02-02,3247779826
2001-02-05,3243456326
2001-02-06,3260750325
2001-02-07,3109261542
2001-02-08,3091967543
2001-02-09,3070350044
2001-02-12,2988037258
2001-02-13,3078997043
2001-02-14,3304151612
2001-02-15,3910439321
2001-02-16,4122623391
2001-02-20,3711225752
2001-02-21,3880008534
2001-02-22,4044634105
2001-02-23,3765269500
2001-02-26,3680961253
2001-02-27,3459963895
2001-02-28,3096291043
2001-03-01,3340901361
2001-03-02,3019465776
2001-03-05,3048566256
2001-03-06,3343063111
2001-03-07,3611618967
2001-03-08,3732843251
2001-03-09,3468610895
2001-03-12,3343063111
2001-03-13,3741490251
2001-03-14,3953674320
2001-03-15,4148564390
2001-03-16,4131270390
2001-03-19,4369395459
2001-03-20,3962321320
2001-03-21,4256818174
2001-03-22,4685509813
2001-03-23,4642274814
2001-03-26,4893370382
2001-03-27,4715940600
2001-03-28,4719100081
2001-03-29,4789440098
2001-03-30,4498269012
2001-04-02,4308866461
2001-04-03,4451708244
2001-04-04,3992752107
2001-04-05,4360748459
2001-04-06,4343454460
2001-04-09,4132268121
2001-04-10,4522380838
2001-04-11,4795426482
2001-04-12,4867429383
2001-04-16,4748865715
2001-04-17,4981669552
2001-04-18,5353157962
2001-04-19,5813278119
2001-04-20,6025295900
2001-04-23,5707186084
2001-04-24,5303271425
2001-04-25,5547216590
2001-04-26,5109877952
2001-04-27,5473717092
2001-04-30,5906295748
2001-05-01,6457804132
2001-05-02,6309589444
2001-05-03,6282022533
2001-05-04,6368466921
2001-05-07,6654175831
2001-05-08,6172775886
2001-05-09,5883493488
2001-05-10,5685760460
2001-05-11,5540438596
2001-05-14,5587914943
2001-05-15,5788540795
2001-05-16,6061487246
2001-05-17,6168521734
2001-05-18,6119003394
2001-05-21,6395523333
2001-05-22,6586960215
2001-05-23,6530805396
2001-05-24,6627289584
2001-05-25,6501877156
2001-05-29,6235226851
2001-05-30,6119003394
2001-05-31,6069995552
2001-06-01,6406073633
2001-06-04,6306866786
2001-06-05,6638010050
2001-06-06,6666257625
2001-06-07,7042835242
2001-06-08,6859906666
2001-06-11,6659280814
2001-06-12,6881177431
2001-06-13,6649921678
2001-06-14,6635797890
2001-06-15,6739258889
2001-06-18,6472778750
2001-06-19,6119003394
2001-06-20,6381910044
2001-06-21,6502557821
2001-06-22,6473459415
2001-06-25,6460696956
2001-06-26,6647199020
2001-06-27,6441468185
2001-06-28,6517362273
2001-06-29,6576239749
2001-07-02,6284915357
2001-07-03,6364893432
2001-07-05,5903402924
2001-07-06,5721835677
2001-07-09,5534652948
2001-07-10,5580087302
2001-07-11,5569366836
2001-07-12,5861542059
2001-07-13,5740383784
2001-07-16,5278723109
2001-07-17,5573620989
2001-07-18,5380822779
2001-07-19,5467267166
2001-07-20,5309863508
2001-07-23,4807192799
2001-07-24,5132720581
2001-07-25,5083032074
2001-07-26,5601358066
2001-07-27,5743106442
2001-07-30,5690895444
2001-07-31,5822691511
2001-08-01,6178178151
2001-08-02,6325002079
2001-08-03,6275254677
2001-08-06,6465262113
2001-08-07,6369567459
2001-08-08,6207715670
2001-08-09,6099065964
2001-08-10,6091811134
2001-08-13,6347284769
2001-08-14,6178869087
2001-08-15,6186123916
2001-08-16,6446606838
2001-08-17,6029108680
2001-08-20,5987479778
2001-08-21,5861556669
2001-08-22,6102520644
2001-08-23,5967269897
2001-08-24,6137931121
2001-08-27,6350221247
2001-08-28,6267481646
2001-08-29,6065901029
2001-08-30,6046382084
2001-08-31,6096820421
2001-09-04,5672931105
2001-09-05,5793844928
2001-09-06,5557026569
2001-09-07,5615410672
2001-09-10,5452695213
2001-09-17,4892691479
2001-09-18,4597661751
2001-09-19,4541523190
2001-09-20,4157189967
2001-09-21,3882197387
2001-09-24,4318350820
2001-09-25,4149935138
2001-09-26,4000174731
2001-09-27,3778556967
2001-09-28,3954227478
2001-10-01,3618777987
2001-10-02,3437407252
2001-10-03,4114006459
2001-10-04,4647927354
2001-10-05,4735848977
2001-10-08,4842253141
2001-10-09,4632208557
2001-10-10,4930174764
2001-10-11,5464095659
2001-10-12,5819755033
2001-10-15,5793844928
2001-10-16,6376822288
2001-10-17,6002507639
2001-10-18,6255908465
2001-10-19,6385458990
2001-10-22,6536601269
2001-10-23,6421387669
2001-10-24,6705016951
2001-10-25,7097986875
2001-10-26,6591357957
2001-10-29,7456348120
2001-10-30,7443800000
2001-10-31,7596291560
2001-11-01,8244965560
2001-11-02,8360238120
2001-11-05,8390226000
2001-11-06,8966376120
2001-11-07,8973394560
2001-11-08,8817500120
2001-11-09,9428955120
2001-11-12,9682257000
2001-11-13,9602502000
2001-11-14,9334950560
2001-11-15,9384505000
2001-11-16,9303048560
2001-11-19,9099301120
2001-11-20,8844085120
2001-11-21,8730514000
2001-11-23,8852805000
2001-11-26,9485528000
2001-11-27,9586551000
2001-11-28,9102704000
2001-11-29,9501479000
2001-11-30,9684171120
2001-12-03,9536996560
2001-12-04,10304346000
2001-12-05,11135712120
2001-12-06,10960251120
2001-12-07,10625280120
2001-12-10,10731620120
2001-12-11,11116145560
2001-12-12,11461750559
2001-12-13,11132096560
2001-12-14,11633596000
2001-12-17,12051937560
2001-12-18,11741850120
2001-12-19,11420916000
2001-12-20,10970885120
2001-12-21,11445799560
2001-12-24,11731216120
2001-12-26,12018334120
2001-12-27,12296519560
2001-12-28,12000469000
2001-12-31,11856910000
2002-01-02,11927945120
2002-01-03,12709544119
2002-01-04,12339055560
2002-01-07,12007700120
2002-01-08,12149345000
2002-01-09,11982816560
2002-01-10,11695698560
2002-01-11,11178248120
2002-01-14,10591464000
2002-01-15,11580426000
2002-01-16,11128481000
2002-01-17,11518536120
2002-01-18,11307557560
2002-01-22,11024055120
2002-01-23,11231418119
2002-01-24,11633596000
2002-01-25,11603608120
2002-01-28,10245125707
2002-01-29,9743347987
2002-01-30,9860881507
2002-01-31,9906086707
2002-02-01,9663425193
2002-02-04,9208299240
2002-02-05,9117888840
2002-02-06,9345542227
2002-02-07,9042667387
2002-02-08,8697480480
2002-02-11,9178282987
2002-02-12,9372665347
2002-02-13,9252057873
2002-02-14,9366517440
2002-02-15,8641787673
2002-02-19,8069128200
2002-02-20,8491163947
2002-02-21,7910910000
2002-02-22,7522145280
2002-02-25,8111440267
2002-02-26,8287740547
2002-02-27,8008914873
2002-02-28,7686511387
2002-03-01,8429323233
2002-03-04,8899457313
2002-03-05,8876854713
2002-03-06,8598029040
2002-03-07,8528774673
2002-03-08,8783370360
2002-03-11,8681025787
2002-03-12,8225899833
2002-03-13,8076722673
2002-03-14,7629191193
2002-03-15,7951594680
2002-03-18,7951594680
2002-03-19,7782888873
2002-03-20,7009879953
2002-03-21,7382009160
2002-03-22,7318721880
2002-03-25,6940625587
2002-03-26,7082208273
2002-03-27,6856182273
2002-03-28,6684402513
2002-04-01,6574463467
2002-04-02,6402683707
2002-04-03,6523110360
2002-04-04,6491466720
2002-04-05,6343916947
2002-04-08,6556381387
2002-04-09,6141940113
2002-04-10,5802901113
2002-04-11,5548305427
2002-04-12,5527149393
2002-04-15,5750101440
2002-04-16,6000357427
2002-04-17,6071058360
2002-04-18,5970160353
2002-04-19,5563313553
2002-04-22,5590436673
2002-04-23,5364410673
2002-04-24,4894276593
2002-04-25,5084138433
2002-04-26,4576212806
2002-04-29,5395847280
2002-04-30,5301362841
2002-05-01,5397309321
2002-05-02,5179647878
2002-05-03,4987754918
2002-05-06,4797324000
2002-05-07,4917576921
2002-05-08,5482656000
2002-05-09,5248181078
2002-05-10,4855257398
2002-05-13,5149127760
2002-05-14,5660842320
2002-05-15,5771957481
2002-05-16,5782740038
2002-05-17,5965495238
2002-05-20,6029459558
2002-05-21,5569464720
2002-05-22,5794801881
2002-05-23,5441536080
2002-05-24,5334989798
2002-05-28,5123176521
2002-05-29,5316714278
2002-05-30,5239043318
2002-05-31,5095763241
2002-06-03,4797141244
2002-06-04,5038012598
2002-06-05,4964910518
2002-06-06,4966372560
2002-06-07,4919221718
2002-06-10,4878101798
2002-06-11,4659892089
2002-06-12,4256734118
2002-06-13,4212507360
2002-06-14,4291640361
2002-06-17,4329836198
2002-06-18,4306991798
2002-06-19,3632259600
2002-06-20,3598815398
2002-06-21,3450966441
2002-06-24,3514930761
2002-06-25,3224167238
2002-06-26,3056580720
2002-06-27,2601154761
2002-06-28,2616506198
2002-07-01,2610292521
2002-07-02,2445812841
2002-07-03,2657626118
2002-07-05,2892101040
2002-07-08,2978909760
2002-07-09,2832705600
2002-07-10,2755034640
2002-07-11,3035198361
2002-07-12,3032274278
2002-07-15,3333820358
2002-07-16,3243904800
2002-07-17,2968309958
2002-07-18,2892101040
2002-07-19,2761065561
2002-07-22,2633136921
2002-07-23,2436675081
2002-07-24,2592017001
2002-07-25,2293577760
2002-07-26,2240213241
2002-07-29,2318369775
2002-07-30,2487095575
2002-07-31,1697387070
2002-08-01,1534854629
2002-08-02,1433655949
2002-08-05,1318655608
2002-08-06,1387654708
2002-08-07,1356682392
2002-08-08,1445001241
2002-08-09,1410654409
2002-08-12,1410654409
2002-08-13,1381522068
2002-08-14,1475055409
2002-08-15,1577786790
2002-08-16,1639120550
2002-08-19,1939702711
2002-08-20,1853775832
2002-08-21,1951846553
2002-08-22,1885975412
2002-08-23,1761786231
2002-08-26,1775586051
2002-08-27,1674387370
2002-08-28,1570121450
2002-08-29,1591586610
2002-08-30,1549513718
2002-09-03,1453588409
2002-09-04,1444388529
2002-09-05,1389189248
2002-09-06,1419856129
2002-09-09,1418321589
2002-09-10,1620720790
2002-09-11,1700452470
2002-09-12,1646785890
2002-09-13,1620720790
2002-09-16,1517987569
2002-09-17,1494987869
2002-09-18,1453588409
2002-09-19,1404521769
2002-09-20,1412188949
2002-09-23,1350855188
2002-09-24,1361589608
2002-09-25,1436721349
2002-09-26,1360055068
2002-09-27,1312522968
2002-09-30,1312522968
2002-10-01,1383054768
2002-10-02,1381522068
2002-10-03,1314055668
2002-10-04,1248123808
2002-10-07,1186790047
2002-10-08,1151523227
2002-10-09,1130058067
2002-10-10,1188477305
2002-10-11,1350855188
2002-10-14,1310990268
2002-10-15,1447455769
2002-10-16,1326322788
2002-10-17,1427521469
2002-10-18,1441321289
2002-10-21,1571654150
2002-10-22,1623786190
2002-10-23,1689719890
2002-10-24,1603853730
2002-10-25,1701987010
2002-10-28,1869682052
2002-10-29,1787589378
2002-10-30,1883083378
2002-10-31,1993657388
2002-11-01,2362220000
2002-11-04,2620154320
2002-11-05,2516417680
2002-11-06,2710622320
2002-11-07,2437610000
2002-11-08,1903187378
2002-11-11,1755758715
2002-11-12,1911564715
2002-11-13,1973384515
2002-11-14,2102476320
2002-11-15,2256674000
2002-11-18,2340507680
2002-11-19,2373880320
2002-11-20,2493097040
2002-11-21,2703988000
2002-11-22,2633624000
2002-11-25,2729118000
2002-11-26,2655336320
2002-11-27,2861402320
2002-11-29,2869845999
2002-12-02,2848133680
2002-12-03,2660362320
2002-12-04,2343322240
2002-12-05,2363828320
2002-12-06,2367246000
2002-12-09,2177866320
2002-12-10,2360611680
2002-12-11,2347142000
2002-12-12,2308542320
2002-12-13,2218074320
2002-12-16,2348750320
2002-12-17,2345533680
2002-12-18,2166206000
2002-12-19,2119363680
2002-12-20,2147710320
2002-12-23,2162788320
2002-12-24,2119363680
2002-12-26,2080764000
2002-12-27,2002032715
2002-12-30,1931668715
2002-12-31,1928317378
2003-01-02,2062268320
2003-01-03,2062268320
2003-01-06,2229935680
2003-01-07,2223100320
2003-01-08,2002032715
2003-01-09,2037138320
2003-01-10,2072320320
2003-01-13,2055633999
2003-01-14,2070712000
2003-01-15,2007058715
2003-01-16,1871356715
2003-01-17,1800992715
2003-01-21,1755758715
2003-01-22,1757433378
2003-01-23,1806018715
2003-01-24,1703822041
2003-01-27,1589400053
2003-01-28,1646503973
2003-01-29,1679814593
2003-01-30,1611607768
2003-01-31,1636986653
2003-02-03,1668711688
2003-02-04,1594158713
2003-02-05,1608434693
2003-02-06,1621125088
2003-02-07,1548157699
2003-02-10,1567192339
2003-02-11,1538640379
2003-02-12,1546572113
2003-02-13,1565606753
2003-02-14,1909745431
2003-02-18,2019194611
2003-02-19,2038229251
2003-02-20,2038229251
2003-02-21,2039942368
2003-02-24,2065258440
2003-02-25,2052505231
2003-02-26,1952573371
2003-02-27,1993878540
2003-02-28,2001873088
2003-03-03,1968562468
2003-03-04,1952573371
2003-03-05,1984361220
2003-03-06,1951050600
2003-03-07,1981125331
2003-03-10,1925734528
2003-03-11,1940010508
2003-03-12,1993878540
2003-03-13,2192219488
2003-03-14,2128643791
2003-03-17,2252368951
2003-03-18,2235047428
2003-03-19,2246087520
2003-03-20,2266644931
2003-03-21,2246087520
2003-03-24,2161954411
2003-03-25,2223816991
2003-03-26,2285679571
2003-03-27,2220771448
2003-03-28,2130356908
2003-03-31,2042987911
2003-04-01,2103327720
2003-04-02,2180989051
2003-04-03,2209921704
2003-04-04,2123885131
2003-04-07,2146155660
2003-04-08,2125598248
2003-04-09,2114367811
2003-04-10,2125598248
2003-04-11,2101804948
2003-04-14,2138161111
2003-04-15,2127121020
2003-04-16,2127121020
2003-04-17,2165190300
2003-04-21,2220771448
2003-04-22,2249323408
2003-04-23,2299955551
2003-04-24,2231811540
2003-04-25,2149391548
2003-04-28,2234610889
2003-04-29,2303572060
2003-04-30,2284362820
2003-05-01,2308374370
2003-05-02,2545224300
2003-05-05,2607654330
2003-05-06,2610919900
2003-05-07,2569235850
2003-05-08,2570772589
2003-05-09,3420781459
2003-05-12,3324735259
2003-05-13,3262305229
2003-05-14,3259231750
2003-05-15,3371221620
2003-05-16,3403301050
2003-05-19,3183931530
2003-05-20,3233491369
2003-05-21,3347210070
2003-05-22,3358351429
2003-05-23,3340871020
2003-05-27,3636885409
2003-05-28,3627280789
2003-05-29,3875464170
2003-05-30,4189151059
2003-06-02,3957103440
2003-06-03,4038742710
2003-06-04,4134788910
2003-06-05,4253309920
2003-06-06,4123647550
2003-06-09,4073895619
2003-06-10,4133252170
2003-06-11,4136325649
2003-06-12,4073895619
2003-06-13,3756943159
2003-06-16,3837045690
2003-06-17,3928289579
2003-06-18,4078697929
2003-06-19,3830706640
2003-06-20,3790559329
2003-06-23,3656094649
2003-06-24,3648218860
2003-06-25,3672230410
2003-06-26,3677032720
2003-06-27,3610952935
2003-06-30,3667428100
2003-07-01,3817836450
2003-07-02,3806695090
2003-07-03,3763474300
2003-07-07,4009928850
2003-07-08,3965171320
2003-07-09,4056415210
2003-07-10,3889871100
2003-07-11,3910617079
2003-07-14,3880266480
2003-07-15,3753869680
2003-07-16,3707383320
2003-07-17,3521629969
2003-07-18,3403301050
2003-07-21,3352012380
2003-07-22,3408103360
2003-07-23,3452860890
2003-07-24,3318396209
2003-07-25,3371221620
2003-07-28,3296175898
2003-07-29,3079893425
2003-07-30,3045978162
2003-07-31,3082994249
2003-08-01,3184740036
2003-08-04,3304315561
2003-08-05,3294625486
2003-08-06,3160514848
2003-08-07,3116909511
2003-08-08,2503333965
2003-08-11,2638995014
2003-08-12,2692290426
2003-08-13,2709926363
2003-08-14,2616320239
2003-08-15,2608180576
2003-08-18,2685701175
2003-08-19,2890936963
2003-08-20,2850432450
2003-08-21,2928146851
2003-08-22,2949077413
2003-08-25,2932798087
2003-08-26,2886091926
2003-08-27,2973302600
2003-08-28,2895782001
2003-08-29,2934542300
2003-09-02,2908572899
2003-09-03,2852176663
2003-09-04,2879502675
2003-09-05,3016907938
2003-09-08,3155669811
2003-09-09,3349471310
2003-09-10,3120204137
2003-09-11,3079893425
2003-09-12,3125049174
2003-09-15,3073304174
2003-09-16,3168654511
2003-09-17,3205864399
2003-09-18,3230089587
2003-09-19,3204120186
2003-09-22,3078149211
2003-09-23,3107219436
2003-09-24,2871556813
2003-09-25,2831052300
2003-09-26,2722911063
2003-09-29,2576009527
2003-09-30,2579110351
2003-10-01,2600234714
2003-10-02,2640545426
2003-10-03,2709926363
2003-10-06,2688995801
2003-10-07,2713220988
2003-10-08,2617870651
2003-10-09,2655080539
2003-10-10,2701980501
2003-10-13,2729306513
2003-10-14,2779501101
2003-10-15,2743841625
2003-10-16,2777756888
2003-10-17,2690546213
2003-10-20,2750430876
2003-10-21,2834346925
2003-10-22,2785896551
2003-10-23,2772911850
2003-10-24,2763221775
2003-10-27,2777756888
2003-10-28,2952178237
2003-10-29,2952178237
2003-10-30,2897332413
2003-10-31,2855277487
2003-11-03,2908572899
2003-11-04,2918262974
2003-11-05,2929697263
2003-11-06,2934542300
2003-11-07,3512652173
2003-11-10,3502962098
2003-11-11,3415751423
2003-11-12,3460907172
2003-11-13,3462651386
2003-11-14,3257997003
2003-11-17,3223500336
2003-11-18,3176794174
2003-11-19,3265555261
2003-11-20,3178344586
2003-11-21,3191329287
2003-11-24,3383386573
2003-11-25,3441527022
2003-11-26,3444821648
2003-11-28,3428736123
2003-12-01,3477186498
2003-12-02,3462651386
2003-12-03,3426991910
2003-12-04,3409355973
2003-12-05,3299470523
2003-12-08,3323695711
2003-12-09,3150824773
2003-12-10,3219624306
2003-12-11,3383386573
2003-12-12,3365750636
2003-12-15,3297920111
2003-12-16,3343075861
2003-12-17,3278539961
2003-12-18,3352765936
2003-12-19,3402766722
2003-12-22,3407611760
2003-12-23,3546567435
2003-12-24,3520791835
2003-12-26,3672732211
2003-12-29,3827579609
2003-12-30,3835719272
2003-12-31,3746764384
2004-01-02,3727384234
2004-01-05,3848510171
2004-01-06,4005295583
2004-01-07,4040761258
2004-01-08,4055296370
2004-01-09,4113436820
2004-01-12,4160336783
2004-01-13,3945410920
2004-01-14,3916340695
2004-01-15,3922348542
2004-01-16,3982620808
2004-01-20,4094056670
2004-01-21,3905100208
2004-01-22,3814594908
2004-01-23,3729128447
2004-01-26,3964104000
2004-01-27,3737753661
2004-01-28,3727843401
2004-01-29,3618830541
2004-01-30,3675120818
2004-02-02,3734582378
2004-02-03,3721302630
2004-02-04,3620614388
2004-02-05,3675120818
2004-02-06,3759358028
2004-02-09,3732798531
2004-02-10,3869956530
2004-02-11,4005330681
2004-02-12,3884821920
2004-02-13,3848550368
2004-02-17,3891362691
2004-02-18,3891362691
2004-02-19,3889777050
2004-02-20,3987294008
2004-02-23,3848550368
2004-02-24,3694941338
2004-02-25,3716347500
2004-02-26,3741123150
2004-02-27,3675120818
2004-03-01,3729627248
2004-03-02,3660255428
2004-03-03,3612289770
2004-03-04,3691571850
2004-03-05,3665210558
2004-03-08,3537962820
2004-03-09,3513187170
2004-03-10,3462050228
2004-03-11,3435490731
2004-03-12,3508232040
2004-03-15,3428949959
2004-03-16,3576018218
2004-03-17,3663426711
2004-03-18,3704851598
2004-03-19,3661841070
2004-03-22,3633695931
2004-03-23,3648561321
2004-03-24,3812080611
2004-03-25,4033475819
2004-03-26,4021979918
2004-03-29,4195409468
2004-03-30,4320873360
2004-03-31,4360514400
2004-04-01,4282817961
2004-04-02,4344063368
2004-04-05,4499258040
2004-04-06,4317503871
2004-04-07,4294512068
2004-04-08,4416606471
2004-04-12,4334153108
2004-04-13,4233266661
2004-04-14,4254871028
2004-04-15,4031890178
2004-04-16,3899687310
2004-04-19,3894732180
2004-04-20,3729627248
2004-04-21,3734582378
2004-04-22,3755988540
2004-04-23,3838640108
2004-04-26,3712340659
2004-04-27,3680819280
2004-04-28,3665856600
2004-04-29,3564509380
2004-04-30,3411491040
2004-05-03,3368199019
2004-05-04,3582664099
2004-05-05,3612589459
2004-05-06,3642514819
2004-05-07,3670844160
2004-05-10,3527800939
2004-05-11,3614384980
2004-05-12,3564509380
2004-05-13,3576080520
2004-05-14,3576080520
2004-05-17,3519621340
2004-05-18,3576080520
2004-05-19,3567701419
2004-05-20,3516229800
2004-05-21,3524608900
2004-05-24,3512838259
2004-05-25,3665856600
2004-05-26,3740670000
2004-05-27,3752241139
2004-05-28,3898675900
2004-06-01,3895284360
2004-06-02,3865359000
2004-06-03,3679223260
2004-06-04,3642514819
2004-06-07,3730694880
2004-06-08,3664260580
2004-06-09,3492888019
2004-06-10,3457975099
2004-06-14,3350044300
2004-06-15,3399919900
2004-06-16,3346652760
2004-06-17,3280218460
2004-06-18,3285206020
2004-06-21,3226951320
2004-06-22,3318323419
2004-06-23,3374982100
2004-06-24,3345056740
2004-06-25,3366603000
2004-06-28,3338273659
2004-06-29,3452987539
2004-06-30,3403111939
2004-07-01,3246901560
2004-07-02,3202013520
2004-07-06,3014082259
2004-07-07,3029044939
2004-07-08,2936076820
2004-07-09,2809592299
2004-07-12,2744754019
2004-07-13,2739766459
2004-07-14,2618469000
2004-07-15,2600114779
2004-07-16,2523705360
2004-07-19,2552034700
2004-07-20,2603506320
2004-07-21,2445500419
2004-07-22,2497171540
2004-07-23,2430537739
2004-07-26,2359480330
2004-07-27,2437385820
2004-07-28,2376017813
2004-07-29,2532028039
2004-07-30,2560321081
2004-08-02,2593595293
2004-08-03,2459103719
2004-08-04,2485603540
2004-08-05,2417461142
2004-08-06,1565754893
2004-08-09,1635491265
2004-08-10,1765003662
2004-08-11,1713530250
2004-08-12,1673680894
2004-08-13,1743417266
2004-08-16,1726814032
2004-08-17,1821456251
2004-08-18,1942666036
2004-08-19,1936025141
2004-08-20,2050647826
2004-08-23,2095478351
