,LOW
2000-10-16,15016794840
2000-10-17,14327951040
2000-10-18,15231101799
2000-10-19,15736253919
2000-10-20,15736253919
2000-10-23,15981176160
2000-10-24,16073022000
2000-10-25,15506639320
2000-10-26,15659715720
2000-10-27,16102860000
2000-10-30,16656540000
2000-10-31,17563960000
2000-11-01,17733140000
2000-11-02,17656240000
2000-11-03,17133320000
2000-11-06,17179460000
2000-11-07,17041040000
2000-11-08,17610100000
2000-11-09,16241280000
2000-11-10,15349240000
2000-11-13,15380000000
2000-11-14,16072099999
2000-11-15,15380000000
2000-11-16,15287720000
2000-11-17,15687599999
2000-11-20,15380000000
2000-11-21,15195440000
2000-11-22,14964740000
2000-11-24,15026260000
2000-11-27,15333860000
2000-11-28,15795260000
2000-11-29,15733740000
2000-11-30,15410760000
2000-12-01,14949360000
2000-12-04,15549180000
2000-12-05,16610400000
2000-12-06,15641460000
2000-12-07,15349240000
2000-12-08,15333860000
2000-12-11,16072099999
2000-12-12,16364320000
2000-12-13,16241280000
2000-12-14,16102860000
2000-12-15,15795260000
2000-12-18,16318180000
2000-12-19,15795260000
2000-12-20,15472280000
2000-12-21,16072099999
2000-12-22,15964440000
2000-12-26,15687599999
2000-12-27,16149000000
2000-12-28,16410460000
2000-12-29,17117940000
2001-01-02,17210220000
2001-01-03,20378500000
2001-01-04,20624580000
2001-01-05,19917100000
2001-01-08,18978920000
2001-01-09,18655940000
2001-01-10,19363420000
2001-01-11,19194240000
2001-01-12,19363420000
2001-01-16,19040440000
2001-01-17,18502140000
2001-01-18,17733140000
2001-01-19,17056420000
2001-01-22,17656240000
2001-01-23,18409860000
2001-01-24,18194540000
2001-01-25,18625180000
2001-01-26,18763600000
2001-01-29,19148100000
2001-01-30,19532600000
2001-01-31,20547680000
2001-02-01,20962940000
2001-02-02,20685812560
2001-02-05,20409182080
2001-02-06,20086446520
2001-02-07,20055709800
2001-02-08,19210450000
2001-02-09,20562865680
2001-02-12,20747286000
2001-02-13,21607914160
2001-02-14,21669387600
2001-02-15,21853807920
2001-02-16,21715492680
2001-02-20,22407068880
2001-02-21,20870232880
2001-02-22,20808759440
2001-02-23,20977811400
2001-02-26,22637594280
2001-02-27,22099701680
2001-02-28,21469598920
2001-03-01,21131495000
2001-03-02,21946018080
2001-03-05,21961386440
2001-03-06,22622225920
2001-03-07,23928536520
2001-03-08,23790221280
2001-03-09,24005378320
2001-03-12,22914224760
2001-03-13,22898856400
2001-03-14,22560752480
2001-03-15,23329170480
2001-03-16,23067908360
2001-03-19,23528959160
2001-03-20,23959273240
2001-03-21,23836326360
2001-03-22,22145806760
2001-03-23,21469598920
2001-03-26,21853807920
2001-03-27,22514647400
2001-03-28,22084333320
2001-03-29,22530015760
2001-03-30,22453173960
2001-04-02,22068964960
2001-04-03,21946018080
2001-04-04,21669387600
2001-04-05,22345595440
2001-04-06,22038228240
2001-04-09,21285178600
2001-04-10,21853807920
2001-04-11,21515704000
2001-04-12,20947074680
2001-04-16,20762654360
2001-04-17,20270866840
2001-04-18,22791277880
2001-04-19,22652962640
2001-04-20,22407068880
2001-04-23,22407068880
2001-04-24,21823071200
2001-04-25,21746229400
2001-04-26,22407068880
2001-04-27,23867063080
2001-04-30,24205167000
2001-05-01,24866006480
2001-05-02,24681586159
2001-05-03,24174430280
2001-05-04,24770510700
2001-05-07,24508143920
2001-05-08,24122310420
2001-05-09,23427810120
2001-05-10,24708777340
2001-05-11,24770510700
2001-05-14,25002010800
2001-05-15,25387844300
2001-05-16,25372410960
2001-05-17,26128644620
2001-05-18,26391011400
2001-05-21,27980645420
2001-05-22,27394178500
2001-05-23,27008345000
2001-05-24,27687411960
2001-05-25,27718278640
2001-05-29,27147245060
2001-05-30,26823144920
2001-05-31,26823144920
2001-06-01,26745978219
2001-06-04,27039211680
2001-06-05,27455911860
2001-06-06,27810878680
2001-06-07,28551679000
2001-06-08,28381912260
2001-06-11,27733711980
2001-06-12,28073245460
2001-06-13,28505378980
2001-06-14,28134978820
2001-06-15,27934345400
2001-06-18,28767745760
2001-06-19,29307912659
2001-06-20,29863512900
2001-06-21,30434546480
2001-06-22,29709179500
2001-06-25,29138145920
2001-06-26,29246179300
2001-06-27,28381912260
2001-06-28,29091845900
2001-06-29,27996078760
2001-07-02,28613412360
2001-07-03,28551679000
2001-07-05,27934345400
2001-07-06,26699678200
2001-07-09,26545344800
2001-07-10,26051477920
2001-07-11,26653378180
2001-07-12,28227578860
2001-07-13,28119545480
2001-07-16,28026945440
2001-07-17,28150412159
2001-07-18,29323346000
2001-07-19,29894379580
2001-07-20,30172179700
2001-07-23,29539412760
2001-07-24,28752312420
2001-07-25,29523979420
2001-07-26,30295646420
2001-07-27,30017846300
2001-07-30,30264779740
2001-07-31,29462246060
2001-08-01,28644279039
2001-08-02,28906645820
2001-08-03,28552118920
2001-08-06,28149976400
2001-08-07,28149976400
2001-08-08,27670498780
2001-08-09,27763300900
2001-08-10,27933438119
2001-08-13,28196377460
2001-08-14,28753190180
2001-08-15,28211844479
2001-08-16,27917971100
2001-08-17,27098219040
2001-08-20,29263601840
2001-08-21,29882282640
2001-08-22,30006018799
2001-08-23,28969728460
2001-08-24,30315359200
2001-08-27,29774013500
2001-08-28,29820414560
2001-08-29,29093464619
2001-08-30,28227311500
2001-08-31,28768657200
2001-09-04,28892393360
2001-09-05,28366514680
2001-09-06,26912614799
2001-09-07,24747232000
2001-09-10,24638962860
2001-09-17,21947701380
2001-09-18,22365310920
2001-09-19,22581849200
2001-09-20,21777564160
2001-09-21,20803141900
2001-09-24,22767453440
2001-09-25,23571738480
2001-09-26,23587205500
2001-09-27,23509870400
2001-09-28,24468825640
2001-10-01,23587205500
2001-10-02,24561627760
2001-10-03,26077395720
2001-10-04,25041105380
2001-10-05,24979237299
2001-10-08,24360556500
2001-10-09,23509870400
2001-10-10,24592561800
2001-10-11,26293934000
2001-10-12,26835279700
2001-10-15,26680609500
2001-10-16,26835279700
2001-10-17,25938192540
2001-10-18,26185664860
2001-10-19,26603274400
2001-10-22,26587807380
2001-10-23,27067285000
2001-10-24,26525939299
2001-10-25,27036350960
2001-10-26,26881680760
2001-10-29,26154730820
2001-10-30,25365912799
2001-10-31,26371269100
2001-11-01,27160087119
2001-11-02,28503991999
2001-11-05,29696822100
2001-11-06,30409421900
2001-11-07,30130578500
2001-11-08,30208035000
2001-11-09,29758787300
2001-11-12,30362948000
2001-11-13,31524795500
2001-11-14,32578203900
2001-11-15,32314851800
2001-11-16,31261443400
2001-11-19,33383751500
2001-11-20,32578203900
2001-11-21,32500747400
2001-11-23,33213347200
2001-11-26,33166873300
2001-11-27,33414734100
2001-11-28,33848490500
2001-11-29,33709068800
2001-11-30,35103285800
2001-12-03,35289181400
2001-12-04,35258198800
2001-12-05,36249642000
2001-12-06,35846868200
2001-12-07,35877850800
2001-12-10,35397620500
2001-12-11,35242707500
2001-12-12,35738429100
2001-12-13,35304672700
2001-12-14,35552533500
2001-12-17,35521550900
2001-12-18,35459585700
2001-12-19,35831376900
2001-12-20,35831376900
2001-12-21,36791837500
2001-12-24,36698889700
2001-12-26,36698889700
2001-12-27,36125711600
2001-12-28,36203168100
2001-12-31,35955307300
2002-01-02,35149759700
2002-01-03,34282246900
2002-01-04,34855425000
2002-01-07,34437159900
2002-01-08,34251264300
2002-01-09,33414734100
2002-01-10,33445716700
2002-01-11,32562712600
2002-01-14,33120399400
2002-01-15,32531730000
2002-01-16,31803638900
2002-01-17,32299360500
2002-01-18,33616121000
2002-01-22,34003403500
2002-01-23,34623055500
2002-01-24,34561090300
2002-01-25,34623055500
2002-01-28,35459585700
2002-01-29,33894964400
2002-01-30,34685020700
2002-01-31,35691955200
2002-02-01,35486644100
2002-02-04,35999142680
2002-02-05,35719598000
2002-02-06,35067327080
2002-02-07,33840436540
2002-02-08,35098387600
2002-02-11,35440053320
2002-02-12,35362402020
2002-02-13,35843840080
2002-02-14,35812779560
2002-02-15,35408992800
2002-02-19,34912024480
2002-02-20,35610886180
2002-02-21,35331341500
2002-02-22,35766188780
2002-02-25,36884367500
2002-02-26,36092324240
2002-02-27,35113917860
2002-02-28,35144978380
2002-03-01,34166572000
2002-03-04,33623012899
2002-03-05,32334001320
2002-03-06,33390059000
2002-03-07,33436649780
2002-03-08,33203695880
2002-03-11,32815439380
2002-03-12,33871497059
2002-03-13,34151041739
2002-03-14,33995739140
2002-03-15,34818842920
2002-03-18,34042329920
2002-03-19,34477177200
2002-03-20,34865433700
2002-03-21,34818842920
2002-03-22,34974145520
2002-03-25,34135511480
2002-03-26,34135511480
2002-03-27,33933618100
2002-03-28,33778315500
2002-04-01,33576422120
2002-04-02,33358998480
2002-04-03,32660136780
2002-04-04,33188165620
2002-04-05,33778315500
2002-04-08,34321874600
2002-04-09,34818842920
2002-04-10,35113917860
2002-04-11,34275283820
2002-04-12,34772252140
2002-04-15,34275283820
2002-04-16,35082857340
2002-04-17,34321874600
2002-04-18,34601419280
2002-04-19,34554828500
2002-04-22,34430586420
2002-04-23,34368465380
2002-04-24,33669603680
2002-04-25,33700664200
2002-04-26,33296877440
2002-04-29,33048393280
2002-04-30,32830969640
2002-05-01,33141574840
2002-05-02,33778315500
2002-05-03,33976839359
2002-05-06,32637083200
2002-05-07,32512454720
2002-05-08,32792868800
2002-05-09,33338118399
2002-05-10,32559190399
2002-05-13,32450140479
2002-05-14,34085889280
2002-05-15,34272832000
2002-05-16,34007996479
2002-05-17,34864817280
2002-05-20,36453830400
2002-05-21,35939737920
2002-05-22,36594037440
2002-05-23,37388544000
2002-05-24,37466436800
2002-05-28,37388544000
2002-05-29,37419701120
2002-05-30,37310651200
2002-05-31,36734244480
2002-06-03,35254281280
2002-06-04,35830688000
2002-06-05,36936765760
2002-06-06,36111102080
2002-06-07,36111102080
2002-06-10,36609616000
2002-06-11,36718665920
2002-06-12,36999080000
2002-06-13,36469408960
2002-06-14,36484987520
2002-06-17,37217179840
2002-06-18,35207545600
2002-06-19,35347752640
2002-06-20,34740188800
2002-06-21,34584403200
2002-06-24,34740188800
2002-06-25,34584403200
2002-06-26,34599981760
2002-06-27,35597009600
2002-06-28,35363331200
2002-07-01,34553246080
2002-07-02,34117046399
2002-07-03,34319567680
2002-07-05,35597009600
2002-07-08,36033209280
2002-07-09,34771345920
2002-07-10,33571796800
2002-07-11,33649689600
2002-07-12,31297327040
2002-07-15,31936048000
2002-07-16,29287692800
2002-07-17,29755049600
2002-07-18,29490214080
2002-07-19,28072565120
2002-07-22,27200165760
2002-07-23,26654916160
2002-07-24,29209800000
2002-07-25,27324794240
2002-07-26,27729836800
2002-07-29,29318849920
2002-07-30,29677156800
2002-07-31,29490214080
2002-08-01,27589629760
2002-08-02,26147755000
2002-08-05,26257029200
2002-08-06,27818089200
2002-08-07,28473734399
2002-08-08,27490266600
2002-08-09,27193665200
2002-08-12,27037559200
2002-08-13,26912674399
2002-08-14,28692282800
2002-08-15,29613308200
2002-08-16,28707893400
2002-08-19,32001730000
2002-08-20,32782260000
2002-08-21,33437905200
2002-08-22,34343320000
2002-08-23,33422294600
2002-08-26,33781338400
2002-08-27,32766649399
2002-08-28,32048561800
2002-08-29,32048561800
2002-08-30,32298331400
2002-09-03,32032951200
2002-09-04,33000808400
2002-09-05,33000808400
2002-09-06,34374541200
2002-09-09,34421373000
2002-09-10,34749195600
2002-09-11,35279956000
2002-09-12,34109161000
2002-09-13,35108239400
2002-09-16,35498504400
2002-09-17,34390151800
2002-09-18,34983354600
2002-09-19,33796948999
2002-09-20,33094472000
2002-09-23,32235888999
2002-09-24,31705128599
2002-09-25,32501269200
2002-09-26,34062329200
2002-09-27,33156914399
2002-09-30,32313942000
2002-10-01,32938366000
2002-10-02,32142225400
2002-10-03,31143147000
2002-10-04,31111925800
2002-10-07,29254264399
2002-10-08,30721660800
2002-10-09,29269875000
2002-10-10,28926441800
2002-10-11,30362617000
2002-10-14,31002651600
2002-10-15,32766649399
2002-10-16,32657375200
2002-10-17,33375462800
2002-10-18,34452594200
2002-10-21,34655532000
2002-10-22,33765727800
2002-10-23,33765727800
2002-10-24,34202824600
2002-10-25,34234045800
2002-10-28,33359852200
2002-10-29,34124771600
2002-10-30,33531568800
2002-10-31,32579322200
2002-11-01,33805305113
2002-11-04,33082626382
2002-11-05,33644709840
2002-11-06,33435935984
2002-11-07,32102995212
2002-11-08,31701507028
2002-11-11,31091244988
2002-11-12,31749685610
2002-11-13,32359947650
2002-11-14,33644709840
2002-11-15,34126495661
2002-11-18,32681138197
2002-11-19,31300018844
2002-11-20,30432804366
2002-11-21,31444554590
2002-11-22,31235780734
2002-11-25,32038757103
2002-11-26,31829983247
2002-11-27,33323519292
2002-11-29,33323519292
2002-12-02,33050507327
2002-12-03,32456304814
2002-12-04,33403816929
2002-12-05,33034447800
2002-12-06,32777495362
2002-12-09,32006638048
2002-12-10,32600840561
2002-12-11,31942399938
2002-12-12,31942399938
2002-12-13,31235780734
2002-12-16,32054816630
2002-12-17,31155483097
2002-12-18,30673697276
2002-12-19,30352506729
2002-12-20,30802173495
2002-12-23,30111613818
2002-12-24,29597708942
2002-12-26,29967078072
2002-12-27,29549530360
2002-12-30,30400685311
2002-12-31,30111613818
2003-01-02,31605149864
2003-01-03,29645887525
2003-01-06,29308637450
2003-01-07,29678006579
2003-01-08,29854661380
2003-01-09,30850352077
2003-01-10,30882471132
2003-01-13,30545221057
2003-01-14,30288268619
2003-01-15,30513102003
2003-01-16,30368566256
2003-01-17,29469232723
2003-01-21,28618077773
2003-01-22,28216589589
2003-01-23,28104172897
2003-01-24,27397553693
2003-01-27,27622387076
2003-01-28,27782982350
2003-01-29,27799041877
2003-01-30,27301196529
2003-01-31,26762940000
2003-02-03,27639899999
2003-02-04,27232740000
2003-02-05,27107459999
2003-02-06,27123120000
2003-02-07,26684640000
2003-02-10,26935200000
2003-02-11,27076140000
2003-02-12,26825580000
2003-02-13,26622000000
2003-02-14,27373680000
2003-02-18,27921779999
2003-02-19,27405000000
2003-02-20,27373680000
2003-02-21,28203660000
2003-02-24,29832300000
2003-02-25,30239459999
2003-02-26,30537000000
2003-02-27,30411720000
2003-02-28,30771899999
2003-03-03,30756240000
2003-03-04,29393820000
2003-03-05,29456459999
2003-03-06,29331180000
2003-03-07,29785320000
2003-03-10,28955339999
2003-03-11,28501200000
2003-03-12,28892700000
2003-03-13,30208140000
2003-03-14,30568320000
2003-03-17,31398300000
2003-03-18,31539240000
2003-03-19,32056020000
2003-03-20,32228279999
2003-03-21,33308820000
2003-03-24,31930740000
2003-03-25,32494500000
2003-03-26,32917320000
2003-03-27,32651100000
2003-03-28,32071680000
2003-03-31,31962060000
2003-04-01,32212620000
2003-04-02,33136560000
2003-04-03,33700320000
2003-04-04,33778620000
2003-04-07,33982200000
2003-04-08,33762959999
2003-04-09,33387120000
2003-04-10,34170120000
2003-04-11,34373700000
2003-04-14,34796520000
2003-04-15,35563860000
2003-04-16,35000100000
2003-04-17,35736120000
2003-04-21,35673480000
2003-04-22,35783100000
2003-04-23,35360280000
2003-04-24,35078400000
2003-04-25,34780860000
2003-04-28,35141040000
2003-04-29,35000100000
2003-04-30,34373700000
2003-05-01,34060500000
2003-05-02,34605760000
2003-05-05,34543040000
2003-05-06,34888000000
2003-05-07,35060480000
2003-05-08,34966400000
2003-05-09,35499520000
2003-05-12,36220800000
2003-05-13,35719040000
2003-05-14,34919360000
2003-05-15,35138880000
2003-05-16,34731200000
2003-05-19,31595199999
2003-05-20,30576000000
2003-05-21,31532480000
2003-05-22,31469760000
2003-05-23,31250240000
2003-05-27,31924480000
2003-05-28,32441920000
2003-05-29,32222400000
2003-05-30,33131840000
2003-06-02,33084800000
2003-06-03,34292160000
2003-06-04,34809600000
2003-06-05,35201600000
2003-06-06,34464640000
2003-06-09,33602240000
2003-06-10,34668480000
2003-06-11,34590080000
2003-06-12,35091840000
2003-06-13,34605760000
2003-06-16,35421120000
2003-06-17,35452480000
2003-06-18,35530880000
2003-06-19,35091840000
2003-06-20,34652800000
2003-06-23,33947199999
2003-06-24,33994240000
2003-06-25,34025600000
2003-06-26,34213760000
2003-06-27,33806079999
2003-06-30,33680640000
2003-07-01,33367040000
2003-07-02,33367040000
2003-07-03,33022079999
2003-07-07,34104000000
2003-07-08,35515200000
2003-07-09,35248640000
2003-07-10,35452480000
2003-07-11,36753920000
2003-07-14,37020480000
2003-07-15,36926400000
2003-07-16,36910720000
2003-07-17,36565760000
2003-07-18,36879360000
2003-07-21,36456000000
2003-07-22,36848000000
2003-07-23,37240000000
2003-07-24,36926400000
2003-07-25,37820160000
2003-07-28,37898560000
2003-07-29,37240000000
2003-07-30,37114560000
2003-07-31,37287040000
2003-08-01,36942000000
2003-08-04,36690480000
2003-08-05,36093120000
2003-08-06,36014520000
2003-08-07,36344640000
2003-08-08,36863400000
2003-08-11,36800520000
2003-08-12,38010960000
2003-08-13,37617960000
2003-08-14,37948080000
2003-08-15,38435400000
2003-08-18,40840560000
2003-08-19,41406480000
2003-08-20,41736600000
2003-08-21,42035280000
2003-08-22,41595120000
2003-08-25,41547960000
2003-08-26,41359320000
2003-08-27,41862360000
2003-08-28,42837000000
2003-08-29,43119960000
2003-09-02,42868440000
2003-09-03,43292880000
2003-09-04,43921680000
2003-09-05,42837000000
2003-09-08,42208200000
2003-09-09,40809120000
2003-09-10,40133160000
2003-09-11,40494720000
2003-09-12,40447560000
2003-09-15,41422200000
2003-09-16,41893800000
2003-09-17,41595120000
2003-09-18,42051000000
2003-09-19,42365400000
2003-09-22,41752320000
2003-09-23,42019560000
2003-09-24,41563680000
2003-09-25,41988120000
2003-09-26,41375040000
2003-09-29,41453640000
2003-09-30,40793400000
2003-10-01,42192480000
2003-10-02,42444000000
2003-10-03,43623000000
2003-10-06,44629080000
2003-10-07,45195000000
2003-10-08,45006360000
2003-10-09,45399360000
2003-10-10,44754840000
2003-10-13,45619440000
2003-10-14,45981000000
2003-10-15,45525120000
2003-10-16,45965280000
2003-10-17,45163560000
2003-10-20,45808080000
2003-10-21,45415080000
2003-10-22,45242160000
2003-10-23,46091040000
2003-10-24,45477960000
2003-10-27,46138200000
2003-10-28,47128560000
2003-10-29,46609800000
2003-10-30,46735560000
2003-10-31,48255480000
2003-11-03,49189140000
2003-11-04,48845160000
2003-11-05,48157200000
2003-11-06,48468420000
2003-11-07,48321000000
2003-11-10,47502000000
2003-11-11,48026160000
2003-11-12,48091680000
2003-11-13,47469240000
2003-11-14,48026160000
2003-11-17,47436480000
2003-11-18,46830420000
2003-11-19,47141640000
2003-11-20,47190780000
2003-11-21,47092500000
2003-11-24,48517560000
2003-11-25,48075300000
2003-11-26,47616660000
2003-11-28,47747700000
2003-12-01,48009780000
2003-12-02,47141640000
2003-12-03,46764900000
2003-12-04,45929520000
2003-12-05,45765720000
2003-12-08,46502820000
2003-12-09,45765720000
2003-12-10,44602740000
2003-12-11,45569160000
2003-12-12,45094140000
2003-12-15,44373420000
2003-12-16,43865640000
2003-12-17,44913960000
2003-12-18,45552780000
2003-12-19,45323460000
2003-12-22,44373420000
2003-12-23,44275140000
2003-12-24,44226000000
2003-12-26,44930340000
2003-12-29,45045000000
2003-12-30,45012240000
2003-12-31,45372600000
2004-01-02,44144100000
2004-01-05,44045820000
2004-01-06,45290700000
2004-01-07,45290700000
2004-01-08,44111340000
2004-01-09,43407000000
2004-01-12,42178500000
2004-01-13,42882840000
2004-01-14,43341480000
2004-01-15,43488900000
2004-01-16,43325100000
2004-01-20,42882840000
2004-01-21,44389800000
2004-01-22,45225180000
2004-01-23,45274320000
2004-01-26,45552780000
2004-01-27,45470880000
2004-01-28,44062200000
2004-01-29,43652700000
2004-01-30,42098160000
2004-02-02,42239640000
2004-02-03,41846640000
2004-02-04,42098160000
2004-02-05,42208200000
2004-02-06,42978480000
2004-02-09,43512960000
2004-02-10,44094600000
2004-02-11,45320760000
2004-02-12,44880600000
2004-02-13,45273600000
2004-02-17,45729480000
2004-02-18,45179280000
2004-02-19,45226440000
2004-02-20,45886680000
2004-02-23,44550480000
2004-02-24,44173200000
2004-02-25,43654440000
2004-02-26,43874520000
2004-02-27,44016000000
2004-03-01,44613360000
2004-03-02,43450080000
2004-03-03,43654440000
2004-03-04,43623000000
2004-03-05,43607280000
2004-03-08,42837000000
2004-03-09,42899880000
2004-03-10,42444000000
2004-03-11,41186400000
2004-03-12,41736600000
2004-03-15,41265000000
2004-03-16,41139240000
2004-03-17,42208200000
2004-03-18,43104240000
2004-03-19,42695520000
2004-03-22,41783760000
2004-03-23,41579400000
2004-03-24,41453640000
2004-03-25,43025640000
2004-03-26,43717320000
2004-03-29,44456160000
2004-03-30,43937400000
2004-03-31,44126040000
2004-04-01,43874520000
2004-04-02,43151400000
2004-04-05,43528680000
2004-04-06,43387200000
2004-04-07,42491160000
2004-04-08,42051000000
2004-04-12,42302520000
2004-04-13,41783760000
2004-04-14,41217840000
2004-04-15,41830920000
2004-04-16,41846640000
2004-04-19,41547960000
2004-04-20,41375040000
2004-04-21,40919160000
2004-04-22,41878080000
2004-04-23,42082440000
2004-04-26,41878080000
2004-04-27,41893800000
2004-04-28,41500800000
2004-04-29,41060640000
2004-04-30,40398560000
2004-05-03,40631360000
2004-05-04,40165760000
2004-05-05,40708960000
2004-05-06,39964000000
2004-05-07,38800000000
2004-05-10,38055040000
2004-05-11,38768960000
2004-05-12,38458560000
2004-05-13,39125920000
2004-05-14,39250080000
2004-05-17,38551680000
2004-05-18,39653600000
2004-05-19,39265600000
2004-05-20,39870880000
2004-05-21,39731200000
2004-05-24,40507200000
2004-05-25,41950560000
2004-05-26,41904000000
2004-05-27,41888480000
2004-05-28,41578080000
2004-06-01,41857440000
2004-06-02,41904000000
2004-06-03,42292000000
2004-06-04,42198880000
2004-06-07,43440480000
2004-06-08,43424960000
2004-06-09,42680000000
2004-06-10,42292000000
2004-06-14,41904000000
2004-06-15,41888480000
2004-06-16,42012640000
2004-06-17,41904000000
2004-06-18,41593600000
2004-06-21,41655680000
2004-06-22,41360800000
2004-06-23,41826400000
2004-06-24,41919520000
2004-06-25,41966080000
2004-06-28,41888480000
2004-06-29,40833120000
2004-06-30,40786560000
2004-07-01,41174560000
2004-07-02,41500480000
2004-07-06,41484960000
2004-07-07,41578080000
2004-07-08,40010560000
2004-07-09,39964000000
2004-07-12,40274400000
2004-07-13,40817600000
2004-07-14,40491680000
2004-07-15,39917440000
2004-07-16,39048320000
2004-07-19,37791200000
2004-07-20,38582720000
2004-07-21,38256800000
2004-07-22,37992960000
2004-07-23,37558400000
2004-07-26,37449760000
2004-07-27,37930880000
2004-07-28,37698080000
2004-07-29,37946400000
2004-07-30,37611840000
2004-08-02,37550080000
2004-08-03,37071440000
2004-08-04,37086880000
2004-08-05,36083280000
2004-08-06,35898000000
2004-08-09,36191360000
2004-08-10,36731760000
2004-08-11,36824400000
2004-08-12,36453840000
2004-08-13,36006080000
2004-08-16,37936080000
2004-08-17,38368400000
2004-08-18,39124960000
2004-08-19,38800720000
2004-08-20,38847040000
2004-08-23,38646320000
