,SPGI
2002-11-15,12024960340
2002-11-18,11505622580
2002-11-19,11394881440
2002-11-20,11455980000
2002-11-21,11532353200
2002-11-22,11692736920
2002-11-25,11467435980
2002-11-26,11173399160
2002-11-27,11486529280
2002-11-29,11322326900
2002-12-02,11520897220
2002-12-03,11547627840
2002-12-04,11604907740
2002-12-05,11574358460
2002-12-06,11643094340
2002-12-09,11486529280
2002-12-10,11219223080
2002-12-11,11486529280
2002-12-12,11356694840
2002-12-13,11249772360
2002-12-16,11310870920
2002-12-17,11284140300
2002-12-18,11181036480
2002-12-19,11070295340
2002-12-20,11379606800
2002-12-23,11604907740
2002-12-24,11578177120
2002-12-26,11547627840
2002-12-27,11448342680
2002-12-30,11593451760
2002-12-31,11539990520
2003-01-02,11864576620
2003-01-03,11734742180
2003-01-06,11765291460
2003-01-07,11551446500
2003-01-08,11425430720
2003-01-09,11723286200
2003-01-10,11536171860
2003-01-13,11421612060
2003-01-14,11360513500
2003-01-15,11066476680
2003-01-16,11097025960
2003-01-17,11001559460
2003-01-21,10856450380
2003-01-22,10780077180
2003-01-23,10871725020
2003-01-24,10703703980
2003-01-27,10547138920
2003-01-28,11135212560
2003-01-29,11181036480
2003-01-30,11158124520
2003-01-31,11307052260
2003-02-03,11131393900
2003-02-04,10971010180
2003-02-05,10864087700
2003-02-06,10848813060
2003-02-07,10776258520
2003-02-10,10852631720
2003-02-11,10543320260
2003-02-12,10405848500
2003-02-13,10367661900
2003-02-14,10596781500
2003-02-18,10806807800
2003-02-19,10745709240
2003-02-20,10585325520
2003-02-21,10753346560
2003-02-24,10367661900
2003-02-25,10692248000
2003-02-26,10512770980
2003-02-27,10596781500
2003-02-28,10738071920
2003-03-03,10558594900
2003-03-04,10291288700
2003-03-05,10570050880
2003-03-06,10505133660
2003-03-07,10570050880
2003-03-10,10321837980
2003-03-11,10176728900
2003-03-12,10023982500
2003-03-13,10375299220
2003-03-14,10363843240
2003-03-17,10871725020
2003-03-18,10661698720
2003-03-19,10818263780
2003-03-20,11001559460
2003-03-21,11333782880
2003-03-24,10917548940
2003-03-25,11039746060
2003-03-26,10806807800
2003-03-27,10833538420
2003-03-28,10627330780
2003-03-31,10554548000
2003-04-01,10725395000
2003-04-02,11010140000
2003-04-03,10888648800
2003-04-04,10911428400
2003-04-07,11025326400
2003-04-08,10994953600
2003-04-09,10755767800
2003-04-10,10820310000
2003-04-11,10763361000
2003-04-14,11105055000
2003-04-15,11279698600
2003-04-16,11101258400
2003-04-17,11211359800
2003-04-21,11158207400
2003-04-22,11340444200
2003-04-23,11291088400
2003-04-24,11162004000
2003-04-25,10972174000
2003-04-28,11249325800
2003-04-29,11469528600
2003-04-30,11086072000
2003-05-01,10979767200
2003-05-02,11093665200
2003-05-05,10953191000
2003-05-06,10759564400
2003-05-07,10820310000
2003-05-08,10816513400
2003-05-09,10953191000
2003-05-12,11139224400
2003-05-13,11253122400
2003-05-14,11237936000
2003-05-15,11591019800
2003-05-16,11579630000
2003-05-19,11351834000
2003-05-20,11374613600
2003-05-21,11367020400
2003-05-22,11378410200
2003-05-23,11325257800
2003-05-27,11480918400
2003-05-28,11704917800
2003-05-29,11739087200
2003-05-30,12001052600
2003-06-02,12354136400
2003-06-03,12278204400
2003-06-04,12411085400
2003-06-05,12361729600
2003-06-06,12152916600
2003-06-09,11997256000
2003-06-10,12206069000
2003-06-11,12259221400
2003-06-12,12213662200
2003-06-13,12137730200
2003-06-16,12338950000
2003-06-17,12430068400
2003-06-18,12236441799
2003-06-19,12149120000
2003-06-20,11944103600
2003-06-23,11822612400
2003-06-24,11856781800
2003-06-25,11780849800
2003-06-26,11761866800
2003-06-27,11818815800
2003-06-30,11812488000
2003-07-01,11797246080
2003-07-02,11991580560
2003-07-03,11968717680
2003-07-07,12155431200
2003-07-08,12136378800
2003-07-09,11907750000
2003-07-10,11614343040
2003-07-11,11842971840
2003-07-14,11991580560
2003-07-15,12006822480
2003-07-16,11911560480
2003-07-17,11835350880
2003-07-18,11949665280
2003-07-21,11831540400
2003-07-22,11922991920
2003-07-23,12056358720
2003-07-24,12193536000
2003-07-25,12128757840
2003-07-28,12075411120
2003-07-29,11831540400
2003-07-30,11694363120
2003-07-31,11580048720
2003-08-01,11362851360
2003-08-04,11355230400
2003-08-05,11214242640
2003-08-06,11378093280
2003-08-07,11446681920
2003-08-08,11534322960
2003-08-11,11576238240
2003-08-12,11587669680
2003-08-13,11500028640
2003-08-14,11591480160
2003-08-15,11660068800
2003-08-18,11793435600
2003-08-19,11793435600
2003-08-20,11713415520
2003-08-21,11694363120
2003-08-22,11461923840
2003-08-25,11488597200
2003-08-26,11576238240
2003-08-27,11484786720
2003-08-28,11515270560
2003-08-29,11621964000
2003-09-02,11698173600
2003-09-03,11766762240
2003-09-04,11747709840
2003-09-05,11812488000
2003-09-08,11736278400
2003-09-09,11641016400
2003-09-10,11446681920
2003-09-11,11549564880
2003-09-12,11519081040
2003-09-15,11420008560
2003-09-16,11541943920
2003-09-17,11484786720
2003-09-18,11576238240
2003-09-19,11423819040
2003-09-22,11465734320
2003-09-23,11782004160
2003-09-24,11747709840
2003-09-25,11747709840
2003-09-26,11633395440
2003-09-29,11842971840
2003-09-30,11712970803
2003-10-01,11848685946
2003-10-02,11924083248
2003-10-03,11961781898
2003-10-06,11984401089
2003-10-07,11954242168
2003-10-08,11980631224
2003-10-09,12063568256
2003-10-10,12056028525
2003-10-13,12063568256
2003-10-14,12248291644
2003-10-15,12195513533
2003-10-16,12157814883
2003-10-17,12086187446
2003-10-20,12206823129
2003-10-21,12063568256
2003-10-22,12007020279
2003-10-23,12108806636
2003-10-24,12108806636
2003-10-27,12233212184
2003-10-28,12154045017
2003-10-29,12357617732
2003-10-30,12674286398
2003-10-31,12617738422
2003-11-03,12463173954
2003-11-04,12350078002
2003-11-05,12429245168
2003-11-06,12591349367
2003-11-07,12598889097
2003-11-10,12463173954
2003-11-11,12331228676
2003-11-12,12647897343
2003-11-13,12723294645
2003-11-14,12734604240
2003-11-17,12711985049
2003-11-18,12613968557
2003-11-19,12666746668
2003-11-20,12546110986
2003-11-21,12485793144
2003-11-24,12753453565
2003-11-25,12900478303
2003-11-26,12885398843
2003-11-28,12911787899
2003-12-01,12968335875
2003-12-02,12926867359
2003-12-03,12881628978
2003-12-04,12813771406
2003-12-05,12753453565
2003-12-08,12832620732
2003-12-09,12629048018
2003-12-10,12617738422
2003-12-11,12606428827
2003-12-12,12685595994
2003-12-15,12787382351
2003-12-16,12855239922
2003-12-17,12900478303
2003-12-18,13024883851
2003-12-19,12877859113
2003-12-22,12896708438
2003-12-23,12979645470
2003-12-24,12923097494
2003-12-26,12949486549
2003-12-29,13055042772
2003-12-30,13179448319
2003-12-31,13325423520
2004-01-02,13245379500
2004-01-05,13310177040
2004-01-06,13474076700
2004-01-07,13447395360
2004-01-08,13474076700
2004-01-09,13359728099
2004-01-12,13371162960
2004-01-13,13474076700
2004-01-14,13531251000
2004-01-15,13645599599
2004-01-16,13618918259
2004-01-20,13538874240
2004-01-21,13573178820
2004-01-22,13512192900
2004-01-23,13554120720
2004-01-26,13576990439
2004-01-27,13923847860
2004-01-28,14087747520
2004-01-29,14415546840
2004-01-30,14297386620
2004-02-02,14266893660
2004-02-03,14293575000
2004-02-04,14350749300
2004-02-05,14430793320
2004-02-06,14609939460
2004-02-09,14888187720
2004-02-10,14834825040
2004-02-11,15269349720
2004-02-12,14602316220
2004-02-13,14552765160
2004-02-17,14636620800
2004-02-18,14621374320
2004-02-19,14602316220
2004-02-20,14628997560
2004-02-23,14434604939
2004-02-24,14491779240
2004-02-25,14655678900
2004-02-26,14693795099
2004-02-27,14895810960
2004-03-01,14808143700
2004-03-02,14655678900
2004-03-03,14770027500
2004-03-04,14735722919
2004-03-05,14720476439
2004-03-08,14644244040
2004-03-09,14636620800
2004-03-10,14495590860
2004-03-11,14312633099
2004-03-12,14556576780
2004-03-15,14541330300
2004-03-16,14556576780
2004-03-17,14541330300
2004-03-18,14705229960
2004-03-19,14636620800
2004-03-22,14533707060
2004-03-23,14590881360
2004-03-24,14419358460
2004-03-25,14438416560
2004-03-26,14301198240
2004-03-29,14487967620
2004-03-30,14484156000
2004-03-31,14435382600
2004-04-01,14571887400
2004-04-02,14734934800
2004-04-05,14674266000
2004-04-06,14670474200
2004-04-07,14568095600
2004-04-08,14666682400
2004-04-12,14647723400
2004-04-13,14439174400
2004-04-14,14579471000
2004-04-15,14624972600
2004-04-16,14734934800
2004-04-19,14704600400
2004-04-20,14628764400
2004-04-21,14753893799
2004-04-22,14897982200
2004-04-23,14852480600
2004-04-26,14674266000
2004-04-27,15061029600
2004-04-28,15311288400
2004-04-29,15057237800
2004-04-30,14951067400
2004-05-03,15015528000
2004-05-04,14909357600
2004-05-05,15015528000
2004-05-06,14935900200
2004-05-07,14841105200
2004-05-10,14621180800
2004-05-11,14742518400
2004-05-12,14689433200
2004-05-13,14738726599
2004-05-14,14723559400
2004-05-17,14515010400
2004-05-18,14621180800
2004-05-19,14609805400
2004-05-20,14571887400
2004-05-21,14515010400
2004-05-24,14469508799
2004-05-25,14700808600
2004-05-26,14636348000
2004-05-27,14772852800
2004-05-28,14772852800
2004-06-01,14678057800
2004-06-02,14693225000
2004-06-03,14583262800
2004-06-04,14662890600
2004-06-07,14765269200
2004-06-08,14723559400
2004-06-09,14784228200
2004-06-10,14636348000
2004-06-14,14499843200
2004-06-15,14549136599
2004-06-16,14458133400
2004-06-17,14624972600
2004-06-18,14575679200
2004-06-21,14488467800
2004-06-22,14628764400
2004-06-23,14568095600
2004-06-24,14681849600
2004-06-25,14621180800
2004-06-28,14655307000
2004-06-29,14533969400
2004-06-30,14498932800
2004-07-01,14445906400
2004-07-02,14328490800
2004-07-06,14426968400
2004-07-07,14233800800
2004-07-08,14074721599
2004-07-09,14135323200
2004-07-12,14131535600
2004-07-13,14158048800
2004-07-14,13991394400
2004-07-15,13839890400
2004-07-16,14029270400
2004-07-19,13889129200
2004-07-20,14063358800
2004-07-21,14146686000
2004-07-22,14146686000
2004-07-23,13938367999
2004-07-26,13870191199
2004-07-27,14248951199
2004-07-28,14051996000
2004-07-29,14317127999
2004-07-30,14214862800
2004-08-02,14563322000
2004-08-03,14419393200
2004-08-04,14332278400
2004-08-05,14112597600
2004-08-06,13919430000
2004-08-09,13919430000
2004-08-10,13945943200
2004-08-11,14014120000
2004-08-12,13873978800
2004-08-13,13923217600
2004-08-16,14097447200
2004-08-17,14021695200
2004-08-18,14320915600
2004-08-19,14105022400
2004-08-20,14294402400
2004-08-23,14271676800
