,SJM
2002-01-02,824917212
2002-01-03,831957757
2002-01-04,832661812
2002-01-07,821396940
2002-01-08,821396940
2002-01-09,820927570
2002-01-10,821396940
2002-01-11,801683413
2002-01-14,794408183
2002-01-15,795112237
2002-01-16,796755031
2002-01-17,815764503
2002-01-18,809193328
2002-01-22,799805934
2002-01-23,806142425
2002-01-24,796285662
2002-01-25,762725730
2002-01-28,768592851
2002-01-29,757327978
2002-01-30,764133839
2002-01-31,1315036776
2002-02-01,1324482699
2002-02-04,1308876391
2002-02-05,1288341776
2002-02-06,1272324776
2002-02-07,1273146161
2002-02-08,1318733007
2002-02-11,1290395238
2002-02-12,1285466930
2002-02-13,1280949314
2002-02-14,1310519161
2002-02-15,1380336853
2002-02-19,1416888469
2002-02-20,1443583469
2002-02-21,1437423085
2002-02-22,1439476546
2002-02-25,1434548238
2002-02-26,1431262700
2002-02-27,1431262700
2002-02-28,1434958931
2002-03-01,1437423085
2002-03-04,1435369623
2002-03-05,1425102315
2002-03-06,1420995392
2002-03-07,1455904238
2002-03-08,1457957700
2002-03-11,1492045162
2002-03-12,1479313700
2002-03-13,1444815546
2002-03-14,1434137546
2002-03-15,1428798546
2002-03-18,1392246930
2002-03-19,1394300392
2002-03-20,1381158238
2002-03-21,1391836238
2002-03-22,1382390315
2002-03-25,1390604161
2002-03-26,1390193469
2002-03-27,1392246930
2002-03-28,1388140007
2002-04-01,1365962623
2002-04-02,1361034315
2002-04-03,1340499699
2002-04-04,1391836238
2002-04-05,1389372084
2002-04-08,1390604161
2002-04-09,1393068315
2002-04-10,1379515469
2002-04-11,1401692854
2002-04-12,1427155777
2002-04-15,1396353854
2002-04-16,1437012392
2002-04-17,1430030623
2002-04-18,1407853238
2002-04-19,1409906700
2002-04-22,1400460777
2002-04-23,1429209238
2002-04-24,1407031854
2002-04-25,1408674623
2002-04-26,1396353854
2002-04-29,1398818007
2002-04-30,1425102315
2002-05-01,1413602931
2002-05-02,1418941931
2002-05-03,1434958931
2002-05-06,1418120546
2002-05-07,1411549469
2002-05-08,1411960161
2002-05-09,1405389084
2002-05-10,1396764546
2002-05-13,1406621161
2002-05-14,1421816777
2002-05-15,1400050084
2002-05-16,1394300392
2002-05-17,1397585930
2002-05-20,1360212930
2002-05-21,1324482699
2002-05-22,1346249392
2002-05-23,1351999084
2002-05-24,1347070776
2002-05-28,1345017315
2002-05-29,1285466930
2002-05-30,1335571392
2002-05-31,1367605392
2002-06-03,1505187316
2002-06-04,1467814315
2002-06-05,1415656392
2002-06-06,1417709854
2002-06-07,1423048854
2002-06-10,1412370854
2002-06-11,1474385392
2002-06-12,1477260239
2002-06-13,1445636931
2002-06-14,1509294239
2002-06-17,1470278469
2002-06-18,1431262700
2002-06-19,1416888469
2002-06-20,1392246930
2002-06-21,1398407315
2002-06-24,1400050084
2002-06-25,1386086546
2002-06-26,1422638161
2002-06-27,1397175238
2002-06-28,1401692854
2002-07-01,1382390315
2002-07-02,1368016084
2002-07-03,1326536161
2002-07-05,1372123007
2002-07-08,1355284623
2002-07-09,1338856930
2002-07-10,1328589622
2002-07-11,1333928622
2002-07-12,1289573853
2002-07-15,1310108468
2002-07-16,1267807160
2002-07-17,1299841161
2002-07-18,1263289545
2002-07-19,1240290776
2002-07-22,1217702699
2002-07-23,1213595776
2002-07-24,1320375776
2002-07-25,1354463238
2002-07-26,1351177699
2002-07-29,1402514238
2002-07-30,1411960161
2002-07-31,1651550000
2002-08-01,1641689999
2002-08-02,1619505000
2002-08-05,1625913999
2002-08-06,1698878000
2002-08-07,1727964999
2002-08-08,1737825000
2002-08-09,1753601000
2002-08-12,1783674000
2002-08-13,1749657000
2002-08-14,1792055000
2002-08-15,1722542000
2002-08-16,1775786000
2002-08-19,1767898000
2002-08-20,1760010000
2002-08-21,1809310000
2002-08-22,1796492000
2002-08-23,1775293000
2002-08-26,1787618000
2002-08-27,1805365999
2002-08-28,1818677000
2002-08-29,1849736000
2002-08-30,1792055000
2002-09-03,1769870000
2002-09-04,1817198000
2002-09-05,1819170000
2002-09-06,1829030000
2002-09-09,1853680000
2002-09-10,1846285000
2002-09-11,1819662999
2002-09-12,1833960000
2002-09-13,1891148000
2002-09-16,1885232000
2002-09-17,1873400000
2002-09-18,1891148000
2002-09-19,1824593000
2002-09-20,1854665999
2002-09-23,1832974000
2002-09-24,1828537000
2002-09-25,1829523000
2002-09-26,1873400000
2002-09-27,1817198000
2002-09-30,1809310000
2002-10-01,1841355000
2002-10-02,1752614999
2002-10-03,1733387999
2002-10-04,1712188999
2002-10-07,1639225000
2002-10-08,1630351000
2002-10-09,1590911000
2002-10-10,1621970000
2002-10-11,1683102000
2002-10-14,1693948000
2002-10-15,1727472000
2002-10-16,1712188999
2002-10-17,1728951000
2002-10-18,1724021000
2002-10-21,1750643000
2002-10-22,1752614999
2002-10-23,1775786000
2002-10-24,1734374000
2002-10-25,1750643000
2002-10-28,1753108000
2002-10-29,1771349000
2002-10-30,1777264999
2002-10-31,1830042375
2002-11-01,1861534500
2002-11-04,1812546750
2002-11-05,1800549750
2002-11-06,1784553750
2002-11-07,1780054875
2002-11-08,1774056375
2002-11-11,1720569750
2002-11-12,1685578500
2002-11-13,1697075625
2002-11-14,1721069625
2002-11-15,1958010375
2002-11-18,2001499500
2002-11-19,1928017875
2002-11-20,1936515750
2002-11-21,1963509000
2002-11-22,1981504500
2002-11-25,1994001375
2002-11-26,1965008625
2002-11-27,1972006875
2002-11-29,1956010875
2002-12-02,1969007625
2002-12-03,1920519750
2002-12-04,1966508250
2002-12-05,1949512500
2002-12-06,1941014625
2002-12-09,1920519750
2002-12-10,1939514999
2002-12-11,1947013125
2002-12-12,1929517500
2002-12-13,1920519750
2002-12-16,1963009125
2002-12-17,1914521249
2002-12-18,1884528750
2002-12-19,1882529249
2002-12-20,1961509500
2002-12-23,1971007125
2002-12-24,1976505750
2002-12-26,1980504749
2002-12-27,1967008125
2002-12-30,1991502000
2002-12-31,1990002375
2003-01-02,2037490500
2003-01-03,2032991625
2003-01-06,2041989375
2003-01-07,2067483000
2003-01-08,2053486500
2003-01-09,2079480000
2003-01-10,2077480500
2003-01-13,2049487500
2003-01-14,2064483749
2003-01-15,2038990125
2003-01-16,2086978125
2003-01-17,2079480000
2003-01-21,2079480000
2003-01-22,2074481250
2003-01-23,2071482000
2003-01-24,2032491749
2003-01-27,1988002875
2003-01-28,2001499500
2003-01-29,1997500500
2003-01-30,1962509250
2003-01-31,1969203440
2003-02-03,1980526359
2003-02-04,1993818483
2003-02-05,1975111050
2003-02-06,1953449812
2003-02-07,1956895918
2003-02-10,1982987864
2003-02-11,1905204328
2003-02-12,1895850611
2003-02-13,1920465654
2003-02-14,1909635035
2003-02-18,1921942557
2003-02-19,1724037611
2003-02-20,1668899915
2003-02-21,1680222835
2003-02-24,1701391772
2003-02-25,1745698849
2003-02-26,1710745488
2003-02-27,1711237789
2003-02-28,1686130445
2003-03-03,1727976018
2003-03-04,1736837434
2003-03-05,1694499560
2003-03-06,1688591949
2003-03-07,1686130445
2003-03-10,1673330623
2003-03-11,1682684339
2003-03-12,1673822924
2003-03-13,1668899915
2003-03-14,1663976906
2003-03-17,1717637700
2003-03-18,1676284428
2003-03-19,1717145399
2003-03-20,1711730090
2003-03-21,1746683451
2003-03-24,1725022213
2003-03-25,1737822035
2003-03-26,1723545310
2003-03-27,1740283540
2003-03-28,1739791239
2003-03-31,1721576107
2003-04-01,1743237345
2003-04-02,1765390883
2003-04-03,1752591061
2003-04-04,1764898583
2003-04-07,1784590617
2003-04-08,1779667608
2003-04-09,1767360087
2003-04-10,1766375485
2003-04-11,1757514070
2003-04-14,1783113714
2003-04-15,1782621414
2003-04-16,1757514070
2003-04-17,1774744600
2003-04-21,1788529024
2003-04-22,1812651766
2003-04-23,1809205660
2003-04-24,1791975130
2003-04-25,1780159909
2003-04-28,1794436634
2003-04-29,1799359643
2003-04-30,1798999598
2003-05-01,1814867290
2003-05-02,1835693636
2003-05-05,1852057194
2003-05-06,1842139886
2003-05-07,1844619213
2003-05-08,1827759790
2003-05-09,1832222579
2003-05-12,1834701906
2003-05-13,1818338348
2003-05-14,1817346617
2003-05-15,1798503733
2003-05-16,1782636041
2003-05-19,1790074021
2003-05-20,1792057483
2003-05-21,1801974790
2003-05-22,1808421040
2003-05-23,1815859021
2003-05-27,1833214309
2003-05-28,1844619213
2003-05-29,1829743252
2003-05-30,1866933155
2003-06-02,1888255367
2003-06-03,1898172674
2003-06-04,1909081713
2003-06-05,1913544501
2003-06-06,1892222290
2003-06-09,1885776040
2003-06-10,1888751232
2003-06-11,1904123059
2003-06-12,1951230270
2003-06-13,1919494885
2003-06-16,1961643443
2003-06-17,2073213153
2003-06-18,2057841327
2003-06-19,2044452961
2003-06-20,2052882673
2003-06-23,2009246519
2003-06-24,2042965365
2003-06-25,2058337192
2003-06-26,2035527384
2003-06-27,2003296135
2003-06-30,1978007000
2003-07-01,2008750654
2003-07-02,2045444692
2003-07-03,2027593538
2003-07-07,2040486038
2003-07-08,2041477769
2003-07-09,2000816808
2003-07-10,1986932577
2003-07-11,2035527384
2003-07-14,2004783731
2003-07-15,2002800269
2003-07-16,2001808539
2003-07-17,1981478058
2003-07-18,1998337481
2003-07-21,1967593827
2003-07-22,1967593827
2003-07-23,1979494596
2003-07-24,1975031808
2003-07-25,1984453250
2003-07-28,1990403635
2003-07-29,1990899500
2003-07-30,2013213442
2003-07-31,2006191707
2003-08-01,1984646691
2003-08-04,1947569222
2003-08-05,1911994894
2003-08-06,1913999081
2003-08-07,1895460347
2003-08-08,1916003269
2003-08-11,1946567128
2003-08-12,1974625754
2003-08-13,1975627847
2003-08-14,1985648785
2003-08-15,1996671816
2003-08-18,1979135176
2003-08-19,1968613191
2003-08-20,1948070269
2003-08-21,1969615285
2003-08-22,1966107957
2003-08-25,1997172863
2003-08-26,2016713692
2003-08-27,2008195895
2003-08-28,2016713692
2003-08-29,2028237770
2003-09-02,2062308958
2003-09-03,2051786973
2003-09-04,2049281739
2003-09-05,2011703223
2003-09-08,2036755567
2003-09-09,2032246145
2003-09-10,2036755567
2003-09-11,2054292208
2003-09-12,2058300583
2003-09-15,2074334083
2003-09-16,2086359208
2003-09-17,2092872817
2003-09-18,2104396896
2003-09-19,2111912599
2003-09-22,2099887474
2003-09-23,2092872817
2003-09-24,2183562303
2003-09-25,2136463896
2003-09-26,2129950286
2003-09-29,2128948193
2003-09-30,2112413646
2003-10-01,2131954474
2003-10-02,2151495302
2003-10-03,2171036131
2003-10-06,2159011005
2003-10-07,2154000537
2003-10-08,2124939818
2003-10-09,2120430396
2003-10-10,2121933536
2003-10-13,2119428302
2003-10-14,2134459708
2003-10-15,2129449240
2003-10-16,2131954474
2003-10-17,2134459708
2003-10-20,2148489021
2003-10-21,2144981693
2003-10-22,2141975412
2003-10-23,2150493208
2003-10-24,2150994255
2003-10-27,2168530896
2003-10-28,2184564396
2003-10-29,2171537177
2003-10-30,2178050787
2003-10-31,2175855328
2003-11-03,2187785995
2003-11-04,2162433328
2003-11-05,2173369772
2003-11-06,2174861106
2003-11-07,2174363995
2003-11-10,2155473772
2003-11-11,2162433328
2003-11-12,2182814884
2003-11-13,2216121328
2003-11-14,2236999995
2003-11-17,2234514439
2003-11-18,2217115550
2003-11-19,2205681995
2003-11-20,2192757106
2003-11-21,2226560661
2003-11-24,2275774661
2003-11-25,2285716883
2003-11-26,2272294883
2003-11-28,2283231328
2003-12-01,2299138883
2003-12-02,2305104217
2003-12-03,2289196661
2003-12-04,2287705328
2003-12-05,2291682217
2003-12-08,2290687994
2003-12-09,2284722661
2003-12-10,2265832439
2003-12-11,2278757328
2003-12-12,2286711106
2003-12-15,2279751550
2003-12-16,2257381550
2003-12-17,2236999995
2003-12-18,2226063550
2003-12-19,2208664661
2003-12-22,2227554883
2003-12-23,2230040439
2003-12-24,2229046217
2003-12-26,2231034661
2003-12-29,2256387328
2003-12-30,2269809328
2003-12-31,2251416217
2004-01-02,2245947994
2004-01-05,2249924883
2004-01-06,2247936439
2004-01-07,2244456661
2004-01-08,2232028883
2004-01-09,2253404661
2004-01-12,2251416217
2004-01-13,2254398883
2004-01-14,2263843994
2004-01-15,2262352661
2004-01-16,2287208217
2004-01-20,2313555105
2004-01-21,2304109994
2004-01-22,2310572439
2004-01-23,2303115772
2004-01-26,2344873105
2004-01-27,2348849994
2004-01-28,2340896216
2004-01-29,2338907772
2004-01-30,2316040661
2004-02-02,2506679329
2004-02-03,2500755919
2004-02-04,2480831722
2004-02-05,2498063460
2004-02-06,2516372181
2004-02-09,2528219001
2004-02-10,2519603132
2004-02-11,2557297558
2004-02-12,2537373361
2004-02-13,2542758279
2004-02-17,2592838017
2004-02-18,2628378475
2004-02-19,2641840770
2004-02-20,2636994344
2004-02-23,2649918147
2004-02-24,2689766541
2004-02-25,2730153426
2004-02-26,2719383590
2004-02-27,2723691524
2004-03-01,2782387130
2004-03-02,2774848245
2004-03-03,2790464507
2004-03-04,2781310147
2004-03-05,2796387917
2004-03-08,2655841557
2004-03-09,2743615721
2004-03-10,2725845491
2004-03-11,2736076835
2004-03-12,2760847458
2004-03-15,2730153426
2004-03-16,2754924048
2004-03-17,2803388310
2004-03-18,2817389097
2004-03-19,2794233950
2004-03-22,2808234737
2004-03-23,2806619261
2004-03-24,2776463720
2004-03-25,2803926802
2004-03-26,2781848638
2004-03-29,2795849425
2004-03-30,2814158146
2004-03-31,2842159720
2004-04-01,2874469228
2004-04-02,2800695851
2004-04-05,2824389491
2004-04-06,2823312507
2004-04-07,2815235130
2004-04-08,2800157360
2004-04-12,2770001819
2004-04-13,2744692704
2004-04-14,2730153426
2004-04-15,2762462934
2004-04-16,2760847458
2004-04-19,2786156573
2004-04-20,2775925229
2004-04-21,2817927589
2004-04-22,2851314081
2004-04-23,2862083917
2004-04-26,2863160900
2004-04-27,2840544245
2004-04-28,2810927196
2004-04-29,2806080769
2004-04-30,2816312114
2004-05-03,2840544245
2004-05-04,2831389884
2004-05-05,2858852966
2004-05-06,2824927982
2004-05-07,2774309753
2004-05-10,2747385163
2004-05-11,2746846671
2004-05-12,2708075262
2004-05-13,2685997098
2004-05-14,2690305032
2004-05-17,2652610606
2004-05-18,2629455459
2004-05-19,2614377689
2004-05-20,2613839197
2004-05-21,2599299918
2004-05-24,2602530869
2004-05-25,2632686410
2004-05-26,2646687197
2004-05-27,2649379656
2004-05-28,2633224902
2004-06-01,2625147525
2004-06-02,2630532443
2004-06-03,2646687197
2004-06-04,2643456246
2004-06-07,2641302279
2004-06-08,2639148311
2004-06-09,2635917361
2004-06-10,2637532836
2004-06-14,2639686803
2004-06-15,2633224902
2004-06-16,2619762607
2004-06-17,2503986870
2004-06-18,2504525361
2004-06-21,2493217034
2004-06-22,2465215460
2004-06-23,2438290870
2004-06-24,2474369821
2004-06-25,2492140050
2004-06-28,2470061886
2004-06-29,2469523394
2004-06-30,2472215853
2004-07-01,2467369427
2004-07-02,2464676968
2004-07-06,2460907526
2004-07-07,2471677362
2004-07-08,2499678935
2004-07-09,2503986870
2004-07-12,2504525361
2004-07-13,2504525361
2004-07-14,2500217427
2004-07-15,2507217820
2004-07-16,2495909493
2004-07-19,2460907526
2004-07-20,2455522608
2004-07-21,2408673821
2004-07-22,2384441690
2004-07-23,2326823067
2004-07-26,2299359986
2004-07-27,2291821100
2004-07-28,2280512773
2004-07-29,2222894150
2004-07-30,2251434215
2004-08-02,2490789240
2004-08-03,2514761625
2004-08-04,2543411548
2004-08-05,2514176933
2004-08-06,2550427856
2004-08-09,2556274779
2004-08-10,2584924702
2004-08-11,2604804241
2004-08-12,2621175625
2004-08-13,2612989933
2004-08-16,2612405241
2004-08-17,2616498087
2004-08-18,2639301087
2004-08-19,2601880779
2004-08-20,2607727702
2004-08-23,2645732702
2004-08-24,2663858164
2004-08-25,2713557010
2004-08-26,2722912087
2004-08-27,2711802933
2004-08-30,2650410241
2004-08-31,2688415241
2004-09-01,2703617241
2004-09-02,2721742703
2004-09-03,2713557010
2004-09-07,2707125395
2004-09-08,2685491779
2004-09-09,2681398933
2004-09-10,2681398933
2004-09-13,2696016241
2004-09-14,2712972318
2004-09-15,2688999933
2004-09-16,2681398933
2004-09-17,2676721395
2004-09-20,2632284779
2004-09-21,2576154317
2004-09-22,2546335010
2004-09-23,2517100394
2004-09-24,2525286086
2004-09-27,2521777933
2004-09-28,2531133009
2004-09-29,2571476779
2004-09-30,2596618548
2004-10-01,2588432856
2004-10-04,2573230856
2004-10-05,2602465471
2004-10-06,2608312394
2004-10-07,2594864471
2004-10-08,2555105394
2004-10-11,2556859471
2004-10-12,2587848164
2004-10-13,2565045163
2004-10-14,2544580933
2004-10-15,2541657471
2004-10-18,2562121702
2004-10-19,2551597240
2004-10-20,2573815548
2004-10-21,2584340010
2004-10-22,2539318702
2004-10-25,2553351317
