,APA
2000-10-20,7612212767
2000-10-23,7412041883
2000-10-24,7303377689
2000-10-25,6931631761
2000-10-26,6994542610
2000-10-27,6685707532
2000-10-30,6808669646
2000-10-31,6845844239
2000-11-01,7180415574
2000-11-02,6971665938
2000-11-03,6925912593
2000-11-06,6840125071
2000-11-07,6885878416
2000-11-08,6948789265
2000-11-09,6877299664
2000-11-10,6877299664
2000-11-13,6714303372
2000-11-14,6808669646
2000-11-15,7180415574
2000-11-16,7343411866
2000-11-17,7289079768
2000-11-20,7452076060
2000-11-21,7666544864
2000-11-22,7729455714
2000-11-24,7766630306
2000-11-27,7806664483
2000-11-28,7557880670
2000-11-29,7057453460
2000-11-30,6468379143
2000-12-01,6822967567
2000-12-04,6925912593
2000-12-05,6645673355
2000-12-06,7086049300
2000-12-07,7194713494
2000-12-08,7226168919
2000-12-11,7589336095
2000-12-12,7760911138
2000-12-13,7643668192
2000-12-14,7240466839
2000-12-15,7320535193
2000-12-18,7961082023
2000-12-19,7938205350
2000-12-20,7660825696
2000-12-21,7743753634
2000-12-22,7938205350
2000-12-26,8595909684
2000-12-27,8890446842
2000-12-28,9059162302
2000-12-29,8673118453
2001-01-02,8764625143
2001-01-03,8186989163
2001-01-04,7798085731
2001-01-05,8341406703
2001-01-08,8424334640
2001-01-09,8238461676
2001-01-10,8224163756
2001-01-11,8238461676
2001-01-12,8055448297
2001-01-16,8061167465
2001-01-17,7660825696
2001-01-18,7380586458
2001-01-19,7452076060
2001-01-22,7606493599
2001-01-23,7612212767
2001-01-24,7606493599
2001-01-25,7906749925
2001-01-26,7666544864
2001-01-29,7523565661
2001-01-30,7223309335
2001-01-31,7131802645
2001-02-01,7071751380
2001-02-02,7446356892
2001-02-05,7474952732
2001-02-06,7657966112
2001-02-07,7766630306
2001-02-08,7675123617
2001-02-09,7760911138
2001-02-12,7738034466
2001-02-13,7826681572
2001-02-14,7700859873
2001-02-15,7555021086
2001-02-16,7597914847
2001-02-20,7749472802
2001-02-21,7683702369
2001-02-22,7566459422
2001-02-23,7432058971
2001-02-26,7512127325
2001-02-27,7494969821
2001-02-28,7266203096
2001-03-01,7340552282
2001-03-02,7529284829
2001-03-05,7729455714
2001-03-06,8021133288
2001-03-07,8298512942
2001-03-08,8478666737
2001-03-09,8344266287
2001-03-12,8058307881
2001-03-13,7863856165
2001-03-14,7735174882
2001-03-15,7632229856
2001-03-16,7514986909
2001-03-19,7657966112
2001-03-20,7763770722
2001-03-21,7454935644
2001-03-22,7046015123
2001-03-23,7263343512
2001-03-26,7377726874
2001-03-27,7160398486
2001-03-28,7034576787
2001-03-29,6794371726
2001-03-30,7131802645
2001-04-02,6835374834
2001-04-03,6490271056
2001-04-04,6716473533
2001-04-05,6965876263
2001-04-06,6980376422
2001-04-09,7229779152
2001-04-10,7450181565
2001-04-11,7363180613
2001-04-12,7595183153
2001-04-16,7832985756
2001-04-17,8015687757
2001-04-18,7743084772
2001-04-19,7670583978
2001-04-20,7624183470
2001-04-23,7928686804
2001-04-24,7972187280
2001-04-25,8201289789
2001-04-26,8354991471
2001-04-27,8212889916
2001-04-30,8030187915
2001-05-01,7795285344
2001-05-02,7281979724
2001-05-03,7194978771
2001-05-04,7241379279
2001-05-07,7368980676
2001-05-08,7322580168
2001-05-09,7531382454
2001-05-10,7479181883
2001-05-11,7339980359
2001-05-14,7554582708
2001-05-15,7745984804
2001-05-16,7679284074
2001-05-17,7757584931
2001-05-18,8085288519
2001-05-21,8201289789
2001-05-22,7954787090
2001-05-23,7632883566
2001-05-24,7531382454
2001-05-25,7467581756
2001-05-29,7313880073
2001-05-30,7418281216
2001-05-31,7476281851
2001-06-01,7325480200
2001-06-04,7444381502
2001-06-05,7406681089
2001-06-06,7194978771
2001-06-07,6887575406
2001-06-08,6991976549
2001-06-11,6983276453
2001-06-12,7148578263
2001-06-13,6899175533
2001-06-14,6855675057
2001-06-15,6771574136
2001-06-18,6678773120
2001-06-19,6617872453
2001-06-20,6559871818
2001-06-21,6371369754
2001-06-22,6533771532
2001-06-25,6516371342
2001-06-26,6525071437
2001-06-27,6339469405
2001-06-28,6075566516
2001-06-29,6371369754
2001-07-02,6150492863
2001-07-03,6176432148
2001-07-05,6363771434
2001-07-06,6441589292
2001-07-09,6193725006
2001-07-10,6089967863
2001-07-11,6000621434
2001-07-12,5951625005
2001-07-13,5989092863
2001-07-16,5770050005
2001-07-17,5784460720
2001-07-18,5672057148
2001-07-19,5801753577
2001-07-20,5977564291
2001-07-23,6043853577
2001-07-24,5853632148
2001-07-25,6311892863
2001-07-26,6487703577
2001-07-27,6585696435
2001-07-30,6562639292
2001-07-31,6481939292
2001-08-01,6358007149
2001-08-02,6476175006
2001-08-03,6363771434
2001-08-06,6430060720
2001-08-07,6323421434
2001-08-08,5994857148
2001-08-09,6115907148
2001-08-10,6196607149
2001-08-13,6285953577
2001-08-14,6407003577
2001-08-15,6755742863
2001-08-16,6675042863
2001-08-17,6551110720
2001-08-20,6392592863
2001-08-21,6378182149
2001-08-22,6283071434
2001-08-23,6113025006
2001-08-24,6064028577
2001-08-27,6118789291
2001-08-28,6124553577
2001-08-29,6023678577
2001-08-30,5888217862
2001-08-31,5856514291
2001-09-04,5893982148
2001-09-05,5876689291
2001-09-06,5942978577
2001-09-07,5989092863
2001-09-10,6003503577
2001-09-17,5853632148
2001-09-18,5522185719
2001-09-19,5225325005
2001-09-20,5248382148
2001-09-21,5280085719
2001-09-24,4908289290
2001-09-25,4876585719
2001-09-26,4833353576
2001-09-27,5020692862
2001-09-28,5363667862
2001-10-01,5247552387
2001-10-02,5302515725
2001-10-03,5354586256
2001-10-04,5704615936
2001-10-05,5684366285
2001-10-08,5788507347
2001-10-09,5820328227
2001-10-10,6074895267
2001-10-11,6124072990
2001-10-12,6129858605
2001-10-15,5936040518
2001-10-16,6150108256
2001-10-17,6103823339
2001-10-18,5866613143
2001-10-19,6017039121
2001-10-22,6118287376
2001-10-23,6048860001
2001-10-24,6181929135
2001-10-25,6369961608
2001-10-26,6630314262
2001-10-29,6812561120
2001-10-30,6465424248
2001-10-31,6462531441
2001-11-01,6537744430
2001-11-02,6381532837
2001-11-05,6141429834
2001-11-06,6228214052
2001-11-07,6352604764
2001-11-08,6352604764
2001-11-09,6549315659
2001-11-12,6453853019
2001-11-13,6404675295
2001-11-14,6037288772
2001-11-15,5490548198
2001-11-16,5649652598
2001-11-19,5658331020
2001-11-20,5927362096
2001-11-21,5776936118
2001-11-23,5889755601
2001-11-26,5721972780
2001-11-27,5791400154
2001-11-28,5672795056
2001-11-29,5765364889
2001-11-30,5759579274
2001-12-03,5892648408
2001-12-04,6002575085
2001-12-05,6129858605
2001-12-06,6161679485
2001-12-07,6164572292
2001-12-10,6045967194
2001-12-11,5944718939
2001-12-12,5855041914
2001-12-13,5814542612
2001-12-14,5959182976
2001-12-17,5898434023
2001-12-18,6181929135
2001-12-19,6329462306
2001-12-20,6419139332
2001-12-21,6479888284
2001-12-24,6552208466
2001-12-26,6743133746
2001-12-27,6835703579
2001-12-28,6948523062
2001-12-31,6850228460
2002-01-02,6792542325
2002-01-03,6524301800
2002-01-04,6665632829
2002-01-07,6832922619
2002-01-08,6737740497
2002-01-09,6697360203
2002-01-10,6610831002
2002-01-11,6420466758
2002-01-14,6397392304
2002-01-15,6501227346
2002-01-16,6420466758
2002-01-17,6319516023
2002-01-18,6316631716
2002-01-22,6232986821
2002-01-23,6483921506
2002-01-24,6628136842
2002-01-25,6677170056
2002-01-28,6547376254
2002-01-29,6371433544
2002-01-30,6446425519
2002-01-31,6659864216
2002-02-01,6714666044
2002-02-04,6420466758
2002-02-05,6605062388
2002-02-06,6662748523
2002-02-07,6607946695
2002-02-08,6700244510
2002-02-11,6864649993
2002-02-12,6801195245
2002-02-13,6913683207
2002-02-14,6980022262
2002-02-15,7008865329
2002-02-19,6922336128
2002-02-20,6855997073
2002-02-21,7060782850
2002-02-22,7083857304
2002-02-25,7303064615
2002-02-26,7230956947
2002-02-27,7181923732
2002-02-28,7245378480
2002-03-01,7314601841
2002-03-04,7415552577
2002-03-05,7401131043
2002-03-06,7551114992
2002-03-07,7663602955
2002-03-08,7548230686
2002-03-11,7553999299
2002-03-12,7553999299
2002-03-13,7603032513
2002-03-14,7585726673
2002-03-15,7709751862
2002-03-18,7773206610
2002-03-19,7926074866
2002-03-20,7859735812
2002-03-21,7868388732
2002-03-22,7634759887
2002-03-25,7683793102
2002-03-26,7585726673
2002-03-27,7905884719
2002-03-28,7813586904
2002-04-01,8555201038
2002-04-02,8738415869
2002-04-03,8536569021
2002-04-04,8285036794
2002-04-05,8235351416
2002-04-08,8344038181
2002-04-09,8207403391
2002-04-10,8378196878
2002-04-11,8399934231
2002-04-12,7952765828
2002-04-15,8139085996
2002-04-16,8170139358
2002-04-17,8384407551
2002-04-18,8465146290
2002-04-19,8508620996
2002-04-22,8443408937
2002-04-23,8617307760
2002-04-24,8449619609
2002-04-25,8626623769
2002-04-26,8654571794
2002-04-29,8620413096
2002-04-30,8626623769
2002-05-01,8710467844
2002-05-02,8753942550
2002-05-03,8825365281
2002-05-06,8375091542
2002-05-07,8309879483
2002-05-08,8539674357
2002-05-09,8427882256
2002-05-10,8384407551
2002-05-13,8471356962
2002-05-14,8502410323
2002-05-15,8337827509
2002-05-16,8427882256
2002-05-17,8260194105
2002-05-20,8226035408
2002-05-21,8340932845
2002-05-22,8378196878
2002-05-23,8458935618
2002-05-24,8356459525
2002-05-28,8232246080
2002-05-29,8083189946
2002-05-30,7980713854
2002-05-31,8232246080
2002-06-03,7977608517
2002-06-04,8042820576
2002-06-05,7949660492
2002-06-06,7983819190
2002-06-07,8148402005
2002-06-10,7980713854
2002-06-11,7816131039
2002-06-12,7887553770
2002-06-13,8061452593
2002-06-14,8108032635
2002-06-17,8353354189
2002-06-18,8269510114
2002-06-19,8191876710
2002-06-20,8278826122
2002-06-21,8154612677
2002-06-24,8303668811
2002-06-25,8427882256
2002-06-26,8446514273
2002-06-27,8455830281
2002-06-28,8499304987
2002-07-01,8204278298
2002-07-02,8143930535
2002-07-03,8152982700
2002-07-05,8297817330
2002-07-08,8162034864
2002-07-09,7941765531
2002-07-10,7815035230
2002-07-11,7667183212
2002-07-12,7576661569
2002-07-15,7519331195
2002-07-16,7368461789
2002-07-17,7398635670
2002-07-18,7353374848
2002-07-19,7102931634
2002-07-22,6704636402
2002-07-23,6659375580
2002-07-24,6985253497
2002-07-25,7093879470
2002-07-26,7039566483
2002-07-29,7483122537
2002-07-30,7362427012
2002-07-31,7398635670
2002-08-01,7012409990
2002-08-02,6933957899
2002-08-05,6662392968
2002-08-06,6964131780
2002-08-07,7069740365
2002-08-08,7455966044
2002-08-09,7594765898
2002-08-12,7682270153
2002-08-13,7615887614
2002-08-14,7784861349
2002-08-15,8089617549
2002-08-16,8092634937
2002-08-19,8143930535
2002-08-20,7899522098
2002-08-21,7944782919
2002-08-22,8095652325
2002-08-23,8101687102
2002-08-26,8149965312
2002-08-27,8195226133
2002-08-28,7956852472
2002-08-29,7866330828
2002-08-30,7911591650
2002-09-03,7664165824
2002-09-04,7715461422
2002-09-05,7839174335
2002-09-06,8020217622
2002-09-09,7993061129
2002-09-10,8131860983
2002-09-11,8137895759
2002-09-12,8059443668
2002-09-13,8231434791
2002-09-16,8382304197
2002-09-17,8089617549
2002-09-18,8128843595
2002-09-19,8065478444
2002-09-20,8104704490
2002-09-23,8146947924
2002-09-24,7959869860
2002-09-25,8213330462
2002-09-26,8478860617
2002-09-27,8436617183
2002-09-30,8542225767
2002-10-01,8998117302
2002-10-02,8889859698
2002-10-03,8727473292
2002-10-04,8641504019
2002-10-07,8501405943
2002-10-08,8415436670
2002-10-09,8202105509
2002-10-10,8167080991
2002-10-11,8173449085
2002-10-14,8377228104
2002-10-15,8724289245
2002-10-16,8619215689
2002-10-17,8867571368
2002-10-18,8702000915
2002-10-21,8756129717
2002-10-22,8409068575
2002-10-23,8498221896
2002-10-24,8310363113
2002-10-25,8163896943
2002-10-28,8173449085
2002-10-29,7905989123
2002-10-30,8240314075
2002-10-31,8195737415
2002-11-01,8367675962
2002-11-04,8281706689
2002-11-05,8284890736
2002-11-06,8259418358
2002-11-07,8154344802
2002-11-08,8042903151
2002-11-11,7928277453
2002-11-12,7791363424
2002-11-13,7581216311
2002-11-14,7676737726
2002-11-15,7679921774
2002-11-18,7740418670
2002-11-19,7695842009
2002-11-20,7956933877
2002-11-21,8071559575
2002-11-22,7947381736
2002-11-25,8052455292
2002-11-26,7858228415
2002-11-27,8090663858
2002-11-29,8170265038
2002-12-02,8246682170
2002-12-03,8412252623
2002-12-04,8319915255
2002-12-05,8460013330
2002-12-06,8628767830
2002-12-09,8542798557
2002-12-10,8619215689
2002-12-11,8609663547
2002-12-12,8921700170
2002-12-13,8842098991
2002-12-16,8979013019
2002-12-17,8908963981
2002-12-18,8749761623
2002-12-19,8641504019
2002-12-20,8819810660
2002-12-23,8934436359
2002-12-24,8934436359
2002-12-26,8861203274
2002-12-27,8752945670
2002-12-30,8695632821
2002-12-31,8641504019
2003-01-02,8991749208
2003-01-03,8959908736
2003-01-06,8937620406
2003-01-07,8498221896
2003-01-08,8533246415
2003-01-09,8689264726
2003-01-10,8581007123
2003-01-13,8810258519
2003-01-14,8950356594
2003-01-15,9303785830
2003-01-16,9405675340
2003-01-17,9466172236
2003-01-21,9415227481
2003-01-22,9392939151
2003-01-23,9370650821
2003-01-24,9201896321
2003-01-27,8896227792
2003-01-28,8975828972
2003-01-29,9208264415
2003-01-30,9138215377
2003-01-31,9462988189
2003-02-03,9354730585
2003-02-04,9520301038
2003-02-05,9389755104
2003-02-06,9408859387
2003-02-07,9338810349
2003-02-10,9431147717
2003-02-11,9412043434
2003-02-12,9192344179
2003-02-13,9211448462
2003-02-14,9472540330
2003-02-18,9564877698
2003-02-19,9676319349
2003-02-20,9743184340
2003-02-21,9966067642
2003-02-24,10141190236
2003-02-25,9902386698
2003-02-26,9975619783
2003-02-27,9806865283
2003-02-28,9899202651
2003-03-03,9953331453
2003-03-04,9854625991
2003-03-05,9940595264
2003-03-06,10096613576
2003-03-07,10090245481
2003-03-10,10131638094
2003-03-11,10001092160
2003-03-12,9775024811
2003-03-13,9625374594
2003-03-14,9606270311
2003-03-17,9513932943
2003-03-18,9711343868
2003-03-19,9714527915
2003-03-20,9915122887
2003-03-21,9654031019
2003-03-24,9571245793
2003-03-25,9628558642
2003-03-26,9552141510
2003-03-27,9733632198
2003-03-28,9934227170
2003-03-31,9829153613
2003-04-01,10052106440
2003-04-02,9932245680
2003-04-03,9792948040
2003-04-04,9893371920
2003-04-07,9689284680
2003-04-08,9533789640
2003-04-09,9634213520
2003-04-10,9815624400
2003-04-11,9851258680
2003-04-14,9757313760
2003-04-15,9692524160
2003-04-16,9579142360
2003-04-17,9822103360
2003-04-21,9964640480
2003-04-22,10042388000
2003-04-23,9929006200
2003-04-24,9886892960
2003-04-25,9511113280
2003-04-28,9494915880
2003-04-29,9226039040
2003-04-30,9274631240
2003-05-01,9323223440
2003-05-02,9430126280
2003-05-05,9527310680
2003-05-06,9271391760
2003-05-07,9297307600
2003-05-08,9371815640
2003-05-09,9656889880
2003-05-12,9682805720
2003-05-13,9802666480
2003-05-14,9903090360
2003-05-15,10052106440
2003-05-16,10013232680
2003-05-19,9857737640
2003-05-20,9779990120
2003-05-21,10272391080
2003-05-22,10398730800
2003-05-23,10479717800
2003-05-27,10703241920
2003-05-28,10554225840
2003-05-29,10340420160
2003-05-30,10677326080
2003-06-02,10832821120
2003-06-03,10874934360
2003-06-04,10816623720
2003-06-05,10719439320
2003-06-06,10638452320
2003-06-09,10570423240
2003-06-10,10700002440
2003-06-11,11036908360
2003-06-12,10700002440
2003-06-13,10538028440
2003-06-16,10398730800
2003-06-17,10217319920
2003-06-18,10278870040
2003-06-19,10408449240
2003-06-20,10385772880
2003-06-23,10492675720
2003-06-24,10518591560
2003-06-25,10680565560
2003-06-26,10515352080
2003-06-27,10525070520
2003-06-30,10538028440
2003-07-01,10370066565
2003-07-02,10282541777
2003-07-03,10496491259
2003-07-07,10457591353
2003-07-08,10289025094
2003-07-09,10541874482
2003-07-10,10399241494
2003-07-11,10477041306
2003-07-14,10289025094
2003-07-15,10175567035
2003-07-16,10088042247
2003-07-17,10175567035
2003-07-18,10457591353
2003-07-21,10454349694
2003-07-22,10269575141
2003-07-23,10165842059
2003-07-24,10101008883
2003-07-25,10243641871
2003-07-28,10211225283
2003-07-29,9994034142
2003-07-30,9938925942
2003-07-31,10042659024
2003-08-01,10084800589
2003-08-04,9929200965
2003-08-05,9916234330
2003-08-06,10195016988
2003-08-07,10558082776
2003-08-08,10467316329
2003-08-11,10561324435
2003-08-12,10690990788
2003-08-13,10801207188
2003-08-14,10629399270
2003-08-15,10729890694
2003-08-18,10849832070
2003-08-19,10772032258
2003-08-20,10713682400
2003-08-21,10879006999
2003-08-22,10772032258
2003-08-25,10817415482
2003-08-26,10814173823
2003-08-27,10914665246
2003-08-28,11170756293
2003-08-29,11180481270
2003-09-02,11109164776
2003-09-03,11144823023
2003-09-04,11122131411
2003-09-05,10817415482
2003-09-08,11031364964
2003-09-09,10859557047
2003-09-10,10827140458
2003-09-11,10775273917
2003-09-12,10937356858
2003-09-15,10866040364
2003-09-16,10963290129
2003-09-17,10788240552
2003-09-18,10820657141
2003-09-19,10940598517
2003-09-22,10930873541
2003-09-23,11037848282
2003-09-24,11199931223
2003-09-25,11131856387
2003-09-26,11060539893
2003-09-29,11135098046
2003-09-30,11238831128
2003-10-01,11404678872
2003-10-02,11437170835
2003-10-03,11648368592
2003-10-06,11843320367
2003-10-07,11801080816
2003-10-08,11661365377
2003-10-09,11482659582
2003-10-10,11648368592
2003-10-13,11703604928
2003-10-14,11531397526
2003-10-15,11313701377
2003-10-16,11453416816
2003-10-17,11424174050
2003-10-20,11268212629
2003-10-21,11329947358
2003-10-22,11476161190
2003-10-23,11287707807
2003-10-24,11251966648
2003-10-27,11151241564
2003-10-28,11216225489
2003-10-29,11365688517
2003-10-30,11238969863
2003-10-31,11326698162
2003-11-03,11303953788
2003-11-04,11063513265
2003-11-05,11258465040
2003-11-06,11372186910
2003-11-07,11355940928
2003-11-10,11381934498
2003-11-11,11385183695
2003-11-12,11528148330
2003-11-13,11645119395
2003-11-14,11749093676
2003-11-17,11615876629
2003-11-18,11589883059
2003-11-19,11528148330
2003-11-20,11420924853
2003-11-21,11277960218
2003-11-24,11489157975
2003-11-25,11632122610
2003-11-26,11684109750
2003-11-28,11664614573
2003-12-01,11823825190
2003-12-02,11950543844
2003-12-03,11996032591
2003-12-04,12395683731
2003-12-05,12307955432
2003-12-08,12642622647
2003-12-09,12525651582
2003-12-10,12460667657
2003-12-11,12408680516
2003-12-12,12558143544
2003-12-15,12359942573
2003-12-16,12639373451
2003-12-17,12688111395
2003-12-18,13159244853
2003-12-19,13110506909
2003-12-22,13045522983
2003-12-23,12993535843
2003-12-24,13224228778
2003-12-26,13191736815
2003-12-29,13419180553
2003-12-30,13357445824
2003-12-31,13175490834
2004-01-02,13080359415
2004-01-05,13269081018
2004-01-06,13327649792
2004-01-07,13259319556
2004-01-08,13321142150
2004-01-09,13587955452
2004-01-12,13584701631
2004-01-13,13688823895
2004-01-14,13633508942
2004-01-15,13301619226
2004-01-16,13490340829
2004-01-20,13796199980
2004-01-21,13845007291
2004-01-22,13672554791
2004-01-23,13858022574
2004-01-26,13727869744
2004-01-27,13561924886
2004-01-28,13161704933
2004-01-29,12839576679
2004-01-30,12520702245
2004-02-02,12517448425
2004-02-03,12559748095
2004-02-04,12315711538
2004-02-05,12133497576
2004-02-06,12113974652
2004-02-09,12491417859
2004-02-10,12885130170
2004-02-11,12959968047
2004-02-12,12972983330
2004-02-13,12855845783
2004-02-17,12972983330
2004-02-18,12758231160
2004-02-19,12647601255
2004-02-20,12579271019
2004-02-23,12598793944
2004-02-24,12771246443
2004-02-25,13018536820
2004-02-26,13236542811
2004-02-27,13395980027
2004-03-01,13734377385
2004-03-02,13672554791
2004-03-03,13770169414
2004-03-04,13545655782
2004-03-05,13750646489
2004-03-08,13796199980
2004-03-09,13636762763
2004-03-10,13356934178
2004-03-11,13064090311
2004-03-12,13431772056
2004-03-15,13747392668
2004-03-16,13672554791
2004-03-17,13945875734
2004-03-18,14043490356
2004-03-19,13701839178
2004-03-22,13591209272
2004-03-23,13724615923
2004-03-24,13177974037
2004-03-25,13269081018
2004-03-26,13513117574
2004-03-29,13695331536
2004-03-30,13978413942
2004-03-31,14046744177
2004-04-01,13863589496
2004-04-02,13703562197
2004-04-05,13781942915
2004-04-06,13785208778
2004-04-07,13821133274
2004-04-08,13892982265
2004-04-12,14115060966
2004-04-13,14193441684
2004-04-14,14366532436
2004-04-15,14647396676
2004-04-16,14853146060
2004-04-19,14706182214
2004-04-20,14399191069
2004-04-21,14392659342
2004-04-22,14229366180
2004-04-23,14023616795
2004-04-26,14023616795
2004-04-27,14457976607
2004-04-28,14229366180
2004-04-29,13608852162
2004-04-30,13674169427
2004-05-03,14049743701
2004-05-04,13974628846
2004-05-05,14017085069
2004-05-06,13938704351
2004-05-07,13556598350
2004-05-10,12978540555
2004-05-11,13344317239
2004-05-12,13112440948
2004-05-13,13063453000
2004-05-14,13425963820
2004-05-17,13484749359
2004-05-18,12919755017
2004-05-19,12926286743
2004-05-20,12893628110
2004-05-21,12727069085
2004-05-24,13324722060
2004-05-25,13677435291
2004-05-26,13360646555
2004-05-27,13076516453
2004-05-28,13181024077
2004-06-01,13422697957
2004-06-02,13605586299
2004-06-03,13416166231
2004-06-04,13419432094
2004-06-07,13527205581
2004-06-08,13386773461
2004-06-09,13194087530
2004-06-10,13605586299
2004-06-14,13292063427
2004-06-15,13628447342
2004-06-16,13945236077
2004-06-17,14248961359
2004-06-18,14327342077
2004-06-21,14324076214
2004-06-22,14297949308
2004-06-23,14582079411
2004-06-24,14369798300
2004-06-25,14340405530
2004-06-28,13935438487
2004-06-29,14007287479
2004-06-30,14222834453
2004-07-01,14378255353
2004-07-02,14322576460
2004-07-06,14836787415
2004-07-07,15056227758
2004-07-08,14869539705
2004-07-09,14869539705
2004-07-12,14823686499
2004-07-13,14935044285
2004-07-14,15007099323
2004-07-15,15187236919
2004-07-16,15357548827
2004-07-19,15328071766
2004-07-20,15229814896
2004-07-21,14872814934
2004-07-22,15007099323
2004-07-23,14925218598
2004-07-26,14705778254
2004-07-27,15020200239
2004-07-28,15157759858
2004-07-29,15111906652
2004-07-30,15239640583
2004-08-02,15174136003
2004-08-03,15360824056
2004-08-04,14885915850
2004-08-05,14476512224
2004-08-06,14034356307
2004-08-09,14335677376
2004-08-10,14404457185
2004-08-11,14119512262
2004-08-12,13936099437
2004-08-13,14260347109
2004-08-16,14306200315
2004-08-17,13955750811
2004-08-18,14221044361
2004-08-19,14283273712
2004-08-20,14522365430
2004-08-23,14253796651
2004-08-24,14168640697
