,D
2000-06-08,10434664000
2000-06-09,10610636000
2000-06-12,10672464000
2000-06-13,10672464000
2000-06-14,10525028000
2000-06-15,10610636000
2000-06-16,10596368000
2000-06-19,10358568000
2000-06-20,10567832000
2000-06-21,10567832000
2000-06-22,10539296000
2000-06-23,10539296000
2000-06-26,10567832000
2000-06-27,10434664000
2000-06-28,10477468000
2000-06-29,10448932000
2000-06-30,10209728000
2000-07-03,10385922000
2000-07-05,10238300000
2000-07-06,10490686000
2000-07-07,10728786000
2000-07-10,10895456000
2000-07-11,10995458000
2000-07-12,10981172000
2000-07-13,11133556000
2000-07-14,11204986000
2000-07-17,11219272000
2000-07-18,11295464000
2000-07-19,11443086000
2000-07-20,11400228000
2000-07-21,11338322000
2000-07-24,11219272000
2000-07-25,11352608000
2000-07-26,11190700000
2000-07-27,11190700000
2000-07-28,10995458000
2000-07-31,10819264000
2000-08-01,11147842000
2000-08-02,11428800000
2000-08-03,11624042000
2000-08-04,11814522000
2000-08-07,12052622000
2000-08-08,12114528000
2000-08-09,12024050000
2000-08-10,11919286000
2000-08-11,12114528000
2000-08-14,12352628000
2000-08-15,12409772000
2000-08-16,12324056000
2000-08-17,12485964000
2000-08-18,12338342000
2000-08-21,12276436000
2000-08-22,12366914000
2000-08-23,12471678000
2000-08-24,12305008000
2000-08-25,12024050000
2000-08-28,12114528000
2000-08-29,12066908000
2000-08-30,12233578000
2000-08-31,12619300000
2000-09-01,12619300000
2000-09-05,12843114000
2000-09-06,13005022000
2000-09-07,13200264000
2000-09-08,13600272000
2000-09-11,13928850000
2000-09-12,13809800000
2000-09-13,13900278000
2000-09-14,13871706000
2000-09-15,14019328000
2000-09-18,14076472000
2000-09-19,13290742000
2000-09-20,13019308000
2000-09-21,12990736000
2000-09-22,13095500000
2000-09-25,13095500000
2000-09-26,13466936000
2000-09-27,13600272000
2000-09-28,13705036000
2000-09-29,13824086000
2000-10-02,13917766528
2000-10-03,13465037502
2000-10-04,12885739070
2000-10-05,12413537827
2000-10-06,13065857070
2000-10-09,13158350097
2000-10-10,13538058313
2000-10-11,13615947177
2000-10-12,13630551340
2000-10-13,13917766528
2000-10-16,14180641447
2000-10-17,14224453934
2000-10-18,13888558204
2000-10-19,14117356745
2000-10-20,14375363609
2000-10-23,14453252474
2000-10-24,14375363609
2000-10-25,14209849771
2000-10-26,13873954042
2000-10-27,14180641447
2000-10-30,14574953825
2000-10-31,14497064960
2000-11-01,14740467663
2000-11-02,14424044150
2000-11-03,14117356745
2000-11-06,14117356745
2000-11-07,14131960907
2000-11-08,14058940096
2000-11-09,14131960907
2000-11-10,14360759447
2000-11-13,14526273285
2000-11-14,14239058096
2000-11-15,14438648312
2000-11-16,14789148203
2000-11-17,15256481392
2000-11-20,15305161933
2000-11-21,14482460798
2000-11-22,14604162150
2000-11-24,14682051014
2000-11-27,14560349663
2000-11-28,14574953825
2000-11-29,14711259339
2000-11-30,14604162150
2000-12-01,14424044150
2000-12-04,14633370474
2000-12-05,14253662258
2000-12-06,14302342798
2000-12-07,14589557987
2000-12-08,14647974636
2000-12-11,14618766312
2000-12-12,14647974636
2000-12-13,14998474528
2000-12-14,14847564852
2000-12-15,14969266203
2000-12-18,15105571717
2000-12-19,15105571717
2000-12-20,15519356311
2000-12-21,15743286797
2000-12-22,15913668689
2000-12-26,16371265770
2000-12-27,16337189391
2000-12-28,16293376905
2000-12-29,16307981067
2001-01-02,16147428000
2001-01-03,14886372000
2001-01-04,13792800000
2001-01-05,13901172000
2001-01-08,14452884000
2001-01-09,14438106000
2001-01-10,14472588000
2001-01-11,13901172000
2001-01-12,14349438000
2001-01-16,13901172000
2001-01-17,14300178000
2001-01-18,14531700000
2001-01-19,14915928000
2001-01-22,15024300000
2001-01-23,15270600000
2001-01-24,15438084000
2001-01-25,15669606000
2001-01-26,15487344000
2001-01-29,15531678000
2001-01-30,15270600000
2001-01-31,15221340000
2001-02-01,15024300000
2001-02-02,15177006000
2001-02-05,15305082000
2001-02-06,15329712000
2001-02-07,15576012000
2001-02-08,15832164000
2001-02-09,16206540000
2001-02-12,16103093999
2001-02-13,15945461999
2001-02-14,15930684000
2001-02-15,15920832000
2001-02-16,16053834000
2001-02-20,16359246000
2001-02-21,16245947999
2001-02-22,16354320000
2001-02-23,16088315999
2001-02-26,16236096000
2001-02-27,16305060000
2001-02-28,16147428000
2001-03-01,16043982000
2001-03-02,16058760000
2001-03-05,16122797999
2001-03-06,16157279999
2001-03-07,16359246000
2001-03-08,16620324000
2001-03-09,16477470000
2001-03-12,16058760000
2001-03-13,15763200000
2001-03-14,15344490000
2001-03-15,15827238000
2001-03-16,15787829999
2001-03-19,15738570000
2001-03-20,15423306000
2001-03-21,15068634000
2001-03-22,14851890000
2001-03-23,14689332000
2001-03-26,14965188000
2001-03-27,15507048000
2001-03-28,15497196000
2001-03-29,15576012000
2001-03-30,15881424000
2001-04-02,16269024000
2001-04-03,16546111999
2001-04-04,16645072000
2001-04-05,16664864000
2001-04-06,16303660000
2001-04-09,16659916000
2001-04-10,16922160000
2001-04-11,16842992000
2001-04-12,16699500000
2001-04-16,16575800000
2001-04-17,16946900000
2001-04-18,16729188000
2001-04-19,16278920000
2001-04-20,16353139999
2001-04-23,17040911999
2001-04-24,17209144000
2001-04-25,17070600000
2001-04-26,17194300000
2001-04-27,16882575999
2001-04-30,16946900000
2001-05-01,16699500000
2001-05-02,16348192000
2001-05-03,16204700000
2001-05-04,16442203999
2001-05-07,16353139999
2001-05-08,16150272000
2001-05-09,16145324000
2001-05-10,16264075999
2001-05-11,16278920000
2001-05-14,16531267999
2001-05-15,16442203999
2001-05-16,16585696000
2001-05-17,16516424000
2001-05-18,16348192000
2001-05-21,16575800000
2001-05-22,16476839999
2001-05-23,16669811999
2001-05-24,16650020000
2001-05-25,16269024000
2001-05-29,16204700000
2001-05-30,16323452000
2001-05-31,16402620000
2001-06-01,16278920000
2001-06-04,16229439999
2001-06-05,15927611999
2001-06-06,15328904000
2001-06-07,15338800000
2001-06-08,15462500000
2001-06-11,15813808000
2001-06-12,15917716000
2001-06-13,15353644000
2001-06-14,15145828000
2001-06-15,15363540000
2001-06-18,15511980000
2001-06-19,15601044000
2001-06-20,15511980000
2001-06-21,14908324000
2001-06-22,15155724000
2001-06-25,15061712000
2001-06-26,14982544000
2001-06-27,15126036000
2001-06-28,14938012000
2001-06-29,14878636000
2001-07-02,14868204000
2001-07-03,14838408000
2001-07-05,15295280000
2001-07-06,15449226000
2001-07-09,15523716000
2001-07-10,15503852000
2001-07-11,15071810000
2001-07-12,15315144000
2001-07-13,15339974000
2001-07-16,15335008000
2001-07-17,15270450000
2001-07-18,15270450000
2001-07-19,15176096000
2001-07-20,14893034000
2001-07-23,14664598000
2001-07-24,14217658000
2001-07-25,14838408000
2001-07-26,14947660000
2001-07-27,14773850000
2001-07-30,15007252000
2001-07-31,15022150000
2001-08-01,15141334000
2001-08-02,15454192000
2001-08-03,15419430000
2001-08-06,15081742000
2001-08-07,15215824000
2001-08-08,14932762000
2001-08-09,15046980000
2001-08-10,15270450000
2001-08-13,15195960000
2001-08-14,15176096000
2001-08-15,15176096000
2001-08-16,15335008000
2001-08-17,15394600000
2001-08-20,15578342000
2001-08-21,15404532000
2001-08-22,15518750000
2001-08-23,15642900000
2001-08-24,15742220000
2001-08-27,15831608000
2001-08-28,15776982000
2001-08-29,15632968000
2001-08-30,15583308000
2001-08-31,15632968000
2001-09-04,15697526000
2001-09-05,15518750000
2001-09-06,15573376000
2001-09-07,15553512000
2001-09-10,14962558000
2001-09-17,14957592000
2001-09-18,15270450000
2001-09-19,15195960000
2001-09-20,14838408000
2001-09-21,14644734000
2001-09-24,14649700000
2001-09-25,14257386000
2001-09-26,14103440000
2001-09-27,14128270000
2001-09-28,14739088000
2001-10-01,15573639126
2001-10-02,15651898620
2001-10-03,16022326887
2001-10-04,16189280472
2001-10-05,16304061062
2001-10-08,16048413385
2001-10-09,15871025200
2001-10-10,15938850094
2001-10-11,15771896509
2001-10-12,15620594822
2001-10-15,15495379633
2001-10-16,15902328997
2001-10-17,15808417606
2001-10-18,15594508325
2001-10-19,15949284693
2001-10-22,15944067394
2001-10-23,15813634905
2001-10-24,15730158113
2001-10-25,15991023090
2001-10-26,15938850094
2001-10-29,15985805790
2001-10-30,15980588491
2001-10-31,15944067394
2001-11-01,16111020979
2001-11-02,15871025200
2001-11-05,16147542076
2001-11-06,16142324776
2001-11-07,15834504103
2001-11-08,16272757265
2001-11-09,16361451357
2001-11-12,16314495661
2001-11-13,16382320555
2001-11-14,15792765707
2001-11-15,15615377523
2001-11-16,15620594822
2001-11-19,15443206638
2001-11-20,15745810011
2001-11-21,15505814232
2001-11-23,15641464020
2001-11-26,15594508325
2001-11-27,15631029421
2001-11-28,15276253053
2001-11-29,15354512546
2001-11-30,15250166555
2001-12-03,15151037864
2001-12-04,15187558960
2001-12-05,15192776260
2001-12-06,14921476684
2001-12-07,15260601154
2001-12-10,15057126472
2001-12-11,14660611707
2001-12-12,14921476684
2001-12-13,14937128583
2001-12-14,14869303689
2001-12-17,14634525209
2001-12-18,14921476684
2001-12-19,15380599043
2001-12-20,15197993560
2001-12-21,15145820564
2001-12-24,15208428159
2001-12-26,15344077947
2001-12-27,15276253053
2001-12-28,15547552629
2001-12-31,16034680000
2002-01-02,16210768000
2002-01-03,16141400000
2002-01-04,16050688000
2002-01-07,16237448000
2002-01-08,15837248000
2002-01-09,15874600000
2002-01-10,16008000000
2002-01-11,15751872000
2002-01-14,15815904000
2002-01-15,15874600000
2002-01-16,15965312000
2002-01-17,15703848000
2002-01-18,15543768000
2002-01-22,15341000000
2002-01-23,15447720000
2002-01-24,15421040000
2002-01-25,15581120000
2002-01-28,15634480000
2002-01-29,15298312000
2002-01-30,15410368000
2002-01-31,15709184000
2002-02-01,15698512000
2002-02-04,15607800000
2002-02-05,15442384000
2002-02-06,15357008000
2002-02-07,15324992000
2002-02-08,15341000000
2002-02-11,15485072000
2002-02-12,15522424000
2002-02-13,15687840000
2002-02-14,15655824000
2002-02-15,15623808000
2002-02-19,15426376000
2002-02-20,15426376000
2002-02-21,15447720000
2002-02-22,15709184000
2002-02-25,15661160000
2002-02-26,15554440000
2002-02-27,15474400000
2002-02-28,15549104000
2002-03-01,15778552000
2002-03-04,16018672000
2002-03-05,16066696000
2002-03-06,16536264000
2002-03-07,16691008000
2002-03-08,16594960000
2002-03-11,16621640000
2002-03-12,16370848000
2002-03-13,16168080000
2002-03-14,16365512000
2002-03-15,16541600000
2002-03-18,16749704000
2002-03-19,16744368000
2002-03-20,16648320000
2002-03-21,17155240000
2002-03-22,17155240000
2002-03-25,17112552000
2002-03-26,17112552000
2002-03-27,17384688000
2002-03-28,17384688000
2002-04-01,18013408000
2002-04-02,18079960000
2002-04-03,18018954000
2002-04-04,18357260000
2002-04-05,18268524000
2002-04-08,18301800000
2002-04-09,18318438000
2002-04-10,18468180000
2002-04-11,18274070000
2002-04-12,18229702000
2002-04-15,17913580000
2002-04-16,18079960000
2002-04-17,18174242000
2002-04-18,18495910000
2002-04-19,18540278000
2002-04-22,18373898000
2002-04-23,18274070000
2002-04-24,18418266000
2002-04-25,18329530000
2002-04-26,18140966000
2002-04-29,18412720000
2002-04-30,18418266000
2002-05-01,18235248000
2002-05-02,18384990000
2002-05-03,18479272000
2002-05-06,18362806000
2002-05-07,18085506000
2002-05-08,18235248000
2002-05-09,18013408000
2002-05-10,17957948000
2002-05-13,18085506000
2002-05-14,18218610000
2002-05-15,17963494000
2002-05-16,17092772000
2002-05-17,17320158000
2002-05-20,17469900000
2002-05-21,17774930000
2002-05-22,18218610000
2002-05-23,18379444000
2002-05-24,18340622000
2002-05-28,18390536000
2002-05-29,18262978000
2002-05-30,18046684000
2002-05-31,17963494000
2002-06-03,17619642000
2002-06-04,17774930000
2002-06-05,17608550000
2002-06-06,17131594000
2002-06-07,17342342000
2002-06-10,17725016000
2002-06-11,17719470000
2002-06-12,17891396000
2002-06-13,18041138000
2002-06-14,17908034000
2002-06-17,18007862000
2002-06-18,18190880000
2002-06-19,18013408000
2002-06-20,17919126000
2002-06-21,18024500000
2002-06-24,17830390000
2002-06-25,17885850000
2002-06-26,17852574000
2002-06-27,18018954000
2002-06-28,18357260000
2002-07-01,18145160000
2002-07-02,17883558000
2002-07-03,17811200000
2002-07-05,17883558000
2002-07-08,17894690000
2002-07-09,17571862000
2002-07-10,16620076000
2002-07-11,17143280000
2002-07-12,16664604000
2002-07-15,16970734000
2002-07-16,16386304000
2002-07-17,16163664000
2002-07-18,16419700000
2002-07-19,15696120000
2002-07-22,15339896000
2002-07-23,13909434000
2002-07-24,15122822000
2002-07-25,15673856000
2002-07-26,15245274000
2002-07-29,16035646000
2002-07-30,16809320000
2002-07-31,16542152000
2002-08-01,16247154000
2002-08-02,16163664000
2002-08-05,16108004000
2002-08-06,16575548000
2002-08-07,16714698000
2002-08-08,16853848000
2002-08-09,17031960000
2002-08-12,17338090000
2002-08-13,17031960000
2002-08-14,17588560000
2002-08-15,17711012000
2002-08-16,17660918000
2002-08-19,17744408000
2002-08-20,17672050000
2002-08-21,18150726000
2002-08-22,18117330000
2002-08-23,18039406000
2002-08-26,18328838000
2002-08-27,17950350000
2002-08-28,17666484000
2002-08-29,17310260000
2002-08-30,17454976000
2002-09-03,17126582000
2002-09-04,17226770000
2002-09-05,17132148000
2002-09-06,17204506000
2002-09-09,17054224000
2002-09-10,16358474000
2002-09-11,16319512000
2002-09-12,15607064000
2002-09-13,16141400000
2002-09-16,14566222000
2002-09-17,13848208000
2002-09-18,14221130000
2002-09-19,14054150000
2002-09-20,13915000000
2002-09-23,13681228000
2002-09-24,13553210000
2002-09-25,13731322000
2002-09-26,14165470000
2002-09-27,14037452000
2002-09-30,15257465687
2002-10-01,15636346388
2002-10-02,15443899047
2002-10-03,15125158140
2002-10-04,14499704285
2002-10-07,14361382759
2002-10-08,12581244862
2002-10-09,10975512368
2002-10-10,11685161935
2002-10-11,11931735089
2002-10-14,11835511419
2002-10-15,12370755584
2002-10-16,12027958760
2002-10-17,12166280285
2002-10-18,12382783543
2002-10-21,12737608326
2002-10-22,12647398636
2002-10-23,13471313811
2002-10-24,13585579419
2002-10-25,13735928903
2002-10-28,14024599914
2002-10-29,13976488079
2002-10-30,14235089192
2002-10-31,14433550512
2002-11-01,14662081728
2002-11-04,15034948450
2002-11-05,15335647419
2002-11-06,15089074264
2002-11-07,14427536532
2002-11-08,14409494594
2002-11-11,14391452656
2002-11-12,14042641852
2002-11-13,14036627872
2002-11-14,14529774182
2002-11-15,14878584986
2002-11-18,14800403254
2002-11-19,14944738759
2002-11-20,14884598965
2002-11-21,15065018346
2002-11-22,15666416284
2002-11-25,15528094759
2002-11-26,15046976408
2002-11-27,15233409769
2002-11-29,15323619460
2002-12-02,15095088243
2002-12-03,15071032326
2002-12-04,15065018346
2002-12-05,15089074264
2002-12-06,15107116202
2002-12-09,15040962429
2002-12-10,15449913027
2002-12-11,15828793728
2002-12-12,15931031377
2002-12-13,16237744326
2002-12-16,16237744326
2002-12-17,16135506676
2002-12-18,16231730346
2002-12-19,16225716367
2002-12-20,16628652985
2002-12-23,16364037892
2002-12-24,16424177686
2002-12-26,16562499212
2002-12-27,16219702387
2002-12-30,16592569109
2002-12-31,16902545461
2003-01-02,17173478794
2003-01-03,17148848491
2003-01-06,18047854552
2003-01-07,17610666673
2003-01-08,17382836370
2003-01-09,17499830309
2003-01-10,17388993946
2003-01-13,17308945461
2003-01-14,17284315158
2003-01-15,17148848491
2003-01-16,17056484855
2003-01-17,16779393946
2003-01-21,16551563642
2003-01-22,16317575764
2003-01-23,16754763642
2003-01-24,16526933339
2003-01-27,15960436369
2003-01-28,16643927279
2003-01-29,16711660612
2003-01-30,16397624248
2003-01-31,16687030309
2003-02-03,16945648491
2003-02-04,16785551521
2003-02-05,16822496976
2003-02-06,16643927279
2003-02-07,16619296976
2003-02-10,16896387885
2003-02-11,16551563642
2003-02-12,16243684854
2003-02-13,16557721218
2003-02-14,16779393946
2003-02-18,16939490915
2003-02-19,16951806067
2003-02-20,17062642430
2003-02-21,17155006067
2003-02-24,17173478794
2003-02-25,17284315158
2003-02-26,16748606067
2003-02-27,16730133339
2003-02-28,16594666673
2003-03-03,16699345461
2003-03-04,16594666673
2003-03-05,16865600006
2003-03-06,16976436370
2003-03-07,17167321218
2003-03-10,16779393946
2003-03-11,16791709097
2003-03-12,16662400006
2003-03-13,16656242430
2003-03-14,16705503036
2003-03-17,16927175764
2003-03-18,17118060612
2003-03-19,17216581824
2003-03-20,17345890915
2003-03-21,17469042431
2003-03-24,17148848491
2003-03-25,17247369703
2003-03-26,17167321218
2003-03-27,17253527279
2003-03-28,17241212128
2003-03-31,17488421042
2003-04-01,17583157884
2003-04-02,17557894726
2003-04-03,17456842095
2003-04-04,17766315779
2003-04-07,17728421042
2003-04-08,17772631568
2003-04-09,17728421042
2003-04-10,17943157884
2003-04-11,17886315779
2003-04-14,18063157884
2003-04-15,18303157884
2003-04-16,18448421041
2003-04-17,18524210515
2003-04-21,18492631568
2003-04-22,18473684199
2003-04-23,18593684199
2003-04-24,18802105252
2003-04-25,18581052620
2003-04-28,18764210515
2003-04-29,18719999989
2003-04-30,18688421041
2003-05-01,18631578936
2003-05-02,18732631568
2003-05-05,18770526304
2003-05-06,18764210515
2003-05-07,18656842094
2003-05-08,18618947357
2003-05-09,18738947357
2003-05-12,18915789462
2003-05-13,18852631567
2003-05-14,18941052620
2003-05-15,19143157883
2003-05-16,19547368409
2003-05-19,19547368409
2003-05-20,19799999988
2003-05-21,19452631567
2003-05-22,19667368409
2003-05-23,20210526304
2003-05-27,20412631567
2003-05-28,20052631567
2003-05-29,19661052620
2003-05-30,19894736830
2003-06-02,19995789462
2003-06-03,20071578935
2003-06-04,20084210514
2003-06-05,19882105251
2003-06-06,19705263146
2003-06-09,19736842093
2003-06-10,19799999988
2003-06-11,19869473672
2003-06-12,20425263145
2003-06-13,20197894725
2003-06-16,20734736830
2003-06-17,20545263145
2003-06-18,20551578935
2003-06-19,20595789461
2003-06-20,20557894724
2003-06-23,20406315777
2003-06-24,20336842093
2003-06-25,20229473672
2003-06-26,20273684198
2003-06-27,20210526304
2003-06-30,20829974689
2003-07-01,20700354436
2003-07-02,20829974689
2003-07-03,20616101271
2003-07-07,20551291144
2003-07-08,20486481018
2003-07-09,20324455701
2003-07-10,19799493676
2003-07-11,19851341777
2003-07-14,19961518992
2003-07-15,19695797473
2003-07-16,19319898739
2003-07-17,19462481017
2003-07-18,19786531650
2003-07-21,19501367093
2003-07-22,19624506334
2003-07-23,19436556967
2003-07-24,19378227853
2003-07-25,19481924055
2003-07-28,19410632916
2003-07-29,19456000005
2003-07-30,19533772157
2003-07-31,19475443043
2003-08-01,19222683549
2003-08-04,19060658233
2003-08-05,18885670891
2003-08-06,19060658233
2003-08-07,19352303802
2003-08-08,19553215195
2003-08-11,19533772157
2003-08-12,19780050638
2003-08-13,19831898739
2003-08-14,19760607600
2003-08-15,19695797473
2003-08-18,19643949372
2003-08-19,19507848106
2003-08-20,19754126587
2003-08-21,19851341777
2003-08-22,19488405068
2003-08-25,19741164562
2003-08-26,19818936714
2003-08-27,19605063296
2003-08-28,19624506334
2003-08-29,19630987347
2003-09-02,19831898739
2003-09-03,19851341777
2003-09-04,19754126587
2003-09-05,19695797473
2003-09-08,19851341777
2003-09-09,19559696207
2003-09-10,19676354435
2003-09-11,19605063296
2003-09-12,19818936714
2003-09-15,19695797473
2003-09-16,19786531650
2003-09-17,19767088613
2003-09-18,20104101271
2003-09-19,20065215195
2003-09-22,19728202537
2003-09-23,19799493676
2003-09-24,19643949372
2003-09-25,19624506334
2003-09-26,19864303802
2003-09-29,20136506334
2003-09-30,20037259246
2003-10-01,20095525913
2003-10-02,20276799987
2003-10-03,20335066653
2003-10-06,20548711098
2003-10-07,20302696283
2003-10-08,20231481468
2003-10-09,20380385172
2003-10-10,20302696283
2003-10-13,20244429616
2003-10-14,20348014802
2003-10-15,20101999987
2003-10-16,20134370357
2003-10-17,20134370357
2003-10-20,20069629617
2003-10-21,19972518505
2003-10-22,19784770357
2003-10-23,19629392580
2003-10-24,19584074061
2003-10-27,19603496283
2003-10-28,19674711098
2003-10-29,19901303691
2003-10-30,19823614802
2003-10-31,19940148135
2003-11-03,19966044431
2003-11-04,19804192580
2003-11-05,19881881468
2003-11-06,19791244431
2003-11-07,19752399987
2003-11-10,19804192580
2003-11-11,19791244431
2003-11-12,19732977765
2003-11-13,19875407394
2003-11-14,19732977765
2003-11-17,19577599987
2003-11-18,19215051839
2003-11-19,19428696284
2003-11-20,19396325913
2003-11-21,19467540728
2003-11-24,19648814802
2003-11-25,19661762950
2003-11-26,19506385172
2003-11-28,19512859246
2003-12-01,19707081469
2003-12-02,19862459246
2003-12-03,19532281469
2003-12-04,19668237024
2003-12-05,19681185172
2003-12-08,19920725913
2003-12-09,19732977765
2003-12-10,19713555543
2003-12-11,19726503691
2003-12-12,19687659246
2003-12-15,19745925913
2003-12-16,19622918506
2003-12-17,19804192580
2003-12-18,20108474061
2003-12-19,20257377765
2003-12-22,20419229616
2003-12-23,20639348135
2003-12-24,20671718505
2003-12-26,20710562949
2003-12-29,20775303690
2003-12-30,20827096283
2003-12-31,20665244431
2004-01-02,20717037024
2004-01-05,20516340727
2004-01-06,20380385172
2004-01-07,20335066653
2004-01-08,20069629617
2004-01-09,19998414802
2004-01-12,20024311098
2004-01-13,20114948135
2004-01-14,20322118505
2004-01-15,19998414802
2004-01-16,19875407394
2004-01-20,20069629617
2004-01-21,20315644431
2004-01-22,20425703690
2004-01-23,20199111098
2004-01-26,20341540727
2004-01-27,20471022209
2004-01-28,20723511098
2004-01-29,20852992579
2004-01-30,20768829616
2004-02-02,20665244431
2004-02-03,20639348135
2004-02-04,20464548135
2004-02-05,20315644431
2004-02-06,20490444431
2004-02-09,20458074061
2004-02-10,20619925912
2004-02-11,20678192579
2004-02-12,20458074061
2004-02-13,20399807394
2004-02-17,20555185172
2004-02-18,20529288875
2004-02-19,20477496283
2004-02-20,20328592579
2004-02-23,20471022209
2004-02-24,20490444431
2004-02-25,20315644431
2004-02-26,20153792579
2004-02-27,20341540727
2004-03-01,20458074061
2004-03-02,20529288875
2004-03-03,20691140727
2004-03-04,20794725912
2004-03-05,21066637023
2004-03-08,21105481468
2004-03-09,21073111097
2004-03-10,20917733320
2004-03-11,20581081468
2004-03-12,20723511098
2004-03-15,20827096283
2004-03-16,20840044431
2004-03-17,20995422209
2004-03-18,20846518505
2004-03-19,20678192579
2004-03-22,20483970357
2004-03-23,20367437024
2004-03-24,20231481468
2004-03-25,20250903690
2004-03-26,20231481468
2004-03-29,20516340727
2004-03-30,20684666653
2004-03-31,21235921059
2004-04-01,21268947375
2004-04-02,21242526322
2004-04-05,21222710533
2004-04-06,21374631585
2004-04-07,21262342112
2004-04-08,21262342112
2004-04-12,20806578954
2004-04-13,20727315796
2004-04-14,20793368427
2004-04-15,21090605269
2004-04-16,21103815796
2004-04-19,21037763164
2004-04-20,20872631585
2004-04-21,20879236848
2004-04-22,21011342111
2004-04-23,20998131585
2004-04-26,21044368427
2004-04-27,20971710533
2004-04-28,20951894743
2004-04-29,20958500006
2004-04-30,21077394743
2004-05-03,21103815796
2004-05-04,21103815796
2004-05-05,20912263164
2004-05-06,21110421059
2004-05-07,20799973690
2004-05-10,20476315796
2004-05-11,20357421059
2004-05-12,20397052638
2004-05-13,20522552638
2004-05-14,20628236848
2004-05-17,20476315796
2004-05-18,20469710532
2004-05-19,20231921059
2004-05-20,20350815795
2004-05-21,20344210532
2004-05-24,20687684217
2004-05-25,20905657901
2004-05-26,20641447375
2004-05-27,20720710532
2004-05-28,20799973690
2004-06-01,20753736848
2004-06-02,20601815796
2004-06-03,20337605269
2004-06-04,20311184217
2004-06-07,20350815795
2004-06-08,20357421059
2004-06-09,20271552638
2004-06-10,20390447374
2004-06-14,20416868427
2004-06-15,20509342111
2004-06-16,20766947375
2004-06-17,20925473690
2004-06-18,20866026322
2004-06-21,20932078954
2004-06-22,20978315796
2004-06-23,21196289480
2004-06-24,21189684217
2004-06-25,21110421059
2004-06-28,21077394743
2004-06-29,20780157901
2004-06-30,20841137263
2004-07-01,20570215694
2004-07-02,20900607851
2004-07-06,20927039224
2004-07-07,20920431381
2004-07-08,20761843145
2004-07-09,20603254910
2004-07-12,20682549028
2004-07-13,20675941185
2004-07-14,20874176479
2004-07-15,20999725498
2004-07-16,21072411773
2004-07-19,21164921577
2004-07-20,21171529420
2004-07-21,20860960792
2004-07-22,20775058832
2004-07-23,20708980400
2004-07-26,20695764714
2004-07-27,20675941185
2004-07-28,20675941185
2004-07-29,20715588243
2004-07-30,20966686283
2004-08-02,20979901969
2004-08-03,20966686283
2004-08-04,21065803930
2004-08-05,20887392165
2004-08-06,20920431381
2004-08-09,20794882361
2004-08-10,20946862753
2004-08-11,21045980400
2004-08-12,20999725498
2004-08-13,20993117655
2004-08-16,21270647067
2004-08-17,21297078440
2004-08-18,21482098048
2004-08-19,21369764714
2004-08-20,21376372557
2004-08-23,21336725499
2004-08-24,21356549028
