,IGT
2002-03-06,1495543560
2002-03-07,1491991200
2002-03-08,1506200640
2002-03-11,1420944000
2002-03-12,1396077480
2002-03-13,1369434780
2002-03-14,1381868040
2002-03-15,1393413210
2002-03-18,1365882420
2002-03-19,1376539500
2002-03-20,1372987140
2002-03-21,1373875230
2002-03-22,1386308490
2002-03-25,1356113430
2002-03-26,1349896800
2002-03-27,1373875230
2002-03-28,1383644220
2002-04-01,1368546690
2002-04-02,1357889610
2002-04-03,1290394770
2002-04-04,1292170950
2002-04-05,1315261290
2002-04-08,1317925560
2002-04-09,1324142190
2002-04-10,1333023090
2002-04-11,1293947130
2002-04-12,1262863980
2002-04-15,1295723310
2002-04-16,1239773640
2002-04-17,1235333190
2002-04-18,1198921500
2002-04-19,1193592960
2002-04-22,1202473860
2002-04-23,1307268480
2002-04-24,1315261290
2002-04-25,1328582640
2002-04-26,1343680170
2002-04-29,1349008710
2002-04-30,1397853660
2002-05-01,1394301300
2002-05-02,1403182200
2002-05-03,1402294110
2002-05-06,1377427590
2002-05-07,1375651410
2002-05-08,1380091860
2002-05-09,1370322870
2002-05-10,1373875230
2002-05-13,1405846470
2002-05-14,1412063100
2002-05-15,1423608270
2002-05-16,1415615460
2002-05-17,1430712990
2002-05-20,1414727370
2002-05-21,1365882420
2002-05-22,1354337250
2002-05-23,1374763320
2002-05-24,1372099050
2002-05-28,1349008710
2002-05-29,1369434780
2002-05-30,1356113430
2002-05-31,1388084670
2002-06-03,1351672980
2002-06-04,1346344440
2002-06-05,1354337250
2002-06-06,1348120620
2002-06-07,1363218150
2002-06-10,1380091860
2002-06-11,1337463540
2002-06-12,1303716120
2002-06-13,1262863980
2002-06-14,1269968700
2002-06-17,1313485110
2002-06-18,1287730500
2002-06-19,1301051850
2002-06-20,1295723310
2002-06-21,1287730500
2002-06-24,1274409150
2002-06-25,1238885550
2002-06-26,1221123750
2002-06-27,1236221280
2002-06-28,1259311620
2002-07-01,1203361950
2002-07-02,1193592960
2002-07-03,1248654540
2002-07-05,1290394770
2002-07-08,1322366010
2002-07-09,1293059040
2002-07-10,1258423530
2002-07-11,1279737690
2002-07-12,1269080610
2002-07-15,1268192520
2002-07-16,1239773640
2002-07-17,1227340380
2002-07-18,1208690490
2002-07-19,1161621720
2002-07-22,1160733630
2002-07-23,1100343510
2002-07-24,1179383520
2002-07-25,1191816780
2002-07-26,1180271610
2002-07-29,1288618590
2002-07-30,1277073420
2002-07-31,1293059040
2002-08-01,1271744880
2002-08-02,1220235660
2002-08-05,1221123750
2002-08-06,1285954320
2002-08-07,1285954320
2002-08-08,1312597020
2002-08-09,1313485110
2002-08-12,1299275670
2002-08-13,1298387580
2002-08-14,1327694550
2002-08-15,1410286920
2002-08-16,1452915240
2002-08-19,1457355690
2002-08-20,1444922430
2002-08-21,1446698610
2002-08-22,1476893670
2002-08-23,1468012770
2002-08-26,1446698610
2002-08-27,1450250969
2002-08-28,1440481980
2002-08-29,1452027150
2002-08-30,1436041530
2002-09-03,1391637030
2002-09-04,1428048719
2002-09-05,1407622650
2002-09-06,1426272540
2002-09-09,1444922430
2002-09-10,1516857719
2002-09-11,1482222210
2002-09-12,1469788950
2002-09-13,1462684230
2002-09-16,1478669849
2002-09-17,1444034340
2002-09-18,1458243780
2002-09-19,1432489170
2002-09-20,1471565130
2002-09-23,1467124680
2002-09-24,1465348500
2002-09-25,1501760190
2002-09-26,1555933680
2002-09-27,1545276599
2002-09-30,1535507610
2002-10-01,1554157500
2002-10-02,1511529180
2002-10-03,1528402890
2002-10-04,1495543560
2002-10-07,1448474790
2002-10-08,1512417270
2002-10-09,1482222210
2002-10-10,1460908050
2002-10-11,1495543560
2002-10-14,1523962440
2002-10-15,1550605140
2002-10-16,1545276599
2002-10-17,1555045590
2002-10-18,1561262219
2002-10-21,1676713920
2002-10-22,1617211890
2002-10-23,1657175940
2002-10-24,1617211890
2002-10-25,1669609200
2002-10-28,1666056840
2002-10-29,1675825830
2002-10-30,1701580440
2002-10-31,1669609200
2002-11-01,1710461340
2002-11-04,1698028080
2002-11-05,1674049650
2002-11-06,1674049650
2002-11-07,1693587630
2002-11-08,1687371000
2002-11-11,1651847400
2002-11-12,1665168750
2002-11-13,1668721110
2002-11-14,1698916170
2002-11-15,1711349430
2002-11-18,1701580440
2002-11-19,1714901790
2002-11-20,1737104040
2002-11-21,1753089659
2002-11-22,1758418200
2002-11-25,1760194380
2002-11-26,1715789880
2002-11-27,1743320670
2002-11-29,1712237520
2002-12-02,1702468530
2002-12-03,1678490099
2002-12-04,1677602010
2002-12-05,1666944930
2002-12-06,1688259090
2002-12-09,1679378190
2002-12-10,1683818640
2002-12-11,1659840210
2002-12-12,1687371000
2002-12-13,1623428520
2002-12-16,1616323800
2002-12-17,1624316610
2002-12-18,1609219080
2002-12-19,1595897730
2002-12-20,1650071219
2002-12-23,1675825830
2002-12-24,1662504480
2002-12-26,1672273469
2002-12-27,1661616390
2002-12-30,1668721110
2002-12-31,1685594820
2003-01-02,1735327860
2003-01-03,1714013700
2003-01-06,1729999320
2003-01-07,1720230330
2003-01-08,1650959310
2003-01-09,1661616390
2003-01-10,1687371000
2003-01-13,1698916170
2003-01-14,1703356620
2003-01-15,1711349430
2003-01-16,1714901790
2003-01-17,1713125610
2003-01-21,1714013700
2003-01-22,1696251900
2003-01-23,1714901790
2003-01-24,1734439770
2003-01-27,1729111230
2003-01-28,1734439770
2003-01-29,1765522920
2003-01-30,1731775500
2003-01-31,1751313480
2003-02-03,1746873030
2003-02-04,1704244710
2003-02-05,1698916170
2003-02-06,1689147180
2003-02-07,1661616390
2003-02-10,1669609200
2003-02-11,1665168750
2003-02-12,1656287849
2003-02-13,1644742680
2003-02-14,1684706730
2003-02-18,1698916170
2003-02-19,1684706730
2003-02-20,1666944930
2003-02-21,1694475719
2003-02-24,1666944930
2003-02-25,1691811450
2003-02-26,1700692349
2003-02-27,1723782690
2003-02-28,1745096849
2003-03-03,1728223140
2003-03-04,1716677969
2003-03-05,1718454150
2003-03-06,1698028080
2003-03-07,1718454150
2003-03-10,1660728300
2003-03-11,1675825830
2003-03-12,1683818640
2003-03-13,1753977750
2003-03-14,1731775500
2003-03-17,1821472590
2003-03-18,1837458210
2003-03-19,1846339110
2003-03-20,1885415070
2003-03-21,1936036200
2003-03-24,1845451020
2003-03-25,1853443830
2003-03-26,1853443830
2003-03-27,1840122480
2003-03-28,1832129670
2003-03-31,1817920230
2003-04-01,1784172810
2003-04-02,1811703599
2003-04-03,1799270340
2003-04-04,1824136860
2003-04-07,1827689219
2003-04-08,1830353490
2003-04-09,1811703599
2003-04-10,1753977750
2003-04-11,1763746740
2003-04-14,1785948990
2003-04-15,1809927420
2003-04-16,1747761120
2003-04-17,1766411010
2003-04-21,1811703599
2003-04-22,1873869900
2003-04-23,1886303159
2003-04-24,1890743610
2003-04-25,1861436640
2003-04-28,1874757990
