,KDP
2010-06-02,1493895000
2010-06-03,1464555000
2010-06-04,1435215000
2010-06-07,1410765000
2010-06-08,1437660000
2010-06-09,1422990000
2010-06-10,1452330000
2010-06-11,1467000000
2010-06-14,1474335000
2010-06-15,1486560000
2010-06-16,1496340000
2010-06-17,1506120000
2010-06-18,1493895000
2010-06-21,1501230000
2010-06-22,1471890000
2010-06-23,1467000000
2010-06-24,1464555000
2010-06-25,1440105000
2010-06-28,1498785000
2010-06-29,1486560000
2010-06-30,1432760000
2010-07-01,1435140000
2010-07-02,1428000000
2010-07-06,1454180000
2010-07-07,1456560000
2010-07-08,1463700000
2010-07-09,1475600000
2010-07-12,1477980000
2010-07-13,1499400000
2010-07-14,1504160000
2010-07-15,1494640000
2010-07-16,1466080000
2010-07-19,1489880000
2010-07-20,1518440000
2010-07-21,1489880000
2010-07-22,1518440000
2010-07-23,1525580000
2010-07-26,1537480000
2010-07-27,1520820000
2010-07-28,1466080000
2010-07-29,1423240000
2010-07-30,1439900000
2010-08-02,1444660000
2010-08-03,1442280000
2010-08-04,1447040000
2010-08-05,1428000000
2010-08-06,1413720000
2010-08-09,1406580000
2010-08-10,1428000000
2010-08-11,1411340000
2010-08-12,1418480000
2010-08-13,1411340000
2010-08-16,1411340000
2010-08-17,1408960000
2010-08-18,1413720000
2010-08-19,1408960000
2010-08-20,1408960000
2010-08-23,1399440000
2010-08-24,1413720000
2010-08-25,1425620000
2010-08-26,1420860000
2010-08-27,1432760000
2010-08-30,1418480000
2010-08-31,1411340000
2010-09-01,1444660000
2010-09-02,1458940000
2010-09-03,1468460000
2010-09-07,1463700000
2010-09-08,1461320000
2010-09-09,1363740000
2010-09-10,1330420000
2010-09-13,1335180000
2010-09-14,1328040000
2010-09-15,1363740000
2010-09-16,1349460000
2010-09-17,1351840000
2010-09-20,1356600000
2010-09-21,1332800000
2010-09-22,1318520000
2010-09-23,1299480000
2010-09-24,1339940000
2010-09-27,1335180000
2010-09-28,1368500000
2010-09-29,1356600000
2010-09-30,1278992000
2010-10-01,1263340000
2010-10-04,1247688000
2010-10-05,1276756000
2010-10-06,1263340000
2010-10-07,1245452000
2010-10-08,1249924000
2010-10-11,1256632000
2010-10-12,1252160000
2010-10-13,1272284000
2010-10-14,1261104000
2010-10-15,1258868000
2010-10-18,1236508000
2010-10-19,1220856000
2010-10-20,1263340000
2010-10-21,1290172000
2010-10-22,1292408000
2010-10-25,1294644000
2010-10-26,1285700000
2010-10-27,1312532000
2010-10-28,1314768000
2010-10-29,1317004000
2010-11-01,1317004000
2010-11-02,1339364000
2010-11-03,1334892000
2010-11-04,1339364000
2010-11-05,1337128000
2010-11-08,1317004000
2010-11-09,1299116000
2010-11-10,1314768000
2010-11-11,1303588000
2010-11-12,1301352000
2010-11-15,1317004000
2010-11-16,1312532000
2010-11-17,1310296000
2010-11-18,1334892000
2010-11-19,1366196000
2010-11-22,1370668000
2010-11-23,1346072000
2010-11-24,1355016000
2010-11-26,1341600000
2010-11-29,1317004000
2010-11-30,1319240000
2010-12-01,1334892000
2010-12-02,1359488000
2010-12-03,1355016000
2010-12-06,1328184000
2010-12-07,1321476000
2010-12-08,1317004000
2010-12-09,1355016000
2010-12-10,1346072000
2010-12-13,1332656000
2010-12-14,1341600000
2010-12-15,1341600000
2010-12-16,1334892000
2010-12-17,1366196000
2010-12-20,1332656000
2010-12-21,1325948000
2010-12-22,1308060000
2010-12-23,1303588000
2010-12-27,1296880000
2010-12-28,1296880000
2010-12-29,1287936000
2010-12-30,1283464000
2010-12-31,1265576000
2011-01-03,1274520000
2011-01-04,1278992000
2011-01-05,1305824000
2011-01-06,1317004000
2011-01-07,1276756000
2011-01-10,1263340000
2011-01-11,1283464000
2011-01-12,1290172000
2011-01-13,1287936000
2011-01-14,1278992000
2011-01-18,1272284000
2011-01-19,1274520000
2011-01-20,1261104000
2011-01-21,1265576000
2011-01-24,1258868000
2011-01-25,1274520000
2011-01-26,1272284000
2011-01-27,1274520000
2011-01-28,1254396000
2011-01-31,1274520000
2011-02-01,1272284000
2011-02-02,1274520000
2011-02-03,1270048000
2011-02-04,1283464000
2011-02-07,1285700000
2011-02-08,1270048000
2011-02-09,1265576000
2011-02-10,1223092000
2011-02-11,1223092000
2011-02-14,1214148000
2011-02-15,1223092000
2011-02-16,1232036000
2011-02-17,1303588000
2011-02-18,1310296000
2011-02-22,1287936000
2011-02-23,1278992000
2011-02-24,1290172000
2011-02-25,1312532000
2011-02-28,1299116000
2011-03-01,1314768000
2011-03-02,1310296000
2011-03-03,1343836000
2011-03-04,1346072000
2011-03-07,1343836000
2011-03-08,1352780000
2011-03-09,1366196000
2011-03-10,1341600000
2011-03-11,1348308000
2011-03-14,1357252000
2011-03-15,1346072000
2011-03-16,1332656000
2011-03-17,1341600000
2011-03-18,1363960000
2011-03-21,1332656000
2011-03-22,1346072000
2011-03-23,1357252000
2011-03-24,1363960000
2011-03-25,1363960000
2011-03-28,1343836000
2011-03-29,1352780000
2011-03-30,1346072000
2011-03-31,1326962000
2011-04-01,1340276000
2011-04-04,1349152000
2011-04-05,1335838000
2011-04-06,1342495000
2011-04-07,1344714000
2011-04-08,1338057000
2011-04-11,1362466000
2011-04-12,1382437000
2011-04-13,1377999000
2011-04-14,1380218000
2011-04-15,1369123000
2011-04-18,1375780000
2011-04-19,1386875000
2011-04-20,1389094000
2011-04-21,1395751000
2011-04-25,1384656000
2011-04-26,1380218000
2011-04-27,1431255000
2011-04-28,1415722000
2011-04-29,1400189000
2011-05-02,1406846000
2011-05-03,1417941000
2011-05-04,1400189000
2011-05-05,1402408000
2011-05-06,1402408000
2011-05-09,1406846000
2011-05-10,1415722000
2011-05-11,1455664000
2011-05-12,1480073000
2011-05-13,1493387000
2011-05-16,1495606000
2011-05-17,1508920000
2011-05-18,1486730000
2011-05-19,1511139000
2011-05-20,1504482000
2011-05-23,1497825000
2011-05-24,1497825000
2011-05-25,1480073000
2011-05-26,1484511000
2011-05-27,1466759000
2011-05-31,1471197000
2011-06-01,1462321000
2011-06-02,1455664000
2011-06-03,1440131000
2011-06-06,1431255000
2011-06-07,1435693000
2011-06-08,1420160000
2011-06-09,1426817000
2011-06-10,1440131000
2011-06-13,1455664000
2011-06-14,1468978000
2011-06-15,1455664000
2011-06-16,1453445000
2011-06-17,1449007000
2011-06-20,1460102000
2011-06-21,1457883000
2011-06-22,1444569000
2011-06-23,1431255000
2011-06-24,1424598000
2011-06-27,1449007000
2011-06-28,1457883000
2011-06-29,1480073000
2011-06-30,1458000000
2011-07-01,1466640000
2011-07-05,1486080000
2011-07-06,1488240000
2011-07-07,1449360000
2011-07-08,1458000000
2011-07-11,1434240000
2011-07-12,1442880000
2011-07-13,1442880000
2011-07-14,1421280000
2011-07-15,1419120000
2011-07-18,1382400000
2011-07-19,1419120000
2011-07-20,1416960000
2011-07-21,1408320000
2011-07-22,1404000000
2011-07-25,1380240000
2011-07-26,1378080000
2011-07-27,1343520000
2011-07-28,1330560000
2011-07-29,1313280000
2011-08-01,1306800000
2011-08-02,1298160000
2011-08-03,1317600000
2011-08-04,1272240000
2011-08-05,1302480000
2011-08-08,1237680000
2011-08-09,1259280000
2011-08-10,1218240000
2011-08-11,1274400000
2011-08-12,1302480000
2011-08-15,1289520000
2011-08-16,1283040000
2011-08-17,1293840000
2011-08-18,1261440000
2011-08-19,1242000000
2011-08-22,1246320000
2011-08-23,1265760000
2011-08-24,1254960000
2011-08-25,1237680000
2011-08-26,1272240000
2011-08-29,1315440000
2011-08-30,1324080000
2011-08-31,1339200000
2011-09-01,1330560000
2011-09-02,1311120000
2011-09-06,1302480000
2011-09-07,1306800000
2011-09-08,1298160000
2011-09-09,1280880000
2011-09-12,1280880000
2011-09-13,1306800000
2011-09-14,1321920000
2011-09-15,1319760000
2011-09-16,1337040000
2011-09-19,1317600000
2011-09-20,1328400000
2011-09-21,1300320000
2011-09-22,1306800000
2011-09-23,1285200000
2011-09-26,1293840000
2011-09-27,1293840000
2011-09-28,1270080000
2011-09-29,1326240000
2011-09-30,1332864000
2011-10-03,1281600000
2011-10-04,1288008000
2011-10-05,1273056000
2011-10-06,1300824000
2011-10-07,1322184000
2011-10-10,1349952000
2011-10-11,1339272000
2011-10-12,1364904000
2011-10-13,1364904000
2011-10-14,1369176000
2011-10-17,1347816000
2011-10-18,1358496000
2011-10-19,1347816000
2011-10-20,1356360000
2011-10-21,1377720000
2011-10-24,1379856000
2011-10-25,1352088000
2011-10-26,1302960000
2011-10-27,1266648000
2011-10-28,1285872000
2011-10-31,1288008000
2011-11-01,1258104000
2011-11-02,1275192000
2011-11-03,1296552000
2011-11-04,1277328000
2011-11-07,1285872000
2011-11-08,1275192000
2011-11-09,1253832000
2011-11-10,1285872000
2011-11-11,1279464000
2011-11-14,1255968000
2011-11-15,1262376000
2011-11-16,1241016000
2011-11-17,1230336000
2011-11-18,1262376000
2011-11-21,1232472000
2011-11-22,1226064000
2011-11-23,1196160000
2011-11-25,1202568000
2011-11-28,1228200000
2011-11-29,1223928000
2011-11-30,1255968000
2011-12-01,1260240000
2011-12-02,1262376000
