,VRSN
2000-09-14,34319850375
2000-09-15,35272162125
2000-09-18,35134809468
2000-09-19,36761675375
2000-09-20,37897124000
2000-09-21,37347713375
2000-09-22,38068051750
2000-09-25,37543059375
2000-09-26,36444238125
2000-09-27,37982587875
2000-09-28,40705222750
2000-09-29,39569774125
2000-10-02,37944240625
2000-10-03,35595900000
2000-10-04,36300402187
2000-10-05,38228513437
2000-10-06,37190299687
2000-10-09,36918386562
2000-10-10,35076793125
2000-10-11,31171131875
2000-10-12,29168862500
2000-10-13,32036310000
2000-10-16,32654294375
2000-10-17,31319448125
2000-10-18,30355392500
2000-10-19,32997275703
2000-10-20,35064433437
2000-10-23,34928476875
2000-10-24,33284638437
2000-10-25,29156502812
2000-10-26,28143008437
2000-10-27,25176683437
2000-10-30,23124975312
2000-10-31,26103660000
2000-11-01,25176683437
2000-11-02,26869960625
2000-11-03,28155368125
2000-11-06,28331493671
2000-11-07,27636261250
2000-11-08,25139604375
2000-11-09,24336224687
2000-11-10,22383394062
2000-11-13,21505856250
2000-11-14,23545204687
2000-11-15,23718240312
2000-11-16,23322730312
2000-11-17,22494631250
2000-11-20,20690116875
2000-11-21,18601329687
2000-11-22,16821534687
2000-11-24,18440653750
2000-11-27,17241764062
2000-11-28,16234449531
2000-11-29,15968716250
2000-11-30,17142886562
2000-12-01,16784455625
2000-12-04,17204685000
2000-12-05,20047413125
2000-12-06,20492361875
2000-12-07,20245168125
2000-12-08,22145470078
2000-12-11,22939580000
2000-12-12,22160919687
2000-12-13,20171010000
2000-12-14,18873242812
2000-12-15,18502452187
2000-12-18,17093447812
2000-12-19,15770961250
2000-12-20,13608015937
2000-12-21,13472059375
2000-12-22,15906917812
2000-12-26,15770961250
2000-12-27,16079953437
2000-12-28,15746241875
2000-12-29,14670949062
2001-01-02,12332830000
2001-01-03,16083182500
2001-01-04,15338100000
2001-01-05,13729470000
2001-01-08,13305490000
2001-01-09,14589900000
2001-01-10,15874310000
2001-01-11,17445530000
2001-01-12,16934260000
2001-01-16,15637380000
2001-01-17,17657520000
2001-01-18,18343370000
2001-01-19,15849370000
2001-01-22,15512680000
2001-01-23,14864240000
2001-01-24,16260880000
2001-01-25,14689660000
2001-01-26,15213400000
2001-01-29,16136180000
2001-01-30,15525150000
2001-01-31,14664720000
2001-02-01,14964000000
2001-02-02,13467600000
2001-02-05,13978870000
2001-02-06,13729470000
2001-02-07,12844100000
2001-02-08,12295420000
2001-02-09,11958730000
2001-02-12,11671920000
2001-02-13,11547220000
2001-02-14,12569760000
2001-02-15,12766162500
2001-02-16,11921320000
2001-02-20,11235470000
2001-02-21,10113170000
2001-02-22,9601900000
2001-02-23,9751540000
2001-02-26,10636910000
2001-02-27,9614370000
2001-02-28,9514610000
2001-03-01,10774080000
2001-03-02,10088230000
2001-03-05,9364970000
2001-03-06,9714130000
2001-03-07,9377440000
2001-03-08,8903580000
2001-03-09,8068090000
2001-03-12,7369770000
2001-03-13,7407180000
2001-03-14,7581760000
2001-03-15,6870970000
2001-03-16,6771210000
2001-03-19,6783680000
2001-03-20,6334760000
2001-03-21,6584160000
2001-03-22,6983200000
2001-03-23,6658980000
2001-03-26,7033080000
2001-03-27,7506940000
2001-03-28,6596630000
2001-03-29,6434520000
2001-03-30,7070490000
2001-04-02,7209881250
2001-04-03,5646900000
2001-04-04,6201506250
2001-04-05,6869554687
2001-04-06,6730903125
2001-04-09,6776279596
2001-04-10,8040782048
2001-04-11,8837398500
2001-04-12,9065291451
2001-04-16,8522785096
2001-04-17,8899917951
2001-04-18,9565445250
2001-04-19,10358028201
2001-04-20,10269290596
2001-04-23,9458557903
2001-04-24,8456232750
2001-04-25,9398054596
2001-04-26,9321418701
2001-04-27,10468949250
2001-04-30,10341893798
2001-05-01,10598021048
2001-05-02,11979495403
2001-05-03,11392621153
2001-05-04,11503542201
2001-05-07,11196996000
2001-05-08,11747568750
2001-05-09,11082041451
2001-05-10,10767428048
2001-05-11,10596004701
2001-05-14,10358028201
2001-05-15,10394329701
2001-05-16,11186912451
2001-05-17,11697150000
2001-05-18,12249739903
2001-05-21,13645331306
2001-05-22,13312567153
2001-05-23,12497799951
2001-05-24,13098790644
2001-05-25,12598637451
2001-05-29,11707233548
2001-05-30,11134476548
2001-05-31,11394637500
2001-06-01,11342202403
2001-06-04,10950952298
2001-06-05,11414804596
2001-06-06,10908600750
2001-06-07,11848406250
2001-06-08,11225230500
2001-06-11,10872299250
2001-06-12,11687066451
2001-06-13,10892466346
2001-06-14,10103917096
2001-06-15,10105934451
2001-06-18,10176520298
2001-06-19,9910309298
2001-06-20,11366403201
2001-06-21,11824205451
2001-06-22,11804037548
2001-06-25,12114617250
2001-06-26,11432955548
2001-06-27,11553960951
2001-06-28,11370436701
2001-06-29,12102516346
2001-07-02,12275087000
2001-07-03,11891617542
2001-07-05,10978594542
2001-07-06,10386143657
2001-07-09,10408461997
2001-07-10,10743237502
2001-07-11,10195423500
2001-07-12,11422931997
2001-07-13,11053665120
2001-07-16,10611355997
2001-07-17,11339745457
2001-07-18,10118323577
2001-07-19,9239792962
2001-07-20,8714297502
2001-07-23,8704153005
2001-07-24,9000378042
2001-07-25,9584712965
2001-07-26,9570509574
2001-07-27,10976564994
2001-07-30,11226125425
2001-07-31,11080041542
2001-08-01,11349890157
2001-08-02,11351919502
2001-08-03,10996855002
2001-08-06,10802076965
2001-08-07,11108446500
2001-08-08,10526140922
2001-08-09,10276581505
2001-08-10,10012818494
2001-08-13,10065571542
2001-08-14,9937748120
2001-08-15,9347326580
2001-08-16,9667899505
2001-08-17,9465005505
2001-08-20,9024725120
2001-08-21,8765021002
2001-08-22,8941538580
2001-08-23,8929364534
2001-08-24,9538046534
2001-08-27,9676014657
2001-08-28,9057187957
2001-08-29,7849968657
2001-08-30,8063007965
2001-08-31,8328798497
2001-09-04,7799245157
2001-09-05,7395486502
2001-09-06,6930859039
2001-09-07,7821563497
2001-09-10,8131991925
2001-09-17,8095471005
2001-09-18,8180686080
2001-09-19,8704153005
2001-09-20,8113731465
2001-09-21,7770839997
2001-09-24,8087355042
2001-09-25,8566184882
2001-09-26,7699827502
2001-09-27,8016341534
2001-09-28,8501259005
2001-10-01,9947255500
2001-10-02,9991988484
2001-10-03,10870171989
2001-10-04,11131508404
2001-10-05,11018498164
2001-10-08,11253936164
2001-10-09,10615899420
2001-10-10,10980828084
2001-10-11,12125057000
2001-10-12,11555297510
2001-10-15,11757773484
2001-10-16,11715394409
2001-10-17,10695948340
2001-10-18,11166824340
2001-10-19,11122091590
2001-10-22,11129154260
2001-10-23,11065586000
2001-10-24,11642409335
2001-10-25,12558262920
2001-10-26,10081455160
2001-10-29,9337471080
2001-10-30,9396330580
2001-10-31,9113804744
2001-11-01,8697079484
2001-11-02,9118513740
2001-11-05,9466961744
2001-11-06,9782448664
2001-11-07,9824827740
2001-11-08,9700045835
2001-11-09,10083810010
2001-11-12,10319248010
2001-11-13,10837210904
2001-11-14,11006726500
2001-11-15,10514661080
2001-11-16,10648860740
2001-11-19,10947867000
2001-11-20,9707108740
2001-11-21,9222105989
2001-11-23,9422228760
2001-11-26,9422228760
2001-11-27,9424582904
2001-11-28,9252713164
2001-11-29,8883075740
2001-11-30,8795963915
2001-12-03,8647637740
2001-12-04,8847760510
2001-12-05,9495215010
2001-12-06,10107353340
2001-12-07,9966091010
2001-12-10,9810700989
2001-12-11,9605870164
2001-12-12,10064974500
2001-12-13,9869560489
2001-12-14,9650604090
2001-12-17,9883687240
2001-12-18,10097935584
2001-12-19,9681210324
2001-12-20,8932517484
2001-12-21,9375141160
2001-12-24,9045527489
2001-12-26,9092615324
2001-12-27,9160892580
2001-12-28,9158538670
2001-12-31,8956061755
2002-01-02,8960770515
2002-01-03,8791254920
2002-01-04,8548754015
2002-01-07,8016663664
2002-01-08,8487539664
2002-01-09,8209722824
2002-01-10,8819507244
2002-01-11,8525209744
2002-01-14,8261519420
2002-01-15,8402781984
2002-01-16,7835376404
2002-01-17,8299189500
2002-01-18,7993120335
2002-01-22,8049624984
2002-01-23,8642928744
2002-01-24,8534627500
2002-01-25,8162634989
2002-01-28,7837731255
2002-01-29,7555205420
2002-01-30,7477510880
2002-01-31,7265616915
2002-02-01,7298578000
2002-02-04,6804158200
2002-02-05,6227335335
2002-02-06,5634031340
2002-02-07,5674055800
2002-02-08,6370952044
2002-02-11,6046047840
2002-02-12,6194373544
2002-02-13,6006023380
2002-02-14,6029567415
2002-02-15,5885950000
2002-02-19,5539856375
2002-02-20,5765876620
2002-02-21,5346796744
2002-02-22,5532793000
2002-02-25,5754104955
2002-02-26,5782357044
2002-02-27,5947163880
2002-02-28,5586943740
2002-03-01,6323864915
2002-03-04,6830056380
2002-03-05,6907750920
2002-03-06,6745298700
2002-03-07,6575783340
2002-03-08,7416297000
2002-03-11,7654088909
2002-03-12,7067848760
2002-03-13,6947775380
2002-03-14,7176150240
2002-03-15,7147897915
2002-03-18,7044304960
2002-03-19,6858308704
2002-03-20,6220271960
2002-03-21,6596972760
2002-03-22,6514569460
2002-03-25,6234398240
2002-03-26,6095489584
2002-03-27,6234398240
2002-03-28,6356826000
2002-04-01,6383745000
2002-04-02,5969983750
2002-04-03,6092929950
2002-04-04,5721727236
2002-04-05,5757192250
2002-04-08,5899053486
2002-04-09,5681533286
2002-04-10,5612966900
2002-04-11,5681533286
2002-04-12,5986534200
2002-04-15,6123666500
2002-04-16,6253705986
2002-04-17,6173318086
2002-04-18,5873045400
2002-04-19,5799750786
2002-04-22,5317423150
2002-04-23,5102267300
2002-04-24,4255830000
2002-04-25,4312574400
2002-04-26,2338342150
2002-04-29,1908030450
2002-04-30,2187023750
2002-05-01,2137372399
2002-05-02,1988418350
2002-05-03,2068806250
2002-05-06,1990782700
2002-05-07,2099542800
2002-05-08,2423458750
2002-05-09,2328884750
2002-05-10,2364350000
2002-05-13,2366714350
2002-05-14,2494389250
2002-05-15,2603149350
2002-05-16,2586598900
2002-05-17,2674079850
2002-05-20,2678808550
2002-05-21,2357256950
2002-05-22,2378536100
2002-05-23,2482567500
2002-05-24,2383264800
2002-05-28,2369078700
2002-05-29,2378536100
2002-05-30,2366714350
2002-05-31,2288690800
2002-06-03,2191752450
2002-06-04,2286326450
2002-06-05,2234310750
2002-06-06,2241403800
2002-06-07,2163380250
2002-06-10,2177566350
2002-06-11,2187023750
2002-06-12,2179930700
2002-06-13,2156287200
2002-06-14,2146829800
2002-06-17,2215395950
2002-06-18,2170473300
2002-06-19,2130279350
2002-06-20,2021519250
2002-06-21,1844193000
2002-06-24,1974232250
2002-06-25,1808727750
2002-06-26,1749619000
2002-06-27,1744890300
2002-06-28,1699967650
2002-07-01,1639749360
2002-07-02,1381465140
2002-07-03,1362508500
2002-07-05,1454922120
2002-07-08,1364878080
2002-07-09,1144507140
2002-07-10,1182420420
2002-07-11,1407530520
2002-07-12,1431226320
2002-07-15,1580509860
2002-07-16,1744010880
2002-07-17,1708467180
2002-07-18,1729793400
2002-07-19,1601836080
2002-07-22,1390943460
2002-07-23,1315116900
2002-07-24,1390943460
2002-07-25,1244029500
2002-07-26,1587618600
2002-07-29,1549705320
2002-07-30,1535487840
2002-07-31,1516531200
2002-08-01,1454922120
2002-08-02,1407530520
2002-08-05,1329334380
2002-08-06,1511792040
2002-08-07,1360138920
2002-08-08,1414639260
2002-08-09,1336443120
2002-08-12,1357769340
2002-08-13,1206116220
2002-08-14,1367247660
2002-08-15,1435965480
2002-08-16,1443074220
2002-08-19,1599466500
2002-08-20,1516531200
2002-08-21,1772445840
2002-08-22,2082860819
2002-08-23,1914620640
2002-08-26,1919359800
2002-08-27,1798511220
2002-08-28,1682401800
2002-08-29,1729793400
2002-08-30,1701358440
2002-09-03,1547335740
2002-09-04,1682401800
2002-09-05,1639749360
2002-09-06,1703728020
2002-09-09,1729793400
2002-09-10,1772445840
2002-09-11,1817467860
2002-09-12,1744010880
2002-09-13,1793772060
2002-09-16,1710836760
2002-09-17,1616053560
2002-09-18,1639749360
2002-09-19,1490465820
2002-09-20,1509422460
2002-09-23,1424117580
2002-09-24,1433595900
2002-09-25,1431226320
2002-09-26,1367247660
2002-09-27,1317486480
2002-09-30,1198662950
2002-10-01,1234266800
2002-10-02,1148817560
2002-10-03,1165432690
2002-10-04,1079983450
2002-10-07,1023017289
2002-10-08,980292670
2002-10-09,1018270110
2002-10-10,1098972170
2002-10-11,1269870650
2002-10-14,1239013980
2002-10-15,1466878620
2002-10-16,1509603240
2002-10-17,1599799660
2002-10-18,1604546840
2002-10-21,1640150690
2002-10-22,1668633770
2002-10-23,1761203780
2002-10-24,1758830190
2002-10-25,1929728670
2002-10-28,1924981489
2002-10-29,1887004050
2002-10-30,1898872000
2002-10-31,1910739950
2002-11-01,1960585340
2002-11-04,2036540220
2002-11-05,2178955620
2002-11-06,2416314620
2002-11-07,2178955620
2002-11-08,2067396890
2002-11-11,1882256870
2002-11-12,1977200470
2002-11-13,1991442010
2002-11-14,2017551500
2002-11-15,2036540220
2002-11-18,2188449980
2002-11-19,2169461260
2002-11-20,2321371020
2002-11-21,2513631810
2002-11-22,2459039240
2002-11-25,2508884630
2002-11-26,2366469230
2002-11-27,2397325900
2002-11-29,2494643090
2002-12-02,2333238970
2002-12-03,2140978180
2002-12-04,2095879970
2002-12-05,2186076390
2002-12-06,2138604590
2002-12-09,2019925090
2002-12-10,2124363049
2002-12-11,2171834850
2002-12-12,2181329210
2002-12-13,2091132790
2002-12-16,2171834850
2002-12-17,2205065110
2002-12-18,2046034579
2002-12-19,2015177910
2002-12-20,1977200470
2002-12-23,2067396890
2002-12-24,2017551500
2002-12-26,2027045859
2002-12-27,1998562780
2002-12-30,1901245590
2002-12-31,1910428160
2003-01-02,2020003840
2003-01-03,2036678400
2003-01-06,2089084160
2003-01-07,2289178880
2003-01-08,2298707200
2003-01-09,2525004800
2003-01-10,2541679360
2003-01-13,2451160320
2003-01-14,2510712320
2003-01-15,2515476480
2003-01-16,2401136640
2003-01-17,2229626880
2003-01-21,2310617600
2003-01-22,2403518720
2003-01-23,2501184000
2003-01-24,2129579520
2003-01-27,2034296319
2003-01-28,2112904959
2003-01-29,2081937920
2003-01-30,1969980160
2003-01-31,1965216000
2003-02-03,1998565120
2003-02-04,1931866879
2003-02-05,1891371520
2003-02-06,1884225280
2003-02-07,1834201600
2003-02-10,1838965760
2003-02-11,1822291200
2003-02-12,1719861760
2003-02-13,1738918400
2003-02-14,1703187200
2003-02-18,1757975040
2003-02-19,1798470400
2003-02-20,1779413760
2003-02-21,1846112000
2003-02-24,1736536320
2003-02-25,1743682560
2003-02-26,1688894720
2003-02-27,1769885440
2003-02-28,1836583680
2003-03-03,1822291200
2003-03-04,1769885440
2003-03-05,1796088320
2003-03-06,1829437440
2003-03-07,1805616640
2003-03-10,1769885440
2003-03-11,1727008000
2003-03-12,1719861760
2003-03-13,1884225280
2003-03-14,1919956480
2003-03-17,2036678400
2003-03-18,2120051200
2003-03-19,2077173760
2003-03-20,2108140800
2003-03-21,2141489920
2003-03-24,2024768000
2003-03-25,2074791680
2003-03-26,2170074880
2003-03-27,2146254080
2003-03-28,2127197440
2003-03-31,2087968520
2003-04-01,2061689740
2003-04-02,2248030180
2003-04-03,2302976720
2003-04-04,2248030180
2003-04-07,2231307320
2003-04-08,2252808140
2003-04-09,2193083640
2003-04-10,2193083640
2003-04-11,2200250580
2003-04-14,2283864880
2003-04-15,2348367340
2003-04-16,2436759600
2003-04-17,2467816340
2003-04-21,2439148580
2003-04-22,2541874720
2003-04-23,2565764520
2003-04-24,2420036740
2003-04-25,2596821260
2003-04-28,2692380460
2003-04-29,2842886200
2003-04-30,2964724180
2003-05-01,2771216800
2003-05-02,2857220080
2003-05-05,2890665800
2003-05-06,2933667440
2003-05-07,2795106600
2003-05-08,2730604140
2003-05-09,2811829460
2003-05-12,2866776000
2003-05-13,3010114800
2003-05-14,3050727460
2003-05-15,3167787480
2003-05-16,3222734020
2003-05-19,3050727460
2003-05-20,2969502140
2003-05-21,3124785840
2003-05-22,3153453600
2003-05-23,3272902600
2003-05-27,3440131200
2003-05-28,3425797320
2003-05-29,3504633660
2003-05-30,3578692040
2003-06-02,3533301420
2003-06-03,3774588400
2003-06-04,3757865540
2003-06-05,3650361440
2003-06-06,3564358160
2003-06-09,3416241400
2003-06-10,3401907520
2003-06-11,3397129560
2003-06-12,3432964260
2003-06-13,3358905880
2003-06-16,3566747140
2003-06-17,3643194500
2003-06-18,3624082660
2003-06-19,3442520180
2003-06-20,3337405060
2003-06-23,3201233200
2003-06-24,3096118080
2003-06-25,3232289940
2003-06-26,3397129560
2003-06-27,3332627100
2003-06-30,3314702300
2003-07-01,3420465100
2003-07-02,3418061400
2003-07-03,3437291000
2003-07-07,3576705600
2003-07-08,3807460800
2003-07-09,3749772000
2003-07-10,3461328000
2003-07-11,3454116900
2003-07-14,3675257300
2003-07-15,3634394400
2003-07-16,3398831800
2003-07-17,3230572800
2003-07-18,3244995000
2003-07-21,3124810000
2003-07-22,3076736000
2003-07-23,3117598900
2003-07-24,3023854600
2003-07-25,2995010200
2003-07-28,3095965600
2003-07-29,3175287700
2003-07-30,3105580400
2003-07-31,3211343200
2003-08-01,3110387800
2003-08-04,3031065700
2003-08-05,3120002600
2003-08-06,3007028700
2003-08-07,2982991700
2003-08-08,3002221300
2003-08-11,3095965600
2003-08-12,3225765400
2003-08-13,3329124500
2003-08-14,3208939500
2003-08-15,3244995000
2003-08-18,3326720800
2003-08-19,3406042900
2003-08-20,3482961300
2003-08-21,3420465100
2003-08-22,3418061400
2003-08-25,3384409600
2003-08-26,3401235500
2003-08-27,3494979800
2003-08-28,3600742600
2003-08-29,3600742600
2003-09-02,3687275800
2003-09-03,3576705600
2003-09-04,3653624000
2003-09-05,3694486900
2003-09-08,3862745900
2003-09-09,3795442300
2003-09-10,3689679500
2003-09-11,3821883000
2003-09-12,3622375900
2003-09-15,3663238800
2003-09-16,3800249700
2003-09-17,3773809000
2003-09-18,3807460800
2003-09-19,3684872100
2003-09-22,3533439000
2003-09-23,3531035300
2003-09-24,3297876400
2003-09-25,3172884000
2003-09-26,3095965600
2003-09-29,3232976500
2003-09-30,3289112520
2003-10-01,3315992340
2003-10-02,3335541300
2003-10-03,3416180760
2003-10-06,3452835060
2003-10-07,3465053160
2003-10-08,3509038320
2003-10-09,3565241580
2003-10-10,3599452260
2003-10-13,3628775700
2003-10-14,3658099140
2003-10-15,3616557600
2003-10-16,3777836520
2003-10-17,3706971540
2003-10-20,3689866200
2003-10-21,3826708920
2003-10-22,3648324660
2003-10-23,3575016060
2003-10-24,3526143660
2003-10-27,3733851360
2003-10-28,3924453719
2003-10-29,3878024940
2003-10-30,3885355800
2003-10-31,3870694080
2003-11-03,4166372100
2003-11-04,4095507120
2003-11-05,4215244500
2003-11-06,4132161420
2003-11-07,4171259340
2003-11-10,4073514540
2003-11-11,4031973000
2003-11-12,4185921059
2003-11-13,4117499700
2003-11-14,3944002680
2003-11-17,3824265300
2003-11-18,3653211900
2003-11-19,3768062040
2003-11-20,3770505660
2003-11-21,3765618420
2003-11-24,3980656980
2003-11-25,3936671820
2003-11-26,3897573900
2003-11-28,3961108020
2003-12-01,4014867660
2003-12-02,4029529379
2003-12-03,3975769740
2003-12-04,3963551639
2003-12-05,3875581320
2003-12-08,3853588740
2003-12-09,3782723760
2003-12-10,3731407740
2003-12-11,3870694080
2003-12-12,3873137700
2003-12-15,3790054620
2003-12-16,3797385480
2003-12-17,3743625840
2003-12-18,3873137700
2003-12-19,3885355800
2003-12-22,3846257880
2003-12-23,3934228200
2003-12-24,3978213360
2003-12-26,3934228200
2003-12-29,4058852820
2003-12-30,4005093180
2003-12-31,3983100600
2004-01-02,4002649559
2004-01-05,4178590200
2004-01-06,4374079800
2004-01-07,4298327580
2004-01-08,4491373560
2004-01-09,4393628760
2004-01-12,4576900260
2004-01-13,4811487780
2004-01-14,4811487780
2004-01-15,4733291940
2004-01-16,4818818640
2004-01-20,5114496660
2004-01-21,4862803800
2004-01-22,4691750400
2004-01-23,4674645060
2004-01-26,4767502620
2004-01-27,4581787500
2004-01-28,4550020440
2004-01-29,4325207400
2004-01-30,4271447760
2004-02-02,4303214820
2004-02-03,4312989300
2004-02-04,4234793459
2004-02-05,4347199980
2004-02-06,4444944780
2004-02-09,4496260800
2004-02-10,4508478900
2004-02-11,4608667320
2004-02-12,4479155460
2004-02-13,4364305320
2004-02-17,4440057540
2004-02-18,4374079800
2004-02-19,4398516000
2004-02-20,4449832020
2004-02-23,4290996719
2004-02-24,4264116900
2004-02-25,4345000722
2004-02-26,4383854280
2004-02-27,4254342420
2004-03-01,4256786040
2004-03-02,4242124320
2004-03-03,4166372100
2004-03-04,4239680700
2004-03-05,4161484860
2004-03-08,4073514540
2004-03-09,4044191100
2004-03-10,3863363220
2004-03-11,3880468560
2004-03-12,3951333540
2004-03-15,3763174800
2004-03-16,3812047200
2004-03-17,3919566480
2004-03-18,3851145120
2004-03-19,3824265300
2004-03-22,3714302400
2004-03-23,3675204480
2004-03-24,3721633260
2004-03-25,3917122860
2004-03-26,3973326120
2004-03-29,3987987840
2004-03-30,4102837980
2004-03-31,4131845490
2004-04-01,4086961230
2004-04-02,4336318230
2004-04-05,4423593180
2004-04-06,4296421110
2004-04-07,4246549710
2004-04-08,4311382530
2004-04-12,4301408250
2004-04-13,4124364780
2004-04-14,4096935510
2004-04-15,4049557679
2004-04-16,3974750580
2004-04-19,4099429080
2004-04-20,3877501350
2004-04-21,3949814880
2004-04-22,4022128409
2004-04-23,4298914680
2004-04-26,4303901820
2004-04-27,4283953260
2004-04-28,4333824660
2004-04-29,4244056140
2004-04-30,4042076970
2004-05-03,4206652590
2004-05-04,4204159020
2004-05-05,4338811800
2004-05-06,4381202490
2004-05-07,4413618900
2004-05-10,4214133299
2004-05-11,4475958150
2004-05-12,4540790970
2004-05-13,4605623790
2004-05-14,4451022450
2004-05-17,4483438860
2004-05-18,4331331090
2004-05-19,4463490300
2004-05-20,4403644620
2004-05-21,4426086750
2004-05-24,4575700950
2004-05-25,4648014480
2004-05-26,4633053060
2004-05-27,4523335980
2004-05-28,4523335980
2004-06-01,4470971010
2004-06-02,4498400280
2004-06-03,4343798940
2004-06-04,4363747500
2004-06-07,4446035310
2004-06-08,4406138190
2004-06-09,4343798940
2004-06-10,4391176770
2004-06-14,4268991840
2004-06-15,4413618900
2004-06-16,4378708920
2004-06-17,4431073890
2004-06-18,4478451720
2004-06-21,4336318230
2004-06-22,4386189630
2004-06-23,4573207380
2004-06-24,4717834440
2004-06-25,4830045090
2004-06-28,4815083670
2004-06-29,4810096530
2004-06-30,5057505400
2004-07-01,4889769040
2004-07-02,4727115600
2004-07-06,4447555000
2004-07-07,4503467120
2004-07-08,4371311200
2004-07-09,4539047560
2004-07-12,4506008580
2004-07-13,4439930620
2004-07-14,4371311200
2004-07-15,4401808720
2004-07-16,4307774700
2004-07-19,4287443020
2004-07-20,4503467120
2004-07-21,4447555000
2004-07-22,4567003620
2004-07-23,4345896600
2004-07-26,4284901560
2004-07-27,4493301280
2004-07-28,4439930620
2004-07-29,4470428140
2004-07-30,4450096460
2004-08-02,4475511060
2004-08-03,4320482000
2004-08-04,4338272220
2004-08-05,4287443020
2004-08-06,4178160240
2004-08-09,4206116300
2004-08-10,4328106380
2004-08-11,4300150320
2004-08-12,4239155280
2004-08-13,4213740679
2004-08-16,4302691780
2004-08-17,4201033380
2004-08-18,4363686820
2004-08-19,4300150320
2004-08-20,4389101420
2004-08-23,4335730760
