,TJX
2003-08-05,9733592960
2003-08-06,9551467520
2003-08-07,9976426880
2003-08-08,10077607680
2003-08-11,10077607680
2003-08-12,10644220160
2003-08-13,10381150080
2003-08-14,10381150080
2003-08-15,10482330880
2003-08-18,10482330880
2003-08-19,10482330880
2003-08-20,10522803200
2003-08-21,10664456320
2003-08-22,10502567040
2003-08-25,10563275520
2003-08-26,10623984000
2003-08-27,10684692480
2003-08-28,10846581760
2003-08-29,10967998720
2003-09-02,11089415680
2003-09-03,11150124160
2003-09-04,10846581760
2003-09-05,10502567040
2003-09-08,10320441600
2003-09-09,10199024640
2003-09-10,10178788480
2003-09-11,10360913920
2003-09-12,10340677760
2003-09-15,10441858560
2003-09-16,10522803200
2003-09-17,10360913920
2003-09-18,10340677760
2003-09-19,10381150080
2003-09-22,10279969280
2003-09-23,10441858560
2003-09-24,10097843840
2003-09-25,9855009920
2003-09-26,9591939840
2003-09-29,9551467520
2003-09-30,9834773760
2003-10-01,10118080000
2003-10-02,10037135360
2003-10-03,10158552320
2003-10-06,10138316160
2003-10-07,10158552320
2003-10-08,10158552320
2003-10-09,10725164800
2003-10-10,10482330880
2003-10-13,10745400960
2003-10-14,10866817920
2003-10-15,10745400960
2003-10-16,10785873280
2003-10-17,10745400960
2003-10-20,10725164800
2003-10-21,10623984000
2003-10-22,10401386240
2003-10-23,10603747840
2003-10-24,10462094720
2003-10-27,10239127000
2003-10-28,10577117600
2003-10-29,10656644800
2003-10-30,10537354000
2003-10-31,10437945000
2003-11-03,10477708600
2003-11-04,10278890600
2003-11-05,10259008800
2003-11-06,11034399000
2003-11-07,11312744200
2003-11-10,11571207600
2003-11-11,11412153200
2003-11-12,11253098800
2003-11-13,11153689800
2003-11-14,11054280800
2003-11-17,10934990000
2003-11-18,10756053800
2003-11-19,10815699200
2003-11-20,10954871800
2003-11-21,10994635400
2003-11-24,11113926200
2003-11-25,11451916800
2003-11-26,11213335200
2003-11-28,11233217000
2003-12-01,11173571600
2003-12-02,11074162600
2003-12-03,10934990000
2003-12-04,10835581000
2003-12-05,10636763000
2003-12-08,10636763000
2003-12-09,10756053800
2003-12-10,10736172000
2003-12-11,10815699200
2003-12-12,10736172000
2003-12-15,10517472200
2003-12-16,10596999400
2003-12-17,10815699200
2003-12-18,10596999400
2003-12-19,10497590400
2003-12-22,10497590400
2003-12-23,10457826800
2003-12-24,10378299600
2003-12-26,10577117600
2003-12-29,10696408400
2003-12-30,10915108200
2003-12-31,10954871800
2004-01-02,10736172000
2004-01-05,10915108200
2004-01-06,10974753600
2004-01-07,10736172000
2004-01-08,11014517200
2004-01-09,11133808000
2004-01-12,11432035000
2004-01-13,11491680400
2004-01-14,11670616600
2004-01-15,11710380200
2004-01-16,11730262000
2004-01-20,11630853000
2004-01-21,11630853000
2004-01-22,11630853000
2004-01-23,11630853000
2004-01-26,11531444000
2004-01-27,11451916800
2004-01-28,11352507800
2004-01-29,11392271400
2004-01-30,11432035000
2004-02-02,11352507800
2004-02-03,11292862400
2004-02-04,11292862400
2004-02-05,11511562200
2004-02-06,11591089400
2004-02-09,11571207600
2004-02-10,11591089400
2004-02-11,11610971200
2004-02-12,11610971200
2004-02-13,11471798600
2004-02-17,11770025600
2004-02-18,11909198200
2004-02-19,11809789200
2004-02-20,11750143800
2004-02-23,11650734800
2004-02-24,11770025600
2004-02-25,11829671000
2004-02-26,11710380200
2004-02-27,11710380200
2004-03-01,11770025600
2004-03-02,11610971200
2004-03-03,11750143800
2004-03-04,11750143800
2004-03-05,12207425200
2004-03-08,12008607200
2004-03-09,11909198200
2004-03-10,11889316400
2004-03-11,11551325800
2004-03-12,11809789200
2004-03-15,11750143800
2004-03-16,11869434600
2004-03-17,11929080000
2004-03-18,11909198200
2004-03-19,11909198200
2004-03-22,11789907400
2004-03-23,11650734800
2004-03-24,11750143800
2004-03-25,11988725400
2004-03-26,12108016200
2004-03-29,12048370800
2004-03-30,12028489000
2004-03-31,12207425200
2004-04-01,12247188800
2004-04-02,12386361400
2004-04-05,12525534000
2004-04-06,12605061200
2004-04-07,12585179400
2004-04-08,12426125000
2004-04-12,12525534000
2004-04-13,12386361400
2004-04-14,12446006800
2004-04-15,12505652200
2004-04-16,12585179400
2004-04-19,12465888600
2004-04-20,12605061200
2004-04-21,12505652200
2004-04-22,12585179400
2004-04-23,12783997400
2004-04-26,12744233800
2004-04-27,12783997400
2004-04-28,12485770400
2004-04-29,12326716000
2004-04-30,12207425200
2004-05-03,12260316040
2004-05-04,12102880200
2004-05-05,12240636560
2004-05-06,11827367480
2004-05-07,11571534240
2004-05-10,11591213720
2004-05-11,11551854760
2004-05-12,11669931640
2004-05-13,11532175280
2004-05-14,11728970080
2004-05-17,11748649560
2004-05-18,11807688000
2004-05-19,11925764880
2004-05-20,11866726440
2004-05-21,12004482800
2004-05-24,11965123840
2004-05-25,12201277600
2004-05-26,12299675000
2004-05-27,12319354480
2004-05-28,12260316040
2004-06-01,12476790320
2004-06-02,12555508240
2004-06-03,12476790320
2004-06-04,12535828760
2004-06-07,12693264600
2004-06-08,12614546680
2004-06-09,12457110840
2004-06-10,12496469800
2004-06-14,12378392920
2004-06-15,12358713440
2004-06-16,12535828760
2004-06-17,12339033960
2004-06-18,12437431360
2004-06-21,12575187720
2004-06-22,12653905640
2004-06-23,12949097840
2004-06-24,12968777320
2004-06-25,12752303040
2004-06-28,12457110840
2004-06-29,11807688000
2004-06-30,11886405920
2004-07-01,11906085400
2004-07-02,11827367480
2004-07-06,11847046960
2004-07-07,11866726440
2004-07-08,10941790880
2004-07-09,11099226720
2004-07-12,11099226720
2004-07-13,11118906200
2004-07-14,10961470360
2004-07-15,10882752440
2004-07-16,10764675560
2004-07-19,10725316600
2004-07-20,10863072960
2004-07-21,10843393480
2004-07-22,10843393480
2004-07-23,10961470360
2004-07-26,11000829320
2004-07-27,11492816320
2004-07-28,11394418920
2004-07-29,11492816320
2004-07-30,11551854760
2004-08-02,11337604200
2004-08-03,11298843160
2004-08-04,11066276920
2004-08-05,10407339240
2004-08-06,10291056120
2004-08-09,10349197680
2004-08-10,10484861320
2004-08-11,10484861320
2004-08-12,10426719760
2004-08-13,10465480800
2004-08-16,10678666520
2004-08-17,10523622360
2004-08-18,10310436640
2004-08-19,10329817160
2004-08-20,10329817160
2004-08-23,10271675600
