,FHN
2000-07-26,2331613545
2000-07-27,2306743000
2000-07-28,2314515045
2000-07-31,2362701725
2000-08-01,2395344315
2000-08-02,2362701725
2000-08-03,2460629494
2000-08-04,2751303983
2000-08-07,2670474713
2000-08-08,2695345258
2000-08-09,2687573212
2000-08-10,2678246758
2000-08-11,2743531937
2000-08-14,2783946572
2000-08-15,2751303983
2000-08-16,2718661393
2000-08-17,2718661393
2000-08-18,2710889348
2000-08-21,2695345258
2000-08-22,2743531937
2000-08-23,2710889348
2000-08-24,2727987847
2000-08-25,2727987847
2000-08-28,2735759892
2000-08-29,2710889348
2000-08-30,2751303983
2000-08-31,2849231751
2000-09-01,2808817117
2000-09-05,2783946572
2000-09-06,2824361207
2000-09-07,2801045072
2000-09-08,2816589162
2000-09-11,2857003797
2000-09-12,2849231751
2000-09-13,2849231751
2000-09-14,2872547887
2000-09-15,2857003797
2000-09-18,2687573212
2000-09-19,2703117303
2000-09-20,2662702668
2000-09-21,2589645443
2000-09-22,2541458764
2000-09-25,2557002854
2000-09-26,2541458764
2000-09-27,2493272084
2000-09-28,2687573212
2000-09-29,2647158578
2000-10-02,2699854240
2000-10-03,2772614073
2000-10-04,2789642971
2000-10-05,2797383378
2000-10-06,2772614073
2000-10-09,2747844769
2000-10-10,2757133258
2000-10-11,2651863712
2000-10-12,2538853758
2000-10-13,2644123304
2000-10-16,2627094407
2000-10-17,2506344045
2000-10-18,2490863230
2000-10-19,2757133258
2000-10-20,2636382896
2000-10-23,2676633017
2000-10-24,2692113832
2000-10-25,2707594648
2000-10-26,2684373425
2000-10-27,2757133258
2000-10-30,2885624027
2000-10-31,2966124268
2000-11-01,2918133740
2000-11-02,3071393815
2000-11-03,3127124751
2000-11-06,3094615038
2000-11-07,3031143694
2000-11-08,3014114797
2000-11-09,2998633981
2000-11-10,2966124268
2000-11-13,2933614556
2000-11-14,2925874148
2000-11-15,2860854722
2000-11-16,2812864194
2000-11-17,2837633499
2000-11-20,2845373907
2000-11-21,2925874148
2000-11-22,2933614556
2000-11-24,2966124268
2000-11-27,2973864676
2000-11-28,2958383861
2000-11-29,3159634463
2000-11-30,3255615520
2000-12-01,3207624992
2000-12-04,3215365400
2000-12-05,3418164084
2000-12-06,3280384825
2000-12-07,3240134705
2000-12-08,3481635428
2000-12-11,3571424158
2000-12-12,3360885066
2000-12-13,3264904010
2000-12-14,3224653889
2000-12-15,3232394297
2000-12-18,3481635428
2000-12-19,3586904974
2000-12-20,3531174038
2000-12-21,3579164566
2000-12-22,3732424641
2000-12-26,3732424641
2000-12-27,3747905456
2000-12-28,3747905456
2000-12-29,3732424641
2001-01-02,3604064250
2001-01-03,3749965214
2001-01-04,3855510593
2001-01-05,3846197765
2001-01-08,3636659146
2001-01-09,3540426595
2001-01-10,3725131008
2001-01-11,3732891697
2001-01-12,3684775422
2001-01-16,3871031972
2001-01-17,3878792662
2001-01-18,3749965214
2001-01-19,3822915696
2001-01-22,3863271282
2001-01-23,3926908937
2001-01-24,3846197765
2001-01-25,3782560111
2001-01-26,3911387558
2001-01-29,3943982454
2001-01-30,4010724385
2001-01-31,4170594591
2001-02-01,4001411557
2001-02-02,4013828661
2001-02-05,4046423557
2001-02-06,4043319281
2001-02-07,4075914177
2001-02-08,4113165488
2001-02-09,4170594591
2001-02-12,4240440797
2001-02-13,4215606590
2001-02-14,4223367280
2001-02-15,4266827142
2001-02-16,4215606590
2001-02-20,4176803142
2001-02-21,4116269763
2001-02-22,4072809902
2001-02-23,4016932936
2001-02-26,4018485074
2001-02-27,4058840660
2001-02-28,4007620109
2001-03-01,4023141488
2001-03-02,4092987695
2001-03-05,4120926177
2001-03-06,4162833901
2001-03-07,4172146728
2001-03-08,4142656108
2001-03-09,4201637349
2001-03-12,4054184247
2001-03-13,4183011694
2001-03-14,4088331281
2001-03-15,4200085211
2001-03-16,4175251004
2001-03-19,4248201487
2001-03-20,4130239005
2001-03-21,4021589350
2001-03-22,3723578870
2001-03-23,3892761903
2001-03-26,3867927696
2001-03-27,3939326040
2001-03-28,3923804661
2001-03-29,3942430316
2001-03-30,3995203006
2001-04-02,4014424938
2001-04-03,3929991526
2001-04-04,3854769032
2001-04-05,3963764891
2001-04-06,3911569691
2001-04-09,3910034538
2001-04-10,3962229738
2001-04-11,3931526679
2001-04-12,3931526679
2001-04-16,3880866632
2001-04-17,3939202444
2001-04-18,4029776467
2001-04-19,4098858349
2001-04-20,4022100702
2001-04-23,4015960091
2001-04-24,4063549832
2001-04-25,4132631714
2001-04-26,4143377785
2001-04-27,4194037832
2001-04-30,4178686302
2001-05-01,4181756608
2001-05-02,4203248749
2001-05-03,4203248749
2001-05-04,4296893079
2001-05-07,4286147008
2001-05-08,4309174302
2001-05-09,4339877361
2001-05-10,4344482820
2001-05-11,4315314914
2001-05-14,4378256184
2001-05-15,4395142867
2001-05-16,4468830208
2001-05-17,4462689596
2001-05-18,4476505973
2001-05-21,4479576278
2001-05-22,4501068420
2001-05-23,4462689596
2001-05-24,4497998114
2001-05-25,4470365361
2001-05-29,4473435667
2001-05-30,4493392655
2001-05-31,4553263620
2001-06-01,4573220608
2001-06-04,4600853361
2001-06-05,4649978255
2001-06-06,4493392655
2001-06-07,4504138725
2001-06-08,4448873220
2001-06-11,4413564702
2001-06-12,4408959243
2001-06-13,4365974961
2001-06-14,4286147008
2001-06-15,4327596137
2001-06-18,4401283478
2001-06-19,4465759902
2001-06-20,4530236325
2001-06-21,4706778914
2001-06-22,4616204890
2001-06-25,4574755761
2001-06-26,4527166020
2001-06-27,4488787196
2001-06-28,4439662302
2001-06-29,4439662302
2001-07-02,4566841862
2001-07-03,4566841862
2001-07-05,4539367546
2001-07-06,4498156072
2001-07-09,4458470949
2001-07-10,4354679089
2001-07-11,4331783825
2001-07-12,4423364879
2001-07-13,4412680422
2001-07-16,4368416247
2001-07-17,4398943264
2001-07-18,4406575019
2001-07-19,4292098702
2001-07-20,4221886561
2001-07-23,4101304841
2001-07-24,4069251472
2001-07-25,4163885227
2001-07-26,4147095368
2001-07-27,4227991965
2001-07-30,4260045333
2001-07-31,4374521650
2001-08-01,4418785826
2001-08-02,4391311510
2001-08-03,4360784492
2001-08-06,4261571684
2001-08-07,4314993966
2001-08-08,4331783825
2001-08-09,4342468282
2001-08-10,4348573685
2001-08-13,4365363545
2001-08-14,4437102037
2001-08-15,4391311510
2001-08-16,4388258808
2001-08-17,4307362211
2001-08-20,4298204106
2001-08-21,4308888562
2001-08-22,4336362878
2001-08-23,4298204106
2001-08-24,4179148736
2001-08-27,4075356876
2001-08-28,4029566349
2001-08-29,4063146069
2001-08-30,4055514314
2001-08-31,4095199437
2001-09-04,4063146069
2001-09-05,3979196770
2001-09-06,4147095368
2001-09-07,4118094701
2001-09-10,4183727789
2001-09-17,4195938596
2001-09-18,4208149403
2001-09-19,4322625720
2001-09-20,4296677755
2001-09-21,4327204773
2001-09-24,4388258808
2001-09-25,4505787827
2001-09-26,4666054670
2001-09-27,4710318846
2001-09-28,4704213442
2001-10-01,4647720188
2001-10-02,4722290682
2001-10-03,4653807575
2001-10-04,4492491812
2001-10-05,4372265913
2001-10-08,4153119971
2001-10-09,4116595648
2001-10-10,4274867717
2001-10-11,4343350824
2001-10-12,4145510737
2001-10-15,4104420873
2001-10-16,4147032584
2001-10-17,4058765468
2001-10-18,4031372226
2001-10-19,4072462090
2001-10-22,4147032584
2001-10-23,4239865240
2001-10-24,4274867717
2001-10-25,4329654202
2001-10-26,4375309607
2001-10-29,4355525598
2001-10-30,4358569292
2001-10-31,4379875147
2001-11-01,4401181003
2001-11-02,4413355778
2001-11-05,4539669064
2001-11-06,4618805098
2001-11-07,4544234604
2001-11-08,4553365685
2001-11-09,4553365685
2001-11-12,4559453072
2001-11-13,4595977396
2001-11-14,4602064783
2001-11-15,4586846315
2001-11-16,4585324468
2001-11-19,4623370639
2001-11-20,4591411855
2001-11-21,4562496766
2001-11-23,4624892485
2001-11-26,4687288205
2001-11-27,4629458026
2001-11-28,4583802621
2001-11-29,4687288205
2001-11-30,4560974919
2001-12-03,4559453072
2001-12-04,4599021090
2001-12-05,4629458026
2001-12-06,4647720188
2001-12-07,4664460503
2001-12-10,4634023566
2001-12-11,4658373116
2001-12-12,4621848792
2001-12-13,4564018613
2001-12-14,4542712757
2001-12-17,4568584153
2001-12-18,4664460503
2001-12-19,4629458026
2001-12-20,4675113431
2001-12-21,4621848792
2001-12-24,4624892485
2001-12-26,4597499243
2001-12-27,4583802621
2001-12-28,4609674017
2001-12-31,4597499243
2002-01-02,4538267362
2002-01-03,4545876797
2002-01-04,4530657926
2002-01-07,4538267362
2002-01-08,4489566974
2002-01-09,4424125828
2002-01-10,4392166199
2002-01-11,4419560167
2002-01-14,4370859779
2002-01-15,4411950731
2002-01-16,4418038280
2002-01-17,4431735264
2002-01-18,4408906957
2002-01-22,4418038280
2002-01-23,4440866586
2002-01-24,4446954135
2002-01-25,4468260554
2002-01-28,4436300925
2002-01-29,4276502779
2002-01-30,4294765424
2002-01-31,4325203166
2002-02-01,4309984295
2002-02-04,4271937117
2002-02-05,4284112214
2002-02-06,4246065036
2002-02-07,4256718246
2002-02-08,4348031473
2002-02-11,4402819409
2002-02-12,4437822812
2002-02-13,4469782442
2002-02-14,4466738667
2002-02-15,4443910361
2002-02-19,4341943924
2002-02-20,4379991102
2002-02-21,4348031473
2002-02-22,4364772231
2002-02-25,4453041683
2002-02-26,4480435651
2002-02-27,4425647715
2002-02-28,4373903554
2002-03-01,4462173006
2002-03-04,4500220184
2002-03-05,4462173006
2002-03-06,4510873394
2002-03-07,4431735264
2002-03-08,4454563570
2002-03-11,4503263958
2002-03-12,4504785845
2002-03-13,4485001313
2002-03-14,4498698297
2002-03-15,4571748878
2002-03-18,4564139442
2002-03-19,4558051894
2002-03-20,4483479426
2002-03-21,4491088861
2002-03-22,4457607345
2002-03-25,4396731860
2002-03-26,4437822812
2002-03-27,4523048490
2002-03-28,4443910361
2002-04-01,4464591465
2002-04-02,4472194652
2002-04-03,4376394494
2002-04-04,4443302541
2002-04-05,4488921663
2002-04-08,4561912260
2002-04-09,4618175844
2002-04-10,4695728352
2002-04-11,4698769627
2002-04-12,4791528510
2002-04-15,4748950662
2002-04-16,4566474172
2002-04-17,4619696481
2002-04-18,4618175844
2002-04-19,4665315604
2002-04-22,4621217119
2002-04-23,4648588592
2002-04-24,4685083891
2002-04-25,4796090422
2002-04-26,4764157036
2002-04-29,4745909387
2002-04-30,4897973129
2002-05-01,4911658866
2002-05-02,4882766755
2002-05-03,4942071615
2002-05-06,4890369942
2002-05-07,4882766755
2002-05-08,4904055679
2002-05-09,4888849305
2002-05-10,4867560381
2002-05-13,4949674802
2002-05-14,5034830497
2002-05-15,5124548105
2002-05-16,5097176631
2002-05-17,5086532169
2002-05-20,5033309860
2002-05-21,4998335199
2002-05-22,4966401813
2002-05-23,5034830497
2002-05-24,4908617591
2002-05-28,4823461896
2002-05-29,4794569785
2002-05-30,4894931854
2002-05-31,4934468427
2002-06-03,4885808030
2002-06-04,4844750820
2002-06-05,4859957194
2002-06-06,4717017276
2002-06-07,4701810902
2002-06-10,4739826838
2002-06-11,4650109230
2002-06-12,4656191780
2002-06-13,4607531382
2002-06-14,4701810902
2002-06-17,4844750820
2002-06-18,4849312732
2002-06-19,4849312732
2002-06-20,4814338071
2002-06-21,4838668270
2002-06-24,4876684205
2002-06-25,4852354007
2002-06-26,4831065083
2002-06-27,4826503171
2002-06-28,4852354007
2002-07-01,4770916174
2002-07-02,4745061672
2002-07-03,4669019017
2002-07-05,4799812383
2002-07-08,4891063569
2002-07-09,4842396270
2002-07-10,4693352666
2002-07-11,4748103378
2002-07-12,4656852192
2002-07-15,4656852192
2002-07-16,4571684418
2002-07-17,4597538921
2002-07-18,4483474938
2002-07-19,4360285837
2002-07-22,4256867826
2002-07-23,4132157872
2002-07-24,4319222804
2002-07-25,4410473990
2002-07-26,4488037498
2002-07-29,4699436079
2002-07-30,4649247926
2002-07-31,4742019965
2002-08-01,4640122808
2002-08-02,4580809537
2002-08-05,4431765933
2002-08-06,4643164514
2002-08-07,4687269254
2002-08-08,4880417597
2002-08-09,4919959778
2002-08-12,4897146982
2002-08-13,4830229445
2002-08-14,4982314755
2002-08-15,4994481580
2002-08-16,4996002433
2002-08-19,5029461201
2002-08-20,5002085845
2002-08-21,5012731817
2002-08-22,5011210964
2002-08-23,4912355513
2002-08-26,4980793902
2002-08-27,4929084897
2002-08-28,4874334185
2002-08-29,4868250773
2002-08-30,4853042242
2002-09-03,4678144135
2002-09-04,4716165463
2002-09-05,4717686316
2002-09-06,4837833711
2002-09-09,4897146982
2002-09-10,4799812383
2002-09-11,4751145084
2002-09-12,4576246977
2002-09-13,4656852192
2002-09-16,4606664039
2002-09-17,4597538921
2002-09-18,4491079204
2002-09-19,4360285837
2002-09-20,4396786312
2002-09-23,4413515696
2002-09-24,4314660244
2002-09-25,4440891052
2002-09-26,4564080153
2002-09-27,4430245080
2002-09-30,4392018906
2002-10-01,4597324499
2002-10-02,4367686392
2002-10-03,4194317224
2002-10-04,4063529958
2002-10-07,3849099672
2002-10-08,4030072750
2002-10-09,3806517771
2002-10-10,4028551968
2002-10-11,4141089848
2002-10-14,4223212086
2002-10-15,4402664382
2002-10-16,4344874659
2002-10-17,4474141144
2002-10-18,4580595896
2002-10-21,4598845282
2002-10-22,4626219361
2002-10-23,4623177796
2002-10-24,4533451648
2002-10-25,4700737687
2002-10-28,4671842826
2002-10-29,4595803717
2002-10-30,4766131320
2002-10-31,4697696123
2002-11-01,4807192439
2002-11-04,4738757241
2002-11-05,4712903944
2002-11-06,4636864836
2002-11-07,4477182708
2002-11-08,4425476114
2002-11-11,4398102035
2002-11-12,4405705946
2002-11-13,4372248738
2002-11-14,4580595896
2002-11-15,4583637460
2002-11-18,4506077569
2002-11-19,4510639916
2002-11-20,4649031093
2002-11-21,4706820816
2002-11-22,4725070202
2002-11-25,4702258469
2002-11-26,4668801261
2002-11-27,4738757241
2002-11-29,4671842826
2002-12-02,4697696123
2002-12-03,4726590984
2002-12-04,4630781707
2002-12-05,4551701034
2002-12-06,4600366064
2002-12-09,4538013995
2002-12-10,4618615450
2002-12-11,4626219361
2002-12-12,4582116678
2002-12-13,4507598351
2002-12-16,4598845282
2002-12-17,4588199806
2002-12-18,4533451648
2002-12-19,4496952876
2002-12-20,4576033549
2002-12-23,4548659470
2002-12-24,4544097123
2002-12-26,4560825727
2002-12-27,4489348965
2002-12-30,4551701034
2002-12-31,4555782195
2003-01-02,4710989204
2003-01-03,4709467567
2003-01-06,4826633642
2003-01-07,4733813764
2003-01-08,4726205578
2003-01-09,4855544751
2003-01-10,4771854698
2003-01-13,4791635983
2003-01-14,4841850015
2003-01-15,4735335402
2003-01-16,4753595050
2003-01-17,4701859380
2003-01-21,4633385700
2003-01-22,4671426633
2003-01-23,4739900314
2003-01-24,4622734238
2003-01-27,4583171668
2003-01-28,4590779854
2003-01-29,4627299150
2003-01-30,4581650030
2003-01-31,4753595050
2003-02-03,4741421951
2003-02-04,4686643007
2003-02-05,4683599732
2003-02-06,4680556457
2003-02-07,4682078095
2003-02-10,4756638324
2003-02-11,4738378676
2003-02-12,4700337743
2003-02-13,4723162303
2003-02-14,4817503818
2003-02-18,4759681599
2003-02-19,4755116687
2003-02-20,4720119028
2003-02-21,4788592708
2003-02-24,4663818447
2003-02-25,4715554116
2003-02-26,4648602073
2003-02-27,4879890949
2003-02-28,4840328378
2003-03-03,4855544751
2003-03-04,4811417269
2003-03-05,4858588026
2003-03-06,4844893290
2003-03-07,4908802058
2003-03-10,4799244170
2003-03-11,4733813764
2003-03-12,4659253535
2003-03-13,4764246511
2003-03-14,4749030138
2003-03-17,4870761125
2003-03-18,4870761125
2003-03-19,4917931882
2003-03-20,4962059365
2003-03-21,5060965792
2003-03-24,5000100299
2003-03-25,5047271056
2003-03-26,5019881584
2003-03-27,5047271056
2003-03-28,5065530704
2003-03-31,5049345689
2003-04-01,5134824334
2003-04-02,5223355788
2003-04-03,5156193995
2003-04-04,5200459722
2003-04-07,5015764792
2003-04-08,5053924902
2003-04-09,4965393448
2003-04-10,5058504115
2003-04-11,5087505798
2003-04-14,5130245121
2003-04-15,5244725449
2003-04-16,5218776575
2003-04-17,5305781624
2003-04-21,5331730499
2003-04-22,5539321495
2003-04-23,5557638347
2003-04-24,5517951833
2003-04-25,5443158019
2003-04-28,5540847899
2003-04-29,5604956883
2003-04-30,5569849582
2003-05-01,5534742281
2003-05-02,5681277102
2003-05-05,5685856315
2003-05-06,5728595638
2003-05-07,5708752381
2003-05-08,5664486654
2003-05-09,5685856315
2003-05-12,5626326544
2003-05-13,5632432162
2003-05-14,5588166435
2003-05-15,5716384403
2003-05-16,5734701255
2003-05-19,5569849582
2003-05-20,5585113626
2003-05-21,5662960249
2003-05-22,5647696206
2003-05-23,5682803506
2003-05-27,5753018108
2003-05-28,5748438895
2003-05-29,5749965299
2003-05-30,5945345060
2003-06-02,5930081016
2003-06-03,5951450677
2003-06-04,6007927639
2003-06-05,6101038306
2003-06-06,6036929322
2003-06-09,5985031573
2003-06-10,5997242809
2003-06-11,5873604054
2003-06-12,5843075966
2003-06-13,5833917540
2003-06-16,5959082699
2003-06-17,5945345060
2003-06-18,5925501803
2003-06-19,5746912490
2003-06-20,5811021474
2003-06-23,5693488337
2003-06-24,5656854632
2003-06-25,5646169801
2003-06-26,5644643397
2003-06-27,5575955200
2003-06-30,5560572658
2003-07-01,5632017961
2003-07-02,5597055366
2003-07-03,5560572658
2003-07-07,5583374351
2003-07-08,5563612884
2003-07-09,5458725100
2003-07-10,5438963634
2003-07-11,5410081490
2003-07-14,5495207808
2003-07-15,5400960813
2003-07-16,5397920588
2003-07-17,5314314383
2003-07-18,5324955173
2003-07-21,5413121716
2003-07-22,5428322844
2003-07-23,5495207808
2003-07-24,5642658750
2003-07-25,5695862699
2003-07-28,5627457622
2003-07-29,5562092771
2003-07-30,5537770966
2003-07-31,5432883182
2003-08-01,5279351789
2003-08-04,5253509871
2003-08-05,5163823215
2003-08-06,5223107615
2003-08-07,5217027163
2003-08-08,5204866261
2003-08-11,5191185246
2003-08-12,5268710999
2003-08-13,5191185246
2003-08-14,5277831676
2003-08-15,5256550096
2003-08-18,5223107615
2003-08-19,5200305923
2003-08-20,5204866261
2003-08-21,5247429420
2003-08-22,5090857800
2003-08-25,5133420959
2003-08-26,5182064569
2003-08-27,5179024343
2003-08-28,5218547276
2003-08-29,5236788630
2003-09-02,5226147840
2003-09-03,5188145020
2003-09-04,5194225471
2003-09-05,5229188066
2003-09-08,5264150661
2003-09-09,5188145020
2003-09-10,4934286181
2003-09-11,4989010242
2003-09-12,5058935431
2003-09-15,5065015882
2003-09-16,5103018703
2003-09-17,5052854980
2003-09-18,5182064569
2003-09-19,5258070209
2003-09-22,5159262877
2003-09-23,5221587502
2003-09-24,5273271337
2003-09-25,5400960813
2003-09-26,5318874722
2003-09-29,5370558557
2003-09-30,5329864659
2003-10-01,5465484625
2003-10-02,5436853744
2003-10-03,5488087953
2003-10-06,5575487487
2003-10-07,5575487487
2003-10-08,5534801497
2003-10-09,5497129284
2003-10-10,5509184392
2003-10-13,5531787720
2003-10-14,5560418601
2003-10-15,5482060399
2003-10-16,5503156838
2003-10-17,5477539733
2003-10-20,5507677504
2003-10-21,5480553510
2003-10-22,5448908852
2003-10-23,5498636172
2003-10-24,5507677504
2003-10-27,5628228584
2003-10-28,5653845689
2003-10-29,5599597703
2003-10-30,5623707919
2003-10-31,5694531679
2003-11-03,5849741195
2003-11-04,5753300331
2003-11-05,5682476571
2003-11-06,5616173476
2003-11-07,5566446155
2003-11-10,5628228584
2003-11-11,5598090814
2003-11-12,5595077037
2003-11-13,5601104591
2003-11-14,5537815274
2003-11-17,5479046622
2003-11-18,5414250416
2003-11-19,5459457071
2003-11-20,5433839967
2003-11-21,5460963960
2003-11-24,5504663727
2003-11-25,5563432378
2003-11-26,5638776804
2003-11-28,5598090814
2003-12-01,5714121229
2003-12-02,5673435240
2003-12-03,5611652811
2003-12-04,5560418601
2003-12-05,5500143061
2003-12-08,5590556372
2003-12-09,5445895075
2003-12-10,5319316440
2003-12-11,5534801497
2003-12-12,5531787720
2003-12-15,5411236639
2003-12-16,5460963960
2003-12-17,5491101730
2003-12-18,5454936406
2003-12-19,5480553510
2003-12-22,5533294608
2003-12-23,5586035706
2003-12-24,5586035706
2003-12-26,5530280831
2003-12-29,5498636172
2003-12-30,5525760166
2003-12-31,5536308385
2004-01-02,5445895075
2004-01-05,5442881298
2004-01-06,5453429517
2004-01-07,5457950183
2004-01-08,5402195308
2004-01-09,5444388186
2004-01-12,5423291747
2004-01-13,5360002430
2004-01-14,5408222862
2004-01-15,5599597703
2004-01-16,5649325023
2004-01-20,5638776804
2004-01-21,5611652811
2004-01-22,5617680365
2004-01-23,5753300331
2004-01-26,5768369216
2004-01-27,5702066121
2004-01-28,5608639034
2004-01-29,5572473709
2004-01-30,5575487487
2004-02-02,5578501264
2004-02-03,5521239500
2004-02-04,5477539733
2004-02-05,5453429517
2004-02-06,5549870382
2004-02-09,5537815274
2004-02-10,5560418601
2004-02-11,5643297469
2004-02-12,5658366355
2004-02-13,5674942128
2004-02-17,5726176338
2004-02-18,5774396770
2004-02-19,5724669449
2004-02-20,5668914574
2004-02-23,5674942128
2004-02-24,5673435240
2004-02-25,5690011013
2004-02-26,5671928351
2004-02-27,5804534540
2004-03-01,5831658533
2004-03-02,5753300331
2004-03-03,5812068983
2004-03-04,5822617202
2004-03-05,6013992043
2004-03-08,6012485154
2004-03-09,5997416269
2004-03-10,5831658533
2004-03-11,5813575871
2004-03-12,5842206753
2004-03-15,5747272777
2004-03-16,5711107452
2004-03-17,5790972543
2004-03-18,5830151645
2004-03-19,5784944989
2004-03-22,5837686087
2004-03-23,5854261861
2004-03-24,5818096537
2004-03-25,5900975405
2004-03-26,5849741195
2004-03-29,5941661394
2004-03-30,5947688948
2004-03-31,5949880072
2004-04-01,5988807320
2004-04-02,5809143100
2004-04-05,5755243834
2004-04-06,5776204660
2004-04-07,5770215852
2004-04-08,5749255027
2004-04-12,5671400532
2004-04-13,5548629981
2004-04-14,5479758697
2004-04-15,5394418193
2004-04-16,5481255899
2004-04-19,5485747505
2004-04-20,5362976955
2004-04-21,5362976955
2004-04-22,5398909798
2004-04-23,5427356633
2004-04-26,5437837046
2004-04-27,5467781083
2004-04-28,5406395808
2004-04-29,5463289477
2004-04-30,5482753101
2004-05-03,5479758697
2004-05-04,5545635578
2004-05-05,5616004064
2004-05-06,5592048835
2004-05-07,5535155165
2004-05-10,5505211128
2004-05-11,5580071220
2004-05-12,5577076816
2004-05-13,5599534844
2004-05-14,5650439706
2004-05-17,5613009660
2004-05-18,5671400532
2004-05-19,5689366954
2004-05-20,5665411724
2004-05-21,5668406128
2004-05-24,5704338972
2004-05-25,5728294201
2004-05-26,5833098329
2004-05-27,5762729843
2004-05-28,5809143100
2004-06-01,5741769018
2004-06-02,5692361357
2004-06-03,5647445302
2004-06-04,5617501266
2004-06-07,5650439706
2004-06-08,5701344568
2004-06-09,5569590807
2004-06-10,5518685945
2004-06-14,5464786679
2004-06-15,5458797872
2004-06-16,5494730716
2004-06-17,5494730716
2004-06-18,5517188743
2004-06-21,5554618789
2004-06-22,5674394935
2004-06-23,5666908926
2004-06-24,5689366954
2004-06-25,5644450899
2004-06-28,5696852963
2004-06-29,5613009660
2004-06-30,5651140754
2004-07-01,5543727308
2004-07-02,5569088816
2004-07-06,5516873947
2004-07-07,5498971706
2004-07-08,5466150930
2004-07-09,5504939119
2004-07-12,5536268041
2004-07-13,5592958471
2004-07-14,5540743601
2004-07-15,5504939119
2004-07-16,5510906533
2004-07-19,5530300627
2004-07-20,5601909592
2004-07-21,5487036878
2004-07-22,5461675370
2004-07-23,5390066406
2004-07-26,5412444207
2004-07-27,5498971706
2004-07-28,5467642784
2004-07-29,5418411621
2004-07-30,5387082699
2004-08-02,5451232396
2004-08-03,5387082699
2004-08-04,5415427914
2004-08-05,5355753777
2004-08-06,5369180458
2004-08-09,5349786364
2004-08-10,5357245631
2004-08-11,5379623432
2004-08-12,5391558259
2004-08-13,5321441149
2004-08-16,5436313862
2004-08-17,5476593904
2004-08-18,5607877005
2004-08-19,5518365800
2004-08-20,5501955412
2004-08-23,5522841360
