,OGN
2021-09-21,8338733260
2021-09-22,8277885100
2021-09-23,8462964920
2021-09-24,8541560459
2021-09-27,8503530360
2021-09-28,8376763360
2021-09-29,8615085320
2021-09-30,8313877185
2021-10-01,8450793736
2021-10-04,8351909560
2021-10-05,8247954402
2021-10-06,8384870952
2021-10-07,8326554644
2021-10-08,8258096369
2021-10-11,8420367836
2021-10-12,8326554644
2021-10-13,8405154886
2021-10-14,8529393977
2021-10-15,8846330436
2021-10-18,8823511011
2021-10-19,8889433795
2021-10-20,9066918211
2021-10-21,8965498545
2021-10-22,9041563295
2021-10-25,9358499753
2021-10-26,9307789920
2021-10-27,9056776245
2021-10-28,9259615578
2021-10-29,9317931887
2021-11-01,9414280570
2021-11-02,9252009103
2021-11-03,9335680328
2021-11-04,9193692795
2021-11-05,9198763778
2021-11-08,9378783687
2021-11-09,9290041478
2021-11-10,9287505987
2021-11-11,8803227078
2021-11-12,8544606927
2021-11-15,8463471194
2021-11-16,8504039061
2021-11-17,8354445052
2021-11-18,8012153677
2021-11-19,7923411468
2021-11-22,8022295643
2021-11-23,7910734010
2021-11-24,7996940727
2021-11-26,7892985568
2021-11-29,7763675493
2021-11-30,7411242151
2021-12-01,7284467567
2021-12-02,7522803784
2021-12-03,7309822484
2021-12-06,7431526084
2021-12-07,7431526084
2021-12-08,7436597068
2021-12-09,7269254617
2021-12-10,7287003059
2021-12-13,7319964451
2021-12-14,7314893467
2021-12-15,7436597068
2021-12-16,7690146235
2021-12-17,7654649351
2021-12-20,7444203543
2021-12-21,7553229684
2021-12-22,7609010501
2021-12-23,7662255826
2021-12-27,7629294435
2021-12-28,7578584601
2021-12-29,7560836159
2021-12-30,7791565901
2021-12-31,7721602350
2022-01-03,7901646280
2022-01-04,7992936160
2022-01-05,7886431300
2022-01-06,7990400330
2022-01-07,8218625029
2022-01-10,8167908430
2022-01-11,8304843250
2022-01-12,8269341630
2022-01-13,8342880700
2022-01-14,8332737380
2022-01-18,8132406810
2022-01-19,8175515920
2022-01-20,8069011060
2022-01-21,7853465510
2022-01-24,7721602350
2022-01-25,7787533930
2022-01-26,7792605590
2022-01-27,7784998100
2022-01-28,7975185350
2022-01-31,8091833530
2022-02-01,8365703170
2022-02-02,8451921390
2022-02-03,8347952360
2022-02-04,8398668959
2022-02-07,8500102160
2022-02-08,8558426250
2022-02-09,8771435970
2022-02-10,8735934350
2022-02-11,8804401760
2022-02-14,8718183540
2022-02-15,8931193260
2022-02-16,9215206220
2022-02-17,9222813710
2022-02-18,9151810470
2022-02-22,9123916340
2022-02-23,9002196500
2022-02-24,9136595490
2022-02-25,9527113310
2022-02-28,9466253390
2022-03-01,9499219180
2022-03-02,9981026880
2022-03-03,9894808660
2022-03-04,9844092060
2022-03-07,9742658860
2022-03-08,9293816950
2022-03-09,9245636180
2022-03-10,9123916340
2022-03-11,9085878890
2022-03-14,8205945880
2022-03-15,8188195070
2022-03-16,8342880700
2022-03-17,8708040220
2022-03-18,8895691640
2022-03-21,8817080910
2022-03-22,8964159050
2022-03-23,8961623220
2022-03-24,8951479900
2022-03-25,8872869170
2022-03-28,8918514110
2022-03-29,8956551560
2022-03-30,9080807230
2022-03-31,8872848740
2022-04-01,8928732700
2022-04-04,8819504960
2022-04-05,8992237200
2022-04-06,9195451600
2022-04-07,9195451600
2022-04-08,9111625660
2022-04-11,8936353240
2022-04-12,8888089820
2022-04-13,8885549640
2022-04-14,8865228200
2022-04-18,8479120840
2022-04-19,8623911100
2022-04-20,8471500300
2022-04-21,8324169860
2022-04-22,8194620679
2022-04-25,8258125179
2022-04-26,8042209880
2022-04-27,8235263560
2022-04-28,8382594000
2022-04-29,8212401940
2022-05-02,8148897440
2022-05-03,8240343919
2022-05-04,8430857419
2022-05-05,8857607660
2022-05-06,8832205860
2022-05-09,8819504960
2022-05-10,8829665680
2022-05-11,8471500300
2022-05-12,8796643340
2022-05-13,8875388920
2022-05-16,8999857740
2022-05-17,9330081140
2022-05-18,9134487280
2022-05-19,9289438260
2022-05-20,9561237520
2022-05-23,9533295540
2022-05-24,9530755360
2022-05-25,9678085800
2022-05-26,9794934080
2022-05-27,9881300200
2022-05-31,9642523280
2022-06-01,9589179500
2022-06-02,9482491940
2022-06-03,9444389240
2022-06-06,9518054460
2022-06-07,9604420580
2022-06-08,9553616980
2022-06-09,9243715020
2022-06-10,9007478280
2022-06-13,8687415600
2022-06-14,8415616340
2022-06-15,8532464620
2022-06-16,8334330580
2022-06-17,8425777060
2022-06-21,8352111840
2022-06-22,8532464620
2022-06-23,8870308560
2022-06-24,9109085480
2022-06-27,8999857740
2022-06-28,8837286220
2022-06-29,8781402260
2022-06-30,8584245000
2022-07-01,8711419000
2022-07-05,8698701600
2022-07-06,8467244920
2022-07-07,8406201399
2022-07-08,8329897000
2022-07-11,8317179600
2022-07-12,8357875280
2022-07-13,8210353440
2022-07-14,8100983800
2022-07-15,8131505560
2022-07-18,7935657600
2022-07-19,8029766360
2022-07-20,8052657680
2022-07-21,8078092480
2022-07-22,8128962080
2022-07-25,8342614399
2022-07-26,8368049200
2022-07-27,8301918720
2022-07-28,8253592600
2022-07-29,8067918560
2022-08-01,8095896840
2022-08-02,8080635960
2022-08-03,8284114360
2022-08-04,8243418679
2022-08-05,8011962000
2022-08-08,8022135920
2022-08-09,7983983720
2022-08-10,8017048960
2022-08-11,8060288120
2022-08-12,7882244520
2022-08-15,7887331480
2022-08-16,7930570640
2022-08-17,7851722760
2022-08-18,7816114040
2022-08-19,7798309680
2022-08-22,7724548760
2022-08-23,7610092160
2022-08-24,7645700880
2022-08-25,7716918320
2022-08-26,7551592120
2022-08-29,7465113800
2022-08-30,7289613680
2022-08-31,7256548440
2022-09-01,7327765880
2022-09-02,7248918000
2022-09-06,7302331080
2022-09-07,7365918080
2022-09-08,7467657280
2022-09-09,7587200840
2022-09-12,7556679080
2022-09-13,7307418040
2022-09-14,7279439760
2022-09-15,7312505000
2022-09-16,7276896280
2022-09-19,7198048400
2022-09-20,6943700400
2022-09-21,6816526400
2022-09-22,6686808920
2022-09-23,6549461000
2022-09-26,6396852200
2022-09-27,6170482480
2022-09-28,6234069480
2022-09-29,5989895400
2022-09-30,5952187800
2022-10-03,6122613690
2022-10-04,6539775570
2022-10-05,6519426210
2022-10-06,6298126920
2022-10-07,6107351670
2022-10-10,6020866890
2022-10-11,5977624500
2022-10-12,6015779550
2022-10-13,6112439010
2022-10-14,5929294770
2022-10-17,6056478270
2022-10-18,6148050390
2022-10-19,6053934600
2022-10-20,5992886520
2022-10-21,6023410560
2022-10-24,6114982680
2022-10-25,6290495910
2022-10-26,6432941430
2022-10-27,6600823650
2022-10-28,6659328060
2022-10-31,6659328060
2022-11-01,6712745130
2022-11-02,6595736310
2022-11-03,6583017960
2022-11-04,6193836450
2022-11-07,6104808000
2022-11-08,5992886520
2022-11-09,6066652950
2022-11-10,6285408570
2022-11-11,6438028770
2022-11-14,6303214260
2022-11-15,6328650960
2022-11-16,6204011130
2022-11-17,6084458640
2022-11-18,6206554800
2022-11-21,6287952240
2022-11-22,6315932610
2022-11-23,6310845270
2022-11-25,6387155370
2022-11-28,6272690220
2022-11-29,6343912980
2022-11-30,6618629340
2022-12-01,6720376140
2022-12-02,6796686240
2022-12-05,6702570450
2022-12-06,6651697050
2022-12-07,6633891360
2022-12-08,6832297620
2022-12-09,6880627350
2022-12-12,7015441860
2022-12-13,7173149400
2022-12-14,7279983540
2022-12-15,7193498760
2022-12-16,6979830480
2022-12-19,6977286810
2022-12-20,6982374150
2022-12-21,7068858930
2022-12-22,7030703880
2022-12-23,7104470310
2022-12-27,7107013980
2022-12-28,7033247550
2022-12-29,7168062060
2022-12-30,7104470310
2023-01-03,7140783440
2023-01-04,7362104480
2023-01-05,7336665280
2023-01-06,7415526800
2023-01-09,7524915360
2023-01-10,7662287040
2023-01-11,7794570880
2023-01-12,7982820960
2023-01-13,8155807520
2023-01-17,8160895360
2023-01-18,8125280480
2023-01-19,7990452720
2023-01-20,7972645280
2023-01-23,8143087919
2023-01-24,7990452720
2023-01-25,7794570880
2023-01-26,7713165440
2023-01-27,7616496480
2023-01-30,7522371440
2023-01-31,7664830960
2023-02-01,7710621520
2023-02-02,7736060720
2023-02-03,7570705920
2023-02-06,7524915360
2023-02-07,7591057280
2023-02-08,7550354560
2023-02-09,7392631520
2023-02-10,7382455840
2023-02-13,7499476160
2023-02-14,7410438960
2023-02-15,7443509920
2023-02-16,6326729040
2023-02-17,6619279840
2023-02-21,6878759680
2023-02-22,6825337360
2023-02-23,6779546800
2023-02-24,6509891280
2023-02-27,6382695280
2023-02-28,6230060080
2023-03-01,6179181680
2023-03-02,6133391120
2023-03-03,6247867520
2023-03-06,6135935040
2023-03-07,6039266080
2023-03-08,6024002560
2023-03-09,5919701840
2023-03-10,5769610560
2023-03-13,5662765920
2023-03-14,5583904400
2023-03-15,5474515840
2023-03-16,5525394240
2023-03-17,5512674640
2023-03-20,5695836880
2023-03-21,5693292960
2023-03-22,5558465200
2023-03-23,5449076640
2023-03-24,5561009120
2023-03-27,5616975360
2023-03-28,5657678080
2023-03-29,5769610560
2023-03-30,5873911280
2023-03-31,6005620320
2023-04-03,6008173730
2023-04-04,5893270280
2023-04-05,6036261240
2023-04-06,6115416950
2023-04-10,6089882850
2023-04-11,6064348750
2023-04-12,6028601010
2023-04-13,6123077180
2023-04-14,6077115800
2023-04-17,6138397640
2023-04-18,6023494190
2023-04-19,6100096490
2023-04-20,6049028290
2023-04-21,6156271510
2023-04-24,6135844230
2023-04-25,6023494190
2023-04-26,6051581700
2023-04-27,6212446530
2023-04-28,6289048830
2023-05-01,6255854500
2023-05-02,6143504460
2023-05-03,6189465840
2023-05-04,5620055410
2023-05-05,5750279320
2023-05-08,5571540620
2023-05-09,5423442840
2023-05-10,5489831500
2023-05-11,5400462150
2023-05-12,5328966670
2023-05-15,5321306440
2023-05-16,5211509810
2023-05-17,5254917780
2023-05-18,5226830270
2023-05-19,5216616630
2023-05-22,5295772340
2023-05-23,5267684830
2023-05-24,5137460920
2023-05-25,5071072260
2023-05-26,4989363140
2023-05-30,4920421070
2023-05-31,4951061990
2023-06-01,4966382450
2023-06-02,5045538160
2023-06-05,5155334790
2023-06-06,5127247280
2023-06-07,5226830270
2023-06-08,5109373410
2023-06-09,5063412030
2023-06-12,5214063220
2023-06-13,5206402990
2023-06-14,5180868890
2023-06-15,5341733720
2023-06-16,5339180310
2023-06-20,5331520080
2023-06-21,5308539390
2023-06-22,5339180310
2023-06-23,5168101840
2023-06-26,5239597320
2023-06-27,5265131420
2023-06-28,5214063220
2023-06-29,5293218930
2023-06-30,5318786280
2023-07-03,5257445160
2023-07-05,5252333400
2023-07-06,5091312960
2023-07-07,5137318800
2023-07-10,5160321720
2023-07-11,5313674520
2023-07-12,5180768760
2023-07-13,5293227480
2023-07-14,5244665760
2023-07-17,5208883440
2023-07-18,5247221640
2023-07-19,5318786280
2023-07-20,5341789200
2023-07-21,5410797960
2023-07-24,5502809640
2023-07-25,5556483120
2023-07-26,5697056520
2023-07-27,5592265440
2023-07-28,5668941840
2023-07-31,5617824240
2023-08-01,5553927240
2023-08-02,5574374280
2023-08-03,5497697880
2023-08-04,5502809640
2023-08-07,5571818400
2023-08-08,6075326760
2023-08-09,5919418080
2023-08-10,6034432680
2023-08-11,5916862200
2023-08-14,5893859280
2023-08-15,5944976880
2023-08-16,5842741680
2023-08-17,5735394720
2023-08-18,5748174120
2023-08-21,5725171200
2023-08-22,5663830080
2023-08-23,5602488960
2023-08-24,5523256680
2023-08-25,5587153680
2023-08-28,5640827160
2023-08-29,5712391800
2023-08-30,5704724160
2023-08-31,5612712480
2023-09-01,5658718320
2023-09-05,5367348000
2023-09-06,5068310040
2023-09-07,4976298360
2023-09-08,4930292520
2023-09-11,5027415960
2023-09-12,4968630720
2023-09-13,4925180760
2023-09-14,5058086520
2023-09-15,4994189520
2023-09-18,4973742480
2023-09-19,4858727880
2023-09-20,4835724960
2023-09-21,4748825040
2023-09-22,4667036880
2023-09-25,4569913440
2023-09-26,4408893000
2023-09-27,4240204920
2023-09-28,4365443040
2023-09-29,4437007680
2023-10-02,4266247730
2023-10-03,4164000930
2023-10-04,4171669440
2023-10-05,4146107739
2023-10-06,4238129859
2023-10-09,4335264320
2023-10-10,4419617930
2023-10-11,4401724740
2023-10-12,4253466880
2023-10-13,4427286440
2023-10-16,4309702620
2023-10-17,4202343480
2023-10-18,4164000930
2023-10-19,4125658380
2023-10-20,4064310300
2023-10-23,3956951160
2023-10-24,4028523920
2023-10-25,4000406050
2023-10-26,3913496270
2023-10-27,3824030320
2023-10-30,3816361810
2023-10-31,3780575430
2023-11-01,3744789050
2023-11-02,3351138870
2023-11-03,3399706100
2023-11-06,3210549520
2023-11-07,3172206970
2023-11-08,3136420590
2023-11-09,2919146140
2023-11-10,2842461040
2023-11-13,2819455510
2023-11-14,2929370820
2023-11-15,2954932520
2023-11-16,2799006150
2023-11-17,2891028270
2023-11-20,2860354230
2023-11-21,2819455510
2023-11-22,2873135080
2023-11-24,2903809120
2023-11-27,2921702310
2023-11-28,2888472100
2023-11-29,2916589970
2023-11-30,2893584440
2023-12-01,2939595500
2023-12-04,3023949110
2023-12-05,2834792530
2023-12-06,2809230830
2023-12-07,2896140610
2023-12-08,2816899340
2023-12-11,2870578910
2023-12-12,2949820180
2023-12-13,3174763140
2023-12-14,3277009940
2023-12-15,3343470360
2023-12-18,3353695040
2023-12-19,3455941840
2023-12-20,3358807380
2023-12-21,3476391200
2023-12-22,3555632470
2023-12-26,3611868210
2023-12-27,3670660120
2023-12-28,3701334160
2023-12-29,3685997140
2024-01-02,3761273450
2024-01-03,3740817850
2024-01-04,3523477100
2024-01-05,3684564950
2024-01-08,4167828500
2024-01-09,4142259000
2024-01-10,4397954000
2024-01-11,4303346850
2024-01-12,4282891250
2024-01-16,4241980050
2024-01-17,4065550500
2024-01-18,4011854550
2024-01-19,3963272500
2024-01-22,4011854550
2024-01-23,4160157650
2024-01-24,4198511900
2024-01-25,4305903800
2024-01-26,4277777350
2024-01-29,4387726200
2024-01-30,4290562100
2024-01-31,4257321749
2024-02-01,4408181800
2024-02-02,4254764800
2024-02-05,4101347800
2024-02-06,4334030250
2024-02-07,4155043750
2024-02-08,4170385449
2024-02-09,4188284099
2024-02-12,4303346850
2024-02-13,4121803400
2024-02-14,4183170200
2024-02-15,4761040900
2024-02-16,4784053450
2024-02-20,4727800550
2024-02-21,4738028350
2024-02-22,4743142250
2024-02-23,4730357500
2024-02-26,4513016750
2024-02-27,4612737800
2024-02-28,4559041850
2024-02-29,4451649950
2024-03-01,4490004200
2024-03-04,4446536050
2024-03-05,4538586250
2024-03-06,4594839150
2024-03-07,4661319850
2024-03-08,4717572750
2024-03-11,4689446300
2024-03-12,4671547650
2024-03-13,4743142250
2024-03-14,4694560200
2024-03-15,4674104600
2024-03-18,4553927950
2024-03-19,4587168300
2024-03-20,4640864250
2024-03-21,4679218500
2024-03-22,4546257100
2024-03-25,4556484900
2024-03-26,4633193400
2024-03-27,4717572750
2024-03-28,4807066000
2024-04-01,4730357500
2024-04-02,4635750350
2024-04-03,4579497450
2024-04-04,4569269650
2024-04-05,4566712700
2024-04-08,4643421200
2024-04-09,4707344950
2024-04-10,4643421200
2024-04-11,4674104600
2024-04-12,4461877750
2024-04-15,4528358450
2024-04-16,4548814050
2024-04-17,4569269650
2024-04-18,4566712700
2024-04-19,4556484900
2024-04-22,4602510000
2024-04-23,4735471400
2024-04-24,4784053450
2024-04-25,4709901900
2024-04-26,4743142250
2024-04-29,4832635500
2024-04-30,4758483950
2024-05-01,4814736850
2024-05-02,4986052500
2024-05-03,5014178950
2024-05-06,5287772600
2024-05-07,5216178000
2024-05-08,5208507150
2024-05-09,5244304450
2024-05-10,5221291900
2024-05-13,5354253300
2024-05-14,5459088250
2024-05-15,5535796750
2024-05-16,5502556400
2024-05-17,5574151000
2024-05-20,5566480150
2024-05-21,5586935750
2024-05-22,5615062200
2024-05-23,5459088250
2024-05-24,5367038050
2024-05-28,5364481100
2024-05-29,5259646150
2024-05-30,5354253300
2024-05-31,5453974350
2024-06-03,5466759100
2024-06-04,5338911600
2024-06-05,5359367200
2024-06-06,5285215650
2024-06-07,5305671250
2024-06-10,5295443450
2024-06-11,5180380700
2024-06-12,5328683800
2024-06-13,5244304450
2024-06-14,5216178000
2024-06-17,5203393250
2024-06-18,5203393250
2024-06-20,5228962750
2024-06-21,5328683800
2024-06-24,5400278400
2024-06-25,5315899050
2024-06-26,5274987850
2024-06-27,5264760050
2024-06-28,5292886500
2024-07-01,5193165450
2024-07-02,5144583400
2024-07-03,5193165450
2024-07-05,5142026450
2024-07-08,5149697300
2024-07-09,5096001350
2024-07-10,5093444400
2024-07-11,5338911600
2024-07-12,5446303500
2024-07-15,5300557350
2024-07-16,5321012950
2024-07-17,5410506200
2024-07-18,5361924150
2024-07-19,5364481100
2024-07-22,5507670300
2024-07-23,5487214700
2024-07-24,5530682850
2024-07-25,5643188650
2024-07-26,5673872050
2024-07-29,5748023600
2024-07-30,5694327650
2024-07-31,5589492700
2024-08-01,5535796750
2024-08-02,5346582450
2024-08-05,5194644720
2024-08-06,4798421200
2024-08-07,4901336400
2024-08-08,5032553280
2024-08-09,5184353200
