,DO
2023-02-07,1280823840
2023-02-08,1266637500
2023-02-09,1240291440
2023-02-10,1266637500
2023-02-13,1261570950
2023-02-14,1264610880
2023-02-15,1249411230
2023-02-16,1268664120
2023-02-17,1242318060
2023-02-21,1151120160
2023-02-22,1097414730
2023-02-23,1086268320
2023-02-24,1139973750
2023-02-27,1184559390
2023-02-28,1203812280
2023-03-01,1243331370
2023-03-02,1266637500
2023-03-03,1305143280
2023-03-06,1329462720
2023-03-07,1263597570
2023-03-08,1257517710
2023-03-09,1191652560
2023-03-10,1143013680
2023-03-13,1092348180
2023-03-14,1131867270
2023-03-15,1013310000
2023-03-16,1036616130
2023-03-17,994057110
2023-03-20,1033576199
2023-03-21,1159226640
2023-03-22,1127814030
2023-03-23,1113627690
2023-03-24,1081201770
2023-03-27,1139973750
2023-03-28,1180506150
2023-03-29,1239278130
2023-03-30,1199759040
2023-03-31,1221903480
2023-04-03,1293959250
2023-04-04,1230022440
2023-04-05,1191457380
2023-04-06,1154922060
2023-04-10,1156951800
2023-04-11,1164055890
2023-04-12,1194501990
2023-04-13,1223933220
2023-04-14,1267572630
2023-04-17,1257423930
2023-04-18,1249304970
2023-04-19,1203635820
2023-04-20,1166085630
2023-04-21,1153907190
2023-04-24,1187397900
2023-04-25,1126505700
2023-04-26,1122446220
2023-04-27,1130565180
2023-04-28,1166085630
2023-05-01,1165070760
2023-05-02,1083881160
2023-05-03,1073732460
2023-05-04,1119401610
2023-05-05,1168115370
2023-05-08,1176234330
2023-05-09,1149847710
2023-05-10,1159996410
2023-05-11,1114327260
2023-05-12,1175219460
2023-05-15,1171159980
2023-05-16,1172174850
2023-05-17,1170145110
2023-05-18,1187397900
2023-05-19,1173189720
2023-05-22,1246260360
2023-05-23,1224948090
2023-05-24,1233067050
2023-05-25,1177249200
2023-05-26,1172174850
2023-05-30,1135639530
2023-05-31,1111282650
2023-06-01,1182323550
2023-06-02,1222918350
2023-06-05,1189427640
2023-06-06,1214799390
2023-06-07,1230022440
2023-06-08,1235096790
2023-06-09,1224948090
2023-06-12,1168115370
2023-06-13,1190442510
2023-06-14,1240171140
2023-06-15,1264528020
2023-06-16,1240171140
2023-06-20,1230022440
2023-06-21,1266557760
2023-06-22,1279751070
2023-06-23,1255394190
2023-06-26,1312226910
2023-06-27,1279751070
2023-06-28,1258438800
2023-06-29,1358910930
2023-06-30,1455541600
2023-07-03,1479051050
2023-07-05,1503582650
2023-07-06,1480073200
2023-07-07,1602731200
2023-07-10,1600686900
2023-07-11,1594554000
2023-07-12,1597620450
2023-07-13,1603753350
2023-07-14,1548557250
2023-07-17,1565933800
2023-07-18,1662015900
2023-07-19,1610908400
2023-07-20,1579221750
2023-07-21,1569000250
2023-07-24,1633395700
2023-07-25,1638506450
2023-07-26,1608864100
2023-07-27,1573088850
2023-07-28,1578199600
2023-07-31,1618063450
2023-08-01,1598642600
2023-08-02,1550601550
2023-08-03,1578199600
2023-08-04,1604775500
2023-08-07,1544468650
2023-08-08,1515848450
2023-08-09,1518914900
2023-08-10,1501538350
2023-08-11,1561845200
2023-08-14,1545490800
2023-08-15,1517892750
2023-08-16,1540380050
2023-08-17,1552645850
2023-08-18,1630329250
2023-08-21,1594554000
2023-08-22,1562867350
2023-08-23,1556734450
2023-08-24,1485183950
2023-08-25,1488250400
2023-08-28,1463718800
2023-08-29,1464740950
2023-08-30,1523003500
2023-08-31,1519937050
2023-09-01,1559800900
2023-09-05,1605797650
2023-09-06,1572066700
2023-09-07,1554690150
2023-09-08,1587398950
2023-09-11,1637484300
2023-09-12,1706990500
2023-09-13,1607841950
2023-09-14,1651794400
2023-09-15,1599664750
2023-09-18,1599664750
2023-09-19,1548557250
2023-09-20,1536291450
2023-09-21,1484161800
2023-09-22,1487228250
2023-09-25,1498471900
2023-09-26,1478028900
2023-09-27,1525047800
2023-09-28,1533225000
2023-09-29,1500516200
2023-10-02,1426368680
2023-10-03,1445809860
2023-10-04,1380323780
2023-10-05,1377254120
2023-10-06,1388509540
2023-10-09,1429438340
2023-10-10,1428415120
2023-10-11,1435577660
2023-10-12,1405904280
2023-10-13,1441716980
2023-10-16,1392602420
2023-10-17,1407950720
2023-10-18,1393625640
2023-10-19,1396695300
2023-10-20,1341441420
2023-10-23,1334278880
2023-10-24,1305628720
2023-10-25,1290280420
2023-10-26,1256514160
2023-10-27,1266746360
2023-10-30,1265723140
2023-10-31,1269816020
2023-11-01,1299489400
2023-11-02,1390555980
2023-11-03,1371114800
2023-11-06,1330186000
2023-11-07,1264699920
2023-11-08,1328139560
2023-11-09,1296419740
2023-11-10,1290280420
2023-11-13,1298466180
2023-11-14,1330186000
2023-11-15,1271862460
2023-11-16,1220701460
2023-11-17,1276978560
2023-11-20,1252421280
2023-11-21,1246281960
2023-11-22,1256514160
2023-11-24,1303582280
2023-11-27,1256514160
2023-11-28,1288233980
2023-11-29,1288233980
2023-11-30,1316884140
2023-12-01,1350650400
2023-12-04,1332232440
2023-12-05,1291303640
2023-12-06,1204329940
2023-12-07,1195120960
2023-12-08,1253444500
2023-12-11,1223771120
2023-12-12,1187958420
2023-12-13,1250374840
2023-12-14,1328139560
2023-12-15,1290280420
2023-12-18,1299489400
2023-12-19,1345534300
2023-12-20,1323023460
2023-12-21,1338371760
2023-12-22,1345534300
2023-12-26,1399764960
2023-12-27,1378277340
2023-12-28,1340418200
2023-12-29,1330186000
2024-01-02,1316884140
2024-01-03,1308698380
2024-01-04,1259583820
2024-01-05,1275955340
2024-01-08,1273908900
2024-01-09,1232980100
2024-01-10,1212515700
2024-01-11,1239119420
2024-01-12,1241165860
2024-01-16,1208422820
2024-01-17,1228887220
2024-01-18,1265723140
2024-01-19,1267769580
2024-01-22,1287210760
2024-01-23,1293350080
2024-01-24,1308698380
2024-01-25,1316884140
2024-01-26,1305628720
2024-01-29,1310744820
2024-01-30,1285164320
2024-01-31,1248328400
2024-02-01,1226840780
2024-02-02,1196144180
2024-02-05,1181819100
2024-02-06,1170563680
2024-02-07,1160331480
2024-02-08,1215585360
2024-02-09,1228887220
2024-02-12,1265723140
2024-02-13,1235026540
2024-02-14,1243212300
2024-02-15,1254467720
2024-02-16,1217631800
2024-02-20,1179772660
2024-02-21,1232980100
2024-02-22,1262653480
2024-02-23,1232980100
2024-02-26,1240142640
2024-02-27,1236049760
2024-02-28,1143959960
2024-02-29,1134750980
2024-03-01,1212515700
2024-03-04,1229910440
2024-03-05,1202283500
2024-03-06,1206376380
2024-03-07,1248328400
2024-03-08,1256514160
2024-03-11,1291303640
2024-03-12,1275955340
2024-03-13,1302559060
2024-03-14,1314837700
2024-03-15,1334278880
2024-03-18,1336325320
2024-03-19,1354743280
2024-03-20,1347580740
2024-03-21,1347580740
2024-03-22,1324046680
2024-03-25,1360882600
2024-03-26,1344511080
2024-03-27,1375207680
2024-03-28,1395672080
2024-04-01,1401811400
2024-04-02,1431484780
2024-04-03,1471390360
2024-04-04,1451949180
2024-04-05,1491854760
2024-04-08,1459111720
2024-04-09,1449902740
2024-04-10,1479576120
2024-04-11,1452972400
2024-04-12,1434554440
2024-04-15,1407950720
2024-04-16,1385439880
2024-04-17,1331209220
2024-04-18,1315860920
2024-04-19,1324046680
2024-04-22,1361905820
2024-04-23,1389532760
2024-04-24,1346557520
2024-04-25,1331209220
2024-04-26,1350650400
2024-04-29,1335302100
2024-04-30,1252421280
2024-05-01,1257537380
2024-05-02,1283117880
2024-05-03,1328139560
2024-05-06,1380891200
2024-05-07,1404452400
2024-05-08,1501770400
2024-05-09,1489477600
2024-05-10,1477184800
2024-05-13,1480258000
2024-05-14,1493575200
2024-05-15,1497672800
2024-05-16,1508941200
2024-05-17,1519185200
2024-05-20,1562210000
2024-05-21,1565283200
2024-05-22,1506892400
2024-05-23,1482306800
2024-05-24,1483331200
2024-05-28,1550941600
2024-05-29,1498697200
2024-05-30,1517136400
2024-05-31,1555039200
2024-06-03,1442355200
2024-06-04,1368598400
2024-06-05,1369622800
2024-06-06,1401379200
2024-06-07,1426989200
2024-06-10,1582698000
2024-06-11,1563234400
2024-06-12,1587820000
2024-06-13,1569380800
2024-06-14,1537624400
2024-06-17,1550941600
2024-06-18,1555039200
2024-06-20,1559136800
2024-06-21,1574502800
2024-06-24,1578600400
2024-06-25,1572454000
2024-06-26,1575527200
2024-06-27,1587820000
2024-06-28,1586795600
2024-07-01,1548892800
2024-07-02,1576551600
2024-07-03,1579624800
2024-07-05,1572454000
2024-07-08,1572454000
2024-07-09,1575527200
2024-07-10,1579624800
2024-07-11,1606259200
2024-07-12,1616503200
2024-07-15,1669772000
2024-07-16,1683089200
2024-07-17,1667723200
2024-07-18,1649284000
2024-07-19,1634942400
2024-07-22,1646210800
2024-07-23,1663625599
2024-07-24,1622649600
2024-07-25,1665674400
2024-07-26,1683089200
2024-07-29,1659528000
2024-07-30,1652357200
2024-07-31,1682064800
2024-08-01,1619576400
2024-08-02,1552990400
2024-08-05,1503265720
2024-08-06,1512494500
2024-08-07,1507367400
2024-08-08,1522748700
2024-08-09,1500189460
