,BAX
2001-04-05,15062700000
2001-04-06,14360600000
2001-04-09,14490400000
2001-04-10,14508100000
2001-04-11,14260300000
2001-04-12,14348800000
2001-04-16,14496300000
2001-04-17,14738200000
2001-04-18,14537600000
2001-04-19,14325200000
2001-04-20,14366500000
2001-04-23,14295700000
2001-04-24,14089200000
2001-04-25,14584800000
2001-04-26,14614300000
2001-04-27,14696900000
2001-04-30,14608400000
2001-05-01,14962400000
2001-05-02,14667400000
2001-05-03,15009600000
2001-05-04,15180700000
2001-05-07,15239699999
2001-05-08,14944699999
2001-05-09,15039100000
2001-05-10,14991900000
2001-05-11,14826700000
2001-05-14,14873900000
2001-05-15,15139400000
2001-05-16,15286900000
2001-05-17,15581900000
2001-05-18,15428500000
2001-05-21,15729400000
2001-05-22,15770700000
2001-05-23,15699900000
2001-05-24,15705800000
2001-05-25,15517000000
2001-05-29,15481600000
2001-05-30,15723500000
2001-05-31,15829699999
2001-06-01,16059800000
2001-06-04,16213200000
2001-06-05,16101100000
2001-06-06,15935900000
2001-06-07,15953600000
2001-06-08,16024400000
2001-06-11,15829699999
2001-06-12,15806100000
2001-06-13,15876900000
2001-06-14,15953600000
2001-06-15,16201400000
2001-06-18,16242700000
2001-06-19,16756000000
2001-06-20,16879900000
2001-06-21,17310600000
2001-06-22,16850400000
2001-06-25,16921200000
2001-06-26,16714699999
2001-06-27,16815000000
2001-06-28,16997900000
2001-06-29,16183700000
2001-07-02,15997240000
2001-07-03,15673290000
2001-07-05,15520150000
2001-07-06,15325780000
2001-07-09,15732190000
2001-07-10,15531930000
2001-07-11,15314000000
2001-07-12,15396460000
2001-07-13,15249210000
2001-07-16,15308110000
2001-07-17,15296330000
2001-07-18,15196200000
2001-07-19,15549600000
2001-07-20,15555490000
2001-07-23,15632060000
2001-07-24,15420020000
2001-07-25,15903000000
2001-07-26,15903000000
2001-07-27,15626170000
2001-07-30,15643840000
2001-07-31,15932450000
2001-08-01,16009020000
2001-08-02,15590830000
2001-08-03,15420020000
2001-08-06,15278660000
2001-08-07,15661510000
2001-08-08,15537820000
2001-08-09,15849990000
2001-08-10,15855880000
2001-08-13,16256400000
2001-08-14,16598020000
2001-08-15,16704040000
2001-08-16,16656920000
2001-08-17,17022100000
2001-08-20,16880740000
2001-08-21,16674590000
2001-08-22,16745270000
2001-08-23,16715820000
2001-08-24,16933750000
2001-08-27,16963200000
2001-08-28,16562680000
2001-08-29,16639250000
2001-08-30,16815950000
2001-08-31,16509670000
2001-09-04,16698150000
2001-09-05,17039770000
2001-09-06,17022100000
2001-09-07,16798280000
2001-09-10,17063330000
2001-09-17,17092780000
2001-09-18,16957310000
2001-09-19,16810060000
2001-09-20,16609800000
2001-09-21,16244619999
2001-09-24,16138600000
2001-09-25,16450770000
2001-09-26,16910190000
2001-09-27,17616990000
2001-09-28,17616990000
2001-10-01,18090000000
2001-10-02,17436000000
2001-10-03,16968000000
2001-10-04,17112000000
2001-10-05,17340000000
2001-10-08,17430000000
2001-10-09,17394000000
2001-10-10,17424000000
2001-10-11,16974000000
2001-10-12,17147999999
2001-10-15,16890000000
2001-10-16,16800000000
2001-10-17,16764000000
2001-10-18,16146000000
2001-10-19,16704000000
2001-10-22,16968000000
2001-10-23,16932000000
2001-10-24,16416000000
2001-10-25,16242000000
2001-10-26,16290000000
2001-10-29,16056000000
2001-10-30,15768000000
2001-10-31,15768000000
2001-11-01,16020000000
2001-11-02,15972000000
2001-11-05,15102000000
2001-11-06,14976000000
2001-11-07,15606000000
2001-11-08,15552000000
2001-11-09,15474000000
2001-11-12,15762000000
2001-11-13,15954000000
2001-11-14,15647999999
2001-11-15,15797999999
2001-11-16,16026000000
2001-11-19,15954000000
2001-11-20,16146000000
2001-11-21,16086000000
2001-11-23,15972000000
2001-11-26,16146000000
2001-11-27,16140000000
2001-11-28,16350000000
2001-11-29,16902000000
2001-11-30,16950000000
2001-12-03,16782000000
2001-12-04,16746000000
2001-12-05,16397999999
2001-12-06,16170000000
2001-12-07,16614000000
2001-12-10,16656000000
2001-12-11,16746000000
2001-12-12,16554000000
2001-12-13,16374000000
2001-12-14,16770000000
2001-12-17,16866000000
2001-12-18,16782000000
2001-12-19,16884000000
2001-12-20,17046000000
2001-12-21,17388000000
2001-12-24,17382000000
2001-12-26,17490000000
2001-12-27,17442000000
2001-12-28,17472000000
2001-12-31,17478000000
2002-01-02,17310000000
2002-01-03,17130000000
2002-01-04,17226000000
2002-01-07,17100000000
2002-01-08,16944000000
2002-01-09,16764000000
2002-01-10,16842000000
2002-01-11,17214000000
2002-01-14,17304000000
2002-01-15,17280000000
2002-01-16,17196000000
2002-01-17,17364000000
2002-01-18,17394000000
2002-01-22,17538000000
2002-01-23,17946000000
2002-01-24,17178000000
2002-01-25,17118000000
2002-01-28,17208000000
2002-01-29,17016000000
2002-01-30,17520000000
2002-01-31,18198000000
2002-02-01,18090000000
2002-02-04,17778000000
2002-02-05,18144000000
2002-02-06,18066000000
2002-02-07,17808000000
2002-02-08,17832000000
2002-02-11,18090000000
2002-02-12,18186000000
2002-02-13,18252000000
2002-02-14,18312000000
2002-02-15,18444000000
2002-02-19,18042000000
2002-02-20,18216000000
2002-02-21,17910000000
2002-02-22,18084000000
2002-02-25,17880000000
2002-02-26,17766000000
2002-02-27,18156000000
2002-02-28,18084000000
2002-03-01,18048000000
2002-03-04,18252000000
2002-03-05,17982000000
2002-03-06,18108000000
2002-03-07,18156000000
2002-03-08,17928000000
2002-03-11,17844000000
2002-03-12,17964000000
2002-03-13,18078000000
2002-03-14,18204000000
2002-03-15,18840000000
2002-03-18,18702000000
2002-03-19,18600000000
2002-03-20,18504000000
2002-03-21,18870000000
2002-03-22,18840000000
2002-03-25,18996000000
2002-03-26,19230000000
2002-03-27,19428000000
2002-03-28,19398000000
2002-04-01,19227880000
2002-04-02,18932900000
2002-04-03,18619860000
2002-04-04,18920860000
2002-04-05,18854640000
2002-04-08,19161660000
2002-04-09,19294100000
2002-04-10,19450620000
2002-04-11,18932900000
2002-04-12,18722200000
2002-04-15,18686080000
2002-04-16,18812500000
2002-04-17,18475380000
2002-04-18,18950960000
2002-04-19,19149620000
2002-04-22,18740260000
2002-04-23,18517520000
2002-04-24,18433240000
2002-04-25,18361000000
2002-04-26,18523540000
2002-04-29,18102140000
2002-04-30,18607820000
2002-05-01,18740260000
2002-05-02,18643940000
2002-05-03,18613840000
2002-05-06,18445280000
2002-05-07,18186420000
2002-05-08,18156320000
2002-05-09,17981740000
2002-05-10,17873380000
2002-05-13,17957660000
2002-05-14,17975720000
2002-05-15,17445960000
2002-05-16,17271380000
2002-05-17,17494120000
2002-05-20,17319540000
2002-05-21,17337600000
2002-05-22,16976400000
2002-05-23,17307500000
2002-05-24,17259340000
2002-05-28,17102820000
2002-05-29,17512180000
2002-05-30,17488100000
2002-05-31,17560340000
2002-06-03,17265360000
2002-06-04,17096800000
2002-06-05,17030580000
2002-06-06,16536940000
2002-06-07,16482760000
2002-06-10,16807840000
2002-06-11,15965040000
2002-06-12,15242640000
2002-06-13,15037960000
2002-06-14,15194480000
2002-06-17,15591800000
2002-06-18,15910860000
2002-06-19,15892800000
2002-06-20,15489460000
2002-06-21,15001840000
2002-06-24,14935620000
2002-06-25,14622580000
2002-06-26,14417900000
2002-06-27,14749000000
2002-06-28,14538300000
2002-07-01,14025780000
2002-07-02,13712220000
2002-07-03,13464989999
2002-07-05,14164470000
2002-07-08,14001660000
2002-07-09,13477050000
2002-07-10,12928320000
2002-07-11,13097160000
2002-07-12,13446900000
2002-07-15,13416750000
2002-07-16,13483080000
2002-07-17,14218739999
2002-07-18,10480140000
2002-07-19,10401750000
2002-07-22,10136430000
2002-07-23,10443960000
2002-07-24,11348460000
2002-07-25,11758500000
2002-07-26,11981610000
2002-07-29,12741390000
2002-07-30,12524310000
2002-07-31,13073040000
2002-08-01,12506220000
2002-08-02,12524310000
2002-08-05,11710260000
2002-08-06,11921310000
2002-08-07,12120300000
2002-08-08,12500190000
2002-08-09,12409739999
2002-08-12,12252960000
2002-08-13,11951460000
2002-08-14,11631870000
2002-08-15,11613780000
2002-08-16,11137410000
2002-08-19,11511270000
2002-08-20,11420820000
2002-08-21,11788650000
2002-08-22,11957489999
2002-08-23,11728350000
2002-08-26,12132360000
2002-08-27,12337380000
2002-08-28,12234870000
2002-08-29,12144420000
2002-08-30,11885130000
2002-09-03,11493180000
2002-09-04,11746440000
2002-09-05,11662020000
2002-09-06,11529360000
2002-09-09,11571570000
2002-09-10,11547450000
2002-09-11,11432880000
2002-09-12,10673100000
2002-09-13,10624860000
2002-09-16,10938420000
2002-09-17,10588680000
2002-09-18,10811790000
2002-09-19,10757520000
2002-09-20,10576620000
2002-09-23,10160550000
2002-09-24,10263060000
2002-09-25,10667070000
2002-09-26,10841940000
2002-09-27,10287180000
2002-09-30,9926800000
2002-10-01,9621820000
2002-10-02,8569340000
2002-10-03,8802560000
2002-10-04,8736780000
2002-10-07,9071660000
2002-10-08,9245080000
2002-10-09,9185280000
2002-10-10,9257040000
2002-10-11,9304880000
2002-10-14,9532120000
2002-10-15,9747400000
2002-10-16,9508200000
2002-10-17,8688940000
2002-10-18,9041760000
2002-10-21,9227140000
2002-10-22,9191260000
2002-10-23,8952060000
2002-10-24,8587280000
2002-10-25,8838440000
2002-10-28,9005880000
2002-10-29,8688940000
2002-10-30,8162700000
2002-10-31,8126820000
2002-11-01,7869680000
2002-11-04,8168680000
2002-11-05,8168680000
2002-11-06,8348080000
2002-11-07,8366020000
2002-11-08,8581300000
2002-11-11,8557380000
2002-11-12,9089600000
2002-11-13,9376640000
2002-11-14,9741420000
2002-11-15,9765339999
2002-11-18,9825140000
2002-11-19,9956700000
2002-11-20,9681620000
2002-11-21,9938760000
2002-11-22,10160020000
2002-11-25,10166000000
2002-11-26,10219820000
2002-11-27,9914839999
2002-11-29,10393240000
2002-12-02,10225800000
2002-12-03,10303540000
2002-12-04,10423140000
2002-12-05,10297560000
2002-12-06,10393240000
2002-12-09,10417160000
2002-12-10,10166000000
2002-12-11,9346740000
2002-12-12,9436440000
2002-12-13,9436440000
2002-12-16,9633780000
2002-12-17,9579960000
2002-12-18,9496240000
2002-12-19,9322820000
2002-12-20,9179300000
2002-12-23,9119500000
2002-12-24,9179300000
2002-12-26,9065680000
2002-12-27,8981960000
2002-12-30,9041760000
2002-12-31,9095580000
2003-01-02,9322820000
2003-01-03,9274980000
2003-01-06,9520160000
2003-01-07,9406540000
2003-01-08,9436440000
2003-01-09,9843080000
2003-01-10,9878960000
2003-01-13,10082280000
2003-01-14,10136100000
2003-01-15,9890920000
2003-01-16,9962680000
2003-01-17,9861020000
2003-01-21,9819160000
2003-01-22,9597900000
2003-01-23,9502220000
2003-01-24,9358700000
2003-01-27,9257040000
2003-01-28,9406540000
2003-01-29,9310860000
2003-01-30,9113520000
2003-01-31,9155380000
2003-02-03,9197240000
2003-02-04,9161360000
2003-02-05,9089600000
2003-02-06,9101560000
2003-02-07,8934120000
2003-02-10,8724820000
2003-02-11,8671000000
2003-02-12,8527480000
2003-02-13,8461700000
2003-02-14,8802560000
2003-02-18,9035780000
2003-02-19,8934120000
2003-02-20,8904220000
2003-02-21,9125480000
2003-02-24,8970000000
2003-02-25,9125480000
2003-02-26,9143420000
2003-02-27,9185280000
2003-02-28,9221160000
2003-03-03,9280960000
2003-03-04,9298900000
2003-03-05,9346740000
2003-03-06,9304880000
2003-03-07,9322820000
2003-03-10,9179300000
2003-03-11,9017840000
2003-03-12,8856380000
2003-03-13,7014540000
2003-03-14,6386640000
2003-03-17,6560060000
2003-03-18,6637800000
2003-03-19,6823180000
2003-03-20,6697600000
2003-03-21,6649760000
2003-03-24,6320860000
2003-03-25,6368700000
2003-03-26,6350760000
2003-03-27,6350760000
2003-03-28,6225180000
2003-03-31,6057740000
2003-04-01,6027840000
2003-04-02,6237140000
2003-04-03,6165380000
2003-04-04,6057740000
2003-04-07,6099600000
2003-04-08,6165380000
2003-04-09,6207240000
2003-04-10,6255080000
2003-04-11,6410560000
2003-04-14,6500260000
2003-04-15,6530160000
2003-04-16,6219200000
2003-04-17,6290960000
2003-04-21,6368700000
2003-04-22,6566040000
2003-04-23,6960720000
2003-04-24,7056400000
2003-04-25,7008560000
2003-04-28,7253740000
2003-04-29,7199919999
2003-04-30,7469020000
2003-05-01,7504900000
2003-05-02,7612540000
2003-05-05,7546760000
2003-05-06,7451080000
2003-05-07,7451080000
2003-05-08,7307560000
2003-05-09,7307560000
2003-05-12,7385300000
2003-05-13,7522840000
2003-05-14,7618520000
2003-05-15,8001240000
2003-05-16,7307560000
2003-05-19,7301580000
2003-05-20,7439120000
2003-05-21,7492940000
2003-05-22,7594600000
2003-05-23,7744100000
2003-05-27,7714200000
2003-05-28,7762040000
2003-05-29,7738120000
2003-05-30,8234460000
2003-06-02,8096919999
2003-06-03,8234460000
2003-06-04,8330140000
2003-06-05,8455720000
2003-06-06,8473660000
2003-06-09,8258380000
2003-06-10,8377980000
2003-06-11,8593260000
2003-06-12,8318180000
2003-06-13,8132800000
2003-06-16,8443760000
2003-06-17,8581300000
2003-06-18,8533460000
2003-06-19,8306220000
2003-06-20,8419840000
2003-06-23,8192600000
2003-06-24,8156720000
2003-06-25,8120840000
2003-06-26,8246419999
2003-06-27,8168680000
2003-06-30,8316680000
2003-07-01,8187100000
2003-07-02,8004510000
2003-07-03,7998620000
2003-07-07,8081080000
2003-07-08,8039850000
2003-07-09,7998620000
2003-07-10,7969170000
2003-07-11,8116420000
2003-07-14,7992730000
2003-07-15,7922050000
2003-07-16,7674670000
2003-07-17,7845480000
2003-07-18,8316680000
2003-07-21,8357910000
2003-07-22,8622960000
2003-07-23,8587620000
2003-07-24,8622960000
2003-07-25,9041150000
2003-07-28,8799660000
2003-07-29,8581730000
2003-07-30,8764320000
2003-07-31,8835000000
2003-08-01,9058820000
2003-08-04,9058820000
2003-08-05,8734870000
2003-08-06,8823220000
2003-08-07,8929240000
2003-08-08,8882120000
2003-08-11,9070600000
2003-08-12,9052930000
2003-08-13,9005810000
2003-08-14,9023480000
2003-08-15,9064710000
2003-08-18,9111830000
2003-08-19,9070600000
2003-08-20,8905680000
2003-08-21,8846780000
2003-08-22,8611180000
2003-08-25,8723090000
2003-08-26,8823220000
2003-08-27,8622960000
2003-08-28,8876230000
2003-08-29,8994030000
2003-09-02,9158950000
2003-09-03,9117720000
2003-09-04,9117720000
2003-09-05,9206070000
2003-09-08,9329760000
2003-09-09,9217850000
2003-09-10,9406330000
2003-09-11,9535910000
2003-09-12,9812740000
2003-09-15,9759730000
2003-09-16,9588920000
2003-09-17,9600700000
2003-09-18,9759730000
2003-09-19,9641930000
2003-09-22,9477010000
2003-09-23,9588920000
2003-09-24,9294420000
2003-09-25,9335650000
2003-09-26,9235520000
2003-09-29,9194290000
2003-09-30,9663480000
2003-10-01,9938879999
2003-10-02,9938879999
2003-10-03,9871560000
2003-10-06,9908280000
2003-10-07,10122480000
2003-10-08,10177560000
2003-10-09,9938879999
2003-10-10,9975600000
2003-10-13,9975600000
2003-10-14,10018440000
2003-10-15,10012320000
2003-10-16,9859320000
2003-10-17,9681840000
2003-10-20,9785880000
2003-10-21,9602280000
2003-10-22,9473760000
2003-10-23,9559440000
2003-10-24,9632880000
2003-10-27,9473760000
2003-10-28,9608400000
2003-10-29,9424800000
2003-10-30,9137160000
2003-10-31,8837280000
2003-11-03,8953560000
2003-11-04,8788320000
2003-11-05,8806680000
2003-11-06,8849520000
2003-11-07,8947440000
2003-11-10,8898480000
2003-11-11,8910720000
2003-11-12,8953560000
2003-11-13,9290160000
2003-11-14,9351360000
2003-11-17,9186120000
2003-11-18,9020880000
2003-11-19,9124920000
2003-11-20,9008640000
2003-11-21,8971920000
2003-11-24,9088200000
2003-11-25,9094320000
2003-11-26,9180000000
2003-11-28,9247320000
2003-12-01,9406440000
2003-12-02,9357480000
2003-12-03,9388080000
2003-12-04,9461520000
2003-12-05,9375840000
2003-12-08,9810360000
2003-12-09,9773640000
2003-12-10,9847080000
2003-12-11,9957240000
2003-12-12,10036800000
2003-12-15,9987840000
2003-12-16,10140840000
2003-12-17,10183680000
2003-12-18,10342800000
2003-12-19,10195920000
2003-12-22,10275480000
2003-12-23,10104120000
2003-12-24,9945000000
2003-12-26,9969480000
2003-12-29,10055160000
2003-12-30,10091879999
2003-12-31,10146959999
2004-01-02,10030680000
2004-01-05,10079640000
2004-01-06,10116360000
2004-01-07,10306080000
2004-01-08,10177560000
2004-01-09,10073520000
2004-01-12,10036800000
2004-01-13,9963360000
2004-01-14,10177560000
2004-01-15,10440720000
2004-01-16,10526400000
2004-01-20,10550879999
2004-01-21,10336680000
2004-01-22,10391760000
2004-01-23,10275480000
2004-01-26,10379520000
2004-01-27,9773640000
2004-01-28,9565560000
2004-01-29,9559440000
2004-01-30,9694080000
2004-02-02,9785880000
2004-02-03,9896040000
2004-02-04,10000080000
2004-02-05,9902160000
2004-02-06,9896040000
2004-02-09,9926640000
2004-02-10,10122480000
2004-02-11,10208160000
2004-02-12,10263240000
2004-02-13,10202040000
2004-02-17,10208160000
2004-02-18,10134720000
2004-02-19,9975600000
2004-02-20,9779760000
2004-02-23,9626760000
2004-02-24,9651240000
2004-02-25,9651240000
2004-02-26,9620640000
2004-02-27,9681840000
2004-03-01,9773640000
2004-03-02,9755280000
2004-03-03,9730800000
2004-03-04,9859320000
2004-03-05,9969480000
2004-03-08,9828720000
2004-03-09,9914400000
2004-03-10,9792000000
2004-03-11,9675720000
2004-03-12,9816480000
2004-03-15,9761400000
2004-03-16,9908280000
2004-03-17,9896040000
2004-03-18,10042920000
2004-03-19,10024560000
2004-03-22,9822600000
2004-03-23,9883800000
2004-03-24,9889920000
2004-03-25,10134720000
2004-03-26,10171440000
2004-03-29,10269360000
2004-03-30,10244879999
2004-03-31,10286140000
2004-04-01,10280010000
2004-04-02,10384220000
2004-04-05,10512950000
2004-04-06,10488430000
2004-04-07,10408740000
2004-04-08,10365830000
2004-04-12,10414869999
2004-04-13,10322920000
2004-04-14,10139020000
2004-04-15,10482300000
2004-04-16,10506820000
2004-04-19,10561990000
2004-04-20,10935920000
2004-04-21,11309850000
2004-04-22,11236289999
2004-04-23,11089170000
2004-04-26,10807190000
2004-04-27,10886880000
2004-04-28,10611030000
2004-04-29,10519080000
2004-04-30,10537470000
2004-05-03,10653940000
2004-05-04,10727500000
2004-05-05,10942050000
2004-05-06,10874619999
2004-05-07,10727500000
2004-05-10,10574250000
2004-05-11,10537470000
2004-05-12,10555860000
2004-05-13,10611030000
2004-05-14,10709110000
2004-05-17,10574250000
2004-05-18,10580380000
2004-05-19,10445520000
2004-05-20,10519080000
2004-05-21,10525210000
2004-05-24,10457780000
2004-05-25,10322920000
2004-05-26,10224840000
2004-05-27,10500690000
2004-05-28,10470039999
2004-06-01,10561990000
2004-06-02,10629420000
2004-06-03,10586510000
2004-06-04,10684590000
2004-06-07,10868490000
2004-06-08,10899140000
2004-06-09,10856230000
2004-06-10,10923660000
2004-06-14,10905270000
2004-06-15,10850100000
2004-06-16,10935920000
2004-06-17,10929789999
2004-06-18,10929789999
2004-06-21,10886880000
2004-06-22,10978830000
2004-06-23,11487619999
2004-06-24,11334369999
2004-06-25,11432450000
2004-06-28,11407930000
2004-06-29,11475360000
2004-06-30,11531250000
2004-07-01,11340600000
2004-07-02,11242200000
2004-07-06,11100750000
2004-07-07,11156100000
2004-07-08,11199150000
2004-07-09,11254500000
2004-07-12,11229900000
2004-07-13,11211450000
2004-07-14,11199150000
2004-07-15,11131500000
2004-07-16,10873200000
2004-07-19,10879350000
2004-07-20,10897800000
2004-07-21,10780950000
2004-07-22,10288950000
2004-07-23,10067550000
2004-07-26,9870750000
2004-07-27,10061400000
2004-07-28,10024500000
2004-07-29,9926100000
2004-07-30,10049100000
2004-08-02,10129050000
2004-08-03,10141349999
2004-08-04,10288950000
2004-08-05,10129050000
2004-08-06,9999900000
2004-08-09,10006050000
2004-08-10,10258200000
2004-08-11,10405800000
2004-08-12,10393500000
2004-08-13,10375050000
2004-08-16,10559550000
2004-08-17,10522650000
2004-08-18,10639500000
2004-08-19,10602599999
2004-08-20,10676400000
2004-08-23,10553400000
