,BDX
2002-02-12,9273019880
2002-02-13,9193323840
2002-02-14,9208748880
2002-02-15,9380995160
2002-02-19,9273019880
2002-02-20,9252453160
2002-02-21,9188182160
2002-02-22,9278161560
2002-02-25,9275590720
2002-02-26,9429841120
2002-02-27,9360428440
2002-02-28,9195894680
2002-03-01,9296157440
2002-03-04,9388707680
2002-03-05,9198465520
2002-03-06,9237028120
2002-03-07,8997940000
2002-03-08,9152190400
2002-03-11,9175327960
2002-03-12,9108486120
2002-03-13,9162473760
2002-03-14,9175327960
2002-03-15,9342432560
2002-03-18,9303869960
2002-03-19,9224173920
2002-03-20,9098202760
2002-03-21,9149619560
2002-03-22,9093061080
2002-03-25,9005652520
2002-03-26,9113627800
2002-03-27,9319295000
2002-03-28,9452978680
2002-04-01,9330520947
2002-04-02,9229552490
2002-04-03,9281331186
2002-04-04,9260619708
2002-04-05,9131172969
2002-04-08,9151884447
2002-04-09,9364177099
2002-04-10,9672260338
2002-04-11,9540224664
2002-04-12,9646370990
2002-04-15,9617892707
2002-04-16,9711094359
2002-04-17,9576469751
2002-04-18,9454789816
2002-04-19,9426311533
2002-04-22,9516924251
2002-04-23,9452200881
2002-04-24,9312398403
2002-04-25,9537635729
2002-04-26,9457378751
2002-04-29,9258030773
2002-04-30,9382299642
2002-05-01,9527279990
2002-05-02,9449611947
2002-05-03,9426311533
2002-05-06,9364177099
2002-05-07,9201074208
2002-05-08,9387477512
2002-05-09,9203663142
2002-05-10,9154473382
2002-05-13,9216607816
2002-05-14,9198485273
2002-05-15,9219196751
2002-05-16,9237319295
2002-05-17,9377121773
2002-05-20,9377121773
2002-05-21,9426311533
2002-05-22,9387477512
2002-05-23,9459967686
2002-05-24,9449611947
2002-05-28,9403011120
2002-05-29,9498801707
2002-05-30,9514335316
2002-05-31,9491034903
2002-06-03,9560936142
2002-06-04,9390066447
2002-06-05,9314987338
2002-06-06,9115639360
2002-06-07,9162240186
2002-06-10,9167418055
2002-06-11,9040560251
2002-06-12,8859334817
2002-06-13,8833445469
2002-06-14,8830856534
2002-06-17,8996548360
2002-06-18,9079394273
2002-06-19,8882635230
2002-06-20,8833445469
2002-06-21,8701409795
2002-06-24,8758366360
2002-06-25,8496883947
2002-06-26,8678109382
2002-06-27,8758366360
2002-06-28,8696231926
2002-07-01,8459417633
2002-07-02,7758105451
2002-07-03,7773518906
2002-07-05,8061236724
2002-07-08,7940497997
2002-07-09,7663055815
2002-07-10,7511490179
2002-07-11,7259737088
2002-07-12,7496076724
2002-07-15,7388182542
2002-07-16,7339373270
2002-07-17,7578281815
2002-07-18,7000277270
2002-07-19,6263000361
2002-07-22,6476219815
2002-07-23,6417134906
2002-07-24,6650905634
2002-07-25,6753661997
2002-07-26,6812746906
2002-07-29,6928347815
2002-07-30,7138998361
2002-07-31,7277719451
2002-08-01,7303408542
2002-08-02,7357355633
2002-08-05,7043948724
2002-08-06,7187807633
2002-08-07,7262305997
2002-08-08,7444698542
2002-08-09,7488369997
2002-08-12,7514059088
2002-08-13,7323959815
2002-08-14,7462680906
2002-08-15,7488369997
2002-08-16,7434422906
2002-08-19,7639935633
2002-08-20,7660486906
2002-08-21,7691313815
2002-08-22,7863430724
2002-08-23,7770949997
2002-08-26,7850586179
2002-08-27,7701589451
2002-08-28,7616815451
2002-08-29,7562868360
2002-08-30,7645073451
2002-09-03,7362493451
2002-09-04,7588557451
2002-09-05,7508921270
2002-09-06,7627091088
2002-09-09,7678469270
2002-09-10,7650211270
2002-09-11,7627091088
2002-09-12,7501214542
2002-09-13,7547454906
2002-09-16,7588557451
2002-09-17,7429285088
2002-09-18,7439560724
2002-09-19,7252030361
2002-09-20,7200652179
2002-09-23,7110740361
2002-09-24,7005415088
2002-09-25,7287995088
2002-09-26,7226341270
2002-09-27,7169825270
2002-09-30,7113309270
2002-10-01,7326528724
2002-10-02,7198083270
2002-10-03,7290563997
2002-10-04,7298270724
2002-10-07,7475525451
2002-10-08,7244323633
2002-10-09,7151842906
2002-10-10,7239185815
2002-10-11,7318821997
2002-10-14,7449836361
2002-10-15,7326528724
2002-10-16,7403595997
2002-10-17,7606539815
2002-10-18,7562868360
2002-10-21,7534610360
2002-10-22,7424147270
2002-10-23,7478094360
2002-10-24,7413871633
2002-10-25,7639935633
2002-10-28,7532041451
2002-10-29,7496076724
2002-10-30,7452405270
2002-10-31,7390751451
2002-11-01,7601401997
2002-11-04,7606539815
2002-11-05,7693882724
2002-11-06,7940497997
2002-11-07,7765812179
2002-11-08,7714433997
2002-11-11,7519196906
2002-11-12,7580850724
2002-11-13,7555161633
2002-11-14,7514059088
2002-11-15,7498645633
2002-11-18,7591126360
2002-11-19,7226341270
2002-11-20,7449836361
2002-11-21,7490938906
2002-11-22,7526903633
2002-11-25,7444698542
2002-11-26,7393320361
2002-11-27,7390751451
2002-11-29,7431853997
2002-12-02,7516627997
2002-12-03,7562868360
2002-12-04,7627091088
2002-12-05,7678469270
2002-12-06,7742691997
2002-12-09,7742691997
2002-12-10,7670762542
2002-12-11,7673331451
2002-12-12,7678469270
2002-12-13,7681038179
2002-12-16,7701589451
2002-12-17,7616815451
2002-12-18,7673331451
2002-12-19,7603970906
2002-12-20,7732416360
2002-12-23,7655349088
2002-12-24,7637366724
2002-12-26,7637366724
2002-12-27,7624522179
2002-12-30,7619384360
2002-12-31,7557204281
2003-01-02,7766845977
2003-01-03,7534472049
2003-01-06,7506688210
2003-01-07,7478904370
2003-01-08,7347562585
2003-01-09,7251582049
2003-01-10,7289469103
2003-01-13,7418285085
2003-01-14,7415759281
2003-01-15,7390501245
2003-01-16,7415759281
2003-01-17,7387975442
2003-01-21,7511739817
2003-01-22,7380398031
2003-01-23,7961332852
2003-01-24,7953755441
2003-01-27,8004271513
2003-01-28,8254326066
2003-01-29,8236645441
2003-01-30,8135613298
2003-01-31,8077519816
2003-02-03,7999219906
2003-02-04,7855249102
2003-02-05,7867878120
2003-02-06,7900713566
2003-02-07,7792104013
2003-02-10,7880507138
2003-02-11,7807258834
2003-02-12,7726433120
2003-02-13,7769371781
2003-02-14,7915868388
2003-02-18,8097726245
2003-02-19,8107829459
2003-02-20,8241697048
2003-02-21,8393245263
2003-02-24,8176026156
2003-02-25,8274532495
2003-02-26,8229068031
2003-02-27,8415977495
2003-02-28,8471545173
2003-03-03,8400822673
2003-03-04,8244222852
2003-03-05,8322522763
2003-03-06,8322522763
2003-03-07,8362935620
2003-03-10,8085097227
2003-03-11,7948703834
2003-03-12,7986590888
2003-03-13,8274532495
2003-03-14,8052261781
2003-03-17,8218964816
2003-03-18,8519535441
2003-03-19,8436183923
2003-03-20,8532164459
2003-03-21,8807477048
2003-03-24,8597835352
2003-03-25,8610464370
2003-03-26,8421029102
2003-03-27,8370513030
2003-03-28,8539741870
2003-03-31,8522735700
2003-04-01,8649637661
2003-04-02,8624257269
2003-04-03,8563344328
2003-04-04,8416138053
2003-04-07,8438980406
2003-04-08,8398371778
2003-04-09,8319692563
2003-04-10,8388219622
2003-04-11,8167410209
2003-04-14,8152181974
2003-04-15,8065888641
2003-04-16,7893301974
2003-04-17,7931372562
2003-04-21,7956752954
2003-04-22,8190252562
2003-04-23,8355225112
2003-04-24,8263855700
2003-04-25,8748621191
2003-04-28,8738469034
2003-04-29,8796843936
2003-04-30,8758773348
2003-05-01,8697860406
2003-05-02,8817148250
2003-05-05,8908517662
2003-05-06,8951664328
2003-05-07,9032881583
2003-05-08,9032881583
2003-05-09,9131865113
2003-05-12,9347598447
2003-05-13,9241000800
2003-05-14,9284147466
2003-05-15,9332370211
2003-05-16,9175011780
2003-05-19,9015115309
2003-05-20,9043033740
2003-05-21,9388207074
2003-05-22,9388207074
2003-05-23,9329832172
2003-05-27,9525261192
2003-05-28,9576021977
2003-05-29,9700385898
2003-05-30,9898352958
2003-06-02,9974494134
2003-06-03,9959265899
2003-06-04,9997336487
2003-06-05,10004950605
2003-06-06,9944037663
2003-06-09,9786679232
2003-06-10,9946575703
2003-06-11,9933885507
2003-06-12,9933885507
2003-06-13,9931347467
2003-06-16,9949113742
2003-06-17,9994798448
2003-06-18,9992260409
2003-06-19,9499880800
2003-06-20,9350136486
2003-06-23,9266381192
2003-06-24,9306989819
2003-06-25,9309527858
2003-06-26,9517647075
2003-06-27,9527799231
2003-06-30,9458787520
2003-07-01,9566160240
2003-07-02,9738456000
2003-07-03,9618598080
2003-07-07,9676030000
