,MAT
2000-08-01,4716983625
2000-08-02,4663684375
2000-08-03,4663684375
2000-08-04,4823582125
2000-08-07,4796932500
2000-08-08,4663684375
2000-08-09,4477137000
2000-08-10,4503786625
2000-08-11,4530436250
2000-08-14,4663684375
2000-08-15,4716983625
2000-08-16,4690334000
2000-08-17,4557085875
2000-08-18,4663684375
2000-08-21,4583735500
2000-08-22,4530436250
2000-08-23,4477137000
2000-08-24,4450487375
2000-08-25,4557085875
2000-08-28,4343888875
2000-08-29,4503786625
2000-08-30,4450487375
2000-08-31,4217303156
2000-09-01,4397188125
2000-09-05,4317239250
2000-09-06,4290589625
2000-09-07,4610385125
2000-09-08,4610385125
2000-09-11,4503786625
2000-09-12,4477137000
2000-09-13,4503786625
2000-09-14,4876881375
2000-09-15,4690334000
2000-09-18,4477137000
2000-09-19,4503786625
2000-09-20,4503786625
2000-09-21,4583735500
2000-09-22,4477137000
2000-09-25,4530436250
2000-09-26,4530436250
2000-09-27,5223326500
2000-09-28,4956830250
2000-09-29,4903531000
2000-10-02,4881000226
2000-10-03,4827362861
2000-10-04,4988274956
2000-10-05,4934637591
2000-10-06,4934637591
2000-10-09,5095549686
2000-10-10,4961456274
2000-10-11,4988274956
2000-10-12,4854181543
2000-10-13,4720088131
2000-10-16,4666450765
2000-10-17,4639632083
2000-10-18,4746906813
2000-10-19,4907818908
2000-10-20,4854181543
2000-10-23,5068731004
2000-10-24,5122368369
2000-10-25,5095549686
2000-10-26,5310099147
2000-10-27,5256461782
2000-10-30,5471011242
2000-10-31,5551467290
2000-11-01,5578285973
2000-11-02,5685560703
2000-11-03,5685560703
2000-11-06,5792835433
2000-11-07,5712379385
2000-11-08,5658742020
2000-11-09,5444192560
2000-11-10,5497829925
2000-11-13,5926928846
2000-11-14,5900110163
2000-11-15,5953747528
2000-11-16,5819654116
2000-11-17,5846472798
2000-11-20,5846472798
2000-11-21,5712379385
2000-11-22,5712379385
2000-11-24,5658742020
2000-11-27,5605104655
2000-11-28,5524648607
2000-11-29,5471011242
2000-11-30,5417373877
2000-12-01,5417373877
2000-12-04,5689851692
2000-12-05,5784253455
2000-12-06,5887237196
2000-12-07,5771380487
2000-12-08,5758507519
2000-12-11,5921565109
2000-12-12,5844327304
2000-12-13,5711306638
2000-12-14,5604031908
2000-12-15,5719888616
2000-12-18,5526794102
2000-12-19,5363736512
2000-12-20,5389482447
2000-12-21,5458138275
2000-12-22,5681269714
2000-12-26,5694142681
2000-12-27,5977347969
2000-12-28,6114659624
2000-12-29,6196188419
2001-01-02,5890123200
2001-01-03,6208275840
2001-01-04,6664008000
2001-01-05,6664008000
2001-01-08,6745695840
2001-01-09,6543625920
2001-01-10,6556524000
2001-01-11,6453339360
2001-01-12,6431842560
2001-01-16,6449040000
2001-01-17,6509231040
2001-01-18,6625313760
2001-01-19,6616715040
2001-01-22,6449040000
2001-01-23,6427543200
2001-01-24,6380250240
2001-01-25,6285664320
2001-01-26,6315759840
2001-01-29,6655409280
2001-01-30,6341556000
2001-01-31,6388848960
2001-02-01,6694103520
2001-02-02,6943466399
2001-02-05,7085345280
2001-02-06,6986460000
2001-02-07,7179931629
2001-02-08,7201428000
2001-02-09,6986460000
2001-02-12,7033753389
2001-02-13,7265918399
2001-02-14,7308912000
2001-02-15,7403497490
2001-02-16,7265918399
2001-02-20,7373402399
2001-02-21,7304612639
2001-02-22,7257319250
2001-02-23,7227223730
2001-02-26,7188529490
2001-02-27,7296013490
2001-02-28,7291714130
2001-03-01,7265918399
2001-03-02,7308912000
2001-03-05,7214326509
2001-03-06,7339007520
2001-03-07,7485185760
2001-03-08,7682956749
2001-03-09,7936618130
2001-03-12,7919421120
2001-03-13,7803338399
2001-03-14,7781841600
2001-03-15,7975312370
2001-03-16,7609867629
2001-03-19,7863529869
2001-03-20,8018306399
2001-03-21,8082796370
2001-03-22,7747446720
2001-03-23,7661459520
2001-03-26,7768943520
2001-03-27,7635663360
2001-03-28,7627064639
2001-03-29,7558274879
2001-03-30,7627064639
2001-04-02,7713271099
2001-04-03,7605543849
2001-04-04,7433180250
2001-04-05,7648634750
2001-04-06,7424562070
2001-04-09,7523670709
2001-04-10,7622780640
2001-04-11,7286671190
2001-04-12,7269435260
2001-04-16,6894544000
2001-04-17,7049671670
2001-04-18,7295289370
2001-04-19,6653234960
2001-04-20,6967798530
2001-04-23,6735107670
2001-04-24,6894544000
2001-04-25,7045362150
2001-04-26,6980726230
2001-04-27,7088453480
2001-04-30,6959180349
2001-05-01,6993653070
2001-05-02,6997962159
2001-05-03,6894544000
2001-05-04,6885925820
2001-05-07,6847144010
2001-05-08,7066907599
2001-05-09,6872998550
2001-05-10,6765271300
2001-05-11,6679089500
2001-05-14,7010889430
2001-05-15,6773889480
2001-05-16,6765271300
2001-05-17,7058288989
2001-05-18,7122926200
2001-05-21,7071216690
2001-05-22,7252198469
2001-05-23,7411635230
2001-05-24,7799452900
2001-05-25,7782216109
2001-05-29,7734816980
2001-05-30,7665871540
2001-05-31,7670179769
2001-06-01,7717580190
2001-06-04,7795143810
2001-06-05,7846852459
2001-06-06,7846852459
2001-06-07,7967507409
2001-06-08,7877016950
2001-06-11,7872707430
2001-06-12,7881326040
2001-06-13,7696035170
2001-06-14,7631397959
2001-06-15,7553835200
2001-06-18,7739125209
2001-06-19,7747743820
2001-06-20,7670179769
2001-06-21,7704652489
2001-06-22,7596925239
2001-06-25,7631397959
2001-06-26,7540907500
2001-06-27,7967507409
2001-06-28,7907180150
2001-06-29,8152798280
2001-07-02,8064375431
2001-07-03,8163562500
2001-07-05,8068687068
2001-07-06,7844437931
2001-07-09,7809937931
2001-07-10,7887562931
2001-07-11,7835812500
2001-07-12,7896187068
2001-07-13,8034187068
2001-07-16,8042812499
2001-07-17,8180812068
2001-07-18,8103187931
2001-07-19,8064375431
2001-07-20,7973812499
2001-07-23,7904812499
2001-07-24,7719374999
2001-07-25,7715062068
2001-07-26,7934999999
2001-07-27,7844437931
2001-07-30,7719374999
2001-07-31,7719374999
2001-08-01,7719374999
2001-08-02,7671937931
2001-08-03,7637437068
2001-08-06,7508062500
2001-08-07,7654687500
2001-08-08,7546875000
2001-08-09,7546875000
2001-08-10,7508062500
2001-08-13,7516687500
2001-08-14,7646062500
2001-08-15,7654687500
2001-08-16,7762500000
2001-08-17,7762500000
2001-08-20,7822874568
2001-08-21,7745249568
2001-08-22,7788374568
2001-08-23,7715062068
2001-08-24,7766812500
2001-08-27,7710749568
2001-08-28,7615875000
2001-08-29,7667625431
2001-08-30,7615875000
2001-08-31,7758187499
2001-09-04,8055750000
2001-09-05,8163562500
2001-09-06,7973812499
2001-09-07,7848750431
2001-09-10,7581374999
2001-09-17,7240687931
2001-09-18,6900000000
2001-09-19,6774937500
2001-09-20,6684375000
2001-09-21,7007812500
2001-09-24,6908625000
2001-09-25,6770625000
2001-09-26,6856875000
2001-09-27,6550687500
2001-09-28,6753375000
2001-10-01,6580982520
2001-10-02,7012805519
2001-10-03,7077578538
2001-10-04,7220080128
2001-10-05,7189852949
2001-10-08,7090533660
2001-10-09,7172580461
2001-10-10,7578493218
2001-10-11,7695085860
2001-10-12,7604403461
2001-10-15,7535311781
2001-10-16,7686448968
2001-10-17,7556902500
2001-10-18,7898043101
2001-10-19,7954179660
2001-10-22,8165772930
2001-10-23,7967134781
2001-10-24,7971452148
2001-10-25,8200318769
2001-10-26,8247819300
2001-10-29,8204637000
2001-10-30,8183046281
2001-10-31,8174409390
2001-11-01,8204637000
2001-11-02,8174409390
2001-11-05,8312592750
2001-11-06,8269410449
2001-11-07,8023271339
2001-11-08,8131227089
2001-11-09,7898043101
2001-11-12,8204637000
2001-11-13,8386002660
2001-11-14,8286683801
2001-11-15,8528504250
2001-11-16,8390320890
2001-11-19,8416230269
2001-11-20,8161454699
2001-11-21,8122590198
2001-11-23,8200318769
2001-11-26,7997361960
2001-11-27,7828950558
2001-11-28,7993043730
2001-11-29,7949861430
2001-11-30,7949861430
2001-12-03,7867814628
2001-12-04,7902360468
2001-12-05,8204637000
2001-12-06,7906678698
2001-12-07,7803041610
2001-12-10,7777132230
2001-12-11,7647584898
2001-12-12,7600084800
2001-12-13,7578493218
2001-12-14,7733949930
2001-12-17,7772814000
2001-12-18,7492129050
2001-12-19,7448946750
2001-12-20,7457583210
2001-12-21,7643267531
2001-12-24,7798722948
2001-12-26,7733949930
2001-12-27,7673494710
2001-12-28,7431673398
2001-12-31,7441408432
2002-01-02,7268351567
2002-01-03,7354880000
2002-01-04,7644748800
2002-01-07,7692339632
2002-01-08,7705317967
2002-01-09,7787520000
2002-01-10,7852415999
2002-01-11,7917311567
2002-01-14,7787520000
2002-01-15,7744255999
2002-01-16,7787520000
2002-01-17,7787520000
2002-01-18,7791846400
2002-01-22,7705317967
2002-01-23,7618790832
2002-01-24,7592831567
2002-01-25,7614464000
2002-01-28,7778867200
2002-01-29,7809151567
2002-01-30,8068735999
2002-01-31,8220160000
2002-02-01,8233139632
2002-02-04,7895680000
2002-02-05,7744255999
2002-02-06,7527935999
2002-02-07,7497651199
2002-02-08,7679360000
2002-02-11,7614464000
2002-02-12,7575526400
2002-02-13,7852415999
2002-02-14,7830784000
2002-02-15,7817804800
2002-02-19,7588506032
2002-02-20,7774540367
2002-02-21,7679360000
2002-02-22,7653402032
2002-02-25,7718297600
2002-02-26,7934617600
2002-02-27,8176895999
2002-02-28,8198528432
2002-03-01,8198528432
2002-03-04,8233139632
2002-03-05,8220160000
2002-03-06,8306688432
2002-03-07,8280729167
2002-03-08,8336972800
2002-03-11,8194202032
2002-03-12,8133631567
2002-03-13,8237466032
2002-03-14,8146611199
2002-03-15,8670106032
2002-03-18,8670106032
2002-03-19,8821529167
2002-03-20,8860467200
2002-03-21,8929689167
2002-03-22,9085440000
2002-03-25,9016217600
2002-03-26,8959973967
2002-03-27,9107071567
2002-03-28,9016217600
2002-04-01,8953831456
2002-04-02,8949469680
2002-04-03,8940747000
2002-04-04,8844797956
2002-04-05,8818629043
2002-04-08,8801184120
2002-04-09,8875326900
2002-04-10,9115200600
2002-04-11,9123923280
2002-04-12,9180620263
2002-04-15,9123923280
2002-04-16,9049780500
2002-04-17,8679066600
2002-04-18,9071586763
2002-04-19,8809907236
2002-04-22,9049780500
2002-04-23,8997443983
2002-04-24,9049780500
2002-04-25,9267847500
2002-04-26,9023612896
2002-04-29,9071586763
2002-04-30,9001805323
2002-05-01,8901494940
2002-05-02,8918940736
2002-05-03,8744486263
2002-05-06,8718318660
2002-05-07,8626730956
2002-05-08,8766293400
2002-05-09,8644175880
2002-05-10,8596200703
2002-05-13,8635452763
2002-05-14,8657259900
2002-05-15,8679066600
2002-05-16,8722680000
2002-05-17,8905856280
2002-05-20,8897133600
2002-05-21,8657259900
2002-05-22,8740125796
2002-05-23,8766293400
2002-05-24,8844797956
2002-05-28,8696512396
2002-05-29,9102117016
2002-05-30,8949469680
2002-05-31,9263486160
2002-06-03,8910217620
2002-06-04,8870965560
2002-06-05,9180620263
2002-06-06,9062864956
2002-06-07,9254763043
2002-06-10,9376881000
2002-06-11,9464108236
2002-06-12,9376881000
2002-06-13,9158814000
2002-06-14,9054141840
2002-06-17,9376881000
2002-06-18,9498998956
2002-06-19,9494637180
2002-06-20,9525166560
2002-06-21,9682175236
2002-06-24,9616754263
2002-06-25,9490275840
2002-06-26,9219872323
2002-06-27,9507720763
2002-06-28,9193704720
2002-07-01,9084378046
2002-07-02,8940180703
2002-07-03,8708592870
2002-07-05,9066899250
2002-07-08,9001355400
2002-07-09,8962029090
2002-07-10,8704223280
2002-07-11,8787245926
2002-07-12,8520700500
2002-07-15,8284742203
2002-07-16,8245416766
2002-07-17,8088111090
2002-07-18,8000718853
2002-07-19,8070632293
2002-07-22,7904588310
2002-07-23,7585608676
2002-07-24,8079371909
2002-07-25,7729805146
2002-07-26,7782239353
2002-07-29,8297851409
2002-07-30,8245416766
2002-07-31,8219198353
2002-08-01,8057524396
2002-08-02,7799718150
2002-08-05,7904588310
2002-08-06,8153654940
2002-08-07,8149285349
2002-08-08,8310960180
2002-08-09,8284742203
2002-08-12,8424569956
2002-08-13,8114328630
2002-08-14,8533809706
2002-08-15,8743549590
2002-08-16,8726070793
2002-08-19,8835310543
2002-08-20,8730440820
2002-08-21,8778506310
2002-08-22,9154291486
2002-08-23,8892115650
2002-08-26,8800353823
2002-08-27,8669266560
2002-08-28,8643049456
2002-08-29,8503221703
2002-08-30,8490113370
2002-09-03,8345916900
2002-09-04,8538179296
2002-09-05,8437677853
2002-09-06,8669266560
2002-09-09,8809093440
2002-09-10,8918333190
2002-09-11,8887746060
2002-09-12,8782875900
2002-09-13,8752289206
2002-09-16,8621201070
2002-09-17,8276003896
2002-09-18,8131807426
2002-09-19,8035675573
2002-09-20,8192981250
2002-09-23,8066262703
2002-09-24,8018197650
2002-09-25,8297851409
2002-09-26,8503221703
2002-09-27,7900218719
2002-09-30,7877051710
2002-10-01,7938283649
2002-10-02,7365327640
2002-10-03,7763335250
2002-10-04,7933909502
2002-10-07,7688982179
2002-10-08,7973273330
2002-10-09,7570891572
2002-10-10,6888593250
2002-10-11,6971693740
2002-10-14,6997936000
2002-10-15,7151015850
2002-10-16,6910461800
2002-10-17,8191958830
2002-10-18,8025757850
2002-10-21,8353786100
2002-10-22,8156969149
2002-10-23,7842062030
2002-10-24,7815820207
2002-10-25,8174464427
2002-10-28,8126353179
2002-10-29,8038878542
2002-10-30,7942657360
2002-10-31,8030131997
2002-11-01,8257564042
2002-11-04,8025757850
2002-11-05,8047626399
2002-11-06,8047626399
2002-11-07,8148221292
2002-11-08,8209453670
2002-11-11,7898919822
2002-11-12,8135100600
2002-11-13,8095737210
2002-11-14,8318796420
2002-11-15,8484997399
2002-11-18,8554976322
2002-11-19,8572471600
2002-11-20,8848015330
2002-11-21,8747420000
2002-11-22,8813025650
2002-11-25,8869884317
2002-11-26,8821773070
2002-11-27,9053580137
2002-11-29,9018590457
2002-12-02,8987973612
2002-12-03,8834894637
2002-12-04,8887378720
2002-12-05,8830520927
2002-12-06,8874258027
2002-12-09,8799904957
2002-12-10,8839267472
2002-12-11,8725551887
2002-12-12,8782409680
2002-12-13,8725551887
2002-12-16,8887378720
2002-12-17,8633703540
2002-12-18,8515612932
2002-12-19,8441259862
2002-12-20,8515612932
2002-12-23,8419391750
2002-12-24,8327544277
2002-12-26,8366906792
2002-12-27,8296927432
2002-12-30,8318796420
2002-12-31,8392774749
2003-01-02,8721473500
2003-01-03,8576846050
2003-01-06,8546167500
2003-01-07,8524254688
2003-01-08,8348947811
2003-01-09,8642585361
2003-01-10,8721473500
2003-01-13,8835422400
2003-01-14,8765300000
2003-01-15,8752151611
2003-01-16,8852953438
2003-01-17,8835422400
2003-01-21,8589994000
2003-01-22,8528636461
2003-01-23,8765300000
2003-01-24,8782831038
2003-01-27,8699560250
2003-01-28,8712707761
2003-01-29,8717090411
2003-01-30,8502340999
2003-01-31,8765300000
2003-02-03,9216713388
2003-02-04,8905544800
2003-02-05,9199182350
2003-02-06,9142208338
2003-02-07,9172886450
2003-02-10,9181652188
2003-02-11,9137825250
2003-02-12,8988815150
2003-02-13,8984432500
2003-02-14,9142208338
2003-02-18,9203565000
2003-02-19,9072085938
2003-02-20,9291218438
2003-02-21,9291218438
2003-02-24,9137825250
2003-02-25,9229860461
2003-02-26,9256157238
2003-02-27,9378871000
2003-02-28,9343809800
2003-03-03,9457758700
2003-03-04,9159738500
2003-03-05,9172886450
2003-03-06,9159738500
2003-03-07,9203565000
2003-03-10,9032642088
2003-03-11,8844187700
2003-03-12,8861717861
2003-03-13,9199182350
2003-03-14,9269304750
2003-03-17,9532263750
2003-03-18,9641830000
2003-03-19,9637447350
2003-03-20,9742630950
2003-03-21,10102007811
2003-03-24,9641830000
2003-03-25,9909172088
2003-03-26,9821518650
2003-03-27,9860962500
2003-03-28,9768927288
2003-03-31,9893250000
2003-04-01,9827295000
2003-04-02,9937220000
2003-04-03,10029556560
2003-04-04,9888853000
2003-04-07,9893250000
2003-04-08,10108703000
2003-04-09,9805309560
2003-04-10,9796516439
2003-04-11,9800913439
2003-04-14,9893250000
2003-04-15,9915234560
2003-04-16,9937220000
2003-04-17,9202921000
2003-04-21,9326036560
2003-04-22,9519505000
2003-04-23,9559078000
2003-04-24,9563475000
2003-04-25,9400785560
2003-04-28,9440358560
2003-04-29,9497520000
2003-04-30,9559078000
2003-05-01,9409580000
2003-05-02,9497520000
2003-05-05,9647018439
2003-05-06,9897647000
2003-05-07,9809706560
2003-05-08,9884456000
2003-05-09,9893250000
2003-05-12,10069130000
2003-05-13,10047145000
2003-05-14,9902044000
2003-05-15,9928426000
2003-05-16,9893250000
2003-05-19,9748149000
2003-05-20,9479931560
2003-05-21,9295257560
2003-05-22,9449153000
2003-05-23,9431565439
2003-05-27,9457947000
2003-05-28,9246891439
2003-05-29,9282067439
2003-05-30,9457947000
2003-06-02,9444756000
2003-06-03,9409580000
2003-06-04,9545886560
2003-06-05,9356816439
2003-06-06,9114981000
2003-06-09,8939101000
2003-06-10,8996261560
2003-06-11,9035834560
2003-06-12,9163348000
2003-06-13,9466741439
2003-06-16,9277670000
2003-06-17,9352419000
2003-06-18,9114981000
2003-06-19,9114981000
2003-06-20,9057820000
2003-06-23,8965482560
2003-06-24,8657693439
2003-06-25,8521385560
2003-06-26,8503798000
2003-06-27,8407064439
2003-06-30,8311839800
2003-07-01,8746761650
2003-07-02,8860983550
2003-07-03,8860983550
2003-07-07,8707223300
2003-07-08,8711616450
2003-07-09,8720402750
2003-07-10,8764334689
2003-07-11,8904915050
2003-07-14,8896128750
2003-07-15,8913701789
2003-07-16,8904915050
2003-07-17,8720402750
2003-07-18,8676471250
2003-07-21,8821445200
2003-07-22,8834625089
2003-07-23,9058675739
2003-07-24,8966419150
2003-07-25,8940060250
2003-07-28,8874163439
2003-07-29,8645719200
2003-07-30,8535890450
2003-07-31,8535890450
2003-08-01,8448027450
2003-08-04,8355771300
2003-08-05,8259121560
2003-08-06,8325019689
2003-08-07,8426061700
2003-08-08,8562249349
2003-08-11,8434848439
2003-08-12,8522710999
2003-08-13,8364558039
2003-08-14,8597394550
2003-08-15,8632539750
2003-08-18,8676471250
2003-08-19,8575428800
2003-08-20,8830231500
2003-08-21,8808265310
2003-08-22,8588607810
2003-08-25,8513924260
2003-08-26,8544677189
2003-08-27,8544677189
2003-08-28,8434848439
2003-08-29,8487565800
2003-09-02,8742368500
2003-09-03,8751154800
2003-09-04,8808265310
2003-09-05,8786300000
2003-09-08,8786300000
2003-09-09,8746761650
2003-09-10,8553463049
2003-09-11,8667684950
2003-09-12,8698437000
2003-09-15,8658898650
2003-09-16,8606180850
2003-09-17,8540283600
2003-09-18,8509531550
2003-09-19,8606180850
2003-09-22,8645719200
2003-09-23,8821445200
2003-09-24,8456813750
2003-09-25,8478779500
2003-09-26,8412882249
2003-09-29,8434848000
2003-09-30,8118084240
2003-10-01,8143774380
2003-10-02,8109520860
2003-10-03,8186591280
2003-10-06,8490591269
2003-10-07,8559098309
2003-10-08,8503436340
2003-10-09,8661858870
2003-10-10,8700394080
2003-10-13,8811718020
2003-10-14,8717520840
2003-10-15,8563380000
2003-10-16,8529126480
2003-10-17,8242253250
2003-10-20,8310760290
2003-10-21,8199436349
2003-10-22,8135211000
2003-10-23,8100957480
2003-10-24,8118084240
2003-10-27,8088112410
2003-10-28,8135211000
2003-10-29,8148056070
2003-10-30,8293633530
2003-10-31,8289351840
2003-11-03,8383549019
2003-11-04,8409239160
2003-11-05,8473464510
2003-11-06,8366422260
2003-11-07,8477746200
2003-11-10,8409239160
2003-11-11,8516281410
2003-11-12,8503436340
2003-11-13,8567661690
2003-11-14,8297915220
2003-11-17,8186591280
2003-11-18,8070985650
2003-11-19,8113802550
2003-11-20,8156619450
2003-11-21,8332168740
2003-11-24,8460619440
2003-11-25,8499154650
2003-11-26,8623323660
2003-11-28,8666140560
2003-12-01,8743210980
2003-12-02,8649013800
2003-12-03,8374985639
2003-12-04,8404957470
2003-12-05,8332168740
2003-12-08,8242253250
2003-12-09,8178027900
2003-12-10,8259380010
2003-12-11,8285070150
2003-12-12,8255098320
2003-12-15,8293633530
2003-12-16,8319323670
2003-12-17,8242253250
2003-12-18,8306478599
2003-12-19,8315041980
2003-12-22,8207999730
2003-12-23,8109520860
2003-12-24,8143774380
2003-12-26,8156619450
2003-12-29,8092394099
2003-12-30,8199436349
2003-12-31,8250816630
2004-01-02,8263661700
2004-01-05,8160901139
2004-01-06,8083830720
2004-01-07,8028168750
2004-01-08,7959661710
2004-01-09,8075267340
2004-01-12,8135211000
2004-01-13,8109520860
2004-01-14,8203718040
2004-01-15,8306478599
2004-01-16,8220844800
2004-01-20,7976788470
2004-01-21,8135211000
2004-01-22,8070985650
2004-01-23,8041013820
2004-01-26,8100957480
2004-01-27,8049577200
2004-01-28,7916844809
2004-01-29,8096675790
2004-01-30,8096675790
2004-02-02,8113802550
2004-02-03,8349295500
2004-02-04,8148056070
2004-02-05,8113802550
2004-02-06,8113802550
2004-02-09,8126647620
2004-02-10,8083830720
2004-02-11,8049577200
2004-02-12,8011041990
2004-02-13,8036732130
2004-02-17,8156619450
2004-02-18,8242253250
2004-02-19,8319323670
2004-02-20,8182309590
2004-02-23,8152337760
2004-02-24,8066703960
2004-02-25,8092394099
2004-02-26,8109520860
2004-02-27,8135211000
2004-03-01,8083830720
2004-03-02,8135211000
2004-03-03,8178027900
2004-03-04,8156619450
2004-03-05,8075267340
2004-03-08,8135211000
2004-03-09,8015323679
2004-03-10,7976788470
2004-03-11,7664225099
2004-03-12,7758422280
2004-03-15,7749858900
2004-03-16,7788394110
2004-03-17,7916844809
2004-03-18,7878309599
2004-03-19,7895436360
2004-03-22,7715605380
2004-03-23,7737013830
2004-03-24,7694196929
2004-03-25,7775549040
2004-03-26,7831211010
2004-03-29,7903999740
2004-03-30,7972506780
2004-03-31,7729623880
2004-04-01,7813459280
2004-04-02,7742199190
2004-04-05,7746390960
2004-04-06,8035623090
2004-04-07,7872144060
2004-04-08,7855376979
2004-04-12,7763158040
2004-04-13,7658363790
2004-04-14,7696089720
2004-04-15,7796692200
2004-04-16,7859568750
2004-04-19,7817651049
2004-04-20,7683514409
2004-04-21,7419432900
2004-04-22,7574528390
2004-04-23,7423624670
2004-04-26,7356556350
2004-04-27,7222419710
2004-04-28,7075707760
2004-04-29,7188885549
2004-04-30,7109241920
2004-05-03,7251762100
2004-05-04,7226611479
2004-05-05,7314638650
2004-05-06,7260145640
2004-05-07,7230803250
2004-05-10,7214036170
2004-05-11,7234995020
2004-05-12,7184693780
2004-05-13,7226611479
2004-05-14,7201460860
2004-05-17,7117625460
2004-05-18,7167926700
2004-05-19,7121817229
2004-05-20,7188885549
2004-05-21,7230803250
2004-05-24,7272720950
2004-05-25,7398474049
2004-05-26,7436199979
2004-05-27,7339789270
2004-05-28,7327213960
2004-06-01,7343981040
2004-06-02,7385898740
2004-06-03,7293679799
2004-06-04,7285296260
2004-06-07,7381706970
2004-06-08,7415241130
2004-06-09,7364939890
2004-06-10,7427816440
2004-06-14,7377515200
2004-06-15,7478117680
2004-06-16,7461350600
2004-06-17,7499076530
2004-06-18,7532610690
2004-06-21,7570336619
2004-06-22,7528418920
2004-06-23,7708665030
2004-06-24,7624829630
2004-06-25,7641596710
2004-06-28,7649980250
2004-06-29,7566144850
2004-06-30,7566304000
2004-07-01,7487531519
2004-07-02,7495823359
2004-07-06,7433634560
2004-07-07,7284381440
2004-07-08,7251214079
2004-07-09,7052209920
2004-07-12,6952707840
2004-07-13,7056355840
2004-07-14,7060501760
2004-07-15,7060501760
2004-07-16,6948561920
2004-07-19,7218046720
2004-07-20,7280235519
2004-07-21,7321694720
2004-07-22,7176587519
2004-07-23,7176587519
2004-07-26,7089523200
2004-07-27,7296819200
2004-07-28,7213900799
2004-07-29,7271943680
2004-07-30,7263651840
2004-08-02,7255360000
2004-08-03,7114398720
2004-08-04,7213900799
2004-08-05,7035626240
2004-08-06,7002458880
2004-08-09,7027334400
2004-08-10,7147566079
2004-08-11,7122690560
2004-08-12,7068793600
2004-08-13,7126836480
2004-08-16,7031480320
2004-08-17,6948561920
2004-08-18,6940270079
2004-08-19,6799308799
2004-08-20,6757849600
2004-08-23,6795162880
