,RMD
2000-10-25,872760440
2000-10-26,896348560
2000-10-27,857862680
2000-10-30,799513120
2000-10-31,792064240
2000-11-01,906280400
2000-11-02,1031669880
2000-11-03,1106158680
2000-11-06,1013047680
2000-11-07,1009323240
2000-11-08,1047809119
2000-11-09,1090019440
2000-11-10,1065189840
2000-11-13,1041601720
2000-11-14,1055258000
2000-11-15,1075121680
2000-11-16,1051533560
2000-11-17,1009323240
2000-11-20,1021738040
2000-11-21,1016772119
2000-11-22,1024221000
2000-11-24,1078846120
2000-11-27,1145886040
2000-11-28,1057740960
2000-11-29,1071397240
2000-11-30,1088777960
2000-12-01,1128505320
2000-12-04,1090019440
2000-12-05,1117332000
2000-12-06,1093743880
2000-12-07,1109883120
2000-12-08,1137195680
2000-12-11,1154576400
2000-12-12,1137195680
2000-12-13,1142161600
2000-12-14,1103675720
2000-12-15,1168232680
2000-12-18,1175681560
2000-12-19,1175681560
2000-12-20,1175681560
2000-12-21,1173198600
2000-12-22,1272517000
2000-12-26,1274999960
2000-12-27,1220374840
2000-12-28,1288656240
2000-12-29,1237755560
2001-01-02,1229842560
2001-01-03,1343578000
2001-01-04,1243590800
2001-01-05,1208595280
2001-01-08,1226093040
2001-01-09,1242340960
2001-01-10,1261088560
2001-01-11,1269837440
2001-01-12,1271087280
2001-01-16,1259838720
2001-01-17,1253589520
2001-01-18,1297333920
2001-01-19,1316081520
2001-01-22,1332329440
2001-01-23,1339828480
2001-01-24,1333579280
2001-01-25,1328579920
2001-01-26,1288585040
2001-01-29,1283585680
2001-01-30,1303583120
2001-01-31,1312332000
2001-02-01,1334829120
2001-02-02,1366075120
2001-02-05,1356076400
2001-02-06,1297333920
2001-02-07,1329829760
2001-02-08,1339828480
2001-02-09,1353576720
2001-02-12,1406070000
2001-02-13,1466062320
2001-02-14,1436066160
2001-02-15,1408569680
2001-02-16,1381073200
2001-02-20,1407319840
2001-02-21,1428567120
2001-02-22,1468562000
2001-02-23,1432316640
2001-02-26,1436066160
2001-02-27,1433566480
2001-02-28,1404820160
2001-03-01,1409819520
2001-03-02,1418568400
2001-03-05,1404820160
2001-03-06,1384822720
2001-03-07,1384822720
2001-03-08,1308582480
2001-03-09,1241091120
2001-03-12,1217344160
2001-03-13,1213594640
2001-03-14,1144853440
2001-03-15,1178599120
2001-03-16,1202346080
2001-03-19,1226093040
2001-03-20,1219843840
2001-03-21,1188597840
2001-03-22,1156102000
2001-03-23,1186098160
2001-03-26,1182348640
2001-03-27,1187348000
2001-03-28,1187348000
2001-03-29,1254839360
2001-03-30,1262338400
2001-04-02,1236927360
2001-04-03,1191673920
2001-04-04,1201730240
2001-04-05,1244469600
2001-04-06,1202987280
2001-04-09,1241955520
2001-04-10,1287208960
2001-04-11,1296008240
2001-04-12,1378972880
2001-04-16,1337490560
2001-04-17,1343775760
2001-04-18,1351318000
2001-04-19,1367659520
2001-04-20,1336233520
2001-04-23,1284694880
2001-04-24,1284694880
2001-04-25,1356346160
2001-04-26,1355089120
2001-04-27,1387772160
2001-04-30,1407884800
2001-05-01,1426740400
2001-05-02,1722144800
2001-05-03,1606497120
2001-05-04,1600211920
2001-05-07,1577585200
2001-05-08,1644208320
2001-05-09,1769912320
2001-05-10,1751056720
2001-05-11,1684433600
2001-05-14,1704546240
2001-05-15,1689461760
2001-05-16,1724658880
2001-05-17,1776197520
2001-05-18,1758598960
2001-05-21,1812651680
2001-05-22,1766141200
2001-05-23,1685690640
2001-05-24,1659292800
2001-05-25,1659292800
2001-05-29,1702032160
2001-05-30,1778711600
2001-05-31,1715859600
2001-06-01,1709574400
2001-06-04,1748542640
2001-06-05,1713345520
2001-06-06,1673120240
2001-06-07,1705803280
2001-06-08,1690718800
2001-06-11,1621581600
2001-06-12,1598954880
2001-06-13,1614039360
2001-06-14,1587641520
2001-06-15,1634152000
2001-06-18,1644208320
2001-06-19,1671863200
2001-06-20,1673120240
2001-06-21,1653007600
2001-06-22,1612782320
2001-06-25,1627866800
2001-06-26,1612782320
2001-06-27,1631637920
2001-06-28,1626609760
2001-06-29,1588898560
2001-07-02,1619090880
2001-07-03,1662232800
2001-07-05,1655888400
2001-07-06,1614015360
2001-07-09,1643199600
2001-07-10,1591175520
2001-07-11,1611477600
2001-07-12,1644468480
2001-07-13,1659695040
2001-07-16,1653350640
2001-07-17,1674921600
2001-07-18,1692685920
2001-07-19,1704105840
2001-07-20,1692685920
2001-07-23,1660963920
2001-07-24,1639392960
2001-07-25,1594982160
2001-07-26,1645737360
2001-07-27,1693954800
2001-07-30,1667308320
2001-07-31,1672383840
2001-08-01,1709181360
2001-08-02,1739634480
2001-08-03,1700299200
2001-08-06,1704105840
2001-08-07,1695223680
2001-08-08,1725676800
2001-08-09,1744710000
2001-08-10,1763743200
2001-08-13,1771356480
2001-08-14,1822111680
2001-08-15,1827187200
2001-08-16,1780238640
2001-08-17,1776432000
2001-08-20,1808154000
2001-08-21,1820842800
2001-08-22,1834800480
2001-08-23,1820842800
2001-08-24,1853833680
2001-08-27,1933773120
2001-08-28,1881749040
2001-08-29,1814498400
2001-08-30,1748516640
2001-08-31,1743441120
2001-09-04,1728214560
2001-09-05,1723139040
2001-09-06,1705374720
2001-09-07,1672383840
2001-09-10,1652081760
2001-09-17,1589906640
2001-09-18,1479514080
2001-09-19,1469363040
2001-09-20,1465556400
2001-09-21,1455405360
2001-09-24,1516311600
2001-09-25,1554378000
2001-09-26,1606402080
2001-09-27,1653350640
2001-09-28,1611477600
2001-10-01,1649573640
2001-10-02,1652137080
2001-10-03,1677771480
2001-10-04,1671362880
2001-10-05,1659827400
2001-10-08,1626502680
2001-10-09,1617530640
2001-10-10,1658545680
2001-10-11,1738012320
2001-10-12,1699560720
2001-10-15,1740575760
2001-10-16,1731603720
2001-10-17,1661109120
2001-10-18,1659827400
2001-10-19,1718786520
2001-10-22,1834141320
2001-10-23,1827732720
2001-10-24,1839268200
2001-10-25,1840549920
2001-10-26,1846958520
2001-10-29,1826451000
2001-10-30,1812352080
2001-10-31,1787999400
2001-11-01,1811070360
2001-11-02,1817478960
2001-11-05,1844395080
2001-11-06,1881564960
2001-11-07,1890537000
2001-11-08,1871311200
2001-11-09,1864902600
2001-11-12,1820042400
2001-11-13,1832859600
2001-11-14,1814915520
2001-11-15,1793126280
2001-11-16,1812352080
2001-11-19,1817478960
2001-11-20,1805943480
2001-11-21,1818760680
2001-11-23,1843113360
2001-11-26,1867466040
2001-11-27,1866184320
2001-11-28,1868747760
2001-11-29,1886691840
2001-11-30,1875156360
2001-12-03,1978975680
2001-12-04,1971285360
2001-12-05,1923861720
2001-12-06,1871311200
2001-12-07,1813633800
2001-12-10,1811070360
2001-12-11,1785435960
2001-12-12,1735448880
2001-12-13,1730322000
2001-12-14,1758519840
2001-12-17,1782872520
2001-12-18,1763646720
2001-12-19,1754674680
2001-12-20,1717504800
2001-12-21,1721349960
2001-12-24,1723913400
2001-12-26,1735448880
2001-12-27,1711096200
2001-12-28,1704687600
2001-12-31,1737140640
2002-01-02,1712655720
2002-01-03,1681727400
2002-01-04,1664974560
2002-01-07,1613427360
2002-01-08,1650799080
2002-01-09,1655953800
2002-01-10,1659819840
2002-01-11,1595385840
2002-01-14,1601829240
2002-01-15,1628891520
2002-01-16,1643067000
2002-01-17,1670129280
2002-01-18,1625025480
2002-01-22,1639200960
2002-01-23,1560591480
2002-01-24,1465229160
2002-01-25,1390485720
2002-01-28,1386619680
2002-01-29,1396929120
2002-01-30,1439455560
2002-01-31,1385331000
2002-02-01,1287391320
2002-02-04,1224246000
2002-02-05,1248730920
2002-02-06,1242287520
2002-02-07,1246153560
2002-02-08,1305432840
2002-02-11,1340227200
2002-02-12,1301566800
2002-02-13,1302855480
2002-02-14,1278370560
2002-02-15,1264195080
2002-02-19,1219091280
2002-02-20,1216513920
2002-02-21,1176564840
2002-02-22,1208781840
2002-02-25,1198472400
2002-02-26,1186874280
2002-02-27,1179142200
2002-02-28,1171410120
2002-03-01,1175276160
2002-03-04,1215225240
2002-03-05,1194606360
2002-03-06,1239710160
2002-03-07,1231978080
2002-03-08,1219091280
2002-03-11,1213936560
2002-03-12,1208781840
2002-03-13,1225534680
2002-03-14,1231978080
2002-03-15,1273215840
2002-03-18,1301566800
2002-03-19,1284813960
2002-03-20,1284813960
2002-03-21,1292546040
2002-03-22,1291257360
2002-03-25,1280947920
2002-03-26,1274504520
2002-03-27,1286102640
2002-03-28,1292546040
2002-04-01,1306182400
2002-04-02,1295712000
2002-04-03,1290476800
2002-04-04,1262992000
2002-04-05,1265609600
2002-04-08,1247286400
2002-04-09,1251212800
2002-04-10,1252521600
2002-04-11,1270844800
2002-04-12,1277388800
2002-04-15,1269536000
2002-04-16,1314035200
2002-04-17,1307491200
2002-04-18,1320579200
2002-04-19,1314035200
2002-04-22,1280006400
2002-04-23,1251212800
2002-04-24,1232889600
2002-04-25,1228963200
2002-04-26,1226345600
2002-04-29,1183155200
2002-04-30,1214566400
2002-05-01,1084995200
2002-05-02,1064054400
2002-05-03,1014320000
2002-05-06,934483200
2002-05-07,937100800
2002-05-08,954115200
2002-05-09,964585600
2002-05-10,958041600
2002-05-13,956732800
2002-05-14,951497600
2002-05-15,942336000
2002-05-16,944953600
2002-05-17,938409600
2002-05-20,927939200
2002-05-21,922704000
2002-05-22,921395200
2002-05-23,924012800
2002-05-24,921395200
2002-05-28,922704000
2002-05-29,918777600
2002-05-30,904380800
2002-05-31,897836800
2002-06-03,883440000
2002-06-04,884748800
2002-06-05,854646400
2002-06-06,808838400
2002-06-07,899145600
2002-06-10,906998400
2002-06-11,891292800
2002-06-12,883440000
2002-06-13,859881600
2002-06-14,879513600
2002-06-17,904380800
2002-06-18,913542400
2002-06-19,910924800
2002-06-20,924012800
2002-06-21,930556800
2002-06-24,918777600
2002-06-25,921395200
2002-06-26,909616000
2002-06-27,954115200
2002-06-28,961968000
2002-07-01,915434880
2002-07-02,898336240
2002-07-03,895705680
2002-07-05,940425200
2002-07-08,916750160
2002-07-09,893075120
2002-07-10,836518080
2002-07-11,841779200
2002-07-12,861508400
2002-07-15,856247280
2002-07-16,854932000
2002-07-17,852301440
2002-07-18,829941680
2002-07-19,822050000
2002-07-22,833887520
2002-07-23,818104160
2002-07-24,848355600
2002-07-25,873345920
2002-07-26,868084800
2002-07-29,893075120
2002-07-30,907543200
2002-07-31,891759840
2002-08-01,868084800
2002-08-02,858877840
2002-08-05,854932000
2002-08-06,873345920
2002-08-07,883868160
2002-08-08,932533520
2002-08-09,923326560
2002-08-12,920696000
2002-08-13,922011280
2002-08-14,1092997680
2002-08-15,1060115680
2002-08-16,1065376800
2002-08-19,1086421280
2002-08-20,1085106000
2002-08-21,1090367120
2002-08-22,1099574080
2002-08-23,1085106000
2002-08-26,1106150480
2002-08-27,1083790720
2002-08-28,1061430960
2002-08-29,1046962880
2002-08-30,1023287840
2002-09-03,1014080880
2002-09-04,1019342000
2002-09-05,1003558640
2002-09-06,1023287840
2002-09-09,1029864240
2002-09-10,1028548960
2002-09-11,1036440640
2002-09-12,1024603120
2002-09-13,1008819760
2002-09-16,1024603120
2002-09-17,1012765600
2002-09-18,1018026720
2002-09-19,979883600
2002-09-20,991721120
2002-09-23,974622480
2002-09-24,950947440
2002-09-25,964100240
2002-09-26,949632160
2002-09-27,948316880
2002-09-30,943628400
2002-10-01,968703840
2002-10-02,943628400
2002-10-03,925151760
2002-10-04,911954160
2002-10-07,917233200
2002-10-08,934390080
2002-10-09,940988880
2002-10-10,966064320
2002-10-11,999058320
2002-10-14,1022814000
2002-10-15,1063726560
2002-10-16,1026773280
2002-10-17,1038651120
2002-10-18,1018854720
2002-10-21,1034691840
2002-10-22,1008296640
2002-10-23,1022814000
2002-10-24,1025453520
2002-10-25,1069005600
2002-10-28,1083522960
2002-10-29,1101999600
2002-10-30,1055808000
2002-10-31,1113877440
2002-11-01,1108598400
2002-11-04,1107278640
2002-11-05,1082203200
2002-11-06,1109918160
2002-11-07,1101999600
2002-11-08,1096720560
2002-11-11,1083522960
2002-11-12,1075604400
2002-11-13,1075604400
2002-11-14,1109918160
2002-11-15,1123115760
2002-11-18,1100679840
2002-11-19,1094081040
2002-11-20,1105958880
2002-11-21,1125755280
2002-11-22,1116516960
2002-11-25,1108598400
2002-11-26,1065046320
2002-11-27,1083522960
2002-11-29,1069005600
2002-12-02,1057127760
2002-12-03,1049209200
2002-12-04,1039970880
2002-12-05,1028093040
2002-12-06,1024133760
2002-12-09,1006976880
2002-12-10,995099040
2002-12-11,980581680
2002-12-12,988500240
2002-12-13,962105040
2002-12-16,976622400
2002-12-17,964744560
2002-12-18,958145760
2002-12-19,942308640
2002-12-20,996418800
2002-12-23,1024133760
2002-12-24,1010936160
2002-12-26,1004337360
2002-12-27,1006976880
2002-12-30,1008296640
2002-12-31,1010466400
2003-01-02,1026337600
2003-01-03,1022369800
2003-01-06,1036918400
2003-01-07,1036918400
2003-01-08,1040886200
2003-01-09,1056757400
2003-01-10,1056757400
2003-01-13,1073951200
2003-01-14,1120242200
2003-01-15,1122887400
2003-01-16,1112306600
2003-01-17,1110984000
2003-01-21,1097758000
2003-01-22,1089822400
2003-01-23,1118919600
2003-01-24,1110984000
2003-01-27,1099080600
2003-01-28,1087177200
2003-01-29,1091145000
2003-01-30,1072628599
2003-01-31,1096435400
2003-02-03,1084532000
2003-02-04,1112306600
2003-02-05,1105693600
2003-02-06,1091145000
2003-02-07,1079241600
2003-02-10,1077919000
2003-02-11,1072628599
2003-02-12,1071306000
2003-02-13,1055434800
2003-02-14,1050144400
2003-02-18,1047499200
2003-02-19,1036918400
2003-02-20,1039563600
2003-02-21,1042208800
2003-02-24,1030305400
2003-02-25,1044854000
2003-02-26,1044854000
2003-02-27,1044854000
2003-02-28,1038241000
2003-03-03,1026337600
2003-03-04,1009143800
2003-03-05,1006498600
2003-03-06,1003853400
2003-03-07,1023692400
2003-03-10,1017079400
2003-03-11,1006498600
2003-03-12,982691800
2003-03-13,984014400
2003-03-14,981369200
2003-03-17,993272600
2003-03-18,995917800
2003-03-19,993272600
2003-03-20,986659600
2003-03-21,1015756800
2003-03-24,993272600
2003-03-25,1005176000
2003-03-26,995917800
2003-03-27,1043531400
2003-03-28,1056757400
2003-03-31,1064832000
2003-04-01,1076811360
2003-04-02,1079473440
2003-04-03,1064832000
2003-04-04,1078142400
2003-04-07,1099439040
2003-04-08,1130052960
2003-04-09,1131384000
2003-04-10,1131384000
2003-04-11,1127390880
2003-04-14,1112749440
2003-04-15,1127390880
2003-04-16,1122066720
2003-04-17,1135377120
2003-04-21,1135377120
2003-04-22,1148687520
2003-04-23,1205922240
2003-04-24,1224556800
2003-04-25,1223225760
2003-04-28,1237867200
2003-04-29,1216570560
2003-04-30,1220563680
2003-05-01,1201929120
2003-05-02,1248515520
2003-05-05,1264488000
2003-05-06,1244522400
2003-05-07,1224556800
2003-05-08,1227218880
2003-05-09,1221894720
2003-05-12,1240529280
2003-05-13,1224556800
2003-05-14,1207253280
2003-05-15,1217901600
2003-05-16,1205922240
2003-05-19,1196604960
2003-05-20,1205922240
2003-05-21,1212577440
2003-05-22,1237867200
2003-05-23,1244522400
2003-05-27,1273805280
2003-05-28,1307081280
2003-05-29,1299095040
2003-05-30,1324384800
2003-06-02,1329708960
2003-06-03,1331040000
2003-06-04,1344350400
2003-06-05,1361653920
2003-06-06,1339026240
2003-06-09,1339026240
2003-06-10,1360322880
2003-06-11,1373633280
2003-06-12,1370971200
2003-06-13,1365647040
2003-06-16,1370971200
2003-06-17,1386943680
2003-06-18,1396260960
2003-06-19,1341688320
2003-06-20,1333702080
2003-06-23,1300426080
2003-06-24,1303088160
2003-06-25,1305750240
2003-06-26,1311074400
2003-06-27,1311074400
2003-06-30,1319040800
2003-07-01,1298851400
2003-07-02,1327116560
2003-07-03,1319040800
2003-07-07,1325770600
2003-07-08,1344614040
2003-07-09,1354035760
2003-07-10,1384992840
2003-07-11,1397106480
2003-07-14,1387684760
2003-07-15,1372879200
2003-07-16,1363457480
2003-07-17,1331154440
2003-07-18,1355381720
2003-07-21,1333846360
2003-07-22,1341922120
2003-07-23,1354035760
2003-07-24,1351343840
2003-07-25,1355381720
2003-07-28,1345960000
2003-07-29,1359419600
2003-07-30,1340576160
2003-07-31,1336538280
2003-08-01,1315002920
2003-08-04,1329808480
2003-08-05,1316348880
2003-08-06,1397106480
2003-08-07,1411912040
2003-08-08,1387684760
2003-08-11,1397106480
2003-08-12,1467096400
2003-08-13,1476518120
2003-08-14,1471134280
2003-08-15,1476518120
2003-08-18,1460366600
2003-08-19,1460366600
2003-08-20,1460366600
2003-08-21,1460366600
2003-08-22,1429409520
2003-08-25,1399798400
2003-08-26,1413258000
2003-08-27,1411912040
2003-08-28,1456328720
2003-08-29,1457674680
2003-09-02,1453636800
2003-09-03,1437485280
2003-09-04,1442869120
2003-09-05,1433447400
2003-09-08,1438831240
2003-09-09,1441523160
2003-09-10,1411912040
2003-09-11,1429409520
2003-09-12,1436139320
2003-09-15,1450944880
2003-09-16,1467096400
2003-09-17,1441523160
2003-09-18,1452290840
2003-09-19,1441523160
2003-09-22,1401144360
2003-09-23,1442869120
2003-09-24,1454982760
2003-09-25,1448252960
2003-09-26,1446907000
2003-09-29,1464404480
2003-09-30,1481172000
2003-10-01,1521567600
2003-10-02,1541765400
2003-10-03,1548498000
2003-10-06,1564656240
2003-10-07,1547151480
2003-10-08,1549844520
2003-10-09,1544458440
2003-10-10,1553884080
2003-10-13,1547151480
2003-10-14,1528300200
2003-10-15,1532339760
2003-10-16,1529646720
2003-10-17,1514835000
2003-10-20,1520221080
2003-10-21,1524260640
2003-10-22,1516181520
2003-10-23,1516181520
2003-10-24,1516181520
2003-10-27,1434043800
2003-10-28,1470399840
2003-10-29,1390955160
2003-10-30,1416539040
2003-10-31,1405766880
2003-11-03,1392301680
2003-11-04,1353252600
2003-11-05,1382876040
2003-11-06,1373450400
2003-11-07,1359985200
2003-11-10,1351906080
2003-11-11,1366717800
2003-11-12,1388262120
2003-11-13,1366717800
2003-11-14,1358638680
2003-11-17,1350559560
2003-11-18,1338440880
2003-11-19,1333054800
2003-11-20,1320936120
2003-11-21,1311510480
2003-11-24,1320936120
2003-11-25,1312857000
2003-11-26,1312857000
2003-11-28,1312857000
2003-12-01,1310163960
2003-12-02,1280540520
2003-12-03,1308817440
2003-12-04,1353252600
2003-12-05,1390955160
2003-12-08,1407113400
2003-12-09,1392301680
2003-12-10,1377489960
2003-12-11,1392301680
2003-12-12,1381529520
2003-12-15,1385569080
2003-12-16,1388262120
2003-12-17,1392301680
2003-12-18,1396341240
2003-12-19,1407113400
2003-12-22,1397687760
2003-12-23,1416539040
2003-12-24,1403073840
2003-12-26,1408459920
2003-12-29,1413846000
2003-12-30,1425964680
2003-12-31,1396691280
2004-01-02,1412838000
2004-01-05,1411492440
2004-01-06,1392654600
2004-01-07,1384581240
2004-01-08,1399382400
2004-01-09,1392654600
2004-01-12,1400727960
2004-01-13,1375162320
2004-01-14,1381890120
2004-01-15,1400727960
2004-01-16,1392654600
2004-01-20,1368434520
2004-01-21,1387272360
2004-01-22,1408801320
2004-01-23,1442440320
2004-01-26,1451859240
2004-01-27,1437058080
2004-01-28,1418220240
2004-01-29,1407455760
2004-01-30,1481461560
2004-02-02,1485498240
2004-02-03,1515100560
2004-02-04,1524519480
2004-02-05,1581033000
2004-02-06,1607944200
2004-02-09,1583724120
2004-02-10,1567577400
2004-02-11,1613326440
2004-02-12,1594488600
2004-02-13,1593143040
2004-02-17,1555467360
2004-02-18,1552776240
2004-02-19,1551430680
2004-02-20,1525865040
2004-02-23,1537975080
2004-02-24,1531247280
2004-02-25,1540666200
2004-02-26,1555467360
2004-02-27,1583724120
2004-03-01,1587760800
2004-03-02,1572959640
2004-03-03,1559504040
2004-03-04,1564886280
2004-03-05,1585069680
2004-03-08,1593143040
2004-03-09,1578341880
2004-03-10,1555467360
2004-03-11,1543357320
2004-03-12,1533938400
2004-03-15,1512409440
2004-03-16,1505681640
2004-03-17,1517791680
2004-03-18,1529901720
2004-03-19,1540666200
2004-03-22,1509718320
2004-03-23,1500299400
2004-03-24,1493571600
2004-03-25,1496262720
2004-03-26,1505681640
2004-03-29,1511063880
2004-03-30,1525865040
2004-03-31,1528799600
2004-04-01,1516623320
2004-04-02,1526093760
2004-04-05,1546387560
2004-04-06,1569387200
2004-04-07,1582916400
2004-04-08,1577504720
2004-04-12,1585622240
2004-04-13,1576151800
2004-04-14,1563975520
2004-04-15,1573445960
2004-04-16,1578857640
2004-04-19,1581563480
2004-04-20,1581563480
2004-04-21,1618092320
2004-04-22,1631621520
2004-04-23,1627562760
2004-04-26,1616739400
2004-04-27,1670856200
2004-04-28,1683032480
2004-04-29,1674914960
2004-04-30,1666797440
2004-05-03,1665444520
2004-05-04,1685738320
2004-05-05,1715502560
2004-05-06,1681679560
2004-05-07,1651915320
2004-05-10,1609974800
2004-05-11,1616739400
2004-05-12,1615386480
2004-05-13,1619445240
2004-05-14,1620798160
2004-05-17,1589681000
2004-05-18,1643797800
2004-05-19,1646503640
2004-05-20,1638386120
2004-05-21,1643797800
2004-05-24,1657327000
2004-05-25,1681679560
2004-05-26,1703326280
2004-05-27,1719561320
2004-05-28,1718208400
2004-06-01,1701973360
2004-06-02,1689797080
2004-06-03,1677620800
2004-06-04,1678973720
2004-06-07,1695208760
2004-06-08,1701973360
2004-06-09,1678973720
2004-06-10,1707385040
2004-06-14,1701973360
2004-06-15,1724973000
2004-06-16,1719561320
2004-06-17,1730384680
2004-06-18,1741208040
2004-06-21,1743913880
2004-06-22,1742560960
2004-06-23,1720914240
2004-06-24,1706032120
2004-06-25,1706032120
2004-06-28,1704679200
2004-06-29,1720914240
2004-06-30,1726932480
2004-07-01,1726932480
2004-07-02,1733710080
2004-07-06,1745909760
2004-07-07,1726932480
2004-07-08,1701177600
2004-07-09,1678133760
2004-07-12,1646956800
2004-07-13,1676778240
2004-07-14,1675422720
2004-07-15,1664578560
2004-07-16,1659156480
2004-07-19,1655089920
2004-07-20,1656445440
2004-07-21,1653734400
2004-07-22,1634757120
2004-07-23,1640179200
2004-07-26,1617135360
2004-07-27,1617135360
2004-07-28,1606291200
2004-07-29,1644245760
2004-07-30,1660512000
2004-08-02,1702533120
2004-08-03,1694400000
2004-08-04,1706599680
2004-08-05,1626624000
2004-08-06,1487005440
2004-08-09,1495138560
2004-08-10,1538515200
2004-08-11,1542581760
2004-08-12,1515471360
2004-08-13,1496494080
2004-08-16,1523604480
2004-08-17,1530382080
2004-08-18,1539870720
2004-08-19,1545292800
2004-08-20,1573758720
2004-08-23,1572403200
2004-08-24,1580536320
2004-08-25,1591380480
2004-08-26,1588669440
2004-08-27,1621201920
2004-08-30,1606291200
2004-08-31,1618490880
2004-09-01,1627979520
2004-09-02,1649667840
2004-09-03,1633401600
2004-09-07,1642890240
2004-09-08,1653734400
2004-09-09,1625268480
2004-09-10,1648312320
2004-09-13,1661867520
2004-09-14,1676778240
2004-09-15,1641534720
2004-09-16,1625268480
2004-09-17,1622557440
2004-09-20,1613068800
2004-09-21,1626624000
2004-09-22,1645601280
