,KMB
2000-12-27,34328264515
2000-12-28,35175483754
2000-12-29,35270795918
2001-01-02,34891375282
2001-01-03,33334345654
2001-01-04,31729160470
2001-01-05,33179177753
2001-01-08,33831953061
2001-01-09,33730291333
2001-01-10,33682135777
2001-01-11,33478812320
2001-01-12,33029360469
2001-01-16,33387851827
2001-01-17,32093002445
2001-01-18,32365883926
2001-01-19,32173261704
2001-01-22,32018093803
2001-01-23,31450928371
2001-01-24,32397987630
2001-01-25,32772530840
2001-01-26,32317728371
2001-01-29,31611446890
2001-01-30,32612012321
2001-01-31,32649466642
2001-02-01,33724940715
2001-02-02,33601876518
2001-02-05,33275488864
2001-02-06,33548370345
2001-02-07,34035276518
2001-02-08,33901511086
2001-02-09,34110185160
2001-02-12,34147639480
2001-02-13,34688051826
2001-02-14,33757044419
2001-02-15,34634545653
2001-02-16,35228464171
2001-02-20,36159471578
2001-02-21,35067945653
2001-02-22,35169607381
2001-02-23,35217762936
2001-02-26,35330125899
2001-02-27,35800980220
2001-02-28,36052459232
2001-03-01,35298022196
2001-03-02,36031056763
2001-03-05,36170172812
2001-03-06,35447839480
2001-03-07,35667214788
2001-03-08,36196925899
2001-03-09,35875888862
2001-03-12,35560202442
2001-03-13,34886024665
2001-03-14,34409819727
2001-03-15,34185093801
2001-03-16,34083432073
2001-03-19,33831953061
2001-03-20,34993037011
2001-03-21,33789148123
2001-03-22,33623278987
2001-03-23,33837303678
2001-03-26,33580474049
2001-03-27,33607227135
2001-03-28,34629195036
2001-03-29,33580474049
2001-03-30,34201145653
2001-04-02,33594143617
2001-04-03,33045602591
2001-04-04,33551538489
2001-04-05,33620771822
2001-04-06,33375792335
2001-04-09,33865751309
2001-04-10,33322535924
2001-04-11,32720738488
2001-04-12,32885833360
2001-04-16,32821925667
2001-04-17,32071010282
2001-04-18,31490515410
2001-04-19,31873961564
2001-04-20,31756797461
2001-04-23,31506492333
2001-04-24,28412294895
2001-04-25,29109953869
2001-04-26,29408189767
2001-04-27,29807612844
2001-04-30,29807612844
2001-05-01,29536005152
2001-05-02,29109953869
2001-05-03,29109953869
2001-05-04,29109953869
2001-05-07,29520028229
2001-05-08,29163210280
2001-05-09,29275048741
2001-05-10,29765007716
2001-05-11,29887497460
2001-05-14,29796961562
2001-05-15,29834241050
2001-05-16,30851438486
2001-05-17,30063243614
2001-05-18,30143128229
2001-05-21,30084546178
2001-05-22,29882171819
2001-05-23,29951405152
2001-05-24,29983358998
2001-05-25,29647843614
2001-05-29,30382782076
2001-05-30,30191058999
2001-05-31,30334851306
2001-06-01,30068569255
2001-06-04,30537225666
2001-06-05,30436038486
2001-06-06,30127151306
2001-06-07,30505271819
2001-06-08,30137802588
2001-06-11,30063243614
2001-06-12,30047266691
2001-06-13,29951405152
2001-06-14,29541330793
2001-06-15,29067348741
2001-06-18,29030069254
2001-06-19,27826474381
2001-06-20,28641297459
2001-06-21,28550761561
2001-06-22,28396317971
2001-06-25,28295130792
2001-06-26,28476202587
2001-06-27,28231223100
2001-06-28,28215246176
2001-06-29,28055476946
2001-07-02,28412590000
2001-07-03,28465490000
2001-07-05,28666510000
2001-07-06,28327950000
2001-07-09,27910040000
2001-07-10,27539740000
2001-07-11,27465680000
2001-07-12,27433940000
2001-07-13,26883780000
2001-07-16,27164150000
2001-07-17,27740760000
2001-07-18,28111060000
2001-07-19,28195700000
2001-07-20,28661220000
2001-07-23,28486650000
2001-07-24,28269760000
2001-07-25,29661030000
2001-07-26,29735090000
2001-07-27,29285440000
2001-07-30,30047200000
2001-07-31,30311700000
2001-08-01,30359310000
2001-08-02,30682000000
2001-08-03,30459820000
2001-08-06,30057780000
2001-08-07,29983720000
2001-08-08,29798570000
2001-08-09,29840890000
2001-08-10,30163580000
2001-08-13,30507430000
2001-08-14,30153000000
2001-08-15,30380470000
2001-08-16,30962370000
2001-08-17,30967660000
2001-08-20,31501950000
2001-08-21,31835220000
2001-08-22,31025850000
2001-08-23,31417310000
2001-08-24,31607750000
2001-08-27,31655360000
2001-08-28,31168680000
2001-08-29,30972950000
2001-08-30,31078750000
2001-08-31,30930630000
2001-09-04,31560140000
2001-09-05,32321900000
2001-09-06,31597170000
2001-09-07,31443760000
2001-09-10,31903990000
2001-09-17,31496660000
2001-09-18,30904180000
2001-09-19,29983720000
2001-09-20,29110870000
2001-09-21,27269950000
2001-09-24,28063450000
2001-09-25,29391240000
2001-09-26,29597550000
2001-09-27,30459820000
2001-09-28,30904180000
2001-10-01,30053828579
2001-10-02,29907428579
2001-10-03,30079971436
2001-10-04,29708742865
2001-10-05,30174085722
2001-10-08,30069514293
2001-10-09,30053828579
2001-10-10,30451200008
2001-10-11,29954485722
2001-10-12,29609400008
2001-10-15,29593714293
2001-10-16,27387257150
2001-10-17,26728457150
2001-10-18,26681400007
2001-10-19,25740257149
2001-10-22,26221285721
2001-10-23,26785971435
2001-10-24,27000342864
2001-10-25,27544114293
2001-10-26,27434314293
2001-10-29,26906228578
2001-10-30,27303600007
2001-10-31,27350657150
2001-11-01,27789857150
2001-11-02,27763714293
2001-11-05,27972857150
2001-11-06,27863057150
2001-11-07,28009457150
2001-11-08,27591171436
2001-11-09,27544114293
2001-11-12,27355885721
2001-11-13,27700971436
2001-11-14,28155857150
2001-11-15,28453885722
2001-11-16,28182000007
2001-11-19,28291800007
2001-11-20,28265657150
2001-11-21,27711428579
2001-11-23,28155857150
2001-11-26,28134942864
2001-11-27,27863057150
2001-11-28,27931028579
2001-11-29,27512742864
2001-11-30,28663028579
2001-12-03,28281342864
2001-12-04,28354542864
2001-12-05,28652571436
2001-12-06,28527085722
2001-12-07,28427742864
2001-12-10,28417285722
2001-12-11,28061742864
2001-12-12,28385914293
2001-12-13,28825114293
2001-12-14,28234285722
2001-12-17,29316600008
2001-12-18,28997657150
2001-12-19,28924457150
2001-12-20,29070857150
2001-12-21,29112685722
2001-12-24,29196342865
2001-12-26,29316600008
2001-12-27,29384571436
2001-12-28,29468228579
2001-12-31,29318905000
2002-01-02,29100379000
2002-01-03,28876650000
2002-01-04,28465613000
2002-01-07,28267899000
2002-01-08,28090997000
2002-01-09,28111809000
2002-01-10,28215869000
2002-01-11,28252290000
2002-01-14,28090997000
2002-01-15,28559267000
2002-01-16,28658124000
2002-01-17,28928680000
2002-01-18,28684139000
2002-01-22,28720560000
2002-01-23,28658124000
2002-01-24,29027537000
2002-01-25,29220048000
2002-01-28,29292890000
2002-01-29,28866244000
2002-01-30,29089973000
2002-01-31,29563446000
2002-02-01,29542634000
2002-02-04,29308499000
2002-02-05,29032740000
2002-02-06,29324108000
2002-02-07,28871447000
2002-02-08,29225251000
2002-02-11,29292890000
2002-02-12,29391747000
2002-02-13,29443777000
2002-02-14,29438574000
2002-02-15,29901641000
2002-02-19,29688318000
2002-02-20,30567625000
2002-02-21,29958874000
2002-02-22,30838181000
2002-02-25,30994271000
2002-02-26,30879805000
2002-02-27,30775745000
2002-02-28,30692497000
2002-03-01,31342872000
2002-03-04,31244015000
2002-03-05,30645670000
2002-03-06,30947444000
2002-03-07,30640467000
2002-03-08,30780948000
2002-03-11,30349099000
2002-03-12,31207594000
2002-03-13,31087925000
2002-03-14,31004677000
2002-03-15,31795533000
2002-03-18,31550992000
2002-03-19,31722691000
2002-03-20,31592616000
2002-03-21,31077519000
2002-03-22,31218000000
2002-03-25,31103534000
2002-03-26,31368887000
2002-03-27,31441729000
2002-03-28,31696676000
2002-04-01,30938841460
2002-04-02,31523960972
2002-04-03,31301304875
2002-04-04,31472180484
2002-04-05,31254702436
2002-04-08,31399687801
2002-04-09,31425578045
2002-04-10,32197107314
2002-04-11,31725904875
2002-04-12,32311024387
2002-04-15,31632699997
2002-04-16,32140148777
2002-04-17,31694836582
2002-04-18,31456646338
2002-04-19,31731082923
2002-04-22,31715548777
2002-04-23,31270236582
2002-04-24,31839821948
2002-04-25,31353085362
2002-04-26,31746617070
2002-04-29,31099360972
2002-04-30,31777685362
2002-05-01,31617165850
2002-05-02,32373160972
2002-05-03,31927848777
2002-05-06,31870890240
2002-05-07,31518782923
2002-05-08,32166039021
2002-05-09,31637878045
2002-05-10,31886424387
2002-05-13,32430119509
2002-05-14,32228175606
2002-05-15,32228175606
2002-05-16,32342092679
2002-05-17,32202285362
2002-05-20,31912314631
2002-05-21,31860534143
2002-05-22,32109080484
2002-05-23,32202285362
2002-05-24,31788041460
2002-05-28,31643056094
2002-05-29,31435934143
2002-05-30,31580919509
2002-05-31,31679302436
2002-06-03,31270236582
2002-06-04,31394509753
2002-06-05,31855356094
2002-06-06,31482536582
2002-06-07,31503248777
2002-06-10,31498070728
2002-06-11,31213278045
2002-06-12,32031409753
2002-06-13,31617165850
2002-06-14,31435934143
2002-06-17,31643056094
2002-06-18,31523960972
2002-06-19,31135607314
2002-06-20,31487714631
2002-06-21,30545309753
2002-06-24,30685117070
2002-06-25,29986080484
2002-06-26,30374434143
2002-06-27,30472817070
2002-06-28,30250160972
2002-07-01,30686757674
2002-07-02,29877025909
2002-07-03,29986028262
2002-07-05,30842475322
2002-07-08,30074268262
2002-07-09,29710927085
2002-07-10,29347585908
2002-07-11,28859670614
2002-07-12,28122607084
2002-07-15,27520498848
2002-07-16,27172729436
2002-07-17,26954724730
2002-07-18,26632908259
2002-07-19,25916607082
2002-07-22,25921797670
2002-07-23,27395924730
2002-07-24,28174512966
2002-07-25,28548235320
2002-07-26,28646856496
2002-07-29,28792192967
2002-07-30,28973863555
2002-07-31,29861454144
2002-08-01,29492922379
2002-08-02,29347585908
2002-08-05,28698762378
2002-08-06,28600141202
2002-08-07,29165915320
2002-08-08,29643449438
2002-08-09,29269727085
2002-08-12,29290489438
2002-08-13,29036150614
2002-08-14,29295680026
2002-08-15,29010197673
2002-08-16,28984244732
2002-08-19,28844098849
2002-08-20,28885623555
2002-08-21,29321632967
2002-08-22,29160724732
2002-08-23,28787002379
2002-08-26,28864861202
2002-08-27,29051722379
2002-08-28,28812955320
2002-08-29,28844098849
2002-08-30,29269727085
2002-09-03,28584569437
2002-09-04,28932338849
2002-09-05,29248964732
2002-09-06,29394301203
2002-09-09,29518875320
2002-09-10,29648640026
2002-09-11,29539637673
2002-09-12,29129581202
2002-09-13,28937529438
2002-09-16,29072484732
2002-09-17,28356183555
2002-09-18,28195275319
2002-09-19,27883840025
2002-09-20,28122607084
2002-09-23,27946127084
2002-09-24,27271350612
2002-09-25,27837124731
2002-09-26,28205656496
2002-09-27,28101844731
2002-09-30,27211857699
2002-10-01,27752321801
2002-10-02,27359720519
2002-10-03,27385214109
2002-10-04,26849848724
2002-10-07,26579616673
2002-10-08,26304285904
2002-10-09,25570070519
2002-10-10,25947375647
2002-10-11,26533728211
2002-10-14,26844750006
2002-10-15,27354621801
2002-10-16,27028303852
2002-10-17,27288338468
2002-10-18,27313832058
2002-10-21,27232252570
2002-10-22,24264798724
2002-10-23,24851151288
2002-10-24,24331082057
2002-10-25,24361674365
2002-10-28,24096541031
2002-10-29,24371871801
2002-10-30,24443253852
2002-10-31,24744078211
2002-11-01,24621708980
2002-11-04,24101639749
2002-11-05,24657400006
2002-11-06,24264798724
2002-11-07,24376970518
2002-11-08,24300489749
2002-11-11,24025158980
2002-11-12,23882394877
2002-11-13,24264798724
2002-11-14,24331082057
2002-11-15,24458550006
2002-11-18,24203614108
2002-11-19,24550326929
2002-11-20,24647202570
2002-11-21,24259700006
2002-11-22,24504438467
2002-11-25,24157725647
2002-11-26,23984369236
2002-11-27,24382069236
2002-11-29,24178120518
2002-12-02,24392266672
2002-12-03,24504438467
2002-12-04,24575820519
2002-12-05,23204265390
2002-12-06,22775973082
2002-12-09,22388470518
2002-12-10,23030908980
2002-12-11,22475148723
2002-12-12,22123337185
2002-12-13,22459852569
2002-12-16,22607715390
2002-12-17,22480247441
2002-12-18,22582221800
2002-12-19,22271200005
2002-12-20,22623011544
2002-12-23,22510839749
2002-12-24,22566925646
2002-12-26,22500642313
2002-12-27,22439457697
2002-12-30,22561826928
2002-12-31,22806565390
2003-01-02,22796367954
2003-01-03,22699492313
2003-01-06,22939132057
2003-01-07,22623011544
2003-01-08,22317088467
2003-01-09,22459852569
2003-01-10,22245706415
2003-01-13,22184521800
2003-01-14,22388470518
2003-01-15,22189620518
2003-01-16,22266101287
2003-01-17,22123337185
2003-01-21,21837808979
2003-01-22,21832710261
2003-01-23,21827611543
2003-01-24,21516589749
2003-01-27,21582873082
2003-01-28,22057053851
2003-01-29,21909191031
2003-01-30,21863302569
2003-01-31,22255903851
2003-02-03,22459852569
2003-02-04,22271200005
2003-02-05,21965276928
2003-02-06,21751130774
2003-02-07,21623662825
2003-02-10,21705242313
2003-02-11,21506392313
2003-02-12,21460503851
2003-02-13,21384023082
2003-02-14,21399319236
2003-02-18,21628761543
2003-02-19,21812315390
2003-02-20,21883697441
2003-02-21,22092744877
2003-02-24,21955079492
2003-02-25,22204916672
2003-02-26,21898993595
2003-02-27,22194719236
2003-02-28,22021362826
2003-03-03,21863302569
2003-03-04,21679748723
2003-03-05,21333035902
2003-03-06,21333035902
2003-03-07,21154580774
2003-03-10,20848657697
2003-03-11,20945533338
2003-03-12,20904743595
2003-03-13,21190271800
2003-03-14,21195370518
2003-03-17,21715439749
2003-03-18,21863302569
2003-03-19,21837808979
2003-03-20,21664452569
2003-03-21,21934684620
2003-03-24,21644057697
2003-03-25,21725637184
2003-03-26,21552280774
2003-03-27,21812315390
2003-03-28,21934684620
2003-03-31,21801380486
2003-04-01,21842092681
2003-04-02,22249214633
2003-04-03,22121989023
2003-04-04,22193235364
2003-04-07,22254303657
2003-04-08,22417152437
2003-04-09,22172879267
2003-04-10,22233947559
2003-04-11,22310282925
2003-04-14,22590179267
2003-04-15,22737760974
2003-04-16,22564734145
2003-04-17,22768295120
2003-04-21,22661425608
2003-04-22,23928592681
2003-04-23,23862435364
2003-04-24,23791189023
2003-04-25,23587628047
2003-04-28,23959126828
2003-04-29,24086352437
2003-04-30,23867524389
2003-05-01,23862435364
2003-05-02,24172865852
2003-05-05,24259379267
2003-05-06,24040551218
2003-05-07,24254290242
2003-05-08,23979482925
2003-05-09,24157598779
2003-05-12,24086352437
2003-05-13,23877702437
2003-05-14,23959126828
2003-05-15,24478207315
2003-05-16,24121975608
2003-05-19,23791189023
2003-05-20,23821723169
2003-05-21,24055818291
2003-05-22,24386604876
2003-05-23,24284824389
2003-05-27,24513830486
2003-05-28,24727569511
2003-05-29,24875151218
2003-05-30,24905685364
2003-06-02,24961664632
2003-06-03,25099068291
2003-06-04,25109246340
2003-06-05,24920952437
2003-06-06,25012554876
2003-06-09,25175403657
2003-06-10,25429854876
2003-06-11,25658860974
2003-06-12,25938757315
2003-06-13,25378964632
2003-06-16,26030359754
2003-06-17,25658860974
2003-06-18,25394231706
2003-06-19,25129602437
2003-06-20,25160136584
2003-06-23,25348430486
2003-06-24,25419676828
2003-06-25,25078712193
2003-06-26,24905685364
2003-06-27,24915863413
2003-06-30,24843206043
2003-07-01,24898828935
2003-07-02,24913998814
2003-07-03,24797696405
2003-07-07,24994904838
2003-07-08,25111207248
2003-07-09,24969621706
2003-07-10,25015131344
2003-07-11,25065697610
2003-07-14,24903885561
2003-07-15,24671280742
2003-07-16,24494298814
2003-07-17,24064485561
2003-07-18,24109995199
2003-07-21,23902673512
2003-07-22,24372939778
2003-07-23,23968409657
2003-07-24,23862220500
2003-07-25,23629615681
2003-07-28,23331274717
2003-07-29,23240255439
2003-07-30,23108783150
2003-07-31,23063273512
2003-08-01,22577837367
2003-08-04,22931801222
2003-08-05,22891348210
2003-08-06,22871121704
2003-08-07,22931801222
2003-08-08,23093613271
2003-08-11,23053160259
2003-08-12,23159349415
2003-08-13,23305991584
2003-08-14,23948183151
2003-08-15,23938069898
2003-08-18,23857163874
2003-08-19,24003806042
2003-08-20,23948183151
2003-08-21,24206071103
2003-08-22,23680181946
2003-08-25,23917843392
2003-08-26,23927956645
2003-08-27,24013919295
2003-08-28,24211127729
2003-08-29,24352713272
2003-09-02,24676337368
2003-09-03,24848262670
2003-09-04,24676337368
2003-09-05,24428562669
2003-09-08,24403279537
2003-09-09,24185844597
2003-09-10,24029089175
2003-09-11,23927956645
2003-09-12,23968409657
2003-09-15,24256637368
2003-09-16,24453845802
2003-09-17,24286977127
2003-09-18,24453845802
2003-09-19,24332486766
2003-09-22,24160561464
2003-09-23,24337543392
2003-09-24,23912786765
2003-09-25,24029089175
2003-09-26,24216184356
2003-09-29,24276863874
2003-09-30,24143204326
2003-10-01,24557572804
2003-10-02,24507648891
2003-10-03,24437755413
2003-10-06,24482686935
2003-10-07,24437755413
2003-10-08,24352884761
2003-10-09,24322930413
2003-10-10,24297968457
2003-10-13,24352884761
2003-10-14,24467709761
2003-10-15,24377846717
2003-10-16,24462717370
2003-10-17,24542595630
2003-10-20,24233067370
2003-10-21,24003417370
2003-10-22,24123234761
2003-10-23,24437755413
2003-10-24,24183143457
2003-10-27,24093280413
2003-10-28,24437755413
2003-10-29,24562565196
2003-10-30,24862108674
2003-10-31,24842139108
2003-11-03,25106735847
2003-11-04,24867101065
2003-11-05,24932002152
2003-11-06,24932002152
2003-11-07,24877085847
2003-11-10,25011880413
2003-11-11,25126705412
2003-11-12,25321408673
2003-11-13,25156659760
2003-11-14,25266492369
2003-11-17,25136690195
2003-11-18,25171636934
2003-11-19,25181621717
2003-11-20,24946979326
2003-11-21,25156659760
2003-11-24,25236538021
2003-11-25,25331393456
2003-11-26,25406279325
2003-11-28,25506127151
2003-12-01,26030328238
2003-12-02,26240008672
2003-12-03,26394772803
2003-12-04,26559521716
2003-12-05,26674346715
2003-12-08,26719278237
2003-12-09,26719278237
2003-12-10,26759217368
2003-12-11,26769202150
2003-12-12,27168593454
2003-12-15,26769202150
2003-12-16,27133646715
2003-12-17,27288410845
2003-12-18,27203540193
2003-12-19,27023814106
2003-12-22,27108684759
2003-12-23,27333342367
2003-12-24,27308380411
2003-12-26,27433190193
2003-12-29,27752703236
2003-12-30,27682809758
2003-12-31,27797634758
2004-01-02,27592946715
2004-01-05,27607923889
2004-01-06,27203540193
2004-01-07,27528045628
2004-01-08,27353311932
2004-01-09,27468136932
2004-01-12,27557999976
2004-01-13,26983874976
2004-01-14,27113677150
2004-01-15,26958913020
2004-01-16,27013829324
2004-01-20,26824118454
2004-01-21,26814133672
2004-01-22,26564514107
2004-01-23,26604453237
2004-01-26,27523053236
2004-01-27,27567984758
2004-01-28,27288410845
2004-01-29,27757695628
2004-01-30,27782657584
2004-02-02,27862535845
2004-02-03,27802627149
2004-02-04,27882505410
2004-02-05,28162079323
2004-02-06,27927436932
2004-02-09,28226980410
2004-02-10,28152094540
2004-02-11,28676295627
2004-02-12,28386736931
2004-02-13,28526523888
2004-02-17,28691272801
2004-02-18,28596417366
2004-02-19,29130603235
2004-02-20,29574926061
2004-02-23,29969324973
2004-02-24,29884454321
2004-02-25,30388685843
2004-02-26,30478548886
2004-02-27,30428624973
2004-03-01,30593373886
2004-03-02,30488533669
2004-03-03,30318792364
2004-03-04,30124089104
2004-03-05,30159035843
2004-03-08,30149051060
2004-03-09,29899431495
2004-03-10,30054195626
2004-03-11,29275382583
2004-03-12,29320314104
2004-03-15,28890968453
2004-03-16,28930907583
2004-03-17,29090664105
2004-03-18,29060709757
2004-03-19,28900953235
2004-03-22,28381744540
2004-03-23,28431668453
2004-03-24,28391729323
2004-03-25,28905945627
2004-03-26,29175534757
2004-03-29,29200496713
2004-03-30,29090664105
2004-03-31,29684261524
2004-04-01,29853999986
2004-04-02,29913907678
2004-04-05,30078653832
2004-04-06,30308299985
2004-04-07,30308299985
2004-04-08,30013753832
2004-04-12,29903923063
2004-04-13,29943861524
2004-04-14,30138561524
2004-04-15,30123584601
2004-04-16,30223430755
2004-04-19,30253384601
2004-04-20,30398161524
2004-04-21,30468053832
2004-04-22,30897392293
2004-04-23,31022199985
2004-04-26,30647776908
2004-04-27,30637792293
2004-04-28,30208453832
2004-04-29,30343246139
2004-04-30,30792553831
2004-05-03,31251846139
2004-05-04,31201923062
2004-05-05,30932338447
2004-05-06,30882415370
2004-05-07,30562907678
2004-05-10,30273353832
2004-05-11,30068669216
2004-05-12,30108607678
2004-05-13,30013753832
2004-05-14,29923892293
2004-05-17,29694246140
2004-05-18,29729192293
2004-05-19,29479576909
2004-05-20,29844015370
2004-05-21,30188484601
2004-05-24,30073661524
2004-05-25,30717669216
2004-05-26,30762599985
2004-05-27,31176961524
2004-05-28,31002230754
2004-06-01,30847469216
2004-06-02,30837484601
2004-06-03,30547930755
2004-06-04,30453076909
2004-06-07,30992246139
2004-06-08,31132030754
2004-06-09,31107069216
2004-06-10,30992246139
2004-06-14,30722661524
2004-06-15,30717669216
2004-06-16,31022199985
2004-06-17,31037176908
2004-06-18,31211907677
2004-06-21,31107069216
2004-06-22,31151999985
2004-06-23,31027192293
2004-06-24,30952307678
2004-06-25,30507992293
2004-06-28,30932338447
2004-06-29,30987253831
2004-06-30,30439893312
2004-07-01,30479119979
2004-07-02,30420279979
2004-07-06,30356536646
2004-07-07,30327116646
2004-07-08,30214339979
2004-07-09,30464409979
2004-07-12,30219243312
2004-07-13,30484023312
2004-07-14,30410473312
2004-07-15,30376149979
2004-07-16,30361439979
2004-07-19,30346729979
2004-07-20,30346729979
2004-07-21,29434709979
2004-07-22,30263373312
2004-07-23,29763233313
2004-07-26,29768136646
2004-07-27,30160403312
2004-07-28,30003496646
2004-07-29,29684779979
2004-07-30,29606326646
2004-08-02,30023109979
2004-08-03,30062336646
2004-08-04,30081949979
2004-08-05,29611229979
2004-08-06,28944376646
2004-08-09,29287609980
2004-08-10,29454323313
2004-08-11,29802459979
2004-08-12,29572003313
2004-08-13,29532776646
2004-08-16,29562196646
2004-08-17,29542583313
2004-08-18,30008399979
2004-08-19,29611229979
2004-08-20,30145693312
2004-08-23,29905429979
