,AL
2011-11-17,1962085495
2011-11-18,2031967992
2011-11-21,1944166906
2011-11-22,1972836648
2011-11-23,1966565142
2011-11-25,1991651167
2011-11-28,1953126201
2011-11-29,1965669213
2011-11-30,2008673826
2011-12-01,2051678440
2011-12-02,2074076676
2011-12-05,2083035971
2011-12-06,2105434207
2011-12-07,2100954560
2011-12-08,2072284817
2011-12-09,2060637735
2011-12-12,2091099336
2011-12-13,2044511004
2011-12-14,1950438412
2011-12-15,2047198793
2011-12-16,2015841262
2011-12-19,2035551710
2011-12-20,2119769078
2011-12-21,2127832443
2011-12-22,2135895808
2011-12-23,2109913854
2011-12-27,2128728373
2011-12-28,2124248725
2011-12-29,2101850489
2011-12-30,2124248725
2012-01-03,2368870943
2012-01-04,2376928327
2012-01-05,2358799212
2012-01-06,2344698790
2012-01-09,2391028749
2012-01-10,2465559552
2012-01-11,2509875165
2012-01-12,2516925376
2012-01-13,2516925376
2012-01-17,2509875165
2012-01-18,2513903857
2012-01-19,2466566725
2012-01-20,2507860819
2012-01-23,2476638456
2012-01-24,2506853646
2012-01-25,2576348585
2012-01-26,2555197951
2012-01-27,2554190778
2012-01-30,2538076010
2012-01-31,2544119048
2012-02-01,2531025799
2012-02-02,2540090356
2012-02-03,2556205124
2012-02-06,2566276854
2012-02-07,2545126221
2012-02-08,2600520737
2012-02-09,2556205124
2012-02-10,2545126221
2012-02-13,2541097529
2012-02-14,2558219470
2012-02-15,2561240989
2012-02-16,2658936772
2012-02-17,2604549429
2012-02-21,2565269681
2012-02-22,2584405969
2012-02-23,2548147740
2012-02-24,2516925376
2012-02-27,2496781916
2012-02-28,2496781916
2012-02-29,2476638456
2012-03-01,2485703013
2012-03-02,2482681494
2012-03-05,2459516514
2012-03-06,2410165036
2012-03-07,2391028749
2012-03-08,2402107652
2012-03-09,2457502168
2012-03-12,2446423265
2012-03-13,2452466303
2012-03-14,2427286978
2012-03-15,2417215248
2012-03-16,2448437611
2012-03-19,2452466303
2012-03-20,2523975588
2012-03-21,2528004280
2012-03-22,2457502168
2012-03-23,2454480649
2012-03-26,2474624110
2012-03-27,2509875165
2012-03-28,2441387400
2012-03-29,2411172209
2012-03-30,2424265459
2012-04-02,2427064898
2012-04-03,2416989909
2012-04-04,2389787438
2012-04-05,2369637459
2012-04-09,2328330004
2012-04-10,2288030047
2012-04-11,2337397494
2012-04-12,2365607464
2012-04-13,2346464984
2012-04-16,2429079896
2012-04-17,2478447343
2012-04-18,2442177382
2012-04-19,2478447343
2012-04-20,2508672310
2012-04-23,2484492336
2012-04-24,2497589822
2012-04-25,2494567325
2012-04-26,2454267369
2012-04-27,2394824932
2012-04-30,2369637459
2012-05-01,2357547472
2012-05-02,2323292509
2012-05-03,2290045045
2012-05-04,2337397494
2012-05-07,2372659956
2012-05-08,2385757442
2012-05-09,2404899922
2012-05-10,2386764941
2012-05-11,2407922418
2012-05-14,2378704950
2012-05-15,2257805079
2012-05-16,2259820077
2012-05-17,2164107680
2012-05-18,2076455274
2012-05-21,2099627749
2012-05-22,2107687740
2012-05-23,2111717736
2012-05-24,2099627749
2012-05-25,2093582755
2012-05-29,2146980198
2012-05-30,2127837719
2012-05-31,2108695239
2012-06-01,2056305295
2012-06-04,2034140319
2012-06-05,2066380284
2012-06-06,2088545261
2012-06-07,2056305295
2012-06-08,2055297796
2012-06-11,2035147818
2012-06-12,2040185313
2012-06-13,2040185313
2012-06-14,2030110323
2012-06-15,2004922850
2012-06-18,2008952846
2012-06-19,2055297796
2012-06-20,1997870358
2012-06-21,1978727878
2012-06-22,1952532906
2012-06-25,1916262945
2012-06-26,1924322937
2012-06-27,1954547904
2012-06-28,1942457917
2012-06-29,1953540405
2012-07-02,1965210811
2012-07-03,1987485225
2012-07-05,1974323071
2012-07-06,1945973817
2012-07-09,1938886503
2012-07-10,1925724349
2012-07-11,1932811663
2012-07-12,1924711876
2012-07-13,1930786716
2012-07-16,1922686929
2012-07-17,1899400042
2012-07-18,1885225414
2012-07-19,1909524775
2012-07-20,1963185864
2012-07-23,1921674456
2012-07-24,1926736823
2012-07-25,1946986290
2012-07-26,1943948870
2012-07-27,1973310598
2012-07-30,1963185864
2012-07-31,1992547592
2012-08-01,1973310598
2012-08-02,1972298124
2012-08-03,2075570408
2012-08-06,2091769982
2012-08-07,2147456017
2012-08-08,2139356230
2012-08-09,2126194077
2012-08-10,2127206550
2012-08-13,2084682668
2012-08-14,2090757509
2012-08-15,2089745035
2012-08-16,2090757509
2012-08-17,2155555804
2012-08-20,2183905059
2012-08-21,2148468491
2012-08-22,2155555804
2012-08-23,2105944609
2012-08-24,2129231497
2012-08-27,2109994503
2012-08-28,2098857296
2012-08-29,2108982029
2012-08-30,2096832349
2012-08-31,2087720088
2012-09-04,2186942479
2012-09-05,2180867638
2012-09-06,2267940348
2012-09-07,2274015189
2012-09-10,2297302076
2012-09-11,2251740774
2012-09-12,2266927875
2012-09-13,2267940348
2012-09-14,2256803141
2012-09-17,2213266786
2012-09-18,2151505911
2012-09-19,2141381177
2012-09-20,2114044396
2012-09-21,2146443544
2012-09-24,2129231497
2012-09-25,2066458148
2012-09-26,2044183734
2012-09-27,2073545461
2012-09-28,2065445674
2012-10-01,2079422623
2012-10-02,2076392867
2012-10-03,2053164737
2012-10-04,2047105225
2012-10-05,2092551567
2012-10-08,2089521810
2012-10-09,2075382949
2012-10-10,2096591241
2012-10-11,2090531729
2012-10-12,2077402786
2012-10-15,2073363111
2012-10-16,2077402786
2012-10-17,2072353192
2012-10-18,2079422623
2012-10-19,2067303599
2012-10-22,2062254005
2012-10-23,2060234168
2012-10-24,2046095306
2012-10-25,2063263924
2012-10-26,2105680510
2012-10-31,2102650754
2012-11-01,2126888803
2012-11-02,2127898721
2012-11-05,2176374820
2012-11-06,2236969942
2012-11-07,2170315307
2012-11-08,2157186364
2012-11-09,2230910430
2012-11-12,2255148479
2012-11-13,2297565065
2012-11-14,2265247666
2012-11-15,2274336934
2012-11-16,2275346853
2012-11-19,2261207991
2012-11-20,2233940186
2012-11-21,2245049292
2012-11-23,2264237747
2012-11-26,2285446040
2012-11-27,2288475796
2012-11-28,2271307178
2012-11-29,2285446040
2012-11-30,2247069129
2012-12-03,2273327016
2012-12-04,2278376609
2012-12-05,2279386528
2012-12-06,2278376609
2012-12-07,2293525390
2012-12-10,2289485715
2012-12-11,2296555146
2012-12-12,2271307178
2012-12-13,2241009617
2012-12-14,2191523600
2012-12-17,2218791405
2012-12-18,2242019536
2012-12-19,2242019536
2012-12-20,2220811243
2012-12-21,2193543438
2012-12-24,2180414494
2012-12-26,2153146689
2012-12-27,2146077258
2012-12-28,2148097096
2012-12-31,2177103201
2013-01-02,2223683083
2013-01-03,2244947812
2013-01-04,2241909993
2013-01-07,2274313390
2013-01-08,2219632658
2013-01-09,2216594840
2013-01-10,2229758720
2013-01-11,2271275572
2013-01-14,2297603331
2013-01-15,2271275572
2013-01-16,2276338602
2013-01-17,2303678968
2013-01-18,2373548792
2013-01-22,2312792423
2013-01-23,2328994122
2013-01-24,2332031940
2013-01-25,2391775702
2013-01-28,2401901764
2013-01-29,2397851339
2013-01-30,2401901764
2013-01-31,2417090856
2013-02-01,2471771587
2013-02-04,2478859830
2013-02-05,2517338864
2013-02-06,2539616199
2013-02-07,2588221293
2013-02-08,2624675114
2013-02-11,2636826388
2013-02-12,2617586871
2013-02-13,2622649902
2013-02-14,2657078511
2013-02-15,2676318028
2013-02-19,2668217178
2013-02-20,2693532332
2013-02-21,2680368452
2013-02-22,2702645787
2013-02-25,2697582756
2013-02-26,2656065905
2013-02-27,2725935728
2013-02-28,2751250882
2013-03-01,2886940105
2013-03-04,2883902286
2013-03-05,2911242652
2013-03-06,2900103984
2013-03-07,2884914892
2013-03-08,2917318289
2013-03-11,2877826649
2013-03-12,2867700588
2013-03-13,2896053560
2013-03-14,2930482169
2013-03-15,2973011627
2013-03-18,2936557806
2013-03-19,2912255258
2013-03-20,2936557806
2013-03-21,2933519987
2013-03-22,2929469563
2013-03-25,2936557806
2013-03-26,2937570412
2013-03-27,2941620836
2013-03-28,2968961202
2013-04-01,2926593488
2013-04-02,2891138046
2013-04-03,2755394353
2013-04-04,2782745694
2013-04-05,2744251214
2013-04-08,2847578502
2013-04-09,2849604528
2013-04-10,2890125033
2013-04-11,2938749639
2013-04-12,2928619513
2013-04-15,2854669591
2013-04-16,2912411311
2013-04-17,2805031972
2013-04-18,2698665646
2013-04-19,2704743722
2013-04-22,2684483469
2013-04-23,2694613595
2013-04-24,2675366355
2013-04-25,2674353343
2013-04-26,2681444431
2013-04-29,2749316277
2013-04-30,2786797745
2013-05-01,2764511467
2013-05-02,2806044985
2013-05-03,2860747667
2013-05-06,2865812730
2013-05-07,2978257132
2013-05-08,2980283157
2013-05-09,3097792622
2013-05-10,3039037890
2013-05-13,2992439309
2013-05-14,2873916831
2013-05-15,3058285129
2013-05-16,2990413283
2013-05-17,3026881738
2013-05-20,3042076927
2013-05-21,3043089940
2013-05-22,2982309182
2013-05-23,2917476374
2013-05-24,2926593488
2013-05-28,2925580475
2013-05-29,2852643566
2013-05-30,2781732681
2013-05-31,2836435364
2013-06-03,2896203109
2013-06-04,2822253187
2013-06-05,2750329290
2013-06-06,2795914858
2013-06-07,2741212176
2013-06-10,2795914858
2013-06-11,2771602555
2013-06-12,2759446404
2013-06-13,2837448376
2013-06-14,2810097035
2013-06-17,2821240174
2013-06-18,2876955869
2013-06-19,2835422351
2013-06-20,2734121088
2013-06-21,2679418406
2013-06-24,2652067065
2013-06-25,2705756734
2013-06-26,2706769747
2013-06-27,2770589543
2013-06-28,2794901846
2013-07-01,2778895813
2013-07-02,2778895813
2013-07-03,2789071192
2013-07-05,2793141343
2013-07-08,2824685016
2013-07-09,2849105924
2013-07-10,2834860394
2013-07-11,2857246226
2013-07-12,2893877588
2013-07-15,2892860050
2013-07-16,2899982815
2013-07-17,2901000353
2013-07-18,2899982815
2013-07-19,2901000353
2013-07-22,2912193269
2013-07-23,2917280958
2013-07-24,2844018234
2013-07-25,2814509637
2013-07-26,2844018234
2013-07-29,2830790243
2013-07-30,2857246226
2013-07-31,2836895470
2013-08-01,2845035772
2013-08-02,2834860394
2013-08-05,2829772705
2013-08-06,2785001040
2013-08-07,2783983502
2013-08-08,2777878275
2013-08-09,2743281989
2013-08-12,2744299527
2013-08-13,2748369678
2013-08-14,2765667821
2013-08-15,2722931233
2013-08-16,2690370022
2013-08-19,2644580820
2013-08-20,2664931576
2013-08-21,2638475593
2013-08-22,2697492787
2013-08-23,2707668165
2013-08-26,2710720779
2013-08-27,2678159568
2013-08-28,2651703584
2013-08-29,2662896501
2013-08-30,2625247601
2013-09-03,2646615895
2013-09-04,2664931576
2013-09-05,2744299527
2013-09-06,2701562938
2013-09-09,2730053997
2013-09-10,2748369678
2013-09-11,2771773048
2013-09-12,2761597670
2013-09-13,2757527519
2013-09-16,2767702897
2013-09-17,2820614864
2013-09-18,2889807437
2013-09-19,2855211150
2013-09-20,2860298840
2013-09-23,2822649940
2013-09-24,2813492099
2013-09-25,2825702553
2013-09-26,2832825318
2013-09-27,2811457024
2013-09-30,2815582569
2013-10-01,2884801518
2013-10-02,2902106256
2013-10-03,2845102415
2013-10-04,2867496781
2013-10-07,2865460929
2013-10-08,2827797677
2013-10-09,2822708049
2013-10-10,2900070404
2013-10-11,2915339290
2013-10-14,2916357216
2013-10-15,2907195884
2013-10-16,2911267587
2013-10-17,2918393067
2013-10-18,2931626102
2013-10-21,2941805359
2013-10-22,2947912914
2013-10-23,3001862977
2013-10-24,3040544155
2013-10-25,3077189481
2013-10-28,3101619699
2013-10-29,3082279110
2013-10-30,3023239418
2013-10-31,2992701646
2013-11-01,3049705487
2013-11-04,3112816882
2013-11-05,3076171556
2013-11-06,3133175396
2013-11-07,3069046075
2013-11-08,3240057598
2013-11-11,3230896267
2013-11-12,3251254781
2013-11-13,3273649147
2013-11-14,3358136983
2013-11-15,3388674755
2013-11-18,3359154909
2013-11-19,3352029428
2013-11-20,3334724691
2013-11-21,3203412272
2013-11-22,3188143386
2013-11-25,3211555678
2013-11-26,3202394346
2013-11-27,3233950044
2013-11-29,3223770786
2013-12-02,3255326484
2013-12-03,3167784871
2013-12-04,3152515985
2013-12-05,3137247099
2013-12-06,3176946203
2013-12-09,3219699083
2013-12-10,3205448123
2013-12-11,3160659391
2013-12-12,3191197163
2013-12-13,3146408431
2013-12-16,3189161312
2013-12-17,3143354654
2013-12-18,3116888585
2013-12-19,3119942362
2013-12-20,3175928277
2013-12-23,3209519826
2013-12-24,3205448123
2013-12-26,3187125460
2013-12-27,3154551837
2013-12-30,3167784871
2013-12-31,3165721030
2014-01-02,3109699583
2014-01-03,3124978159
2014-01-06,3108681011
2014-01-07,3083216717
2014-01-08,3099513865
2014-01-09,3218686761
2014-01-10,3256373916
2014-01-13,3248225342
2014-01-14,3145349594
2014-01-15,3220723905
2014-01-16,3201371041
2014-01-17,3239058196
2014-01-21,3310358220
2014-01-22,3351101090
2014-01-23,3317488222
2014-01-24,3229891050
2014-01-27,3209519615
2014-01-28,3260448203
2014-01-29,3225816763
2014-01-30,3238039625
2014-01-31,3206463900
2014-02-03,3117848157
2014-02-04,3185073893
2014-02-05,3094421006
2014-02-06,3199333898
2014-02-07,3207482472
2014-02-10,3149423881
2014-02-11,3276745351
2014-02-12,3313413935
2014-02-13,3321562509
2014-02-14,3390825389
2014-02-18,3514072572
2014-02-19,3485552562
2014-02-20,3482496847
2014-02-21,3602688315
2014-02-24,3595558312
2014-02-25,3579261164
2014-02-26,3579261164
2014-02-27,3617966891
2014-02-28,3763622653
2014-03-03,3723898354
2014-03-04,3736121215
2014-03-05,3695378345
2014-03-06,3731028356
2014-03-07,3744269789
2014-03-10,3777882657
2014-03-11,3760566937
2014-03-12,3778901229
2014-03-13,3695378345
2014-03-14,3719824067
2014-03-17,3808439810
2014-03-18,3819644100
2014-03-19,3798254093
2014-03-20,3838996963
2014-03-21,3798254093
2014-03-24,3768715512
2014-03-25,3762604081
2014-03-26,3684174055
2014-03-27,3672969766
2014-03-28,3723898354
2014-03-31,3801149251
2014-04-01,3830710347
2014-04-02,3831729695
2014-04-03,3833768392
2014-04-04,3810323384
2014-04-07,3734891621
2014-04-08,3719601399
2014-04-09,3797071858
2014-04-10,3761394673
2014-04-11,3669653340
2014-04-14,3670672688
2014-04-15,3669653340
2014-04-16,3713485310
2014-04-17,3702272480
2014-04-21,3682904865
2014-04-22,3736930317
2014-04-23,3718582051
2014-04-24,3743046406
2014-04-25,3668633991
2014-04-28,3535099384
2014-04-29,3615627888
2014-04-30,3656401814
2014-05-01,3650285725
2014-05-02,3731833577
2014-05-05,3805226643
2014-05-06,3836826436
2014-05-07,3813381429
2014-05-08,3794013814
2014-05-09,3948954733
2014-05-12,4080450644
2014-05-13,4042734762
2014-05-14,3989728659
2014-05-15,3920412984
2014-05-16,3911238851
2014-05-19,3947935384
2014-05-20,3913277547
2014-05-21,3901045370
2014-05-22,3942838644
2014-05-23,3945896688
2014-05-27,4015212362
2014-05-28,4079431296
2014-05-29,4198695029
2014-05-30,4205830466
2014-06-02,4260875266
2014-06-03,4232333518
2014-06-04,4199714378
2014-06-05,4319997459
2014-06-06,4326113548
2014-06-09,4313881370
2014-06-10,4270049400
2014-06-11,4178308066
2014-06-12,3833768392
2014-06-13,3868426229
2014-06-16,3839884481
2014-06-17,3892890584
2014-06-18,3952012777
2014-06-19,4001960836
2014-06-20,3995844748
2014-06-23,4002980185
2014-06-24,3895948629
2014-06-25,3963225607
2014-06-26,3932645162
2014-06-27,3891871236
2014-06-30,3949948447
2014-07-01,3950972280
2014-07-02,3936638615
2014-07-03,3939710115
2014-07-07,3848588961
2014-07-08,3760539306
2014-07-09,3784087470
2014-07-10,3727776644
2014-07-11,3758491640
2014-07-14,3825040797
2014-07-15,3834255296
2014-07-16,3842445962
2014-07-17,3781015970
2014-07-18,3840398295
2014-07-21,3803540300
2014-07-22,3803540300
2014-07-23,3788182803
2014-07-24,3727776644
2014-07-25,3722657478
2014-07-28,3683751817
2014-07-29,3623345659
2014-07-30,3630512491
2014-07-31,3527105339
2014-08-01,3535296005
2014-08-04,3639726990
2014-08-05,3595702163
2014-08-06,3625393325
2014-08-07,3614131160
2014-08-08,3804564134
2014-08-11,3781015970
2014-08-12,3688870983
2014-08-13,3695013982
2014-08-14,3704228481
2014-08-15,3692966316
2014-08-18,3795349635
2014-08-19,3874184790
2014-08-20,3846541294
2014-08-21,3875208624
2014-08-22,3856779626
2014-08-25,3903875953
2014-08-26,3937662448
2014-08-27,3905923619
2014-08-28,3880327790
2014-08-29,3880327790
2014-09-02,3980663442
2014-09-03,3887494622
2014-09-04,3859851126
2014-09-05,3860874959
2014-09-08,3836302962
2014-09-09,3846541294
2014-09-10,3826064631
2014-09-11,3808659466
2014-09-12,3773849138
2014-09-15,3667370486
2014-09-16,3645869989
2014-09-17,3642798490
2014-09-18,3622321826
2014-09-19,3572153999
2014-09-22,3519938507
2014-09-23,3475913680
2014-09-24,3458508515
2014-09-25,3398102357
2014-09-26,3407316856
2014-09-29,3386840192
2014-09-30,3319641910
2014-10-01,3263463354
2014-10-02,3317599053
2014-10-03,3396249031
2014-10-06,3439149018
2014-10-07,3375820465
2014-10-08,3426891879
2014-10-09,3334963334
2014-10-10,3252227643
2014-10-13,3172556237
2014-10-14,3212391940
2014-10-15,3211370512
2014-10-16,3255291928
2014-10-17,3318620481
2014-10-20,3319641910
2014-10-21,3548441844
2014-10-22,3490220432
2014-10-23,3533120420
2014-10-24,3587256119
2014-10-27,3600534687
2014-10-28,3704720371
2014-10-29,3661820383
2014-10-30,3684291805
2014-10-31,3737406076
2014-11-03,3745577502
2014-11-04,3745577502
2014-11-05,3799713201
2014-11-06,3831377478
2014-11-07,3840570332
2014-11-10,3854870328
2014-11-11,3837506047
2014-11-12,3807884627
2014-11-13,3773156066
2014-11-14,3776220351
2014-11-17,3746598931
2014-11-18,3784391777
2014-11-19,3825248908
2014-11-20,3830356050
2014-11-21,3826270336
2014-11-24,3892663175
2014-11-25,3957013156
2014-11-26,3902877457
2014-11-28,3884491748
2014-12-01,3798691773
2014-12-02,3770091781
2014-12-03,3782348920
2014-12-04,3817077482
2014-12-05,3823206052
2014-12-08,3746598931
2014-12-09,3671013238
2014-12-10,3554570414
2014-12-11,3544356131
2014-12-12,3328834764
2014-12-15,3269591924
2014-12-16,3234863362
2014-12-17,3385013319
2014-12-18,3488177576
2014-12-19,3511670426
2014-12-22,3514734711
2014-12-23,3481027578
2014-12-24,3493284717
2014-12-26,3545377559
2014-12-29,3564784697
2014-12-30,3513713283
2014-12-31,3515232422
2015-01-02,3524453376
2015-01-05,3429170188
2015-01-06,3431219289
2015-01-07,3426096537
2015-01-08,3500888716
2015-01-09,3403556428
2015-01-12,3425071987
2015-01-13,3423022886
2015-01-14,3397409126
2015-01-15,3382040870
2015-01-16,3399458227
2015-01-20,3408679180
2015-01-21,3483471360
2015-01-22,3532649779
2015-01-23,3539821631
2015-01-26,3569533593
2015-01-27,3584901849
2015-01-28,3590024601
2015-01-29,3639203020
2015-01-30,3579779097
2015-02-02,3694528742
2015-02-03,3785713728
2015-02-04,3819523891
2015-02-05,3834892147
2015-02-06,3855383155
2015-02-09,3863579558
2015-02-10,3880996915
2015-02-11,3883046016
2015-02-12,3932224435
2015-02-13,3959887296
2015-02-17,3915831628
2015-02-18,3949641791
2015-02-19,3985501056
2015-02-20,4025458521
2015-02-23,4062342336
2015-02-24,4044924979
2015-02-25,3971157350
2015-02-26,4002918412
2015-02-27,3917880729
2015-03-02,3886119667
2015-03-03,3897389721
2015-03-04,3910708876
2015-03-05,3960911846
2015-03-06,3892266969
2015-03-09,3871775961
2015-03-10,3778541875
2015-03-11,3811327488
2015-03-12,3828744844
2015-03-13,3798008332
2015-03-16,3835916697
2015-03-17,3865628659
2015-03-18,3915831628
2015-03-19,3937347187
2015-03-20,3983451955
2015-03-23,3980378304
2015-03-24,3935298086
2015-03-25,3887144217
2015-03-26,3865628659
2015-03-27,3885095116
2015-03-30,3937347187
2015-03-31,3871052184
2015-04-01,3896695084
2015-04-02,3896695084
2015-04-06,3903875096
2015-04-07,3902849379
2015-04-08,3950032316
2015-04-09,3985932376
2015-04-10,4019781004
2015-04-13,3970546636
2015-04-14,3989009524
2015-04-15,3995163820
2015-04-16,3992086672
2015-04-17,3991060955
2015-04-20,4022858152
2015-04-21,3995163820
2015-04-22,3957212328
2015-04-23,4007472412
2015-04-24,3974649500
2015-04-27,3955160896
2015-04-28,3963366624
2015-04-29,3965418055
2015-04-30,3962340908
2015-05-01,4095683988
2015-05-04,4066963940
2015-05-05,4010549560
2015-05-06,4000292400
2015-05-07,3986958091
2015-05-08,4002343832
2015-05-11,4054655348
2015-05-12,4048501052
2015-05-13,4049526767
2015-05-14,4124404036
2015-05-15,4109018296
2015-05-18,4024909584
2015-05-19,3972598067
2015-05-20,3918235120
2015-05-21,3927466564
2015-05-22,3930543712
2015-05-26,3863872172
2015-05-27,3917209404
2015-05-28,3892592220
2015-05-29,3859769308
2015-06-01,3901823664
2015-06-02,3916183688
2015-06-03,3943878020
2015-06-04,3814637804
2015-06-05,3770532016
2015-06-08,3698731896
2015-06-09,3690526167
2015-06-10,3700783328
2015-06-11,3671037564
2015-06-12,3653600391
2015-06-15,3688474736
2015-06-16,3638214652
2015-06-17,3642317516
2015-06-18,3678217576
2015-06-19,3665908984
2015-06-22,3681294724
2015-06-23,3734631955
2015-06-24,3678217576
2015-06-25,3659754688
2015-06-26,3605391740
2015-06-29,3517180164
2015-06-30,3477494374
2015-07-01,3477494374
2015-07-02,3477494374
2015-07-06,3455952373
2015-07-07,3473391136
2015-07-08,3380042467
2015-07-09,3384145705
2015-07-10,3473391136
2015-07-13,3512371899
2015-07-14,3517500946
2015-07-15,3511346089
2015-07-16,3533913899
2015-07-17,3556481709
2015-07-20,3544171995
2015-07-21,3533913899
2015-07-22,3570843043
2015-07-23,3521604185
2015-07-24,3468262088
2015-07-27,3390300562
2015-07-28,3433384563
2015-07-29,3467236278
2015-07-30,3424152277
2015-07-31,3626236759
2015-08-03,3569817233
2015-08-04,3603668949
2015-08-05,3605720568
2015-08-06,3593410853
2015-08-07,3728817714
2015-08-10,3808830859
2015-08-11,3761643619
2015-08-12,3688811141
2015-08-13,3629314187
2015-08-14,3620081901
2015-08-17,3664191712
2015-08-18,3568791424
2015-08-19,3523655804
2015-08-20,3366706943
2015-08-21,3278487321
2015-08-24,3059989887
2015-08-25,3090764174
2015-08-26,3195396748
2015-08-27,3297977703
2015-08-28,3277461512
2015-08-31,3300029322
2015-09-01,3175906366
2015-09-02,3215912939
2015-09-03,3215912939
2015-09-04,3175906366
2015-09-08,3246687225
2015-09-09,3220016177
2015-09-10,3241558178
2015-09-11,3253867892
2015-09-14,3226171034
2015-09-15,3272332464
2015-09-16,3320545513
2015-09-17,3367732752
2015-09-18,3310287417
2015-09-21,3440565230
2015-09-22,3373887609
2015-09-23,3360552085
2015-09-24,3382094086
2015-09-25,3377990848
2015-09-28,3154364366
2015-09-29,3093841602
2015-09-30,3166325403
2015-10-01,3142772529
2015-10-02,3228791719
2015-10-05,3342459934
2015-10-06,3334267630
2015-10-07,3435647389
2015-10-08,3506306009
2015-10-09,3530882920
2015-10-12,3565700211
2015-10-13,3525762730
2015-10-14,3358844541
2015-10-15,3407998364
2015-10-16,3335291668
2015-10-19,3379325301
2015-10-20,3404926250
2015-10-21,3351676275
2015-10-22,3453056034
2015-10-23,3529858882
2015-10-26,3499137743
2015-10-27,3398782022
2015-10-28,3457152186
2015-10-29,3432575275
2015-10-30,3452031996
2015-11-02,3490945439
2015-11-03,3421310857
2015-11-04,3405950288
2015-11-05,3441791617
2015-11-06,3577988667
2015-11-09,3423358933
2015-11-10,3371132997
2015-11-11,3378301263
2015-11-12,3256440744
2015-11-13,3362940693
2015-11-16,3349628199
2015-11-17,3377277225
2015-11-18,3453056034
2015-11-19,3441791617
2015-11-20,3473536794
2015-11-23,3444863731
2015-11-24,3435647389
2015-11-25,3419262781
2015-11-27,3437695465
2015-11-30,3443839693
2015-12-01,3481729098
2015-12-02,3484801211
2015-12-03,3445887769
2015-12-04,3483777173
