,LIN
2000-05-09,7174388900
2000-05-10,7003192700
2000-05-11,7193410700
2000-05-12,7123664100
2000-05-15,7291690000
2000-05-16,7212432500
2000-05-17,7133175000
2000-05-18,7212432500
2000-05-19,7272668200
2000-05-22,7370947500
2000-05-23,7599209100
2000-05-24,7478737700
2000-05-25,7053917500
2000-05-26,6667140900
2000-05-30,6638608200
2000-05-31,6657630000
2000-06-01,6568861600
2000-06-02,6480093200
2000-06-05,6448390200
2000-06-06,6419857500
2000-06-07,6302556400
2000-06-08,6251831600
2000-06-09,6289875200
2000-06-12,6261342500
2000-06-13,6064783900
2000-06-14,6232809800
2000-06-15,6112338400
2000-06-16,6112338400
2000-06-19,5953823400
2000-06-20,6064783900
2000-06-21,5893587700
2000-06-22,5915779800
2000-06-23,5874565900
2000-06-26,5795308400
2000-06-27,6163063200
2000-06-28,6118679000
2000-06-29,5893587700
2000-06-30,5934801600
2000-07-03,6108577280
2000-07-05,6099042560
2000-07-06,5898813440
2000-07-07,5800288000
2000-07-10,5879744000
2000-07-11,6000517120
2000-07-12,6108577280
2000-07-13,6248419840
2000-07-14,6216637440
2000-07-17,6127646720
2000-07-18,6118112000
2000-07-19,6137181440
2000-07-20,6257954560
2000-07-21,6318341120
2000-07-24,6048190720
2000-07-25,6099042560
2000-07-26,6188033280
2000-07-27,6226172160
2000-07-28,6146716160
2000-07-31,6286558720
2000-08-01,6257954560
2000-08-02,6248419840
2000-08-03,6277024000
2000-08-04,6305628160
2000-08-07,6693373440
2000-08-08,6842750720
2000-08-09,6725155840
2000-08-10,6655234560
2000-08-11,6833216000
2000-08-14,6963523840
2000-08-15,6982593280
2000-08-16,7090653440
2000-08-17,6992128000
2000-08-18,6912672000
2000-08-21,6931741440
2000-08-22,7090653440
2000-08-23,6941276160
2000-08-24,6941276160
2000-08-25,6992128000
2000-08-28,6992128000
2000-08-29,7020732160
2000-08-30,6884067840
2000-08-31,7033445120
2000-09-01,7033445120
2000-09-05,7011197440
2000-09-06,7151040000
2000-09-07,6953989120
2000-09-08,6683838720
2000-09-11,6693373440
2000-09-12,6683838720
2000-09-13,6455005440
2000-09-14,6407331840
2000-09-15,6089507840
2000-09-18,6029121280
2000-09-19,5851139840
2000-09-20,5720832000
2000-09-21,5841605120
2000-09-22,5819357440
2000-09-25,5800288000
2000-09-26,5660445440
2000-09-27,5650910720
2000-09-28,5790753280
2000-09-29,5940130560
2000-10-02,6057725440
2000-10-03,6356480000
2000-10-04,6146716160
2000-10-05,5978269440
2000-10-06,5949665280
2000-10-09,6079973120
2000-10-10,6067260160
2000-10-11,5940130560
2000-10-12,5730366720
2000-10-13,5561920000
2000-10-16,5921061120
2000-10-17,5622306560
2000-10-18,5790753280
2000-10-19,5193244160
2000-10-20,5113788160
2000-10-23,5034332160
2000-10-24,5342621440
2000-10-25,5294947840
2000-10-26,5444325120
2000-10-27,5622306560
2000-10-30,5749436160
2000-10-31,5921061120
2000-11-01,5711297280
2000-11-02,5790753280
2000-11-03,5898813440
2000-11-06,5819357440
2000-11-07,5819357440
2000-11-08,5889278720
2000-11-09,5739901440
2000-11-10,5650910720
2000-11-13,5571454720
2000-11-14,5692227840
2000-11-15,5622306560
2000-11-16,5472929280
2000-11-17,5523781120
2000-11-20,5393473280
2000-11-21,5403008000
2000-11-22,5453859840
2000-11-24,5561920000
2000-11-27,5571454720
2000-11-28,5580989440
2000-11-29,5800288000
2000-11-30,5711297280
2000-12-01,5841605120
2000-12-04,6089507840
2000-12-05,6067260160
2000-12-06,6000517120
2000-12-07,5930595840
2000-12-08,6010051840
2000-12-11,5940130560
2000-12-12,6048190720
2000-12-13,6327875840
2000-12-14,6375549440
2000-12-15,6286558720
2000-12-18,6455005440
2000-12-19,6515392000
2000-12-20,6486787840
2000-12-21,6604382720
2000-12-22,6804611840
2000-12-26,6903137280
2000-12-27,7011197440
2000-12-28,7020732160
2000-12-29,7052514560
2001-01-02,6922885380
2001-01-03,7173691260
2001-01-04,7295878740
2001-01-05,7286232360
2001-01-08,7154398500
2001-01-09,6993625500
2001-01-10,7022564640
2001-01-11,6942178140
2001-01-12,6813559740
2001-01-16,6922885380
2001-01-17,6874653480
2001-01-18,6803913360
2001-01-19,6472720980
2001-01-22,6430920000
2001-01-23,6633493980
2001-01-24,6540245640
2001-01-25,6633493980
2001-01-26,6501660120
2001-01-29,6823206120
2001-01-30,7205845860
2001-01-31,7128674820
2001-02-01,7273370520
2001-02-02,7247646840
2001-02-05,7321602420
2001-02-06,7315171500
2001-02-07,7292663280
2001-02-08,7308740580
2001-02-09,7192984020
2001-02-12,7199414940
2001-02-13,7234785000
2001-02-14,7180122179
2001-02-15,7315171500
2001-02-16,7225138620
2001-02-20,7250862300
2001-02-21,7077227460
2001-02-22,6951824520
2001-02-23,6794266980
2001-02-26,6993625500
2001-02-27,7003271880
2001-02-28,7170475800
2001-03-01,7061150160
2001-03-02,7083658380
2001-03-05,7286232360
2001-03-06,7598131980
2001-03-07,7942186200
2001-03-08,7903600679
2001-03-09,7861799700
2001-03-12,7585270140
2001-03-13,7427712600
2001-03-14,7289447820
2001-03-15,7186553100
2001-03-16,7176906720
2001-03-19,7414850760
2001-03-20,7331248800
2001-03-21,7170475800
2001-03-22,7012918260
2001-03-23,7102951140
2001-03-26,7138321200
2001-03-27,7225138620
2001-03-28,7234785000
2001-03-29,7115812980
2001-03-30,7180122179
2001-04-02,7298512740
2001-04-03,7149893180
2001-04-04,7272665860
2001-04-05,7531134660
2001-04-06,7430978000
2001-04-09,7502056920
2001-04-10,7728217120
2001-04-11,7440670580
2001-04-12,7576366700
2001-04-16,7644214760
2001-04-17,7673292500
2001-04-18,7938223020
2001-04-19,7718524540
2001-04-20,7463286600
2001-04-23,7466517460
2001-04-24,7670061639
2001-04-25,7741140560
2001-04-26,7915607000
2001-04-27,7834835500
2001-04-30,7647445620
2001-05-01,7750833139
2001-05-02,7792834320
2001-05-03,7699139379
2001-05-04,7899452700
2001-05-07,7637753040
2001-05-08,7754064000
2001-05-09,7779910879
2001-05-10,8070688280
2001-05-11,7973762480
2001-05-14,8028687100
2001-05-15,8031917960
2001-05-16,8397005139
2001-05-17,8723322000
2001-05-18,8413159440
2001-05-21,8367927400
2001-05-22,8296848480
2001-05-23,8186999240
2001-05-24,8028687100
2001-05-25,8035148820
2001-05-29,8083611720
2001-05-30,7983455060
2001-05-31,8125612900
2001-06-01,7999609360
2001-06-04,8164383220
2001-06-05,8216076980
2001-06-06,8287155900
2001-06-07,8345311379
2001-06-08,8190230100
2001-06-11,8183768379
2001-06-12,8077150000
2001-06-13,8177306660
2001-06-14,7989916780
2001-06-15,8051303120
2001-06-18,8051303120
2001-06-19,8080380860
2001-06-20,8093304300
2001-06-21,7834835500
2001-06-22,7660369060
2001-06-25,7514980360
2001-06-26,7414823700
2001-06-27,7508518639
2001-06-28,7521442080
2001-06-29,7592521000
2001-07-02,7633844800
2001-07-03,7504457600
2001-07-05,7601498000
2001-07-06,7452702720
2001-07-09,7565916520
2001-07-10,7572385880
2001-07-11,7436529319
2001-07-12,7462406760
2001-07-13,7287734040
2001-07-16,7248917880
2001-07-17,7300672760
2001-07-18,7206867040
2001-07-19,7459172080
2001-07-20,7326550200
2001-07-23,7287734040
2001-07-24,7116296000
2001-07-25,7274795319
2001-07-26,7290968720
2001-07-27,7278030000
2001-07-30,7229509800
2001-07-31,7333019560
2001-08-01,7342723600
2001-08-02,7462406760
2001-08-03,7585324600
2001-08-06,7572385880
2001-08-07,7724415840
2001-08-08,7520631000
2001-08-09,7494753560
2001-08-10,7617671400
2001-08-13,7598263319
2001-08-14,7591793960
2001-08-15,7588559280
2001-08-16,7481814840
2001-08-17,7462406760
2001-08-20,7439764000
2001-08-21,7523865680
2001-08-22,7598263319
2001-08-23,7598263319
2001-08-24,7672660960
2001-08-27,7682365000
2001-08-28,7546508439
2001-08-29,7585324600
2001-08-30,7533569720
2001-08-31,7614436720
2001-09-04,7844099000
2001-09-05,7857037720
2001-09-06,7937904720
2001-09-07,7779405400
2001-09-10,7698538400
2001-09-17,6986908800
2001-09-18,6948092640
2001-09-19,6595512520
2001-09-20,6339972800
2001-09-21,6032678200
2001-09-24,6388493000
2001-09-25,6566400400
2001-09-26,6433778520
2001-09-27,6676379520
2001-09-28,6792828000
2001-10-01,6792828000
2001-10-02,6711961000
2001-10-03,6792828000
2001-10-04,6802532040
2001-10-05,6857521600
2001-10-08,6627859319
2001-10-09,6815470760
2001-10-10,7045133040
2001-10-11,7533569720
2001-10-12,7530335040
2001-10-15,7449468040
2001-10-16,7491518880
2001-10-17,7252152560
2001-10-18,7368601040
2001-10-19,7265091280
2001-10-22,7792344120
2001-10-23,7802048160
2001-10-24,7685599680
2001-10-25,7802048160
2001-10-26,8044649160
2001-10-29,7886149840
2001-10-30,7666191600
2001-10-31,7630610120
2001-11-01,7844099000
2001-11-02,8031710439
2001-11-05,7869976439
2001-11-06,7934670040
2001-11-07,7924966000
2001-11-08,7996128960
2001-11-09,8064057240
2001-11-12,7931435360
2001-11-13,8232260600
2001-11-14,8368117160
2001-11-15,8368117160
2001-11-16,8377821200
2001-11-19,8465157560
2001-11-20,8458688200
2001-11-21,8342239720
2001-11-23,8478096280
2001-11-26,8410168000
2001-11-27,8474861600
2001-11-28,8465157560
2001-11-29,8419872040
2001-11-30,8558963280
2001-12-03,8429576080
2001-12-04,8481330960
2001-12-05,8782156200
2001-12-06,8733636000
2001-12-07,8688350480
2001-12-10,8513677760
2001-12-11,8591310080
2001-12-12,8510443080
2001-12-13,8384290560
2001-12-14,8413402680
2001-12-17,8578371360
2001-12-18,8820972360
2001-12-19,8782156200
2001-12-20,8879196600
2001-12-21,8756278760
2001-12-24,8940655520
2001-12-26,8934186160
2001-12-27,8866257880
2001-12-28,8869492560
2001-12-31,8937420840
2002-01-02,8970926640
2002-01-03,8951303760
2002-01-04,9082122960
2002-01-07,9065770560
2002-01-08,8954574240
2002-01-09,8846648400
2002-01-10,8683124400
2002-01-11,8585010000
2002-01-14,8274314400
2002-01-15,8284125839
2002-01-16,8051921760
2002-01-17,8084626560
2002-01-18,8012676000
2002-01-22,8032298880
2002-01-23,8464002240
2002-01-24,8869541760
2002-01-25,9137721120
2002-01-28,9144262080
2002-01-29,8977467600
2002-01-30,9252187920
2002-01-31,9494203440
2002-02-01,9363384240
2002-02-04,9281622240
2002-02-05,9091934400
2002-02-06,9183507840
2002-02-07,9131180160
2002-02-08,9203130720
2002-02-11,9510555840
2002-02-12,9402630000
2002-02-13,9402630000
2002-02-14,9369925200
2002-02-15,9402630000
2002-02-19,9111557280
2002-02-20,9320868000
2002-02-21,9353572800
2002-02-22,9412441440
2002-02-25,9566154000
2002-02-26,9418982400
2002-02-27,9445146240
2002-02-28,9468039600
2002-03-01,9526908240
2002-03-04,9909554400
2002-03-05,9484392000
2002-03-06,9690432240
2002-03-07,9772194240
2002-03-08,9863767680
2002-03-11,9903013440
2002-03-12,9857226720
2002-03-13,9683891280
2002-03-14,9739489440
2002-03-15,9808169520
2002-03-18,9821251440
2002-03-19,9870308640
2002-03-20,9837603840
2002-03-21,9592317840
2002-03-22,9546531120
2002-03-25,9376466160
2002-03-26,9513826320
2002-03-27,9703514160
2002-03-28,9778735200
2002-04-01,9537298140
2002-04-02,9599123000
2002-04-03,9355077500
2002-04-04,9211904140
2002-04-05,9276982940
2002-04-08,9303014460
2002-04-09,9491742980
2002-04-10,9638170280
2002-04-11,9641424220
2002-04-12,9625154520
2002-04-15,9537298140
2002-04-16,9670709680
2002-04-17,9716264840
2002-04-18,9599123000
2002-04-19,9592615120
2002-04-22,9296506580
2002-04-23,9042699260
2002-04-24,9234681720
2002-04-25,9231427780
2002-04-26,9257459300
2002-04-29,9127301700
2002-04-30,9289998700
2002-05-01,9374601140
2002-05-02,9673963620
2002-05-03,9644678160
2002-05-06,9527536320
2002-05-07,9560075720
2002-05-08,9693487260
2002-05-09,9732534540
2002-05-10,9550313900
2002-05-13,9573091480
2002-05-14,9778089700
2002-05-15,9761820000
2002-05-16,9631662400
2002-05-17,9582853300
2002-05-20,9508012680
2002-05-21,9407140540
2002-05-22,9462457520
2002-05-23,9534044200
2002-05-24,9462457520
2002-05-28,9299760520
2002-05-29,9159841100
2002-05-30,9006905920
2002-05-31,9111032000
2002-06-03,8834447100
2002-06-04,8720559200
2002-06-05,8886510140
2002-06-06,8720559200
2002-06-07,8811669520
2002-06-10,8980874400
2002-06-11,8811669520
2002-06-12,8811669520
2002-06-13,8665242220
2002-06-14,8593655540
2002-06-17,9023175620
2002-06-18,9098016240
2002-06-19,9003651980
2002-06-20,8977620460
2002-06-21,8870240440
2002-06-24,8893018020
2002-06-25,8980874400
2002-06-26,8785638000
2002-06-27,9091508360
2002-06-28,9270475060
2002-07-01,9007428000
2002-07-02,8653622720
2002-07-03,8520540000
2002-07-05,8887328960
2002-07-08,8751000320
2002-07-09,8514048160
2002-07-10,8244636800
2002-07-11,8114800000
2002-07-12,8449129760
2002-07-15,8238144960
2002-07-16,7962241760
2002-07-17,8228407200
2002-07-18,8040143840
2002-07-19,7803191680
2002-07-22,7413681280
2002-07-23,7403943520
2002-07-24,8163488800
2002-07-25,8679590080
2002-07-26,8367981760
2002-07-29,8731524800
2002-07-30,8556245120
2002-07-31,8488080800
2002-08-01,8562736960
2002-08-02,8049881600
2002-08-05,7952504000
2002-08-06,8296571520
2002-08-07,8591950240
2002-08-08,8952247360
2002-08-09,9010673920
2002-08-12,8789951360
2002-08-13,8841886080
2002-08-14,9078838240
2002-08-15,8919788160
2002-08-16,8880837120
2002-08-19,9101559680
2002-08-20,8900312640
2002-08-21,9004182080
2002-08-22,9205429120
2002-08-23,9088576000
2002-08-26,9299560800
2002-08-27,9458610880
2002-08-28,9166478080
2002-08-29,9088576000
2002-08-30,9091821920
2002-09-03,8738016640
2002-09-04,8981460640
2002-09-05,8604933920
2002-09-06,8845132000
2002-09-09,8838640160
2002-09-10,9108051520
2002-09-11,9263855680
2002-09-12,9049624960
2002-09-13,9117789280
2002-09-16,8965231040
2002-09-17,8871099360
2002-09-18,8877591200
2002-09-19,8640639040
2002-09-20,8660114560
2002-09-23,8439392000
2002-09-24,8114800000
2002-09-25,8114800000
2002-09-26,8423162400
2002-09-27,8384211359
2002-09-30,8296571520
2002-10-01,8582904000
2002-10-02,8170014300
2002-10-03,8293556100
2002-10-04,8212278600
2002-10-07,8173265400
2002-10-08,8517882000
2002-10-09,8062728000
2002-10-10,8547141900
2002-10-11,8862498600
2002-10-14,8738956800
2002-10-15,9213617400
2002-10-16,8680437000
2002-10-17,8820234300
2002-10-18,8882005200
2002-10-21,8982789300
2002-10-22,8745459000
2002-10-23,8582904000
2002-10-24,8316313799
2002-10-25,8514630900
2002-10-28,8371582500
2002-10-29,8355327000
2002-10-30,8615415000
2002-10-31,8859247500
2002-11-01,9077071200
2002-11-04,8950278300
2002-11-05,8855996400
2002-11-06,9060815700
2002-11-07,8771467800
2002-11-08,8826736500
2002-11-11,8485371000
2002-11-12,8670683700
2002-11-13,8771467800
2002-11-14,9064066800
2002-11-15,9194110800
2002-11-18,9096577800
2002-11-19,9148595400
2002-11-20,9330657000
2002-11-21,9509467500
2002-11-22,9233124000
2002-11-25,9395679000
2002-11-26,9119335500
2002-11-27,9415185600
2002-11-29,9590745000
2002-12-02,9509467500
2002-12-03,9476956500
2002-12-04,9255881700
2002-12-05,9177855300
2002-12-06,9346912500
2002-12-09,9207115200
2002-12-10,9265635000
2002-12-11,9249379500
2002-12-12,9112833300
2002-12-13,8888507400
2002-12-16,9363168000
2002-12-17,9288392700
2002-12-18,9272137200
2002-12-19,9275388300
2002-12-20,9428190000
2002-12-23,9509467500
2002-12-24,9441194400
2002-12-26,9467203200
2002-12-27,9337159200
2002-12-30,9428190000
2002-12-31,9392427900
2003-01-02,9658843300
2003-01-03,9587175660
2003-01-06,9772860000
2003-01-07,9707707600
2003-01-08,9518765640
2003-01-09,9675131400
2003-01-10,9512250400
2003-01-13,9495962300
2003-01-14,9505735160
2003-01-15,9310277960
2003-01-16,9421037040
2003-01-17,9267928900
2003-01-21,9144139340
2003-01-22,9082244560
2003-01-23,9052925980
2003-01-24,8824892580
2003-01-27,8486100100
2003-01-28,8720648740
2003-01-29,8756482560
2003-01-30,8652238720
2003-01-31,8883529740
2003-02-03,8903075460
2003-02-04,8798831620
2003-02-05,8805346860
2003-02-06,8671784440
2003-02-07,8606632040
2003-02-10,8697845400
2003-02-11,8590343940
2003-02-12,8544737260
2003-02-13,8564282980
2003-02-14,8662011580
2003-02-18,8795574000
2003-02-19,8691330160
2003-02-20,8648981100
2003-02-21,8645723480
2003-02-24,8433978180
2003-02-25,8323219100
2003-02-26,8365568160
2003-02-27,8505645820
2003-02-28,8606632040
2003-03-03,8502388200
2003-03-04,8437235800
2003-03-05,8479584860
2003-03-06,8424205320
2003-03-07,8544737260
2003-03-10,8342764820
2003-03-11,8251551459
2003-03-12,8313446240
2003-03-13,8850953540
2003-03-14,8932394040
2003-03-17,9219064600
2003-03-18,9219064600
2003-03-19,9300505100
2003-03-20,9355884640
2003-03-21,9616494240
2003-03-24,9287474620
2003-03-25,9355884640
2003-03-26,9303762720
2003-03-27,9258156040
2003-03-28,9261413660
2003-03-31,9176715540
2003-04-01,9395546880
2003-04-02,9679765440
2003-04-03,9539289600
2003-04-04,9555624000
2003-04-07,9591559680
2003-04-08,9359611200
2003-04-09,9202800960
2003-04-10,9277939200
2003-04-11,9215868480
2003-04-14,9359611200
2003-04-15,9402080640
2003-04-16,9196267200
2003-04-17,9418415040
2003-04-21,9473952000
2003-04-22,9542556480
2003-04-23,9529488960
2003-04-24,9402080640
2003-04-25,9202800960
2003-04-28,9503353920
2003-04-29,9441283200
2003-04-30,9487019520
2003-05-01,9408614400
2003-05-02,9637296000
2003-05-05,9581759040
2003-05-06,9568691520
2003-05-07,9405347520
2003-05-08,9281206080
2003-05-09,9464151360
2003-05-12,9611160960
2003-05-13,9542556480
2003-05-14,9477218880
2003-05-15,9503353920
2003-05-16,9418415040
2003-05-19,9251804160
2003-05-20,9284472960
2003-05-21,9353077440
2003-05-22,9473952000
2003-05-23,9532755840
2003-05-27,9712434240
2003-05-28,9620961600
2003-05-29,9500087040
2003-05-30,9800640000
2003-06-02,9908447040
2003-06-03,9911713920
2003-06-04,9950916480
2003-06-05,9977051520
2003-06-06,9846376320
2003-06-09,9728768640
2003-06-10,9846376320
2003-06-11,9800640000
2003-06-12,10016254080
2003-06-13,9967250880
2003-06-16,10365810240
2003-06-17,10411546560
2003-06-18,10179598080
2003-06-19,9993385920
2003-06-20,9947649600
2003-06-23,9692832960
2003-06-24,9676498560
2003-06-25,9637296000
2003-06-26,9771238080
2003-06-27,9745103040
2003-06-30,9816974400
2003-07-01,9792900000
2003-07-02,9930000600
2003-07-03,9877771800
2003-07-07,10076894100
2003-07-08,9965907900
2003-07-09,9894093300
2003-07-10,9841864500
2003-07-11,9985493700
2003-07-14,10047515400
2003-07-15,10054044000
2003-07-16,10011608100
2003-07-17,9988758000
2003-07-18,10279280700
2003-07-21,10524103200
2003-07-22,10462081500
2003-07-23,10200937500
2003-07-24,9946322100
2003-07-25,10406588400
2003-07-28,10367416800
2003-07-29,10442495700
2003-07-30,10524103200
2003-07-31,10553481900
2003-08-01,10599182100
2003-08-04,10488195900
2003-08-05,10396795500
2003-08-06,10393531200
2003-08-07,10409852700
2003-08-08,10256430600
2003-08-11,10227051900
2003-08-12,10256430600
2003-08-13,10282545000
2003-08-14,10465345800
2003-08-15,10432702800
2003-08-18,10586124900
2003-08-19,10589389200
2003-08-20,10517574600
2003-08-21,10651410900
2003-08-22,10537160400
2003-08-25,10494724500
2003-08-26,10331509500
2003-08-27,10282545000
2003-08-28,10416381300
2003-08-29,10416381300
2003-09-02,10507781700
2003-09-03,10553481900
2003-09-04,10475138700
2003-09-05,10422909900
2003-09-08,10491460200
2003-09-09,10338038100
2003-09-10,10233580500
2003-09-11,10331509500
2003-09-12,10452288600
2003-09-15,10393531200
2003-09-16,10393531200
2003-09-17,10282545000
2003-09-18,10315188000
2003-09-19,10249902000
2003-09-22,10080158400
2003-09-23,10112801400
2003-09-24,10001815200
2003-09-25,9933264900
2003-09-26,9874507500
2003-09-29,10103008500
2003-09-30,10112801400
2003-10-01,10328245200
2003-10-02,10364152500
2003-10-03,10579596299
2003-10-06,10628560800
2003-10-07,10690582500
2003-10-08,10775454300
2003-10-09,10755868500
2003-10-10,10798304400
2003-10-13,10866854700
2003-10-14,10932140700
2003-10-15,10948462200
2003-10-16,10974576600
2003-10-17,10866854700
2003-10-20,10844004600
2003-10-21,10850533200
2003-10-22,10716696900
2003-10-23,10762397100
2003-10-24,10726489800
2003-10-27,10798304400
2003-10-28,10762397100
2003-10-29,11212870500
2003-10-30,11438107200
2003-10-31,11356499700
2003-11-03,11392407000
2003-11-04,11434842900
2003-11-05,11474014500
2003-11-06,11532771900
2003-11-07,11487071700
2003-11-10,11379349800
2003-11-11,11281420800
2003-11-12,11330385300
2003-11-13,11363028300
2003-11-14,11320592400
2003-11-17,11229192000
2003-11-18,11095355700
2003-11-19,11043126900
2003-11-20,11065977000
2003-11-21,11059448400
2003-11-24,11235720600
2003-11-25,11777594400
2003-11-26,11764537200
2003-11-28,11715572700
2003-12-01,12009359700
2003-12-02,11996302500
2003-12-03,12048531299
2003-12-04,12061588500
2003-12-05,11882052000
2003-12-08,12038738400
2003-12-09,12087702900
2003-12-10,11940809400
2003-12-11,12077910000
2003-12-12,12143196000
2003-12-15,12120345900
2003-12-16,12224803500
2003-12-17,12273768000
2003-12-18,12267239400
2003-12-19,12058324200
2003-12-22,12391282800
2003-12-23,12283560900
2003-12-24,12224803500
2003-12-26,12280296600
2003-12-29,12446775900
2003-12-30,12410868600
2003-12-31,12469626000
2004-01-02,12288734100
2004-01-05,12438875340
2004-01-06,12429083520
2004-01-07,12432347460
2004-01-08,12651031440
2004-01-09,12288734100
2004-01-12,12262622580
2004-01-13,12190815900
2004-01-14,12275678340
2004-01-15,12272414400
2004-01-16,12442139280
2004-01-20,12455195039
2004-01-21,12305053800
2004-01-22,11884005539
2004-01-23,11688169140
2004-01-26,11717544600
2004-01-27,11946020400
2004-01-28,11753447940
2004-01-29,11554347600
2004-01-30,11557611539
2004-02-02,11502124560
2004-02-03,11538027900
2004-02-04,11489068800
2004-02-05,11515180320
2004-02-06,11701224900
2004-02-09,11802407039
2004-02-10,11802407039
2004-02-11,11998243440
2004-02-12,11724072480
2004-02-13,11652265800
2004-02-17,11743656119
2004-02-18,11831782500
2004-02-19,12030882840
2004-02-20,11910117060
2004-02-23,11818726740
2004-02-24,11939492520
2004-02-25,12024354960
2004-02-26,12030882840
2004-02-27,11854630080
2004-03-01,11965604039
2004-03-02,11864421900
2004-03-03,11897061300
2004-03-04,12073314060
2004-03-05,12184288020
2004-03-08,12141856800
2004-03-09,12177760140
2004-03-10,11662057619
2004-03-11,11511916380
2004-03-12,11616362460
2004-03-15,11466221220
2004-03-16,11551083660
2004-03-17,11675113380
2004-03-18,11658793680
2004-03-19,11609834580
2004-03-22,11436845760
2004-03-23,11361775140
2004-03-24,11325871800
2004-03-25,11861157960
2004-03-26,11730600360
2004-03-29,12151648619
2004-03-30,12047202539
2004-03-31,12115745280
2004-04-01,12138786360
2004-04-02,12347289400
2004-04-05,12396157300
2004-04-06,12493893100
2004-04-07,12376610140
2004-04-08,12383125860
2004-04-12,12555792440
2004-04-13,12383125860
2004-04-14,12347289400
2004-04-15,12474345940
2004-04-16,12542761000
2004-04-19,12536245279
2004-04-20,12278874340
2004-04-21,12327742240
2004-04-22,12506924540
2004-04-23,12386383720
2004-04-26,12298421500
2004-04-27,12249553600
2004-04-28,11988924800
2004-04-29,11829289660
2004-04-30,11907478300
2004-05-03,12057339860
2004-05-04,12109465620
2004-05-05,12122497060
2004-05-06,12054082000
2004-05-07,11565403000
2004-05-10,11578434440
2004-05-11,11806484640
2004-05-12,11754358880
2004-05-13,11816258220
2004-05-14,11816258220
2004-05-17,11379704980
2004-05-18,11487214360
2004-05-19,11409025720
2004-05-20,11474182920
2004-05-21,11532824400
2004-05-24,11483956500
2004-05-25,11799968920
2004-05-26,11972635500
2004-05-27,12034534840
2004-05-28,12050824140
2004-06-01,12037792700
2004-06-02,12194169980
2004-06-03,11992182660
2004-06-04,12135528500
2004-06-07,12373352279
2004-06-08,12317968660
2004-06-09,12220232860
2004-06-10,12252811460
2004-06-14,12119239200
2004-06-15,12187654259
2004-06-16,12161591380
2004-06-17,12181138540
2004-06-18,12291905779
2004-06-21,12210459279
2004-06-22,12347289400
2004-06-23,12464572360
2004-06-24,12640496800
2004-06-25,12617691779
2004-06-28,12630723220
2004-06-29,12979314240
2004-06-30,13002119259
2004-07-01,12754284290
2004-07-02,12679201480
2004-07-06,12532300330
2004-07-07,12545358210
2004-07-08,12395192590
2004-07-09,12568209500
2004-07-12,12633498900
2004-07-13,12901185440
2004-07-14,13031764240
2004-07-15,13100318110
2004-07-16,13097053640
2004-07-19,13064408940
2004-07-20,13090524700
2004-07-21,12927301200
2004-07-22,12757548760
2004-07-23,12613912080
2004-07-26,12476804340
2004-07-27,12649821250
2004-07-28,12630234430
2004-07-29,12901185440
2004-07-30,12878334150
2004-08-02,12956681430
2004-08-03,12894656500
2004-08-04,13041557650
2004-08-05,12741226410
2004-08-06,12293994019
2004-08-09,12431101760
2004-08-10,12597589730
2004-08-11,12610647610
2004-08-12,12476804340
2004-08-13,12470275400
2004-08-16,12959945900
2004-08-17,12907714380
2004-08-18,13057880000
2004-08-19,13054615530
2004-08-20,13064408940
2004-08-23,12966474840
