,PBI
2001-07-25,9782485069
2001-07-26,9609106028
2001-07-27,9535847278
2001-07-30,9535847278
2001-07-31,9584686445
2001-08-01,9633525611
2001-08-02,9723878070
2001-08-03,9929002569
2001-08-06,9907024944
2001-08-07,10031564819
2001-08-08,9941212361
2001-08-09,9972957819
2001-08-10,9799578778
2001-08-13,9999819361
2001-08-14,10046216569
2001-08-15,10119475319
2001-08-16,10065752236
2001-08-17,10014471111
2001-08-20,10082845944
2001-08-21,10256224986
2001-08-22,10283086527
2001-08-23,10229363444
2001-08-24,10414952277
2001-08-27,10585889360
2001-08-28,10483327110
2001-08-29,10480885152
2001-08-30,10427162069
2001-08-31,10368555069
2001-09-04,10222037569
2001-09-05,10283086527
2001-09-06,10417394235
2001-09-07,10324599819
2001-09-10,10190292111
2001-09-17,9919234736
2001-09-18,10014471111
2001-09-19,9950980194
2001-09-20,9572476653
2001-09-21,9191531154
2001-09-24,9311187112
2001-09-25,9215950737
2001-09-26,9128040237
2001-09-27,9084084987
2001-09-28,9108504570
2001-10-01,8845247453
2001-10-02,8857229636
2001-10-03,8962672846
2001-10-04,8890779748
2001-10-05,9125630534
2001-10-08,9101666168
2001-10-09,8842851017
2001-10-10,8773354355
2001-10-11,8912347678
2001-10-12,8727822060
2001-10-15,8768561482
2001-10-16,9077701802
2001-10-17,9065719619
2001-10-18,8806904468
2001-10-19,8564864372
2001-10-22,8538503570
2001-10-23,8466610472
2001-10-24,8282084855
2001-10-25,8183830954
2001-10-26,8169452335
2001-10-29,8277291981
2001-10-30,8416285304
2001-10-31,8576846555
2001-11-01,8727822060
2001-11-02,8646343216
2001-11-05,8888383312
2001-11-06,9180748576
2001-11-07,9111251915
2001-11-08,8974655029
2001-11-09,8986637212
2001-11-12,9056133873
2001-11-13,9161577083
2001-11-14,9317345461
2001-11-15,9238263054
2001-11-16,9283795349
2001-11-19,9305363278
2001-11-20,9293381096
2001-11-21,9171162829
2001-11-23,9235866617
2001-11-26,9341309827
2001-11-27,9365274193
2001-11-28,9372463503
2001-11-29,9698378879
2001-11-30,9705568189
2001-12-03,9878111623
2001-12-04,10057844368
2001-12-05,10005122763
2001-12-06,9952401158
2001-12-07,9693586006
2001-12-10,9583349923
2001-12-11,9777461287
2001-12-12,9621692908
2001-12-13,9475510276
2001-12-14,9521042572
2001-12-17,9123234098
2001-12-18,9108855478
2001-12-19,9166369956
2001-12-20,8984240775
2001-12-21,8864418946
2001-12-24,8897969058
2001-12-26,8828472397
2001-12-27,8902761931
2001-12-28,9034565944
2001-12-31,9018529769
2002-01-02,9181587472
2002-01-03,9519692417
2002-01-04,9411786584
2002-01-07,9445357287
2002-01-08,9531681954
2002-01-09,9596425454
2002-01-10,9608414991
2002-01-11,9502907065
2002-01-14,9395001232
2002-01-15,9315870287
2002-01-16,9275105861
2002-01-17,9255922602
2002-01-18,9210362361
2002-01-22,9143220954
2002-01-23,9354236806
2002-01-24,9502907065
2002-01-25,9495713343
2002-01-28,9572446380
2002-01-29,9514896602
2002-01-30,9582038010
2002-01-31,10028048788
2002-02-01,9888970158
2002-02-04,9536477769
2002-02-05,9562854751
2002-02-06,9752289436
2002-02-07,9802645492
2002-02-08,9766676880
2002-02-11,9740299899
2002-02-12,9728310362
2002-02-13,9591629640
2002-02-14,9663566862
2002-02-15,9639587788
2002-02-19,9541273584
2002-02-20,9474132176
2002-02-21,9275105861
2002-02-22,9112048158
2002-02-25,9701933380
2002-02-26,9831420381
2002-02-27,9843409918
2002-02-28,10004069714
2002-03-01,10193504399
2002-03-04,10289420696
2002-03-05,10138352529
2002-03-06,10411713974
2002-03-07,10287022788
2002-03-08,10510028178
2002-03-11,10514823992
2002-03-12,10078404844
2002-03-13,9908153418
2002-03-14,9709127103
2002-03-15,9754687343
2002-03-18,9891368066
2002-03-19,10203096029
2002-03-20,10200698122
2002-03-21,10215085566
2002-03-22,10191106492
2002-03-25,10155137881
2002-03-26,10215085566
2002-03-27,10248656270
2002-03-28,10263043714
2002-04-01,10189110919
2002-04-02,10122343985
2002-04-03,9991194652
2002-04-04,10074653319
2002-04-05,10043654385
2002-04-08,10191495452
2002-04-09,10215340785
2002-04-10,10446640518
2002-04-11,10403718918
2002-04-12,10441871452
2002-04-15,10465716785
2002-04-16,10472870385
2002-04-17,10449025052
2002-04-18,10360797318
2002-04-19,10239186119
2002-04-22,10036500785
2002-04-23,10007886386
2002-04-24,10160496519
2002-04-25,10265415985
2002-04-26,10055577052
2002-04-29,9955426652
2002-04-30,10038885319
2002-05-01,10015039986
2002-05-02,10015039986
2002-05-03,9771817586
2002-05-06,9795662919
2002-05-07,9776586653
2002-05-08,10015039986
2002-05-09,9833815452
2002-05-10,9526210653
2002-05-13,9933965852
2002-05-14,10210571719
2002-05-15,10201033585
2002-05-16,10170034652
2002-05-17,10122343985
2002-05-20,10029347185
2002-05-21,10088960519
2002-05-22,9929196786
2002-05-23,9962580252
2002-05-24,9883890652
2002-05-28,9807585586
2002-05-29,9795662919
2002-05-30,9681205319
2002-05-31,9764663986
2002-06-03,9635899186
2002-06-04,9774202119
2002-06-05,9883890652
2002-06-06,9876737052
2002-06-07,9907735986
2002-06-10,9871967986
2002-06-11,9867198919
2002-06-12,10065115185
2002-06-13,9876737052
2002-06-14,9955426652
2002-06-17,10193879985
2002-06-18,10055577052
2002-06-19,9750356786
2002-06-20,9676436253
2002-06-21,9540517853
2002-06-24,9786124786
2002-06-25,9447521053
2002-06-26,9430829320
2002-06-27,9559594119
2002-06-28,9471366386
2002-07-01,9154813543
2002-07-02,8941635479
2002-07-03,9067173672
2002-07-05,9458000123
2002-07-08,9296932253
2002-07-09,9090860124
2002-07-10,8989008382
2002-07-11,9232978833
2002-07-12,9029275349
2002-07-15,9173762704
2002-07-16,8934529543
2002-07-17,9000851608
2002-07-18,9003220253
2002-07-19,8906105801
2002-07-22,8681084511
2002-07-23,8292626705
2002-07-24,8562652253
2002-07-25,8659766704
2002-07-26,8863470188
2002-07-29,9225872898
2002-07-30,9133495736
2002-07-31,9237716124
2002-08-01,8970059220
2002-08-02,8721351479
2002-08-05,8330525027
2002-08-06,8510542059
2002-08-07,8626605672
2002-08-08,8787673543
2002-08-09,8756881156
2002-08-12,8586338705
2002-08-13,8593444640
2002-08-14,9057699091
2002-08-15,8944004124
2002-08-16,8993745672
2002-08-19,8981902446
2002-08-20,8853995608
2002-08-21,8960584640
2002-08-22,9055330446
2002-08-23,8745037930
2002-08-26,8726088769
2002-08-27,8692927737
2002-08-28,8737931995
2002-08-29,8628974317
2002-08-30,8586338705
2002-09-03,8325787737
2002-09-04,8349474189
2002-09-05,8195512253
2002-09-06,8292626705
2002-09-09,8313944511
2002-09-10,8342368253
2002-09-11,8231041931
2002-09-12,8001283350
2002-09-13,7942067221
2002-09-16,7937329931
2002-09-17,7818897673
2002-09-18,7745469673
2002-09-19,7636511995
2002-09-20,7705202705
2002-09-23,7709939995
2002-09-24,7447020383
2002-09-25,7591507737
2002-09-26,7435177157
2002-09-27,7404384770
2002-09-30,7229220161
2002-10-01,7582501173
2002-10-02,7357254890
2002-10-03,7314576647
2002-10-04,7364367931
2002-10-07,6996860838
2002-10-08,6994489825
2002-10-09,6828518880
2002-10-10,7184170905
2002-10-11,7582501173
2002-10-14,7561162051
2002-10-15,7871764820
2002-10-16,7618066375
2002-10-17,7881248874
2002-10-18,7848054685
2002-10-21,8191851642
2002-10-22,8196593669
2002-10-23,8227416845
2002-10-24,7999799549
2002-10-25,8236900899
2002-10-28,8047219818
2002-10-29,7897845968
2002-10-30,8023509684
2002-10-31,7954750292
2002-11-01,7888361914
2002-11-04,7845683671
2002-11-05,7954750292
2002-11-06,7992686508
2002-11-07,7871764820
2002-11-08,7672599686
2002-11-11,7551677997
2002-11-12,7658373604
2002-11-13,7961863333
2002-11-14,8144431372
2002-11-15,8179996575
2002-11-18,8059074886
2002-11-19,7966605360
2002-11-20,8113608197
2002-11-21,8274837115
2002-11-22,8260611034
2002-11-25,8132576304
2002-11-26,8089898061
2002-11-27,8338854479
2002-11-29,8369677654
2002-12-02,8265353061
2002-12-03,8127834278
2002-12-04,8061445900
2002-12-05,8097011102
2002-12-06,8061445900
2002-12-09,7966605360
2002-12-10,8009283603
2002-12-11,8092269075
2002-12-12,8244013939
2002-12-13,8004541576
2002-12-16,8170512521
2002-12-17,8028251711
2002-12-18,7935782184
2002-12-19,7788779347
2002-12-20,7814860496
2002-12-23,7864651779
2002-12-24,7824344550
2002-12-26,7807747455
2002-12-27,7710535902
2002-12-30,7727132996
2002-12-31,7748244780
2003-01-02,7900078113
2003-01-03,7911940093
2003-01-06,8094614571
2003-01-07,7940408843
2003-01-08,7888216134
2003-01-09,8009208322
2003-01-10,7959388009
2003-01-13,7945153634
2003-01-14,8006835926
2003-01-15,8018697905
2003-01-16,8066145822
2003-01-17,8023442697
2003-01-21,7961760405
2003-01-22,7878726551
2003-01-23,8078007801
2003-01-24,7748244780
2003-01-27,7729265614
2003-01-28,7959388009
2003-01-29,7959388009
2003-01-30,7686562489
2003-01-31,7719776030
2003-02-03,7696052072
2003-02-04,7715031239
2003-02-05,7648604155
2003-02-06,7662838530
2003-02-07,7615390614
2003-02-10,7639114572
2003-02-11,7615390614
2003-02-12,7608273426
2003-02-13,7567942697
2003-02-14,7691307280
2003-02-18,7776713530
2003-02-19,7608273426
2003-02-20,7553708322
2003-02-21,7565570301
2003-02-24,7425598947
2003-02-25,7413736968
2003-02-26,7333075510
2003-02-27,7295117177
2003-02-28,7363916656
2003-03-03,7354427073
2003-03-04,7314096343
2003-03-05,7295117177
2003-03-06,7290372385
2003-03-07,7328330718
2003-03-10,7093463531
2003-03-11,7102953115
2003-03-12,7114815094
2003-03-13,7366289052
2003-03-14,7425598947
2003-03-17,7658093739
2003-03-18,7717403634
2003-03-19,7696052072
2003-03-20,7648604155
2003-03-21,7781458322
2003-03-24,7508632801
2003-03-25,7610645822
2003-03-26,7570315093
2003-03-27,7603528635
2003-03-28,7601156239
2003-03-31,7439800954
2003-04-01,7472431660
2003-04-02,7640246719
2003-04-03,7677538954
2003-04-04,7724154248
2003-04-07,7731146543
2003-04-08,7668215895
2003-04-09,7556339189
2003-04-10,7745131131
2003-04-11,7686862013
2003-04-14,7880315484
2003-04-15,7898961602
2003-04-16,7763777249
2003-04-17,7719492719
2003-04-21,7875653955
2003-04-22,8139030367
2003-04-23,8225268661
2003-04-24,8146022661
2003-04-25,8017830602
2003-04-28,8169330308
2003-04-29,8220607132
2003-04-30,8183314896
2003-05-01,8239253249
2003-05-02,8302183897
2003-05-05,8257899367
2003-05-06,8290530073
2003-05-07,8222937896
2003-05-08,8157676485
2003-05-09,8320830014
2003-05-12,8344137661
2003-05-13,8269553191
2003-05-14,8246245543
2003-05-15,8269553191
2003-05-16,8215945602
2003-05-19,8185645661
2003-05-20,8306845426
2003-05-21,8204291779
2003-05-22,8257899367
2003-05-23,8304514661
2003-05-27,8605183309
2003-05-28,8677437015
2003-05-29,8689090838
2003-05-30,8952467251
2003-06-02,8996751780
2003-06-03,9022390192
2003-06-04,8999082545
2003-06-05,8954798015
2003-06-06,9015397898
2003-06-09,8954798015
2003-06-10,8824275192
2003-06-11,8831267486
2003-06-12,8803298309
2003-06-13,8719390780
2003-06-16,9050359368
2003-06-17,9094643898
2003-06-18,9162236075
2003-06-19,8975774898
2003-06-20,9008405604
2003-06-23,8856905898
2003-06-24,8805629074
2003-06-25,8733375368
2003-06-26,8752021486
2003-06-27,8812621368
2003-06-30,8919178571
2003-07-01,8782174787
2003-07-02,8928466963
2003-07-03,8833260944
2003-07-07,9086369630
2003-07-08,9172287258
2003-07-09,8974908924
2003-07-10,8870414512
2003-07-11,8830938846
2003-07-14,8823972552
2003-07-15,8726444434
2003-07-16,8608017434
2003-07-17,8529066100
2003-07-18,8635882610
2003-07-21,8587118551
2003-07-22,8640526806
2003-07-23,8666069885
2003-07-24,8638204708
2003-07-25,8826294650
2003-07-28,8877380806
2003-07-29,8805395767
2003-07-30,8696257159
2003-07-31,8847193532
2003-08-01,8872736610
2003-08-04,8979553120
2003-08-05,8807717865
2003-08-06,8810039963
2003-08-07,8877380806
2003-08-08,8851837728
2003-08-11,8933111159
2003-08-12,8835583042
2003-08-13,8900601787
2003-08-14,9019028787
2003-08-15,9016706689
2003-08-18,9051538159
2003-08-19,9021350885
2003-08-20,8991163610
2003-08-21,8958654238
2003-08-22,8789141081
2003-08-25,8819328355
2003-08-26,8888991297
2003-08-27,8944721650
2003-08-28,8991163610
2003-08-29,9056182356
2003-09-02,9125845297
2003-09-03,9063148650
2003-09-04,9276781669
2003-09-05,9230339709
2003-09-08,9297680552
2003-09-09,9313935238
2003-09-10,9149066277
2003-09-11,8970264728
2003-09-12,8998129905
2003-09-15,8951687944
2003-09-16,9097980120
2003-09-17,9056182356
2003-09-18,9151388375
2003-09-19,9160676767
2003-09-22,9051538159
2003-09-23,9225695512
2003-09-24,9121201101
2003-09-25,9021350885
2003-09-26,8967942630
2003-09-29,8986519414
2003-09-30,8818407435
2003-10-01,9034725363
2003-10-02,9020917836
2003-10-03,9195813181
2003-10-06,9467361218
2003-10-07,9559411400
2003-10-08,9414432364
2003-10-09,9442047418
2003-10-10,9432842400
2003-10-13,9504181291
2003-10-14,9554808891
2003-10-15,9766524310
2003-10-16,9748114273
2003-10-17,9552507637
2003-10-20,9582423946
2003-10-21,9564013909
2003-10-22,9573218928
2003-10-23,9458156200
2003-10-24,9315478418
2003-10-27,9343093473
2003-10-28,9412131109
2003-10-29,9425938636
2003-10-30,9416733618
2003-10-31,9458156200
2003-11-03,9423637382
2003-11-04,9439746164
2003-11-05,9467361218
2003-11-06,9458156200
2003-11-07,9432842400
2003-11-10,9412131109
2003-11-11,9400624836
2003-11-12,9573218928
2003-11-13,9639955309
2003-11-14,9453553691
2003-11-17,9375311036
2003-11-18,9276357091
2003-11-19,9193511927
2003-11-20,8974892745
2003-11-21,8921963890
2003-11-24,9078449199
2003-11-25,9048532890
2003-11-26,9115269272
2003-11-28,9147486836
2003-12-01,9195813181
2003-12-02,9306273400
2003-12-03,9264850818
2003-12-04,9248742036
2003-12-05,9073846690
2003-12-08,9085352963
2003-12-09,8947277690
2003-12-10,8885143817
2003-12-11,8988700272
2003-12-12,8965687726
2003-12-15,8928867654
2003-12-16,8967988981
2003-12-17,8928867654
2003-12-18,8917361381
2003-12-19,8894348835
2003-12-22,8963386472
2003-12-23,9071545436
2003-12-24,9043930381
2003-12-26,9078449199
2003-12-29,9216524472
2003-12-30,9237235763
2003-12-31,9347695982
2004-01-02,9317779672
2004-01-05,9444348673
2004-01-06,9501880036
2004-01-07,9425938636
2004-01-08,9513386309
2004-01-09,9405227345
2004-01-12,9481168746
2004-01-13,9393721073
2004-01-14,9398323582
2004-01-15,9278658345
2004-01-16,9326984691
2004-01-20,9269453327
2004-01-21,9205018200
2004-01-22,9062340417
2004-01-23,9027821599
2004-01-26,9182005654
2004-01-27,9177403145
2004-01-28,9182005654
2004-01-29,9262549563
2004-01-30,9338490963
2004-02-02,9398323582
2004-02-03,9313177163
2004-02-04,9202716945
2004-02-05,9232633254
2004-02-06,9230332000
2004-02-09,9209620709
2004-02-10,9237235763
2004-02-11,9241838272
2004-02-12,9377612291
2004-02-13,9478867491
2004-02-17,9554808891
2004-02-18,9471963727
2004-02-19,9593930218
2004-02-20,9584725200
2004-02-23,9499578782
2004-02-24,9435143655
2004-02-25,9497277527
2004-02-26,9458156200
2004-02-27,9515687564
2004-03-01,9649160328
2004-03-02,9681377891
2004-03-03,9750415528
2004-03-04,9943720910
2004-03-05,9957528437
2004-03-08,9872382019
2004-03-09,9872382019
2004-03-10,9660666600
2004-03-11,9529495091
2004-03-12,9642256564
2004-03-15,9524892582
2004-03-16,9612340255
2004-03-17,9628449037
2004-03-18,9605436491
2004-03-19,9584725200
2004-03-22,9405227345
2004-03-23,9446649927
2004-03-24,9504181291
2004-03-25,9649160328
2004-03-26,9483470000
2004-03-29,9642256564
2004-03-30,9725101728
2004-03-31,9895290899
2004-04-01,9988182623
2004-04-02,10027661605
2004-04-05,10146098553
2004-04-06,10113586450
2004-04-07,9985860330
2004-04-08,9939414468
2004-04-12,9985860330
2004-04-13,9955670519
2004-04-14,9881357140
2004-04-15,9911546950
2004-04-16,9916191537
2004-04-19,9967281985
2004-04-20,9999794088
2004-04-21,10108941864
2004-04-22,10264535502
2004-04-23,10317948243
2004-04-26,10155387726
2004-04-27,10345815760
2004-04-28,10290080726
2004-04-29,10301692191
2004-04-30,10160032312
2004-05-03,10308659070
2004-05-04,10357427226
2004-05-05,10355104932
2004-05-06,10287758433
2004-05-07,10148420847
2004-05-10,10069462881
2004-05-11,10111264157
2004-05-12,10090363519
2004-05-13,10050884536
2004-05-14,9974248864
2004-05-17,9948703640
2004-05-18,9985860330
2004-05-19,9916191537
2004-05-20,9953348226
2004-05-21,10055529123
2004-05-24,10101974985
2004-05-25,10352782639
2004-05-26,10336526588
2004-05-27,10287758433
2004-05-28,10294725312
2004-06-01,10229701105
2004-06-02,10252924036
2004-06-03,10125197916
2004-06-04,10139131674
2004-06-07,10350460346
2004-06-08,10371360984
2004-06-09,10369038691
2004-06-10,10478186467
2004-06-14,10334204295
2004-06-15,10322592829
2004-06-16,10262213208
2004-06-17,10173966071
2004-06-18,10192544415
2004-06-21,10194866709
2004-06-22,10234345691
2004-06-23,10266857795
2004-06-24,10236667984
2004-06-25,10183255243
2004-06-28,10192544415
2004-06-29,10264535502
2004-06-30,10236825001
2004-07-01,10253018848
2004-07-02,10248392035
2004-07-06,9966156408
2004-07-07,10054065865
2004-07-08,9977723442
2004-07-09,10070259713
2004-07-12,10077199933
2004-07-13,10049439052
2004-07-14,10091080374
2004-07-15,10063319493
2004-07-16,9813471560
2004-07-19,9889813984
2004-07-20,9959216187
2004-07-21,9797277713
2004-07-22,9767203425
2004-07-23,9644592865
2004-07-26,9577504069
2004-07-27,9614518577
2004-07-28,9619145391
2004-07-29,9700114628
2004-07-30,9762576611
2004-08-02,9864366509
2004-08-03,9834292221
2004-08-04,9910634645
2004-08-05,9757949798
2004-08-06,9496534831
2004-08-09,9635339238
2004-08-10,9748696170
2004-08-11,9649219679
2004-08-12,9496534831
2004-08-13,9616831984
2004-08-16,9783397272
2004-08-17,9855112882
2004-08-18,9834292221
2004-08-19,9845859255
2004-08-20,9924515086
2004-08-23,10014737950
