,PDCO
2001-11-23,2538262500
2001-11-26,2630316820
2001-11-27,2619486900
2001-11-28,2639793000
2001-11-29,2673636500
2001-11-30,2595119580
2001-12-03,2657391620
2001-12-04,2683112680
2001-12-05,2719663660
2001-12-06,2642500480
2001-12-07,2635731780
2001-12-10,2646561700
2001-12-11,2645207960
2001-12-12,2643854220
2001-12-13,2672282760
2001-12-14,2700711300
2001-12-17,2707480000
2001-12-18,2693942600
2001-12-19,2703418780
2001-12-20,2700711300
2001-12-21,2695296340
2001-12-24,2735908540
2001-12-26,2803595540
2001-12-27,2741323500
2001-12-28,2760275860
2001-12-31,2769752040
2002-01-02,2688527640
2002-01-03,2680405200
2002-01-04,2646561700
2002-01-07,2589704620
2002-01-08,2627609340
2002-01-09,2646561700
2002-01-10,2706126260
2002-01-11,2721017400
2002-01-14,2706126260
2002-01-15,2715602440
2002-01-16,2715602440
2002-01-17,2716956180
2002-01-18,2704772520
2002-01-22,2700711300
2002-01-23,2707480000
2002-01-24,2735908540
2002-01-25,2771105780
2002-01-28,2744558000
2002-01-29,2708000000
2002-01-30,2708000000
2002-01-31,2721540000
2002-02-01,2701230000
2002-02-04,2693106000
2002-02-05,2766222000
2002-02-06,2790594000
2002-02-07,2775700000
2002-02-08,2775700000
2002-02-11,2775700000
2002-02-12,2759452000
2002-02-13,2768930000
2002-02-14,2759452000
2002-02-15,2732372000
2002-02-19,2735080000
2002-02-20,2760806000
2002-02-21,2726956000
2002-02-22,2797364000
2002-02-25,2720186000
2002-02-26,2726956000
2002-02-27,2741850000
2002-02-28,2747266000
2002-03-01,2744558000
2002-03-04,2708000000
2002-03-05,2663318000
2002-03-06,2701230000
2002-03-07,2708000000
2002-03-08,2732372000
2002-03-11,2708000000
2002-03-12,2686336000
2002-03-13,2705292000
2002-03-14,2714770000
2002-03-15,2717478000
2002-03-18,2732372000
2002-03-19,2721540000
2002-03-20,2716124000
2002-03-21,2756744000
2002-03-22,2774346000
2002-03-25,2772992000
2002-03-26,2877250000
2002-03-27,2962552000
2002-03-28,2961198000
2002-04-01,2905684000
2002-04-02,2949012000
2002-04-03,3055978000
2002-04-04,3108784000
2002-04-05,3116908000
2002-04-08,3158882000
2002-04-09,3169714000
2002-04-10,3190024000
2002-04-11,3135864000
2002-04-12,3126386000
2002-04-15,3130448000
2002-04-16,3131802000
2002-04-17,3111492000
2002-04-18,3141280000
2002-04-19,3126386000
2002-04-22,3110138000
2002-04-23,3078996000
2002-04-24,3111492000
2002-04-25,3089828000
2002-04-26,3024836000
2002-04-29,3092360840
2002-04-30,3158126600
2002-05-01,3151276000
2002-05-02,3199230200
2002-05-03,3214301520
2002-05-06,3206080800
2002-05-07,3175938160
2002-05-08,3174568040
2002-05-09,3115652880
2002-05-10,3081399880
2002-05-13,3089620600
2002-05-14,3151276000
2002-05-15,3155386360
2002-05-16,3148535760
2002-05-17,3180048520
2002-05-20,3115652880
2002-05-21,3130724200
2002-05-22,3117023000
2002-05-23,3244444160
2002-05-24,3365014720
2002-05-28,3349943400
2002-05-29,3381456160
2002-05-30,3466403600
2002-05-31,3454072520
2002-06-03,3466403600
2002-06-04,3366384840
2002-06-05,3452702400
2002-06-06,3374605560
2002-06-07,3440371320
2002-06-10,3591084520
2002-06-11,3517098040
2002-06-12,3370495200
2002-06-13,3434890840
2002-06-14,3506137080
2002-06-17,3545870560
2002-06-18,3632188120
2002-06-19,3623967400
2002-06-20,3596565000
2002-06-21,3466403600
2002-06-24,3407488440
2002-06-25,3326651360
2002-06-26,3388306760
2002-06-27,3441741440
2002-06-28,3448592040
2002-07-01,3375975680
2002-07-02,3197860080
2002-07-03,3206080800
2002-07-05,3326651360
2002-07-08,3278697160
2002-07-09,3174568040
2002-07-10,3055367600
2002-07-11,3027965200
2002-07-12,3077289520
2002-07-15,3060848080
2002-07-16,3043036520
2002-07-17,3141685160
2002-07-18,3111542520
2002-07-19,3055367600
2002-07-22,2929316560
2002-07-23,2967679920
2002-07-24,3007413400
2002-07-25,3086880360
2002-07-26,3022484720
2002-07-29,3075960600
2002-07-30,3088182960
2002-07-31,3142504560
2002-08-01,3086824920
2002-08-02,3070528440
2002-08-05,3020280960
2002-08-06,3069170400
2002-08-07,3124850040
2002-08-08,3256579920
2002-08-09,3310901520
2002-08-12,3381519600
2002-08-13,3309543480
2002-08-14,3426334920
2002-08-15,3506459280
2002-08-16,3468434160
2002-08-19,3443989440
2002-08-20,3404606280
2002-08-21,3433125120
2002-08-22,3316333680
2002-08-23,3230777160
2002-08-26,3241641480
2002-08-27,3200900280
2002-08-28,3194110080
2002-08-29,3225345000
2002-08-30,3238925400
2002-09-03,3164233200
2002-09-04,3257937960
2002-09-05,3225345000
2002-09-06,3240283440
2002-09-09,3257937960
2002-09-10,3332630160
2002-09-11,3369297240
2002-09-12,3354358800
2002-09-13,3404606280
2002-09-16,3408680400
2002-09-17,3429051000
2002-09-18,3574361280
2002-09-19,3506459280
2002-09-20,3515965560
2002-09-23,3544484400
2002-09-24,3438557280
2002-09-25,3549916560
2002-09-26,3543126360
2002-09-27,3482014560
2002-09-30,3475224360
2002-10-01,3475224360
2002-10-02,3448063560
2002-10-03,3496953000
2002-10-04,3429051000
2002-10-07,3325839960
2002-10-08,3370655280
2002-10-09,3446705520
2002-10-10,3521397720
2002-10-11,3539052240
2002-10-14,3670782120
2002-10-15,3605596200
2002-10-16,3673498200
2002-10-17,3659917800
2002-10-18,3628682880
2002-10-21,3597447960
2002-10-22,3582509520
2002-10-23,3693868800
2002-10-24,3674856240
2002-10-25,3681646440
2002-10-28,3572901900
2002-10-29,3541715280
2002-10-30,3525444000
2002-10-31,3491545500
2002-11-01,3525444000
2002-11-04,3496969260
2002-11-05,3454935120
2002-11-06,3525444000
2002-11-07,3522732120
2002-11-08,3477986100
2002-11-11,3419680680
2002-11-12,3457647000
2002-11-13,3482053920
2002-11-14,3468494520
2002-11-15,3513240540
2002-11-18,3471206400
2002-11-19,3423748500
2002-11-20,3437307900
2002-11-21,2779677000
2002-11-22,2846118060
2002-11-25,2691540900
2002-11-26,2672557740
2002-11-27,2710524060
2002-11-29,2847474000
2002-12-02,2745778500
2002-12-03,2711880000
2002-12-04,2725439400
2002-12-05,2759337900
2002-12-06,2783744820
2002-12-09,2820355200
2002-12-10,2878660620
2002-12-11,2913915060
2002-12-12,2842050240
2002-12-13,2861033400
2002-12-16,2867813100
2002-12-17,2884084380
2002-12-18,2904423480
2002-12-19,2943745740
2002-12-20,2989847700
2002-12-23,3042729360
2002-12-24,3033237780
2002-12-26,3023746200
2002-12-27,2957305140
2002-12-30,2932898220
2002-12-31,2965440780
2003-01-02,2991203640
2003-01-03,2968152660
2003-01-06,2993915520
2003-01-07,2928830400
2003-01-08,2863745280
2003-01-09,2890864080
2003-01-10,2901711600
2003-01-13,2945101680
2003-01-14,3004763040
2003-01-15,2974932360
2003-01-16,2951881380
2003-01-17,2927474460
2003-01-21,2904423480
2003-01-22,2867813100
2003-01-23,2907135360
2003-01-24,2865101220
2003-01-27,2855685100
2003-01-28,2854328480
2003-01-29,2912663140
2003-01-30,2813629880
2003-01-31,2793280580
2003-02-03,2828552700
2003-02-04,2774287900
2003-02-05,2691534080
2003-02-06,2743085640
2003-02-07,2688820840
2003-02-10,2718666480
2003-02-11,2733589300
2003-02-12,2658975200
2003-02-13,2601997160
2003-02-14,2610136880
2003-02-18,2702387040
2003-02-19,2709170140
2003-02-20,2857041720
2003-02-21,2950648500
2003-02-24,2874677780
2003-02-25,2942508780
2003-02-26,2871964540
2003-02-27,2953361740
2003-02-28,2984564000
2003-03-03,2966927940
2003-03-04,2960144840
2003-03-05,3067317820
2003-03-06,3033402320
2003-03-07,3052395000
2003-03-10,2941152160
2003-03-11,2958788220
2003-03-12,2949291880
2003-03-13,3052395000
2003-03-14,3017122880
2003-03-17,3083597260
2003-03-18,3044255280
2003-03-19,3080884020
2003-03-20,3025262600
2003-03-21,3106659800
2003-03-24,2989990480
2003-03-25,3140575300
2003-03-26,3141931920
2003-03-27,3133792200
2003-03-28,3154141500
2003-03-31,3114799520
2003-04-01,3093093600
2003-04-02,3120226000
2003-04-03,2930299200
2003-04-04,2825839460
2003-04-07,2870607920
2003-04-08,2858398340
2003-04-09,2805490160
2003-04-10,2839405660
2003-04-11,2747155500
2003-04-14,2577578000
2003-04-15,2596570680
2003-04-16,2572151520
2003-04-17,2416140220
2003-04-21,2507033760
2003-04-22,2635912660
2003-04-23,2669828160
2003-04-24,2638625900
2003-04-25,2620989840
2003-04-28,2708092960
2003-04-29,2750152520
2003-04-30,2724374080
2003-05-01,2651109040
2003-05-02,2713520000
2003-05-05,2698595640
2003-05-06,2774574200
2003-05-07,2756936320
2003-05-08,2682314520
2003-05-09,2694525360
2003-05-12,2697238880
2003-05-13,2685028040
2003-05-14,2689098320
2003-05-15,2746082240
2003-05-16,2784071520
2003-05-19,2723017320
2003-05-20,2793568840
2003-05-21,2819347280
2003-05-22,3002509880
2003-05-23,2946882720
2003-05-27,2979444960
2003-05-28,2944169200
2003-05-29,2930601600
2003-05-30,2982158480
2003-06-02,2953666520
2003-06-03,2923817800
2003-06-04,2957736800
2003-06-05,2975374680
2003-06-06,2959093560
2003-06-09,2934671880
2003-06-10,2893969080
2003-06-11,2987585520
2003-06-12,2978088200
2003-06-13,2925174560
2003-06-16,3056780280
2003-06-17,3060850560
2003-06-18,3108337160
2003-06-19,3048639720
2003-06-20,3077131680
2003-06-23,3060850560
2003-06-24,3052710000
2003-06-25,3052710000
2003-06-26,3086629000
2003-06-27,3070347880
2003-06-30,3079845200
2003-07-01,3081201960
2003-07-02,3086629000
2003-07-03,3043212680
2003-07-07,3079845200
2003-07-08,3106980400
2003-07-09,3096126320
2003-07-10,3073061400
2003-07-11,3176175160
2003-07-14,3352553960
2003-07-15,3343056640
2003-07-16,3334916080
2003-07-17,3315921440
2003-07-18,3291499760
2003-07-21,3324062000
2003-07-22,3386472960
2003-07-23,3364764800
2003-07-24,3357981000
2003-07-25,3454310960
2003-07-28,3463206000
2003-07-29,3563706880
2003-07-30,3647910320
2003-07-31,3632971000
2003-08-01,3616673560
2003-08-04,3565065000
2003-08-05,3461847880
2003-08-06,3427894880
2003-08-07,3419746160
2003-08-08,3392583760
2003-08-11,3380360680
2003-08-12,3395300000
2003-08-13,3421104280
2003-08-14,3453699160
2003-08-15,3497159000
2003-08-18,3670998360
2003-08-19,3789154800
2003-08-20,3582720560
2003-08-21,3676430840
2003-08-22,3571855600
2003-08-25,3518888920
2003-08-26,3573213720
2003-08-27,3599018000
2003-08-28,3604450480
2003-08-29,3694086400
2003-09-02,3794587280
2003-09-03,3699518880
2003-09-04,3729397520
2003-09-05,3695444520
2003-09-08,3816317200
2003-09-09,3812242840
2003-09-10,3760634280
2003-09-11,3768783000
2003-09-12,3763350520
2003-09-15,3836689000
2003-09-16,3960277920
2003-09-17,3990156560
2003-09-18,4059420680
2003-09-19,4053988200
2003-09-22,4075718120
2003-09-23,4101522400
2003-09-24,3964352280
2003-09-25,3880148840
2003-09-26,3885581320
2003-09-29,3922250560
2003-09-30,3910027480
2003-10-01,3999663400
2003-10-02,3979291600
2003-10-03,4024109560
2003-10-06,4043123240
2003-10-07,4089299320
2003-10-08,4089299320
2003-10-09,4142266000
2003-10-10,4166712160
2003-10-13,4227827560
2003-10-14,4197948920
2003-10-15,4142266000
2003-10-16,4312031000
2003-10-17,4219678840
2003-10-20,4252273720
2003-10-21,4237334400
2003-10-22,4121894200
2003-10-23,4161279680
2003-10-24,4242766880
2003-10-27,4234666320
2003-10-28,4352975880
2003-10-29,4344816600
2003-10-30,4329857920
2003-10-31,4351616000
2003-11-03,4444087840
2003-11-04,4423689640
2003-11-05,4366574680
2003-11-06,4483524360
2003-11-07,4599114160
2003-11-10,4643990200
2003-11-11,4629031520
2003-11-12,4682066840
2003-11-13,4745981200
2003-11-14,4584155480
2003-11-17,4623592000
2003-11-18,4529760280
2003-11-19,4472645320
2003-11-20,4419610000
2003-11-21,4570556680
2003-11-24,4695665640
2003-11-25,4688866240
2003-11-26,4626311760
2003-11-28,4630391400
2003-12-01,4676627320
2003-12-02,4657589000
2003-12-03,4582795600
2003-12-04,4624951880
2003-12-05,4620872240
2003-12-08,4649429720
2003-12-09,4487604000
2003-12-10,4513441720
2003-12-11,4565117160
2003-12-12,4551518360
2003-12-15,4484884240
2003-12-16,4472645320
2003-12-17,4469925560
2003-12-18,4435928560
2003-12-19,4361135160
2003-12-22,4351616000
2003-12-23,4392412400
2003-12-24,4301300440
2003-12-26,4306739960
2003-12-29,4369294440
2003-12-30,4380173480
2003-12-31,4351616000
2004-01-02,4287701640
2004-01-05,4159872920
2004-01-06,4104117840
2004-01-07,4131315440
2004-01-08,4104117840
2004-01-09,4101398080
2004-01-12,4108197480
2004-01-13,4098678320
2004-01-14,4161232800
2004-01-15,4372014200
2004-01-16,4438648320
2004-01-20,4459046520
2004-01-21,4522960880
2004-01-22,4550158480
2004-01-23,4580075840
2004-01-26,4696450600
2004-01-27,4571393160
2004-01-28,4477600080
2004-01-29,4579549080
2004-01-30,4480318720
2004-02-02,4544206760
2004-02-03,4502067840
2004-02-04,4526535600
2004-02-05,4453132320
2004-02-06,4552362680
2004-02-09,4538769480
2004-02-10,4565955880
2004-02-11,4678779440
2004-02-12,4608094800
2004-02-13,4549644040
2004-02-17,4665186240
2004-02-18,4546925400
2004-02-19,4427305240
2004-02-20,4472162800
2004-02-23,4466725520
2004-02-24,4502067840
2004-02-25,4518379680
2004-02-26,4544206760
2004-02-27,4606735480
2004-03-01,4633921880
2004-03-02,4572752480
2004-03-03,4556440640
2004-03-04,4553722000
2004-03-05,4628484600
2004-03-08,4608094800
2004-03-09,4718199720
2004-03-10,4744026800
2004-03-11,4684216720
2004-03-12,4715481080
2004-03-15,4682857400
2004-03-16,4703247200
2004-03-17,4680138760
2004-03-18,4614891400
2004-03-19,4531972880
2004-03-22,4493911920
2004-03-23,4570033840
2004-03-24,4553722000
2004-03-25,4610813440
2004-03-26,4572752480
2004-03-29,4633921880
2004-03-30,4662467600
2004-03-31,4657030320
2004-04-01,4771213200
2004-04-02,4903067240
2004-04-05,5155900760
2004-04-06,5101527960
2004-04-07,5097450000
2004-04-08,5109683880
2004-04-12,5180368520
2004-04-13,5096090680
2004-04-14,5234741320
2004-04-15,5289114120
2004-04-16,5343486920
2004-04-19,5301348000
2004-04-20,5202117640
2004-04-21,5266005680
2004-04-22,5342127600
2004-04-23,5233382000
2004-04-26,5256097000
2004-04-27,5131861980
2004-04-28,5056774880
2004-04-29,5099096700
2004-04-30,5028105260
2004-05-03,5153705500
2004-05-04,5164627260
2004-05-05,5291592720
2004-05-06,5206949080
2004-05-07,5123670660
2004-05-10,4988513880
2004-05-11,5125035880
2004-05-12,5148244620
2004-05-13,5086809720
2004-05-14,5092270600
2004-05-17,5078618400
2004-05-18,5111383680
2004-05-19,5095001040
2004-05-20,4812400500
2004-05-21,4819226600
2004-05-24,4846531000
2004-05-25,4940731180
2004-05-26,5056774880
2004-05-27,5108653240
2004-05-28,5168722920
2004-06-01,5241079580
2004-06-02,5247905680
2004-06-03,5201488200
2004-06-04,5144148960
2004-06-07,5306610140
2004-06-08,5284766620
2004-06-09,5178279460
2004-06-10,5283401400
2004-06-14,5223331720
2004-06-15,5256097000
2004-06-16,5152340280
2004-06-17,5112748900
2004-06-18,5116844560
2004-06-21,5090905380
2004-06-22,5063600980
2004-06-23,5074522740
2004-06-24,5126401100
2004-06-25,5092270600
2004-06-28,5085444500
2004-06-29,5150975060
2004-06-30,5221966500
2004-07-01,5092270600
2004-07-02,5201488200
2004-07-06,5069061860
2004-07-07,5126401100
2004-07-08,5037661800
2004-07-09,4962574700
2004-07-12,4965305140
2004-07-13,4996705200
2004-07-14,5006261740
2004-07-15,4998070420
2004-07-16,4917522440
2004-07-19,4984418220
2004-07-20,5040392240
2004-07-21,4899774580
2004-07-22,4920252880
2004-07-23,4890218040
2004-07-26,4767348240
2004-07-27,5048583560
2004-07-28,5026740040
2004-07-29,4985783440
2004-07-30,5011722620
2004-08-02,5148148050
2004-08-03,5209679700
2004-08-04,5168658600
2004-08-05,5130372240
2004-08-06,5018247900
2004-08-09,4990900500
2004-08-10,5103024840
2004-08-11,5179597560
2004-08-12,5159087010
2004-08-13,5154984900
2004-08-16,5118065910
2004-08-17,5120800650
2004-08-18,5196006000
2004-08-19,5161821750
2004-08-20,5215149180
2004-08-23,5230190250
