,DYN
2022-10-04,676849042
2022-10-05,677898420
2022-10-06,696787231
2022-10-07,667404636
2022-10-10,662682434
2022-10-11,665305880
2022-10-12,690490960
2022-10-13,683670001
2022-10-14,692065028
2022-10-17,682620623
2022-10-18,650089894
2022-10-19,633299840
2022-10-20,607065381
2022-10-21,618083854
2022-10-24,596571597
2022-10-25,596046908
2022-10-26,562466800
2022-10-27,568238381
2022-10-28,607590070
2022-10-31,598145665
2022-11-01,563516179
2022-11-02,539380477
2022-11-03,591324705
2022-11-04,547775503
2022-11-07,518917599
2022-11-08,513146018
2022-11-09,540429855
2022-11-10,550398949
2022-11-11,533608896
2022-11-14,532034828
2022-11-15,524164490
2022-11-16,513146018
2022-11-17,500028788
2022-11-18,495831275
2022-11-21,491633761
2022-11-22,540429855
2022-11-23,550923639
2022-11-25,561417422
2022-11-28,558793976
2022-11-29,566139625
2022-11-30,613886340
2022-12-01,625954191
2022-12-02,624380124
2022-12-05,601818489
2022-12-06,591324705
2022-12-07,577158098
2022-12-08,592374084
2022-12-09,562466800
2022-12-12,611262894
2022-12-13,640120799
2022-12-14,724071068
2022-12-15,713052595
2022-12-16,709379771
2022-12-19,704132879
2022-12-20,714626663
2022-12-21,702034122
2022-12-22,696787231
2022-12-23,642744245
2022-12-27,588176570
2022-12-28,578207476
2022-12-29,598145665
2022-12-30,608114759
2023-01-03,659012608
2023-01-04,668024747
2023-01-05,647184177
2023-01-06,655633056
2023-01-09,644931142
2023-01-10,663518677
2023-01-11,670277781
2023-01-12,670841040
2023-01-13,729983197
2023-01-17,759835905
2023-01-18,778986699
2023-01-19,779549957
2023-01-20,781802992
2023-01-23,768848043
2023-01-24,767721526
2023-01-25,760962422
2023-01-26,798700751
2023-01-27,833059528
2023-01-30,822920873
2023-01-31,822357614
2023-02-01,822920873
2023-02-02,795884458
2023-02-03,788562096
2023-02-06,790251871
2023-02-07,791378389
2023-02-08,773917371
2023-02-09,754766577
2023-02-10,758991017
2023-02-13,750260508
2023-02-14,745754439
2023-02-15,770537819
2023-02-16,741248370
2023-02-17,741811628
2023-02-21,689991834
2023-02-22,687175540
2023-02-23,692808127
2023-02-24,653380022
2023-02-27,736742301
2023-02-28,725477128
2023-03-01,767721526
2023-03-02,806586372
2023-03-03,844887960
2023-03-06,844887960
2023-03-07,831369752
2023-03-08,809965924
2023-03-09,768284784
2023-03-10,737305559
2023-03-13,742374887
2023-03-14,760399164
2023-03-15,711395662
2023-03-16,723787352
2023-03-17,690555092
2023-03-20,679289919
2023-03-21,671404298
2023-03-22,646620918
2023-03-23,629723159
2023-03-24,622400797
2023-03-27,612825400
2023-03-28,626906866
2023-03-29,628033383
2023-03-30,652253505
2023-03-31,689300202
2023-04-03,661177711
2023-04-04,568433326
2023-04-05,545097642
2023-04-06,561253116
2023-04-10,527745467
2023-04-11,519368555
2023-04-12,510393292
2023-04-13,541507537
2023-04-14,544499291
2023-04-17,570826729
2023-04-18,582195396
2023-04-19,629465115
2023-04-20,628268413
2023-04-21,679128237
2023-04-24,675538132
2023-04-25,636645325
2023-04-26,624079957
2023-04-27,607326133
2023-04-28,619891501
2023-05-01,667759570
2023-05-02,691693605
2023-05-03,722209500
2023-05-04,724004552
2023-05-05,835896165
2023-05-08,816150586
2023-05-09,854445042
2023-05-10,837392042
2023-05-11,813757183
2023-05-12,803585218
2023-05-15,819142341
2023-05-16,798798411
2023-05-17,811962130
2023-05-18,787429744
2023-05-19,819740691
2023-05-22,833502761
2023-05-23,819740691
2023-05-24,807175323
2023-05-25,746143534
2023-05-26,757512201
2023-05-30,756315499
2023-05-31,779651183
2023-06-01,765290762
2023-06-02,803585218
2023-06-05,833502761
2023-06-06,850256586
2023-06-07,854445042
2023-06-08,805380271
2023-06-09,775462727
