,PLL
2018-12-06,58693051
2018-12-07,57621032
2018-12-10,61909108
2018-12-11,57018021
2018-12-12,56013003
2018-12-13,53667961
2018-12-14,52260936
2018-12-17,51925930
2018-12-18,50652907
2018-12-19,48240864
2018-12-20,48240864
2018-12-21,41004734
2018-12-24,41004734
2018-12-26,47436849
2018-12-27,46297829
2018-12-28,43885786
2018-12-31,41071735
2019-01-02,41071735
2019-01-03,40535726
2019-01-04,43215774
2019-01-07,49513886
2019-01-08,50250900
2019-01-09,53533958
2019-01-10,51724926
2019-01-11,46565834
2019-01-14,49781891
2019-01-15,49714890
2019-01-16,50920912
2019-01-17,50585906
2019-01-18,49245882
2019-01-22,50585906
2019-01-23,49245882
2019-01-24,49044878
2019-01-25,50250900
2019-01-28,50250900
2019-01-29,47570852
2019-01-30,49647889
2019-01-31,49647889
2019-02-01,48910876
2019-02-04,48039860
2019-02-05,50183898
2019-02-06,50183898
2019-02-07,50116897
2019-02-08,48910876
2019-02-11,50920912
2019-02-12,49580888
2019-02-13,49513886
2019-02-14,49245882
2019-02-15,48843874
2019-02-19,48977877
2019-02-20,48977877
2019-02-21,48240864
2019-02-22,50116897
2019-02-25,50384902
2019-02-26,52059932
2019-02-27,51858928
2019-02-28,51121915
2019-03-01,51724926
2019-03-04,51322919
2019-03-05,49312883
2019-03-06,51523922
2019-03-07,51456921
2019-03-08,51992931
2019-03-11,53935966
2019-03-12,53265954
2019-03-13,53131951
2019-03-14,51590924
2019-03-15,53935966
2019-03-18,51657925
2019-03-19,53265954
2019-03-20,53600960
2019-03-21,50987913
2019-03-22,52595942
2019-03-25,52461939
2019-03-26,51925930
2019-03-27,52595942
2019-03-28,52193934
2019-03-29,51925930
2019-04-01,55744998
2019-04-02,54940983
2019-04-03,59631068
2019-04-04,64254150
2019-04-05,60033075
2019-04-08,65058165
2019-04-09,75175346
2019-04-10,78123399
2019-04-11,81607461
2019-04-12,75912359
2019-04-15,75979360
2019-04-16,76448369
2019-04-17,85694534
2019-04-18,90451620
2019-04-22,88642587
2019-04-23,87034558
2019-04-24,77386386
2019-04-25,77386386
2019-04-26,70686266
2019-04-29,68006218
2019-04-30,68006218
2019-05-01,67671212
2019-05-02,69547245
2019-05-03,74371332
2019-05-06,70686266
2019-05-07,76850376
2019-05-08,70485262
2019-05-09,76716374
2019-05-10,81406458
2019-05-13,79731428
2019-05-14,76113363
2019-05-15,76046362
2019-05-16,74706338
2019-05-17,75979360
2019-05-20,74371332
2019-05-21,75041344
2019-05-22,81004450
2019-05-23,77118381
2019-05-24,81674462
2019-05-28,77185382
2019-05-29,77118381
2019-05-30,79731428
2019-05-31,79396422
2019-06-03,80200436
2019-06-04,78391404
2019-06-05,77721392
2019-06-06,79798429
2019-06-07,77721392
2019-06-10,78056398
2019-06-11,79865430
2019-06-12,79731428
2019-06-13,78056398
2019-06-14,78458405
2019-06-17,77051380
2019-06-18,77051380
2019-06-19,75376350
2019-06-20,77386386
2019-06-21,80066434
2019-06-24,75175346
2019-06-25,76783375
2019-06-26,79396422
2019-06-27,80066434
2019-06-28,78659408
2019-07-01,78659408
2019-07-02,78659408
2019-07-03,77855394
2019-07-05,75510352
2019-07-08,75510352
2019-07-09,72830304
2019-07-10,72763303
2019-07-11,69346242
2019-07-12,67470208
2019-07-15,68542227
2019-07-16,66934198
2019-07-17,70351260
2019-07-18,68408225
2019-07-19,67336206
2019-07-22,67336206
2019-07-23,67403207
2019-07-24,68006218
2019-07-25,66599192
2019-07-26,70351260
2019-07-29,66532191
2019-07-30,66532191
2019-07-31,66800196
2019-08-01,67001200
2019-08-02,66800196
2019-08-05,64321152
2019-08-06,62981128
2019-08-07,62311116
2019-08-08,62311116
2019-08-09,64991163
2019-08-12,64053147
2019-08-13,62311116
2019-08-14,61306098
2019-08-15,61641103
2019-08-16,61306098
2019-08-19,59899072
2019-08-20,58224042
2019-08-21,55275990
2019-08-22,55275990
2019-08-23,60770088
2019-08-26,57018021
2019-08-27,57621032
2019-08-28,57755034
2019-08-29,59296062
2019-08-30,58023039
2019-09-03,49580888
2019-09-04,52461939
2019-09-05,48240864
2019-09-06,48240864
2019-09-09,50049896
2019-09-10,47771855
2019-09-11,48575870
2019-09-12,48374866
2019-09-13,48374866
2019-09-16,47436849
2019-09-17,48910876
2019-09-18,48307865
2019-09-19,47570852
2019-09-20,45828820
2019-09-23,46096825
2019-09-24,43215774
2019-09-25,43550780
2019-09-26,42947769
2019-09-27,44086789
2019-09-30,46230828
2019-10-01,43952787
2019-10-02,46096825
2019-10-03,43282775
2019-10-04,43215774
2019-10-07,43550780
2019-10-08,42880768
2019-10-09,41607745
2019-10-10,41540744
2019-10-11,43550780
2019-10-14,43483778
2019-10-15,43550780
2019-10-16,45426813
2019-10-17,58559048
2019-10-18,52662943
2019-10-21,52059932
2019-10-22,54136969
2019-10-23,52729944
2019-10-24,55543994
2019-10-25,56013003
2019-10-28,58894054
2019-10-29,57286026
2019-10-30,54940983
2019-10-31,54940983
2019-11-01,52997949
2019-11-04,52662943
2019-11-05,52662943
2019-11-06,52930948
2019-11-07,52595942
2019-11-08,50451903
2019-11-11,52595942
2019-11-12,51456921
2019-11-13,46900840
2019-11-14,47905858
2019-11-15,47369848
2019-11-18,47235846
2019-11-19,47168844
2019-11-20,46900840
2019-11-21,46900840
2019-11-22,47235846
2019-11-25,48307865
2019-11-26,50317901
2019-11-27,51255918
2019-11-29,51255918
2019-12-02,50585906
2019-12-03,47369848
2019-12-04,47436849
2019-12-05,51054914
2019-12-06,50250900
2019-12-09,49848892
2019-12-10,50652907
2019-12-11,51188916
2019-12-12,50920912
2019-12-13,53332955
2019-12-16,56080004
2019-12-17,54806981
2019-12-18,55879000
2019-12-19,52126933
2019-12-20,54672979
2019-12-23,54203970
2019-12-24,54605978
2019-12-26,55744998
2019-12-27,55342991
2019-12-30,55744998
2019-12-31,55342991
2020-01-02,71555511
2020-01-03,71986569
2020-01-06,72934895
2020-01-07,71555511
2020-01-08,71986569
2020-01-09,79831811
2020-01-10,84142384
2020-01-13,86642517
2020-01-14,84401019
2020-01-15,85780402
2020-01-16,84056173
2020-01-17,81900887
2020-01-21,82763001
2020-01-22,79314543
2020-01-23,77590314
2020-01-24,77590314
2020-01-27,77590314
2020-01-28,76038507
2020-01-29,71814146
2020-01-30,73279741
2020-01-31,72245203
2020-02-03,72245203
2020-02-04,72676260
2020-02-05,71296877
2020-02-06,73365952
2020-02-07,71814146
2020-02-10,72762472
2020-02-11,71469300
2020-02-12,74659124
2020-02-13,74141855
2020-02-14,74141855
2020-02-18,75866084
2020-02-19,72934895
2020-02-20,72417626
2020-02-21,75866084
2020-02-24,74486701
2020-02-25,70262339
2020-02-26,66469035
2020-02-27,68193264
2020-02-28,64658595
2020-03-02,60606656
2020-03-03,61210136
2020-03-04,66469035
2020-03-05,62244674
2020-03-06,60779079
2020-03-09,54744277
2020-03-10,56037449
2020-03-11,55089122
2020-03-12,48278417
2020-03-13,49226743
2020-03-16,43105730
2020-03-17,46985245
2020-03-18,40088328
2020-03-19,39226214
2020-03-20,38364099
2020-03-23,35519121
2020-03-24,37070927
2020-03-25,40088328
2020-03-26,41295289
2020-03-27,40950443
2020-03-30,47330091
2020-03-31,43881633
2020-04-01,47330091
2020-04-02,41812558
2020-04-03,42502249
2020-04-06,43105730
2020-04-07,44312690
2020-04-08,44829959
2020-04-09,43278152
2020-04-13,45519650
2020-04-14,46554188
2020-04-15,43105730
2020-04-16,44743747
2020-04-17,44829959
2020-04-20,45433439
2020-04-21,43967844
2020-04-22,45174805
2020-04-23,44398901
2020-04-24,43709210
2020-04-27,55089122
2020-04-28,54830488
2020-04-29,54313219
2020-04-30,54227008
2020-05-01,59399695
2020-05-04,53451105
2020-05-05,50433704
2020-05-06,52675202
2020-05-07,55606391
2020-05-08,56727140
2020-05-11,60261810
2020-05-12,57589255
2020-05-13,58968638
2020-05-14,62072251
2020-05-15,64658595
2020-05-18,63710268
2020-05-19,66727670
2020-05-20,66813881
2020-05-21,67331150
2020-05-22,67675996
2020-05-26,66900092
2020-05-27,69831282
2020-05-28,70262339
2020-05-29,66813881
2020-06-01,64227537
2020-06-02,67244938
2020-06-03,71986569
2020-06-04,73365952
2020-06-05,71210665
2020-06-08,71210665
2020-06-09,55089122
2020-06-10,54313219
2020-06-11,52244144
2020-06-12,53106259
2020-06-15,52157933
2020-06-16,51295818
2020-06-17,52244144
2020-06-18,52675202
2020-06-19,51468241
2020-06-22,51037184
2020-06-23,50950972
2020-06-24,50088858
2020-06-25,49571589
2020-06-26,48019783
2020-06-29,48450840
2020-06-30,49744012
2020-07-01,61200074
2020-07-02,61754422
2020-07-06,68406604
2020-07-07,67076168
2020-07-08,69071823
2020-07-09,73284871
2020-07-10,74615308
2020-07-13,69182692
2020-07-14,69737041
2020-07-15,69958780
2020-07-16,73174002
2020-07-17,75391396
2020-07-20,82376187
2020-07-21,83374014
2020-07-22,84150102
2020-07-23,85037059
2020-07-24,84482711
2020-07-27,86256626
2020-07-28,79160965
2020-07-29,74837047
2020-07-30,76721832
2020-07-31,72065305
2020-08-03,70623998
2020-08-04,71510956
2020-08-05,72619653
2020-08-06,72176174
2020-08-07,72065305
2020-08-10,72841392
2020-08-11,72176174
2020-08-12,70291389
2020-08-13,70845738
2020-08-14,71400086
2020-08-17,73174002
2020-08-18,72508783
2020-08-19,70956608
2020-08-20,68517474
2020-08-21,67076168
2020-08-24,66300080
2020-08-25,67408777
2020-08-26,68184865
2020-08-27,68628344
2020-08-28,67076168
2020-08-31,67187038
2020-09-01,67630517
2020-09-02,68739214
2020-09-03,68628344
2020-09-04,67187038
2020-09-08,66632689
2020-09-09,70956608
2020-09-10,73174002
2020-09-11,78163138
2020-09-14,80491402
2020-09-15,84371841
2020-09-16,92021851
2020-09-17,121956670
2020-09-18,121956670
2020-09-21,121956670
2020-09-22,121956670
2020-09-23,121956670
2020-09-24,121956670
2020-09-25,121956670
2020-09-28,410217890
2020-09-29,281387298
2020-09-30,259656837
2020-10-01,351987410
2020-10-02,363113049
2020-10-05,482018318
2020-10-06,584096058
2020-10-07,595777979
2020-10-08,540288853
2020-10-09,543904686
2020-10-12,478402485
2020-10-13,445025568
2020-10-14,468806621
2020-10-15,456151207
2020-10-16,419158456
2020-10-19,406085830
2020-10-20,406085830
2020-10-21,406085830
2020-10-22,375629393
2020-10-23,358523723
2020-10-26,337802220
2020-10-27,324034241
2020-10-28,294829438
2020-10-29,300809469
2020-10-30,277306557
2020-11-02,291630817
2020-11-03,332100330
2020-11-04,312213250
2020-11-05,337941290
2020-11-06,313047672
2020-11-09,317219787
2020-11-10,330709625
2020-11-11,339888277
2020-11-12,367146093
2020-11-13,371596349
2020-11-16,413178425
2020-11-17,389536442
2020-11-18,361026992
2020-11-19,376324745
2020-11-20,366311670
2020-11-23,403304421
2020-11-24,394542980
2020-11-25,398993235
2020-11-27,407476535
2020-11-30,388562949
2020-12-01,359914428
2020-12-02,358106511
2020-12-03,371040067
2020-12-04,353099974
2020-12-07,373821477
2020-12-08,378967085
2020-12-09,360748851
2020-12-10,357411159
2020-12-11,361583274
2020-12-14,345590167
2020-12-15,354768819
2020-12-16,364364683
2020-12-17,373404265
2020-12-18,390231794
2020-12-21,387311314
2020-12-22,433204576
2020-12-23,408867240
2020-12-24,396072755
2020-12-28,390370865
2020-12-29,376324745
2020-12-30,382304777
2020-12-31,369232150
2021-01-04,398436953
2021-01-05,448502330
2021-01-06,417906822
2021-01-07,486329503
2021-01-08,471170820
2021-01-11,464356366
2021-01-12,483409023
2021-01-13,500514693
2021-01-14,556281960
2021-01-15,568937374
2021-01-19,641532170
2021-01-20,610519451
2021-01-21,691041264
2021-01-22,669485338
2021-01-25,768364457
2021-01-26,842210887
2021-01-27,866687293
2021-01-28,768781668
2021-01-29,690902194
2021-02-01,749172729
2021-02-02,741384782
2021-02-03,716352093
2021-02-04,736656385
2021-02-05,701332481
2021-02-08,802436727
2021-02-09,829138261
2021-02-10,817873551
2021-02-11,747364813
2021-02-12,784218493
2021-02-16,841515534
2021-02-17,811754450
2021-02-18,759603016
2021-02-19,826078710
2021-02-22,786860832
2021-02-23,774622629
2021-02-24,881706906
2021-02-25,890885558
2021-02-26,934136481
2021-03-01,1025366722
2021-03-02,1123411418
2021-03-03,1033432811
2021-03-04,837343420
2021-03-05,771841219
2021-03-08,779072884
2021-03-09,948182600
2021-03-10,936639750
2021-03-11,1009651757
2021-03-12,998804259
2021-03-15,1102828985
2021-03-16,1065697164
2021-03-17,1068478574
2021-03-18,1107001100
2021-03-19,1097822448
2021-03-22,1136344973
2021-03-23,1136344973
2021-03-24,950129587
2021-03-25,978360897
2021-03-26,979056249
2021-03-29,890051136
2021-03-30,879759919
2021-03-31,966400835
2021-04-01,922833314
2021-04-05,901422498
2021-04-06,922968826
2021-04-07,890581578
2021-04-08,984762070
2021-04-09,939094695
2021-04-12,908333584
2021-04-13,941940436
2021-04-14,921478200
2021-04-15,911179325
2021-04-16,881773330
2021-04-19,894104877
2021-04-20,862937232
2021-04-21,915651205
2021-04-22,910772791
2021-04-23,945463735
2021-04-26,1000481404
2021-04-27,1014981135
2021-04-28,998042197
2021-04-29,980696725
2021-04-30,958066305
2021-05-03,925814567
2021-05-04,917412855
2021-05-05,921478200
2021-05-06,884077025
2021-05-07,892478739
2021-05-10,861853140
2021-05-11,849115059
2021-05-12,778649079
2021-05-13,743822623
2021-05-14,790980625
2021-05-17,826620150
2021-05-18,887058278
2021-05-19,830821006
2021-05-20,832311633
2021-05-21,822148270
2021-05-24,851418754
2021-05-25,862937232
2021-05-26,861175582
2021-05-27,880011681
2021-05-28,879469635
2021-06-01,900067383
2021-06-02,932319120
2021-06-03,936926511
2021-06-04,974056661
2021-06-07,938010603
2021-06-08,930150936
2021-06-09,944786178
2021-06-10,990860088
2021-06-11,993434806
2021-06-14,964570857
2021-06-15,936655488
2021-06-16,953594425
2021-06-17,932725654
2021-06-18,919445527
2021-06-21,919987573
2021-06-22,937333045
2021-06-23,1004275726
2021-06-24,982458375
2021-06-25,988420881
2021-06-28,1027719216
2021-06-29,1040728320
2021-06-30,1239854190
2021-07-01,1217011431
2021-07-02,1234143500
2021-07-06,1124371353
2021-07-07,1081382550
2021-07-08,1076465012
2021-07-09,1127068068
2021-07-12,1157207819
2021-07-13,1097562838
2021-07-14,1062664178
2021-07-15,1074085558
2021-07-16,1021578938
2021-07-19,1000639743
2021-07-20,801400124
2021-07-21,913868985
2021-07-22,883411973
2021-07-23,829953572
2021-07-26,840740431
2021-07-27,802193275
2021-07-28,833602068
2021-07-29,884363755
2021-07-30,873418266
2021-08-02,870404291
2021-08-03,880873889
2021-08-04,893722941
2021-08-05,921483238
2021-08-06,948291754
2021-08-09,953526552
2021-08-10,1017771812
2021-08-11,1023958392
2021-08-12,1033952099
2021-08-13,1017454551
2021-08-16,953367922
2021-08-17,863900450
2021-08-18,812186982
2021-08-19,791406417
2021-08-20,824560143
2021-08-23,845975229
2021-08-24,866279904
2021-08-25,891343487
2021-08-26,855493046
2021-08-27,884046494
2021-08-30,928304340
2021-08-31,934015029
2021-09-01,929256121
2021-09-02,939408458
2021-09-03,953843813
2021-09-07,872149224
2021-09-08,837726455
2021-09-09,862472777
2021-09-10,874845939
2021-09-13,891502117
2021-09-14,877066762
2021-09-15,909585968
2021-09-16,854382634
2021-09-17,850734138
2021-09-20,797751627
2021-09-21,799337930
2021-09-22,831698505
2021-09-23,855017155
2021-09-24,828684530
2021-09-27,815518218
2021-09-28,782364491
2021-09-29,835505632
2021-09-30,876153187
2021-10-01,870844143
2021-10-04,855882291
2021-10-05,863282777
2021-10-06,846229483
2021-10-07,882427513
2021-10-08,869878862
2021-10-11,922808425
2021-10-12,932139473
2021-10-13,966889581
2021-10-14,1005339932
2021-10-15,979759991
2021-10-18,998100326
2021-10-19,1003570250
2021-10-20,977185909
2021-10-21,945814284
2021-10-22,896263204
2021-10-25,1005500812
2021-10-26,1028828431
2021-10-27,1007270493
2021-10-28,1053603971
2021-10-29,1002926730
2021-11-01,1045559964
2021-11-02,1035263636
2021-11-03,1039285639
2021-11-04,1068083183
2021-11-05,1028828431
2021-11-08,1040572680
2021-11-09,1028667551
2021-11-10,938574678
2021-11-11,1013062178
2021-11-12,1033654835
2021-11-15,991343361
2021-11-16,1004213771
2021-11-17,963350218
2021-11-18,930530671
2021-11-19,967693981
2021-11-22,997456806
2021-11-23,981368793
2021-11-24,947744845
2021-11-26,937931157
2021-11-29,967211341
2021-11-30,965280780
2021-12-01,890632399
2021-12-02,931656832
2021-12-03,865695979
2021-12-06,882266632
2021-12-07,945492524
2021-12-08,999065607
2021-12-09,954501811
2021-12-10,942918441
2021-12-13,917982021
2021-12-14,872935585
2021-12-15,871326784
2021-12-16,866500380
2021-12-17,860065174
2021-12-20,823062745
2021-12-21,857169332
2021-12-22,845103322
2021-12-23,849768846
2021-12-27,879049030
2021-12-28,833519953
2021-12-29,818236341
2021-12-30,861352216
2021-12-31,843977161
2022-01-03,871648544
2022-01-04,900928728
2022-01-05,830784991
2022-01-06,837220196
2022-01-07,815179618
2022-01-10,837541956
2022-01-11,875027027
2022-01-12,868591821
2022-01-13,850573247
2022-01-14,845907723
2022-01-18,821936584
2022-01-19,820649543
2022-01-20,806009451
2022-01-21,750827566
2022-01-24,721064742
2022-01-25,717042739
2022-01-26,721225622
2022-01-27,716881859
2022-01-28,712377215
2022-01-31,778338068
2022-02-01,786864715
2022-02-02,769811422
2022-02-03,730395790
2022-02-04,785577674
2022-02-07,766432939
2022-02-08,796195763
2022-02-09,819845142
2022-02-10,803435369
2022-02-11,806492091
2022-02-14,796195763
2022-02-15,812766416
2022-02-16,835933155
2022-02-17,810031454
2022-02-18,783325352
2022-02-22,753240768
2022-02-23,740692118
2022-02-24,796839283
2022-02-25,837381076
2022-02-28,845425083
2022-03-01,846390363
2022-03-02,900767847
2022-03-03,955306211
2022-03-04,972198625
2022-03-07,982334073
2022-03-08,1016440661
2022-03-09,1094145764
2022-03-10,1140961881
2022-03-11,1139835721
2022-03-14,1014831860
2022-03-15,1014510099
2022-03-16,1129378512
2022-03-17,1129700272
2022-03-18,1132113474
2022-03-21,1209335937
2022-03-22,1209335937
2022-03-23,1125678269
2022-03-24,1197430807
2022-03-25,1215610262
2022-03-28,1163324220
2022-03-29,1183916876
2022-03-30,1204992173
2022-03-31,1308778288
2022-04-01,1337109151
2022-04-04,1405605289
2022-04-05,1253909655
2022-04-06,1238668368
2022-04-07,1237054584
2022-04-08,1210158195
2022-04-11,1180572167
2022-04-12,1201551351
2022-04-13,1296226640
2022-04-14,1310929999
2022-04-18,1296405949
2022-04-19,1349122872
2022-04-20,1317743751
2022-04-21,1296585259
2022-04-22,1242075244
2022-04-25,1232930471
2022-04-26,1160130912
2022-04-27,1186310064
2022-04-28,1230599451
2022-04-29,1172861869
2022-05-02,1184516971
2022-05-03,1212309906
2022-05-04,1261799262
2022-05-05,1205316845
2022-05-06,1110282937
2022-05-09,883636033
2022-05-10,884711888
2022-05-11,802229629
2022-05-12,834505296
2022-05-13,937787429
2022-05-16,928642657
2022-05-17,1021166235
2022-05-18,986200930
2022-05-19,1058462561
2022-05-20,1040173017
2022-05-23,1072627993
2022-05-24,1024393802
2022-05-25,1042683346
2022-05-26,1128572482
2022-05-27,1198323784
2022-05-31,1161206767
2022-06-01,1005745639
2022-06-02,1096655434
2022-06-03,1051648809
2022-06-06,1057924634
2022-06-07,1060434963
2022-06-08,1024214493
2022-06-09,950159768
2022-06-10,958766613
2022-06-13,866243035
2022-06-14,847056944
2022-06-15,909815185
2022-06-16,893856661
2022-06-17,869649911
2022-06-21,880408466
2022-06-22,831636347
2022-06-23,752381654
2022-06-24,746643758
2022-06-27,778202188
2022-06-28,734271419
2022-06-29,694464763
2022-06-30,654136889
2022-07-01,644255667
2022-07-05,637428641
2022-07-06,627008444
2022-07-07,670845137
2022-07-08,673899333
2022-07-11,616947563
2022-07-12,614252685
2022-07-13,614791660
2022-07-14,594849558
2022-07-15,599879998
2022-07-18,609761220
2022-07-19,636350690
2022-07-20,668868893
2022-07-21,692763484
2022-07-22,670665479
2022-07-25,701387096
2022-07-26,690787240
2022-07-27,739295056
2022-07-28,763548965
2022-07-29,812236440
2022-08-01,797324778
2022-08-02,826070150
2022-08-03,817626197
2022-08-04,822297320
2022-08-05,846910546
2022-08-08,916977392
2022-08-09,900269144
2022-08-10,965305550
2022-08-11,1007165999
2022-08-12,1198322728
2022-08-15,1209102243
2022-08-16,1198322728
2022-08-17,1144604813
2022-08-18,1135082908
2022-08-19,990278092
2022-08-22,1006627023
2022-08-23,1088730994
2022-08-24,1140652324
2022-08-25,1143706520
2022-08-26,1099869826
2022-08-29,1090347922
2022-08-30,1054236547
2022-08-31,1098612216
2022-09-01,1019921758
2022-09-02,1026030150
2022-09-06,1056572108
2022-09-07,1099690168
2022-09-08,1120530563
2022-09-09,1125201686
2022-09-12,1115320464
2022-09-13,1125740662
2022-09-14,1146401398
2022-09-15,1079209090
2022-09-16,1069866843
2022-09-19,1154665693
2022-09-20,1130232126
2022-09-21,1113883196
2022-09-22,1052260303
2022-09-23,962071695
2022-09-26,963508964
2022-09-27,1010579512
2022-09-28,1065555037
2022-09-29,988301848
2022-09-30,937020596
2022-10-03,989223276
2022-10-04,1011996258
2022-10-05,968552416
2022-10-06,966450295
2022-10-07,930889408
2022-10-10,965224057
2022-10-11,920553978
2022-10-12,899532765
2022-10-13,928436934
2022-10-14,858191045
2022-10-17,915824205
2022-10-18,911619963
2022-10-19,1022506864
2022-10-20,938071656
2022-10-21,1051411033
2022-10-24,1060695402
2022-10-25,1115000204
2022-10-26,1090650632
2022-10-27,1089949925
2022-10-28,1076461313
2022-10-31,1089949925
2022-11-01,1095205228
2022-11-02,1019353682
2022-11-03,1033543002
2022-11-04,1078388257
2022-11-07,1035119593
2022-11-08,1100635708
2022-11-09,1043878432
2022-11-10,1084869798
2022-11-11,1126036341
2022-11-14,1121656922
2022-11-15,1049834442
2022-11-16,999033176
2022-11-17,964698527
2022-11-18,975909841
2022-11-21,1006390601
2022-11-22,1006565777
2022-11-23,1021280627
2022-11-25,966099941
2022-11-28,923882337
2022-11-29,944553197
2022-11-30,1010069313
2022-12-01,962946759
2022-12-02,1060169872
2022-12-05,991150221
2022-12-06,957341102
2022-12-07,1003938126
2022-12-08,1024083455
2022-12-09,981165144
2022-12-12,989748807
2022-12-13,984493503
2022-12-14,964523350
2022-12-15,921605039
2022-12-16,901634886
2022-12-19,841198897
2022-12-20,819476976
2022-12-21,809842253
2022-12-22,773405483
2022-12-23,785843035
2022-12-27,742574370
