,CIEN
2001-12-26,4607719007
2001-12-27,4663431256
2001-12-28,4656876890
2001-12-31,4689648579
2002-01-02,5109127938
2002-01-03,5138622818
2002-01-04,5397520217
2002-01-07,5489281290
2002-01-08,5145177183
2002-01-09,5122236997
2002-01-10,5033752732
2002-01-11,4797795847
2002-01-14,4620827692
2002-01-15,4624104875
2002-01-16,4319327103
2002-01-17,4538898120
2002-01-18,4437305545
2002-01-22,4273446402
2002-01-23,4486463428
2002-01-24,4565115817
2002-01-25,4397979491
2002-01-28,4486463428
2002-01-29,4397979491
2002-01-30,4427474043
2002-01-31,4176555431
2002-02-01,3946351500
2002-02-04,3328089577
2002-02-05,2959763625
2002-02-06,2966340830
2002-02-07,3022247617
2002-02-08,3111040479
2002-02-11,3443191730
2002-02-12,3314935166
2002-02-13,3226142257
2002-02-14,2999227140
2002-02-15,2870970763
2002-02-19,2778889275
2002-02-20,2861104931
2002-02-21,2499355996
2002-02-22,2489490165
2002-02-25,2607880522
2002-02-26,2647344037
2002-02-27,2565128381
2002-02-28,2551973970
2002-03-01,2667075888
2002-03-04,2864393510
2002-03-05,3041979281
2002-03-06,3147215227
2002-03-07,3189967556
2002-03-08,3048556486
2002-03-11,3383996364
2002-03-12,3150503853
2002-03-13,3009093159
2002-03-14,2900568446
2002-03-15,2943320587
2002-03-18,2923588736
2002-03-19,2752580171
2002-03-20,2693384992
2002-03-21,2824929995
2002-03-22,2818352790
2002-03-25,2746002965
2002-03-26,2762446003
2002-03-27,2653921477
2002-03-28,2959763625
2002-04-01,3081442608
2002-04-02,2936743147
2002-04-03,2792043686
2002-04-04,2821641369
2002-04-05,2673653141
2002-04-08,2650632663
2002-04-09,2630901000
2002-04-10,2581571653
2002-04-11,2466469687
2002-04-12,2482912724
2002-04-15,2578283026
2002-04-16,2811775349
2002-04-17,2874259342
2002-04-18,2815063976
2002-04-19,2841373080
2002-04-22,2640766831
2002-04-23,2532242306
2002-04-24,2538819511
2002-04-25,2548685343
2002-04-26,2466469687
2002-04-29,2377676825
2002-04-30,2821190612
2002-05-01,2775991297
2002-05-02,2655459681
2002-05-03,2598960590
2002-05-06,2504795350
2002-05-07,2293865318
2002-05-08,2775991297
2002-05-09,2659226291
2002-05-10,2459596034
2002-05-13,2629093575
2002-05-14,2670526281
2002-05-15,2651693125
2002-05-16,2704425606
2002-05-17,2704425606
2002-05-20,2632860131
2002-05-21,2482195799
2002-05-22,2425696709
2002-05-23,2290098708
2002-05-24,2290098708
2002-05-28,2259965778
2002-05-29,2248666002
2002-05-30,2218533072
2002-05-31,2131900996
2002-06-03,1977470055
2002-06-04,2067868686
2002-06-05,2011369596
2002-06-06,1894604590
2002-06-07,1936037349
2002-06-10,1872005039
2002-06-11,1740173649
2002-06-12,1612108867
2002-06-13,1646008408
2002-06-14,1593275927
2002-06-17,1807972514
2002-06-18,1657308183
2002-06-19,1491577359
2002-06-20,1446378044
2002-06-21,1487810803
2002-06-24,1548076557
2002-06-25,1450144761
2002-06-26,1404945445
2002-06-27,1589509317
2002-06-28,1578209434
2002-07-01,1551843167
2002-07-02,1555609777
2002-07-03,1570676269
2002-07-05,1747706868
2002-07-08,1796672739
2002-07-09,1838105499
2002-07-10,1838105499
2002-07-11,2030202590
2002-07-12,2094234846
2002-07-15,2282565328
2002-07-16,2259965778
2002-07-17,2256199168
2002-07-18,2090468237
2002-07-19,1951103680
2002-07-22,1875771649
2002-07-23,1668608066
2002-07-24,1770306633
2002-07-25,1555609777
2002-07-26,1517943627
2002-07-29,1600809092
2002-07-30,1585742600
2002-07-31,1725687927
2002-08-01,1627199592
2002-08-02,1605789071
2002-08-05,1541557569
2002-08-06,1708559571
2002-08-07,1751380552
2002-08-08,1815612176
2002-08-09,1729970153
2002-08-12,1622917549
2002-08-13,1567250194
2002-08-14,1794201655
2002-08-15,1747098448
2002-08-16,1794201655
2002-08-19,1841304801
2002-08-20,1845586905
2002-08-21,1922664781
2002-08-22,1764226926
2002-08-23,1781355404
2002-08-26,1879843739
2002-08-27,2038281594
2002-08-28,1785637508
2002-08-29,1824176384
2002-08-30,1734252196
2002-09-03,1597224924
2002-09-04,1687149050
2002-09-05,1627199592
2002-09-06,1691431155
2002-09-09,1652892217
2002-09-10,1704277528
2002-09-11,1841304801
2002-09-12,1777073177
2002-09-13,1764226926
2002-09-16,1661456425
2002-09-17,1665738529
2002-09-18,1567250194
2002-09-19,1451633320
2002-09-20,1494454362
2002-09-23,1473043841
2002-09-24,1477325945
2002-09-25,1652892217
2002-09-26,1481607988
2002-09-27,1361709132
2002-09-30,1271785005
2002-10-01,1301759734
2002-10-02,1113347150
2002-10-03,1074808151
2002-10-04,1053397569
2002-10-07,1049115526
2002-10-08,1151886027
2002-10-09,1100500776
2002-10-10,1169014505
2002-10-11,1134757549
2002-10-14,1181860756
2002-10-15,1271785005
2002-10-16,1177578652
2002-10-17,1220399755
2002-10-18,1173296548
2002-10-21,1194707130
2002-10-22,1353144985
2002-10-23,1481607988
2002-10-24,1588660593
2002-10-25,1588660593
2002-10-28,1532993238
2002-10-29,1374555383
2002-10-30,1503018570
2002-10-31,1592342498
2002-11-01,1895233735
2002-11-04,1765423143
2002-11-05,1769750161
2002-11-06,1864944611
2002-11-07,1752442152
2002-11-08,1709171975
2002-11-11,1514456181
2002-11-12,1609650631
2002-11-13,1774077302
2002-11-14,2107257600
2002-11-15,1986101167
2002-11-18,1960138938
2002-11-19,1834655487
2002-11-20,1929849814
2002-11-21,2098603626
2002-11-22,2414475916
2002-11-25,2587556622
2002-11-26,2518324401
2002-11-27,2721694046
2002-11-29,2877466682
2002-12-02,2864485690
2002-12-03,2574575631
2002-12-04,2479381180
2002-12-05,2578902587
2002-12-06,2578902587
2002-12-09,2206779068
2002-12-10,2301973518
2002-12-11,2241395024
2002-12-12,2682751072
2002-12-13,2539959366
2002-12-16,2483708136
2002-12-17,2548613401
2002-12-18,2401494677
2002-12-19,2323608483
2002-12-20,2306300474
2002-12-23,2470727145
2002-12-24,2375532695
2002-12-26,2375532695
2002-12-27,2319281465
2002-12-30,2267357253
2002-12-31,2224087077
2003-01-02,2453418951
2003-01-03,2457745907
2003-01-06,2795253470
2003-01-07,2786599496
2003-01-08,2708713055
2003-01-09,2855831717
2003-01-10,3176031024
2003-01-13,3193339033
2003-01-14,3245263245
2003-01-15,3067855582
2003-01-16,2907755929
2003-01-17,2682751072
2003-01-21,2739002240
2003-01-22,2635153816
2003-01-23,2682751072
2003-01-24,2760637267
2003-01-27,2531305392
2003-01-28,2730348019
2003-01-29,2730348019
2003-01-30,2587556622
2003-01-31,2517560485
2003-02-03,2517560485
2003-02-04,2439429417
2003-02-05,2430748236
2003-02-06,2404704381
2003-02-07,2369979532
2003-02-10,2539263779
2003-02-11,2495857500
2003-02-12,2369979532
2003-02-13,2335254496
2003-02-14,2452451221
2003-02-18,2513219925
2003-02-19,2396023138
2003-02-20,2348276299
2003-02-21,2317892071
2003-02-24,2261463988
2003-02-25,2326573252
2003-02-26,2261463988
2003-02-27,2309210889
2003-02-28,2352616921
2003-03-03,2300529398
2003-03-04,2296188838
2003-03-05,2252782807
2003-03-06,2278826413
2003-03-07,2291848216
2003-03-10,2235420134
2003-03-11,2083498311
2003-03-12,1944598601
2003-03-13,2092179802
2003-03-14,2118223409
2003-03-17,2192013854
2003-03-18,2218057709
2003-03-19,2135585834
2003-03-20,2152948445
2003-03-21,2161629688
2003-03-24,2040092341
2003-03-25,2083498311
2003-03-26,2027070290
2003-03-27,1983664135
2003-03-28,1922895430
2003-03-31,1896851700
2003-04-01,1870807969
2003-04-02,1970642331
2003-04-03,2022729668
2003-04-04,2061795326
2003-04-07,2144267263
2003-04-08,2035751720
2003-04-09,1944598601
2003-04-10,1892511078
2003-04-11,1901192322
2003-04-14,1901192322
2003-04-15,1849104861
2003-04-16,1888170518
2003-04-17,1966301586
2003-04-21,1909873503
2003-04-22,1953279783
2003-04-23,1905532943
2003-04-24,1896851700
2003-04-25,1831742436
2003-04-28,1935917234
2003-04-29,2048773523
2003-04-30,2201584193
2003-05-01,2323393090
2003-05-02,2404599194
2003-05-05,2553476684
2003-05-06,2639194231
2003-05-07,2490316482
2003-05-08,2359484763
2003-05-09,2436179166
2003-05-12,2458736574
2003-05-13,2503850747
2003-05-14,2481293661
2003-05-15,2490316482
2003-05-16,2458736574
2003-05-19,2318881712
2003-05-20,2269255774
2003-05-21,2422644901
2003-05-22,2242187245
2003-05-23,2197072750
2003-05-27,2345950499
2003-05-28,2458736574
2003-05-29,2508362190
2003-05-30,2594079736
2003-06-02,2503850747
2003-06-03,2454225131
2003-06-04,2526408155
2003-06-05,2567011207
2003-06-06,2571522650
2003-06-09,2494827925
2003-06-10,2431667787
2003-06-11,2485805104
2003-06-12,2517385269
2003-06-13,2386553293
2003-06-16,2255721510
2003-06-17,2278278596
2003-06-18,2391064671
2003-06-19,2359484763
2003-06-20,2291813118
2003-06-23,2237675802
2003-06-24,2282790039
2003-06-25,2278278596
2003-06-26,2332415976
2003-06-27,2345950499
2003-06-30,2332415976
2003-07-01,2382041850
2003-07-02,2436179166
2003-07-03,2485805104
2003-07-07,2580545471
2003-07-08,2594079736
2003-07-09,2995598165
2003-07-10,2864766382
2003-07-11,2900857732
2003-07-14,2882812089
2003-07-15,2828674709
2003-07-16,2670774203
2003-07-17,2472270839
2003-07-18,2503850747
2003-07-21,2436179166
2003-07-22,2657239938
2003-07-23,2603102558
2003-07-24,2512873891
2003-07-25,2634682788
2003-07-28,2652728495
2003-07-29,2576034028
2003-07-30,2557988127
2003-07-31,2721753901
2003-08-01,2726479101
2003-08-04,2631973959
2003-08-05,2513842280
2003-08-06,2457139073
2003-08-07,2457139073
2003-08-08,2476040007
2003-08-11,2532743213
2003-08-12,2528018014
2003-08-13,2551644215
2003-08-14,2598896954
2003-08-15,2613072688
2003-08-18,2721753901
2003-08-19,2830435046
2003-08-20,2750105639
2003-08-21,2854061315
2003-08-22,2769006573
2003-08-25,2740654835
2003-08-26,2920214988
2003-08-27,2967467727
2003-08-28,3038346668
2003-08-29,3071423673
2003-09-02,3095049874
2003-09-03,3227357558
2003-09-04,3274610027
2003-09-05,3274610027
2003-09-08,3491972453
2003-09-09,3336038501
2003-09-10,3184830086
2003-09-11,3288785964
2003-09-12,3269884895
2003-09-15,3165929017
2003-09-16,3298236498
2003-09-17,3345489170
2003-09-18,3321862834
2003-09-19,3208456422
2003-09-22,3095050009
2003-09-23,3080874207
2003-09-24,2906039321
2003-09-25,2868237184
2003-09-26,2740654970
2003-09-29,2830435046
2003-09-30,2769006573
2003-10-01,2769006573
2003-10-02,2806808710
2003-10-03,2948566726
2003-10-06,3014720467
2003-10-07,3052522604
2003-10-08,2934390924
2003-10-09,2986368864
2003-10-10,3043072070
2003-10-13,3061973139
2003-10-14,3066698406
2003-10-15,3047797337
2003-10-16,3090324742
2003-10-17,2981643596
2003-10-20,2982588650
2003-10-21,3076148940
2003-10-22,2962742528
2003-10-23,2872962451
2003-10-24,2825709779
2003-10-27,2854061382
2003-10-28,3014720467
2003-10-29,3038346803
2003-10-30,3028896268
2003-10-31,3032422781
2003-11-03,3154949692
2003-11-04,3169615075
2003-11-05,3231115069
2003-11-06,3235845838
2003-11-07,3264230451
2003-11-10,3103384313
2003-11-11,3037153550
2003-11-12,3188538150
2003-11-13,3127038156
2003-11-14,3041884319
2003-11-17,2947268943
2003-11-18,3065538162
2003-11-19,3134607387
2003-11-20,3150692000
2003-11-21,3174345844
2003-11-24,3325730445
2003-11-25,3268961220
2003-11-26,3320999676
2003-11-28,3349384289
2003-12-01,3396218899
2003-12-02,3373038133
2003-12-03,3250038144
2003-12-04,3325730445
2003-12-05,3276057373
2003-12-08,3197999688
2003-12-09,3126565080
2003-12-10,3004038168
2003-12-11,2923615099
2003-12-12,2791153574
2003-12-15,2757565116
2003-12-16,2810076649
2003-12-17,2800615111
2003-12-18,2847922799
2003-12-19,2814807418
2003-12-22,2857384337
2003-12-23,2885768949
2003-12-24,2880565104
2003-12-26,2914153562
2003-12-29,2899961256
2003-12-30,2885768949
2003-12-31,3103384313
2004-01-02,3155422769
2004-01-05,3160153538
2004-01-06,3160153538
2004-01-07,3141230463
2004-01-08,3383918901
2004-01-09,3292615063
2004-01-12,3297345832
2004-01-13,3155422769
2004-01-14,3216922763
2004-01-15,3174345844
2004-01-16,3770422709
2004-01-20,3765691940
2004-01-21,3619038109
2004-01-22,3467653508
2004-01-23,3477115045
2004-01-26,3623768877
2004-01-27,3491307352
2004-01-28,3415615051
2004-01-29,3377768901
2004-01-30,3429807358
2004-02-02,3488933621
2004-02-03,3465167043
2004-02-04,2847236020
2004-02-05,2871002598
2004-02-06,2932795700
2004-02-09,2894769176
2004-02-10,2894769176
2004-02-11,2909029122
2004-02-12,2890015860
2004-02-13,2851989336
2004-02-17,3046875273
2004-02-18,2985082171
2004-02-19,2932795700
2004-02-20,2880509229
2004-02-23,2832976073
2004-02-24,2704636553
2004-02-25,2699883238
2004-02-26,2728403131
2004-02-27,2723649815
2004-03-01,2752169709
2004-03-02,2766429655
2004-03-03,2766429655
2004-03-04,2809209495
2004-03-05,2761676340
2004-03-08,2699883238
2004-03-09,2638090135
2004-03-10,2647596766
2004-03-11,2647596766
2004-03-12,2680869975
2004-03-15,2495490669
2004-03-16,2324371308
2004-03-17,2381411095
2004-03-18,2362397833
2004-03-19,2405177673
2004-03-22,2267331522
2004-03-23,2253071575
2004-03-24,2257824891
2004-03-25,2338631255
2004-03-26,2352891202
2004-03-29,2395671042
2004-03-30,2414684304
2004-03-31,2362397833
2004-04-01,2381411095
2004-04-02,2519257246
2004-04-05,2604816926
2004-04-06,2552530455
2004-04-07,2495490669
2004-04-08,2514503931
2004-04-12,2447957513
2004-04-13,2376657780
2004-04-14,2362397833
2004-04-15,2324371308
2004-04-16,2291098099
2004-04-19,2257824891
2004-04-20,2295851415
2004-04-21,2333877939
2004-04-22,2333877939
2004-04-23,2376657780
2004-04-26,2300604731
2004-04-27,2276838153
2004-04-28,2148498633
2004-04-29,2053432321
2004-04-30,2339247966
2004-05-03,2265615464
2004-05-04,2259951425
2004-05-05,2271279502
2004-05-06,2197647000
2004-05-07,2146670652
2004-05-10,2141006613
2004-05-11,2197647000
2004-05-12,2174990845
2004-05-13,2163662768
2004-05-14,2135342574
2004-05-17,2027725840
2004-05-18,2078702188
2004-05-19,2197647000
2004-05-20,1897452951
2004-05-21,1823820448
2004-05-24,1806828332
2004-05-25,1857804680
2004-05-26,1880460835
2004-05-27,1908781028
2004-05-28,2033389878
2004-06-01,2005069685
2004-06-02,1976749492
2004-06-03,1880460835
2004-06-04,1914445067
2004-06-07,1937101221
2004-06-08,1920109105
2004-06-09,1931437183
2004-06-10,1920109105
2004-06-14,1818156409
2004-06-15,1840812564
2004-06-16,1829484487
2004-06-17,1784172177
2004-06-18,1750187945
2004-06-21,1727531791
2004-06-22,1772844100
2004-06-23,2005069685
2004-06-24,1976749492
2004-06-25,2129678536
2004-06-28,2033389878
2004-06-29,2146670652
2004-06-30,2095694304
2004-07-01,1988077569
2004-07-02,1965421415
2004-07-06,1869132757
2004-07-07,1835148525
2004-07-08,1823820448
2004-07-09,1920109105
2004-07-12,1823820448
2004-07-13,1789836216
2004-07-14,1789836216
2004-07-15,1801164293
2004-07-16,1744523907
2004-07-19,1869132757
2004-07-20,1863468719
2004-07-21,1750187945
2004-07-22,1744523907
2004-07-23,1670891404
2004-07-26,1636907172
2004-07-27,1602922940
2004-07-28,1517962360
2004-07-29,1585930824
2004-07-30,1597258902
2004-08-02,1577481902
2004-08-03,1577481902
2004-08-04,1188826941
2004-08-05,1188826941
2004-08-06,1171680398
2004-08-09,1068801144
2004-08-10,1085947686
2004-08-11,1034508059
2004-08-12,994499460
2004-08-13,977352917
2004-08-16,994499460
2004-08-17,1040223573
2004-08-18,1108809743
2004-08-19,1125956285
2004-08-20,1183111426
2004-08-23,1165964884
